名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
恒山Mount Heng,http://travel.qunar.com/p-oi707446-hengshan,"

地址:
大同市浑源县东南郊恒山脚下


电话:
0352-5028229

",恒山位于大同市浑源县城南处，是“五岳”之中的北岳。恒山景区包括天峰岭景区、翠屏峰景区、千佛岭景区等。恒山不仅风光优美，也是重要的道教发祥地，山上有许多道教庙观，相传“八仙”之一的张果老就是在恒山修行得道的。游玩恒山一般先去游玩翠屏峰下悬在半山腰的千年古寺悬空寺，然后前往天峰岭游览道教建筑群，登天峰岭之巅望远。恒山游览线路大致为：大字湾-虎风口-舍身崖-飞石窟-恒宗殿-天峰岭山顶，爬山大概3-4小时便可往返。需要注意的是，由于天峰岭山顶开放时间不定，许多时候只能走到恒宗殿，想要登顶的游客可提前向景区确认。进入天峰岭售票处便是一段盘山路，通往恒山停车场（停旨岭）。在停车场向东仰望，可以看到大字湾的峭壁上刻着刚健的“恒宗”二字，这也是恒山上较为特色的石刻，被视为恒山的标志。如果时间紧，可以从停车场坐索道上到庙群区，也可以爬上去。沿着登山步道往上先到果老岭，这里有一个近90度的直弯，山风非常大，叫做“虎风口”。恒山上古松非常多，数虎风口的“悬根松”较为特别，它的根系全部露在外，又地处风口，风声树声交织在一起，如同猛虎咆哮。此外，果老岭东侧的山崖也是恒山看夕阳的好地方。继续往上走，来到一个木牌楼，上面写着“人天北柱”，便是恒山庙群区的大门了。进入的方形院落，可看到玄井亭，里边有两口并排的井，叫“苦甜井”。北边的井甜如甘露，南边的井却苦涩无比，非常神奇。这里还可以看到马神庙、百虚观、接官亭等道教建筑，在此可以上香祈福。再向上攀登，来到布满历代墨客题刻的飞石窟和恒山主庙恒宗殿（北岳庙）。恒宗殿是恒山庙群区的亮点，建在山腰的峭壁间，规模很大。大殿里供奉着北岳大帝，神座上方是康熙御笔的“化垂悠久”四字。值得一提的是山门前的103级陡阶，级级向前倾斜约有三四十度，得要手脚并用才能爬上去。在恒宗殿前可俯瞰恒山景致，视野很好。恒宗大殿西边是会仙崖，半山腰的会仙府（集仙洞）有许多壁刻，以“天地大观”、“壁立万仞”较为醒目。这里也是恒山较高的建筑，周边还有玉皇阁、御碑亭、琴棋台、通元谷等景观。从通元谷往上，爬上恒山主峰天峰岭之巅，可感受“一览众山小”的壮美。在山顶拍照赏景，休整过后，经纯阳宫、九天宫便可下山回到停车场了。,04/01-10/31 08:00-18:00;11/01-03/31 08:30-16:00,https://img1.qunarzz.com/travel/d9/1704/b2/735e20e9d72a48b5.jpg_480x360x95_1a29f3c2.jpg,4.4,建议游览时间：12小时 - 3天,"全年均可，春赏桃花,夏、秋避暑,冬观雪景。","{'恒山电子导览服务大小同价\n\n': ['¥1起'], '恒山VIP人工讲解服务+悬空寺VIP人工讲解服务大小同价\n\n': ['¥498起'], '【大同出发】悬空寺+恒山一日游(门票全含)\n\n': ['¥88起']}",1、恒山停车场距顶峰还有4千米，从停车场上到顶峰只需要1个多小时。2、参观庙宇旅游时间一般安排三四个小时。3、如需要住宿，停车场旁有宾馆，也可选择住在当地农家。4、恒山属温带半干旱大陆性气候，四季分明，夏季雨量集中，秋季多为晴朗天气，早晚温差大，年平均温度6.1℃。您最好多带一件衣服，以抵御早晚的寒气。,1
云冈石窟Yungang Grottoes,http://travel.qunar.com/p-oi709615-yungangshiku,"

地址:
山西省大同市云冈区云冈镇1号


电话:
0352-7992622,0352-3206818


官网:
http://www.yungang.org/

",云冈石窟位于大同市城西约16公里的武州（周）山南麓、武州川的北岸，始建于北魏建都平城（今大同）的时代。和后期开凿的洛阳龙门石窟不同的是，云冈石窟不仅有中国传统艺术风格，也融合了古印度、西域和中原各民族的艺术特征。具有代表性的是第20窟（白佛爷洞）高13.75米露天释迦坐像，这尊塑像胸部以上保存得依然完整：面部半圆，深目高鼻，眼大唇薄，保留着典型的西域少数民族、印度人的面部特征。而龙门石窟中的大佛，则已经接近南朝士大夫的相貌了。云冈这尊释迦坐像的衣饰线条也不似龙门石窟那样柔和，而是透着北魏早期艺术的干练。云冈石窟景区分为景观区和石窟群，整个石窟群自东而西依自然山势分为东、中、西三区，目前对外开放的洞窟大约40个，比较传统的参观路线是从东部的第1窟开始，依次往西直到第45窟结束。若参观时间在两小时左右，一般主要游览第5、6窟，五华洞（第9-13窟）和昙曜五窟（第16-20窟）。,全年 09:00-17:00,https://img1.qunarzz.com/travel/d1/1410/12/5680f8f4c9e4584bffffffffc8d65eac.jpg_480x360x95_737f90d7.jpg,4.7,建议游览时间：4小时 - 5小时,5月~10月，春季风沙过大，冬季寒冷，夏秋时节最宜。,"{'云冈石窟门票成人票\n\n': ['¥120起'], '云冈石窟门票儿童票\n\n': ['¥60起'], '云冈石窟门票+电子导览服务成人票\n\n': ['¥135起']}",每年8月——10月为中国（大同）云冈文化旅游节，以展示中国传统宗教文化以及优美癿塞外风光为主。旅游节包括晋北景点展示、文佑盛事表演、城市交往、旅游观光觅胜推介、大同旅游项目招唱等活劢。1、云冈石窟9至13窟正在实施国家级保护工程，暂时不对外开放。2、尊重世界文化遗产，保护文物古迹。请不要在洞窟内和建筑上留下您的大名；洞窟内请勿拍照；并请注意警示标志，服从工作人员的管理。3、做文明观众。文明环境靠我们共同营造，请您参观云冈石窟时请勿携带危险品及宠物进入景区；不要做出有碍观瞻、有损形象的行为；请勿乱丢垃圾废物，请勿吸烟和随地吐痰。4、为了保护世界文化遗产，如遇人群密集时，请听从工作人员的疏导，有序参观，不要拥挤。5、在开放时间即将结束时，请注意广播和工作人员的提示，尽快结束参观。6、每年8月~10月为中国（大同）云冈文化旅游节，以展示中国传统宗教文化以及优美癿塞外风光为主。旅游节包括晋北景点展示、文佑盛事表演、城市交往、旅游观光觅胜推介、大同旅游项目招唱等活劢。7、《云冈石窟保护条例》将于2018年8月1日正式施行，损毁云冈石窟保护标志和界碑，刻划、涂污或者损毁文物，或是在景区内吸烟，在重点保护洞窟内闪光拍摄的游客，可能被处以最高200元的罚款。,1
九龙壁Nine Dragons Wall,http://travel.qunar.com/p-oi709710-jiulongbi,"

地址:
大同市平城区大东街18号


电话:
0352-2054788

",九龙壁原是明初代王朱桂府前的照壁，在现存享有盛名的三座九龙壁中，是建筑年代早而且富有艺术魅力的一座。此壁的建筑结构全部使用黄、绿、蓝、紫、黑、白等色琉璃构件拼砌而成。壁体由三部分组成：底部为须弥座，中部为壁身，上部为壁顶。东西两端分别是旭日东升和明月当空的图案，并衬有江崖海水，流云纹饰。须弥座的束腰镶有两层琉璃兽：一层是麒麟、狮、虎、鹿、飞马等，二层是小型行龙。这些琉璃兽姿态各异，栩栩如生。壁身之上有仿木结构的琉璃斗拱六十二组，承托琉璃瓦壁顶。壁顶为单檐五脊，正脊两侧是高浮雕的多层花瓣的花朵以及游龙等，脊顶戗兽、脊兽、龙兽俱全，两端是雕刻手法细腻的鸱吻。,全年 08:00-18:00;全年 08:30-17:30,https://img1.qunarzz.com/travel/poi/201211/15/43dc3e1851a7fdcbddb12cfb.jpg_480x360x95_67cd94fd.jpg,4.3,建议游览时间：1小时,四季皆宜。,{'大同云冈石窟+华严寺+九龙壁包车一日游|【纯玩/上门接送】\n\n': ['¥388起']},周边景点有善化寺、华严寺、云冈石窟等，游客可以一同游览。,1
大同古城墙Datong Ancient City Wall,http://travel.qunar.com/p-oi7527037-datongguchengqiang,,,,,,,,,,1
悬空寺Hanging Temple,http://travel.qunar.com/p-oi706125-xuankongsi,"

地址:
大同市浑源县东南郊恒山脚下


电话:
0352-5028229

",悬空寺位于恒山金龙峡翠屏峰的悬崖峭壁间，始建于北魏，距今已有1500多年历史，是国内现存较早、保存较好的高空木构摩崖建筑。来到恒山脚下，远远地就可以看到悬在半山腰的悬空寺，可谓是万丈深渊上的建筑。整个寺院悬在陡峭的崖壁上，利用峭壁的凹凸部分巧妙依势而建，显得格外错落有致。诗人李白当年游览过悬空寺后，挥笔写下“壮观”二字，写完仍觉得不够体现自己激动的心情，又在“壮”上多加了一点，这两个字至今还刻在寺院脚下的岩石上。寺院由三部分构成，首部是一个完整的寺院布局，建在山崖间。第二、第三部分则是真正“悬”在崖壁上，两部分之间连接的木栈道更是好像凭空浮在半空中一般，游人走在上面，看着下面的悬崖，心也不由跟着悬起来。,1/1-2/28 08:30-16:30;3/1-10/31 08:00-17:00;11/1-12/31 08:30-16:30,https://img1.qunarzz.com/travel/poi/201211/15/41a4dbf05bb71f6fddb12cfb.jpg_480x360x95_347f5f48.jpg,4.6,建议游览时间：1小时 - 2小时,4月—10月是最佳游玩时机。,"{'悬空寺电子导览服务大小同价\n\n': ['¥0.9起'], '恒山VIP人工讲解服务+悬空寺VIP人工讲解服务大小同价\n\n': ['¥498起'], '【大同出发】悬空寺+恒山一日游(门票全含)\n\n': ['¥88起']}",1、浑源属晋北，饮食习惯以面食为主。 2、恒山属温带半干旱大陆性气候，四季分明，但早晚温差大，建议您适量增减衣物。 ,1
华严寺Huayan Temple,http://travel.qunar.com/p-oi710991-huayansi,"

地址:
大同市平城区下寺坡街459号


电话:
0352-2042025

",位于大同市中心的华严寺，始建于辽清宁八年（公元1062年），之后多次重建。明代华严寺分为上、下华严寺两部分，上华严寺以大雄宝殿为中心，下华严寺以薄伽教藏殿为中心，两寺紧邻，下华严寺位于上华严寺的南方。直到建国后，两寺再次合为一体，两寺之间有小门相通。游览华严寺时，可以先游览北面的上华严寺，再从寺中小门进入南面的下华严寺，两处均沿着中轴线游览即可。需要注意的是，华严寺的两条中轴线与中原汉地大部分寺院的“南北走向”不同，上、下华严寺的中轴线都是“东西走向”，主要殿宇都是面向东方，这与辽国契丹族崇拜太阳、以东方为上的信仰和习俗有关。当你来到上华严寺的大雄宝殿时，能够看到辽代的地基、金代的建筑，还有殿内明代的塑像和清代的壁画。站在大殿前仰视，可以看到殿顶正脊两端的琉璃鸱吻（传说中龙九子之一，会喷水灭火），北端的鸱吻是金代遗物，南端鸱吻是明代配制的，两者风格略有不同。殿内供奉着明代的密宗五方五佛，两侧立有二十诸天神像。其中“诸天神像”都是向前倾15度左右，这样做一是为了显示了护法天王的威严和气度；二是利用力学原理，能长时间保存塑像的完整性。下华严寺的薄伽教藏殿，是寺中唯一尚存的辽代建筑，殿中的31尊辽代塑像尤为珍贵。佛像姿态、神情各异，端庄的佛、慈善的菩萨、凶猛的天王、各具特色，既有唐代丰满圆润，又有宋代秀美俏丽。其中最值得欣赏的是“合掌露齿菩萨”，佛像立于莲花之上，有着优美的线条，她面带微笑，流露出内心的喜悦。这种面带微笑的佛像，是极其少见的。在薄伽教藏殿，除了可以观赏到精致的辽代塑像外，在殿内塑像后面建有双层楼阁式藏经柜，也是国宝级的文物。殿内四周依墙而建排列着藏经柜共有38间，上层是供设佛像和佛龛，下层是存放经书的壁藏。环绕大殿一周的勾栏栏板，图案多样，全部以镂空雕刻，玲珑剔透。工匠还在藏经柜间搭建了一座圆弧拱桥，并在桥上建有“天宫楼阁”，这与佛教中传说的“天宫宝藏”不谋而合。著名的建筑学家梁思成先生看后，赞誉其为“千年国宝、无上国宝、罕有的国宝”。  寺中的其他建筑和塑像也都是非常珍贵的文物，整座华严寺，就是一座中国古建筑和佛教文化的瑰宝。,4/1-10/31 08:30-18:00;11/1-3/31 08:00-17:30,https://img1.qunarzz.com/travel/d2/1712/af/ea9bd3eb19bb42b5.jpg_480x360x95_7b367c55.jpg,4.7,建议游览时间：2小时 - 3小时,四季均可，4-10月最佳。此时的大同风沙小，天气较凉爽。,"{'华严寺人工讲解服务大小同价\n\n': ['¥256起'], '大同华严寺手机导览不含门票大小同价\n\n': ['¥0.1起'], '大同云冈石窟+华严寺+九龙壁包车一日游|【纯玩/上门接送】\n\n': ['¥388起']}",,1
大同博物馆Datong Museum,http://travel.qunar.com/p-oi709728-datongbowuguan,"

地址:
大同市平城区太和路


电话:
0352-2303518

",大同市博物馆是一座地志性综合博物馆，隶属于大同市文物局，位于大同市御东太和路，现有馆藏文物七万余件，为国家二级博物馆。藏品以彰显北方少数民族文化、边陲重镇军旅文化、宗教文化特征而著称，特别是北魏、辽、金三代的精品文物，在国内独领风骚，享有盛誉。博物馆占地面积51556平方米，建筑面积32821平方米，建筑设计通过对异型建筑空间的升腾动态进行典型刻画，将大同的历史文化融入其中，吸收大同自然地貌——大同火山群、龙壁文化和云冈石窟空间演化的文化元素。整个建筑形体...大同市博物馆是一座地志性综合博物馆，隶属于大同市文物局，位于大同市御东太和路，现有馆藏文物七万余件，为国家二级博物馆。藏品以彰显北方少数民族文化、边陲重镇军旅文化、宗教文化特征而著称，特别是北魏、辽、金三代的精品文物，在国内独领风骚，享有盛誉。博物馆占地面积51556平方米，建筑面积32821平方米，建筑设计通过对异型建筑空间的升腾动态进行典型刻画，将大同的历史文化融入其中，吸收大同自然地貌——大同火山群、龙壁文化和云冈石窟空间演化的文化元素。整个建筑形体环绕中央大厅以螺旋型的空间结构环绕形成一个整体。分地下一层、地上三层，局部有夹层。含文物展览区、公共服务区、多功能厅、文物库区和办公区等。大同市博物馆馆历经半个多世纪，馆址历经下华严寺、展览馆西厅、大同十中天文楼。新馆于2010年5月18日开工建设，2014年12月31日开馆迎客。大同市博物馆新馆的陈列主题确定为“民和·大同”，侧重反映本地区民族融合的发展历程以及由此带来的政治、经济、军事、文化的繁荣，再现各民族共同生活、相互促进、和谐共存的生活景象，充分体现民族融合的地域文化特色。陈列分为“大同恐龙”“代地沧桑”“魏都平城”“辽金西京”“明清重镇”“梵语清音”“妙笔丹青”“瓷路撷珍”等单元，在结构划分上，摒弃了惯用的从古至今的叙事性展示手法，依托馆藏文物，结合陈列主题，层次分明、详略得当地进行分配，着重突出拓跋鲜卑建立的北魏王朝定都于平城期间的百年盛况，浓墨重彩书写了“魏都平城”的传奇。千余件文物无声地讲述着北魏王朝的兴衰，传递着中西文化碰撞的激情，奏响了民族融合的乐章，开启了大唐盛世的帷幕。辽金时期，契丹、女真分别主政大同，散存于晋北各处的建筑遗构和雕塑是诠释这一时期民族融合的直接体现：造型雄浑古朴、端庄大气，明显异于同时期宋代建筑雕塑风格；工艺上却显著吸收、借鉴了汉民族的特色，宋《营造法式》的诸多内容在此均可得到佐证，南北交流、民族融合的繁荣由此略窥一斑。,周二-周日9:00-17:00（16:00停票，16:30清场），周一闭馆（含国家法定节假日）、除夕、正月初一闭馆。,https://img1.qunarzz.com/travel/poi/201407/31/45ed74b671548124c8d65eac.jpg_480x360x95_0eada61a.jpg,4.5,建议游览时间：2小时 - 4小时,四季皆宜。,"{'大同博物馆人工讲解服务大小同价\n\n': ['¥740起'], '大同博物馆金牌导游私享人工讲解服务(不含门票预约)大小同价\n\n': ['¥740起'], '大同市博物馆手机智能讲解门票大小同价\n\n': ['¥0.4起']}",1、机关团体、企事业单位、部队、学校集体组织参观，需提前两天预约，尽量避开高峰期参观。2、博物馆每天只限800人参观，上、下午各400人。,1
华严街,http://travel.qunar.com/p-oi37806292-huayanjie,,,,,5.0,,,具体收费情况以现场公示为主,,1
善化寺Shanhua Temple,http://travel.qunar.com/p-oi705627-shanhuasi,"

地址:
大同市平城区南寺街6号(近楼房巷)


电话:
0352-2539436

",善化寺，位于大同市区西南方，始建于唐代，后毁于战火，辽、金时期开始重建。如今的善化寺是我国现存较为完整的辽金寺院。寺中的主要建筑三圣殿、大雄宝殿等，都位于南北方向的中轴线上。和很多寺院不一样，善化寺是没有山门（大门）的。寺内的大雄宝殿，是善化寺规模较大的殿宇，建于辽代，金代重修。来到殿内，正面供奉有“五方佛像”，从西到东的排列是：北方不空成就佛、西方阿弥陀佛、中部毗卢遮那佛、南方宝生佛和东方阿閦佛。五方佛是佛教“密宗”崇奉的一组尊神。殿内两侧的砖台上还站立着二十四诸天塑像，这些塑像都是金代塑像中的精品。这些人神合一的杰作，每尊都高约三米，有的披甲执仗，有的朝冠官袍，有的圆润、衣带飘荡，尊尊表情生动传神。在大殿墙上，还有清朝康熙年间所绘的壁画，壁画的内容都是佛经故事。此外，寺中三圣殿内的供奉着的“华严三圣”塑像，释迦牟尼佛和普贤、文殊两位菩萨，也是形象生动、栩栩如生。在寺门前的广场，你还能见到上世纪八十年代迁过来的五龙壁，五龙壁是明万历年间遗物，壁中五条巨龙翻腾于波涛汹涌的云雾之中，其中一条“正龙”，怀抱一颗火珠，头朝正前方，正对着古寺。,全年 8:00-17:30,https://img1.qunarzz.com/travel/d5/201404/23/118ada5ac90791aeddb12cfb.jpg_480x360x95_d46df810.jpg,4.6,建议游览时间：0.7小时 - 1小时,4-10月最佳。大同地势较高，昼夜温差较大，夏季风沙小，天气较凉爽。,具体收费情况以现场公示为主,四季皆宜,1
大同土林Datong Soil Forest,http://travel.qunar.com/p-oi5740675-datongtulin,"

地址:
大同市云州区杜庄乡杜庄村


电话:
0352-8019543

",大自然的鬼斧神工造化了土林诡异迷离的地貌，当你走进这里，一时很难明白自己是登陆火星上还身陷魔域仙界。这就是大同土林，当地人叫“石板沟”，是目前华北地区唯一已知的土林景点。放眼望去，土林的奇特令人眼花缭乱，似古堡而非古堡，似雕塑又不是雕塑。有的犬牙交错壁立千仞，那一定是天界地缘；有的连绵不断，如远古长城再现；有的独居单处，好似隐士休闲；有的三五成群，有如古堡森严。土林的南边伸入到一片的宁静水域之中，站在岸边眺望，在水光倒影中的土林，更是扑朔迷离恍如梵界。在不同的阳光照射下，土林呈现出不同的风采，或金光闪闪，或红如火焰，气势恢宏，是许多摄影爱好者青睐之处。,8:00-19:00，18:30停止购票。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/1537e304b03e067a4f00c36283b48bba.jpg_480x360x95_7cc0cee2.jpg,4.2,建议游览时间：2小时 - 3小时,,{'大同土林门票成人票\n\n': ['¥43起']},,1
