名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
洱海Erhai Lake,http://travel.qunar.com/p-oi704576-erhai,"

地址:
大理州大理市下关洱河南路1号


电话:
0872-2329197

",洱海位于大理古城东侧，青葱的苍山脚下，湖泊蔚蓝，以山水美景和独具风情的各个村镇而闻名于世，是大理四大名景之一。洱海有名的景色是东岸的双廊，这里可以欣赏到优美的湖景，阳光透过云层，折射在湖水上，形成了“洱海神光”，以连绵的青山为背景，是摄影爱好者捕抓的风景大片。,全天开放,https://img1.qunarzz.com/travel/d5/1511/28/0fa530e95c086ff7.jpg_480x360x95_dd36a26c.jpg,4.7,建议游览时间：6天 - 9天,6月-8月最佳，舒适自在。 大理季节变化不明显，没有明显的严冬酷暑，寒暑适中，四季如春。值得宜。一提的是，中秋节晚上，居住在大理洱海边的白族人家都要将木船划到洱海中欣赏美丽的“洱海月”。,"{'洱海游船票成人票\n\n': ['¥110起'], '洱海游船小游艇拼船票大小同价\n\n': ['¥98起'], '洱海游船短线-桃源码头成人票\n\n': ['¥120起']}",1、环洱海一般有两种方式，一种是包车，一种是骑自行车，由于骑自行车需要较长的时间和较多的体力，通常选择包车环海，在住宿的客栈处可以让前台联系包车司机。人均价格大约在200元。如果只是想游洱海的一段路，可以选择租自行车或者电动车，价格便宜，还能深度体验洱海旁的慢生活。2、在大理问路时，当地人都不会说东南西北，他们都是以苍山和洱海来之路的，“上”就代表往苍山方向走，“下”就代表往洱海方向走。,1
大理古城Dali Ancient City,http://travel.qunar.com/p-oi703637-daligucheng,"

地址:
大理市一塔路42号


电话:
0872-2512899

",大理古城位于风光秀丽的苍山脚下，是古代南诏国和大理国的都城。这里是个适合生活的地方，当地人日出而作日落而息，闲时养花草晒太阳，加之阳光明媚温度适宜，吸引游客无数。白天必逛在古城，白天你可以逛逛复兴路，复兴路是古城的一条步行街，街两边有众多店铺，经营大理石雕刻、民族服饰和当地特色食品等当地特产。在各色店铺间穿行流连，可以淘些有民族特色的小东西，累了饿了，路边的小吃店也能吃到有特色的当地小吃。古城夜生活夜间，你可以像混在当地的人们一样，聚集在洋人街和人民路一带，这里有超多的特色酒吧和小咖啡馆，有些店里还有驻场歌手或者游人的即兴演出，热闹非凡。你尽可以在酒杯和音乐间寻觅那一份属于你的活色生香。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/fc93b6e6e6154d5f6c149fca5cccfd71.jpeg_480x360x95_3036fe67.jpeg,4.5,建议游览时间：3天 - 6天,四季皆宜,"{'大理古城游客中心—天龙八部影视城车票大小同价\n\n': ['¥2起'], '大理古城游客中心—崇圣寺三塔文化旅游区车票大小同价\n\n': ['¥3起'], '苍山洗马潭索道全程往返索道票成人票\n\n': ['¥260起']}",1.交通：汽车、火车到大理都是在下关下车。2.防晒：大理天晴的时候阳光灼热，紫外线强烈，应尽量避免太阳光的直射，户外活动时遮阳帽的准备是必需的，一幅太阳镜会让您在行程中视觉倍感舒适。3.气温：大理日温差变化大，特别在雨季较多的夏秋两季，最好夏装、防风、防冷的服装都带上。4.治安：大理古城的治安很好，在人多的地方要注意小偷，夜间不要在偏僻的地方逗留，女生最好结伴而行，不要单独行动。5.语言：大理是白族的聚居地，大理白族都说白族语言，但大多数人也会说普通话。大理人的普通话和昆明方言差不多，基本上都可以听得懂，在大理旅游，不用担心沟通障碍。6.消费水平：大理整体消费水平不高，物价也相对便宜。如果打算在大理度过一段漫长时光，房租加日常开销一般1000元/月就够了。古城内吃饭价格相对较贵，一般两人在几十元到一百元不等。小吃摊或小餐馆会便宜些，小餐馆的米线一般10-15元/碗。7. 乘坐高客到达大理或者双廊的路途比较不好走，多是盘山路或者道路颠簸，需要准备晕车药。,1
沙溪古镇Shaxi Ancient Town,http://travel.qunar.com/p-oi5440089-shaxiguzhen,"

地址:
大理白族自治州剑川县084县道


电话:
0512-53221815

",沙溪曾是茶马古道上的重要驿站，随着茶马古道的衰落，这里也就渐渐被遗忘了。但也因此，现在沙溪更加安静古朴，也更好的保留了当年茶马小镇的风貌。滇西北有个说法：走过大理，路过丽江，别错过沙溪。游览路线走过黑惠江畔的古石桥——玉津桥，沿着古道行走约100米，便到了被村民称为“街子门”的东寨门，这寨门用土坯镶砌而成，仅容两匹马同时通过，保留了茶马古道上的寨门原有的样子。再往内就到了寺登街，这是茶马古道上惟一幸存的集市，也是沙溪古镇的中心。整个街面用红砂石板铺筑，东面是坐东朝西的古戏台，西面是坐西朝东的兴教寺，两者遥相呼应，将四方街平分为南北两半，街场四周商铺马店林立，三条古巷道延伸到古镇的四面八方。沙溪看点：兴教寺兴教寺是沙溪的一大看点，这里是国内现仅存的明代白族“阿托力”佛教寺院，里面的壁画和雕刻值得细细品味，登记身份证就可以免费进去参观。每逢民族节日，全镇白族儿女各自身着节日盛装，弹着龙头三弦，齐聚四方街，在戏台上载歌载舞，四方街上人头涌动，兴教寺里善男信女敬拜神佛，一片欢乐吉祥。其中很热闹当数每年农历“二月八”太子会。住宿和用餐沙溪古镇不大，随便逛逛一两个小时就能逛完，但如果时间充裕，建议在这里住一晚，沿着老街随意走走看看，慢慢享受大理古城所没有的安静惬意。古镇里有青年旅馆和各种客栈可以住宿，价格相对实惠。路边小店可以解决用餐问题，另外还有当地特色的地参子、松茸、乳饼等可以选择。,古镇全天开放，古镇内景点开放时间不一，详见景区公示。,https://img1.qunarzz.com/travel/d9/1711/e1/f4570b1010e9d3b5.jpg_480x360x95_5593e0d7.jpg,4.8,建议游览时间：12小时 - 3天,沙溪一年四季景色不同，春天风吹麦浪，夏天雨水充沛，古镇生机盎然，秋冬宁静萧瑟，别有一番韵味。一年四季皆是旅游的好时机，只是交通不便，夏冬季节注意路况。,"{'【一单一车·有风地方】云南大理古城出发沙溪古镇一日游纯玩网红打卡小包团包车游\n\n': ['¥760起'], '沙溪古镇纯玩一日游，不进新华民族村，去风的地方同款，骑马至半山咖啡店，寺登街，宝相寺。\n\n': ['¥398起'], '大理沙溪古镇+石宝山包车一日游【追寻马帮足迹  5座车】\n\n': ['¥1080起']}",1、沙溪除老戏台和兴教寺外都不收门票。进欧阳大院，老太太通常要向游人收费，名目是卫生费，尽管名义上给多给少都行，但少了她肯定不高兴。2、沙溪气候与丽江相仿，早晚凉，最好准备好厚一点的外套，没必要穿冲锋衣。客栈里一般都有电热毯，晚上比较冷，睡前最好插上电加热一会儿。3、白族以木雕闻名，但买木雕最好到剑川，沙溪本地的特产是手工布鞋。尽管是直接从制作者手中买，但价格也不低，纯手工的即使是布拖鞋起码也要50元以上一双。4、尽管是白族地区，但沙溪人都会说汉语，即使有一些口音，交流也不成问题，古镇的许多人家都有文化底蕴，与他们聊聊能学到不少东西。,1
双廊Shuanglang,http://travel.qunar.com/p-oi713717-shuanglang,"

地址:
大理白族自治州大理市环海东路


电话:
0872-2461185

",双廊镇位于洱海东北岸，大理市东北部，紧靠碧波荡漾的洱海，并可远眺苍山十九峰，集苍洱风光之精华于一处。晴天时阳光透过云层，折射在湖水上，伴以连绵的苍山为背景，是摄友们最想捕捉的镜头。双廊看点双廊镇的主要景点是两个岛：玉几岛和南诏风情岛。玉几岛其实是个半岛，属双廊镇，可步行走过去。上岛有时会要求你购买门票（住宿在岛上则一般无需购买），不过在清晨或者傍晚以后基本就没人看管了，在岛上看看夕阳，非常惬意。岸边有当地渔民划着船儿招揽生意，可乘坐渔船在洱海里兜一圈，不过时间不会很久，也不会划的太远。南诏风情岛在玉几岛南部，从双廊镇南端的游船码头乘船上岛，5分钟可达。洱海大游船也会停靠此岛。游玩双廊，建议在此住宿一夜。傍晚时分，泛舟湖上，看光影潋滟，别有一番风味。在镇上吃吃当地特色的小吃和烧烤，去酒吧喝到微醺，在和缓的涛声中进入梦乡。,全天开放,https://img1.qunarzz.com/travel/d4/1711/c7/ba533c73e36214b5.jpg_480x360x95_1093f87e.jpg,4.3,建议游览时间：3天,双廊旅游四季皆宜，尤以春季为绝。春季的双廊春暖花开，苍山之雪尚存，大理“风、花、雪、月”四绝俱在，另外大理最热闹的三月街也在春季举办；夏天双廊很凉爽，是避暑的首选；秋天来双廊，秋高气爽、蓝天白云、雨水也少；冬日来双廊，暖阳斜照，远眺苍山雪盖峰顶，更是惬意。,"{'南诏风情岛门票成人票\n\n': ['¥44起'], '南诏风情岛门票学生票\n\n': ['¥25起'], '大理环洱海旅游观光巴士票大小同价\n\n': ['¥118起']}",1、一定要提前预定住宿，因为小镇客栈不算太多，很容易满房，特别是想住到你理想的那一家，更要至少提前两周预约，节假日提前一两个月预约。2、双廊距离大理古城约60公里，车程近1小时，距离沙溪比较远，车程约2-3小时，如果行程中还有其他几个地方的游览计划，最好先玩遍了最后到双廊，如果一定要从双廊出去，就提前请客栈帮忙约车。3、女孩子必须特别注意防晒，这里阳光非常充足，洱海波光粼粼，紫外线很强。4、做好充分的防蚊准备，蚊子又大又多。5、早晚温差很大，夏天也须带上长袖，在这四季如春的地方，再高级的客栈都不会装空调的。 ,1
苍山Cangshan Mountain,http://travel.qunar.com/p-oi713927-cangshan,"

地址:
大理白族自治州大理市大理古城西隐仙路


电话:
0872-5365006

",苍山位于大理洱海西侧，风光极为秀美，其主峰的积雪风光巍峨壮观，是大理“风花雪月”四景之一。苍山山间云雾变幻莫测，有“望夫云”、“玉带云”等奇秀形状，登上山顶，还可以俯瞰洱海、大理的优美风光。欣赏苍山美景，可以从洱海湖滨各个村镇远观，也可以走进苍山景区，近距离感受。苍山的山腰间修有一条长约18公里的游山步道，称为玉带云游路，北起小岑峰，南至圣应峰，沿途经过多座山峰，也经过清碧溪、七龙女池、中和寺等景点。走在海拔二千多米的玉带路上，随时可俯瞰大理坝子和洱海风光，视野开阔，让人心旷神怡。,全年 08:30-15:00,https://img1.qunarzz.com/travel/d4/1611/db/30cb923636925fb5.jpg_480x360x95_0e490ed5.jpg,4.5,建议游览时间：12小时 - 3天,四季皆宜。,"{'苍山国家地质公园门票成人票\n\n': ['¥100起'], '大理苍山石门关景区门票+高空栈道（含玻璃栈道）票成人票\n\n': ['¥118起'], '大理苍山石门关景区门票+高空栈道（含玻璃栈道）票老人票\n\n': ['¥58起']}","1、苍山上气温较大理古城低10-20摄氏度，出行请带好保暖衣物。 
2、地处高原高山，有高原反应史的游客请做好相关准备。",1
喜洲Hsi-Chou,http://travel.qunar.com/p-oi704286-xizhou,"

地址:
大理白族自治州大理市大丽线东


电话:
0872-2453966

",喜洲位于大理古城以北18公里处，西倚苍山，东临洱海，保存有大量的白族民居，也是喜洲粑粑发源地。游走古镇里，看着身着白族服装的老人、卖粑粑的小店、白族民居，满是浓郁的白族风情。喜洲速览正义门是喜洲古镇的西门，从这里进去就是古镇的老街。西门往内几百米处，有一棵500年的大榕树，粗壮得需要几个成年人才能合抱，算是喜洲古镇的标志了。进入古镇不远，有一座紫云山寺，现有的建筑建于清朝，看上去相当破旧，常有一些当地老年人在这里活动，晒太阳。再往内是四方街，这里是由众多店铺围成的小广场，也是整个镇子的中心，游玩喜洲通常从四方街开始。四方街是名小吃喜洲粑粑的原产地，味道很正宗的。看白族民居白族民居是喜洲的一大特色，这里的民居历经各个时期，人们常去参观的即严、杨两家。严家民居位于四方街西南角，建筑是典型的“三坊一照壁”及“四合五天井”的白族庭院格局。严家是旧时喜洲“四大家族”之首，可在此感受严家当年富甲一方的气派。民居内还能欣赏到白族歌舞表演，喝到特色的“三道茶”，如果对建筑和民族文化感兴趣的话，可以购票前往。杨品相宅位于喜洲东边，布局和严家民居大同小异，特别值得一提的是杨家的木雕非常精致，门楼格外华丽飘逸。另外在四方街附近还有一处严家大院，想要快速了解白族民居的可以去看看。游海舌半岛此外，值得一提的是喜洲古镇东面的海舌半岛。往东朝洱海方向走3-4公里，来到海心亭，再往前走数百米到金圭寺，便可以看到见一条约百米宽，一公里左右长的绿洲，好像一支玉簪插入波光荡漾的洱海，当地人称之为海舌。这里游客很少，而且风景非常美，蓝天白云绿树清波，还有出没其中的水鸟，给人融入自然的感觉，拍出来的照片也美得像画一样。游玩建议喜洲离大理古城不远，住在大理古城的话，可以乘车或者骑自行车前往，走走逛逛一天即可来回。也可选择在喜洲住一晚，第二天继续前往蝴蝶泉参观。,全天开放,https://img1.qunarzz.com/travel/d5/1709/5d/cf0f347f1c0b62b5.jpg_480x360x95_b123c4a0.jpg,4.4,建议游览时间：4小时 - 6小时,喜洲四季温度适宜，年平均气温15度，四季差别并不大。来喜洲体验少数民族的风情和建筑，无论哪个季节旅游都会给人温暖舒适的体验。,"{'严家民居优待票\n\n': ['¥10起'], '喜洲马帮田园骑行票成人票\n\n': ['¥160起'], '蓝续古法扎染体验园(喜洲田园店)蓝续扎染制作体验大小同价\n\n': ['¥120起']}","1、喜洲天晴的时候阳光灼热，紫外线强烈，应尽量避免太阳光的直射，户外活动时遮阳帽的准备是必需的，一幅太阳镜会让您在行程中视觉倍感舒适。 
 2、喜洲日温差变化大，特别在雨季较多的夏秋两季，最好夏装、防风、防冷的服装都带上。 
 3、在人多的地方要注意小偷，夜间不要在偏僻的地方逗留，女生最好结伴而行，不要单独行动。 
 4、喜洲是白族的聚居地，白族都说白族语言，但大多数人也会说普通话，基本上可以听得懂，不用担心沟通障碍。 
 5、来去周边景点的路途不太好走，多是盘山路或者道路颠簸，需要准备晕车药。",1
崇圣寺三塔文化旅游区Three Pagodas of Chongsheng Temple Cultural Tourism Area,http://travel.qunar.com/p-oi703869-chongshengsisantawenhua,"

地址:
云南省大理白族自治州大理市三塔路与文笔路交叉口西南角


电话:
0872-2673446,0872-2666158,0872-2666590

",崇圣寺位于大理古城北1.5公里处，是大理国时期的皇家寺院。这里东临洱海，西靠苍山应乐峰，风景十分优美。三塔原来是崇圣寺的一部分，如今看到的寺院是重建的，而三塔则是已有千年历史的遗迹，也是来此的最大看点。参观路线进景区入大门，迎面就能看到位于景区中轴线台阶之上的三塔。前方正中的大塔叫千寻塔，与南北两个小塔呈三足鼎立之势，颇为大气。三塔的造型与西安小雁塔相似，拍摄三塔最佳的地点是它斜后方三塔倒影公园的“三塔聚影池”，在这里可以拍到三塔和池中的倒影，许多游客在这里拍照留念。绕过三塔，沿着中轴线往里走，沿路可在文物陈列馆看维修三塔的过程中发掘出土的南诏、大理国文物，在钟楼看重达16吨的南诏建极大钟，在雨铜观音殿看雨铜观音，最后便可来到崇圣寺。崇圣寺如今的崇圣寺是2005年重建的，规模宏大，可以感受到当年南诏、大理时期皇家寺院的气派，寺内各种各样的龙共1万多条，是全国龙最多的寺院。另外，寺内还有一面全国最大的牛皮大鼓，直径3.1米，用一整块牛皮制成，值得一看。如果时间充裕，推荐继续往前，爬上景区最里面的望海楼俯瞰洱海和大理城，越往上走风景越好，爬上去大约需要一小时。周边行程推荐崇圣寺三塔里大理古城不远，游玩后可步行或坐车返回古城用餐，或者在景区门口的214国道上拦去喜洲的巴士，前往喜洲继续游玩。,05/01-10/31 07:10-19:00;11/01-04/30 07:30-18:30,https://img1.qunarzz.com/travel/d2/1801/74/e6a4d6e8c03735b5.jpg_480x360x95_71bbcf98.jpg,4.7,建议游览时间：2小时 - 3小时,3-4月最佳，有许多节日盛会。 白族的很多节日和盛会多集中在每年的3至4月间，此时来游，会感受到浓郁的民族风情。可以在三月街（农历三月十五--三月二十一日，大理城西三月街街场）和蝴蝶会（农历四月十五日蝴蝶泉）的时候去。同时大理年平均气温在15度左右，经过寒冬，正直春暖花开、雨季到来之前，所以也就是农历三月到四月是大理旅游的最佳季节。,"{'崇圣寺三塔文化旅游区门票成人票\n\n': ['¥66起'], '崇圣寺三塔文化旅游区门票+电瓶车票成人票\n\n': ['¥88起'], '崇圣寺三塔文化旅游区+景区往返直通车票成人票\n\n': ['¥72起']}",景区内有提供观光车，票价25元。,1
蝴蝶泉Butterfly Spring Park,http://travel.qunar.com/p-oi720442-hudiequan,"

地址:
大理市大理周城北1公里处（苍山云弄峰下）


电话:
0872-2431433,0773-8811466

",蝴蝶泉位于苍山脚下，因为老电影《五朵金花》而为人所知。这是一个泉水清澈的方形泉池，泉水的颜色十分漂亮。平时前来，能看到蝴蝶大世界内繁育的几十种蝴蝶，颇为有趣。从下关乘车大概20多公里就可以到达蝴蝶泉，景区门口与泉水处有一点距离，步行大约十几分钟，景区内也有电瓶车可以到达泉水边。来到蝴蝶泉最大的看点是泉水本身，这里的泉水清澈见底，而且由于富含离子使得水呈现一种奇幻的蓝绿色，不时涌出一串串银色气泡。在泉水边有曲折的大树倒映水中，非常漂亮。第二个景观就是蝴蝶了，除了蝴蝶大世界之外，还能看到各种各样的蝴蝶标本。据说以往每到四月中旬会有上万只蝴蝶在这里飞舞，非常神奇。当地人关于这里有非常浪漫的爱情传说，因此青年男女此时也会来到这里，寻找自己的意中人。,全年 08:30-18:00,https://img1.qunarzz.com/travel/d7/1608/a9/a7059dd121ce00b5.jpg_480x360x95_3973abca.jpg,4.3,建议游览时间：1小时 - 2小时,四季皆宜。,"{'蝴蝶泉门票成人票\n\n': ['¥37.8起'], '崇圣寺三塔文化旅游区门票+洱海游船票成人票\n\n': ['¥122起'], '崇圣寺三塔文化旅游区门票+蝴蝶泉门票成人票\n\n': ['¥90起']}",,1
洱海公园Erhai Park,http://travel.qunar.com/p-oi10066217-erhaigongyuan,,,,,,,,,,1
大理文庙,http://travel.qunar.com/p-oi9567910-daliwenmiao,"

地址:
大理市大理古城复兴路（古城南门附近）

",大理文庙位于大理古城西南，始建于明洪武年间，为州学，州升府后称府学，又称庙学、学宫。文庙主要建筑完成于明洪武年间，后经天顺、成化、弘治、嘉靖多年修葺，扩建，形成了规模宏伟的古建筑群。整个文庙占地10000余平方米，共有大小十三个院落。大成门后古建筑保存完好。2003年被大理州人民政府公布为文物保护单位。文庙中轴线为南北向，自南为照壁，前为泮池，上有石拱桥，池四周以石围栏，前为一高两低三跨式石牌坊，曰棂星门，石坊左侧有门曰礼门，右侧曰义路，坊后右侧为名宦祠...大理文庙位于大理古城西南，始建于明洪武年间，为州学，州升府后称府学，又称庙学、学宫。文庙主要建筑完成于明洪武年间，后经天顺、成化、弘治、嘉靖多年修葺，扩建，形成了规模宏伟的古建筑群。整个文庙占地10000余平方米，共有大小十三个院落。大成门后古建筑保存完好。2003年被大理州人民政府公布为文物保护单位。文庙中轴线为南北向，自南为照壁，前为泮池，上有石拱桥，池四周以石围栏，前为一高两低三跨式石牌坊，曰棂星门，石坊左侧有门曰礼门，右侧曰义路，坊后右侧为名宦祠、兴贤祠，左为乡贤祠、承祭祠，中为甬道至大成门，门上挂一大匾书“大成”二字，院中四角植柏树，大成门后中为甬道，两侧为东西两厢，院以方砖铺砌，四角植柏树，甬道直达大成殿拜台，俗称天子台，台高约1米，三周环以汉白玉石栏，后为大成殿，殿为单檐歇山顶，面阔七间，进深15.6米，高11米，规模宏伟，庄严大方，内供孔子牌位，中间的两棵立柱上雕刻两条盘龙。大成殿后为雁塔坊，重檐歇山顶牌楼式建筑，檐下四面设斗拱，八个翼角飞展，中间以圆门贯通，后为崇圣祠，祠后为尊经阁，阁内祀仓圣，曾藏古籍千余册。崇圣祠左为明伦堂，堂内有八扇格子门，镂空雕刻是艺术精品，工艺价值最高。堂下设射圃，旁立一小巧石坊，原书“佳径”（嘉晋谐音），1982年改为“柏苑”。,8：00-18：30,https://img1.qunarzz.com/travel/poi/1703/10/1fd4b98dd7feb837.jpg_480x360x95_46750b54.jpg,4.3,,,免费,,1
