名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
麦积山石窟Maijishan Grottoes,http://travel.qunar.com/p-oi704909-maijishanshiku,"

地址:
甘肃省天水市麦积区麦积镇麦积村


电话:
0938-2236316,0938-2655291


官网:
http://www.mjssk.ac.cn/

",麦积山石窟是西北最著名的石窟之一，与云冈石窟、龙门石窟和莫高窟一起被并称为“中国四大石窟”。石窟开凿始于十六国后秦时期，经过历代开凿修葺，共有佛像七千余尊，壁画一千多平方米，分布在近两百个洞窟里，并完整保持至今，十分珍贵。2014年，石窟还与丝绸之路上的其他胜地一起被列入了世界文化遗产名录，名扬海外，来此便可尽情观看。石窟所在的麦积山是一座岩壁陡峭、绿植环抱的孤山，景色清秀，登上山崖上的悬空栈道，既可以观赏佛教艺术，又能欣赏周围的景色，还能体验到脚下隧道的惊险刺激。麦积山石窟是麦积山风景名胜区的主要景点，麦积山位于甘肃省天水市市区东南50公里处，从天水市区便有公交车可以到达。麦积山本身就风景优美，麦积山风景名胜区的门票分为含石窟和不含石窟两种，价格不同，游客可以根据自己需要选择。不过绝大部分游客来此都是慕石窟之名而来，所以均会选择观看石窟。从景区大门到石窟山底的停车场约有3公里，此处可以步行或乘景区区间车。如果对佛教内涵比较感兴趣的话可以在售票处雇请一位导游。到达麦积山底后便可看到眼前的孤山一整面岩壁全部露在外面，除此之外周围随处都是绿意盎然，景色秀丽。而岩壁上则修筑了一层层的悬空栈道，悬空栈道非常险要，最高处有六百多米，在栈道之间开凿了多座大大小小的洞窟和佛像，在山下拍照非常壮观。远观之后便是近距离参观佛窟，麦积山石窟的游览路线十分简单，只要沿着山体间修筑的木制栈道层层而上，沿途一座座石窟参观即可。脚下的木制栈道现在好多已用水泥加固，所以向下观看虽会有些刺激吓人，但还是非常安全的。麦积山石窟保存完好，现在除了少部分特窟不对外开放，大部分都在供游客参观。步行在栈道上时，可以看到在一开始佛窟的规模并不壮观，佛像较小，而且好多使用了铁丝网保护起来。不过越往后走，佛像的规模就越大，也不再进行隔绝，而且很多窟内佛像都有多尊，十分壮观。在参观石窟时，可以着重观赏一下135窟（天堂洞）、142窟、37窟、127窟、44窟等，其中既有反映佛教故事“八王争舍利”中的激烈战争场面的特殊刻画，也有造型精美的飞天造像，都是石窟中的精品，又各具特色。另外，麦积山石窟内还有很多精彩石窟作为特窟，不对常规游客开放，参观需要另外付费，对佛像艺术感兴趣的可以选择参观。,4/1-10/31 08:30-17:30,https://img1.qunarzz.com/travel/d3/1511/b0/8ff1d41ee844e5f7.jpg_480x360x95_667c207c.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'麦积山石窟门票A票型(含游览石窟窟区)\n\n': ['¥40起'], '麦积山石窟门票A票型(含游览石窟窟区)老人票\n\n': ['¥40起'], '麦积山石窟+麦积山温泉票\n\n': ['¥198起']}",1. 景区内室内石窟一般都不允许拍照，为保护文物，在可以拍照处也请注意不要使用闪光灯。2. 麦积山风景区内还有仙人崖、麦积山植物园等景点，感兴趣的游客可以一并游玩。3.应急一号线：入口东门、经168石台阶、3窟、4窟、5窟、天桥、98窟、191窟、西崖出口。   应急二号线：入口东门、经9窟、13窟、15窟、43窟（特窟）、44窟（特窟）、中区通道、78窟（特窟）、74窟（特窟）、94窟、191窟、西崖出口。,1
伏羲庙Fuxi Temple,http://travel.qunar.com/p-oi706410-fuximiao,"

地址:
天水市秦州区伏羲路110号


电话:
0938 823 0242

",伏羲庙本名太昊宫，俗称人宗庙，始建于明成化十九年至二十年间(1483-1484年)，前后历经九次重修，形成规模宏大的建筑群，是中国国内有伏羲塑像的伏羲庙。伏羲庙临街而建，院落重重相套，四进四院，宏阔幽深。庙内古建筑包括戏楼、牌坊、大门、仪门、先天殿、太极殿、钟楼、鼓楼、来鹤厅共10座。整个建筑群坐北朝南，依次排列，层层推进，庄严雄伟，具有鲜明的中国传统建筑艺术风格。由于伏羲是古史传说中的第一代帝王，因此建筑群呈宫殿式建筑模式，为全国规模大的伏羲祭祀建筑群。每...伏羲庙本名太昊宫，俗称人宗庙，始建于明成化十九年至二十年间(1483-1484年)，前后历经九次重修，形成规模宏大的建筑群，是中国国内有伏羲塑像的伏羲庙。伏羲庙临街而建，院落重重相套，四进四院，宏阔幽深。庙内古建筑包括戏楼、牌坊、大门、仪门、先天殿、太极殿、钟楼、鼓楼、来鹤厅共10座。整个建筑群坐北朝南，依次排列，层层推进，庄严雄伟，具有鲜明的中国传统建筑艺术风格。由于伏羲是古史传说中的第一代帝王，因此建筑群呈宫殿式建筑模式，为全国规模大的伏羲祭祀建筑群。每逢正月十六伏羲诞辰日，周边群众扶老携幼，纷纷前来伏羲庙朝拜祭祀“人祖爷”。一时宝烛辉煌，香烟缭绕，钟鼓鸣天，善男信女异常虔诚，庙内充满着一派庄严肃穆的景象。,全年 08:00-17:40,https://img1.qunarzz.com/travel/d4/201404/24/ecaa2d40047b83edddb12cfb.jpg_480x360x95_3c6c6f62.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'伏羲庙门票成人票\n\n': ['¥10起'], '伏羲庙门票儿童票\n\n': ['¥10起'], '伏羲庙门票学生票\n\n': ['¥10起']}",,1
仙人崖Immortal Cliff,http://travel.qunar.com/p-oi715114-xianrenya,"

地址:
甘肃省天水市麦积区麦积镇后川村


电话:
0938-2731407,0938-2655291

",仙人崖距麦积山石窟15公里，由三崖、五峰、六寺所组成。翠峰高耸于崖顶，寺观修建于峰顶或飞崖之间，颇有雅趣。三崖，依其方位，名曰东崖、西崖、南崖。五峰即玉皇峰、宝盖峰、献珠峰、东崖峰和西崖峰。六寺为木莲寺、石莲寺、铁莲寺、花莲寺、水莲寺和灵应寺。“五峰”和罗汉沟群峰众相参差罗列，姿态万千，若揖拜“玉皇峰”，人称“十八罗汉朝玉帝”。仙人崖的寺宇总名叫华严寺，到明永乐十四年，明成祖朱棣把华严寺改名灵应寺，主要是把仙人崖的庙宇，划拨给韩开府(明韩王朱松的府第)，变成了韩开府朱家私人家庙了。故一般人把仙人崖和灵应寺往往互称。仙人崖的人文旅游资源比较丰富。如西崖寺宇是经唐、宋、明、清等朝代建筑和修缮的，大佛殿内西北角一个小斜梁架，据专家鉴定，是唐代屋架遗品。东崖有罗汉堂一幢，供大佛及十八罗汉，系明代建筑和塑像。南崖燃灯阁虽于清道光年间毁于火灾，但仍残存北魏晚期塑像。石岩洞为明末肃王朱炽宏(韩王朱松第十五代世孙，世袭与肃王)、大剑侠汪士墉、大书法家王了望隐居论道之处。玉皇阁东南侧下的壁岩间，有石窟佛龛，内存唐代壁画。,全年 08:30-17:30,https://img1.qunarzz.com/travel/d8/1709/ee/f138e0097bbab3b5.jpg_480x360x95_ca76985f.jpg,4.4,建议游览时间：2小时 - 3小时,,"{'仙人崖门票老人票\n\n': ['¥20起'], '仙人崖手机导览服务大小同价\n\n': ['¥10起'], '【上门接送】天水麦积山石窟一日游 可选仙人崖南宅子伏羲庙\n\n': ['¥195起']}",,1
玉泉观Yuquan Temple,http://travel.qunar.com/p-oi702146-yuquanguan,"

地址:
天水市秦州区成纪大道玉泉派出所北


电话:
0938-8213957

",玉泉观位于天水市城北天靖山脚下，创建于唐代，因山上有一碧水莹莹、清甜透脑的玉泉和元代秦州教谕梁公弼建寺时吟有“山寺北郊，名山玉泉”之句而得名。玉泉观自建立以来历经多次重修、扩建，鼎盛时拥有建筑90余座，现存60余座建筑，其中有明代建筑5座，其余均为清代各时期的建筑。玉泉观的建筑艺术风格，是在继承传统建筑艺术的基础上，又融合了地方建筑特色，建筑布局以道教规制分布，在纵贯南北的中轴线上坐落着宏伟的玉皇殿、三清殿、牌楼等七大建筑。在东、西、南的岗峦、土阜、...玉泉观位于天水市城北天靖山脚下，创建于唐代，因山上有一碧水莹莹、清甜透脑的玉泉和元代秦州教谕梁公弼建寺时吟有“山寺北郊，名山玉泉”之句而得名。玉泉观自建立以来历经多次重修、扩建，鼎盛时拥有建筑90余座，现存60余座建筑，其中有明代建筑5座，其余均为清代各时期的建筑。玉泉观的建筑艺术风格，是在继承传统建筑艺术的基础上，又融合了地方建筑特色，建筑布局以道教规制分布，在纵贯南北的中轴线上坐落着宏伟的玉皇殿、三清殿、牌楼等七大建筑。在东、西、南的岗峦、土阜、山坳里坐落着规模较大的祭祠、庙堂、泉亭和碑廊等。观内珍存历代碑石47方，石碣11方，砖雕34方，皆为元、明、清三代碑石。在众多碑石中，尤以元代镌刻的四面道流碑为珍贵，其字迹清楚，记述内容完整，被文物专家誉为“国家”碑石。此外，元代大书法家赵孟俯四方草书诗碑亦为罕见碑石。观内有50株古柏，其中千年以上的就有7株。玉泉“辫柏”为奇艳，该树悬根露爪，根茎交织，形如女子发辫，古名“辫柏”曾被国家古树专家誉为“全国之”。,4/1-10/31 08:00-18:00,https://img1.qunarzz.com/travel/poi/201211/15/5589585641155c53ddb12cfb.jpg_480x360x95_3725edec.jpg,4.5,建议游览时间：2小时 - 3小时,每年9月至11月，是天水市全年最佳旅游季节。天水市属温带大陆性气候，城区附近属温带半湿润气候，年平均气温为11.5℃。最热天气是7月份，最高温度为33.4℃；最冷天气是1月份。,"{'玉泉观门票老人票\n\n': ['¥5起'], '玉泉观手机导游讲解【不含门票】服务大小同价\n\n': ['¥0.6起']}",,1
陀罗尼经幢,http://travel.qunar.com/p-oi719472-tuoluonijingchuang,"

地址:
甘肃省天水市秦州区南郭路39号南郭寺内


电话:
0938-8623147

",南郭寺内碑碣众多，目前已发现有14幢之多，其中以佛鼎尊胜陀罗尼经幢时间最早；3块陀罗尼经幢临时存放在佛殿内，长约两米左右的汉白玉材质六棱经幢上，昔日雕刻的文字已经十分模糊，无法辨认。其中的一块，有明显的裂纹和断裂后的痕迹。保存相对完整的一块上可以看出，其一头有明显的榫卯式结构式的突出四棱体、一头有对应的四方形坑，显然这些分散而独立的单块经幢，有组合和套装的功能。已故学者冯国瑞先生，在《绛花楼诗集》对此研究后记有：“南郭寺经幢系前蜀王衍乾德三年(公元92...南郭寺内碑碣众多，目前已发现有14幢之多，其中以佛鼎尊胜陀罗尼经幢时间最早；3块陀罗尼经幢临时存放在佛殿内，长约两米左右的汉白玉材质六棱经幢上，昔日雕刻的文字已经十分模糊，无法辨认。其中的一块，有明显的裂纹和断裂后的痕迹。保存相对完整的一块上可以看出，其一头有明显的榫卯式结构式的突出四棱体、一头有对应的四方形坑，显然这些分散而独立的单块经幢，有组合和套装的功能。已故学者冯国瑞先生，在《绛花楼诗集》对此研究后记有：“南郭寺经幢系前蜀王衍乾德三年(公元921年)刻制。”其制作时间距今已有1091年。,3月1日-10月31日8:00-18:00，11月1日-次年2月28日8:30-17:30。,https://img1.qunarzz.com/travel/poi/201408/11/1c42466be446e910c8d65eac.jpg_480x360x95_ab03ca93.jpg,5.0,建议游览时间：0.5小时,,南郭寺门票成人票 20元/人优惠票 10元/人60岁以上持身份证的老年人、未成年人及学生实行半价10元免票对持甘肃省老年优待证的老人、现役军人、残疾人、儿童（1.4米以下）免票南郭寺“四月八”门票2元/人；导游服务费20人以内每次40元，20人以上每增加1人加收1.5元。,,1
大地湾遗址Dadiwan Museum,http://travel.qunar.com/p-oi715951-dadiwanyizhi,"

地址:
天水市秦安县大地湾遗址462县道南


电话:
0938-6751103,0938-6752686

",大地湾遗址位于天水市秦安县北侧的五营乡，距离天水市区车程约100公里。这里是距今8000年-5000年的新石器文化遗址，也是中国发现较早的新石器文化之一。如今的大地湾遗址建设了博物馆、遗址复原、宫殿遗址馆等设施，游客来此可以参观文物、观看复原的遗址，了解华夏民族起源时的早期文明。大地湾遗址目前主要分为三个部分，分别是大地湾博物馆、遗址复原区和大地湾宫殿遗址，之间相距约几百米，步行一一参观游玩即可，一般游玩3小时左右为宜。大地湾博物馆是一处仿土墙的建筑，建筑特别雄伟，还很有古朴的气息。博物馆分为发掘保护、岁月遗痕、陶风彩韵、天地伴眠四个主题展区，通过大量的文字和图片说明，介绍了新石器时代华夏文明发源的情况。馆内展示了很多陶器、石器、骨器等，都是从当地的大地湾遗址发掘而来，这些文物属于仰韶文化，也是华夏文明较早的起源证明，十分珍贵，来此可以好好参观一下。另外，馆内还有大地湾墓葬原型、大地湾复原沙盘等，可以一一参观，帮助了解新石器时期黄河文明的情况。在博物馆西侧约几百米处，有一处大地湾遗址复原区，按原样复原了一部分大地湾遗址，游客来此可以看到新石器时期特色的村庄。这里有几座茅草和木柱搭起的小房子，房内有反映新石器时期古人生活场景的雕像等。来此可以一一参观，了解古人生活的场景，另外，茅草屋组成的村庄也别具古朴韵味，在此拍照也十分不错。大地湾宫殿遗址位于博物馆和遗址复原区南侧约几百米处，是一处考古发掘的大地湾宫殿地基和部分墙壁等遗址，如今已经在原处的外侧盖了一座房子保护起来。游客可以进入房子内，观看距今几千年的古老建筑遗址，感受历史的沧海桑田。,周二-周日9:30-17:00；周一闭馆。,https://img1.qunarzz.com/travel/poi/201211/15/90053133283997b2ddb12cfb.jpg_480x360x95_4bbfe149.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
武山温泉Wushan Spa,http://travel.qunar.com/p-oi716082-wushanwenquan,"

地址:
甘肃省天水市武山县温泉乡


电话:
0938-8272659

",武山温泉西北第一武山温泉是古宁远八景之一，历史悠久，是全国矿泉疗养向往地之一。现有兰州铁路疗养院、甘肃省卫生厅直属疗养院和乡建疗养院、农家乐等，集疗养、休闲、娱乐为一体，服务周到、功能齐全。温泉位于陇海铁路天水车站至兰州车站之间，距洛门站仅15公里，每天有旅游专车往返通行于洛门、武山接送来往疗养、旅游人员。疗养区东南西三面群山环绕，安静幽雅，空气洁净、无噪音污染，年温差小，每逢春、夏、秋季，鸟语花香，气候宜人，是疗养康复的最佳期。疗养康复区...武山温泉西北第一武山温泉是古宁远八景之一，历史悠久，是全国矿泉疗养向往地之一。现有兰州铁路疗养院、甘肃省卫生厅直属疗养院和乡建疗养院、农家乐等，集疗养、休闲、娱乐为一体，服务周到、功能齐全。温泉位于陇海铁路天水车站至兰州车站之间，距洛门站仅15公里，每天有旅游专车往返通行于洛门、武山接送来往疗养、旅游人员。疗养区东南西三面群山环绕，安静幽雅，空气洁净、无噪音污染，年温差小，每逢春、夏、秋季，鸟语花香，气候宜人，是疗养康复的最佳期。疗养康复区的布局依自然地形设计，呈南北长廊式分布，其位置错落有致，所有建筑古朴、典雅，与疗养地自然景致融为一体，给人以浓郁的乡土气息；新型疗养院氡泉水疗楼在温泉水池塘中亭亭玉立，把疗养地装点得更富有勉力和新意，给人以强烈的时代感。,8:30-23:00,https://img1.qunarzz.com/travel/poi/201408/11/f106ea04028b2bf4c8d65eac.jpg_480x360x95_ad9c9143.jpg,4.0,建议游览时间：2小时,每年9月至11月，是天水市全年最佳旅游季节。天水市属温带大陆性气候，城区附近属温带半湿润气候，年平均气温为11.5℃。最热天气是7月份，最高温度为33.4℃；最冷天气是1月份。,温泉泡汤 68元,,1
隋塔,http://travel.qunar.com/p-oi721208-suita,"

电话:
0938-8623147

",南郭寺卧佛殿院中旧有七级舍利砖塔一座，俗称“隋塔”，是隋代广建寺塔时的产物。隋文帝杨坚在位二十四年，“前后营造寺塔五千余所”(范文澜《中国通史》)。仁寿元年(公元601年)，文帝颁诏于雍、歧等30州建塔，安置佛舍利。建塔的仪式隆重，规模浩大，安排周密。限十月十五日午时，同下入石函。总管刺史以下，县尉以上，停常务七日，专检校行道及打刹等事。建塔的式样均按“所司造样，送往当州”的标准样建造。诏书指定“秦州于净念寺(麦积山)起塔”。 仁寿二年(公元602年)正月，隋文...南郭寺卧佛殿院中旧有七级舍利砖塔一座，俗称“隋塔”，是隋代广建寺塔时的产物。隋文帝杨坚在位二十四年，“前后营造寺塔五千余所”(范文澜《中国通史》)。仁寿元年(公元601年)，文帝颁诏于雍、歧等30州建塔，安置佛舍利。建塔的仪式隆重，规模浩大，安排周密。限十月十五日午时，同下入石函。总管刺史以下，县尉以上，停常务七日，专检校行道及打刹等事。建塔的式样均按“所司造样，送往当州”的标准样建造。诏书指定“秦州于净念寺(麦积山)起塔”。 仁寿二年(公元602年)正月，隋文帝第二次颁诏分舍利于秦州、陕州、恒州、杭州等53州建塔，安葬舍利。仪式规模一如前式，诏书讲“其未注寺者，就有山水寺所起塔”。就是说，麦积山属第一次并注名建塔寺所。南郭寺地处州治，而且是已具规模的古刹，符合建塔条件，属第二次未注寺名者范围，是由州定建塔寺所。由此而知，南郭寺舍利塔当建于隋文帝仁寿二年。此塔几经颓废，宋代曾重修，不久遇地震而圮。清顺治十五年(公元1658年)，谢鉴等人修配殿的同时又修缮了古塔。民国九年(公元1920年)遇大地震倾塌。仅剩的三层塔身也在1922年被地方军阀孔繁锦拆除，所拆之砖，移建了他的“造币厂”。,8:00-17:00,https://img1.qunarzz.com/travel/poi/201408/11/b769028b1b7d97e3c8d65eac.jpg_480x360x95_1d053eda.jpg,--,建议游览时间：0.5小时,天水市属温带大陆性气候，城区附近属温带半湿润气候，年平均气温为11.5℃。最热天气是7月份，最高温度为33.4℃；最冷天气是1月份。每年9月至11月，是天水市全年最佳旅游季节。,20元（持南郭寺门票即可）,,1
卦台山Guatai Mountain,http://travel.qunar.com/p-oi708361-guataishan,"

地址:
天水市麦积区渭南镇


电话:
0938-2616673

",卦台山位于天水市渭南镇，相传为伏羲氏仰观天，俯察地，始画八卦的地方，山上至今还留有一座画卦台。登临卦台山顶，俯瞰三阳川，就会发现渭河从东向西弯曲成一个“S”形，把椭圆形的三阳川盆地一分为二，形成了一个图。这里山峰隽秀，溪流淙淙，有一块既如笋柱又似画笔的大石，名为分心石。有神秘感的是与画卦台隔河相望的龙马山，每逢云遮雾锁之时，山上的龙马洞忽隐忽现，给人以龙马出没之感。相传伏羲为创八卦，整日苦思冥想，殚精竭虑，仍不得要领。一日，忽见对面山洞中的云雾深处，有一匹两翼振动的龙马腾空而起，与渭河中呈图形的分心石相映，不禁灵机触动，立即在卦台山上画出了代表自然界“天、地、水、火、山、雷、风、泽”八种自然现象的八卦文字。卦台山巅，宽敞平整。建有伏羲庙、午门、牌楼、钟楼、古楼、戏楼、朝房等，现存有一直径64厘米，厚约10厘米的木制雕刻“伏羲六十四卦二十八宿全图”，比较珍贵。,全年 8:00-17:00,https://img1.qunarzz.com/travel/poi/201408/11/a5f9197590617e91c8d65eac.jpg_480x360x95_28b3374d.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
千佛洞,http://travel.qunar.com/p-oi710729-qianfodong,"

地址:
甘肃省天水市武山县

",千佛洞是位于甘肃省天水市武山县拉稍寺西北约一公里的天然岩洞，是武山水帘洞石窟群所包括的显圣池、拉稍寺、千佛洞、水帘洞、三清洞5处名胜景观之一，坐落在天水市武山县城东北约50公里处的钟楼山峡谷中，因壁画千佛而得名。又因有摩崖悬塑七佛，故俗称七佛沟。岩洞一侧崖面上以木桩栈道分为壁画和悬塑造像两部分。洞内原有七窟，现残存砂崖面雕像和壁画，造像丰满，神态各异。特别是菩萨像丰盈清秀，颇具北周特点，部分造像含有西魏遗风，是研究我国早期石窟艺术的重要资料。,8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/5836fe641b4ddba088ec93a04fe16355.jpg_480x360x95_1da9fe23.jpg,0.0,建议游览时间：1小时,,25元（属于武山水帘洞景区单元，持水帘洞石窟门票即可）,,1
