名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
五大道Five Great Avenues,http://travel.qunar.com/p-oi5229782-wudadao,"

地址:
天津市和平区成都道以南，马场道以北，西康路以东，马场道与南京路交口以西的一片长方形地区


电话:
022-23307222

",五大道位于天津和平区，以区域内五个主要的道路命名，实际有二十多条街道。清朝遗老、北洋政府里很多官员名流都曾在这里寓居，一栋栋优美典雅的洋房仿佛在诉说着津门曾经的风云故事。五大道总述目前来到五大道游览，主要就是观看街道上2000多所花园式的欧式建筑，其中名人故居就有三百多处，张学良、顾维钧、爱新觉罗载振等众多清末民初的名流都在这里留下了名字。这里的建筑整体是欧式，但形式多样各有特色。街区优雅浪漫，不少影视剧组来此取景，拍婚纱照的也爱把五大道的小洋房当背景。游玩方式初到五大道，如果摸不清东南西北，可以先到长沙路101号的民园广场，看看曾经的欧式体育馆，这里也相当于是五大道的集散中心。广场附近的游客中心里，可以拿一份地图（也有付费购买的更清晰版），上面标注了五大道很多故居、建筑的所在地，根据地图参观游玩即可。参观重点五大道内，很多的景点值得参观。疙瘩楼在河北路，墙上一粒一粒烧过火的砖形成的疙瘩已经十分特别，而且还是一座瓷片贴满的洋房；马场道117号的天津外国语学院是电视剧《金粉世家》的取景地；清朝庆亲王载振的公馆建筑中西合璧，在重庆道；蔡成勋故居是五大道的中式建筑，在这里显得十分特别，位于大理道；同样在大理道的睦南公园每年春天都有鲜花开放，给游人带来惊喜。,全天开放,https://img1.qunarzz.com/travel/d2/1611/e7/aef8dd984b3c3b5.jpg_480x360x95_a32f407a.jpg,4.6,建议游览时间：3小时 - 5小时,五大道最佳旅游时间是5月到11月。特别是秋季，树木藤蔓灿烂得如火如荼，整个老城区都显得极富生命力。,"{'五大道博物馆门票成人票\n\n': ['¥25起'], '五大道博物馆门票优待票\n\n': ['¥16起'], '王光英复原展厅门票优待票\n\n': ['¥16起']}",1、游览五大道的最佳时间是春天，路边开满海棠花，很美。2、目前五大道的很多建筑门牌上设置了二维码，可以留意查找，扫描并了解建筑的故事。3、游览五大道时可以选择乘坐观光马车，不仅可以全面游览五大道建筑群，还能听到车夫耐心讲解建筑的历史和故事。乘车地点： 和平区重庆道 - 民园大楼（接待中心），即民园体育场正门旁。,1
天津之眼摩天轮Eye of Tianjin,http://travel.qunar.com/p-oi5144697-tianjinzhiyanmotianlun,"

地址:
天津市河北区三岔河口永乐桥上


电话:
022-26288830

",天津之眼是一座横跨在海河上的摩天轮，就像是桥上的一只眼睛，这里也是天津有名的标志之一，每到夜晚华灯初上时，天津之眼的彩灯柔美，无数游客会来到这里，拍摄全景或是乘坐观光，享受别样的浪漫。游玩天津之眼一般有两种方式，乘坐或是远观拍照。乘坐摩天轮日场80元每人，夜场100元每人。摩天轮运营一圈大约是30分钟，座舱内有空调，可以缓慢的观赏周围开阔的景色，尤其夜晚天黑后华灯初上，十分漂亮。如果要拍摄摩天轮，可以在摩天轮南侧的金刚桥上，站在桥上，三岔河口（海河、南运河、北运河交汇处）就在眼前，柔美的天津之眼展开在眼前，周围是海河两岸的美丽建筑，随便一按就是漂亮的标志照片。,周二-周日9:30-21:30，周一白天检修，晚上18:00开始营业。,https://img1.qunarzz.com/travel/d4/1703/46/474cbd0d95d674b5.jpg_480x360x95_7534164f.jpg,4.6,建议游览时间：1小时 - 2小时,“天津之眼”四季皆可游玩，不同的季节乘坐“天津之眼”可观赏不同的风景，但春、秋两季气候温和，温度适中，外出感觉会比较舒适，是游天津的最佳季节。,70元,摩天轮目前每天上午9:30开始运营，下午到票售罄时即结束，每到节假日时摩天轮旁都会排起大长队，常常五六点钟票就售完了，所以若有条件还请避开节假日。 ,1
意大利风情区Italian Style Town,http://travel.qunar.com/p-oi705620-yidalifengqingqu,"

地址:
天津市河北区，东起五经路，西至胜利路，南起博爱道，北至建国道


电话:
022-86259967,022-24466187

",意大利风情区位于天津市中心，这里有200余栋地中海风格的典雅建筑。漫步其中，就像行走在浪漫的欧洲小镇，众多的名人故居、影视剧取景地也为游人的旅程增色不少。意大利风情区就在海河的旁边，从海河边（北安桥）走过来，首先看到是高高的有尖顶的钟楼，再往前可以看到精致的镂空铜马车，标志着意大利风情旅游区到了。沿街随意逛逛，看看红顶意式建筑群，欧式雕塑，踱步到马可波罗广场。马可波罗广场是景区的标志性建筑之一，中央柯林斯式的石柱上站着手持橄榄枝的和平女神。往西走，是威尼斯广场的“飞狮许愿池”，它远没有《罗马假日》电影里真正的罗马许愿池的气魄和鼎盛人气，可与整个意大利风情区营造的气氛融合，也依稀有电影的感觉了。的确有众多影视剧来这里取景，比如《建国大业》、《金粉世家》等，游人可以在这里找到剧中熟悉的场景，同时，也吸引了很多拍婚纱照的爱侣。除此之外，景区拥有众多名人故居。梁启超故居，大名鼎鼎的“饮冰室”就在这里；大军阀曹锟故居现在是渤海商品交易所；袁世凯故居、冯国璋旧宅现已改为饭店；还有曹禺故居、张廷谔旧宅等。参观一下介绍天津历史和未来城市规划的天津市规划展览馆也不错。到了夜晚，意式建筑亮了灯，西餐厅、咖啡店里的烛光、灯光摇曳，酒吧变得热闹，意大利风情区的景色和氛围更加迷人。,全天开放,https://img1.qunarzz.com/travel/d8/1510/84/ca1992b9db5f25.jpg_480x360x95_c2359d89.jpg,4.5,建议游览时间：2小时 - 4小时,,"{'尔宝瑞蜡像馆门票成人票\n\n': ['¥50起'], '尔宝瑞蜡像馆门票优待票\n\n': ['¥25起'], '海河游船意风区码头船票成人票\n\n': ['¥64起']}",夜游海河之后到意式风情街走走，喝喝啤酒聊聊天可谓畅快。预算充足的话还可以在意式风情街享用意式美食。,1
卢家峪五盆沟Wupeng Canyon,http://travel.qunar.com/p-oi23344137-lujiayuwupengou,,五盆沟地处蓟州区边缘部，与北京市平谷区交界，这里山水相映、小路盘旋，漫山的花卉尽展姿容，一派原始美景足以迷醉世人。,,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/e3cd8eb87abcb85fe8fd9f1ad851ba7a.jpg_480x360x95_ace58192.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
国家海洋博物馆Guojiahaiyang Museum,http://travel.qunar.com/p-oi25908100-guojiahaiyangbowuguan,"

地址:
天津市滨海新区荣盛路与海轩道交叉口


电话:
022-67185139


官网:
https://www.hymuseum.org.cn/

",国家海洋博物馆坐落于天津市滨海新区中新生态城滨海旅游区域，由国家海洋局与天津市人民政府共建。国家海洋博物馆展厅面积2.3万平方米，通过6大展区、16个展厅和3.6万余件珍贵藏品，全面展现了自然生态、历史人文、科学技术等多维视角下人类与海洋相互依存、和谐共生的密切关系。作为集收藏、展示、研究与教育于一体的综合性海洋博物馆，国家海洋博物馆将服务我国海洋强国战略，为保护海洋生态文明，传承海洋历史文化，讲述当代海洋故事贡献力量。,周二-周日9:00-16:30，16:00停止入内。周一闭馆（节假日除外）。,https://img1.qunarzz.com/piao/fusion/2107/df/c620c2120d74802.jpg_480x360x95_9f8faa77.jpg,4.7,建议游览时间：2小时 - 3小时,,,,1
古文化街Ancient Culture Street,http://travel.qunar.com/p-oi702210-guwenhuajie,"

地址:
天津市南开区，南门在水阁大街与古文化街交口，北门在通北路与古文化街交口


电话:
022-27356128,022-27339666

",古文化街位于天津市南开区，以天后宫为中心，南起水阁大街，北到通北路。这里是天津最著名的老字号和手工艺品店铺集中地。可以找到杨柳青年画、泥人张、魏记风筝等众多的手工艺品，还能品尝到经典的天津美食。古文化街目前有上百家店堂，大多是天津老字号店铺，充满浓郁的民间特色。这里有出售景泰蓝、苏绣、漆器等的综合性店铺乔香阁；有出售土特产的果仁张、皮糖张、崩豆张；最负盛名的还是民间工艺品店铺，拥有神态逼真的彩绘泥塑的“泥人张”，使用木板印绘年画的杨柳青年画，制作形态各异的风筝的“风筝魏”等，都是游客到古文化街必须去逛一逛的店铺。逛街的同时还可以享受天津特色美食，狗不理包子，煎饼果子，天津麻花等，绝对满足吃货的胃口。店铺早上8:30左右开张，晚上17:30左右打烊，可以注意一下逛街的时间。除了逛街、吃美食，古文化街还有不少名胜古迹，可以好好逛逛看看。天后宫位于古文化街中心，也是古文化街古迹的核心，祭祀保佑出海远航平安的天后娘娘，已有600余年历史。现在是天津民俗博物馆的所在地，馆内介绍了天津城历史、民俗，陈列着明代天津城砖、清代漕运模型、清代水机等文物。戏楼又称“津门老戏楼”，可以看相声和变戏法表演。大狮子胡同是近代思想家、教育家严复故居所在地，原房屋已不在，现在旧址上建天演广场，铸有严复铜像。另外还有通庆里、玉皇阁等等，各有特色。每年的农历3月23日是天后娘娘的生日，届时古文化街会举行皇会（最初叫“娘娘会”，因乾隆下江南时曾游此会于是得名“皇会”），天后宫前广场、宫南、宫北一带都能看到表演，有龙灯舞、狮子舞、少林会、高跷、法鼓、旱船、地秧歌、武术以及京戏、评剧、梆子等，是整个天津最热闹的庙会之一。,全天开放,https://img1.qunarzz.com/travel/poi/1612/a2/e9682812bfd32837.jpg_480x360x95_ae0bd6b2.jpg,4.5,建议游览时间：2小时 - 4小时,春节期间到访会有更多体验。,"{'海河游船古文化街码头船票成人票\n\n': ['¥64起'], '海河游船古文化街码头船票学生票\n\n': ['¥64起'], '海河游船古文化街码头船票老人票\n\n': ['¥64起']}",1、古文化街上有许多古玩，确实有不错的，但需要一定的鉴别能力，若要购买建议找懂古玩的朋友一起挑选。 2、古文化街与鼓楼仅相隔一条街，步行20分钟即到。安排行程时可以考虑将二者结合。,1
天津海昌极地海洋公园Tianjin Haichang Polar Ocean Park,http://travel.qunar.com/p-oi5475435-tianjinhaichangjidihai,"

地址:
天津市滨海新区响螺湾商务区61号（近海门大桥）


电话:
022-66227777


官网:
https://www.haichangoceanpark.com/tianjin/

", 天津海昌极地海洋公园，系国家4A级景区、科普教育基地，以其丰富独特的极地海洋资源、精湛的动物明星演绎、多元化的互动项目，被誉为“受消费者欢迎的十大热门海洋主题公园之一”及“亲子游项目目的地”。天津海昌极地海洋公园为开放式景区，占地面积4.9万平方米，呈鲸鱼状复合结构。拥有十二大展区（南极企鹅岛、神秘北极村、海底隧道、远古海洋、鲨鱼港湾 、珊瑚海、白鲸湾、柳穿鱼巷、海草堂、探奇鱼宙、未来水母馆、萌兽湾）、四大表演（快乐月亮岛、鲸月传奇、人鱼童话、嗷嗷星历险记）、五大动物科普秀及夜宿、夜宴等高端特色主题产品，深受游客喜爱。其中未来水母馆是具有开放式后场的特色主题展馆，展缸总数80余个，展出水母种类高达20种、数量多达万余只。通过数字互动、声光投影等多种形式向游客展现五光十色、神奇梦幻的水母世界。 【四大表演】 历时三年精心打造，2014年亮相，以四大别具特色的精彩表演“快乐月亮岛”、“鲸月传奇”、“人鱼童话”、“嗷嗷星历险记”共同打造了别开生面、精彩纷呈四大演绎。受欢迎的五大动物明星——白鲸、海豚、伪虎鲸、海象、海狮各怀绝技，联袂人鱼公主共同上演热闹精彩的“海洋大马戏”，无论在剧情上、演绎上、还是氛围营造上皆为国内高水准，让众多游人大开眼界、津津乐道。 【十二大展区】 馆内共分为十二大展区，分别为：南极企鹅岛、神秘北极村、海底隧道、远古海洋、鲨鱼港湾 、珊瑚海、白鲸湾、柳穿鱼巷、海草堂、探奇鱼宙、未来水母馆、萌兽湾。十二大展区相辅相成各具特色，将南北两极的企鹅、北极熊、海狮、海象、海豹等极地精灵汇聚于此，每日为游客呈现精彩的动物喂食秀表演。馆内二层为游客展示了各具特色的珊瑚、水母、水草以及海洋鱼类，精心布局，各具特色，让游客仿佛穿越在神秘的海底，感受海洋的神奇。【未来水母馆】 未来水母馆，共分为特色光影区、水母万花筒、水母秘境、水母音乐厅、水母童话区、水母互动区等六大主题展区和水母实验室、水母教室两大功能展区。 “水母万花筒”：共集结了世界近十分之一的水母品种，展区内，除了展示游客们熟悉的海月水母、安朵仙水母、澳洲斑点水母等品种，还将引进颇具趣味性、观赏性的和平水母、倒立水母、蛋黄水母、霞水母等，以及饲养难度颇高的海刺类水母，如黑海刺、太平洋海刺水母、紫纹海刺水母等；  “水母秘境区”：运用影像、声音、光与影等科技元素，让游客身历其境的畅游在水母与光影交织的浩瀚浪漫的水母星球之中； “水母互动区”：游客们可以通过互动仿生墙，与虚拟水母进行互动，了解水母的结构、水母的天敌等，让游客们既能了解水母的趣味科学，还能体验触摸水母的感觉，全面了解奇妙美丽的水母； “水母音乐厅”：音乐节奏与水母游动频率完美结合，置身其中就好像自己躺大海深处，想象着身边有水母飘过，变化着不同的色彩。配合水母摆动的频率改善自己的呼吸频率，在不知不觉中达到身心的放松和平衡。 “水母童话区”：是小朋友们最喜欢的地方，各类型的水母化身成卡通人物，向游客们介绍着自己的特性，水母知识大全，尽收眼底；水母摇摆、水母秋千等各种各样的水母主题游乐设施更是吸引着孩子们的目光。 “水母实验室”：展区将开放后场，幸运游客可以预约并参与“水母探秘之旅”，近距离观察水母的喂养、繁殖等过程，了解水母不为之人的趣味科普故事，并和专业的水母饲养师进行面对面的学术交流。 “水母教室”：是为水母爱好者和小朋友们准备的水母课堂，想要更深入的了解水母方面的科普知识和趣闻，可以静静的坐下，享受一场在水母世界的生动科普课。 【远古海洋】 2018年全新开设远古海洋科普展区，总面积700余平米，游览动线100余米，位于三层半后场。主要以生物进化为线索，五次物种大灭绝为主要节点，展示包括鱼类、无脊椎节肢动物、昆虫、两栖类、爬行动物、鸟类、哺乳类等内容在内，共计展缸40余套，生物种类77种，350余只动物。 以时间轴为顺序，从寒武纪一直到新生代，选取几个具有典型事件的时期，并以五次物种大灭绝的进化史实为展区分割点进行设计，选取当今与历史上较为接近的生物品种进行展示。浣熊、松鼠猴、荷兰猪、龙猫、欧亚红松鼠、土拨鼠、布偶猫等诸多萌宠，它们将以全新方式陪你穿越地球五亿年！ 【萌兽湾】 萌兽湾为室外露天场馆，这里向游客们展示了多种海洋动物。人们能在阳光下近距离接触海洋动物，并从不同角度欣赏它们的生活百态。在与“萌兽”亲密接触的同时，学习科普知识，是全家出行游乐打卡的不二之选。在萌兽湾，您可以邂逅一群萌萌的斑海豹，与慵懒的海豹一起享受自在悠闲的阳光。 【海洋欢乐星球】 海洋欢乐星球为室外海洋剧场，可容纳上千人同时观看。在这里，演艺人员将跌宕起伏的故事情节与精彩绝伦的海洋动物演出相结合，让游客感受全新的海洋奇妙情景剧，打造人与自然和谐共生的海洋童话世界。【特色项目】 针对亲子家庭，天津海昌极地海洋公园还推出夜宿、夜宴活动，在深邃的海洋中探秘晚间极地的特色，在蔚蓝的海底隧道中品尝极地美食，夜晚与鱼儿同睡，感受夜晚不一样的神奇极地，此项目成为京津冀地区受欢迎的亲子体验项目之一。 天津海昌极地海洋公园根据不同年龄段的需求，开展了多种多样的特色项目，针对家庭游客，开展了“5D动感体验”以及“冰河世纪馆”。在5D动感体验中，游客可以再次感受震撼的视觉冲击，让你享受刺激的动感体验，而在零下十度的冰河世纪馆中，游客们可以在此欣赏到丰富有趣的动物冰雕，近距离探访因纽特人的神秘生活，还有浪漫的飘雪区，让你一秒穿越极地，尽享酷爽。 针对孩子，“企鹅乐乐园”、“互动海滩”成为孩子最喜爱的特色项目。企鹅乐乐园为极地海洋主题儿童软包探险体验游乐项目，孩子们可以寻找心目中的极地人偶，与其交流、探险，共同玩耍，在玩乐中锻炼社交、展现体能及动作协调等成长技能。“互动海滩”项目孩子则可以在人工海滩上尽情玩耍，体验海洋风情，与动物近距离接触。 天津海昌极地海洋公园，浓缩极地精华，尽展海洋奇观。来天津海昌极地海洋公园，感受响彻心灵的“蓝白交响曲”，收获最纯粹的快乐和感动！,7/1-9/30 09:00-16:30,https://img1.qunarzz.com/travel/d6/1607/e8/cc07a694992d619a.jpg_480x360x95_a7f1e151.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'天津海昌极地海洋公园五馆票儿童票\n\n': ['¥199起'], '天津海昌极地海洋公园五馆票老人票\n\n': ['¥150起'], '天津海昌极地海洋公园五馆票优待票\n\n': ['¥150起']}",,1
瓷房子Porcelain house,http://travel.qunar.com/p-oi722969-cifangzi,"

地址:
天津市和平区赤峰道72号(近和平路商业街)


电话:
022-27123366

",瓷房子是一座动用了无数私藏古瓷器、汉白玉石雕、水晶、玛瑙、古董装饰而成的法式建筑。房子的墙上密密麻麻贴满了精美的中国古代瓷器，庭院和楼内堆满了古董，铺天盖地的瓷器古董常让初到瓷房子的游客眼花缭乱。瓷房子的围墙由数百个民国时期和晚清时期的古瓷瓶垒砌串联而成，名平安墙。房顶用古瓷片拼成的巨龙盘旋出“China”的图案，巨龙后是碎瓷片拼出的2008年奥运主体育场鸟巢。注意看房子外围右侧，有一竖排的瓷猫从顶层延伸到一层墙角，瓷猫周边镶嵌满水晶、玛瑙，如此兴师动众装饰的却是一根下水管道，令人赞叹。整幢楼共有五层，地下室不对外开放，一到四层供游客参观。每一层楼内都摆放着许多雕刻细腻的古代木制家具，红色墙壁上用瓷片贴出古今中外的名人字画。一层中间放着一只宋代大瓷缸。二楼和三楼都有阳台可以观景，一定要抬头看阳台的天花板，天花板是由一个个整只的古代瓷器盘子贴出来的，越往中间的盘子越价值不菲。由于每一层中间都是镂空的，从四楼可以一直看到一楼中间的大瓷缸。面朝瓷房子，左手边有一间同样覆盖满精美瓷器的小房间是厕所，看一看就好，为了在水晶、玛瑙与瓷器堆中上一回脱俗、唯美的厕所，厕所门前经常排长队。瓷房子的右手边就是出口了，别直接走出去了，出口所在的小房间有“镇馆之宝”。在瓷房子庭院中所见古董石像有些没有头部，头都在出口的耳房这，其中较大的一颗佛头就是“镇馆之宝”了，佛眉心间有个原来是放红宝石用的大凹槽。出口的这间房间不允许照相。若光看这幢瓷房子还不过瘾，在天津五大道有一幢疙瘩楼（河北路283号），和瓷房子有异曲同工之妙，离得也不远，可以过去看看。,1. 夏令时：周一至周日9:00-19:00（18:30停止售票，4月1日-10月31日） 1. 冬令时：周一至周日9:00-18:30（18:00停止售票，11月1日-3月31日）,https://img1.qunarzz.com/travel/d7/1701/82/d1327fca1e4e89b5.jpg_480x360x95_cebea9b9.jpg,4.2,建议游览时间：1小时 - 2小时,,"{'瓷房子门票成人票\n\n': ['¥50起'], '瓷房子门票优待票\n\n': ['¥30起'], '天津观光巴士津游1号(观光5路)津游一号观光票成人票\n\n': ['¥19.9起']}",瓷房子中有免费的讲解服务，没到游客达到一定人数就开始一次，可以留意听听。,1
梨木台风景区Limutai Scenic Area,http://travel.qunar.com/p-oi704001-limutaifengjingqu,"

地址:
天津市蓟州区下营镇船舱峪村北梨木台风景区


电话:
022-22711569


官网:
http://www.limutai.net/

",梨木台景区因秀美的地势和清新水流、葱郁树木等自然风光闻名，是京津周末郊游的好去处。来此可以漫步登山，品味清新自然，观赏俊秀地貌、长城古迹，每年春天时，景区内还会有大片梨花开放，是拍照摄影的好地方。梨木台景区面积较大，景区纵深大约有7-8公里。景区内部有众多景点，不过大多分布在一条主干道两侧，游客进入后沿着主干道步行游览，一直到景区深处的山顶，然后原路返回即可，全程大约需要5-6小时，若体力不足也可以游玩到中途便返回。另外，景区内也有区间车可以节省大约1小时的登山路，建议上山时乘坐节省体力，下山时可以步行。梨木台等登山路大致分为三部分，一部分为景区大门到登天缝、五指山处，距离很短，大约1-2公里。这一部分主要的景观便是登天缝，登天缝是一处类似“一线天”的地质奇观，两侧山崖高耸陡峭，十分险峻。游客可以沿着天缝之间的石阶爬上山顶，大约需要半小时左右，山顶处视野开阔，还有北齐时期的古长城遗址，可以仔细观看一下。观看完山顶景色后即可原路下山，第二段登山路是从登天缝到梨木台山庄。这一段路大约3公里，路上景色很多，有太平池、神龟探海、黄砬瀑布、豹子潭、骆驼峰、蝴蝶泉、群猴望日等，其中有形态各异的岩石和崖壁，也有清新的水流、池塘和瀑布，风光自然优美。路上的梨花台处是梨花密集的地方，每年4-5月份，来此拍照一定不能错过这里。另外，梨木台山庄处还有杜鹃坡，春天时还有非常漂亮的杜鹃可以观看。后一段山路是从梨木台山庄向后，一直爬到海拔900多米的梨木台山顶处，这一段山路较长，往返大约需要3-4小时。一路上景点较少，有长寿石、野生猕猴桃林等，景观也都比较普通，所以很多游客会将这一段省去，仅游玩到梨木台山庄处即返回。如果是登山或徒步爱好者，则可以攀登这一段，梨木台山顶视野比较开阔，可以体会登顶的畅快感觉。餐饮住宿游客到梨木台游玩，大多会在景区附近住宿一晚。梨木台景区外有很多农家乐，一般农家房间大约100-200元左右，条件稍好的标间会更贵一点，可以选择入住。用餐也都是在农家乐里，可以品尝一下这里的农家菜，价格不算太贵。很多集体出游的游客还会选择烤全羊等美食，不过类似的大菜价格会较高，可以提前商量好价格。,04/01-10/31 08:00-17:00;11/01-03/31 全天不开放,https://img1.qunarzz.com/travel/poi/1707/d5/d0cfce02d6106237.jpg_480x360x95_87a50801.jpg,4.4,建议游览时间：3小时 - 6小时,4月-10月，冬季封山（11月1日~3月31日）,"{'梨木台门票成人票\n\n': ['¥68起'], '梨木台风景区门票+摆渡车票成人票\n\n': ['¥64起'], '梨木台+摆渡车票优待票\n\n': ['¥45起']}",,1
西开教堂St. Joseph Cathedral,http://travel.qunar.com/p-oi705800-xikaijiaotang,"

地址:
天津市和平区西宁道9号


电话:
022-27811929,022-27813325

",西开教堂位于繁华的滨江道商业街的南端，始建于1917年，是天主教天津教区的主教堂。教堂建筑风格庄重大气，教堂内的雕塑也都繁复精美，另外弥撒和天主教节日的活动对外开放，可以参与其中，感受浓厚的宗教氛围。外部参观教堂外部用红黄相间花砖砌成，三座呈品字形排列、高耸入云的塔楼上浮盖着绿色铜片，经过岁月的冲刷，斑驳的绿色在阳光的照耀下反而闪烁出具有历史感的光彩，塔楼顶上各有一个青铜十字架。内部建筑走进教堂，映入眼帘的首先是湖蓝、白色、淡黄构成的内部主色调，给人一种清新的感觉，只在恰到好处的位置上雕刻着各种花纹，14根立柱从门口排列到祭台，气度不凡。教堂四周列着一座座精美的教徒铜像，墙壁上则挂着一幅幅记述耶稣受难故事的油画，教堂内还有圣母、耶稣、天使等的彩色塑像。另外，一扇扇彩绘玻璃窗也很迷人。在教堂的一侧你会发现一个木质小房间，顶上有小小的十字架，那是供神甫接待信徒忏悔告解用的“告解亭”。宗教活动西开教堂的弥撒活动对外开放，非教徒同样可以参加，不过弥撒时间不可以在教堂里跑来跑去到处参观，静静地坐在后排，不能大声喧哗、不要拍照，去感受繁华都市中内心的那一份宁静就好。另外也有很多天主教节日的活动，也和弥撒一样对外开放。具体弥撒和天主教节日活动时间可见官网。,全年 8:30-16:00,https://img1.qunarzz.com/travel/d7/1611/7f/b82e12f9e6eed7b5.jpg_480x360x95_ab334ec9.jpg,4.6,建议游览时间：1小时 - 2小时,,"{'天津观光巴士津游1号(观光5路)津游一号观光票成人票\n\n': ['¥19.9起'], '津游一号仿古铛铛车票成人票\n\n': ['¥19.9起'], '【精品小团|迎春特惠|档期回归】瓷房子+五大道+古文化街+津味相声+天津之眼+海河游船一日游\n\n': ['¥106起']}",西开教堂位于滨江道最南端。如果是从天津站抵达天津，过解放桥游览意式风情区，再从北侧进入滨江道，逛完滨江道就看到西开教堂了。,1
