名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
天门市烈士陵园,http://travel.qunar.com/p-oi38887663-tianmenshilieshilingyuan,,,,,--,,,,,1
陆羽广场,http://travel.qunar.com/p-oi38603661-luyuguangchang,,,,,--,,,具体收费情况以现场公示为主,,1
长湖岭,http://travel.qunar.com/p-oi35297900-zhanghuling,,,,,--,,,具体收费情况以现场公示为主,,1
长傅岭Changfu Mountain,http://travel.qunar.com/p-oi35297526-zhangfuling,,,,,--,,,具体收费情况以现场公示为主,,1
西岸咀Xi'anzui Village,http://travel.qunar.com/p-oi35295692-xianju,,,,,--,,,具体收费情况以现场公示为主,,1
乙酋塆Yiqiuwan Village,http://travel.qunar.com/p-oi35289592-yiqiuwan,,,,,--,,,具体收费情况以现场公示为主,,1
胡家花园Hujia Garden,http://travel.qunar.com/p-oi35019045-hujiahuayuan,,胡家花园占地面积大，由前堂、客厅、绣楼、天井、花园等组成。这里是保存较完整，规模较大的晚清宫邸。,,,2.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
天门知青农场Tianmenzhiqing Farm,http://travel.qunar.com/p-oi26633032-tianmenzhiqingnongchang,,农场里有各种采摘园，还设置有迷宫、亲子乐园等游玩项目，在这里可以尽情地享受田园风光。,,,0.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
陆羽纪念馆Lu Yu Memorial Hall,http://travel.qunar.com/p-oi24412243-luyujinianguan,"

地址:
文学泉道与西寺路交叉口西北100米

",,全年 7:00-19:00,,5.0,建议游览时间：2小时,,,,1
东湖公园Donghu Park,http://travel.qunar.com/p-oi23059769-donghugongyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/294107c715e41968e5844871785c8a90.jpg_480x360x95_5a0fecd4.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
茶经楼Chajinglou,http://travel.qunar.com/p-oi19526096-chajinglou,,茶经楼位于湖北天门，是一座唐代风格的建筑。茶经楼共九层，高五十多米，占地面积九百多平米，建筑面积五千多平米。,,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/2ef1bab4-6aa0-4552-970b-8aae4932d207.jpg,4.8,,,,,2
天门市图书馆Tianmen Wanlin Library,http://travel.qunar.com/p-oi19522393-tianmenshitushuguan,"

地址:
天门中学


电话:
5283085

",,全年 周二-周日 08:30-17:00,,0.0,,,具体收费情况以现场公示为主,,2
天门市博物馆Tianmen City Museum,http://travel.qunar.com/p-oi19515141-tianmenshibowuguan,,天门市博物馆的馆藏内涵极为丰富。无论从地下的文物遗存看，还是从几十年间发掘、征集、收藏的文物看，天门的文化遗迹丰富，面积广泛，地域无空白，时代无缺环，现有馆藏文物能够见证人类文明历史的时间跨度约五千余年。天门古称“竟陵”，是“茶圣”陆羽的故乡，是一座历史悠久、文物资源丰富的文明城市，也是长江流域人类文明的重要发祥地，存积着大量的文物资源和人文遗产。,,,4.3,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2
佛祖山Buddha Mountain,http://travel.qunar.com/p-oi10023011-fozushan,"

地址:
天门市天门佛子山镇

",佛子山位于湖北省天门市西北角的佛子山镇，根据天门县志记载，1961年前又名佛祖山，相传为佛祖释加牟尼的道场，有着悠久而丰富的文化积淀。早在佛教传入中国之初，佛祖山即建有庙宇，明代鼎盛时期，佛祖山周边建有庙宇、道观、书院200多座，至1912年大部分毁于战火。重建佛祖寺及周边庙宇，是广大佛教信众和天门人民多年的夙愿。该项目按国家5A级风景旅游区标准设计规划。景区占地35000亩（其中天门部分面积22000亩，京山部分13000亩），以天门市为主体开发。项目由佛祖文化区、楚文化区、休闲度假区等3个旅游资源景区组成。,景区暂时停业，详情请以景区公示为准。,,4.2,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2
文学泉Literature spring,http://travel.qunar.com/p-oi10010856-wenxuequan,,位于天门市城区文学泉路。距武汉市130余公里。俗名“三眼井”，是“茶圣”陆羽品水煮茶的地方。陆羽（733~804），字鸿渐，竟陵人，出生于唐开元年间（713~741），以《茶经》三卷著称于世，世人尊为“茶圣”、“茶神”。陆羽曾被朝廷诏拜为太子文学，史称“陆文学”，因此，这口井又称“文学泉”。宋黄州太守王禹偁游文学泉时曾赋诗一首：“甃石苔封百尺深，如今尝味少知音，涓涓泉底中霄月，留得先生一片心。”这口井后因年久失修而湮废。清乾隆四十七年（1782），湖北安襄郧兵备使陈大方访文学泉古迹，感怀先贤遗风，倡议增其规模，以壮观览，于是重修文学泉，并在其周围筑岸建桥，构轩堂亭阁，刻陆羽像及名人题咏并立碑堂中。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/18c10197d43f01abd8d2651243fbf33e.jpg_480x360x95_f7f321f1.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
白龙寺Bailong Temple,http://travel.qunar.com/p-oi10010854-bailongsi,"

地址:
天门市皂市镇五华街白龙寺西路

",位于天门市皂市镇五华街白龙寺西路，距天门市中心城区约25公里，始建于南朝，至今已有1500余年历史，占地面积1200平方米，主要建筑有前殿、大雄宝殿。前殿内供有弥勒佛、韦驮菩萨。大雄宝殿是历代佛教僧徒参禅拜佛的殿堂，为“白龙寺”的主体建筑，结构形式为一重檐歇山顶式宫殿，内有楹柱二十八根，中柱十字通风，两米合围，旁柱斜断落基，千年不动，不炎夏汗，堪称奇迹。屋面出檐深远，以撩檐枋代替檐檩，上有斗拱22组，斗拱分布稀朗，其中并施用丁头拱菱形梭斗，如意饰头，生动而有灵气。大雄宝殿内供有如来佛、阿弥陀佛、药师佛、观世音、善才、龙女、文殊、普贤、造型各异，弦金绘彩，形神兼备，栩栩如生。整个建筑物规模宏大，结构严谨，外形雄伟壮观，气氛神圣肃穆，香烟飘逸缭绕，钟声清越悠扬。,景区暂时停业，详情请以景区公示为准。,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/62e8d2ecbb73ffc778362dff97b0395f.jpg_480x360x95_0b133a0a.jpg,4.3,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
石家河文化遗址Shijiahe Cultural Site,http://travel.qunar.com/p-oi10010852-shijiahewenhuayizhi,"

地址:
天门市石河镇石河大道石家河遗址


电话:
0728-4891001

",石家河遗址是我国长江中游地区迄今发现分布面积大、保存完整的新石器时代聚落遗址。它位于天门市石河镇，毗邻镇北，分属土城村，芦岭村、唐李村、东桥村辖地，东南距天门市城区约16公里。 遗址占地面积8余平方公里，由40处地点组成。 各地点相距很近， 有的甚至紧密相连， 其中心区还有一座构筑于屈家岭文化时期的古城和一座保存完整的西周城址。石家河遗址及由它命名的石家河文化代表了长江中游地区史前文化发展的高水平，在中华民族文明起源与发展史上占有十分重要的地位。 1956年11月15日，石家河遗址由湖北省人民委员会公布为第一批重点文物保护单位； 1996年11月由国务院公布为全国重点文物保护单位。,景区暂时停业，详情请以景区公示为准。,https://img1.qunarzz.com/travel/poi/1712/99/1df0ae6891eafd37.jpg_480x360x95_f961e464.jpg,4.2,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
陆羽公园Luyu Park,http://travel.qunar.com/p-oi9137585-luyugongyuan,"

地址:
天门市文学泉道与西寺路交叉口西50米

",陆羽故园原名西湖公园、陆羽公园，2008年改造过后，建设为陆羽故园。园内有“三湖三岛”，岛上有兴建茶经楼以及连接三岛的夫子桥、古雁桥、司子桥及青塘别业、雁桥广场、茶圣广场、茶经广场、双湖广场、植物印章迷宫、东岗草堂、大型景观喷泉、一系列以陆羽生平经历为内容的情景雕塑、主题人文雕塑等诸多景观。陆羽故园内的景观主要以陆羽一生为主轴进行设计，融合了生态、人文、休闲等元素和功能，是一座突出陆羽特色、茶文化特色的主题公园。游客在游玩过程中不仅可观览到美景，还能了解到湖北天门的历史文化风貌。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1511/51/90511b0803b19cf7.jpg_480x360x95_4eb68321.jpg,4.6,建议游览时间：1小时 - 2小时,四季皆宜。,具体收费情况以现场公示为主,,2
西塔寺,http://travel.qunar.com/p-oi9137551-xitasi,,"西塔寺是天门市最大的佛教寺院，也是江汉平原最古老的寺院。始建于东汉，迄今已有一千七百多年历史,为历代高僧驻锡。在唐开元21年西塔寺住持智积禅师收养了弃婴，这就是后来写出史上第一部茶学专著《茶经》而享誉世界的茶圣陆羽。",,https://img1.qunarzz.com/travel/poi/1511/e9/91f94253bd3c7af7.jpg_480x360x95_f37d5cc1.jpg,5.0,建议游览时间：1小时 - 2小时,四季皆宜。,,,2
天门市烈士陵园,http://travel.qunar.com/p-oi38887663-tianmenshilieshilingyuan,,,,,--,,,,,3
陆羽广场,http://travel.qunar.com/p-oi38603661-luyuguangchang,,,,,--,,,具体收费情况以现场公示为主,,3
长湖岭,http://travel.qunar.com/p-oi35297900-zhanghuling,,,,,--,,,具体收费情况以现场公示为主,,3
长傅岭Changfu Mountain,http://travel.qunar.com/p-oi35297526-zhangfuling,,,,,--,,,具体收费情况以现场公示为主,,3
西岸咀Xi'anzui Village,http://travel.qunar.com/p-oi35295692-xianju,,,,,--,,,具体收费情况以现场公示为主,,3
乙酋塆Yiqiuwan Village,http://travel.qunar.com/p-oi35289592-yiqiuwan,,,,,--,,,具体收费情况以现场公示为主,,3
胡家花园Hujia Garden,http://travel.qunar.com/p-oi35019045-hujiahuayuan,,胡家花园占地面积大，由前堂、客厅、绣楼、天井、花园等组成。这里是保存较完整，规模较大的晚清宫邸。,,,2.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3
