名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
蒙山大佛Mengshan Giant Buddha,http://travel.qunar.com/p-oi706441-mengshandafo,"

地址:
太原市晋源区罗城寺底村


电话:
0351-6159898

",蒙山大佛，又名西山大佛，位于山西省太原市西南20余公里处的蒙山。蒙山大佛开凿于北齐天保年间，本是蒙山开化寺后的摩崖佛像。元朝末年，蒙山大佛被毁。1980年大佛被重新发现，但佛头已不知去向。现在的大佛头部为后人新凿的。蒙山大佛两腿底部至颈部高约30米，按照比例计算，加上佛头高度，大佛原本高度约为46米。大佛前的平台上存有面阔三间的建筑遗迹，门墩石和地栿尚在。遗迹北面存有一龟趺，碑已失。佛龛西侧壁上存有若干小石洞，是修建佛阁时嵌入梁檩所用。大佛龛外东侧，崖面上还有一块摩崖碑刻和二个洞窟的遗存。,全年 08:00-18:30,https://img1.qunarzz.com/travel/poi/1706/ac/db57a4ec0185f137.jpg_480x360x95_eeb8cae4.jpg,4.4,建议游览时间：2小时 - 4小时,四季均可。,"{'蒙山大佛山西旅游惠民卡大小同价\n\n': ['¥258起'], '蒙山大佛电子讲解票大小同价\n\n': ['¥0.5起']}",,1
双塔寺Shuangta Temple (Twin Pagoda Temple),http://travel.qunar.com/p-oi706993-shuangtasi,"

地址:
太原市城区东南方向距市中心四公里左右的郝庄村南之向山脚畔


电话:
400-0351-851

",太原南郊的双塔寺，是太原市的标志性建筑，太原市市徽上的主题图案。双塔寺，原名永祚寺，大约始建于明朝万历中期（1597-1602年），因为寺内有两座高塔，所以俗称双塔寺。如今当地人也都习惯称这里为双塔寺，反而对原名比较陌生了。双塔寺的建筑格局并不复杂，由前院、后院、塔院三部分组成，有名的“双塔”就在塔院里。双塔寺的山门和大多数寺庙坐北朝南是相反的，双塔寺的山门是朝北开的，游客进入山门后，由北向南步行游览，游览过程中，依次能看到大雄宝殿、碑廊和双塔，这三处是寺中较为值得一看的地方。双塔寺的大雄宝殿，是砖砌的仿木建筑。整座建筑没有梁架，不用一根木头，全由砖砌而成，砖砌雕花精细而大方。当你进入大雄宝殿，可以看到殿中供奉的三世如来像：阿弥陀佛、释迦牟尼和药师如来。其中阿弥陀佛是铜铸立像，而另两尊则是铁质坐像，由此可见，这三尊佛像不是庙里的原配，而是从不同的地方搬来的。双塔寺的大雄宝殿是二层结构，从大殿东侧，有台阶可以登上二楼。二楼建有“三圣阁”，内供奉着三大士：观音、文殊和普贤，这几尊菩萨像也是从别处寺院搬过来的。如果你五月份来到大雄宝殿，还能欣赏到明代种植的百年牡丹，名字叫做“紫霞仙”，它植根于大雄宝殿前的方形花坛里，在这里盛开了三百多年了。来双塔寺看牡丹，也是太原市民的一大乐趣。从大雄宝殿通往塔院的途中，有一条通廊，其中有一道“碑廊”，如果你是书法爱好者，那一定要到这里来看看。你可以在这里观赏到碑廊墙上镶嵌着明代的“宝贤堂集古法帖”，清代的“古宝贤堂法帖”和清代所刻的苏东坡醉笔石刻“赤壁怀古”，其中，苏东坡手书的“赤壁怀古”，是乾隆二十七年（1762年），根据拓摹勒上石的。据说此刻全国仅有两处保存，另一在湖北黄州的东坡赤壁。当你来到寺院南部的塔院时，两座古塔完完整整的映入眼前。两塔都是砖石结构，相距60米，塔上的雕饰清丽、轮廓分明。东南这座先建造（东塔，也叫文峰塔），但不是佛塔，是为了弥补太原城“西北高东南低”不利于文化的发展，而建造的一座“塔”。建成之时起，就略微向西北倾斜。据说是设计者考虑到此塔地处东山前沿，面对着西北风的冲击，特意向西北倾斜，才能保证塔身稳固。西北这座是后建的佛塔（宣文塔），因为位于西北方位，故也被简称为“西塔”或“北塔”。是由明代万历年间的高僧妙峰大师（福登和尚）监造，因当年塔内藏有佛舍利子，所以又叫做宣文佛塔，或舍利塔。西塔（宣文塔）在解放战争中大部分毁于战火，如今所见的是上世纪八十年代重新修复的。如果你有兴趣，可以登塔。不过建议不必登塔，因为以当地的空气情况，登上了塔，四周遥望，也是雾蒙蒙一片。,旺季（4月1日-10月31日）8:30-17:30； 淡季（11月1日-次年3月31日）9:00-17:00。,https://img1.qunarzz.com/travel/d4/1511/92/d170305bfb1455f7.jpg_480x360x95_efdde60d.jpg,4.6,建议游览时间：1小时 - 2小时,四季均可。,"{'导览服务成人票\n\n': ['¥0.8起'], '晋祠博物馆+双塔寺+东湖醋园+山西博物院一日游【深度解读太原文化底蕴/上门接晚出发】\n\n': ['¥278起']}",,1
天龙山石窟Tianlongshan Grottoes,http://travel.qunar.com/p-oi5740632-tianlongshanshiku,"

地址:
太原市晋源区西南40公里天龙山腰


电话:
0351-6349668

",天龙山石窟在太原市西南40公里天龙山腰。天龙山原名方山，北齐是山下兴建天龙寺后此山便被称作天龙山。这里曾是北齐皇帝高洋之父高欢的避暑宫。天龙山风光秀丽，四周山峦起伏，遍山松柏葱郁，山头龙王石洞泉水荡漾，山前溪涧清流潺潺。天龙山石窟分布在天龙山东西两峰的悬崖腰部，有东魏，北齐、隋、唐开凿的24个洞窟，东峰八窟，西峰十三窟，山北3窟。共存石窟造像1500余尊，浮雕、藻井、画像1144幅。天龙山石窟以技巧的成熟、饱满、洗练和表现感情的细致，接近劳动者的生活气息，以浓厚的民族性和地方性为其特色，以“小而精”著称。,9:00-17:30，16:30停止入场。,https://img1.qunarzz.com/travel/poi/1706/b2/30defd076fdcc537.jpg_480x360x95_f59afa86.jpg,4.5,建议游览时间：2小时 - 3小时,天龙山屏峰黛立，松柏成荫，溪泉鸣涧，气候凉爽。春夏两季是最佳旅游季节。,具体收费情况以现场公示为主,,1
晋祠博物馆Jinci Museum,http://travel.qunar.com/p-oi701537-jincibowuguan,"

地址:
山西省太原市晋源区晋祠公园内


电话:
400-0351-851


官网:
http://www.chinajinci.com/

",晋祠位于太原市西南25公里处悬瓮山麓的晋水之滨，是后人为纪念晋国开国诸侯唐叔虞而建的祠宇，晋国的宗祠。素有“不到晋祠，枉到太原”的说法。在晋祠下车后，首先到达的是晋祠公园，这是一个免费的公园，环境不错，可随意看看。步行约10分钟，穿过公园便可到达晋祠的主体区域。景区内，晋祠“三宝”（献殿、鱼沼飞梁、圣母殿）和“三绝”（周柏、难老泉、泥塑彩绘人像）是每一个来到晋祠的人都不可错过的景观。晋祠“三宝”是连在一起的，位于晋祠的中轴线上，可一并游览。献殿是供奉祭祀品的场所，四面的墙壁是栅栏状的，通风凉爽。特别的是，整个殿内的梁柱上没有用一颗铁钉。鱼沼飞梁位于献殿前，建于宋代。整个景观造型类似现代的立交桥，是国内现存古桥梁中仅有的一例。“飞梁”的一端连接着圣母殿，圣母殿是晋祠现存较早的主体建筑。大殿内很宽阔，有梁无柱是一大看点，殿前8个廊柱上雕刻着8条跃跃欲飞的木雕盘龙，连同“鱼沼飞梁”显得颇有气势。以圣母殿为中心，很容易找到“三绝”。彩绘泥塑人像就在圣母殿里，主像圣母端坐在木制神龛内，端庄华丽，其余42尊侍从分列两侧。这些塑像衣着艳丽，表情各异，其中有一尊花旦装扮的侍女，半面欢喜半面忧愁，让人看后心情也不禁五味杂陈。梅兰芳大师曾在这尊侍女前伫立良久，仔细品味她的动作和内心，并且大加赞赏。周柏位于圣母殿北侧，植于西周，已有3000多年历史。难老泉位于圣母殿南侧，晋水的源头就从这里流出，长年不息。除此之外，晋祠内还有唐太宗李世民亲自撰写并手书的《晋祠铭》碑，非常珍贵。最南部还有十方奉圣禅寺，相传原为唐代开国大将尉迟恭的别墅。祠北浮屠院内有舍利生生塔一座，登塔远眺，晋祠全景历历在目。,4/1-10/7 08:00-18:00;10/8-3/31 08:30-17:00,https://img1.qunarzz.com/travel/d7/1503/92/294fd8abeac6b4.jpg_480x360x95_80d80885.jpg,4.6,建议游览时间：2小时 - 4小时,四季皆宜。,"{'山西晋祠博物馆手机电子导览服务成人票\n\n': ['¥0.1起'], '山西晋祠博物馆山西旅游惠民卡大小同价\n\n': ['¥258起'], '晋祠博物馆半日游【资深导游讲解/深度揭秘太原文化底蕴/10人小团】\n\n': ['¥128起']}",注意事项1、晋祠除了保留了许多古建筑外，还有很多的传说故事。在参观之前最好先了解一下这里的历史，或者请一位正规的导游进行讲解。售票处旁边就是导游讲解服务中心，建议在这里找。也可租用一个电子讲解器。2、晋祠景区外有很多卖纪念品、食品等的小摊位，如果要买东西，记得跟摊主砍价。,1
柳巷Liu Lane,http://travel.qunar.com/p-oi5740630-liuxiang,,,,,,,,,,1
薰衣草NE庄园Lavender NE Manor,http://travel.qunar.com/p-oi8596062-xunyicaonezhuangyuan,"

地址:
太原市杏花岭区杨家峪河里头村


电话:
400-188-2210


官网:
http://www.ne0351.com/

",有着“等待爱情”这一花语的薰衣草，因其浓郁的紫色和醉人的芳香成为了代表爱情的浪漫之花。素有“薰衣草之乡”美称的普罗旺斯，也成为令人神往之地。薰衣草NE庄园是山西浪漫的薰衣草庄园。NE庄园被誉为太原浪漫的田园，又称“薰衣草庄园”。庄园在“唯美、浪漫、闲适”的主题下，将文化创意与现代农业相结合，种植了薰衣草、马鞭草、向日葵、迷迭香、百里香、等香草和花卉植物，以视觉、听觉、嗅觉、味觉、触觉五感深度体验，为人们提供全新的浪漫休闲空间。园内每逢花期，薰衣草、马...有着“等待爱情”这一花语的薰衣草，因其浓郁的紫色和醉人的芳香成为了代表爱情的浪漫之花。素有“薰衣草之乡”美称的普罗旺斯，也成为令人神往之地。薰衣草NE庄园是山西浪漫的薰衣草庄园。NE庄园被誉为太原浪漫的田园，又称“薰衣草庄园”。庄园在“唯美、浪漫、闲适”的主题下，将文化创意与现代农业相结合，种植了薰衣草、马鞭草、向日葵、迷迭香、百里香、等香草和花卉植物，以视觉、听觉、嗅觉、味觉、触觉五感深度体验，为人们提供全新的浪漫休闲空间。园内每逢花期，薰衣草、马鞭草、迷迭香、鼠尾草、百里香等鲜花齐放，花海连绵、花香四溢。木屋、秋千、特色站台、LOVE字母等景观错落有致，全景展现了浪漫如普罗旺斯的花海乐土。景区是太原市面积的大的香草观光主题景区，做到了真正的一望无际的紫色花海。游客可以亲手制作香草茶、香包、香草皂、蜡烛等。不但能尝试制作的乐趣，还能将这份独特的礼物馈赠亲朋好友。,8:00-17:30,https://img1.qunarzz.com/travel/d9/1608/b4/db193221264b51b5.jpg_480x360x95_76e1cb40.jpg,4.2,建议游览时间：1.5小时 - 2小时,,{'薰衣草NE庄园年卡成人票\n\n': ['¥80起']},,1
多福寺Duofu Temple,http://travel.qunar.com/p-oi708842-duofusi,"

地址:
尖草坪区柴村镇呼延村西崛围山之巅


电话:
400-0351-851

",多福寺位于太原市西北的崛围山之巅，始建于唐贞元二年（公元786年），初名崛围教寺，后改今名。唐人李克用、李存勖（后唐庄宗）父子曾到此礼佛焚香，寺况空前。宋末毁于兵火，明洪武年间重建，后又多次重修。现存山门、钟楼、大雄宝殿、文殊阁、藏经楼、东西垛殿等殿宇7处。大雄宝殿为主殿，规模宏伟，并有壁画84幅与一些塑像，均为明代遗物。唯寺前山巅砖塔，仍是宋代原构。寺内有霜红龛，为明末清初太原著名学者傅山隐居处。寺在山顶小峪之中，缓缓清流，过寺前蜿蜒而下，潺潺作响，极富古刹风趣。,随崛围山景区而开放：夏季：8:30-17:30；冬季：9:00-17:00,https://img1.qunarzz.com/travel/poi/1409/30/4b9fdd9479c95ddffffffffc8d65eac.jpg_480x360x95_2fc6eb93.jpg,4.6,建议游览时间：1小时 - 2小时,四季皆宜,{'多福寺门票成人票\n\n': ['¥15起']},,1
龙角山风景区,http://travel.qunar.com/p-oi39366457-longjiaoshanfengjingqu,,“龙角”来由：太原北面系舟山‘为“龙角”，南面的龙山，天龙山为”龙尾”，晋阳正当蟠龙的中心，故常有“真龙天子”的出现”。,,,0.0,,,,,1
太原古县城景区Taiyuan Ancient County Scenic Area,http://travel.qunar.com/p-oi36680455-taiyuanguxianchengjing,"

地址:
太原市晋源区凤城东街19号


电话:
0351-6598888

",太原古县城位于晋源区，占地面积约0.8平方公里。城内历史建筑遗存众多，十字街格局清晰，街巷肌理完善，沿袭了晋阳古城“城池凤翔余”的古老建筑格局，犹如一只头北尾南的凤凰，自古就有“凤凰城”的美誉，是2500年晋阳古城文脉的延续。城内现存文物建筑79处，太原市政府挂牌保护的历史建筑达49处。其中，文庙被列为全国重点文物保护单位。,上午10:00-12:00   下午13:30--18:00,,3.6,建议游览时间：12小时 - 3天,,春节期间收费,,1
太山Tai Mountain,http://travel.qunar.com/p-oi18716025-taishan,"

地址:
太原市晋源区风峪沟沙河北岸


电话:
4000351851

",太山在太原市西南方向，距晋祠风景区5公里、晋阳西山大佛风景区3公里，这里地理环境得天独厚，景致非凡，尤以深秋红叶著称。,11/1-3/31 周一-周五 09:00-16:00;11/1-3/31(周六日、节假日) 08:30-16:00;5/1-10/7 08:00-18:00;4/1-4/30 08:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0e7d50d7619a46b71b03cfcceefc31fb.gif_480x360x95_605db63b.gif,4.7,建议游览时间：12小时 - 3天,,36元,,1
