名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
曾国藩故居Former Residence of Zeng Guofan,http://travel.qunar.com/p-oi710196-cengguofanguju,,,,,,,,,,1
冷水江波月洞Boyue Cave,http://travel.qunar.com/p-oi7468890-lengshuijiangboyuedong,"

地址:
冷水江市波月洞风景名胜区内


电话:
0738-5112528


官网:
http://www.lsjbyd.cn/

",波月洞风景名胜区，是以地下溶洞景观为主体，地面景点相陪衬的综合性公园。周围有大乘山森林公园，瀑布群和素有世界锑都之称的锡矿山等景区，是一个集游山、观洞景、望瀑布、岩溶研究于一体的风景名胜区。它地处湖南省冷水江市北郊，距市中心3.8公里。波月洞分为三层，已开发地下游览路线1800余米，27个大厅，81处景点，总面积为4万多平方米，洞高一般3-10米，高20余米，洞宽一般5-10米，宽70余米。整个洞府以迷宫大厅为中心前部洞厅宽广宏伟，气势磅礴；后部洞厅线条密集，晶莹剔透。...波月洞风景名胜区，是以地下溶洞景观为主体，地面景点相陪衬的综合性公园。周围有大乘山森林公园，瀑布群和素有世界锑都之称的锡矿山等景区，是一个集游山、观洞景、望瀑布、岩溶研究于一体的风景名胜区。它地处湖南省冷水江市北郊，距市中心3.8公里。波月洞分为三层，已开发地下游览路线1800余米，27个大厅，81处景点，总面积为4万多平方米，洞高一般3-10米，高20余米，洞宽一般5-10米，宽70余米。整个洞府以迷宫大厅为中心前部洞厅宽广宏伟，气势磅礴；后部洞厅线条密集，晶莹剔透。洞中千柱挺立，万裙倒挂，山川、田野、瀑布、石柱、石幔、石钟乳比比皆是，一步一景、步步是景，景景神奇。洞中有三种令世人倾倒的溶洞之宝；一为1.1米长的中空旦晶莹透亮的鹅管，比以前号称世界之冠的溶洞鹅管还长44厘米；二为1.98米高的巨型石坝，比南斯拉夫世界大的岩溶石坝高50厘米；三为倒悬于顶的1.5米深的网络石槽，是目前世界深悬顶地槽。电视连续剧《西游记》中的水帘洞与白骨精的行宫均拍于此洞之内。国内知名学者来此考察时写道：“波月洞集其它洞穴岩溶景观之大成，除石乳石外，发育着几乎所有钟乳石类型态的同类型沉积物，规模巨大，品种繁多，千姿百态，组合复杂，色泽多彩鲜明。石钟乳、石笋形式时代的多期性，深积物大小规模的悬殊性及发育的密集程度，均为其它岩溶洞穴所罕见。”中科院地质研究所、地质部桂林岩溶研究所及全国各地专家来考察鉴定时认为：“它是一个国内不多、世界罕见的、具有很高旅游观赏价值和很高科学价值的、堪居我国目前已经开发旅游溶洞之前列的地下溶洞博物馆。”,全年 08:30-17:30,https://img1.qunarzz.com/travel/poi/1408/26/2870edeb9cd32677ffffffffc8d65eac.jpg_480x360x95_72f6331b.jpg,4.5,建议游览时间：1小时 - 2小时,,{'冷水江波月洞电子导览服务大小同价\n\n': ['¥10起']},,1
梅山龙宫Meishan Dragon Palace,http://travel.qunar.com/p-oi710365-meishanlonggong,"

地址:
娄底市新化县油溪乡高桥村


电话:
0738-3931888,0738-3550663


官网:
http://www.0738wan.com/

",梅山龙宫是一个地下溶洞群，共有九层洞穴，由上万个溶洞组成。梅山龙宫的神奇美丽，不仅仅是她有宏伟瑰丽奇形怪状的地下沉积景观，更令人神往的是她那由地下河和旱洞组成的层楼空间结构。相传黄帝登熊山，将灵毓葱笼的九龙峰点化成九条青龙，沿九股清泉游入可通五湖四海的九龙池。九条青龙游入资水，被梅山汕溪石竹湾的的气所吸引，高兴得在水中游、洞中舞，久久不愿离去，一住就是几千年。新化古称梅山，后人便把这个岩洞叫做梅山龙宫。洞府分为龙宫迎宾、碧水莲宫、开天辟地、天宫仙苑、梅山风情、龙凤呈祥六大景群。洞内景观丰富多彩，绝世景观举不胜举，既有大量姿态各异的流石景观；又有美不胜收的石笋、石钟乳景观；还有千变万化的断面形态和蚀余小形态景观。更有四大世界溶洞景观之绝：高达80米的层楼空间结构的洞府云天绝世景观，规模宏大、惟妙惟肖的哪吒出世绝世景观，由毛细管力作用而成的形似雾淞的白色非重力水沉积物绝世景观，妙不可言、举世无双的水中金山绝世景观。,8:30-17:00,https://img1.qunarzz.com/travel/d8/1701/df/605b1d1b28b93eb5.jpg_480x360x95_2469e378.jpg,4.5,建议游览时间：1小时 - 2小时,,78元,,1
娄底大江口景区Loudi Dajiangkou Scenic Resort,http://travel.qunar.com/p-oi710014-loudidajiangkoujingqu,"

地址:
湄江

",,全年 8:00-18:30,https://img1.qunarzz.com/travel/d8/1609/42/3fa189518d833cb5.jpg_480x360x95_5f0e1a53.jpg,5.0,,,具体收费情况以现场公示为主,,1
蔡和森纪念馆Cai Hesen Memorial Hall (Northwest Gate),http://travel.qunar.com/p-oi707085-caihesenjinianguan,"

地址:
湖南省娄底市双峰县书院路300号


电话:
0738-6853308

",蔡和森纪念馆，位于双峰县城复兴路与书院路交汇处。1987年7月1日建成开馆，1988年4月开馆，占地面积11000平方米，总建筑面积1650平方米，展厅面积近1000平方米。馆前为蔡和森广场，占地面积11000平方米。广场中央矗立着9米高的纪念碑，顶层为蔡和森同志立身塑像。,全年 8:30-17:00,https://img1.qunarzz.com/piao/fusion/1806/f4/8b91f2ae98e95b02.jpg_480x360x95_f6f68835.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
龙山国家森林公园Long Mountain National Forest Park,http://travel.qunar.com/p-oi705382-longshanguojiasenlingong,"

地址:
新星南路与003乡道交叉口


电话:
0738-4150789

",涟源龙山国家森林公园地处湘中娄底涟源市南部，于1992 年被批准为省级森林公园。公园总面积为9286.12 公顷，公园因山体庞大浑厚，山势高峻挺拔，山形伸展如龙而得此名。,全年 全天开放,https://img1.qunarzz.com/piao/fusion/2005/b1/c1384a5ed0dff602.jpg_480x360x95_825bfd58.jpg,3.5,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
紫鹊界梯田Ziquejie Terrace,http://travel.qunar.com/p-oi708461-ziquejietitian,"

地址:
娄底市新化县水车镇


电话:
0738-3616998


官网:
http://www.zqjtt.cn/

",紫鹊界梯田是全球重要农业文化遗产、世界灌溉工程遗产、国家自然与文化遗产地、国家级风景名胜区、国家水利风景区、国家AAAA级旅游景区。位于湖南省新化县水车镇，属雪峰山脉奉家山体系，最高处海拔1585米，总面积120平方公里。层层叠叠的梯田以紫鹊界为中心向四周绵延，在海拔500米至1200米之间，坡度30至50度之间，共500余级，面积达10万余亩。紫鹊界秦人梯田是南方稻作文化和苗瑶山地渔猎文化交融揉合的历史遗存，是人与自然的伟大杰作。紫鹊界梯田集云南元阳梯田的大气、广西龙胜梯田的灵秀、菲律宾巴纳韦梯田的险峻、越南沙坝梯田的飘逸于一体，有“梯田王国”之美誉。梯田的原生美、形态美、文化美及悠久的历史、天然的自流灌溉系统堪称世界之最。,7:00-22:00,https://img1.qunarzz.com/travel/d4/1611/d7/8187d4c4dd20f1b5.jpg_480x360x95_51ccb1ed.jpg,4.3,建议游览时间：3天 - 6天,,"{'紫鹊界梯田门票成人票\n\n': ['¥63起'], '紫鹊界梯田门票儿童票\n\n': ['¥32起'], '紫鹊界梯田门票学生票\n\n': ['¥32起']}",,1
仙人府,http://travel.qunar.com/p-oi702941-xianrenfu,"

地址:
娄底市娄星区仙人府

",,8:30-17:00,https://img1.qunarzz.com/travel/poi/1609/f6/548174971e708037.jpg_480x360x95_8ef0d68b.jpg,4.0,,,免费,,1
塞海,http://travel.qunar.com/p-oi714515-saihai,,"为湄江中心景区，主要景点有一湖秀水塞海，绝秀景观合掌崖，天然巨型回音壁，诗家杰作湄江诗岩、天子山、观音望海、舵手峰等。泛舟塞海,如画中游。",,https://img1.qunarzz.com/travel/d5/1609/7b/cc01d152ee6535b5.jpg_480x360x95_f7fdc714.jpg,3.0,,,,,1
观音崖景区Guanyinya Sceneic Area,http://travel.qunar.com/p-oi709930-guanyinyajingqu,"

地址:
娄底市涟源市031县道附近


电话:
4000073177

",为湄江门户。主要景点有流量4米3/秒的天下第一莲花泉，峰环成谷，崖高壁峭；观音崖，一代皇陵朱允墳墓，佛门古刹洞仙寺等。观音崖历史悠久，历来为佛教胜地，香火旺盛不衰。,9:00-16:00,https://img1.qunarzz.com/travel/poi/1609/cd/e71826e6101537.jpg_480x360x95_abc70908.jpg,4.7,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
