名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
爱琴海冰雪世界,http://travel.qunar.com/p-oi39583510-aiqinhaibingxueshijie,,于2022年投入3000--5000万新建孝感市爱琴海冰雪世界项目，一期项目占地面积近5多万平方米，雪覆盖面积3多万平方米。采用全球先进的高温造雪设备，此设备不仅仅打破的传统造雪机高温度和湿度的要求禁锢，而且能达到与真雪90%相似度。道坡长150米，宽50米，坡差约7℃，缓冲50米雪圈道坡长100米，宽50米，坡差约17℃，缓冲50米。同时为了孩子们的健康成长，专门针对孩子们的体能和心理特点，设立了各种雪地戏雪项目，丰富的戏雪区内包含雪地转转5台、雪地摩托20台、雪地坦克20台、雪地香蕉船10台、自主造型区、雪动力小摩托50台、滑雪圈2000个等游玩项目，完全不用担心孩子的游玩乐趣和安全问题！保证大人小孩都能玩得开心。在这里快速滑雪下滑时，烦恼和压力早就随着飞起的雪抛在身后，取而代之的将是滑翔的速度带来的快感。二期项目会在明年筹备建设3条国标中级滑道和2条国标高级滑道、进口新颖造雪设备在新增6台、进口压雪车2台、魔毯6条等，总体占地面积达到8万平方米，雪覆盖面积达到5多万平方米，做到整个湖北省第一个新颖的平原滑雪场，我们用最实惠的一面带到孝感这座美丽的城市，让我们孝感人民真真切切的感受到冬季玩雪的乐趣和我们的用心。,,,0.0,,,,,2
孝感凤凰天仙城,http://travel.qunar.com/p-oi39033940-xiaoganfenghuangtianxian,,凤凰天仙城旅游项目位于湖北省孝感市孝南区毛陈镇，景区的“十里长河十八景、二十八画天仙城”等景点建设已具雏形。建设了凤凰桥、金鹊桥、银鹊桥、金凤桥、银凤桥、凤凰廊桥、新白渡桥、雨花桥8座大桥和若干座小桥；开挖了十里人工内河；万棵樱花园、梅花园、荷花园基本建成；“四馆一中心”主体及外装工程已经完成，其中游客服务中心内装工程已经完工；喷泉水景、“三孝”广场、“一帆风顺”码头、假山等园林景观已经建成；悠悠风情街、中式婚姻礼堂、芦苇荡等景点。,,,4.2,,,,,2
有名店林场,http://travel.qunar.com/p-oi38943423-youmingdianlinchang,,,,,0.0,,,,,2
仙居顶,http://travel.qunar.com/p-oi38818633-xianjuding,,,,,--,,,,,2
怡荷园,http://travel.qunar.com/p-oi38676828-yiheyuan,,"怡荷园现代农业产业园隶属于湖北楚水荷乡生态农业有限公司，坐落于中国孝乡--孝感市孝南区朋兴乡与丹阳古镇毗邻，有着自然的乡村景观。是一个集现代农业、生态旅游观光和康养为一体的大型综合农业产业园。该项目总投资4.5亿元，初步完成了现代农业的产业布局，形成了3大核心产业。蛙稻共生产业。莲荷产业。特色水产基地。
 风和日丽的天气，您也可以乘湖中小火车轻歌曼舞，点放一盏盏荷花灯，许下一个美好的心愿。泛舟而行，彼岸驻足，美丽的荷花岛上您还可以在沙滩浴场享受阳光浴，也可以在绿色的大草坪上支起小帐篷，与心爱的人静静观星，感受荷塘叶色的美景。远离城市喧哗的你，在田园蛙声中进入梦香，在这里让身体与心灵同时休憩。  稻花香里说丰年，听取蛙声一片。景区利用自然农田100亩养殖黑斑蛙，并规划800亩粮田建设蛙稻共生基地，游客游览漫步田野中，稻花香里蛙声一片，好不热闹。打造现代农业观光特色，无公害化种植各类果树，满足游人季节性采摘尝鲜，满足孩子们体验种植的乐趣。园区还计划2022年建成，面积100亩，亲子体验观光采摘。体验农耕文化，促进亲子教育交流。园区种植有各类盆景和各类彩叶苗木，季节性花卉悄悄绽放，散发出醉人芳香。游人漫步，置身大自然生态景色之中，享受田园美景，呼吸天然氧吧，格外清新怡人，赏心悦目轻松快乐。  景区内还设有很多游玩项目：荷花观赏，无动力乐园，摸鱼钓虾，儿童游乐园，网红小火车，七彩滑道，休闲垂钓，自助烧烤，农家土灶，休闲风光民宿等。
",,,5.0,,,,,2
应城国家矿山公园博物馆,http://travel.qunar.com/p-oi38632009-yingchengguojiakuangshan,,,,,0.0,,,,,2
福星公园,http://travel.qunar.com/p-oi38337173-fuxinggongyuan,,,,,--,,,,,2
多多岛儿童乐园,http://travel.qunar.com/p-oi38336444-duoduodaoertongleyuan,,,,,0.0,,,具体收费情况以现场公示为主,,2
人民公园,http://travel.qunar.com/p-oi38335921-renmingongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,2
仙女山公园,http://travel.qunar.com/p-oi38335318-xiannu:shangongyuan,,,,,--,,,具体收费情况以现场公示为主,,2
朱桥牡丹园,http://travel.qunar.com/p-oi37807190-zhuqiaomudanyuan,,,,,0.0,,,具体收费情况以现场公示为主,,3
安陆府河国家湿地公园,http://travel.qunar.com/p-oi37806013-anlufuheguojiashidigong,,,,,5.0,,,具体收费情况以现场公示为主,,3
黄香纪念园,http://travel.qunar.com/p-oi36141065-huangxiangjinianyuan,,黄香纪念园是一个主题公园，主要是弘扬中华民族悠久的历史文化，并倡导廉洁、孝德精神，集文化、教育、娱乐、休闲于一体。,,,0.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3
烧香台寿宁禅寺旅游区,http://travel.qunar.com/p-oi36141041-shaoxiangtaishouningshan,,,,,--,,,具体收费情况以现场公示为主,,3
孔庙旅游区,http://travel.qunar.com/p-oi36140972-kongmiaolu:youqu,,,,,--,,,具体收费情况以现场公示为主,,3
徐海东大将亲属烈士陵园,http://travel.qunar.com/p-oi36140948-xuhaidongdajiangqinshu,,,,,--,,,具体收费情况以现场公示为主,,3
汉川公园,http://travel.qunar.com/p-oi36140859-hanchuangongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,3
新四军五师旧址,http://travel.qunar.com/p-oi36129529-xinsijunwushijiuzhi,,,,,0.0,,,具体收费情况以现场公示为主,,3
孝感市双峰山旅游度假区Xiaogan Shuangfengshan Tourism Holiday Resort,http://travel.qunar.com/p-oi35831759-xiaoganshishuangfengshan,,双峰山旅游度假区，是4A级景区，是位于鄂东北较大的森林公园，主峰海拔880M，由两座对峙山峰组成，其中较高的山峰高887.3M。民间传说，双峰山由董永、七仙女“仙化而成。,,,4.0,建议游览时间：12小时 - 3天,,,,3
汉川市怡豪种植合作社,http://travel.qunar.com/p-oi35676912-hanchuanshiyihaozhong,,,,,--,,,,,3
八里村一组Group 1 of Bali Village,http://travel.qunar.com/p-oi35474401-balicunyizu,,,,,--,,,具体收费情况以现场公示为主,,4
应城国家矿山公园四季温泉馆,http://travel.qunar.com/p-oi35433667-yingchengguojiakuangshan,,,,,--,,,,,4
西唐家寨Xitangjiazhai Village,http://travel.qunar.com/p-oi35388171-xitangjiazhai,,,,,--,,,具体收费情况以现场公示为主,,4
西塆佘,http://travel.qunar.com/p-oi35387958-xiwanshe,,,,,--,,,具体收费情况以现场公示为主,,4
西刘畈Xiliufan Village,http://travel.qunar.com/p-oi35387918-xiliufan,,,,,--,,,具体收费情况以现场公示为主,,4
大沙咀Dashazui Village,http://travel.qunar.com/p-oi35387900-dashaju,,,,,--,,,具体收费情况以现场公示为主,,4
"王义贞街村Jie Village, Wangyizhen Town",http://travel.qunar.com/p-oi35384898-wangyizhenjiecun,,,,,--,,,具体收费情况以现场公示为主,,4
"前进八队Qianjin Badui, Pingsha Town",http://travel.qunar.com/p-oi35312486-qianjinbadui,,,,,--,,,具体收费情况以现场公示为主,,4
詹西塆Zhanxiwan Village,http://travel.qunar.com/p-oi35311742-zhanxiwan,,,,,--,,,具体收费情况以现场公示为主,,4
