名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
下尾岛,http://travel.qunar.com/p-oi29541080-xiaweidao,,,,,,,,,,1
大嵛山岛Dayushan Island,http://travel.qunar.com/p-oi5943010-dayushandao,"

地址:
宁德市福鼎市嵛山镇


电话:
18750390000


官网:
http://www.fdysd.com/

",大嵛山岛位于福鼎东南海域，是闽东较大的列岛。它在中国诸多的岛屿中其实并不有名，却在近年被评选为中国美丽的十大海岛之一。可能也正是不为外人知晓才保留了它现在的宁静和原生态。大嵛山岛由大嵛山岛、小嵛山岛等景点组成。小嵛山岛是一个无人岛，出行都是靠租车和步行。沿岸因被海水冲刷风化，基岩裸露，礁石林立，海蚀地貌十分突出，小岛上的房屋斑驳老旧，充满了年代感。岛上有丰富的花岗岩、优质矿泉和草场资源，海上还盛产鳗鱼、带鱼、毛虾、虾苗、七星鱼和鳗鲡等多种海生物。大嵛山岛上自然风光非常美丽，你可以自由奔跑在南国天山的天湖山万亩草场，恍若置身于“天苍苍，野茫茫，风吹草低见牛羊”的大西北草原。《中国国家地理》曾经对它做出过很高的评价：“地处东南，却有西北高山草甸的风光；身处海岛，更有天湖清澈如镜”。此外，在大嵛山山顶之上还有极具神秘色彩的大、小天湖，据说两湖各有泉眼，常年不竭，水质甜美，清澈见底。岛上的植被非常茂密，栖息着成千上万只候鸟，乍然飞起，十分壮观。岛上的文物古迹也很丰富，可以怀着虔诚之心去拜拜大使宫、妈祖宫、天福寺。在这样一个热门度不高，却景色宜人的小岛拍拍照、吹吹海风度过一个慵懒的周末是个不错的选择。,8:00-17:00,https://img1.qunarzz.com/travel/d9/1604/cf/ac2b0fdc938344f7.jpg_480x360x95_c611d02a.jpg,4.3,建议游览时间：3天 - 6天,四季皆宜。,"{'大嵛山岛门票+往返观光车票成人票\n\n': ['¥70起'], '大嵛山岛往返快艇票成人票\n\n': ['¥95起'], '大嵛山岛手机智能导游讲解服务大小同价\n\n': ['¥10起']}",,1
东壁Dongbi'ao,http://travel.qunar.com/p-oi18713546-dongbi,"

地址:
宁德市霞浦县三沙镇东壁村


电话:
18650425596,18650427213

",东壁村位于福建省宁德市霞浦县三沙半岛中部以南，距离霞浦城28公里，是一个依山而建、面向大海的小渔村，气候宜人，物产丰富。村庄层层叠叠，错落有致，推窗，可看到青山碧海的自然风光；出门，是延绵曲折的石板巷道，干净又舒适。东壁背山面海，视野开阔，是观赏和拍摄日落的绝佳之地。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/d25f12ffff7d490512d98cc81d06ab26.jpg_480x360x95_f61f780d.jpg,4.6,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
四礵列岛,http://travel.qunar.com/p-oi38803653-sishuangliedao,,四礵列岛由北礵、南礵、东礵、西礵等18个岛屿及17个礁石组成，岛上风景秀丽，各种各样的礁石，还有狮子峰、皇帝帽等自然景观，是一个看日出、赏日落的好地方。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
杨家溪Yang Jiaxi,http://travel.qunar.com/p-oi706018-yangjiaxi,"

地址:
宁德市霞浦县


电话:
0593—8651666

",杨家溪位于霞浦县牙城镇境内。拥有纬度较北的古榕树群和江南较大的纯枫叶林。其中值得一提的是一株“榕树王”，它的树龄已有800多年，树干周长12.6米，冠幅直径51米，高30米，树干中空，有7个洞口，洞内可容数人。每当早晨的阳光斜斜地洒进树林，斑驳的树影在光影的晃动下展示着它的魔法，营造了一种如梦似幻的感觉。龙亭瀑布由文、武两瀑构成，文瀑直下落差136米，武瀑分两级而下，落差135米。瀑布周围还有将军印、文笔架、岩峰和金狮把口、玉兔飞跃、将军拜印、仙翁坐山、玉象峰、猴子洞、龙洞等10余个景点。沿溪下行约1公里，从南兜乘竹筏顺流而下，经“十曲十二滩”，大约经过2个小时到渡头村，一路青山碧水，沿溪可浏览唐僧西拜、达摩面壁、金龟戏鳖、文广断船、将军帽、三叠石等36个石景，维妙维肖。在下游渡头村有两片相距不远，总面积250亩的枫香林，大约有1100多棵枫树。秋末冬初，枫叶黄里秀红，犹如绯云停驻，每当春暖花开时，景色更佳。,7:30-17:30,https://img1.qunarzz.com/travel/d8/1411/dd/dd56f5e76ad67047213a9cdb.jpg_480x360x95_1b7e7980.jpg,4.2,建议游览时间：1小时 - 2小时,,"{'杨家溪门票成人票\n\n': ['¥95起'], '杨家溪门票优待票\n\n': ['¥50起'], '杨家溪竹筏漂流票团队票\n\n': ['¥300起']}",,1
北岐滩涂Beiqi Wetlands,http://travel.qunar.com/p-oi9221324-beiqitantu,"

地址:
宁德市霞浦县北岐村57号


电话:
18650425596,18650427213

",霞浦县松港街道北岐村海边风光如画，影友如织。霞浦滩涂风光旖旎，成为22大摄影地之一，每年前来拍摄滩涂风光的国内外影友多达20多万人次。每当北岐紫菜生产的繁忙季节，滩涂上万根竹竿插成一块块方形的网框，由远及近，绵延数十里，蔚为大观。清晨六点左右，一轮火球从海面上喷薄而出，瞬间，大海像镀上了一层金色霞衣，上百米的山道上，摄影师们屏住了呼吸，“咔嚓、咔嚓”声响成一片，紫菜在丝网上挂着一条条色带，红的，黑的，紫的，宛如一幅没有经过修饰的水墨画，被收入一个个镜头，被曝光在一张张彩色胶片上。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1705/4f/2250b7fce77b3eb5.jpg_480x360x95_512b422b.jpg,4.4,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
台山岛,http://travel.qunar.com/p-oi38035049-taishandao,,台山岛位于福鼎市沙埕镇，岛上风景秀丽，有各种各样的礁石，还有独特的十二生肖景观、雨伞礁、一线天、木屋、灯塔等等，可以来此处看日出、赏日落、露营、烧烤，是周末度假的理想之地。,,,5.0,建议游览时间：3天 - 6天,,具体收费情况以现场公示为主,,1
太姥山Taimu Mountain,http://travel.qunar.com/p-oi702678-tailaoshan,"

地址:
宁德市福鼎市境内，距市区45公里


电话:
0593-7878666,0593-2825260

",太姥山是太姥山风景名胜区的主体风景区，相传尧时老母种兰于山中，逢道士而羽化仙去，故名“太母”，后又改称“太姥”。它从下而上有玉湖庵、国兴寺、情人谷、迎仙台、葫芦洞、一片瓦、九鲤峰、摩霄峰，天门岭等游览区。因为太姥山很大，并且一般大巴过来都要用掉半天的时间，所以建议还是2天游玩，时间会比较充裕，没有那么赶。在这两天的行程中，可以住在太姥山上或者山下的秦屿镇上。一般大巴是到达太姥山山前广场的，也就是玉湖庵景区，主要景点有太姥娘娘像和平兴寺。由于平兴寺为佛学院，不对外开放，所以一般人来这，基本都是对着太姥娘娘像拍照留念的。广场的尽头可以看到一个黑色牌匾写着“太姥山”三个大字，意味着太姥山之行的开始。先到的是国兴寺游览区，在景区广场可仰望太姥山标志景点夫妻峰和峰林奇观十八罗汉岩。然后沿着右侧的步游道，向前走几步，就可以看到石塔楞伽宝塔，以及建于唐乾符年间的国兴寺遗址。拐到寺后，可到龙潭湖仰观乌龙岗奇峰及其水中倒影。再往前行，可以看到一条蜿蜒向上的石阶小道，这里就是萨公岭，沿途林木参差，山花烂漫。走完萨公岭，登上垂直的一段石阶，就可以到达迎仙台，迎仙台相传每年各路神仙都要来太姥山聚会，作为东道主的太姥娘就在这里设宴迎接诸仙。继续往上就是一片瓦游览区。挤过仅可容一人侧身而过的一线天洞，穿过白马洞，便到一片瓦。游览区内最为有名的就是一线天景点，两座黑黝黝的巨岩间，仅余一道狭细弯曲的石缝，昏暗的光线从岩顶透下，隐约可见岩壁上流淌的雨水，底下却是漆黑一团。太姥娘娘殿也是在这个景区，来了太姥山是一定要来拜拜的。其他山上景点还有摩霄峰、鸿雪洞、绿雪芽、白云寺、九鲤湖等，太姥山最美的是看峰，摩霄峰游览区是登高远眺的最佳去处。最刺激的是钻洞，鸿雪洞就是其中比较好玩的一个洞，这里洞连洞，洞通洞，洞套洞，钻起来非常有意思（记得带电筒，景区也可以买的，但价格肯定比外面贵），出了鸿雪洞就是白云寺了。在售票处的地方，有免费地图提供，可以请工作人员帮忙画下路线图，因为景区内路标不是特别清楚，并且很多洞都是单行线，以免迷路。大致就是按照以上路线依次游玩即可。如果是一日游，吃饭可以在山下小镇吃，很便宜的，味道也不错，如果住山上酒店，一般是在酒店直接用餐。太姥山飞拉达，国内唯一能观山看海的飞拉达。飞拉达是意大利文（Via Ferrata，意为岩壁探险或铁道式攀登）的音译，指的是在山体岩壁上建设，由钢扶手、脚踏、生命钢缆等构成的攀登径道，让不具备攀岩能力的人也能攀上陡峭的岩壁。太姥山飞拉达体验区建设在葫芦洞上方崖壁上，这里有崖壁攀岩、猴桥、尼泊尔桥、独木桥……感受在夹缝中穿梭的惊险，在岩石下攀腾的刺激，飞跃丛林的自由…从一个独特的视角一览最壮丽的风景和古老的地质景观。太姥山飞拉达体验线路介绍，你能驾驭哪条线？1号线：长度200米，垂直高差最高50米，其中独木桥一座、尼泊尔桥一座，正常情况下耗时30分钟。特点：垂直高差大，线路前半段向上攀爬较多，对心理素质和体力有一定要求。2号线：长度250米，垂直高差20米，线路中有步行桥一座、独木桥一座、猴桥两座，正常情况下耗时40分钟。特点：线路平缓难度适中，适合一般游客观光体验。3号线：长度130米，垂直高差5米，线路中有尼泊尔桥一座，溜索一条，正常情况下耗时10分钟。特点：线路难度低，适合带小孩的家庭体验。4号线：长度130米，垂直高差25米，线路中有猴桥一座、尼泊尔桥一座，正常情况下耗时40分钟。特点：线路起始点垂直向上迅速拔高，在最高点有座20米长的猴桥，对体力和心理素质有较大要求。挑战极限：,暂停营业，具体开放时间以景区公告为准或电话咨询景区。原开放时间为：5月1日-10月7日6:30-17:30；10月8日-次年4月30日7:00-17:00。,https://img1.qunarzz.com/travel/d6/1505/be/daf0bb3534891f.jpg_480x360x95_f5d54903.jpg,4.7,建议游览时间：3天 - 6天,,"{'太姥山（含往返观光车）门票成人票\n\n': ['¥135起'], '太姥山门票+往返观光车票优待票\n\n': ['¥90起'], '太姥山电子导览票大小同价\n\n': ['¥0.3起']}",这里曾是电影《隐婚男女》的拍摄地，电影中刘若英告诉陈奕迅，太姥山娘娘是保佑人获得爱情与幸福的女神，建议他在这里许愿。来此拜太姥山娘娘求姻缘。,1
龙潭里村Longtan,http://travel.qunar.com/p-oi35214292-longtanlicun,,,,,,,,,,1
小皓海滩Otaru Beach,http://travel.qunar.com/p-oi18716569-xiaohaohaitan,"

地址:
宁德市霞浦县东部（距三沙镇镇区约12公里）


电话:
18650425596,18650427213

",小皓的海滩是摄影者来到霞浦一定要前往的一站，潮水的涨落、季节的变换、月落日升，小皓也在每天以崭新的姿态呈现。同样的潮水，不同样的光影，同样的劳动，不同样的心情，摄影者总能创作出精美的作品。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/96dd76d414bedca119a889c5785cc245.jpg_480x360x95_d019aad6.jpg,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
