名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
凤堰古梯田Fengyan Ancient Terraces,http://travel.qunar.com/p-oi9768507-fengyangutitian,"

地址:
安康市汉阴县漩涡镇黄龙村、堰坪村、茨沟村

",凤堰古梯田景区位于汉阴县漩涡镇，属于灌区型水利风景区，连片共1.2万余亩，距今逾250年，景区面积38.78平方公里，是目前秦巴山区考古发现的面积较大、保存较完整的清代梯田。2010年凤堰古梯田被评为“陕西省第三次全国文物普查十大新发现”，2013年被省水利厅命名为省级水利风景区，2014年被农业部命名为“中国美丽田园”。凤堰古梯田位于陕西省安康市汉阴县漩涡镇黄龙村、堰坪村、茨沟村，始建于清代，集“山、水、田、屋、寨、村、庙、农”为一体，融“浑厚、雅致、奇趣、清新、壮美”在一身，2010年被列为陕西省文物考察十大重大发现之一。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/c4af2a78a7972f9235bcc8b35623cb15.jpg_480x360x95_1e78ccb0.jpg,4.7,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
南宫山国家森林公园Nangongshan National Forest Park,http://travel.qunar.com/p-oi711044-nangongshanguojiasenlin,"

地址:
安康市岚皋县城关镇西三路


电话:
0915-2510007


官网:
http://www.ngs517.com/

",南宫山国家森林公园位于安康岚皋县东部，因主峰并排三峰构成笔架状，又称笔架山，由二郎坪、金顶、火山石、高山栎和莲花寨五大景区组成。公园以高僧弘一大师真身、古生代火山多次喷发的流迹、第四纪冰川遗迹和原始次生森林而闻名，是陕、川、鄂、渝毗邻地区游览观光、休闲度假、消夏避暑的旅游胜地。南宫山主峰金顶海拔2267.4米，旁列两峰，形如笔架。两侧遍地是史前火山多次喷发形成的石林，峥嵘嵯峨。山的南坡有冰斗、角峰、围谷等大巴山第四纪冰川遗迹。这里森林环境优美，生物种类繁多，也有不少珍稀野生动植物。北宋靖康二年（1126年），山上始建道观，至清代逐渐演变成佛教胜地，清嘉庆二十五年（1820年），高僧弘一大师在金顶莲花盆中圆寂，真身百年不腐，为南宫山增添了浓厚的神秘色彩。南宫山上另一奇景是一棵已枯死十多年的千年古树，又奇迹般地复生，身上还寄生着十多种小树。上了笔架山垭，沿山道西行，过南天门，便见到这棵扎根在万丈悬崖边上的千年铁坚古树。树高十余丈，树身躯干需二人合围。,全年 08:00-15:00,https://img1.qunarzz.com/travel/d7/1608/45/25f0b1e6aff42b5.jpg_480x360x95_f4ad5d88.jpg,4.4,建议游览时间：3天,安康市四季分明，冬无严寒，夏无酷暑，春暖秋凉。年平均气温15℃左右。最佳出游时间在春秋两季。,"{'南宫山国家森林公园门票成人票\n\n': ['¥45起'], '南宫山国家森林公园门票儿童票\n\n': ['¥45起'], '南宫山国家森林公园门票学生票\n\n': ['¥45起']}",,1
瀛湖风景区Yinghu Lake,http://travel.qunar.com/p-oi712455-yinghufengjingqu,"

地址:
安康市瀛湖镇瀛湖码头


电话:
09153020121,4001761766

",瀛湖生态旅游区，位于安康市区西南18公里处的天柱山脚下，是安康水电站建成后形成的西北地区最大的淡水人工湖。生态旅游区周边，是有“陕西第一坝”的美称的安康水电站大坝，每当泄洪时，雷霆万钧，蔚为壮观。大坝一侧是久负盛名的佛教胜地天柱山白云寺，坝下不远处是一座我国自行设计并建造的特大钢构斜拉桥。瀛湖广阔秀丽，湖中岛屿棋布，相映成趣。瀛湖水产丰富，出产价值较高的银鱼。此外，湖畔产茶，“安康银峰”毛尖茶，颇有名声，湖岸还盛产柑橘。瀛湖四面环山，湖面既有宽阔洁净的水域，又有蜿蜒曲折的水境，景区为游客提供快艇等各项服务。这里四周山势较低，坡度平缓，植被非常茂密，是消夏纳凉的好地方。景区内还有不少餐馆，游客在这里可以品尝到瀛湖出产的银鱼、桂鱼等湖鲜。,全年 09:00-16:30,https://img1.qunarzz.com/travel/poi/1410/22/2c8d220d1059eb2fffffffffc8d65eac.jpg_480x360x95_58996d7f.jpg,4.2,建议游览时间：3小时 - 4小时,"千家坪森林公园年平均气温6.6ºC，夏季气候凉爽怡人，是避暑度假的好去处。春、秋两季雨量充佩,冬季积雪深厚，美丽多变的雾景、雨景、霜景、雪景更是丰富了森林旅游观赏内容与情趣，因此一年四季适宜观赏游玩。","{'瀛湖门票成人票\n\n': ['¥69.1起'], '瀛湖门票儿童票\n\n': ['¥35起'], '瀛湖门票学生票\n\n': ['¥35起']}",,1
神河源风景区,http://travel.qunar.com/p-oi704114-shenheyuanfengjingqu,"

地址:
陕西省安康市

","这里融山、水、泉、洞于一体,集雄、奇、秀、阔、幽、险于一身，不到新疆可以看到天山风光,不到云贵可以看到千姿百态的溶洞石林,不到武当可以看到金顶雄姿,不到西双版纳可以看到原始森林,不到哈尔滨可以看到婀娜多姿的雪景,不出国门可以看到西欧的自然风光。",全天,https://img1.qunarzz.com/travel/d4/1508/b2/0303b64d3459fe.jpg_480x360x95_c7ef7c66.jpg,5.0,建议游览时间：4小时,春、秋。,"朝阳洞20元 
 巴山秋池20元 
 巴山神田草原20元。",,1
熨斗古镇Yundou Ancient Town,http://travel.qunar.com/p-oi19507698-yundouguzhen,,熨斗古镇是川楚古道上的一座驿站古镇，距今已有上千年的历史。小建在喀斯特地貌的溶岩之上，现存古街大多是明清时期的建筑，尤以“让出三尺地，多占一份天” 的吊脚楼为特色。古镇依山傍水而建，富水河紧紧环抱，历经千百年的时代变迁仍保留着昔日恬淡、古朴、优雅的面貌，颇具“小桥、流水、人家”的诗情画意。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/27c7a7c65f491d1195f734bed99d89e4.jpg_480x360x95_68ed2cd7.jpg,3.6,建议游览时间：12小时 - 3天,,,,1
后柳镇Houliuzhen,http://travel.qunar.com/p-oi18714181-houliuzhen,"

地址:
安康市石泉县

",后柳镇，后柳古镇，后柳水乡，是一个3A景区。它坐落在石泉县南18公里的汉江沿岸，东边与本县池河镇接壤，南边与喜河镇交界，西边与本县熨斗镇、西边乡县毗邻，北边连城关镇。这个古镇东西宽约25公里，南北长约13.5公里，面积约154平方公里现辖14个行政，105个村民小组和1个居委会，总产数4960户，总人口为14611人。地处汉水之滨的后柳镇，水域景观非常辽阔、自然资源尤为丰富、文化底蕴浓厚，就像一幅精湛的水墨画。2017年后柳旅游古镇，连续获得三项殊荣，中国乡村旅游模范村，陕西省十大旅游名镇，十大精品民宿。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f73a8932a0c48953e18a2c9d67c6b11d.jpg_480x360x95_57b7b471.jpg,4.3,建议游览时间：12小时,,具体收费情况以现场公示为主,,1
鬼谷岭景区Guigu Ridge Scenic Area,http://travel.qunar.com/p-oi10003572-guigulingjingqu,"

地址:
安康市石泉县城关镇境内，距石泉县县城22公里


电话:
0915-6313000

",鬼谷岭景区2019年被评为国家4A级景区。位于北纬33°的中国石泉境内，距城关镇仅22公里，北依秦岭，南接巴山，长江支流汉江自西向东穿境而过。鬼谷岭景区主峰云雾山海拔2008米，是石泉境内的高点，景区属热带季风气候与高山气候相互影响地带，年平均气温14℃，即使夏季炎热的三伏期间，峰顶气温亦不会超过25℃。鬼谷岭景区共有树种51科，87属，134种。其中用材林树种68种，经济林树种35种，观赏树种7种，其它24种，针叶林树种12种，阔叶林树种98种。在动物地理位置上，属东洋界动物区系...鬼谷岭景区2019年被评为国家4A级景区。位于北纬33°的中国石泉境内，距城关镇仅22公里，北依秦岭，南接巴山，长江支流汉江自西向东穿境而过。鬼谷岭景区主峰云雾山海拔2008米，是石泉境内的高点，景区属热带季风气候与高山气候相互影响地带，年平均气温14℃，即使夏季炎热的三伏期间，峰顶气温亦不会超过25℃。鬼谷岭景区共有树种51科，87属，134种。其中用材林树种68种，经济林树种35种，观赏树种7种，其它24种，针叶林树种12种，阔叶林树种98种。在动物地理位置上，属东洋界动物区系，因境处东洋界的北部边缘地带，在动物区系的组成上，有一部分与北界动物渗入，使得区系物种丰富，结构复杂多样。其中野兽类有熊、鹿、獐、麂、野猪等20多种；野禽类有金鸡、石鸡、雉、布谷鸟、杜鹃等46余种；另外还有水生物、昆虫及其它100多种。鬼谷岭景区因中华智圣鬼谷子而得名。唐代大学士司马贞在其所著的《史记索隐》一书中说：“鬼谷子在关内云阳是也”。唐代史学家张守节在其所著的《史记正义》一书中，引用刘氏之言曰：“刘伯庄云，此鬼谷，关内云阳，非阳城者也。按，阳城鬼谷，时属韩(国)，秦(国)不得置也。”据我国先秦史学会多次考察和研究，今天石泉县鬼谷岭山下的云阳古村，当时地处秦国函谷关内，地形险要。这里就是古代关内云阳之地，就是秦王欲软禁大将军甘茂的地方，就是战国时鬼谷子居住过的地方。中国古代神仙集《录异记》记载：鬼谷先生者，古之真仙也。云姓王氏，自轩辕之代，历于商周，随老君西化流沙。周末复还中国，居汉滨鬼谷山。,旺季（3月1日-11月30日）：8:00-17:00，16:00停止售票，淡季（12月1日-次年2月）：8:00-17:00，16:00停止售票,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8d7a20783a72cd4cbed6a9edbcab61dd.jpg_480x360x95_02d806e3.jpg,3.9,建议游览时间：4小时 - 5小时,,"{'鬼谷岭景区门票成人票\n\n': ['¥72起'], '鬼谷岭景区电子导览服务大小同价\n\n': ['¥9起']}",,1
香溪洞Xiangxi Cave,http://travel.qunar.com/p-oi704301-xiangxidong,,,,,,,,,,1
天柱山Tianzhu Mountain,http://travel.qunar.com/p-oi707307-tianzhushan,,天柱山位于安康市西南约15公里，山势陡峭，碧嶂插天。主峰如柱，插入天际，故名“天柱山”。是安康四大名山之一。天柱山毗邻汉水，山清水秀。历代文人墨客常往天柱山登高赏景，赋诗题字。诗人赞云：“巍峨万仞插云中，秀拔群山第一峰；淡扫天光成翳翠，平分日色熏芙蓉；登巅不觉乾坤大，到底凝沾雨露浓；天降扶与生俊彦，便教柱石大明空。”天柱山上的白云寺，始建于唐朝，是陕南佛教圣地四大丛林之一，列为安康八景之一。寺后有莲花池，前有方池。据传，看天池可知汉江水位。寺院内外松柏葱郁，寒梅飘香。大殿雕梁画栋，金碧辉煌，佛像千尊，香火鼎盛。天柱山山势巍峨，群峰环拱，苍松翠竹，交相晖映。清晨登天柱山，看日出，观云海；夕阳西下时，轻烟淡雾，摇曳山巅；白云寺宇殿，迷离飘渺。凭山远眺，俯视山下，远处的城镇尽收眼底，但见汉江碧波宛似晶莹玉带，炊烟袅娜笼罩纵横阡陌。每年都有许多游人来这里避暑赏景。,,https://img1.qunarzz.com/travel/poi/1411/82/8272874f196fcef3213a9cdb.jpg_480x360x95_f2fb124b.jpg,4.2,建议游览时间：4小时 - 5小时,四季皆宜,具体收费情况以现场公示为主,,1
燕翔洞Yanxiang Cave,http://travel.qunar.com/p-oi710667-yanxiangdong,"

地址:
安康市石泉县熨斗镇汉江燕翔洞生态旅游区


电话:
0915-6320181

",燕翔洞自然风景区位于石泉县城南50公里处的熨斗古镇，地处镇西的富水河畔，是一个集险、奇、幽、大为一体的天然石洞。燕翔洞全长约16公里，系寒武系古生石灰岩溶洞群，距今已有5亿年历史，是西北乃至国内保护完好、洞内景观丰富、体量大的溶洞群，被誉为“西北第一洞”。洞深15000米，目前已经开发出来的约有1800余米，来回可供观赏的距离约3600米，有八个大厅，洞内钟乳石、石笋千姿百态，形成的如“黄土高原”“春之花”“秋之实”“长白雪松”“五彩流瀑”“九寨风情”等独立景点达...燕翔洞自然风景区位于石泉县城南50公里处的熨斗古镇，地处镇西的富水河畔，是一个集险、奇、幽、大为一体的天然石洞。燕翔洞全长约16公里，系寒武系古生石灰岩溶洞群，距今已有5亿年历史，是西北乃至国内保护完好、洞内景观丰富、体量大的溶洞群，被誉为“西北第一洞”。洞深15000米，目前已经开发出来的约有1800余米，来回可供观赏的距离约3600米，有八个大厅，洞内钟乳石、石笋千姿百态，形成的如“黄土高原”“春之花”“秋之实”“长白雪松”“五彩流瀑”“九寨风情”等独立景点达几十处之多。洞中有水，洞顶倒挂钟乳石，钟乳石千奇百状悬天连地，有石筝、石柱、石钟。洞中有厅有殿，大者可容千人。洞中有洞，洞上叠洞，洞壁有窟，窟中有景。洞中的钟乳石数量多，个体大，形象奇特，构成一座美丽的岩宫石府。洞内结构复杂，层层相通，大洞套小洞。有形似石舫者，游人必须上“船”下“船”；有空旷者如阡陌纵横，一派田园之景；有光泽反射者，如金山银山；还有石狮、石虎、石伞、石罗汉等趣味盎然的天然之作。,8:00-17:30，15:30停止入园。,https://img1.qunarzz.com/travel/d5/1409/29/1ed8f5bcc3c1af83ffffffffc8d65eac.jpg_480x360x95_58318d73.jpg,4.3,建议游览时间：1小时 - 2小时,,"{'燕翔洞门票成人票\n\n': ['¥69.4起'], '燕翔洞门票儿童票\n\n': ['¥40起'], '燕翔洞门票双人票\n\n': ['¥140起']}",,1
