名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
太行大峡谷景区Taihang Grand Canyon Scenic Area,http://travel.qunar.com/p-oi712732-taixingdaxiagujingqu,"

地址:
安阳市林州市石板岩乡林石线


电话:
0372-6082888,0372-6082999


官网:
http://www.thdxg.net/

",太行大峡谷有着典型的北方山水特色，除了林海和瀑布，还处处可见刀削斧劈的悬崖，可以欣赏到雄奇的北国风光。整个景区分为三大区域：桃花谷、王相岩和太极冰山，此外还有桃花谷附近的太行天路可以游玩。景区有桃花谷和王相岩两个入口。三个景区中，桃花谷为“水景”，谷内遍布溪水汇集成的瀑布，从山顶飞流而下汇成一个个水潭；王相岩区域内为“山景”，有开凿在山崖中的栈道、建在山崖上的80米高的筒梯等，如果你是户外登山爱好者，这里不能错过；太极冰山就是山中的一个山洞，洞内有常年不化的寒冰；而太行天路，全程有景区提供的观光车（车费和门票捆绑销售），你可以在车中欣赏太行山的壮丽雄姿。因为景区面积较大，玩遍景区一般需要两天。景区门票两日内有效，在两天的时间内，游客可以凭票多次进出景区，但每个景点仅可游览一次。当天游览完毕后出景区，可以在景区外的石板岩乡住宿。石板岩乡距离景区的两个入口步行都在30分钟左右，并且有很多农家乐，食宿都挺方便，价格也不贵。石板岩乡里的建筑很多是就地取材，使用的是太行山的山石，石街、石院、石墙、石水缸、石桌、石凳等等，连房子都是石头造的，非常有乡土特色。这里也是美院学生或者美术爱好者绘画写生的集中地，可能看到不少小清新文艺范儿的帅哥和美女。,"8:00-17:30,16:30停止入园；景区漂流开放时间随天气改变，详情可电话咨询。",https://img1.qunarzz.com/travel/d6/1611/84/83ff5788045cf6b5.jpg_480x360x95_0e51f44a.jpg,4.7,建议游览时间：3天 - 6天,春夏两季。,"{'太行大峡谷景区门票学生票\n\n': ['¥95起'], '太行大峡谷漂流门票成人票\n\n': ['¥140起'], '太行大峡谷景区(含景交车)门票成人票\n\n': ['¥135起']}",,1
红旗渠Red Flag Canal,http://travel.qunar.com/p-oi703000-hongqiqu,"

地址:
安阳市林州市


电话:
0372-6811466


官网:
http://www.hqq.org.cn/

",,4/1-10/31 08:00-18:00;11/1-3/31 08:00-17:30,https://img1.qunarzz.com/travel/d3/1610/57/635fe813f63cc4b5.jpg_480x360x95_b0d77a34.jpg,4.6,建议游览时间：12小时 - 3天,,"{'红旗渠门票成人票\n\n': ['¥80起'], '红旗渠门票儿童票\n\n': ['¥40起'], '红旗渠门票学生票\n\n': ['¥40起']}",,1
殷墟Yinxu Museum,http://travel.qunar.com/p-oi707095-yinxu,"

地址:
安阳市殷都区殷墟路1号


电话:
0372-3161008,0372-3161022


官网:
http://www.ayyx.com/

",殷墟，是中国商代后期都城的遗址，是中国历史上被证实的第一个都城，位于安阳市殷都区。殷墟出土了大量的青铜器、甲骨文等具有珍贵史料价值的文物。其中重达875公斤的“司母戊大方鼎”，是珍贵的青铜器；而甲骨文则是中国古老的文字、汉字的前身，它的发现，改变了中国的考古编年史，把中国有文字记载的可信历史提前到了商朝。殷墟总面积非常大，达到24平方公里，游客游览的主要是殷墟博物馆、殷墟王陵遗址和殷墟宫殿宗庙遗址等处。景区内的指示牌非常清晰，根据这些指示牌步行游览非常轻松。景区内的博物馆陈列了大量的青铜器、石器、玉器等出土文物，但“司母戊大方鼎”、“妇好鸮尊”等珍贵文物，已经被调配到中国国家博物馆或河南博物院了，在这里你看到的是文物的复制品。景区内的殷墟王陵遗址，是学术界公认的商王朝的皇家陵地和祭祀场所。宫殿区出土了大量的甲骨文、青铜器等，其中包括“司母戊大方鼎”。这里先后发现了13座王陵大墓，2000多座陪葬墓、祭祀坑与车马坑。王陵遗址的东区，祭祀坑的数量众多，坑内有不少人（殉葬的人）、畜骨架，是殷王室祭祀先祖的一个公共祭祀场地。殷墟的宫殿宗庙遗址，是商王处理政务和居住的场所，是殷墟最重要的遗址和组成部分，包括宫殿、宗庙等建筑基址80余座。在宫殿宗庙遗址的西面和南面，有一条人工挖掘的防御濠沟，将宫殿宗庙环抱其中，起到类似宫城的作用。宗庙遗址也是世界文明古国中著名的“古典城邦”之一。宫殿宗庙遗址区内还有商王武丁的配偶——“妇好”的墓，这是迄今为止发现的一座保存完整的商王室成员墓葬，也是能与甲骨文联系并断定年代、墓主人及其身份的商代王室成员墓葬。墓室内还发现有“殉人”16人，出土器物上千件，包括骨器、玉器和青铜器。在景区的东部，还建有“甲骨碑林”，用碑刻的形式，展示了大量的甲骨文，有兴趣的游客可以去看看。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d7/1508/40/8b6e56c9d1d18e.jpg_480x360x95_f2986039.jpg,4.7,建议游览时间：2小时 - 4小时,,"{'安阳殷墟门票成人票\n\n': ['¥65起'], '安阳殷墟门票学生票\n\n': ['¥35起'], '殷墟门票+汤阴岳飞庙门票成人票\n\n': ['¥88起']}",,1
羑里城Youli City,http://travel.qunar.com/p-oi7468689-youlicheng,"

地址:
河南省安阳市汤阴县韩庄镇文王路北段


电话:
0372-6231399

",位于安阳市汤阴县城北约4公里处的羑里城，有7米厚的龙山文化和商周文化遗存，是3000年前殷纣王关押周文王姬昌7年之处，是我国历史上有文字记载的第一座国家监狱，也是“文王拘而演《周易》”的圣地，周文王在这里根据伏羲的八卦，推演出64卦384爻，后人为纪念西伯姬昌，在羑里城遗址上建起文王庙。姬昌在羑里被囚的漫长岁月里著成《周易》一书，后被列为五经之首。羑里城遗址现存有演易坊、山门、周文王演易台、古殿基等，还有《周文王羑里城》、《禹碑》、《文王易》等碑刻十余通，其中演易坊是一座青石牌坊，位于城台的南端，上镌三个楷书大字“演易坊”，东西两侧各有一块石碑，西侧碑上刻着“周文王羑里城”6个大字，东侧碑上刻着的则是著名的“禹碑”。演易台就是传说中的姬昌被囚之所，分上下两层，门楣上刻有“演易台”三字。景区内的八卦阵迷宫，是完全按照八卦阵图所建，分别布有群英阵、连环阵、诱敌阵、将军阵、卧龙阵、长蛇阵、迷魂阵、十面埋伏阵八个阵势，相传是三国时期诸葛亮按照九宫八卦方位和五行生克原理布成的作战阵图。游客可以亲自进入阵中，探索一番这神秘莫测的八卦阵。如果真的走不出来也不要紧，有专门的小洞可以爬出来。景区周边有很多测字算命老先生，在这里已经成为一种职业，每人都坐在一个小房间内。,全年 08:10-18:00;全年 08:10-17:30,https://img1.qunarzz.com/travel/d1/1712/e9/aefc74e9a13bdbb5.jpg_480x360x95_a7c6b708.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'羑里城门票成人票\n\n': ['¥35起'], '羑里城门票优待票\n\n': ['¥19起'], '羑里城门票+汤阴岳飞庙门票成人票\n\n': ['¥50起']}",,1
魁星阁景区,http://travel.qunar.com/p-oi38817959-kuixinggejingqu,,,,,0.0,,,具体收费情况以现场公示为主,,1
韩琦庙Hanqi Temple,http://travel.qunar.com/p-oi27338894-hanqimiao,,,,,--,,,具体收费情况以现场公示为主,,1
石板岩村Shibanyancun,http://travel.qunar.com/p-oi23344140-shibanyancun,"

地址:
安阳市林州市石板岩乡石板岩村

",石板岩镇位于河南省林州市西部，东和林州市姚村镇相依，东南和林州市城郊乡为邻，北和林州市任村镇相连，西与山西省平顺县接壤。全镇南北长约为30公里，东西宽约4.5公里，总面积约为114平方公里。石板岩的自然风光很美，有名的王相岩和桃花谷等景区就位于此地。 ,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/cd345f4ba1f4570bc615d5127f2015b0.jpg_480x360x95_fdc5e760.jpg,4.7,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
定国寺Dingguo Temple,http://travel.qunar.com/p-oi10007253-dingguosi,,定国寺位于河南省安阳市韩陵山之顶。韩陵山，名为山，实为丘，海拔87.8米。据史料记载，定国寺始建于北魏永熙二年（公元532年），毁于1951年。占地100亩。“韩陵片石”为安阳八大景之一。相传丞相高欢为纪念韩陵山大捷，在山顶建《定国寺》，树碑旌功。其碑历负盛名，为安阳一大名胜，定国寺附近还有其他名胜古迹十一处之多。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/6fc6d56f2eb307041c4901c4563c68ac.jpg_480x360x95_8a4d9a6b.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
殷墟甲骨文碑林Yinxu Oracle Bone Stele Forest,http://travel.qunar.com/p-oi10007250-yinxujiaguwenbeilin,"

地址:
殷墟宫殿宗庙遗址内


电话:
0372-3161022,0372-3932171

",甲骨文碑林，是由我国著名甲骨文学者王宇信，杨升南先生精选，以原甲骨片大而成石碑，共30通。其内容涉达125个，记载了大将与两方国即土方和工口方的战争。自1899年王懿荣认定甲骨文以后，甲骨文就受到金石学家的重视，多方收购，古董商为获取更大的利润对甲骨文的出土地秘而不宣、封锁消息。1911年，著名金石学家罗振玉派弟弟罗振常来到安阳调查，不仅弄清了甲骨文了出土殷墟的准确位置，带收购到大量的刻有文字的甲骨片，其中就有一块甲骨王，一块完整的龟板。听说出卖这片甲骨的人，用赚来的钱，买了20亩土地。,"景区暂时停业，详情请以景区公示为准；原开放时间：包含于殷墟景区，景区开放时间8:00-18:00,17:00停止售票，景点开放时间详见景区现场公示。",https://img1.qunarzz.com/travel/poi/1712/3e/dc898eaca7b95737.jpg_480x360x95_e6e77c8a.jpg,4.4,建议游览时间：0.5小时 - 1小时,,景区暂时停业，详情请以景区公示为准；原门票：包含在殷墟景区内，通用于殷墟景区门票。,,1
安阳博物馆Anyang Museum,http://travel.qunar.com/p-oi9022178-anyangbowuguan,"

地址:
安阳市文峰区文明大道436号


电话:
0372-3776786,0372-3776785


官网:
http://www.aybwg.org/

",安阳博物馆，位于安阳市中心，与安阳市图书馆共用一幢大楼。博物馆的常设陈列都在大楼的二、三楼。博物馆虽然不大，但由于安阳是殷商的故都，历史悠久，文物众多，所以馆内的藏品也是非常具有特色和值得一看的。在安阳博物馆游览，二楼的青铜器和三楼的陶瓷器陈列是你参观的重点。在这里你能够观赏到商代的兽面纹青铜斝、弦纹青铜甗、“丹”青铜卣、“父乙车衢”青铅觚等青铜器。同时在二楼你还可以观赏到商代的“玉戈”，戈是研究我国古代礼制的重要实物资料。安阳博物馆陈列的戈器型硕大，是商代玉器中的珍品，在殷商玉器中较为罕见。三楼的陶瓷器主要以清代的文物为主，能够观赏到清代乾隆年间瓷器的佳品“乾隆款粉蓝釉铺首衔环瓶”，造型端庄大方，釉色光亮；“粉彩百鹿尊”，尊的底部有青花六字无边栏款“大清乾隆年制”行书款，但这件文物是光绪年间仿乾隆瓷器的精品；还有康熙时期青花瓷器的典型作品“青花人物故事图凤尾尊”，通体施白釉，腹与颈上都绘有青花人物故事图。底部有青花双圈。此外，在馆内游览时，还能欣赏到一批清代时期的书画，以及“安阳地区木刻版展”。安阳地区木版年画多以神像、族谱、山水花鸟、建筑、戏曲故事等为表现内容，以中堂、墙画、门贴、和供人们日常使用的扇面、纸牌、灯笼画等为表现形式，是安阳地区独具特色的民间文化遗产。博物馆在市政府前面，有时晚上在两栋建筑之间的广场上，会有音乐喷泉的表演。,全年 周一 全天不开放 ;全年 周二-周日 09:00-16:40,https://img1.qunarzz.com/piao/fusion/1808/af/909dbc035573002.jpg_480x360x95_67c7a6bb.jpg,4.5,建议游览时间：1小时 - 2小时,四季皆宜。,免费,这个也叫安阳两馆，里面有博物馆和图书馆。博物馆在左侧，图书馆在右侧,1
