名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
黄果树瀑布Huangguoshu Waterfall,http://travel.qunar.com/p-oi708974-huangguoshupubu,"

地址:
贵州省镇宁布依族苗族自治县黄果树镇贵黄公路(黄果树风景名胜区)


电话:
4008009998（日场）,085-138157288（夜场）


官网:
http://www.hgscn.com/

",以黄果树瀑布为中心，周边分布着十几条瀑布，黄果树瀑布因该区域生长着很多“黄果树”得名。瀑布周围峰峦叠嶂，植被茂密，峡谷、溶洞、石林石柱比比皆是，属典型的喀斯特地貌。感受黄果树瀑布的独特魅力1.走近大瀑布黄果树瀑布的出名始于明代著名旅行家徐霞客，经过一代代的传播，成为知名景点。黄果树瀑布有六个观景台，可以从上、下、前、后、左、右六个方位观赏瀑布的雄、奇、险、秀。2.在水帘洞中接受瀑布的洗礼走进水帘洞，置身其中，看着晶莹的水流流下，若隐若现，宛若人间仙境。想亲身接触瀑布的话可以穿上雨衣，在水帘洞中穿梭，别有一番趣味。建议在进入景区之前购买雨衣。3.寻觅86版《西游记》的场景黄果树瀑布的水帘洞、陡坡塘等景区是86版电视剧《西游记》的取景地，在黄果树瀑布游玩，处处留心，寻觅那些《西游记》中似曾相识的场景，回味经典。游览路线黄果树景区门票包含了三大景点：黄果树瀑布、天星桥景区、陡坡塘瀑布。一般游客的游览路线是陡坡塘瀑布—天星桥景区—黄果树瀑布。门票是两日内有效的，如果一天不能游完可以第二天继续，不过每个景区只能去一次。陡坡塘瀑布：黄果树瀑布群中瀑顶最为宽的瀑布陡坡塘瀑布是黄果树瀑布群里瀑顶最为宽的瀑布，瀑布水沿着瀑面倾泻而下，声势浩大，场面蔚为壮观，令人惊叹。运气好的话还可以看到美丽的彩虹。这里也是86版电视剧《西游记》片尾曲的取景地。天星桥景区：观赏石、水、树、洞混为一体的神奇景色天星桥景区的石景、水景、树景、洞景神奇地融合在一起，令人称奇。在这里可以发现水上有石，石中有洞，洞旁有树，不得不感慨大自然的鬼斧神工。拿出手机或者相机拍摄吧，这里随手一拍都能得出珍奇的风景照。黄果树瀑布：亲临黄果树景区著名的地标黄果树瀑布是游览路线中的压轴景区，也是黄果树景区的核心。亲临世界第三大瀑布，欣赏她的壮美。可以感受到大自然的魅力，惊叹于人类的渺小。摄影爱好者可以带上专业的单反，拍摄一组全景瀑布照片，一定非常震撼。食宿指南黄果树瀑布景区门口有不少小吃，可以尝尝糯米饭（要加辣椒，不然没味道）、恋爱豆腐等。天星桥有很多布依族老人和小孩提着篮子卖鸡蛋、黄瓜、煮玉米，休息处的商店和小摊有卖安顺裹卷、凉粉等，都不算贵。景区周边住宿有黄果树宾馆、金谷瀑布山庄、粮苑酒店等。节假日住宿比较紧张，可以住到安顺市内。,8/10-12/31 07:30-18:00,https://img1.qunarzz.com/travel/d9/1610/f2/ded128d3d5bf82b5.jpg_480x360x95_72f9a47e.jpg,4.5,建议游览时间：12小时 - 3天,最佳的旅游时节是6月-10月，此时瀑布水流最大，瀑布水沿着瀑面倾泻而下，声势浩大，场面蔚为壮观，令人惊叹，偶有水雾升起，可看到彩虹。,"{'黄果树瀑布夜游门票+观光车+双程扶梯票成人票\n\n': ['¥198起'], '黄果树瀑布夜游门票+观光车+双程扶梯票老人票\n\n': ['¥150起'], '黄果树瀑布日场门票(含观光车)+扶梯套票成人票\n\n': ['¥269起']}","1、黄果树景区是典型的喀斯特地形地区，景区内山路陡峭险峻，在景区内游览宜穿胶、布鞋。2、雷雨天不宜游览，更不要在树下避雨。3、景区内尤其是天星桥景区多石阶磴道，且有多处险段，游览时身体宜前俯，下台阶时尤需缓步。在天星桥景区内可以说是一步一景，在游览过程中边走边看，即分散注意力，又易失足，故需看景时不要走路，走路时不看景。游客在景区内游览、摄影、摄像时请注意景区的安全提示标志和安全员的提醒，爱护景区一草一木,注意景区环保,听从管理人员安排,有困难及时与管理人员联系。4、景区地形复杂，爬山下山机会较多，因此游览时宜轻装简从。出发前可将多带的行李物品寄存在住宿的宾馆、旅社或景区游客服务中心的小件寄存处。游览时切忌穿高跟皮鞋、塑料凉鞋。景区的气温夏季在30度左右，太阳辐射较强，请备恰当的遮阳衣帽。5、夏季时有雷雨，不宜打伞。下雨时气温较低要注意感冒。夏季正是黄果树瀑布水量最大的时候，因此许多游道非常湿滑，特别是在穿越水帘洞时瀑布冲起的水雾很大需备好雨季，如果是有摄影器材的游客雨衣也就显得必不可少了。6、春、秋两季，景区内下雨的时间较多，而且温度格外冷，需多备两件御寒的衣物，同时需预备一些常用药品。7、冬游黄果树：以着羽绒衣戴风雪帽为好。冬季雨水多，路滑，宜穿旅游鞋，同时别忘了带手套。",1
平坝农场樱花园Cherry Blossom Garden in Pingba Farm,http://travel.qunar.com/p-oi20976618-pingbanongchangyinghua,"

地址:
安顺市平坝区樟缘路与贵安大道交汇处东北50米

",平坝农场樱花园现已种植50余万株名贵樱花，每年3月到四月上旬，樱花开放时，美若仙境。樱花分为早、晚樱花两个品种，早晚樱花的花期共能持续一个月，此时盛开的白色樱花属于早樱花品种，也有红色的晚樱花将陆续开放，花期为两周左右。平坝农场的公路自驾也不失为一种赏樱方式，穿行于花海之中，两侧是繁花相伴，这种被樱花包围的幸福感不言而喻！,3/5-4/5 09:00-20:00,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/93c8dc1be5e8ed8cd7d765867cd51fdb.jpg_480x360x95_87ed46cd.jpg,4.3,建议游览时间：2小时 - 4小时,,,,1
龙宫Dragon Palace Cave (Long Gong),http://travel.qunar.com/p-oi710754-longgong,,,,,,,,,,1
黄果树瀑布景区,http://travel.qunar.com/p-oi39610869-huangguoshupubujingqu,,,,,4.3,,,,,1
铜鼓荡,http://travel.qunar.com/p-oi38841401-tonggudang,,,,,5.0,,,,,1
紫云格凸河风景名胜区Ziyun Getu River Scenic Spot,http://travel.qunar.com/p-oi714276-ziyungetuhefengjingming,"

地址:
安顺市紫云县水塘镇


电话:
0851-38180888

",格凸河穿洞风景区地处贵州省西南部，包括大穿洞、天星洞、穿上洞、盲谷、小穿洞、苗厅、中洞苗寨等几部分，几乎囊括了喀斯特地貌的所有特征。既有格凸河穿梭蜿蜒在山峦和地下形成的神秘自然景观，同时也不乏类似中洞苗寨的人文风情。虽然早已被开发成景区，但是没有经过太多人工修饰，大部分还保持着原始状态。游客一般游览已开发的大穿洞景区和大河景区，大约需要4小时，而具有一定危险性，尚未完全开发的中洞苗寨和小穿洞，如果没有一定的户外装备和知识，以及必须的体力，还是不要...格凸河穿洞风景区地处贵州省西南部，包括大穿洞、天星洞、穿上洞、盲谷、小穿洞、苗厅、中洞苗寨等几部分，几乎囊括了喀斯特地貌的所有特征。既有格凸河穿梭蜿蜒在山峦和地下形成的神秘自然景观，同时也不乏类似中洞苗寨的人文风情。虽然早已被开发成景区，但是没有经过太多人工修饰，大部分还保持着原始状态。游客一般游览已开发的大穿洞景区和大河景区，大约需要4小时，而具有一定危险性，尚未完全开发的中洞苗寨和小穿洞，如果没有一定的户外装备和知识，以及必须的体力，还是不要轻易尝试。从景区大门进入后，可以选择乘坐电瓶车（包含在门票费用中）直达格凸河游船码头，再坐游船游览天星洞和燕子洞。乘船游览一般1-2小时，由当地的苗寨村民担任船工，兼任导游。游船先到达大穿洞，大穿洞又称为燕子洞，源于这里是燕子繁衍生息的家园，这里也是南方屈指可数的几个燕子洞之一。游船在洞内只能行驶200米就需掉头，否则前面就是水流湍急的更深地下。天星洞在格凸河的上游，因为洞壁曾经是当地苗族居民安放祖先悬棺的地方，因此俗称悬棺洞。靠近洞口处的岩石上，摆放着数十口棺木。这里曾允许上岸靠近，但是由于污染和破坏，现在只能在船上远远观看了。从天星洞出来，在东岸摆渡码头登岸（摆渡小船每人一元），沿步道向大穿洞方向，很快就可以看见通往山上穿上洞方向的阶梯，共有2000级台阶，需要一定的体力和时间攀爬，往返需要1-2小时。山顶部的穿上洞有着巨大的内部空间，据说足够一家小型飞机从中飞过。走过穿洞，沿步道向前，一直到路尽头，就到了第一盲谷，后面还有被峭壁遮挡的第二和第三盲谷。站在围栏处向盲谷眺望一定要注意安全。盲谷底部据说有一条格凸河区域难度大的徒步路线，没有可靠的向导和专业的设备不可贸然前往。小穿洞从景色来说不是一个不得不看的地方，且道路难行，而苗厅虽然被宣传为格凸河的重要景点，但是由于环境地限制，并不是一般旅游者有能力达到的地方，目前只有准备充分的科考人员和有经验的洞穴探险者才有机会一探魅力。中洞苗寨被称为亚洲大的穴居部落，大部分原来的中洞人家现在都已搬到新居，洞里有处新近修葺的吊脚楼，这是洞内的游客接待点。洞外不远处就是新建的中洞新村，这一部分景点尚未得到完善开放，道路不便、设施不完善，时间不够的情况下，大部分游客不会涉及，如果游客是一个有着专业的设备和户外经验的团队，不妨在有当地向导的情况下，尝试一下，游览完这一部分大概整个游览时间会延长到2-3天。,全年 09:00-18:00,https://img1.qunarzz.com/travel/d2/201405/16/ad63b2817e78e098ddb12cfb.jpg_480x360x95_b63928b3.jpg,4.4,建议游览时间：3小时 - 4小时,夏秋两季，水流量大的季节是观赏河流峡谷最佳时间。同时夏秋季节温度适宜，寨中气候舒适，是最佳避暑目的地,"{'紫云格凸河风景名胜区门票+双程车票+全程船票+蜘蛛人表演票成人票\n\n': ['¥125起'], '格凸河穿洞风景名胜区门票+双程车票+全程船票+蜘蛛人攀岩票儿童票\n\n': ['¥77起'], '格凸河穿洞风景名胜区门票+双程车票+全程船票+蜘蛛人攀岩票老人票\n\n': ['¥100起']}",1、整个格凸河景区很大，已开发的只是大穿洞和大河部分景区，其他大都是未经大量开发的区域，具有一定危险性和强度，缺乏一定专业设备和相关经验的游客，最好不要尝试。2、在景区内看不到任何关于浏览路线的提示和地图，路标也不是很完善，一些景点的名称也不是很统一，比如大穿洞也叫燕子洞，天星洞也叫悬棺洞，最好团体行动或有当地苗族村民导游的情况下游览，不要迷路。3、天星洞（悬棺洞）在冬天或河水不充足时，游船是到不了洞内的。4、景区的苗族村民导游长期接触游客，普通话很不错，也都很热情健谈，不必担心交流问题。,1
旧州古镇Jiuzhou Old Town,http://travel.qunar.com/p-oi10018487-jiuzhouguzhen,"

地址:
安顺市西秀区旧州旅游专线


电话:
0851-33287000

",旧州古镇位于安顺市的东南面，古镇街道按阴阳五行布局。城内有很多古寺、四合院、古驿道等大量文化遗存，这里可以体会到厚重的历史文化和悠闲的生活氛围。行走在古镇古老的街道里，游客可以去参观气势恢宏的城隍庙，这里是乾隆皇帝御书匾额并拨专款修建的古建筑，来感受一下它悠久的历史气息是不错的选择。还可以去四合院观摩一番，了解中国古代建筑的智慧。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/eade145f371fb1043cf047bc79c3ede5.jpeg_480x360x95_6cbf2e03.jpeg,4.3,建议游览时间：2小时 - 3小时, 最佳旅游时节：夏季，气候凉爽，适宜避暑。,具体收费情况以现场公示为主,,1
天星桥风景区Tianxingqiao Scenic Area,http://travel.qunar.com/p-oi711299-tianxingqiaofengjingqu,"

地址:
安顺市关岭布依族苗族自治县黄果树风景名胜区内


电话:
0851-33592136

",天星桥景区位于黄果树大瀑布下游。天星桥景区分为天星盆景区、天星洞和水上石林三大区，这里主要观赏石、树、水的美妙结合，是水上石林变化而成的天然景区。如果说黄果树大瀑布的特点是气势磅礴，天星桥区则是玲珑秀美。进人“天星桥”景区，就会到达“数生步”，它是一块块的石头架在水上，每块石头都印有日期，可以找一找自己的生日，然后许个愿，很有意思。然后可以去天星洞景区欣赏光十色、变幻无穷的奇峰异石，景区内的4根大石柱直抵洞顶，每根石柱都在20米高以上，非常壮观。,7:30-17:30,https://img1.qunarzz.com/travel/d3/1702/d8/245f02db01dc35b5.jpg_480x360x95_68e24a28.jpg,4.5,建议游览时间：3小时,最佳的旅游时节是6-10月，此时树木茂盛，青青石苔，水到景成，集山、水、林、洞为一体，非常壮观。,"{'天星桥电子导览服务大小同价\n\n': ['¥6起'], '纯玩+夜宿苗寨 黄果树瀑布+西江千户苗寨+小七孔三日游\n\n': ['¥689起'], '黄果树瀑布、荔波小七孔、西江千户苗寨等纯玩3日跟团游\n\n': ['¥478起']}",1、最好晴天或者是阴天去，雨天路滑，带伞防晒；2、在当地流传着一种说法，前往水上石林的那天+你的年龄=几，然后在第几块天然石块上许下一个愿望，你将会美梦成真。 　　,1
陡坡塘瀑布Doupotang Waterfall,http://travel.qunar.com/p-oi721378-doupotangpubu,"

地址:
安顺市镇宁布依族苗族自治县453县道黄果树镇，黄果树瀑布上游1公里处


电话:
0851-33592136

",陡坡塘瀑布位于黄果树瀑布上游1公里处，瀑顶宽105米，高21米，是黄果树瀑布群中宽的瀑布。陡坡塘瀑布有两面，当平水期的时候，因为上游白水河水量较小，水流清澈，陡坡塘瀑布缓缓的洒下，清秀妩媚如一层面纱，被戏称为：新娘面纱。每当雨季来临，白水河携带着大量泥沙汹涌而下，陡坡塘瀑布便失去了往日的温柔，汹涌咆哮如奔腾的野马，雄壮威武。陡坡塘瀑布神奇的地方在于：瀑布左侧的洞穴在巨量洪水经过时，会产生奇特的共鸣，发出低沉的嘶吼，故陡坡塘瀑布又有一个雅号：吼瀑。,7:30-18:00,https://img1.qunarzz.com/travel/d7/1610/57/4c841be20a362fb5.jpg_480x360x95_02f2ff25.jpg,4.6,建议游览时间：2小时 - 3小时,最佳的旅游时节是6月-10月，雨季来临，白水河携带着大量泥沙汹涌而下，陡坡塘瀑布如汹涌咆哮如奔腾的野马，雄壮威武，十分壮观。,"{'纯玩+夜宿苗寨 黄果树瀑布+西江千户苗寨+小七孔三日游\n\n': ['¥689起'], '黄果树瀑布、荔波小七孔、西江千户苗寨等纯玩3日跟团游\n\n': ['¥478起'], '【千人好评】贵州黄果树瀑布+天星桥+陡坡塘瀑布纯玩一日游 可选一环接早\n\n': ['¥109起']}",1、景区内山路陡峭险峻，在景区内游览宜穿胶、布鞋。2、雷雨天不宜游览，更不要在树下避雨。3、景区的气温夏季在30度左右，太阳辐射较强，请备恰当的遮阳衣帽。4、下雨时气温较低要注意感冒。夏季正是瀑布水量最大的时候，因此许多游道非常湿滑，注意脚下安全。,1
天台山伍龙寺Tiantai Mountain Wulongsi,http://travel.qunar.com/p-oi701784-tiantaishanwulongsi,,,,,,,,,,1
