名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
文笔峰道家文化苑,http://travel.qunar.com/p-oi7565541-wenbifengdaojiawenhua,"

地址:
海口46公里处定安文笔峰境内


电话:
0898-66288075

",海南文笔峰道家文化苑，坐落在距海口46公里处的定安县文笔峰境内。文笔峰与定安南丽湖山水相依、行意相生，自古被视为“南溟奇甸”人文之大成的象征，也是海南岛人文景观的一个缩影。千百年来，这里沉淀了丰富的文化内涵，诞育了许多闻名遐迩的贤德雅士，众多美丽神话传说、民间故事广为流传。地处于此的文笔峰道教文化苑是集旅游、观光、休闲、娱乐、文化研究为一体的大型文化主题景区。文笔峰道教文化苑景区占地面积近千亩，以南宋建筑风格为基调，环文笔峰而建。众多仿古建...海南文笔峰道家文化苑，坐落在距海口46公里处的定安县文笔峰境内。文笔峰与定安南丽湖山水相依、行意相生，自古被视为“南溟奇甸”人文之大成的象征，也是海南岛人文景观的一个缩影。千百年来，这里沉淀了丰富的文化内涵，诞育了许多闻名遐迩的贤德雅士，众多美丽神话传说、民间故事广为流传。地处于此的文笔峰道教文化苑是集旅游、观光、休闲、娱乐、文化研究为一体的大型文化主题景区。文笔峰道教文化苑景区占地面积近千亩，以南宋建筑风格为基调，环文笔峰而建。众多仿古建筑阁殿错落有致地分布于山体周围，使景区气势恢宏、壮观古朴、气韵万千。文笔峰，面积仅3平方公里，海拔180多米，实际高度仅百米，是海南岛东北部一座其貌不扬的山峰。 就是这样一座普通的山峰，却是定安文化的象征。这里是道家的合法建筑所在地，也是海南文明开发的发源地。,8:00-18:00,https://img1.qunarzz.com/travel/poi/1412/52/52395f3d225c9866cdb.jpg_480x360x95_20c98ac7.jpg,3.0,建议游览时间：2小时 - 4小时,四季皆宜。,"{'文笔峰门票成人票\n\n': ['¥35起'], '文笔峰门票优待票\n\n': ['¥25起'], '文笔峰门票双人票\n\n': ['¥67.8起']}",,1
文笔峰Wenbi Peak,http://travel.qunar.com/p-oi7469156-wenbifeng,"

地址:
定安县龙湖镇丁湖路


电话:
0898-66288075

",文笔峰位于海南省定安县的中部，这里山色秀美，植被茂密，更是鼎鼎有名的道教文化旅游区。道教南宗的创始人、南宗五祖白玉蟾正是归隐于此，沿山分布着众多道家殿宇，如玉蟾阁、财神殿、文昌阁等。电影《私人定制》还曾来此取过景。文笔峰并不是很高，景区内也设有观光车，可以根据自己的体力和时间情况进行选择。上山途中随处可见道教文化的标志，气势恢宏的玉蟾宫、八仙贺寿的石刻、寓意丰富的道家壁画等，每一处都值得慢慢领会。除了道教文化，这里还和盘古文化有着不解的渊源，传说中文笔峰是盘古开天辟地后出现的第一座山峰，是由盘古的鼻梁化成的，因吸纳天地之精气，所以成为了祥瑞之地。,08:00-18:00,https://img1.qunarzz.com/travel/d7/1602/50/f3e407959eb67df7.jpg_480x360x95_3309a583.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'文笔峰门票成人票\n\n': ['¥35起'], '文笔峰门票优待票\n\n': ['¥25起'], '文笔峰门票双人票\n\n': ['¥67.8起']}",,1
南丽湖醉花岛湿地文化旅游区,http://travel.qunar.com/p-oi39319158-nanlihuzuihuadaoshidi,,南丽湖醉花岛湿地文化旅游区，位于海南省定安县南丽湖国家湿地公园南片区，以展示南丽湖“犹如人间仙境”的自然风光为主题，以大量种植各种花卉为表现形式，以不同品种、颜色、造型、规格的海南省花三角梅为主，打造成风景秀丽的热带花卉海洋，真正达到如诗如画、人在画中、如痴如醉，营造人间仙境——“醉花岛”。,,,0.0,建议游览时间：12小时 - 3天,,,,1
亚洲榕树王,http://travel.qunar.com/p-oi39057127-yazhourongshuwang,,,,,--,,,,,1
定安故城,http://travel.qunar.com/p-oi38677810-dingangucheng,,,,,0.0,,,具体收费情况以现场公示为主,,1
南丽湖国家湿地公园,http://travel.qunar.com/p-oi38636368-nanlihuguojiashidigong,,,,,0.0,,,具体收费情况以现场公示为主,,1
县衙遗址,http://travel.qunar.com/p-oi38634430-xianyayizhi,,,,,--,,,具体收费情况以现场公示为主,,1
久温塘冷泉,http://travel.qunar.com/p-oi38135637-jiuwentanglengquan,,久温塘冷泉位于海南市定安县龙门镇，是一个有几十个泉眼的热带冷泉，原生态环境良好，周边大榕树浓荫密布，古老的火山石错落有致，泉水潺潺不息，美不胜收。,,,--,建议游览时间：3小时 - 5小时,,具体收费情况以现场公示为主,,1
蓝玉绿园苗圃场,http://travel.qunar.com/p-oi35304456-lanyulu:yuanmiaopuchang,,,,,--,,,具体收费情况以现场公示为主,,1
永丰乡农场Yongfeng Village Farm,http://travel.qunar.com/p-oi35304274-yongfengxiangnongchang,,,,,--,,,具体收费情况以现场公示为主,,1
玉蟾宫Yuchan Palace,http://travel.qunar.com/p-oi35216624-yuchangong,,玉蟾宫位于海南省定安县，玉蟾宫诸殿，环绕在文笔峰潮周围。玉蟾宫是道教在海南的合法庙宇，被道教奉为“南宗宗坛”。,,,--,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
万泉河漂流Wanquan River Drift,http://travel.qunar.com/p-oi35198067-wanquanhepiaoliu,,,,,--,,,具体收费情况以现场公示为主,,2
定安沿江公园Ding'anyanjiang Park,http://travel.qunar.com/p-oi35017330-dinganyanjianggongyuan,"

地址:
定安县文明路与沿江东路交叉口西北100米

",定安沿江公园内有三大分区，分别为活力广场区、文化休闲区和健身活动区，是休闲娱乐的好去处。,全年 全天开放,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2
次滩大队林场,http://travel.qunar.com/p-oi26958987-citandaduilinchang,,,,,--,,,,,2
龙州乡畜牧场,http://travel.qunar.com/p-oi26648478-longzhouxiangchumuchang,,,,,--,,,,,2
解元坊Jieyuan Square,http://travel.qunar.com/p-oi24410655-jieyuanfang,"

地址:
海南省定安县东门街 571200

",,全年 全天开放,,--,,,具体收费情况以现场公示为主,,2
南丽湖Nanli Lake,http://travel.qunar.com/p-oi23342420-nanlihu,,南丽湖位于定安县城南，是琼北的一处人工淡水湖。这里气候宜人，常年水温22℃左右，湖水清碧，四周胶林环抱。湖中各类小岛植被丰富，野花争艳、竹木苍翠，人游其中如痴如醉。,,https://img1.qunarzz.com/piao/fusion/1810/f1/8e3a31d2e31fc002.jpg_480x360x95_7843885b.jpg,3.7,建议游览时间：2小时 - 3小时,,,,2
安定古城Anding Ancient City,http://travel.qunar.com/p-oi23342417-andinggucheng,,安定镇南依山、北临秀延河、西近中山川、东为平川地。宋代时安定置堡，蒙古至元年置县，直至、明、清。1937年，县城迁址瓦窑堡，设安定为镇。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/3450dea89756cd24c60b35d46e6cd4e2.jpg_480x360x95_b1eab1e0.jpg,4.2,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,2
鸵乌观赏园Ostrich Ukraine Ornamental Park,http://travel.qunar.com/p-oi20898104-tuowuguanshangyuan,,,,,,,,,,2
定安县文化规划展馆DingAnXian WenHua GuiHua ZhanGuan,http://travel.qunar.com/p-oi19631030-dinganxianwenhuaguihua,,,,,0.0,,,具体收费情况以现场公示为主,,2
羊角岭Yangjiao Ridge,http://travel.qunar.com/p-oi19621000-yangjiaoling,"

地址:
海南省屯昌县县城南

",,全年 8:00-17:00,,4.0,,,具体收费情况以现场公示为主,,3
定安县图书馆(分馆)Ding'anxian Library (fenguan),http://travel.qunar.com/p-oi19536089-dinganxiantushuguan,,,,,--,,,具体收费情况以现场公示为主,,3
定安县博物馆Ding'anxian Museum,http://travel.qunar.com/p-oi19467376-dinganxianbowuguan,,,,,0.0,,,具体收费情况以现场公示为主,,3
定安县图书馆Ding'an Library,http://travel.qunar.com/p-oi19467375-dinganxiantushuguan,,,,,--,,,具体收费情况以现场公示为主,,3
海南农垦万嘉果热带植物园Hainan State Farms Wanjiaguo Tropical Economic Plants Sightseeing Demonstration Park Ticket Office,http://travel.qunar.com/p-oi18714026-hainannongkenwanjiaguo,,海南农垦万嘉果热带植物园位于海南东线高速公路黄竹出口处，距离海口约62公里，为国家AAA级旅游景区，是一个集生态、销售、观光旅游、休闲为一体的热带生态农业观光综合景区。,,https://img1.qunarzz.com/travel/poi/1803/46/fcd4b96d6706e37.jpg_480x360x95_075078f6.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
太史坊Taishifang,http://travel.qunar.com/p-oi10011715-taishifang,"

地址:
定安县雷鸣镇龙梅村

",太史坊坐落于定安县雷鸣镇龙梅村，建于万历二年（1574年）孟春，系右副都御史殷正茂，巡抚广东监察御史张守约为国史官王弘诲所立纪念物，故称太史坊。坊通高5.1米，面宽三间，明间（除柱）宽2.84米，次间（除柱）宽1.3米。明间太史坊额石面宽80厘米，长3.1米，顶盖及专额石之间竖一石，上刻“恩荣”二字。太史坊额外负担石正面中间阴刻横写正楷字“太史坊”，右侧阴刻直写小楷“总督闽广粮饷巡抚广东兵部尚书兼右副都御史殷正茂，巡抚广东监察御史张守约为”，左侧阴刻直写小楷“嘉靖乙丑科会试第二十名进士第翰林院编修文林郎同修国史王弘诲立，万历二年甲戌孟冬吉日”。太史坊额背面阴刻横定正楷大字“解无坊”，左侧阴刻楷体小字“嘉靖辛西科广东乡试第一名王弘诲”。明间大柱对面刻有楷字对联“石柱擎天秀毓南溟开五指，瑶台贯斗光摇北极应三台”，传为明代著名书法家董其昌所书（董其昌系王弘诲之门生）。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1712/a6/f37a6b3fb2c5d337.jpg_480x360x95_09b5e3fd.jpg,4.3,建议游览时间：0.2小时 - 0.3小时,,具体收费情况以现场公示为主,,3
玉蟾宫,http://travel.qunar.com/p-oi9690743-yuchangong,,玉蟾宫，不仅拥有世界最大的道教建筑群，还有绝对正宗的道家文化。如果说玉蟾宫是一个神仙的世界，那可是一点也不夸张。这里有差不多二十座的大小殿堂，里面供奉的都是道教传说中的各路神仙。,,https://img1.qunarzz.com/travel/poi/1806/38/fb7fa7ffb393d837.jpg_480x360x95_900f1585.jpg,--,,,,,3
海南母瑞山革命根据地纪念园Muruishan Revolution Base Area Memorial Park,http://travel.qunar.com/p-oi9600593-hainanmuruishangeming,"

地址:
定安县国营中瑞农场中学西南侧


电话:
0898-65567999

",母瑞山革命根据地是土地革命战争时期创建的中心革命根据地。琼崖红军独立师师部曾长驻于此，领导和指挥琼崖人民和琼崖红军与敌人开展英勇卓越的革命斗争，为琼崖人民坚持武装斗争23年红旗不倒做出了重大的贡献，被誉为琼崖革命的摇篮。为缅怀先烈，启迪后人，弘扬母瑞山革命精神，1993年2月决定建设“母瑞山革命根据地纪念园”。1996年8月15日纪念园被列为省级文物保护单位，2001年6月被定为全国爱国主义教育示范基地。,全年 9:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/c6d4827622a37ca72c4ddbff51080860.jpg_480x360x95_7b63e482.jpg,4.6,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
海南热带飞禽世界Hainan Tropical Birds World,http://travel.qunar.com/p-oi7469149-hainanredaifeiqinshijie,"

地址:
定安县塔北路定安飞禽世界


电话:
0898-66787537,0898-63831150

","海南热带飞禽世界地处海南省安定县塔岭开发区,是目前国内较大的鸟文化主题公园。在这由近千种不同植物美化而成的466亩生态空间里，展示着300余种30000余只各式热带飞禽，涵盖了海南鸟类的绝大多数。这里面有世界较大的鸟——鸵鸟、有世界上较小的小鸟——珍珠鸟、有飞得很高的鸟——天鹅、有鸟中潜水的——凤头潜鸭等，特别值得一提的是：其中有五十余种鸟类，都属于海南仅有的鸟类或亚种，一般游客是难得一见的。在这个鸟类王国中，除了能欣赏到各种各样千姿百态的鸟类外，多才多艺的鸟类明星们还将带给您精彩纷呈的各类飞禽表演。这其中有精彩激烈的飞禽王国奥运会、有中国推出的空中禽王——猛禽表演，有生猛的斗鸡、诙谐的斗画眉、沙漠中的鸵鸟骑士，还有在见龙古塔上演绎的孔雀东南飞……这里不仅是鸟的世界，还是花的海洋，近千种奇花异木点缀在园区，直插云天的乔木，婆娑起舞的花灌木，碧绿如茵的草地，一年四季，繁花似锦。好一派具有南国风情的热带风光。众多散放的鸟类，或徜徉林间，或栖于枝头，又或翱翔于蓝天白云间，无拘无束，自由自在的享受着生命的美好！倾听天籁鸟音,感悟祥和世界，请到飞禽世界来，这里有你童年的梦想；请到飞禽世界来，到这里寻找生命的真谛！",8:00-18:00,https://img1.qunarzz.com/travel/d7/1602/b8/d267873ff8f52af7.jpg_480x360x95_00c02d29.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'海南热带飞禽世界门票成人票\n\n': ['¥42起'], '海南热带飞禽世界门票儿童票\n\n': ['¥25起'], '海南热带飞禽世界门票优待票\n\n': ['¥25起']}",,3
