名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
岳麓山公园,http://travel.qunar.com/p-oi716510-yuelushangongyuan,"

地址:
甘肃-定西　-临洮县

",临洮岳麓山公园位于甘川公路105公里处，距县城0.5公里，素以绿色出头而著称，有“桂林山水甲天下，临洮东山不低头”之美誉。岳麓山素有“兰州南大门”之称，是省城兰州连接临夏、甘南、陇南、定西的扭带。岳麓山公园以宋代建东岳庙于山麓之间而得名，杨柳轻拂、松柏滴翠、碧水环绕、花放鸟鸣。公园总面积为84公顷，园内山光水色秀美奇丽，亭台楼阁错落有致、文物古迹引人入胜，古刹名寺隐藏山坳，使人留连忘返。岳麓山公园动植物资源丰富，有名、优、特、奇适生树种近百种，有参天的...临洮岳麓山公园位于甘川公路105公里处，距县城0.5公里，素以绿色出头而著称，有“桂林山水甲天下，临洮东山不低头”之美誉。岳麓山素有“兰州南大门”之称，是省城兰州连接临夏、甘南、陇南、定西的扭带。岳麓山公园以宋代建东岳庙于山麓之间而得名，杨柳轻拂、松柏滴翠、碧水环绕、花放鸟鸣。公园总面积为84公顷，园内山光水色秀美奇丽，亭台楼阁错落有致、文物古迹引人入胜，古刹名寺隐藏山坳，使人留连忘返。岳麓山公园动植物资源丰富，有名、优、特、奇适生树种近百种，有参天的柳、榆、古树，有冬夏长青的松、柏，有山杏、沙棘、拧条、穗槐、刺槐、白榆等耐旱树种，有苹果、梨、桃等组成的经济园，有牡丹、桃梅、连翘、丁香、月季、黄花、大丽花、唐昌蒲、郁金香等名贵花卉。岳麓山公园地处丝绸之路要道，是屏障全城，控扼陇蜀之重镇。主要有超然台、椒山祠、道统祠、武侯祠、地母宫、先农坛、文昌阁、太平观、三星阁、龙泉寺、奎星阁、东岩寺、曾观、画廊亭台、碑匾刻石等42处景观。其中以超然书院、风台、姜维墩优为著称。,8:00-16:00,,--,,,门票：15元；云麓宫5元；麓山寺5元；鸟语林20元 成人团体票：12元/人；学生团体票：10/人,,1
遮阳山,http://travel.qunar.com/p-oi708752-zheyangshan,,遮阳山古有岷州“小崆峒”之称，由西溪、东溪和夷门山三个景区组成。西溪由金家沟和若干岔峡组成，全长7.5公里，为全山的旅游精华所在。境内主要有临溪巨石、芸叟洞、三醉石、题诗崖、仙人祠、青羊洞、八音井、常家洞、锡庆寺、蛤蟆石等历史胜迹和自然风景50余处。,,,--,,,,,1
贵清山旅游风景区Guiqing Mountain Tourism Scenic Area,http://travel.qunar.com/p-oi714756-guiqingshanlu:youfeng,"

地址:
定西市漳县新寺镇青瓦寺村


电话:
18209322881

",贵清山位于定西市漳县南侧，是陇中黄土高原上景色秀美的名山。贵清山的山势陡峭壮观，树木茂密，山间有峡谷、溪流，环境很优美，有中峰寺等历史古迹，还有蜀汉大将姜维曾在此处留下的历史传说。来到景区可以登山锻炼、探访古迹，是甘肃东部著名的旅游胜地。贵清山景区共分为两个部分，一个是山峰区域，一个是山下的贵清峡谷。游客可以先游览峡谷区域，然后登山游玩，登山需时大约半天左右，游玩整个景区大约大半天时间。另外，游客也可以直接乘车到达山顶区域然后向下游玩，比较节省时间和体力。贵清峡谷位于山下，峡谷幽深安静，绿意盎然，环境清幽。山峰区域则是一条约有1800多级台阶的登山路，在山间可以观赏壮观的山势，还有一些寺院古迹等，另外，山上有溪流、瀑布紧贴石壁而下，环境优美，适合摄影拍照。,8:30-18:00,https://img1.qunarzz.com/travel/poi/1803/d1/11eee08da16cba37.jpg_480x360x95_d797df74.jpg,4.5,建议游览时间：3小时 - 5小时,,"{'贵清山旅游风景区门票成人票\n\n': ['¥50起'], '贵清山旅游风景区门票老人票\n\n': ['¥25起'], '贵清山旅游风景区门票优待票\n\n': ['¥25起']}",,1
定西玉湖公园Yuhu Park,http://travel.qunar.com/p-oi708997-dingxiyuhugongyuan,"

地址:
永定西路67号西侧100米


电话:
+86 932 826 1388

",玉湖公园，位于定西市安定区永定西路，甘肃省的中部，东接平凉地区，南邻天水市和陇南地区，西连甘南、临夏二州，北靠兰州、白银二市，位于典型的黄土高原丘陵沟壑地区，被称为“风神捏就的世界”。,8:00 - 18:00,,4.2,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
莲峰山,http://travel.qunar.com/p-oi705920-lianfengshan,,位于县城东南34公里处的莲峰乡张家滩与古迹坪村之间，东望陇西、南眺漳县，面积198公顷，海拔2214-2441米。莲峰山地质为砂岩土石山体，系西秦岭地槽地带，山峦起伏，山体陡峻，植被良好，风景优美。莲峰山，因九峰环峙、状似莲花而得名，又因马鹿成群出没山林而俗称“马鹿山”。莲峰山素以奇秀著称，是古丝绸南路上的一颗瑰丽明珠。,,https://img1.qunarzz.com/piao/fusion/1605/b2/8582589121a8e0f7.jpg_480x360x95_ff629828.jpg,--,,,,,1
天井峡景区Tianjing Gorge Scenic Area,http://travel.qunar.com/p-oi708995-tianjingxiajingqu,"

地址:
定西市渭源县莲峰镇

",在石门水库的后面，有一处纯朴自然、不事修饰的奇异妙境的净土这就是——横亘十里的史前峡谷天井峡，一座座陡峭的山崖相对挺立，中开一缝，就象大锯解开的板缝，当地山民又叫它解板沟。大自然的神工鬼斧造就出这一片刀削斧劈似的奇山绝境，人们说它是神仙造出来的。天井峡内共有二十多个景点：腰崖寺、金顶、狮象崖、公母窟、子母峰、倒爬崖、透圈子、歇佛崖、马窟湾、天马窟、仙女屏、淋仙瀑、饮马崖、天城堡、小麦积、水帘洞、香子圈、天井、卧龙潭、洞庭湖、黑鹰膀、马鸡场、南天门、石马桩、金刚山、五咀崖、钻天崖等。这一座座形体不同的石峰崖柱，有的独成一峰、无依无托，有的并肩相靠、亲亲热热，有的象高楼，有的象麦垛，有的象奔跑的猛兽，有的象俯冲的雄鹰，有的象翩翩起舞的仙女。这里的山形乍一看是一体的悬崖陡壁，随着游人的移动，又在不断变化。从谷底仰望惊险绝奇，从山顶俯视，更是层层叠叠，多姿多彩，好似绽开的绿色花瓣。这里的水，也是秀美奇妙的，岩壁上挂着水珠，石缝间渗着水珠，草尖上捧着水珠，迎着阳光，晶莹闪亮。山顶端一处冷泉，从悬崖上飞扬而下，垂成千尺白练。峡谷里欢跃的浅溪，从两崖空间奔来，汇成湍急的小河，将谷底冲刷成几米深的石槽，飞跌而下，旋成明镜般的深潭，清彻见底。,7:00-18:00;18:00停止入场,https://img1.qunarzz.com/p/tts2/1801/59/ef4cea30387a7502.jpg_480x360x95_fbf515a7.jpg,4.6,建议游览时间：12小时 - 3天,,20元,,1
灞陵桥公园,http://travel.qunar.com/p-oi704783-balingqiaogongyuan,,灞陵桥――素有“渭河长虹”之说。在渭源县南城门外的清源河上，是一座古典纯木结构卧式悬壁拱桥，俗称“卧桥”。因桥身拱起，宛如长虹，有“渭水长。灞陵桥始建于明洪武初年，系大将军徐达西击元将李思齐时，为渡渭河而建。初为平桥，传说徐达夜梦受汉武帝爱妃指点，乃以木笼装石为墩修成，桥上配以玉石栏杆，徐达亲题桥名，有“渭河第一桥”之称，可惜“即济行人，复通车马”的桥梁后为洪水冲毁。,,,--,,,,,1
新美花卉园,http://travel.qunar.com/p-oi711911-xinmeihuahuiyuan,"

地址:
甘肃省定西市临洮县

",新美花卉园新建高效节能日光温室113座，分区新建2000M2气调库一座，改造200M2气调库1座，2000M2基质原料、现代化自控温室2座63亩，供热供水配套设施，种质资源圃建设100亩，组培室1500M2， 最终将园区建成集科技开发、观光旅游、科普教育、信息交流、教学实验、示范推广、成果展示为一体的现代高科技示范园区。,8:00-20:00,https://img1.qunarzz.com/travel/poi/1608/87/c52a2bb981fe0137.jpg_480x360x95_67cf601c.jpg,--,,,,,1
首阳山,http://travel.qunar.com/p-oi714622-shouyangshan,"

地址:
甘肃省定西市渭源县莲峰镇

",首阳山位于渭源县东南34公里的莲峰乡享堂沟，海拔在2186-2509米之间，因其列群山之首，阳光先照而得名。首阳山因商未周初孤竹国（今河北庐龙县）君之二子伯夷、叔齐相让嗣君，相偕至周，后闻武王伐纣，叩马谏阴。因武王不听，遂愤而不食周粟，西行至首阳山，采薇而食，后饿死于首阳山而成为陇右名山。秦汉在此建县时就名首阳县了。渭源首阳山最早见于庄子所言伯夷、叔齐西至岐阳，见周武王伐殷曰：吾闻古之士，遭治世还避其任，遇乱世不为苟存，今天下暗，周德衰，其并乎周以涂吾身...首阳山位于渭源县东南34公里的莲峰乡享堂沟，海拔在2186-2509米之间，因其列群山之首，阳光先照而得名。首阳山因商未周初孤竹国（今河北庐龙县）君之二子伯夷、叔齐相让嗣君，相偕至周，后闻武王伐纣，叩马谏阴。因武王不听，遂愤而不食周粟，西行至首阳山，采薇而食，后饿死于首阳山而成为陇右名山。秦汉在此建县时就名首阳县了。渭源首阳山最早见于庄子所言伯夷、叔齐西至岐阳，见周武王伐殷曰：吾闻古之士，遭治世还避其任，遇乱世不为苟存，今天下暗，周德衰，其并乎周以涂吾身也，不若逊之，以洁吾行二子北至于首阳之山，遂饥饿而死。又东汉经文学家曹大家（即班昭）注《幽通赋》说：夷齐饿于首阳山在陇西首阳。渭源在秦末汉初建县，就名首阳县，归陇西郡管辖，县以山得名。直到西魏文帝大统十七年（公元551）始改名渭源县。据此看来，渭源首阳山得名最早，历史悠久，为夷齐隐居采蕨直至饿死的最确首阳山。首阳山西北侧有石门，因两座石崖东西对峙，间开一线，形似石门而得名。石门夜月为当地一景。两崖之间有一水库，容量500多万立方米，是一处理想的水上乐园。水库后面为长十五里的天井峡谷，这里座座陡峭的山崖相对挺立，四山合围，蓝天变成一条细线，人如处井底，其地势恰似一大锯解开的板缝，故此当地俗称解板沟。天井峡山奇水美，恰似仙境，有鬼斧神工的自然造型27处景点。沿十五里天井画廊，到处充满着奇、险、壮、绝、清、秀、幽、静、古、野之情趣。如从县城向南行直抵天井峡，约有20多公里路程。,09:00-17:00,https://img1.qunarzz.com/travel/d5/1510/98/3f55b9c8ca110f.jpg_480x360x95_82907aca.jpg,5.0,,,25元,,1
李家龙宫,http://travel.qunar.com/p-oi39572990-lijialonggong,,,,,0.0,,,,,1
