名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
李庄古镇Lizhuang Ancient Town,http://travel.qunar.com/p-oi716535-lizhuangguzhen,"

地址:
宜宾市翠屏区李庄镇李庄古镇景区


电话:
0831-7897789

","作为仅有被冠以“中国”的历史文化名镇，位于宜宾市东郊、长江下游南岸的李庄古镇不仅是地理意义上的长江重要古镇，在有山有水的东方意境中浸润出一千四百余年有滋有味的川式生活，以“一花二黄三白”为标志的饮食文化影响深远；更因在乱世烽火里存续中国文脉，与重庆、成都、昆明齐名“四大抗战文化中心”之一。江导岷山，流通楚泽，峰排桂岭，秀流仙源。李庄古镇始建于梁代大同六年（公元540年），距今有1481多年的建置史，建成区3平方公里。现李庄古镇景区由古镇核心区和月亮田景区两大片区组成，古镇核心景区面积为1平方公里，月亮田景区为新增景区，集历史情怀、东方美学、川式生活、研学探索于一身。
李庄古镇不仅拥有美丽的自然风貌，保存完好的古镇和建筑，其灿烂悠久的人文历史，丰富多彩的川南民俗文化，地方风味的饮食文化，多样和谐的宗教文化，蜚声海内外的抗战文化等，更是独具魅力。
李庄古镇历史悠久，人文荟萃，有庙宇、宫观、殿堂组成的“九宫十八庙”和国家重点文物保护单位旋螺殿、中国营造学社旧址（梁、林旧居），四川省重点文物保护单位东岳庙、张家祠、慧光寺及栗峰山庄，保存完好的古街古巷、众多的古民居四合院及被梁思成誉为李庄“四绝”的旋螺殿、奎星阁、九龙石碑、百鹤窗，形成了李庄独特的古民居文化和独特的建筑风格。
抗战期间，中央研究院、中国营造学社、国立同济大学等十多家高等学府和科研机构迁驻李庄，全国知名专家、学者如李济、傅斯年、陶孟和、吴定良、梁思成、林徽因、童第周、梁思永等云集李庄，共同度过了长达五、六年的烽火岁月，梁思成的《中国建筑史》这部扛鼎之作就诞生在李庄。
 李庄于2005年被评为中国历史文化名镇、全国首批特色小镇之一，是四川省爱国主义教育基地；2017年被评为四川统一战线中国特色社会主义教育基地，2018年被确立为中国民主同盟传统教育基地、全国海峡两岸交流基地、四川省国防教育基地及2018年四川省十大阳光旅游目的地。
",全年 09:00-18:00,https://img1.qunarzz.com/travel/d4/1508/28/7414c6b68fc617.jpg_480x360x95_42c8595e.jpg,4.6,建议游览时间：1小时 - 3小时,春、秋两季。理由：宜宾春秋两季温度比较适合旅游出行。,"{'宜宾三江游船(李庄线路)门票成人票\n\n': ['¥48起'], '宜宾三江游船(李庄线路)门票优待票\n\n': ['¥38起'], '李庄古镇手机智能导游讲解服务大小同价\n\n': ['¥5起']}",,1
蜀南竹海Shunan Zhuhai (“South Sichuan Bamboo Sea”) National Park,http://travel.qunar.com/p-oi709314-shunanzhuhai,"

地址:
宜宾长宁县蜀南竹海景区


电话:
0831-8885199,0831-4980456


官网:
http://www.snzh.cn/

",蜀南竹海可谓是“竹的海洋”，连绵不断的翠竹覆盖了二十多条峻岭、五百多座峰峦，与恐龙、石林、悬棺并称川南四绝。这里生长着五十余种竹子，除了常见的楠竹、水竹、慈竹外，还有紫竹、人面竹、鸳鸯竹等珍稀竹种。游玩景区一般都是从万岭镇的景区西大门开始游览，进入大门先看到的是长宁竹海博物馆，里面有一些做工精美的竹制品，值得驻足一看。然后登上索道，在索道上俯瞰竹海全景，视线更宽广。索道终点可抵达竹海景区核心的观海楼和翡翠长廊等景点。观海楼高六层，站在楼上俯视竹海，万千山岭尽在眼中。观海楼下面有个小广场，四周有很多农家提供餐饮和住宿。走累了，可以在此小憩，顺便品尝当地有名的“全竹宴”，有竹笋、竹荪等，色香味俱全，让人食欲大增。,9:00-17:00,https://img1.qunarzz.com/travel/d7/1508/cb/0ab7418c4c12e3.jpg_480x360x95_239de5c2.jpg,4.3,建议游览时间：3小时 - 4小时,四季皆可。理由：不同的季节景色各有不同，春日，新笋遍地钻出，翠绿的枝叶满山伸展，生意盎然。盛夏，嫩竹泻翠，林荫蔽日，瀑飞泉涌，气候爽人。金秋，翠竹摇风，修篁如黛，绿竹林中，红叶点点。隆冬，林寒涧肃，岭峦岑寂，青枝白雪，相映成趣。,"{'蜀南竹海门票成人票\n\n': ['¥100起'], '蜀南竹海门票优待票\n\n': ['¥50起'], '蜀南竹海竹尖漫步票大小同价\n\n': ['¥30起']}",,1
合江门Hejiangmen Scenic Resort,http://travel.qunar.com/p-oi9502420-hejiangmen,"

地址:
宜宾市翠屏区合江街

",合江门是宜宾市大型码头，可直接与重庆、乐山、云南等地通航。金沙江、岷江、长江，三江在此交汇，波澜壮阔，雄浑壮观，风光无限。合江门曾是宜宾主要的水陆码头之一。站在合江门处，左面缓缓流淌、水色如黛的江是岷江，右面翻花鼓浪、水色泛黄的江是金沙江，两江在此交汇后，融为一体，继续东流，改称长江，注入东海。每当中秋之夜，明月当空高照，江口风平浪静，江中双月辉映，一明一暗，是世间少有的景象，称：三江口吻月。因此地是三江交汇之处，故合江门又称三江口。长江从此处开始称为长江，所以，宜宾市有：长江第一城的美誉。2001年，合江门在金沙江、岷江交汇一侧建地标广场，并建有喷泉、牌坊等景观。,全年 全天开放,https://img1.qunarzz.com/piao/fusion/1801/f3/265f8a3eb5147702.jpg_480x360x95_27d888f8.jpg,4.7,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
宜宾翠屏山风景区Cuipingshan,http://travel.qunar.com/p-oi708620-yibincuipingshanfengjing,"

地址:
四川省宜宾市翠屏区城西


电话:
0831-8225465

",宜宾翠屏山风景区位于四川省宜宾市，这里环境优美，空气清新，温度宜人！适合夏天避暑！是我们外出旅游的好去处。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1409/04/b8186372e7e0419ffffffffc8d65eac.jpg_480x360x95_7a48ee60.jpg,4.9,建议游览时间：2小时 - 3小时,春、秋两季最佳。宜宾春秋两季，气温舒适，最适合旅行。,免费,,1
南丝绸之路不夜城,http://travel.qunar.com/p-oi39447084-nansichouzhilubuyecheng,,,,,0.0,,,,,1
西部洞群•神羊洞旅游风景区Shenyangdong Tourism Sceneic Area,http://travel.qunar.com/p-oi35832601-xibudongqunshenyangdong,,西部洞群神羊洞景区是筠连县喀斯特旅游投资开发有限公司开发的项目，是筠连县省级岩溶风景区的重要组成部分，是筠连县“四大景区”之一、景区位于四川盆地南缘、云贵高原北麓川清两省结合部筠连县双腾镇神羊村境内，距县城35公里，景区幅员面积约10平方公里，核心区域面积4.2平方公里，平均海拔高1000米，属于典型的喀斯特地貌。景区具有得天独厚的旅游资源，原生态自然奇观保存完整，地表峰丛石林奇异多姿，喀斯特地质构造的岩溶地貌发育在距今2亿年前恒古时期，景区内石林、峰丛、石芽、天坑、天心、地下长河、天桥集中分布岩溶洞穴以神羊洞、迎宾洞、飞龙洞、落水洞、雪龙洞、拐角洞等130多个溶洞组成了西部洞群，溶洞多屏分布，交错互通，现为中国青少年科考探险基地和省级风景名胜区。神羊洞是景区核心溶洞之一洞内游览线路3000米，游览主题为发现侏罗纪、穿越中生代、重现新生代、生命长河，进入溶洞让您感受和体验地球演变的沧海桑田和生命繁衍的精彩故事，体验6500万年前地球上庞大恐龙家族场景再现，侏罗时代、恐龙巨兽演绎适者生存;洞穴深处便是进入冰川时期的地球被冰雪覆盖后消失的物种化石雕物，百态乳石耸立，干种飞瀑泻流;火山爆发，冰川遗迹述说甲影历历;穿越中生代、重现灵生纪:生命之根拔地而起，帝王华盖巨幔垂帘;玄奘闭目取经路上，悟空修行金籍棒旁;地心峡谷，徒步如临万丈深渊:万物朝阳，生命轮回又归自然。,,,4.0,建议游览时间：1小时 - 2小时,,{'神羊洞旅游风景区门票成人票\n\n': ['¥60起']},,1
兴文石海Xingwen Sea of Rocks,http://travel.qunar.com/p-oi10015318-xingwenshihai,"

地址:
宜宾市兴文县石海镇梅岭


电话:
0831-8622078


官网:
http://www.scxwsh.com/

","兴文石海位于宜宾市，景区内景点丰富，有石林、溶洞、石海等。可以观赏到高耸的石林、巨大的溶洞及其内部鬼斧神工的钟乳石，是一个观赏大自然地貌奇观的景点。景区内有许多“野导游”,对兴文石海感兴趣的游客可以请一个听听讲解。兴文石海主要是以溶洞出名，游客在洞内会感受到溶洞无比巨大。洞内各种形态各异的钟乳石让人叹为观止，再配上五颜六色的灯光，在此拍照留念是不错的选择。",4/21-10/9 08:30-17:30;10/10-4/20 09:00-17:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/202112/0afacb3a5d63e1647361736912e10c64.jpg_480x360x95_94264d4d.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'兴文石海门票成人票\n\n': ['¥39.9起'], '兴文石海门票+观光车+观光电梯+游船+返程大巴套票成人票\n\n': ['¥120起'], '兴文石海门票+观光车+游船+返程大巴票儿童票\n\n': ['¥80起']}",,1
忘忧谷Wangyou Valley,http://travel.qunar.com/p-oi703412-wangyougu,"

地址:
宜宾市长宁和江安县境内


电话:
0831-8885199,(0831)-4980159

",忘忧谷在蜀南竹海景区内，谷门用楠竹建成，进入谷门，是竹海深处的文化街。街面是天然的红砂石铺成，街的右面是葱郁的绵竹、慈竹和楠竹掩映着的一条清澈的溪流。左面是依山而建的一排竹廊。竹乡人在竹廊里摆的是竹筷、竹车、竹椅等琳琅满目的竹制旅游工艺品。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/106df5b3ec6ee3187ff4d5d664dbc398.jpg_480x360x95_51478759.jpg,4.5,建议游览时间：2小时,春、秋两季。宜宾春秋两季，气温舒适，最适合旅行。,112元,,1
墨溪Moxi,http://travel.qunar.com/p-oi7647729-moxi,"

地址:
宜宾市蜀南竹海景区内


电话:
0831-8885199

",蜀南竹海景区里一个纯天然的景点，溪水的底部因为岩石表面长出的黑色地衣，让清澈的溪水远远看上去像是墨汁一样。,全年 09:00-17:00,https://img1.qunarzz.com/travel/d1/1610/20/05239c1b651c1db5.jpg_480x360x95_bc7d844e.jpg,4.4,建议游览时间：1小时 - 2小时,,,,1
竹海博物馆Shunan Zhuhai Museum,http://travel.qunar.com/p-oi7647724-zhuhaibowuguan,"

地址:
竹海镇宜宾蜀南竹海风景名胜区内


电话:
0831-4980121

","蜀南竹海位于四川南部的宜宾市境内，幅员面积120平方公里，核心景区45平方公里，共有八大主景区，两大序景区134处景点。由27条峻岭，500多座峰峦组成，景区内共有竹子400余种，7万余亩，楠竹枝叠根连，葱绿俊秀，浩瀚壮观.蜀南竹海是世界上集中面积大的天然竹林景区，独特的地理位置，造就了“云山竹海，天上人间”。是世界罕见、中国的集竹景、山水、湖泊、瀑布、古庙于一体，同时兼有历史悠久的人文景观的竹文化、竹生态休闲度假旅游目的地。蜀南竹海的植被覆盖率达92.4%，景区内绿...蜀南竹海位于四川南部的宜宾市境内，幅员面积120平方公里，核心景区45平方公里，共有八大主景区，两大序景区134处景点。由27条峻岭，500多座峰峦组成，景区内共有竹子400余种，7万余亩，楠竹枝叠根连，葱绿俊秀，浩瀚壮观.蜀南竹海是世界上集中面积大的天然竹林景区，独特的地理位置，造就了“云山竹海，天上人间”。是世界罕见、中国的集竹景、山水、湖泊、瀑布、古庙于一体，同时兼有历史悠久的人文景观的竹文化、竹生态休闲度假旅游目的地。蜀南竹海的植被覆盖率达92.4%，景区内绿色怡人、空气清新，是一座天然的绿色大氧吧。更是川南地区的影视基地,《卧虎藏龙》、《大人物》、《大酒商》、《风云2》、《爱到春潮滚滚来》、《勇士》、浙江卫视《24小时》真人秀栏目等诸多影视作品和综艺节目都将蜀南竹海作为了外景拍摄地点。",全年 09:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/000fdcebed4362da53027aab4d2fd390.jpg_480x360x95_aaa85844.jpg,5.0,建议游览时间：2小时 - 3小时,,100元,,1
龙吟寺,http://travel.qunar.com/p-oi7647721-longyinsi,"

地址:
宜宾市长宁县蜀南竹海景区九龙山顶

",,8:00-18:00,https://img1.qunarzz.com/travel/d6/1704/c2/327c29b90acf24b5.jpg_480x360x95_d3ad0296.jpg,2.5,建议游览时间：1小时 - 2小时,,"免费参观，包含在蜀南竹海景区门票内。
 旺季（每年1月1日—11月30日）：110元 
 淡季（每年12月1日—12月31日）：60元
",,2
五粮液酒史博物馆Wuliangye Wine History Museum,http://travel.qunar.com/p-oi707933-wuliangyejiushibowuguan,"

地址:
宜宾市翠屏区岷江西路150号


电话:
0831-3565321,0831-3566777

",五粮液酒史博物馆在四川省宜宾市翠屏区岷江西路150号，是五粮液集团有限公司自建的博物馆，占地为2060平方米。,8:00-18:00,https://img1.qunarzz.com/travel/poi/1409/04/68a2b888d356905effffffffc8d65eac.jpg_480x360x95_5b2e4219.jpg,4.5,建议游览时间：2小时 - 3小时,全年都可参观。,具体收费情况以现场公示为主,,2
真武山古建筑群Zhenwu Mountain Ancient Buildings,http://travel.qunar.com/p-oi713508-zhenwushangujianzhuqun,"

地址:
西北的真武山上

",真武山古建筑群位于四川省宜宾市，始建于明万历年间，是以道教宫观为主，集道、释、儒三教文化为一体的大型建筑群。建筑群依山而建，错落有致，殿宇雄伟。,8:00-17:30,https://img1.qunarzz.com/travel/poi/1409/04/f24e884e4ac99510ffffffffc8d65eac.jpg_480x360x95_865c9768.jpg,4.5,建议游览时间：1小时 - 2小时,春、秋两季。宜宾春秋两季，气温舒适，最适合旅行。,具体收费情况以现场公示为主,,2
赵一曼纪念馆Zhaoyiman Memorial Hall,http://travel.qunar.com/p-oi709425-zhaoyimanjinianguan,,,,,,,,,,2
佛来山Fulai Mountain,http://travel.qunar.com/p-oi711569-folaishan,"

地址:
宜宾长宁县开佛乡境内


电话:
0831-4625282

",佛来山，古称“小峨眉”，又名“飞来山”，耸立在宜宾长宁县开佛乡境内，距蜀南竹海景区27公里，由80多个小山组成，自古即是川南著名的佛教圣地。“春赏如雪之花、夏尝似蜜之果，秋瞻古佛老林，冬品玉树琼枝”。这四句话，高度概括了佛来山的景观。佛来山主要有石燕子风景区、“佛临三潭”景区、水口景区、佛顶风景区等四大景区组成。佛来山主要看点有三：其一：阳春白雪。山上有三万多棵上百年的梨树，每年春季梨花盛开，漫山遍野一片雪白的花朵，如同下了一场春雪。其二：佛临三潭。在关口处有三座深潭，称为佛临深潭。三潭各有不同作用。第一口潭为洗尘潭，第二口潭为映佛潭，第三口潭为净心潭。其三：佛顶佛光。山顶北面是悬崖峭壁，有撑腰岩、象鼻嘴等景点，极为险峻。相传六月雨霁，山壁中则会呈现佛光，非常神奇。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1409/04/bddab9ac4a079825ffffffffc8d65eac.jpg_480x360x95_152bb7f4.jpg,4.7,建议游览时间：1小时,四季皆宜,具体收费情况以现场公示为主,,2
仙寓硐,http://travel.qunar.com/p-oi713321-xianyudong,"

地址:
仙寓硐洞位于长宁、江宁两县交界的擦耳岩

",仙寓硐洞位于长宁、江宁两县交界的擦耳岩，是蜀南竹海中一处比较重要的景点。这一带山势回环，丹崖如削。去仙寓洞要从构筑在悬崖边的小径上去，上行百余米即达洞口，洞高15米，进深约10米，内有石刻佛像和道教神像40余尊。这里是观赏竹海的好地方，站在洞口眺望，只见崇山峻岭竹波荡漾，竹海的奇特风光尽收眼底。离仙寓硐不远有一天宝洞，前不久这里修整了一条长达1500米的古栈道。这条栈道开凿在悬崖峭壁上，沿着栈道行走，真有腾空走壁之感。,9:00 - 17:00,https://img1.qunarzz.com/travel/d6/1506/47/7a8284c69c5c89.jpg_480x360x95_0242e19a.jpg,5.0,,,成人：80元 儿童：50元,,2
梅硐西部石林,http://travel.qunar.com/p-oi704661-meidongxibushilin,"

地址:
四川省宜宾市长宁县

",梅硐西部竹石林景区，这里是蜀南竹海的续景区，是国家AA级风景旅游区。站在高高的老鹳嘴，极目眺望，但见群山环抱、怪石林立，苍翠欲滴的竹木穿插其间，错落有致。进入景区，我们仿佛走进远古时代，那黝黑古朴的石头散布在120平方公里的土地上，其记载着5.3亿年历史的年轮清晰可辨。这些顽石有的如利剑刺空，有的如一柱擎天，有的如古塔群立，有的如灵芝菌集，有的如高墙壁立，异常壮观和奇特。是大自然的精雕细琢，才使这些千姿百态的奇石或雄踞或独傲，或立或卧，或倚或仰，让人领略...梅硐西部竹石林景区，这里是蜀南竹海的续景区，是国家AA级风景旅游区。站在高高的老鹳嘴，极目眺望，但见群山环抱、怪石林立，苍翠欲滴的竹木穿插其间，错落有致。进入景区，我们仿佛走进远古时代，那黝黑古朴的石头散布在120平方公里的土地上，其记载着5.3亿年历史的年轮清晰可辨。这些顽石有的如利剑刺空，有的如一柱擎天，有的如古塔群立，有的如灵芝菌集，有的如高墙壁立，异常壮观和奇特。是大自然的精雕细琢，才使这些千姿百态的奇石或雄踞或独傲，或立或卧，或倚或仰，让人领略它们的肃穆与坚毅。,8:00-20:00,https://img1.qunarzz.com/travel/poi/1409/04/3e042d2b83c5fb4ffffffffc8d65eac.jpg_480x360x95_91b9abce.jpg,--,建议游览时间：4小时,四季皆宜,30元,,2
