名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
清江画廊Qingjiang River Gallery,http://travel.qunar.com/p-oi712361-qingjianghualang,"

地址:
湖北省宜昌市长阳土家族自治县土家风情街


电话:
0717-5335806,0717-5319721


官网:
http://www.qjhlw.com/

",清江画廊位于湖北省宜昌市长阳县境内，是巴人故里、土家族摇篮、长阳人故乡。素有“八百里清江美如画，三百里画廊在长阳”独特美誉，清江画廊因此而得名。游览清江画廊景区，有A、B两条游览线路，A线：船游倒影峡景区（船观骆驼饮水峰、孔雀开屏山、清江大佛等景点）、沿途观隔河岩大坝、北纬30°岛、将军山、平洛湖风光、登土家族发祥地—武落钟离山景区游览（往返时长约4-5小时）；B线：船游倒影峡景区（船观骆驼饮水峰、孔雀开屏山、清江大佛等景点）、沿途观隔河岩大坝、北纬30°岛、登仙人寨景区游览（往返时长约2小时）。,全年 08:30-16:00,https://img1.qunarzz.com/travel/d3/1605/1a/d6c404fb6c47d3f7.jpg_480x360x95_e5da4173.jpg,4.5,建议游览时间：2小时 - 5小时,四季均可，春秋最佳。,"{'清江画廊B线+游船票成人票\n\n': ['¥135起'], '清江画廊B线+游船票优待票\n\n': ['¥90起'], '清江画廊A线+游船票成人票\n\n': ['¥135.6起']}",江面注意事项：江面温度较低，游客在游览时可多带件外衣。餐饮信息：武落钟离山中有小食店，可为参加A线的游客提供餐饮。参加B线的游客最好自带零食和饮用水。,1
三峡人家Tribe of the Three Gorges,http://travel.qunar.com/p-oi713608-sanxiarenjia,"

地址:
宜昌市夷陵区三斗坪镇石牌村


电话:
0717-8850588,0717-7855592


官网:
http://www.sanxiarenjia.com/

",三峡人家风景区位于长江三峡中奇幻壮丽的西陵峡境内，由山上人家、水上人家、溪边人家三个区域组成。在这里，你可以通过船游与步行相结合的方式，全方位、多角度领略三峡原生态的自然风光。景区每天有丰富多彩的民俗表演，有机会亲身参与其中，深刻感受古老而神秘的巴楚文化。从宜昌市区出发，可以通过公交车或者游船到达景区，全程约1-2小时。景区的游览区位于长江的南岸，游客必须在北岸“游客服务中心”旁的“胡金滩码头”坐渡船到南岸，所以景区门票是和往返渡船票捆绑销售的。景区可以分为山上人家（靠近索道站码头）、水上人家、溪边人家（靠近龙进溪码头）三个区域，其中水上人家和溪边人家是连在一起的，都在长江边，步行游览即可。而山上人家的各个景点都分布在江边的山上，游玩时可以步行爬山，也可以做索道上、下山。游客可以根据自己的喜好选择游玩的顺序，游玩的顺序不同，在北岸乘坐渡船时选择的线路也有所不同。整个景区绿树葱葱，溪水潺潺，犹如进入了一个大氧吧。在山上人家区域，游客可以观赏到当地特色民居“吊脚楼”，并在楼内的各个居室了解到本地先民的生活场景。而在山中的人造景点“巴王宫”内，可以欣赏到具有古巴人风情的仿古表演。此外，矗立在悬崖绝壁之巅的“灯影石”，也是拍照留影的好地方。下山后，沿着长江往下游方向走去，不远处就是水上人家和溪边人家。在水上人家区域内有“船工号子”的表演，号子既有雄壮激越的音调，又有悦耳抒情的旋律，听着这些古老的曲调，仿佛看到了昔日船工们在长江中穿激流、过险滩的艰辛生活。水上人家附近就是长江和龙进溪的交汇处，溪上人家就在这里。这里依山傍水，一半着陆，一半入水，青山绿水之间，景色如画。在这里能看到溪边洗衣服的幺妹子和在溪流中荡舟的本地姑娘，清新美丽。溪水边的山坡上分布着很多的阁楼，楼内展示了当地溪上人家的日常生活，还有精彩的抛绣球、抢亲、入洞房和纤夫拉纤的表演，不少演出还会邀请游客亲自参与，比如扮演新郎等。,3/1-10/31 08:00-17:30;11/1-2/28 08:30-17:00,https://img1.qunarzz.com/travel/d9/1606/33/1babe5d2c7d423f7.jpg_480x360x95_698de8da.jpg,4.5,建议游览时间：12小时 - 3天,1) 3、4、5月气温回暖，踏青出游三峡看绿意生机；2) 6、7、8、9月夏季凉爽，三峡旅游看秀美河山；3) 10、11、12月份红叶红了，观三峡红叶漫山遍野。4) 最不适合旅游季节：冬天。一是许多游轮进入了为期两个月左右的停航期，一般是每年12月底就停航，于次年3月初使航，春节期间一般会再开一些航次。二是冬天比较阴冷，江风大，甲板上和岸上比较冷。,"{'三峡人家门票+西陵峡观光游船票成人票\n\n': ['¥192.5起'], '三峡人家门票+西陵峡观光游船票优待票\n\n': ['¥175起'], '三峡人家+往返交通票成人票\n\n': ['¥185起']}",1.在民俗表演中有时新娘新郎会给游客们敬酒，酒是当地的包谷酒，如若人不能饮酒，请委婉的拒绝。2.避免在重大节假日前往景区游览，此时游客数量会猛增，乘坐渡船和索道都需要长时间排队。1.2019年4月23日起，实行实名制入园，游客需凭本人第二代身份证进行人脸识别比对后才能入园参观。2.盛夏时节，在景区内太阳直射后的温度非常高，如果此时前往景区游览，需要防晒、防中暑。及时补充水分很重要。3.一般在雨季和汛期，泄洪的次数会多些。,1
三峡大坝旅游区Three Gorges Dam Tourist Area,http://travel.qunar.com/p-oi714842-sanxiadabalu:youqu,"

地址:
宜昌市夷陵区三斗坪镇江峡大道


电话:
0717-6763498,19171381190

","三峡大坝旅游区，占15.28平方公里，目前对游客开放的有三个观景点：坛子岭、185平台、截流纪念园。
 登上5A级旅游景区坛子岭观景点你能鸟瞰三峡工程全貌，体会诗句“截断巫山云雨，高峡出平湖”的豪迈情怀站在185平台上向下俯看，感受中华民族的伟大与自豪走进近坝观景点，你能零距离感受雄伟壮丽的大坝;登上坝顶你能直面雷霆万钧的泄洪景观;来到截流纪念园欣赏人与自然的完美结合，仿佛置身于“山水相连，天人合”的人间美景。长江三峡，地灵人杰。这里是中国古文化的发源地之在历史的长河中闪耀着奇光异彩;这里，孕育了中国伟大诗人屈原和千古名女王昭君;青山碧水，曾留下李白、白居易、刘禹锡、范成大、欧阳修、苏轼、陆游等诗圣文豪的足迹，留下了许多千古传颂的诗章;大峡深谷，曾是三国古战场，是无数英雄豪杰驰骋用武之地;这里还有许多名胜古迹，白帝城、黄陵庙、南津关….它们同这里的山水风光交相辉映，名扬四海。
三峡大坝旅游区一一三大景点介绍:
  
1、
坛子岭景点:于1997年正式开始接待中外游人，因其顶端观景台形似一个倒扣的坛子而得名，该景区所在地为大坝建设勘测点，海拔262.48米，是观赏三峡工程全景的位置，不仅仅能欣赏到三峡大坝的雄浑壮伟，还能观看壁立干仞的“长江第四峡”双向五级船闸。整个园区以高度的递增从上至下分为三层，主要由模型展示厅、万年江底石、大江截流石、三峡坝址基石、银版天书及坛子岭观景台等景观，还有壮观的喷泉、秀美的瀑布、蜿蜒的溪水翠绿的草坪贯穿其间，放眼望去，静中有动，动中有静仿佛置身于美妙的乐园。2、185观景点:185观景点位于三峡大坝坝顶公路的左岸端口处，因与三峡坝顶齐高，同为海拔185米而得名。站在平台上向下俯看，就如同身临坝顶，可以近距离感受大坝雄姿，同时领略高峡出平湖的壮丽景观。3、截流纪念园:这里曾是“心连心”艺术团演出过的地方。如今，在规划者的精心打造下，曾经荒芜一片的地方已经焕然一新，成为了截流纪念园的观景门户。背倚青山，面朝大坝，在领略三峡自然风光的同时，还可以享受到巍巍大坝的雄伟壮阔，及大坝泄洪时的荡气回肠。





",全年 08:30-16:30,https://img1.qunarzz.com/travel/d3/1509/ab/1cacc499f7d63f.jpg_480x360x95_38bac09c.jpg,4.6,建议游览时间：12小时 - 3天,"三峡地区属亚热带季游三峡最佳季节,每年4、5月或9、10月期间,都是畅游三峡的好季节,因为这两段时间中,该处气候适中,游人不必受炎夏煎熬,也不用携带大量寒衣,以防止寒风吹袭,沿岸的山色亦较青葱.豪华游船一般以4月1日—5月31日、9月1日-10月31日为旺季时间. 如果您想看到别样的风景,可以选择每年11月20日至12月10日游玩三峡.农历小雪前后,北方及高山地区早已是银妆素裹,而长江三峡此时正值金秋时节。","{'两坝一峡游船（长江三峡系列）票+三峡大坝旅游区门票成人票\n\n': ['¥188起'], '两坝一峡游船（长江三峡系列）票+三峡大坝旅游区门票儿童票\n\n': ['¥59起'], '两坝一峡游船（长江三峡系列）票+三峡大坝旅游区门票优待票\n\n': ['¥147起']}",,1
三峡大瀑布Three Gorges Waterfall,http://travel.qunar.com/p-oi707978-sanxiadapubu,"

地址:
宜昌市夷陵区黄花乡黄花场村


电话:
0717-6452417


官网:
http://www.sxdpb.cn/

",三峡大瀑布景区，位于宜昌市夷陵区黄花乡境内，是展示震旦纪、奥陶纪、寒武纪等多个地质年代的天然地质博物馆，以山清水秀、洞奇瀑美著称。景区内空气清新，是天然的大氧吧，即使在夏季这里也是凉爽宜人。 三峡大瀑布溪流全长5公里，沿途分布着30多道瀑布。游客沿着景区内的游客步道，逆水而上，虎口瀑、一线瀑、珍珠瀑、丫瀑、连环瀑、五扇瀑等形态各异的瀑布接踵而来。三峡大瀑布还是桥的博物馆，共有21座桥，这些横跨峡谷的桥梁设计精巧，造型别致，与景区的灵山秀水融为一体，构成了秀美的山峡溪瀑风光。,全年 09:30-14:30,https://img1.qunarzz.com/travel/d4/1707/da/f3c13206882354b5.jpg_480x360x95_406a27ad.jpg,4.7,建议游览时间：2小时 - 3小时,三峡大瀑布瀑布群的景观四季不同，若要欣赏大瀑布的雄伟壮观，六至八月观瀑无疑是最佳选择。在阳光充沛的六七八月份，最容易看到彩虹与瀑布交织的“飞瀑彩虹”美景。,"{'三峡大瀑布门票成人票\n\n': ['¥104起'], '宜昌三峡大瀑布门票儿童票\n\n': ['¥50起'], '三峡大瀑布门票优待票\n\n': ['¥50起']}",夏季游玩一定要注意防晒。,1
西陵峡风景区Xilingxia Scenic Area,http://travel.qunar.com/p-oi722924-xilingxiafengjingqu,"

地址:
宜昌市西陵区南津关村


电话:
0717-8661722,0717-8862161


官网:
http://www.xilingxia.cn/

",西陵峡风景区位于宜昌市西郊，长江三峡中保存着原始风貌的一段，东起葛洲坝，西至三峡大坝，素有“三峡门户”、“川鄂咽喉”之美称，是楚文化的发祥地之一。风景区包括快乐谷、三游洞、世外桃源等景区。欧阳修曾赞这里是“此地江山连蜀楚，天钟神秀在西陵”。这里无峰不雄，无滩不险，无洞不奇，无壑不幽，无瀑不秀，无一处不可以成诗，无一处不可以入画。,8:30-17:00；西陵峡快乐谷开放时间：8:00-16:30。,https://img1.qunarzz.com/travel/poi/201408/14/9dd36d43e2389646c8d65eac.jpg_480x360x95_c79bce7f.jpg,4.4,建议游览时间：12小时 - 3天,西陵峡最适合游玩的季节是春，夏，秋季节，冬季较为寒冷。,"{'宜昌西陵峡风景区三游洞门票成人票\n\n': ['¥60起'], '西陵峡世外桃源门票优待票\n\n': ['¥18起'], '西陵峡世外桃源门票成人票\n\n': ['¥50起']}",,1
龙泉古镇Longquan Ancient Town,http://travel.qunar.com/p-oi27572132-longquanguzhen,"

地址:
宜昌市夷陵区X204(临河大道)

",龙泉铺古镇于2016年5月1日开街，是稻花香集团重点打造的文化旅游核心项目，是夷陵区发展全域旅游的重要组成部分。古镇位于龙泉镇土宋路和小鸭路交汇处，占地120亩，全长1.2公里，临水而建，由38栋仿古建筑群组成，按照国家4A级旅游景区标准规划建设、古镇以“铺”文化为主题，空间布局为“三街、九坊、八十一铺”，一街一特色，一铺一体验，是集商业、餐饮、住宿、娱乐、休闲为一体的体验式旅游度假胜地，是到了宜昌不得不来的“三峡不夜城”。,全年 全天开放,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20194/4516361e20292e9a7627f67a1450c048.jpg_480x360x95_fe0bebfd.jpg,2.0,建议游览时间：12小时 - 3天,,无大门票，但古镇中展览等项目需另收门票，具体以实际为准,,1
长江三峡Three Gorges,http://travel.qunar.com/p-oi9204307-zhangjiangsanxia,,,,,,,,,,1
坛子岭Tanziling Scenic Area,http://travel.qunar.com/p-oi708694-tanziling,"

地址:
宜昌市夷陵区三斗坪镇三峡大坝景区内


电话:
0717 695 6339

",坛子岭，是三峡坝景区较早开放的区域，因为其山体形状酷似倒扣的泡菜坛子而得名，该区域所在地为大坝建设的勘测点，海拔262.48米，是三峡工地的制高点，因此这里也是观赏三峡大坝全景色的好位置。坛子岭修建了上下行双向自动扶梯，可乘扶梯直达坛子岭观景台。站在坛子岭观景台眺望，三峡大坝就在眼底展现，白色的坝身横截在长江之上，安静祥和，每到汛期开闸泄洪时，则呈现出万马奔腾之势。还可以在一边的双向五级船闸内，看到一艘艘船停在闸内等待过船闸。在坛子岭向远方望去，隐约间能看到西陵峡黄牛岩的秀丽风光和秭归新县城。坛子岭整个景区里还包括有浮雕群、钢铁大书、亿年江石模型室和绿化带等。,8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/92691f1cd3f932512b977d0725f360ab.jpeg_480x360x95_15baa604.jpeg,4.4,建议游览时间：1小时,四季均可,"{'两坝一峡（长江三峡系列）+三峡大坝门票成人票\n\n': ['¥188起'], '两坝一峡（长江三峡系列）+三峡大坝门票老人票\n\n': ['¥150起'], '【赠午餐】宜昌两坝一峡豪华游船+三峡大坝1日游 过葛洲坝船闸 游西陵峡 0购物\n\n': ['¥148起']}",,1
昭君村Zhaojuncun,http://travel.qunar.com/p-oi704565-zhaojuncun,"

地址:
宜昌市兴山县昭君镇昭君村景区


电话:
0717-2910088

",昭君村位于香溪河畔，原名宝坪村，因西汉时有“沉鱼落雁”之美的王昭君生长于此，得名昭君村。村中有粉黛林、佳丽岛、浣纱处、彩石滩等20余处胜迹，昭君纪念馆收藏陈列着昭君村出土的汉唐文物，昭君书院内珍藏着各个版本的古典书籍，记载着几千年来人们对昭君的评价。村内王家崖云雾缭绕，香溪河九曲八弯，娘娘泉古朴典雅，梳妆台花荫满地，昭君像亭亭玉立，抚琴台琴韵悦耳。,8:00-17:30,https://img1.qunarzz.com/travel/poi/201408/14/53ab9e6d4d9455c9c8d65eac.jpg_480x360x95_538bc62c.jpg,4.5,建议游览时间：2小时 - 3小时,四季均可。,"{'宜昌昭君村门票成人票\n\n': ['¥49起'], '宜昌昭君村门票优待票\n\n': ['¥28起'], '宜昌昭君村门票双人票\n\n': ['¥96起']}",,1
屈原祠Quyuan Temple,http://travel.qunar.com/p-oi722386-quyuanci,"

地址:
湖北省宜昌秭归县屈原祠

",屈原祠坐落在秭归县东1.5 公里长江北岸的向家坪，又称为清烈公祠，占地面积近30亩，为了纪念屈原而建。屈原祠初建在唐元和十五年（820年）。1978年建葛洲坝水利枢时，将它迁向家坪，且按原貌重建。屈原祠以屈原文化为统领，是三峡库区能够把物质文化遗产和非物质文化遗产保护利用充分结合起来的重点区域。2006年被国务院公布为第六批“全国重点文物保护单位”。,全年 8:00-16:30,https://img1.qunarzz.com/travel/poi/201408/14/4365c1139537946fc8d65eac.jpg_480x360x95_cff72c5e.jpg,4.4,建议游览时间：3小时,四季均可，春夏最佳。,15元,,1
