名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
宜春明月山旅游区Mingyue Mountain,http://travel.qunar.com/p-oi713100-yichunmingyueshanlu:you,,,,,,,,,,1
三爪仑国家森林公园Sanzhualun National Forest Park,http://travel.qunar.com/p-oi704125-sanzhualunguojiasenlin,"

地址:
江西省靖安县境内九岭山脉东麓


电话:
0795 465 1548


官网:
http://www.sanzhualun.com.cn/

",景区总面积193平方公里，由北河、宝峰寺、盘龙湖、骆家坪、虎啸峡、观音岩、白水洞、金罗湾等八大景区和况钟园林、雷家古村两个独立景点组成。景区森林覆盖率95.7%，生态环境一流，有“绿色宝库”之称；负氧离子含量高达10万个/cm³以上，空气清新，全国罕见，对人体健康大有裨益，又有“天然氧吧”之称。有国家景点93处，其中一级景点10处，二级景点36处，三级景点47处；1500米以上山峰13座，1000米以上的山峰100余座，高峰九岭尖为1794米；国家一级保护动物有云豹、金钱豹、白颈长尾...景区总面积193平方公里，由北河、宝峰寺、盘龙湖、骆家坪、虎啸峡、观音岩、白水洞、金罗湾等八大景区和况钟园林、雷家古村两个独立景点组成。景区森林覆盖率95.7%，生态环境一流，有“绿色宝库”之称；负氧离子含量高达10万个/cm³以上，空气清新，全国罕见，对人体健康大有裨益，又有“天然氧吧”之称。有国家景点93处，其中一级景点10处，二级景点36处，三级景点47处；1500米以上山峰13座，1000米以上的山峰100余座，高峰九岭尖为1794米；国家一级保护动物有云豹、金钱豹、白颈长尾雉3种，二级保护动物28种，维管束植物1805种。景区内层峦叠嶂、林海茫茫、古木参天、怪石密布、清潭飞瀑、湖光山色十分迷人。唐宋八大家之一的曾巩赞誉为“虽为千家县，正在清华间”。三爪仑自然风景不仅以山水取胜，而且有许多历史悠久的文化古迹。唐代佛教禅宗马祖道一的圆寂地宝峰古寺和马祖塔亭，明代清官况钟的墓地，唐代诗人刘胜虚和清代女词人舒白香的寓所以及清代古戏台，苏维埃政府旧址等上百处古遗址、古建筑、革命文物、人文景观使人如入历史大观园，留连忘返。,全天开放，内部各景点开放时间不一，疫情期间部分景点暂未开放，详情请见景区内公示,https://img1.qunarzz.com/piao/fusion/1610/5c/ed64df6e5688b902.jpg_480x360x95_2b67e000.jpg,4.5,建议游览时间：3天 - 6天,,"{'三爪仑虎啸峡门票成人票\n\n': ['¥18起'], '三爪仑白水洞门票成人票\n\n': ['¥59起'], '三爪仑观音岩门票成人票\n\n': ['¥58起']}",,1
天柱峰,http://travel.qunar.com/p-oi7645583-tianzhufeng,"

地址:
宜春市铜鼓县赣西北九岭山脉西麓大镇境内

",铜鼓县天柱峰景区地处赣西北九岭山脉西麓大镇境内，是天柱峰国家森林公园的核心景区，绵延12公里的水上丹霞地貌，以“峰险、水秀、石异”特色而闻名。景区内标志性景观———天柱峰，有“修河第一峰”之美誉，是铜鼓县天柱峰国家森林公园的象征。自2009年初开始，铜鼓县把创建天柱峰AAA级景区作为全县重点工程之一，景区内硬件设施和软件管理都有了大的提高。该景区现已被正式授予国家AAA级旅游区称号。,7:00-17:00,https://img1.qunarzz.com/travel/d9/1506/47/9c1db57c6c4dbf.jpg_480x360x95_bb1589b7.jpg,5.0,,,"免费政策：
 儿童身高1.3米以下免费。",70周岁以上老年人凭身份证，军人、警察、记者、导游凭有效证件免大门票。,1
明月山天沐温泉度假村Mingyue Mountain Tianmu Hot Spring Resort,http://travel.qunar.com/p-oi705308-mingyueshantianmuwenquan,"

地址:
宜春市袁州区温汤镇江源北路


电话:
0795-3515666,0795-3515777,0795-3588888,0795-3511660

",明月山天沐温泉度假村坐落在风景秀丽的宜春市温泉之乡温汤镇，是一个拥有800多年历史的温汤地热温泉。温泉从地下470米深处花岗岩中涌出，无色无味，具有低矿化度、低纳、富硒、偏硅酸含量高等特点，为国内外罕见的富硒温泉，可饮可浴，被誉为“华夏第一硒泉”。明月山天沐温泉度假村配套设施一应俱全。利用明月山的山泉水在度假村内形成了两个美丽的湖面，171套五星级特色观景客房临湖而建，依山傍水。山景、湖景、庭景三景合一，高贵雅致，客房内都是古汉唐结合现代风格的装潢，显得典雅庄重。所有客房的窗户都是面对外湖及自然山水，舒适写意。明月山天沐温泉露天区共分为十大区域，中草药系列的太极调养八汤、天沐特色池，美容养颜系列的四大美人润肤汤，SPA水疗系列的SPA水疗馆、温泉桑拿、温泉无边泳池，天地五行区，历史文化系列的竹林泡区，明月溪畔区，山水丛林区，动感水上乐园区，以及天体浴区。此外还设置有动感水上休闲运动项目，海浪池、皮筏滑梯、逆流泳池、温泉水底健身等娱乐项目让人乐不思蜀。,"11/8-11/30 14:00-23:00;12/1-12/31 周一-周五,周日 10:30-23:00;12/1-12/31 周六-周日 09:00-23:00",https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/25a9597b3eae72638cf55663e362ce7c.jpg_480x360x95_5f032207.jpg,4.6,建议游览时间：3小时 - 5小时,,"{'明月山天沐温泉度假村山谷温泉门票成人票\n\n': ['¥129起'], '明月山天沐温泉度假村山谷温泉门票儿童票\n\n': ['¥80起'], '明月山天沐温泉度假村山谷温泉门票双人票\n\n': ['¥336起']}",,1
阁皂山,http://travel.qunar.com/p-oi703145-gezaoshan,"

地址:
樟树市东南20公里处的东岸

","阁皂山位于樟树市东南20公里处的东岸，绵亘200余里，因其“形如阁，色如皂”而得名,相传道学家葛玄曾在此修真司道，后云游四海，最终仍回到阁皂山。葛玄曾在骆驼峰峰之侧修建卧云庵，筑坛产灶，炼丹八载，终于炼成“九转金丹”。他服丹“飞升”后，被道教尊为“太极仙翁”。葛玄的“仙迹”使得阁皂山成为一名胜，道学家云集于此。北宋杨中《阁皂山景德观记》云：学道之士五百人。为屋一各五百间，可见当时之盛况。阁皂山知峦越百，仙道遗迹比比皆是。骆驼峰为葛玄得道藏丹处，太极峰...阁皂山位于樟树市东南20公里处的东岸，绵亘200余里，因其“形如阁，色如皂”而得名,相传道学家葛玄曾在此修真司道，后云游四海，最终仍回到阁皂山。葛玄曾在骆驼峰峰之侧修建卧云庵，筑坛产灶，炼丹八载，终于炼成“九转金丹”。他服丹“飞升”后，被道教尊为“太极仙翁”。葛玄的“仙迹”使得阁皂山成为一名胜，道学家云集于此。北宋杨中《阁皂山景德观记》云：学道之士五百人。为屋一各五百间，可见当时之盛况。阁皂山知峦越百，仙道遗迹比比皆是。骆驼峰为葛玄得道藏丹处，太极峰为玉女理鬓处，西坑桂壁峰为张道陵修炼之地，有张天师坛。剑劈石、双鲁门、风门、一天门、丹井等处，无不俊美奇特，加上那美丽的神话传说，更显得神奇无比。凌云峰峡口的悬崖上，飞跨着一座石拱桥名曰鸣水桥。它建于北宋政和元年（一百一十一年），历经了800多年的风雨，桥拱至今完好无损。",全天开放,https://img1.qunarzz.com/piao/fusion/2001/de/e9ccf1a3abd93d02.jpg_480x360x95_98f0a78c.jpg,4.5,,,"{'阁皂山风景名胜区门票成人票\n\n': ['¥19起'], '阁皂山电子导览服务大小同价\n\n': ['¥9起']}",,1
江西省国际体育健身运动中心,http://travel.qunar.com/p-oi722618-jiangxishengguojitiyu,"

地址:
江西省宜春市奉新县

",江西省国际体育健身运动中心，位于江西南方环保机制总公司生产科研基地奉新县境内越山脚下，距省会南昌市80公里，占地面积10平方公里，境内丘陵起伏、森林密布、清澈的潦河贯穿全境，是天然的健身休闲胜地，既有自然风光，又有现代特色。本中心隶属江西省民政厅。经省体委立项准批即：农林考察、体育运动、家庭旅游、团体活动及会议……为您提供食、宿、行、游、娱乐运动等一体的健身、休闲胜地。项目：沙滩汽车、沙滩摩托、骑马、射箭、漂流、踏水车、水上快艇、橡皮艇、情人艇、垂...江西省国际体育健身运动中心，位于江西南方环保机制总公司生产科研基地奉新县境内越山脚下，距省会南昌市80公里，占地面积10平方公里，境内丘陵起伏、森林密布、清澈的潦河贯穿全境，是天然的健身休闲胜地，既有自然风光，又有现代特色。本中心隶属江西省民政厅。经省体委立项准批即：农林考察、体育运动、家庭旅游、团体活动及会议……为您提供食、宿、行、游、娱乐运动等一体的健身、休闲胜地。项目：沙滩汽车、沙滩摩托、骑马、射箭、漂流、踏水车、水上快艇、橡皮艇、情人艇、垂钓、登山、高尔夫球、混水摸鱼等。,全天,,5.0,,,免费,,1
樟树市博物馆Zhangshu Museum,http://travel.qunar.com/p-oi705324-zhangshushibowuguan,"

地址:
宜春市樟树市鹿江南路


电话:
0795-7332754

",位于市区鹿江南路，占地4800平方米，建筑面积2340平方米。该馆以调查、保护、研究、陈列、宣传古代历史文物为主，1960年建成。1981年增建一幢陈列大楼。樟树境内的吴城、筑卫城、樊城堆等新石器时代晚期至春秋战国的文化遗址出土的大批文物陈列在这里，其中不乏稀世珍品。馆内还有历史文物和药史、酒盐史陈列展览，是江西的县级博物馆之一。,"8:30-11:30,14:30-16:00，周一闭馆。",https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/5b45fba5b43466a0e801a7879cdca84c.jpg_480x360x95_120ea81b.jpg,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
宜春松鼠部落,http://travel.qunar.com/p-oi39872221-yichunsongshubuluo,,宜春松鼠部落位于江西省宜春市袁州区西村镇国家现代农业示范园内，紧贴宜春至萍乡的320国道，毗邻著名的富硒温泉名镇——温汤镇。距沪昆高速公路袁州西出口5公里，距国家5A明月山景区和武功山景区20公里。项目占地面积3300亩，森林覆盖率90%，总投资3.4亿元。项目共分两期，一期松鼠部落景区（即将营业），包含了研学科普基地、星空露营基地、沿湖别墅区、无边际泳池、萌宠乐园、森林亲子游乐区、果蔬基地以及游客中心、餐饮、洗手间、后勤服务等设施。二期项目亲子水上乐园（筹备阶段），包含水上乐园服务中心、儿童水寨、水上拓展、湿蹦球、大型水寨等。,,,0.0,,,,,1
宜春山道真冰馆,http://travel.qunar.com/p-oi39772071-yichunshandaozhenbing,, 滑冰是小朋友喜欢的项目之一，也是一项集运动与舞蹈一体的有氧运，当置身于真冰场时，让你尽情感受脚踩冰刀，在冰面上滑翔的快感，你来我往，旋转滑圈，即能够强身健体，锻炼平衡，又可以激发小朋友，坚强意志力，促进小脑发育玩耍、提升两不误！山道健身游泳真冰馆集室内标准真冰场、室内恒温游泳馆、室内健身房于一体，占地面积8000平方米，该综合体由上市公司公司知行健身投资5000多万打造，经营项目包含滑冰、游泳、健身、舞蹈、全息投影动感单车等诸多运动项目，为孩子们营造快乐家园！,,,0.0,,,,,1
欧源小镇,http://travel.qunar.com/p-oi39577575-ouyuanxiaozhen,,,,,0.0,,,,,1
