名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
法门寺文化景区Famen Temple,http://travel.qunar.com/p-oi711072-famensiwenhuajingqu,"

地址:
陕西省宝鸡市扶风县法门镇宝塔路法门寺文化景区内


电话:
0917-5254002,0917-5256955,0917-5254154,0917-5258888


官网:
http://www.famensi.com/

",法门寺，位于宝鸡市扶风县以北约10公里的法门镇，始建于东汉末年。这座唐代的“皇家寺庙”，因安置了佛教界至高物——佛祖释迦牟尼的“指骨舍利”，而成为举国仰望的佛教圣地。如今的法门寺分为两部分：唐代风格的旧址建筑群(法门寺院和珍宝馆)与令人争议的新建文化景区。看遍法门寺的全部珍宝作为游客，如果想看遍法门寺的全部珍宝，那么旧址的法门寺院内的地宫、珍宝馆以及文化景区内的合十舍利塔等这三个地方都要走一遍，因为三枚“影骨”(用玉石按照真骨的形状和大小而特制的，起到保护真骨的目的)存放在地宫中；出土的唐王朝皇室供佛的珍宝，在珍宝馆内展出；珍贵的“佛指(真身)舍利”，则被安放在文化景区东侧的合十舍利塔内。如果你是从文化景区西侧的山门广场进入景区，那么呈现在你眼前是长约1公里的佛光大道，大道两旁站立着十尊闪耀着金光的巨大菩萨雕像，大道东侧的尽头就是合十舍利塔，大道上有观光车可以乘坐。佛祖指骨舍利，只在农历每月的初一和十五、周末和重大节假日才对外放开放。文化景区的西南边就是法门寺院和珍宝馆。寺院内的真身宝塔下，就是发现“佛指舍利”的地宫，如今在地宫中可以近距离观赏三枚“影骨”。从地宫出来，你还可以在清净的寺院中随意逛逛，寺院中有钟鼓楼，大雄宝殿和放生池等，都是典型的唐代风格建筑。珍宝馆内安放着百件珍宝在旁边的珍宝馆(也称博物馆)内，展出了地宫出土的文物精品。你能够观赏到唐皇室供佛的上百件珍宝，件件都让人为之惊叹。其中有：安放舍利的八重宝函、十二环锡杖、纯金塔、汉白玉灵帐、秘色瓷、皇帝使用的茶具等等。这些珍宝有的是用纯金打造，有些珍宝的制作工艺已经失传，体现了当时唐帝国的极度富有和皇室礼佛的一片诚心。,01/01-12/31 08:30-17:30,https://img1.qunarzz.com/travel/d4/1603/29/2c144e9cc5d508f7.jpg_480x360x95_b833fed2.jpg,4.6,建议游览时间：2小时 - 4小时,选择春、秋季节正是出游宝鸡的好时机。在4月底，宝鸡会举行法门寺国际文化旅游节以及太白山旅游登山节。这两大旅游节庆，十分热闹，参与人数众多，而且在这段时间内，宝鸡各地的庙会比较多，也是了解关中文化的不错时候。,"{'法门寺门票成人票\n\n': ['¥98起'], '法门寺门票+乾陵门票成人票\n\n': ['¥148起'], '法门寺人工讲解服务大小同价\n\n': ['¥180起']}",法门寺游览提醒1.去法门寺旧址的路上会有人兜售香烛，如果搭话的话，会一直纠缠不放，最好不要理睬；2.下车后会有人推销18元的“法门寺东方佛都”门票，不要购买，这只是个私人开放的小景点；3.入口处会有人搭话说带你从后门翻进去，只要60元，不要相信，因为进舍利塔地宫要检票；4.游览法门寺切记从法门寺旧址进旧址出，因为班车车站都设在旧址附近。5.释迦摩尼真身指骨舍利供奉时间：周六、周日、每月初一、十五、国家法定节假日（如遇法定节假日当周周末舍利供奉时间会调整）早10:00-16:00。6.请所有出游人务必携带身份证（一人一证）。7.游客注意：法门寺景区的东停车场、西停车场、舍利塔西门停车场以及佛光大道、慈惠路5处机动车停放场点对外开放，停放车辆需按指路标牌和路边交警指挥进入，景区路面禁止机动车辆乱停乱放。交警将对违反规定通行的车辆和驾驶人予以处罚。对乱停乱放以及在高速公路、法汤公路占用应急车道的，将坚决予以拖移和从严处罚，确保瞻拜活动期间法门寺旅游景区及周边道路交通畅通。      ,1
秦岭Qinling Mountains,http://travel.qunar.com/p-oi708621-qinling,"

地址:
宝鸡市太白县


电话:
400-639-1615

",秦岭（英文名Tsinling Mountains，亦作Chin Ling或Qin Ling）。横贯中国中部的东西走向山脉。西起甘肃南部，经陕西南部到河南西部，位于陕西省南部与四川省北部交界处，呈东西走向，长约1500公里。为黄河支流渭河与长江支流嘉陵江、汉水的分水岭。秦岭—淮河是中国地理上重要的南北分界线。秦岭横亘于中国中部，东西绵延1500千米，南北宽达100至150千米，海拔多为1500至2500米。秦岭为黄河水系与长江水系的重要分水岭，北侧是肥沃的关中平原，南侧是狭窄的汉水谷地。是褶皱（主要）断块山。秦岭主峰太白山海拔3767米，为中国东部超过3000米的少数山峰之一。山顶气候寒冷，经常白雪皑皑，天气晴朗时在百里之外也可望见银色山峰。山顶有古冰川遗迹。秦岭北邻渭河平原，其间有大断裂，为北仰南倾的断块构造。主脊偏居北侧，北坡陡而短，南坡缓而长。水系也不对称。山间多横谷，为南北交通孔道。宝成铁路沿嘉陵江河谷穿过山地。秦岭山地对气流运行有明显阻滞作用。夏季使湿润的海洋气流不易深入西北，使北方气候干燥；冬季阻滞寒潮南侵，使汉中盆地、四川盆地少受冷空气侵袭。秦岭以南河流不冻，植被以常绿阔叶林为主，土壤多酸性。秦岭以北为黄土高原，1月平均气温在0℃以下，河流冻结，植物以落叶阔叶树为主，土壤富钙质。秦岭山地、白龙江流域尚保存连片森林，并有珍贵动物和植物。佛坪为大熊猫产地之一。商洛地区的核桃、岷县的当归等均以高产著称。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1505/1c/56664a4d2d7b0e.jpg_480x360x95_803342f3.jpg,4.6,建议游览时间：12小时,春、夏、秋季最佳，此时的气候、景观都适合登山避暑。,具体收费情况以现场公示为主,,1
关山草原Guanshan Grasslands,http://travel.qunar.com/p-oi707951-guanshancaoyuan,"

地址:
宝鸡市陇县关山店子村


电话:
0917-4658885,0917-4589819


官网:
http://www.gscyjq.com/

",关山草原位于陕西省陇县境内，享有“小天山”之美誉。这里的地貌与中欧阿尔卑斯山相似，气候受垂直地带性地理条件的影响，冬春无界，夏秋相连，有“关山六月寒凝霜”的写照。关山草原内荟萃了森林、草原、河流、山峦、峡谷等自然景观，纯朴自然又不失壮观，幽涧水泽兼具，草原森林相间，地势广阔，水肥草美，是天然的牧场。这里曾经是所谓的陇右关山，是当年卫青、霍去病北击匈奴的出关途径。白天在景区可以观赏辽阔壮丽的自然风景，体验骑马、射箭、滑草等娱乐项目，晚上还能住在蒙古包内，体验一晚特色住宿，品尝关山草原烤全羊及其它美味小吃，感受草原人的生活。,全年 08:00-18:00,https://img1.qunarzz.com/travel/d5/1409/22/dcf2e242e8ff2030ffffffffc8d65eac.jpg_480x360x95_51c3be88.jpg,4.4,建议游览时间：3小时 - 6小时,夏秋两季。,{'关山草原（关山牧场）门票成人票\n\n': ['¥55起']},1.由于关山草原地理位置的特殊性，天气多变，且活动均为户外进行，大家前来游玩、参加活动时请备好雨具及防寒衣物。2.从关山草原游客中心到核心景区路程较远，建议购买景区内摆渡车票60元/张(往返)；3.在关山草原，骑马需35元/小时，滑草是40元。4.如果选择在陇县转车，会有人跟你说把你带到关山，可以减免门票，不要相信，关山草原的管理还是很严格的。   ,1
太白山国家森林公园Taibai Mountain National Forest Park,http://travel.qunar.com/p-oi703475-taibaishanguojiasenlin,"

地址:
陕西省宝鸡市眉县汤峪镇中心大道与迎宾大道交叉口


电话:
400-639-1615


官网:
http://www.tbpark.com/

",太白山国家森林公园位于陕西省眉县境内，地处秦岭主峰太白山北麓。园内的太白山是秦岭山脉的主峰，海拔约3767米，山势雄峻，气魄雄伟。景区自然风光秀美，盛夏时节山顶也终年积雪，从关中平原远眺白雪皑皑，“太白积雪六月天”自古为关中八景之一。公园以森林景观为主体，苍山奇峰、清溪碧潭、文物古迹点缀其间，层层山峰高耸入云，是陕西有名的旅游胜地。由于景区内地势复杂，深处更适合喜欢原生态旅游的游客或者一些户外徒步的爱好者们。翻越太白山有很多条线路，登山路分北坡、南坡，既有索道线路，也有徒步线路。游客登山游玩，需按照已开发的登山路线行进，特别是徒步的游客，不可贸然离开主路线去探险。这样一是防止在山中迷路失踪；二是保护区内有不少野生动物，包括大型野兽，游客若进入深山可能会遇到危险。较为常规的一条是徒步登顶路线，需要约两天的时间，中间可在小文公庙停留一晚。一日游太白山的行程，大多都在“天圆地方”返回，这里海拔3511米，当地人称这里“3511”，也是中国地理的南北分界点之一。而真正登顶的路程从这里才开始。每年农历的七月一日是太白山庙会，每逢此时，山上山下游人不绝，热闹非凡。,3/1-11/30 08:00-18:00;12/1-2/28 08:00-17:30,https://img1.qunarzz.com/travel/d4/1706/82/2dc4295ce2b922b5.jpg_480x360x95_6e0cd916.jpg,4.6,建议游览时间：3天 - 6天,太白山四季景色可餐，任何天气您都不会空手而归。 春（3～5月）山花烂漫，赏万亩杜鹃，山鸟飞歌夏（6～8月）观松、云雾及避暑休闲“太白积雪六月天”秋（9～11月）观青松、苍石、红枫、黄菊等等自然景色冬（12～2月）观冰雪之花及雾凇。 在太白山晴赏奇松怪石，阴观云海变换，雨觅流泉飞瀑，雪看玉树琼枝，风听山谷松涛。5-10月最佳。此段时间气温凉爽适合避暑。,"{'太白山国家森林公园电子导览服务大小同价\n\n': ['¥6起'], '陕西宝鸡太白山国家森林公园【包车】一日游【踏青赏景  看漫山春花争相斗艳 拥抱自然氧吧 】\n\n': ['¥550起']}",1、在太白山景区门口乘坐上山班车，先上车，到了景区售票处再买门票。2、 乘坐班车上山的时候会经过一座道观，进道观参观的游客需要注意备好香火钱。3、 去往拔仙台一路海拔都在3000米以上，要注意安全，量力而行。4、门票一定要收好，从汤峪乘车去下板寺的景区大门处、太白山滑雪场的岔道口都要检票。5、每年五一以前以及十一之后，部分海拔较高、比较阴暗的山路上会有积雪，并且没有栏杆，上山的朋友一定要注意安全。6、农历七月一日为太白山庙会，每逢此时，山上山下游人不绝。7、登太白山在七八月间盛夏为宜，登山需准备棉衣、雨具等。登山路分北坡、南坡。北坡从眉县出发到营头直上；还可以由眉县到斜峪关，经鹦哥嘴直上。南坡较平缓，有两条路：一条是从周至出发到厚步子直上；一条是从周至到厚步子，经都督门、太白庙上山。8、 游客登山游玩，需按照已开发的旅游登山路线行进，不可贸然离开主路线去探险。这样一是防止在山中迷路失踪；二是深山中的有不少野生动物，包括大型野兽，游客若进入深山可能会遇到危险。9、冬季只开放太白山国家森林公园内滑雪场，冬季因雪太大索道会关闭，景区内部分区域也不会对外开放，具体情况可以届时致电景区确定 。10、游客登山游玩，请按照已开发成熟的登山线路行进，特别是 徒步旅行的游客，不要贸然离开主线路去探险。11、园内须知：在不能满足设备安全运行的恶劣天气，无法抗拒的自然灾害情况下（如雷电、雨雪、冰雹、大雾、暴雨、台风等），景区部分项目将临时关闭或部分关闭，表演会取消或部分取消。景区活动内容如有变动，以当日公告为准。景区所有项目均会定期进行日检、周检、月检和年度检修，相关检修工作可能会造成部分项目运行时间的延迟或暂停对游客开放，详情以景区现场公告为准。,1
中华礼乐城Baoji People's Park,http://travel.qunar.com/p-oi9205811-zhonghualilecheng,"

地址:
宝鸡市渭滨区公园路211号


电话:
0917-3313076

",中华礼乐城又名“周城”，是一个以周文化为核心元素的主题公园。礼乐城以周代王城为原型，用高科技手段重新演绎的风、雅、颂，再现周代礼治天下的盛世文明。礼乐城内周礼文化主题公园占地600亩，以湖为中心，有天下第一灯、周赋、周颂、乐府、奇石园等十大文化看点，融雕塑、音乐、舞蹈等艺术为一体，完美体现了盛世西周时的万千气象。这里有大型实景乐舞《周颂》演出，以其独特、精致、神秘、奇妙等，给人以目不暇接、美不胜收的视觉和听觉享受。让更多的人有机会零距离接触周文化，了解周文化，感知周文化的博大精深，使沉睡了三千年的古老文明再一次鲜活地呈现在世人面前。八音长廊以周代编钟为主体元素，是中国第一条以乐器造型表现出来的景观步行街，也是世界唯一的音乐主题长廊。每当夜幕降临，华灯初上时，八音长廊将奏响悠悠古乐，动听的旋律将萦绕在城市上空，沁人心脾。步入中华礼乐城周礼大道，二十四尊造型各异、可以喷水吐雾的大象迎面而来。象征着吉祥如意，它诉说着“太极生两仪，两仪生四象，四象生八卦”的太极文化，它还代表着中华民族传统的 24节气，寓意着宝鸡这片热土，一年四季欢迎华夏子孙、八方宾朋前来省亲祭祖、观光旅游。,全年 全天开放,https://img1.qunarzz.com/travel/d0/1605/98/5183a7c69ca687f7.jpg_480x360x95_3e444eba.jpg,4.6,建议游览时间：2小时 - 3小时,春秋季为佳。,具体收费情况以现场公示为主,游乐园旁边是宝鸡市演艺中心，可以关注一下节目播放时间，有些节目非常不错。,1
法门寺博物馆,http://travel.qunar.com/p-oi710847-famensibowuguan,"

地址:
陕西省宝鸡市扶风县法门寺旅游区

",,8:00-18:00,https://img1.qunarzz.com/travel/d3/1801/68/9036269b55d51b5.jpg_480x360x95_6b2032ca.jpg,4.7,建议游览时间：1小时,四季均可。,"已包含在法门寺门票内。



法门寺
票价
 门票实行一票制，每人120元，可参观法门寺院、法门寺博物馆和合十舍利塔三个景点。无学生票。",,1
宝鸡青铜器博物院Baoji Bronzeware Museum,http://travel.qunar.com/p-oi712339-baojiqingtongqibowuyuan,"

地址:
宝鸡市滨河大道东段中华石鼓园内


电话:
0917-2769016,0917-2769018,0917-2769011


官网:
http://www.bjqtm.com/

",宝鸡青铜器博物院是以收藏、研究和展示青铜文化为主的国家一级博物馆，位于国家“4A”级景区中华石鼓园内，园内有两大主体建筑。一是石鼓阁，是宝鸡市地标性建筑，高56.9米，位于石鼓山顶，仿秦建筑风格，外五内九的层级设置，喻示周秦文明在中华民族历史文化中的崇高地位。二是宝鸡青铜器博物院，主体建筑与石鼓阁遥相呼应，其建筑形象取青铜器破土而出、横空出世的场景作为建筑设计的主题，外形运用了高台门阕、青铜厚土的建筑语言，气势恢弘、厚重威严，象征着宝鸡历史在中华古代文明发展过程中的重要地位。院藏文物12000余件（组），其中一级文物120件（组），展厅面积11000平方米，基本陈列《青铜铸文明》，以考古研究成果和历史文献为依据，荟萃了宝鸡地区出土的商周时期青铜器1500多件，其中有国家一级文物：何尊、逨盘、秦公镈等百余件，陈列共分“青铜器之乡”、“周礼之邦”、“帝国之路”和“智慧之光”四个部分，充分运用现代科技手段，将实物展陈、多媒体展示、场景复原等有机结合，全方位揭示了商周时期宝鸡青铜文化的丰富内涵。常设专题陈列三个，《对镜贴花黄——古代铜镜与时尚生活展》、《陶语诉春秋——古代陶瓷与文化生活展》、《明月照琼琚——古代玉器与艺术生活展》，以丰富多彩的历代文物和独具匠心的展览手法，多层次、多角度地展示了宝鸡古老悠久的历史。,9:00-17:00,https://img1.qunarzz.com/travel/d3/1709/f0/5cfda8c0046c0b5.jpg_480x360x95_4c6f7def.jpg,4.7,建议游览时间：1小时 - 2小时,夏秋两季,凭健康码、有效身份证预约免费入馆，需至“宝鸡青铜器博物院”微信公众号预约,,1
紫柏山景区Zibai Mountain Scenic Area,http://travel.qunar.com/p-oi711073-ziboshanjingqu,,,,,,,,,,1
天台山Tiantai Mountain,http://travel.qunar.com/p-oi709835-tiantaishan,"

地址:
宝鸡市渭滨区苟家滩村南500米左右


电话:
0576-83958610

",天台山位于宝鸡市渭滨区南部，距宝鸡市中心约10公里，为全国重点风景名胜区。天台山地处秦岭山脉北麓，主峰天柱峰海拔2198米，自然风光优美。天台山风光优美，展现了秦岭山脉雄伟博大的气魄，浓缩秦岭山脉风光于一处，具有峻峰、幽谷、翠绿、碧水四大风景特色。天台山历史悠久，自然景色独特，文化底蕴深厚。主要名胜古迹有神农祠、烧香台、伯阳山、炎帝骨台寝殿、老君殿、玄女洞等10处，现多已被修复。天台山独特丰富的自然景观和人文景观，区内群峰竞秀，植被繁茂，景色幽美，气候宜人，森林植物种类丰富，自然风光秀丽。1983年被定为省级森林公园。,全年 7:00-19:00,https://img1.qunarzz.com/travel/poi/201211/15/0a45e2da5f6839f9ddb12cfb.jpg_480x360x95_0383f0fd.jpg,4.2,建议游览时间：1小时,春、夏、秋季最佳，此时的气候、景观都适合登山避暑。,具体收费情况以现场公示为主,,1
红河谷森林公园Red River Resorts,http://travel.qunar.com/p-oi714440-honghegusenlingongyuan,"

地址:
陕西省宝鸡市眉县营头镇河营路


电话:
400-678-0578,0917-5790019


官网:
http://www.honghegu.cn/

",红河谷森林公园位于陕西省眉县境内，地处秦岭主峰太白山北麓红河流域，东临太白山国家森林公园，西南接太白山自然保护区，是登太白山古道之一。距西安120公里，宝鸡60公里。园内林木茂盛，森林覆盖率达90%以上，最高海拔3666.6米。红河谷森林公园已开发景区四个，景点80多处。入园即可看到静林寺、显洞寺、玉皇阁、观音崖等宗教文化古迹。园内山势险峻，石峡深邃，飞瀑深潭。太公石船古朴悠远，双洞水帘神秘莫测。还有蟠龙湾、斗母瀑布等景点。红河谷内有太白山独有的奇特景观第四纪冰川遗迹，不用登高山就可看到冰川石海的奇特。公园还可观赏太白八景的“红河丹崖”、“斗母寄峰”、“平安云海，和关中八景之一的“太白积雪”胜景。谷中曲径通幽，穿林涉水，溪水四季长流，别有一番风情。园内还有一条铁制栈道，因沿悬崖峭壁而建，高耸入云，故而得名“凌云栈道”。,全年 08:00-18:00,https://img1.qunarzz.com/travel/poi/201407/22/1eb01d0c23c53cf3c8d65eac.jpg_480x360x95_5f251e2a.jpg,4.4,建议游览时间：4小时 - 5小时,春、夏、秋季最佳，此时的气候、景观都适合登山避暑。,"{'宝鸡红河谷电子导览服务大小同价\n\n': ['¥6起'], '陕西宝鸡红河谷森林公园一日游2-10人私家团·定制包车·1单1团·24小时管家式服务/网红打卡胜地\n\n': ['¥138起']}",游客登山游玩，需按照已开发的旅游登山路线行进，不可贸然离开主路线去探险。这样一是防止在山中迷路失踪；二是深山中的有不少野生动物，包括大型野兽，游客若擅自进入深山可能会遇到危险。,1
鸡峰山Jifeng Mountain,http://travel.qunar.com/p-oi718169-jifengshan,"

地址:
宝鸡市渭滨区石鸡路


电话:
0917-3305809

",鸡峰山景区为陕西省省重点保护单位，位于天台山主峰景区的东北方，宝鸡市区的东南方，距市区15公里，主峰元始天尊峰海拔2014米。古称为“陈仓山”“宝鸡山”或称“鸡山”。鸡峰山奇景甚多，历来有“三十六景”之说。群峰叠翠，山、石、松互相衬托，和谐统一；高低错落，峻峭秀拔，有机地组合成一幅波澜起伏、气势磅礴的立体画卷。宋代著名诗人苏轼登临鸡峰山，曾写下“鸡峰云霞古，龙宫殿宇幽”的优美诗句。,鸡峰山暂时停业，具体开放时间请以景区当天公示为准。原开放时间8:00-18:00。,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0ad6b8f1be615fdc0a7c777243f29a8f.jpg_480x360x95_d2efdb66.jpg,4.1,建议游览时间：12小时 - 3天,,{'鸡峰山门票成人票\n\n': ['¥35起']},,2
炎帝陵Yan Emperor Mausoleum,http://travel.qunar.com/p-oi710983-yandiling,"

地址:
宝鸡市渭滨区清姜路80号常羊山


电话:
0917-3351311

",炎帝陵位于宝鸡市渭滨区神龙镇境内的常羊山之上，是炎黄子孙寻根祭祖的重要场所之一。宝鸡为炎帝故里，据说炎帝生于宝鸡天台山的蒙峪沟。炎帝陵分为陵前区、祭祀区、墓冢区3部分。这里雄伟、神圣、幽静，成为炎黄子孙的谒陵拜祖的圣地。每年农历7月7日及清明节的炎帝祭日，海内外各界民众聚于炎帝陵及炎帝祠，进行盛大的公祭仪式，共同拜祭中华始祖之一的炎帝。,全年 08:00-17:30,https://img1.qunarzz.com/travel/d6/1509/2f/c63388d4e7b4b2.jpg_480x360x95_b77e3a94.jpg,4.1,建议游览时间：1小时 - 2小时,春、夏、秋季最佳，此时的气候、景观都适合登山避暑。,{'炎帝陵电子导览服务大小同价\n\n': ['¥6起']},,2
岐山周公庙景区Zhou Gong Temple,http://travel.qunar.com/p-oi714039-qishanzhougongmiaojing,"

地址:
宝鸡市岐山县凤鸣镇


电话:
0917-8110075

",该景点位于宝鸡西北6.5公里的凤凰山南麓。 唐武德元年（公元618年），后经宋、元、明、清历代修葺、扩建，形成了以周三公（周公、召公、太公）殿为主体，姜嫄、后稷殿为辅，亭、台、楼阁点缀辉映的古建筑群。周公庙景区现存古建筑三十多座，唐柏汉槐多株，是宝鸡地区规模较大、保存完整的古代建筑群。从古至今，这里一直是人们的游览场所，韩愈、苏轼、康海等许多文人墨客曾来此游览抒怀，留下了140多首游览诗文和30多通碑石。周公庙景区依山傍水、古木参天，东、西、北三面环山，唯南边与平地相接，状如簸箕。,8:00-18:00；停止入场时间17:30。,https://img1.qunarzz.com/travel/poi/201211/15/059ad534a84636b2ddb12cfb.jpg_480x360x95_52835a5c.jpg,4.4,建议游览时间：2小时 - 3小时,,"{'中国·周原凤凰山门票成人票\n\n': ['¥64起'], '中国·周原凤凰山门票双人票\n\n': ['¥129起'], '岐山周公庙景区门票成人票\n\n': ['¥64起']}",,2
神农谷,http://travel.qunar.com/p-oi721772-shennonggu,"

地址:
陕西省宝鸡市渭滨区天台上风景区内

",,全天,https://img1.qunarzz.com/travel/poi/201408/06/9c7a45dfed1f87ebc8d65eac.jpg_480x360x95_e9619a86.jpg,4.3,建议游览时间：4小时,四季均可，春夏季节看鲜花绿树漫山，秋冬季节看群山辽阔、雪山巍峨。,{'【东站接送】船进神农架、畅游新三峡2天1晚跟团游 含住宿/景点门票/大巴车/纯玩无购物\n\n': ['¥179起']},,2
东方大佛宫Eastern Buddha Temple,http://travel.qunar.com/p-oi703525-dongfangdafogong,"

地址:
宝鸡扶风县


电话:
0917-3266000

",东方大佛宫在位于宝鸡扶风县，在法门寺的对面。东方大佛宫是新建的，被誉为“东方第一”的四面五方露天大佛高48米，是东方大佛宫的主体，其他佛像分坐东南西北四个方向。东方大佛宫建筑面积3000平方米，外形宏伟壮观，与宝塔相对。内部有教义厅，释迦牟尼厅，玄奘西域厅，善恶因果厅，朝拜厅、百岁宫，万岁殿、舍利顶等十五个展厅。沿扶梯通过大佛腹内直登宝顶，举目四望，千里周原风光尽收眼底。,8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/79a3a1fba65df94c28df8eb6a5afe382.jpg_480x360x95_27ccffe9.jpg,4.3,建议游览时间：1小时,夏秋两季,具体收费情况以现场公示为主,,2
天池明珠Tianchi Pearl,http://travel.qunar.com/p-oi717356-tianchimingzhu,"

地址:
太白山

",,全天,https://img1.qunarzz.com/travel/poi/201407/09/685df42d3a2b408eddb12cfb.jpg_480x360x95_478b6d19.jpg,5.0,,四季皆宜，夏秋最佳。,无,游客登山游玩，需按照已开发的旅游登山路线行进，不可贸然离开主路线去探险。这样一是防止在山中迷路失踪；二是深山中的有不少野生动物，包括大型野兽，游客若擅自进入深山可能会遇到危险。,2
