名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
徽杭古道Huihang Ancient Road,http://travel.qunar.com/p-oi7468885-huihanggudao,"

地址:
安徽省宣城市绩溪县伏岭镇江南村


电话:
400-806-2889,0563-8155777


官网:
http://www.huihanggudaolvyou.com/

",徽杭古道全长15公里，它连接着安徽绩溪县的伏岭镇和浙江临安市的马啸乡，是古时候连接徽州和杭州的重要运输通道，而如今已经成为了初级徒步者的天堂。而这条古道保存较完整的一段则是绩溪县境内的盘山石阶小道，它位于古道起始一段，也是徽杭古道的精华所在。而徒步古道的较好季节是3月下旬，此时满山的杜鹃花盛开，非常好看。游玩推荐徒步古道建议从绩溪县进，临安市出，因为古道沿途几个较好的景点都在绩溪县境内。虽然有徒步者一天走完全程，但是这样会错过很多景点，体会不到沿途风景，比较好的方式建议在古道中段住宿一晚。徒步古道要先坐车至绩溪县伏岭镇的鱼川村（古道的入口），当天的上午开始在此进入古道，此处就是盘山石阶小道，这里的手机信号非常弱，几乎处于与世隔绝的状态。过了入口途中会先经过逍遥河水电站，一路沿着石阶向上攀爬，沿途的左手边是陡峭的石壁，春天会有流水从石壁中渗出，右手边则是悬崖，对面的山峰造型奇特，不妨留意一下，像人脸。爬过长长石阶小道，便来到了关门。关门是由4根岩石构成，门楣上刻有几个大字。在关口东侧有一个依山修建的拱形石亭，过往行人可在此避雨休息。过了关门之后没有了石阶路，但还需继续往上爬，而且路比较窄，午餐需自备，在这段路上吃，因为这段山路上没有任何地方吃饭。之后继续走，下午左右便可来到黄茅培村，建议可以在此多休息一会。之后离开黄茅培村继续往前走，走过一段平地后会有两条岔路，两条路都可以走，大路比较绕，也不太好走，但小路更具有挑战性。走小路的话，走过一段独木桥，继续往上爬，山坡比较陡而且没有台阶，约走半个小时左右便可来到了下雪堂，这里也是当天晚上住宿所在地。需提一下的是，来此徒步的游客当天晚上住宿有两个选择，一就是在此找当地人家的农舍，二则是自带帐篷在此或者再走一个小时去蓝天凹安营扎寨。次日一早从此出发继续往上爬，这一段路程相对也较为吃力，爬一个多小时左右可以抵达蓝天凹，这里也是整个古道中较美的一处景点，也是徽杭古道的较高点。蓝天凹是古道中自然风景较美的地方，也是清凉峰主道的入口。这里是一块较为平缓的山坡，坐在山坡上可以一览周围群山景色。过了蓝天凹便是下山的路，走到永来村，就是古道的终点，双休日可以在此坐班车前往昌化汽车站。住宿当晚可以住在下雪堂，这里有逍遥人家、水云间和雪堂小院三户农家，都是新房子，比较干净。蓝天凹是农家搭建的木头房间，可住宿，也可搭帐篷露营，且帐篷店家有出租。,全年 08:00-16:30,https://img1.qunarzz.com/travel/d7/1708/17/420ae1d79a4fb9b5.jpg_480x360x95_78567942.jpg,4.6,建议游览时间：6天,,"{' 徽杭古道门票\n\n': ['¥58起'], '徽杭古道电子导览服务大小同价\n\n': ['¥9起']}",,1
月亮湾,http://travel.qunar.com/p-oi705632-yueliangwan,"

地址:
安徽宣城泾县蔡村镇大康村

",驱车而至，扑面而来的是阵阵清风，夹杂着翠竹的清香；闯入眼帘的是巍巍青山，静静流淌的小河；耳旁是一片的静谧，只偶尔闻得远处传来的船工号声……月亮湾，美在自然，美在自然的景观、自然的山水。这里还被多家电影制片厂选为外景拍摄基地，《渡江侦察记》、《月亮湾的笑声》、《月亮湾的风波》等优秀影视作品都曾在此拍摄外景。,8：00~17：00,https://img1.qunarzz.com/travel/d2/1503/10/3852acb438a3dd.jpg_480x360x95_6c26c201.jpg,4.1,,,"成人62元/位,儿童40元/位",,1
储家滩Chujiatan,http://travel.qunar.com/p-oi23344562-chujiatan,,储家滩位于素有“国家水利景区”“国家森林公园”之称的青龙湾下游的青龙乡龙阁村，距离宁国市区约16公里，依山傍水，风景宜人，烟雨朦胧，十里画廊，不仅是旅游、露营的好地方，还是摄影爱好者和影视制作团队的创作和取景之地，更是皖南“川藏线”上的一颗璀璨的明珠。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/7f784115f4322ddab6bf54f6370db593.jpg_480x360x95_2bc89a24.jpg,4.3,建议游览时间：12小时,,具体收费情况以现场公示为主,,1
江南第一关Jiangnan First Pass,http://travel.qunar.com/p-oi703662-jiangnandiyiguan,"

地址:
宣城市绩溪县伏岭镇江南村


电话:
400-806-2889,0563-8155777

",江南第一关位于绩溪县伏岭镇，海拔424米，是当年徽商古道的重要关隘。关脚有岩口亭，依山傍水，景致清幽，亭门上书“径通江浙”四个魏体大字。出亭后拾级而上，高峰巨岩，南北夹峙，怪石嶙峋，峭壁峻立；北岩的石壁之中，用人工凿开横档，嵌入长约2米的花岗石板，筑成栈道。石栈宛若天梯，向上伸展，直插白云深处。天梯顶端，一孔云天，即为江南第一关隘口。从关脚到顶，有石阶1400级，其关之险要于此可见。关口垒石为门，楣石东刻“徽杭锁钥”，西刻“江南第一关”。人立关口，风吻耳际，远山如球，举目回望，怪石森森，向下眺视，逍遥河咆哮其中，水声如雷，慑人心魄。,8:00-18:00,https://img1.qunarzz.com/travel/d5/1501/2e/f716633f6726a4.jpg_480x360x95_721d49ac.jpg,4.1,建议游览时间：1小时,,{' 徽杭古道门票\n\n': ['¥58起']},,1
敬亭山Jingting Mountain,http://travel.qunar.com/p-oi710218-jingtingshan,"

地址:
宣城市宣州区昭亭北路敬亭山东大门广场


电话:
0563-2515505


官网:
http://www.xcjts.com.cn

",敬亭山位于宣城市中心以北5公里处，主峰一峰海拔317米，谢脁、李白等文人为它留下许多诗篇，其中以李白的“相看两不厌，只有敬亭山”最为出名。外地人来此为了追寻李白足迹；当地人则喜欢来爬山，大片的茶园和竹林带来了清新空气，站在山顶俯看山下的视野也很好。公交都停在昭亭北路靠近水阳江大道的敬亭山东大门广场（停车场）附近，广场上能看见两座牌坊和一尊李白雕像，这里距正式登山的台阶路尚有2公里，所幸沿途风景值得驻足。经过东大门广场边上的敬亭湖，沿平整的公路北行200米，便能看到广教寺双塔，古寺已不复存在，只留下一对微微倾斜的砖塔，它们是敬亭山的地标，建于北宋绍圣3年（公元1096年）。继续往北，路边都是茶园，还能看到板栗树，到达敬亭广场，便算到达了正式登山的道口。与敬亭广场隔太白湖相望的是现代新建的弘愿寺，仿唐代建筑风格，非常气派。自驾游客不用把车停在遥远的东大门广场，敬亭广场可以停车，弘愿寺门口也有停车场。弘愿寺旁有上山的盘山公路，但是路不好走，景区是禁止自驾车上山的。敬亭山上面有不少岔路，路口都有指示牌，敬亭广场-太白独坐楼这一段景点最集中，爬上去约需30分钟-50分钟。拾级而上，先看见古昭亭坊，该石牌坊始建于明代，清咸丰二年（公元1852年）重修，它的名字和敬亭山原名昭亭山或许有些渊源。再往上，青翠可爱的竹林立于山道旁，依次会看到皇姑泉（相思泉）、玉真公主雕像和墓志，若感兴趣，可事先在网上了解一下公主和李白的爱情传说。经过绿雪茶社后遇岔路，往左去翠云庵，往右去太白独坐楼，两条路会在不远处交汇，一般游客到太白独坐楼即折返下山。若继续向西北攀爬1小时，可到达主峰一峰；若由太白独坐楼向东北攀爬1小时，则可到达高度仅次于主峰的净峰，上有望江亭。云桥靠近望江亭，是用木条铺成的栈道，走在上面能俯看宣城、农田和水阳江。不论爬到山的哪里，下山时走敬亭山东大门方向，从那里出景区即可。敬亭山平日游人不多，但节假日游人很多。想要避开人群并另辟蹊径，非常推荐冬天雪后来游览，整座山万籁俱静，对着空山大喊一声，竹叶上的雪会扑簌簌地往下落，别有趣味。古昭亭坊下方的古昭亭茶社提供需付费的餐饮，吃完再在竹林环抱的露天茶座喝一壶敬亭绿雪茶，十分惬意。弘愿寺可以挂单，免费住宿，免费吃素斋，斋堂旁打开水也免费，但是必须跟随寺院修行，每天4:30就要打板起床了。,8:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/053efc6658b24a5831d6e0e5a5bd8dd5.jpg_480x360x95_89c304ab.jpg,4.4,建议游览时间：3小时 - 4小时,,30元,,1
查济Chaqi,http://travel.qunar.com/p-oi714071-chaji,"

地址:
安徽省宣城市泾县城西60公里处


电话:
0563 599 5299


官网:
http://www.zhajijingqu.com/

",查济距东边李白写下“桃花潭水深千尺”的桃花潭约20多公里，游客常把两者放在一起游览。这座建于唐初的徽派古村，自始祖查文熙定居于此开始，一直聚居着查姓家族。岑溪、许溪、石溪三溪在村中汇流，白墙黑瓦的徽派建筑沿溪而建。村中祠堂众多，建筑上的徽派三雕砖雕、木雕、石雕很是精美。随处可见的来写生的学生，也是一道靓丽的风景。查济的主要游览路线呈环形，主入口在东边，步行街（新街）入口的皖南查济艺术博物馆珍藏着玉器、古建筑构建、碑刻等丰富文物，若不赶时间，可参观一下。走过步行街，就算正式进村。建议先游览环线的南半圈，因为南边许溪沿岸的景点比较集中。清同治年间重建的宝公祠（敦素堂）位于许溪东段，这里会遇到一条往西南方向的岔路，有两座重要的建筑在路深处。先到达德公厅屋，这是全村最古老的屋子，建于元代，大门的模样别出心裁，是一块牌坊，大厅里的柱子用珍贵的楠木制成。接着到达明代的爱日堂，鬼片《荒村客栈》里的客栈便是它了，可惜虽然号称是村中保存最完整的宅第，如今却不对外开放。返回宝公祠，沿许溪向西游览，记得留意溪上一座座造型各异的古桥，明代的红楼桥一侧有红楼亭，桥与亭的组合很独特。参观了洪公祠等景点后，若继续西行，可以到达画家村，因许多画家在此盖起了自己的作画基地而得名，《生活启示录》里胡歌的老家便在附近，名叫悦桂山庄。最后走环线的北半圈，有清代的馀庆堂、明代的翔义堂等景点，其中二甲祠是全村最大的祠堂，建于清初，建筑上的徽派三雕非常值得一看。快回到步行街时不要漏掉不起眼的药铺存仁堂，老板是很懂中医的高手。常规玩法大致如此，若喜欢野趣，可以从存仁堂到步行街的路上找到去青山的岔路，翻一道山岭拜访青山塔，闻满山的云雾茶香；也可以沿查济小学-发丰井-麟趾桥进行半山漫步；还可以登东南边的如松山，拜访如松塔；或者骑行到东北5公里处的厚岸，参观王稼祥故居纪念馆，沿途饱览田园风光，自行车在步行街上或一些客栈里能租到。这些线路若不知道具体怎么走，问问当地人即可。食宿在查济非常便利，吃饭可在客栈解决，毛豆腐、茶、桂花米酒、秋天的板栗和猕猴桃，都是当地特产。村子深处的住宿条件相对简单，不过风景好。村口的步行街住了不少学生，年轻人在一起很容易聊得欢畅，街上还有台球、网吧、KTV等简易的娱乐活动。村中一些客栈在高处设有观景台，如果不住宿，上楼拍照需要额外付费，比如口碑不错的广源楼，据说查济的宣传照就是在他家拍的。,8:00-17:00,https://img1.qunarzz.com/travel/d5/1512/1b/986cad19ee0f35f7.jpg_480x360x95_1768c996.jpg,4.4,建议游览时间：3小时 - 4小时,,"{'查济古村门票成人票\n\n': ['¥60起'], '查济古村门票优待票\n\n': ['¥32起'], '桃花潭门票+查济门票成人票\n\n': ['¥98起']}",,1
龙川风景区Longchuan Scenic Area,http://travel.qunar.com/p-oi713792-longchuanfengjingqu,"

地址:
宣城市绩溪县龙川村中央


电话:
0563-8315763,0563-8315766


官网:
http://www.longchuanly.com/

",龙川，又名坑口，位于绩溪县以东11公里处，是座典型的徽派村落，村庄呈南北走向的船形。村中聚居胡氏家族，开宗始祖可追溯至东晋散骑常侍胡焱，历代人杰辈出。龙川虽属宣城，但离宣城远，离黄山市区近，约70公里，所以还是从黄山市区出发比较方便。村中有小溪横穿，马头墙下是临溪伸出的美人靠，石头台阶一直延伸进溪里，村妇依旧在溪水里洗衣服，岁月在这里流淌得很慢。村南的看点在于奕世尚书坊，它是建于明嘉靖四十一年（公元1562年）的正宗古物，除却牌坊上精美的石雕，文徵明手迹“奕世尚书”和“奕世宫保”弥足珍贵。和奕世尚书坊隔溪相望的是为明代副都御史胡宗明而建的都宪坊。村北的看点胡氏宗祠是全村的精华所在，始建于宋，明嘉靖年间胡宗宪大修该祠，建筑上的木雕非常精美。正厅一扇扇门窗上的荷花，正厅上首一扇扇门窗上的鹿，以及后进门窗上的各个花瓶，都无一雷同，仔细看有一扇门窗的荷花下还躲藏着螃蟹，寓意“和谐”。更有意思的是，胡氏宗祠的旁厅里有一丁氏宗祠，据说因为龙川像船，而“丁”字像铁锚，船有了锚才能在港口停靠，于是特意从外村请来一位丁姓到这里定居。村中其他还可以参观下灵山庵、介绍胡宗宪身平的胡宗宪少保府纪念馆等景点，村子不大，转一圈基本景点都能玩到。村子东北首的龙须山可以爬，每年4月，来龙川可赏油菜花。距龙川风景区仅200米的胡宗宪尚书府不属于景区，需另付门票，但非常值得过去一观。尚书府极其庞大宏伟，鼎盛时曾七世同堂，宅子里犹如迷宫，绣楼、戏园、私塾、医馆一应俱全，胡宗宪家族在过去足不出户就能上私塾、看大戏、请郎中……位于龙川东北的太极湖村也是可一并游览的景点，以砖雕门楼著称，在龙川可坐当地人的小客车前往。龙川开发得比较成熟，村内商铺、农家乐都有。可以在村中的小餐馆品尝下当地美食，比如胡氏一品锅，铁锅中铺一层肉、一层豆腐包、一层鸭肉等等，层数越多越好，温火炖熟后烂而不化，还有竹笋、绩溪火腿都很棒，小商贩售卖的木槌糖、烧饼则可以买来边逛边吃。若要买纪念品，龙川竹刻还不错。村中有农家乐能住宿，但是在村中留宿的游客不多，回到绩溪县住也是可以的。,8:00-17:00,https://img1.qunarzz.com/travel/d5/1701/84/b800146c00e2b2b5.jpg_480x360x95_9a9e2df4.jpg,4.3,建议游览时间：12小时,四季皆宜。每年4月来龙川可赏油菜花。,"{'龙川风景区门票成人票\n\n': ['¥64起'], '龙川风景区门票优待票\n\n': ['¥39起'], '龙川风景区门票双人票\n\n': ['¥129起']}",1、距龙川风景区仅200米的胡宗宪尚书府不属于景区，需另付65元门票，但非常值得过去一观。尚书府极其庞大宏伟，鼎盛时曾七世同堂，宅子里犹如迷宫，绣楼、戏园、私塾、医馆一应俱全，胡宗宪家族在过去足不出户就能上私塾、看大戏、请郎中。位于龙川东北6公里的太极湖村也是可一并游览的景点，以砖雕门楼著称，在龙川可坐当地人的小客车前往。2、龙川开发得比较成熟，村内商铺、农家乐都有。可以在村中的小餐馆品尝下当地美食，比如胡氏一品锅，铁锅中铺一层肉、一层豆腐包、一层鸭肉等等，层数越多越好，温火炖熟后烂而不化，还有竹笋、绩溪火腿都很棒，小商贩售卖的木槌糖、烧饼则可以买来边逛边吃。若要买纪念品，龙川竹刻还不错。村中有农家乐能住宿，但是会在村中留宿的游客不多，回到绩溪县住也是可以的。3、龙川的风水，徽派三雕（砖雕、木雕、石雕）的细致处自己看不一定了解得全面，建议在景区门口的售票处请个导游，30元讲解一次。,1
谢朓楼Xietiao Building,http://travel.qunar.com/p-oi7642396-xietiaolou,"

地址:
宣城市宣州区锦城北路116号

",谢朓楼位于宣城市区，系南齐著名诗人谢朓任宣城太守时所建。谢月兆于南齐明帝建武年间（公元494年-496年）出任宣城太守，于城关陵阳山顶建造一室取名曰“高斋”，在任期间理事、生活于此。      唐初，宣城人为怀念谢朓，于“高斋”旧址，新建一楼，因楼位于郡治之北，取名“北楼”，又因该楼建成时，敬亭山已经扬名，登楼可眺望敬亭山，故又称为“北望楼”。唐代李白曾多次来宣城，登此楼凭吊，赋诗抒怀。《秋季登宣城谢朓北楼》诗脍炙人口，千古传唱。诗曰：“江城如画里，山晚望晴空。两水夹明镜，双桥落彩虹。人烟寒橘柚，秋色老梧桐。谁念北楼上，临风怀谢公。”由于李白之诗广为传颂，故该楼又被称为“谢公楼”、“谢朓楼”。此后在楼的周围建有条风、清署、迎春、观风、双溪、怀谢等亭阁。历代文人名士慕名而来，登楼观赏者络绎不绝，赋诗题咏者难以计数。      唐代白居易曾随长兄白幼文寓居宣城并作有《窗中列远岫》一诗，抒发登此楼的观感。该诗被当时的宣歙观察使所知，大为赞赏，并举荐其赴京应试，得中为第四名进士，从而步入仕途。直至他晚年还作有《寄题郡斋》诗曰：“……无复新诗题壁上，虚教远岫列窗间。再喜宣城章句动，飞觞遥贺敬亭山。”      唐咸通末年（874年），御史中丞兼宣州刺史独孤霖将北楼改建，因其地势高且险，崖叠如嶂，故题名“叠嶂楼”，并作记以志。明嘉靖年间知府方逢时重修，并复名“高斋楼”，也作题记。清康熙四十年（1701年）知府许廷式重新修葺，并说：“叠嶂之名以地命也，谢公之称以人传也。北楼为古今所共知，而人而地并在其中矣。”遂题名曰：“古北楼”。清光绪初，知府鲁一员，重修一新。修整后的北楼分上下两层，上圆下方，全木结构，顶盖琉璃瓦，四边飞檐翘角。上层题额曰“叠嶂楼”，围以木栏杆，下层题为“谢朓楼”，四方置屏风门。楼基周围有历代诗文碑刻和修楼碑记。      抗日战争时期（1937年）该楼被日机炸毁。现已复建如初，重现昔日风采。      谢朓楼与岳阳楼、黄鹤楼、滕王阁并称为江南四大名楼。,8:00-18:00,https://img1.qunarzz.com/travel/poi/1503/1c/f5383ba3c6e9f9.jpg_480x360x95_f3537d62.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
桃花潭Taohuatan (“Peach Blossom Pool”),http://travel.qunar.com/p-oi713553-taohuatan,"

地址:
宣城市泾县桃花潭镇


电话:
0563-5870418，0563- 5024118

",桃花潭位于泾县西南约40公里处的桃花潭镇，因李白在此写下“桃花潭水深千尺，不及汪伦送我情”而闻名。桃花潭镇古称南阳镇，桃花潭其实是青弋江的一段，东岸的陈村与西岸的万村隔潭相望，这两座徽派古村算不上精致，却有一种沧桑的美。老街上铺着不规则的鹅卵石，两侧墙壁斑驳，一旦穿过狭窄的老街，见到豁然开朗的清澈潭水，令人惊喜。游览指南因为桃花潭客运站在东岸，一般游客会从陈村开始游览桃花潭，客运站北边150米便是景区的游客服务中心，由此进入景区。首先看到高三层的清代文昌阁，若逢3、4月，沿路都是盛开的油菜花。接着到中华第一祠（翟氏宗祠），翟氏是村中大姓，祠堂始建于明代，前后三进规模庞大，建筑材料采用珍贵的楠木、汉白玉，祠堂里挂着不少御赐匾额。沿着鹅卵石老街前行，经过南阳镇门楼才算真正进入了陈村，街边有一些小铺子和古玩店。老街的尽头是高两层的踏歌岸阁，可以攀登，楼阁旁的“梦潭轩”古文物陈列馆收藏着石碑、木雕等文物。穿过踏歌岸阁的门洞，桃花潭便在眼前，对岸的垒玉墩和怀仙阁倒映水中。东园古渡即指坐渡船，摆渡到对岸时可以留意一下垒玉墩下的书板石，一层层岩石犹如书页。小丘垒玉墩不高，所以登临上面的怀仙阁便很轻松，阁楼上视野 ，能将桃花潭和陈村尽收眼底。然后逛逛西岸的万村，万村比陈村更为陈旧，只有靠近码头的桃潭西岸门楼和 形义门有模有样。万村的其他景点还有采（彩）虹桥、传说中汪伦用来邀请李白的“万家酒店”遗址、现代新修的汪伦墓等。无论是走查济、桃花潭一线的游客，还是走太平湖、桃花潭一线的游客，都建议最后回到桃花潭，在景区内住一晚，因为桃花潭的傍晚与清晨才是 的。傍晚在踏歌岸阁正好能看到西边桃花潭的日落；清晨潭面雾气弥漫，挽着青山，朦胧了小舟，像一副水墨画，5、6月看到晨雾的概率会更大些。桃花潭食宿不用担心桃花潭的食宿，在景区里当地人开的农家菜馆或者客栈都能解决吃饭问题，菜肴以土鸡、河虾、冬笋等乡村土菜为主。,7:30-17:30,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/847af8fe-f22f-46c2-9f7d-3ec6421e3c1c.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'桃花潭+竹筏观光漂流门票团队票\n\n': ['¥110起'], '桃花潭+游船门票成人票\n\n': ['¥10起'], '桃花潭+游船门票优待票\n\n': ['¥32起']}",,1
云岭新四军军部旧址Yunling New Fourth Army Military Ruins,http://travel.qunar.com/p-oi702063-yunlingxinsijunjunbujiu,"

地址:
宣城市泾县云岭乡罗里村


电话:
0563-5900706,0563-5900315

","云岭新四军军部旧址位于泾县以西25公里处，1938年7月至1941年1月，新四军军部由歙县岩寺移驻于此地，部队从两万人发展到九万多人，因此云岭被称为“新四军的摇篮”。景区中的一幢幢机关旧址都是白墙黑瓦的徽派建筑，军部司令部旧址是景区的核心，其他景点分布得相当散，如果不是自驾游，那么想参观全旧址景区就是一个拉练的过程。
军部司令部旧址设在云岭乡罗里村的中心位置，原为两座地主庄园，一叫“种墨园”，一叫“大夫第”。由司令部往泾县方向走2公里是新建的纪念馆，里面陈列了一些和新四军相关的史料。 由司令部沿东南局路（078县道）向西南步行1公里可至军部修械所旧址，原为云岭陈氏家族建于明万历年间的关圣殿，历代屡有修葺，大殿前有雕刻精美的花戏楼，墙上留有抗日标语多处。修械所不远处是军部大会堂旧址，原为始建于清光绪年间的陈氏宗祠，分前、中、后三进，现为革命文物陈列室，里面能看到新四军留下的一些手稿、枪支武器等。
",全年 08:30-17:00,https://img1.qunarzz.com/piao/fusion/1809/bf/2960a048e52dfc02.jpg_480x360x95_a86c04ed.jpg,4.5,建议游览时间：12小时,,具体收费情况以现场公示为主,,1
