名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
闵子骞祠,http://travel.qunar.com/p-oi716276-minziqianci,"

地址:
安徽省宿州市曹村镇闵祠村

",闵子骞祠及墓座落在曹村镇闵祠村。三面环山，泉水涌流，环境幽雅。紧傍206国道，交通便利。是我市重点名胜古迹之一，为省级重点文物保护单位。闵子名损，字子骞，春秋鲁国人，孔子弟子，名列七十二贤之首，德与颜渊齐名。闵子以孝名天下，孔子赞曰：“孝哉！闵子骞，人不间于其父母昆弟之间”。宋朝皇帝褒闵子为“畿圣”，历代皇帝赐匾封公，文人墨客赋诗题记，其懿行美德千古传为佳话。 闵子墓座北朝南，高6米，直径40米，近旁有两座中形墓，传说为闵子迁的两个弟弟，墓高2米，直径2...闵子骞祠及墓座落在曹村镇闵祠村。三面环山，泉水涌流，环境幽雅。紧傍206国道，交通便利。是我市重点名胜古迹之一，为省级重点文物保护单位。闵子名损，字子骞，春秋鲁国人，孔子弟子，名列七十二贤之首，德与颜渊齐名。闵子以孝名天下，孔子赞曰：“孝哉！闵子骞，人不间于其父母昆弟之间”。宋朝皇帝褒闵子为“畿圣”，历代皇帝赐匾封公，文人墨客赋诗题记，其懿行美德千古传为佳话。 闵子墓座北朝南，高6米，直径40米，近旁有两座中形墓，传说为闵子迁的两个弟弟，墓高2米，直径24米，总占地约6400平方米，墓地松柏藏密，“闵墓松风”素为宿州八景之一。闵祠始建于宋，现存殿宇14间，祠内存有古柏和千年银杏。祠外有两座碑亭，祠东公路旁还有牌坊一座，上书“先贤闵子故里”。祠东南有孝泉和闵子故居。闵祠近傍还有骞山、晒书台、洗漱沟、荷花池、芦花坡、洗砚池等景点。这里不仅有迷人的自然风光，还有动人的传说故事。,待定,,--,,,待定,,1
皇藏峪国家森林公园Huangzang (Imperial Treasure) Valley National Forest Park,http://travel.qunar.com/p-oi10005799-huangzangyuguojiasenlin,"

地址:
宿州市萧县皇藏峪国家森林公园


电话:
0557-5960266,0557-5960159


官网:
http://www.chinahcy.net/#/

",皇藏峪国家森林公园‎位于萧县东南25公里处，相传因刘邦称帝前避秦兵追捕躲避于此而得名。景区的最高处海拔384米，山虽然不高，但是比较陡峭。山上遍布一种叫青檀的植物，是天然的森林氧吧，春夏绿意盎然，冬天高低错落的树枝伸向天空，勾成奇诡的画面。皇藏峪景区东西走向，大门在东端，游客进入景区后可以选择步行或者坐观光车到瑞云寺，观光车单程5元，这一段路比较平缓。瑞云寺主要看古树，后院有千年银杏和古松，还有两棵老桂花树。出瑞云寺后可以走南侧的上山路，经拔剑泉到皇藏洞，皇藏洞据说就是当年刘邦躲藏的地方。由皇藏洞上最高处观景峰，山路非常陡峭，到达海拔384米的观景峰后俯看山下，绿色植被绵延，像覆盖在山坡上的一层绿毯。然后可以走北侧的路下山，不用走回头路。,1/1-4/30 08:30-16:30;5/1-5/5 08:00-17:00;5/6-12/31 08:30-16:30,https://img1.qunarzz.com/piao/fusion/2012/f4/a7702a28f733d602.jpg_480x360x95_6011f5a7.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'皇藏峪国家森林公园门票成人票\n\n': ['¥47起'], '皇藏峪国家森林公园门票优待票\n\n': ['¥25起'], '天门寺门票成人票\n\n': ['¥13起']}",,1
虞姬墓The Tomb of Yu Ji,http://travel.qunar.com/p-oi710594-yujimu,,虞姬墓位于灵璧县城东（灵璧县位于宿州市），墓侧曾建有虞姬庙，庙内塑有项羽、虞姬像。人物造型极为生动。虞姬柳眉杏眼，明眸皓齿；项羽气宇轩昂，刚强剽悍。塑像四周，诗词歌赋的石刻林立。在唐宋年间，灵璧作为京师通往东南地区的必经之道，文人墨客往往三五成群到虞姬墓前凭吊揽胜，然后吟诗填词以发思古之幽情。园内有陈列室，陈列室采用砖木结构，粉墙小窗，青灰色小瓦，内进雕梁画栋，结构巧妙。室内陈列着垓下和虞姬墓中出土的文物、有关的史料和诗词歌赋。在墓园里零散地摆着一些石雕，或是出于汉代，或是出于唐、宋。镇墓兽的雕刻风格与霍去病墓前的石兽极为相似，连石碑周围的砖也是满布花纹的汉砖！千万不要忘了看看，陈列馆门口的汉代画像画，刻工古朴，线条简练，是不可多见的汉代艺术珍品，陈列馆内有一酋石雕，雕刻的是女人体，竟然与欧洲远古威林道夫女人体雕刻有神似之处！,,https://img1.qunarzz.com/travel/d9/1503/d8/d48fbd07762b63.jpg_480x360x95_88e7a8d1.jpg,4.3,建议游览时间：2小时 - 3小时,,"{'虞姬文化园景区门票成人票\n\n': ['¥30起'], '虞姬文化园景区门票优待票\n\n': ['¥15起'], '虞姬文化园电子导览服务大小同价\n\n': ['¥5起']}",,1
中国奇石馆,http://travel.qunar.com/p-oi709103-zhongguoqishiguan,,"安徽省灵璧县盛产磬石，是历史悠久举世闻名的磬石之乡。远在三千多年前的殷商时代，即开始采用磬石制作特磬，开创了我国古代“金石之乐”的先声。据《辞源》记载：“磬石，山名，在安徽省灵璧县北，泗水之南”，《尚书》云：“‘泗滨浮磬'即此。其山出石，可以为磬， 其声清亮，多供乐府之用。” 千百年来，磬石历经开采雕凿，深受人们尊崇， 形成了中华民族独特的磬石文化。历代评石家均把磬石誉为中国四大美石之首。灵璧建县时，因本县产磬石，取宋代诗人方岩在《灵璧磬石歌》中留下...安徽省灵璧县盛产磬石，是历史悠久举世闻名的磬石之乡。远在三千多年前的殷商时代，即开始采用磬石制作特磬，开创了我国古代“金石之乐”的先声。据《辞源》记载：“磬石，山名，在安徽省灵璧县北，泗水之南”，《尚书》云：“‘泗滨浮磬'即此。其山出石，可以为磬， 其声清亮，多供乐府之用。” 千百年来，磬石历经开采雕凿，深受人们尊崇， 形成了中华民族独特的磬石文化。历代评石家均把磬石誉为中国四大美石之首。灵璧建县时，因本县产磬石，取宋代诗人方岩在《灵璧磬石歌》中留下了“灵璧一石天下奇，声如青铜色如玉”的赞歌,大书法家米蒂爱石成癖,拜倒在灵璧石下。据《灵璧县志》记载：“民国13年，本县艺人设计并制作一只特大的缕花石磬，其上镌刻《总理遗嘱》全文，作为安徽省的礼品，敬献给南京中山陵”。改革开放的春风，给灵璧磬石这一亘古珍宝焕发了新生。九一年，中央电视台记者陈晓卿同志亲临灵璧磬石山采访，以“灵璧一石天下奇”为题摄制成专题节目,在《神州风采》栏目中播放，向世界人民介绍了磬石的美姿和价值。",,,4.0,,,15元,,1
皇藏峪,http://travel.qunar.com/p-oi705185-huangzangyu,"

地址:
安徽省宿州市萧县龙岗山


电话:
0557-5960266

",皇藏峪位于萧县东南20余公里的龙岗山中，为山东古老丘陵的延伸部分，山脉大致南北走向，最高峰海拔374米，一般为100―300米，相对高度20―30米，山顶平缓，山坡较陡。， 黄藏峪原名黄桑峪，因峪内长满黄桑树而得名。汉高祖刘帮称帝前曾因避秦兵追捕而藏身于此，故改名皇藏峪。《汉书地理志》记载：“汉高祖微时常隐芒、砀山间，即此山有皇藏峪，汉高祖避难处”。 皇藏峪为陶墟山系南部的剥蚀低山丘陵，山岩为石灰岩体，有许多天然洞穴及井泉、山石景观）四周峰峦层叠，涧水淙淙。峪中...皇藏峪位于萧县东南20余公里的龙岗山中，为山东古老丘陵的延伸部分，山脉大致南北走向，最高峰海拔374米，一般为100―300米，相对高度20―30米，山顶平缓，山坡较陡。， 黄藏峪原名黄桑峪，因峪内长满黄桑树而得名。汉高祖刘帮称帝前曾因避秦兵追捕而藏身于此，故改名皇藏峪。《汉书地理志》记载：“汉高祖微时常隐芒、砀山间，即此山有皇藏峪，汉高祖避难处”。 皇藏峪为陶墟山系南部的剥蚀低山丘陵，山岩为石灰岩体，有许多天然洞穴及井泉、山石景观）四周峰峦层叠，涧水淙淙。峪中天然森林三千多亩，有146种树木和六百多种草药。在平畴千里的淮北大地，有此高峰幽谷，实为难得，乃是徐淮地区游人间往之地。,8:00-17:00,,5.0,,,20元,,1
五柳龙泉,http://travel.qunar.com/p-oi714187-wuliulongquan,,,,,,,,,,1
林探花府,http://travel.qunar.com/p-oi710972-lintanhuafu,,林探花府座在宿州市杨庄乡林庄，系清代武探花林方标的府第，省级重点文物保护单位。 林方标，字锦堂，力大过人，善施兵器，武艺高强，清嘉庆辛未武科探花，清代名将，历任甘州提标、城守参将、衢州总兵、浙江提督等职。 探花府尚存房屋58间，是一处保存较为完整的建筑群，其建筑布局、房屋结构、砖雕、木雕、彩绘等装饰都具有典型的北方建筑风格，有着重要的艺术价值和科学价值。探花府原有房屋81间，占地面积4万平方米。府门前空场树立旗杆4根，高11米左右，旗杆座分列大门两侧。主体...林探花府座在宿州市杨庄乡林庄，系清代武探花林方标的府第，省级重点文物保护单位。 林方标，字锦堂，力大过人，善施兵器，武艺高强，清嘉庆辛未武科探花，清代名将，历任甘州提标、城守参将、衢州总兵、浙江提督等职。 探花府尚存房屋58间，是一处保存较为完整的建筑群，其建筑布局、房屋结构、砖雕、木雕、彩绘等装饰都具有典型的北方建筑风格，有着重要的艺术价值和科学价值。探花府原有房屋81间，占地面积4万平方米。府门前空场树立旗杆4根，高11米左右，旗杆座分列大门两侧。主体建筑四进院落，明三暗五式，主体建筑的西部还有三进侧院建筑。主体建筑后面原设有花园和养鱼池，花园左侧有练武场，陈设有各式武器，可供参观。,,,--,,,,,1
圣泉寺Shengquan (Sacred Spring) Temple,http://travel.qunar.com/p-oi711310-shengquansi,"

地址:
宿州市萧县龙城镇西北1.5公里处的陡山口北坡

",圣泉寺始建于北宋年间，至今已有800余年历史，有房舍30余间，因寺旁有一口“圣泉”而得名。圣泉寺圣泉的泉水虽然不大，但四季不涸，常有当地人带着瓶瓶罐罐来此打泉水。寺庙的建筑显得陈旧，寺门前立着几块古老的石碑，进入寺庙，便能看到放生池，池中有一个观音像，旁边是龙王殿等。,全年 周一-周六 11:00-21:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e93da6b734f6b207bd0c2b5d988919ee.jpg_480x360x95_19429fa9.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
萧县植物园,http://travel.qunar.com/p-oi40011457-xiaoxianzhiwuyuan,,萧县植物园拥有各种各样的花草树木，植物种类繁多，景色秀丽。,,,0.0,,,,,1
宿州美术馆,http://travel.qunar.com/p-oi39411625-suzhoumeishuguan,,,,,5.0,,,,,1
