名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
项王故里The Ancestral Home of Xiang Wang,http://travel.qunar.com/p-oi707762-xiangwangguli,"

地址:
宿迁市宿城区黄河南路288号


电话:
0527-81001600


官网:
http://www.xiangwangguli.com/

","项王故里，位于宿迁市区东南部，又称“梧桐巷”， 是楚国贵族、秦末农民起义军的领袖，“拔山盖世”的英雄、西楚霸王项羽的出生地，是宿迁市重点文物保护单位、国家4A级旅游景区。古建有坊，清初圮，康熙四十二年（1703年）宿迁知县胡三俊立碑一方，定名“项王故里”。西楚古城楼高达9.9米的项羽雕像雄伟地屹立在西楚古城门前，注视着来往的游客，期待着与各位英雄游客相会！信步登上24.5米的古城楼最高处，楚风建筑群尽收眼底，穿越千年的历史厚重感扑面而来。将署戏下分封、巨鹿之战、彭城大战、鸿门宴等，一个个旷世流芳的经典战例，以情景再现的形式展现了波诡云谲的历史宏图，还原了西楚霸王的传奇人生。
项王故居景区的核心建筑，是西楚霸王的出生地及青少年成长的地方。三进院落，楹联诗碑，名家荟萃；项王手植槐，天下第一；千年梧桐树，五代不息。项家古井、乌骓马、汉白玉雕像，勾起今人无限追忆。项府项府是项氏家族生活起居、婚嫁、宴会祭祀的场所，通过10个展示区集中展示楚地的风土人情和独特魅力。博大的青铜器文化、漆器文化，楚式风情的姻亲文化，带您体验西楚贵族生活。六艺园君子“六艺”分为礼、乐、射、御、书、数，起源于周朝，是贵族教育体系的主要内容，也是古代儒家要求君子必须掌握的六项技能。孔子曾说“六艺于治一也”，即使在现代社会，古代君子六艺对我们价值观念、内在修养、生活方式和科学知识等方面的培养具有积极的借鉴价值，是中华传统文化的瑰宝。",全年 09:00-17:30,https://img1.qunarzz.com/travel/d0/1605/d7/1e083aa03a11dbf7.jpg_480x360x95_0688bf3f.jpg,4.4,建议游览时间：2小时 - 3小时,,"{'项王故里门票成人票\n\n': ['¥20起'], '项王故里门票优待票\n\n': ['¥36起'], '项王故里门票双人票\n\n': ['¥143.8起']}",,1
骆马湖湖滨浴场,http://travel.qunar.com/p-oi703976-luomahuhubinyuchang,,骆马湖湖滨浴场，位于骆马湖东岸，这里水域广阔，水岸浅缓，水波平静，水质清新，透明度居全省淡水湖之最。浴场正在建设成为集休闲、旅游、观光、度假一体的娱乐场所。骆马湖湖滨浴场得天独厚的自然优势，将带来新一轮旅游新浪潮。,,https://img1.qunarzz.com/travel/d3/1702/27/ddb0cccf95b0d7b5.jpg_480x360x95_08d4b0c9.jpg,4.1,,,,,1
皂河古镇,http://travel.qunar.com/p-oi7469453-zaoheguzhen,"

地址:
江苏省宿迁市湖滨新城

",皂河古镇位于江苏省宿迁市湖滨新城，北临骆马湖，南接黄河故道，距市区18公里、徐州观音机场50公里，京杭大运河、250省道穿境而过，水陆空交通十分便利。皂河古镇于明末清初渐成集市，是一座具有近四百年历史的“文化古镇、水乡古镇”，全镇总面积266平方公里，其中水域面积219平方公里，耕地面积3.2万亩。现辖谢庄、王营、八井、龙岗、七堡、刘庄、金庄、袁甸、闫集、要武、三湾、戴场、王圩14个村民委员会和洋河滩、船闸、街东、街西、新农5个居民委员会，总人口5.3万人。“皂河”原...皂河古镇位于江苏省宿迁市湖滨新城，北临骆马湖，南接黄河故道，距市区18公里、徐州观音机场50公里，京杭大运河、250省道穿境而过，水陆空交通十分便利。皂河古镇于明末清初渐成集市，是一座具有近四百年历史的“文化古镇、水乡古镇”，全镇总面积266平方公里，其中水域面积219平方公里，耕地面积3.2万亩。现辖谢庄、王营、八井、龙岗、七堡、刘庄、金庄、袁甸、闫集、要武、三湾、戴场、王圩14个村民委员会和洋河滩、船闸、街东、街西、新农5个居民委员会，总人口5.3万人。“皂河”原是一条河的名称，是发源于山东郯城墨河的支流，南入古京杭大运河，因水底土色发黑而得名。历史上由于古黄河故道的连年水患，于清代顺治年间始建“敕建安澜龙王庙”于此，意欲镇水患而风调雨顺，改建于康熙23年，后经雍正、乾隆、嘉庆各代皇帝的复修和扩建，形成了现在占地36亩，周围红墙，三院九进封闭式合院的北方皇宫式建筑群。有“小故宫”之美誉，乾隆皇帝六次下江南，五次宿顿于此，并建亭立碑，帑金修缮，故又俗称为“乾隆行宫”。清康熙十九年（公元1680年），总督靳辅开旧皂河口，皂河古镇因此成为大运河南北漕运要道，商贾行船不绝，逐渐成为宿迁西北部经济贸易中心和水陆交通枢纽、运河名镇、苏北重镇，是苏北、鲁南、皖北极富盛名的集贸中心，曾任河南道直隶州判的卢盛芝，归里后在集市周围筑圩防寇，遂有“皂河镇”之设。1999年皂河镇被省政府列为江苏省首批222个重点中心镇之一。,8:00-17:30,https://img1.qunarzz.com/travel/d9/1505/d7/743255cff755f1.jpg_480x360x95_4766deca.jpg,4.5,,,,,1
天后宫Palace of the Heaven Queen,http://travel.qunar.com/p-oi713272-tianhougong,"

地址:
宿迁市泗阳县众兴镇骡马街76号

",天后宫位于一条小巷内，南北走向，有前、后两殿，两殿中间的庭院上立着高大的妈祖塑像，妈祖塑像的右手下有一块约一人高的石头，庭院两侧又有东西偏殿。天后宫的正门在南边，门上雕龙画凤，门旁雄狮踞守。前殿里供奉着福、禄、寿三星，后殿中供奉着妈祖，天后宫原来是闽商会所，所以供奉闽南百姓信奉的神灵。相传妈祖是渔民之女，名叫林默，常只身抢救海难渔民，是沿海地区百姓心目中的保护神。,全年 8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/cb46c3113a7dfb48a89cc4de897f4fa1.jpg_480x360x95_d33ab00e.jpg,4.7,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
沭阳肖湖,http://travel.qunar.com/p-oi705663-shuyangxiaohu,,1997年5月，省农林厅批准建立嶂山森林公园。公园位于宿迁市区以北7公里处的宿豫县境内，总面积7.2平方公里，森林覆盖率达67.7%。地处马陵山南麓，南端为天然草坪，中间为丘陵，北部为平原，西侧为湖泊。山有锅框山、鏊子山、三台山(海拔73.4米)；水有白马涧、烟窝潭、八仙浴场；洞有韩梁洞、八仙洞、藏军洞；植被有榆、柏、柘、楝、槐等木本70余种，虎耳、车前、益母、狗尾、蕨类等草本200余种；动物有刺猬、狸猫、蝮蛇、画眉、白鹭等100余种；人文景观有青墩古文化遗址、清凉院古城遗...1997年5月，省农林厅批准建立嶂山森林公园。公园位于宿迁市区以北7公里处的宿豫县境内，总面积7.2平方公里，森林覆盖率达67.7%。地处马陵山南麓，南端为天然草坪，中间为丘陵，北部为平原，西侧为湖泊。山有锅框山、鏊子山、三台山(海拔73.4米)；水有白马涧、烟窝潭、八仙浴场；洞有韩梁洞、八仙洞、藏军洞；植被有榆、柏、柘、楝、槐等木本70余种，虎耳、车前、益母、狗尾、蕨类等草本200余种；动物有刺猬、狸猫、蝮蛇、画眉、白鹭等100余种；人文景观有青墩古文化遗址、清凉院古城遗址、蜘蛛墩古墓遗址、扳倒井古战场遗址、果老庙八仙神话遗址等。2001年，被批准为国家AA级旅游景区。,,,--,,,,,1
项王蜡像馆Xiang Yu Wax Work Museum,http://travel.qunar.com/p-oi702054-xiangwanglaxiangguan,,项王蜡像馆位于宿迁市区幸福南路项王故里附近，始建于2002年4月，占地面积6000平方米，分五大展厅，分述“项羽起兵、怒杀宋义、破釜沉舟、彭城大捷、鸿门谢罪、兵困垓下”等8个楚汉时期典故，数十个蜡像栩栩如生，两侧走廊内镌刻着民间流传的霸王故事，蜡像形状逼真，把游客带进了两千多年前，群雄逐鹿、狼烟四起的战争场面，让游客留连忘返，为项羽“力拔山兮气盖世”的雄魄所折服，也为他兵败乌江，拔剑自刎而惋惜，回味着西楚霸王那种—惊天地，泣鬼神的悲壮风采。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/20ca019946a2ae030846cac227c163d7.jpg_480x360x95_fe3c86fe.jpg,4.3,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
白鹭保护区,http://travel.qunar.com/p-oi701944-bailubaohuqu,,洪泽农场鸟类自然保护区处于泗洪县东南，处于徐洪河和安东河下游，总面积5.22平方公里，核心区58.4公顷。2001年经江苏省人民政府批准列入洪泽湖湿地升级自然保护区。鸟类保护区季风显著，气候温和、光照充足。湿地常年水深0.6米，水体清澈透明。物种丰富多样，是候鸟、旅鸟适宜栖息的地区。区内有植物110余种、鸟类15目44科194种，占江苏省鸟类资源的一半以上。其中43种为留鸟、100种为候鸟(41种夏候鸟、59种冬候鸟)、51种为旅鸟。鸟类以鹭鸟为主，尤以牛背鹭、池鹭、苍鹭、中白鹭等居...洪泽农场鸟类自然保护区处于泗洪县东南，处于徐洪河和安东河下游，总面积5.22平方公里，核心区58.4公顷。2001年经江苏省人民政府批准列入洪泽湖湿地升级自然保护区。鸟类保护区季风显著，气候温和、光照充足。湿地常年水深0.6米，水体清澈透明。物种丰富多样，是候鸟、旅鸟适宜栖息的地区。区内有植物110余种、鸟类15目44科194种，占江苏省鸟类资源的一半以上。其中43种为留鸟、100种为候鸟(41种夏候鸟、59种冬候鸟)、51种为旅鸟。鸟类以鹭鸟为主，尤以牛背鹭、池鹭、苍鹭、中白鹭等居多。近来更发现了大鸨、白鹳、震旦鸦雀等珍稀鸟类。,,,5.0,,,,,1
下草湾古人类遗址,http://travel.qunar.com/p-oi711345-xiacaowangurenleiyizhi,,位于双沟镇东南8公里处的下草湾引河东岸，是江苏省发现最早的古人类遗址。2002年，被市政府确定为市级重点文物保护单位。1954年6月，中国科学院院士、古脊椎动物和古人类研究所所长杨钟健教授在下草湾考察时，采集到一段长15.27厘米的骨化石。经研究确定为人的股骨化石，是新世晚期人类化石，距今约4-5万年，属晚期智能人，被命名为“下草湾新人”，考古界称为下草湾文化。1981年春，南京博物院考古人员在下草湾东南1公里的火石岭发现与下草湾新人同时期的旧石器遗址，面积1500平方米...位于双沟镇东南8公里处的下草湾引河东岸，是江苏省发现最早的古人类遗址。2002年，被市政府确定为市级重点文物保护单位。1954年6月，中国科学院院士、古脊椎动物和古人类研究所所长杨钟健教授在下草湾考察时，采集到一段长15.27厘米的骨化石。经研究确定为人的股骨化石，是新世晚期人类化石，距今约4-5万年，属晚期智能人，被命名为“下草湾新人”，考古界称为下草湾文化。1981年春，南京博物院考古人员在下草湾东南1公里的火石岭发现与下草湾新人同时期的旧石器遗址，面积1500平方米，出土有刮削器、尖状器等。近年来，中国科学院、古脊椎动物与古人类研究所的专家多次对下草湾地区进行考古调查和科学发掘，发现更新世和中新世古脊椎哺乳动物化石近百种，很多为新种新属，被称为下草湾动物群，特别是出土的双沟醉猿、江淮宽齿猿文化，对研究从猿到人的演变过程，具有重要作用。,,,--,,,,,1
运河湾公园,http://travel.qunar.com/p-oi40011154-yunhewangongyuan,,运河湾公园位于宿迁市宿城区，有跑道、广场，景色优美，是人们散步放松的好地方。,,,--,,,具体收费情况以景区现场公示为主,,1
酒都公园,http://travel.qunar.com/p-oi39587500-jiudougongyuan,,,,,0.0,,,,,1
洋河股份泗阳基地酒文化旅游区,http://travel.qunar.com/p-oi39409493-yanghegufensiyangjidi,,洋河股份泗阳基地酒文化旅游区位于泗阳县来安古镇，地域酿酒历史悠久，源于秦汉，被誉为“天然粮仓，大汉酒国“。是一个融酿酒历史文化、科普教育、休闲购物为一体的综合型文化旅游景区。,,,5.0,,,,,2
皂河龙运城,http://travel.qunar.com/p-oi39314902-zaohelongyuncheng,,皂河龙运城景区隶属于宿迁文旅集团，坐落于江苏省宿迁市湖滨新区皂河镇，京杭大运河、骆马湖、古黄河和古皂河四水交汇之地，乾隆六下江南五次驻跸于此，赞叹为“第一江山春好处”。景区以治水文化、航运文化和皇家巡游文化为核心文化，内有龙王庙行宫、龙运宫等10个文博展馆，大禹治水（5D影院）、古运千年（飞行影院）等10个奇幻游乐项目，龙门盛宴（餐秀）、皂河寻梦（大型水上演艺）等20个演艺路秀，筑堤建闸（无动力亲子项目）、王营御林（无动力攀爬项目）等5个亲子互动项目。集沉浸体验、演艺路秀、文博互动、餐饮商业、观光旅游、酒店度假为一体，让皂河讲述大运河的故事，展现全时段的运河文化，打造运河文化全景体验度假目的地。,,,4.8,,,,,2
千鸟园广场,http://travel.qunar.com/p-oi38807093-qianniaoyuanguangchang,,,,,0.0,,,具体收费情况以现场公示为主,,2
袁家村宿迁印象,http://travel.qunar.com/p-oi38678194-yuanjiacunsuqianyinxiang,,,,,4.0,,,具体收费情况以现场公示为主,,2
泗阳城市森林公园,http://travel.qunar.com/p-oi38614888-siyangchengshisenlingong,,,,,5.0,,,具体收费情况以现场公示为主,,2
宿迁水韵蘭亭,http://travel.qunar.com/p-oi38355298-suqianshuiyunlanting,,宿迁水韵蘭亭足道会所，占地面积3300平方，是一家集合足疗洗浴为一体的高端场所。本会所从事足疗洗浴行业八年，有足够的技术与专业服务人员。以足疗、洗浴、SPA、养生、推拿、美容、亚健康调理等。,,,4.5,,,,,2
印象黄河景区,http://travel.qunar.com/p-oi38336395-yinxianghuanghejingqu,,,,,--,,,具体收费情况以现场公示为主,,2
双塔黄河谷,http://travel.qunar.com/p-oi38336257-shuangtahuanghegu,,,,,,,,,,2
黄河公园,http://travel.qunar.com/p-oi38335427-huanghegongyuan,,,,,--,,,具体收费情况以现场公示为主,,2
神兽羊驼主题馆（宿豫区万达店）,http://travel.qunar.com/p-oi38157063-shenshouyangtuozhutiguan,,羊驼为主题的体验馆，可以近距离和羊驼亲密接触，适合亲子家庭游玩。,,,0.0,建议游览时间：1小时 - 3小时,,,,2
雪枫军政大学训练营,http://travel.qunar.com/p-oi38145342-xuefengjunzhengdaxuexun,,,,,0.0,建议游览时间：12小时 - 3天,,,,3
皂河古镇,http://travel.qunar.com/p-oi38034635-zaoheguzhen,,"皂河古镇位于宿迁，古镇内既有保存完好的古建筑，也有气势恢宏的水利工程，这里的主要景点有安澜桥、陈家大院、龙王庙行宫和合善堂等。
",,,0.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,3
酒都广场,http://travel.qunar.com/p-oi38034492-jiudouguangchang,,,,,--,,,具体收费情况以现场公示为主,,3
一号街,http://travel.qunar.com/p-oi37807123-yihaojie,,,,,0.0,,,具体收费情况以现场公示为主,,3
泗阳电视塔,http://travel.qunar.com/p-oi37204449-siyangdianshita,,,,,5.0,,,具体收费情况以现场公示为主,,3
圆觉禅林Yuanjiao Chanlin,http://travel.qunar.com/p-oi37204278-yuanjueshanlin,,,,,0.0,,,具体收费情况以现场公示为主,,3
东关口城墙,http://travel.qunar.com/p-oi37204154-dongguankouchengqiang,,,,,0.0,,,具体收费情况以现场公示为主,,3
西郊公园,http://travel.qunar.com/p-oi37190757-xijiaogongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,3
五里湖湿地公园,http://travel.qunar.com/p-oi37190632-wulihushidigongyuan,,,,,0.0,,,,,3
沭阳西郊森林公园,http://travel.qunar.com/p-oi37190592-shuyangxijiaosenlingong,,,,,0.0,,,具体收费情况以现场公示为主,,3
泗洪城东生态体育公园,http://travel.qunar.com/p-oi37190542-sihongchengdongshengtai,,,,,0.0,,,具体收费情况以现场公示为主,,4
泗洪城南公园,http://travel.qunar.com/p-oi37190472-sihongchengnangongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,4
项里公园,http://travel.qunar.com/p-oi37190286-xiangligongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,4
南山公园,http://travel.qunar.com/p-oi37189966-nanshangongyuan,,南山公园曲径通幽，风景优美，园内种满了初春时节的花，白色的庭廊在蔚蓝天空的衬托下很有特色。,,,0.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4
老沭河健身公园,http://travel.qunar.com/p-oi37189956-laoshuhejianshengongyuan,"

地址:
新江南东北

",,全年 全天开放,,0.0,,,具体收费情况以现场公示为主,,4
世纪公园,http://travel.qunar.com/p-oi37189911-shijigongyuan,,世纪公园内设有文化广场，亲子乐园，花卉展览园等，花草茂盛，景色宜人。,,,0.0,建议游览时间：1小时 - 2小时,,,,4
生态公园,http://travel.qunar.com/p-oi37189301-shengtaigongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,4
河滨公园,http://travel.qunar.com/p-oi37189175-hebingongyuan,,,,,0.0,,,,,4
