名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
洞庭湖Dongting Lake Tourism and Resorts Zone,http://travel.qunar.com/p-oi704826-dongtinghu,"

地址:
岳阳市岳阳楼区云梦路与常山路交叉口南100米


电话:
0730-8639473

",岳阳楼下的洞庭湖是远古时代云梦泽的遗迹，它的湖面十分宽广，自古就有“八百里洞庭”之说。虽然现在它的面积比以前已经小了一倍，但它仍是全国第二大淡水湖泊，烟波浩淼、水天一色。洞庭湖由东、西、南洞庭湖和大通湖四个较大的湖泊组成，呈现一派水流沼泽、河网平原地貌景观，东、南、西三面环山，北部敞口的马蹄形盆地，滨湖风光秀丽，有许多风景区，如：岳阳楼、君山、杜甫墓、杨么寨、铁经幢、屈子祠等名胜古迹。在东洞庭湖与长江的接界处——城陵矶，有一块名为三江口的地方。从此处远眺洞庭，但见湘江滔滔北去。历代文人墨客都对美丽的洞庭湖作过热情的吟咏。北宋的《岳阳楼记》，从岳阳楼的视角对洞庭湖变化多端的风光，描绘得淋漓尽至，脍炙人口。洞庭湖的气势雄伟磅礴，洞庭湖的月色柔和瑰丽。即使是在阴晦沉霞的天气，也给人别致、谲秘的感觉，激起人们的游兴。洞庭湖还是知名的鱼米之乡，物产极为丰富。主要经济鱼类有鲤、草、鲌、鲚、青鱼等。银鱼是它的名产。贝类资源也很丰富，达40余种。此外湖区盛产的苎麻、君山茶和湘莲，名誉中外。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201211/15/163eea47ebc3e17eddb12cfb.jpg_480x360x95_fb4d08d2.jpg,4.5,建议游览时间：2小时 - 4小时,5月至10月是到岳阳旅游的好时机，赏玩湖水、观赏荷花。,,夏天洞庭湖水位较高 ，游玩时要注意安全。,1
君山岛Junshan Island,http://travel.qunar.com/p-oi715453-junshandao,"

地址:
岳阳市岳阳楼区洞庭北路60号


电话:
0730-8159066

",君山，是八百里洞庭湖中的一个小岛，与岳阳楼遥遥相对，岳阳楼旁的码头有渡船往返于两地之间。游客也可以在市区乘坐公交车前往君山岛。进入景区后，你可以根据景区内的游览地图步行游览，也可以乘坐景区内观光车游览全岛。君山岛上绿树成荫，满目苍翠，拥有大片的湖畔湿地。岛上还有众多的名胜古迹，这些古迹基本都在岛的东部（景区大门也在岛的东部），也是游人去的很多的地方，岛的西部景点较少，去的游客也不多。岛上的名胜古迹基本都和古老的神话传说有关，闲庭漫步的走在绿荫中，听听故事，也是蛮惬意的一件事。岛上吸引游客的景点是湘妃祠和二妃墓，这两处距离景区大门都不远。两个景点都和上古时代舜帝的娥皇、女英两位妃子有关。湘妃祠是为了纪念两位妃子而修建的祠庙，据说在《史记》中就已经有了相关的记载，如今这里也是香火旺盛。二妃墓是传说中埋葬两位妃子的墓地。据传说，舜帝外出很久未归，两位妃子出门寻找，到达君山时听说舜帝已经去世，悲痛过度而死。后人感动她们的真情，便建造祠庙纪念她们。二妃墓以西的柳毅井，背后也有一个美丽的传说。传说书生柳毅遇到了受到家暴的洞庭龙王的女儿，受托从君山岛的柳毅井下海传书给龙王，后来龙女得救，两人结为夫妻。岛上设有餐厅和茶室，当你逛累的时候，可以在茶室里，品一杯当地出产的君山毛尖，度过一段休闲的时光。,5/1-9/30 08:30-18:00;10/1-4/30 08:30-17:30,https://img1.qunarzz.com/travel/poi/201211/15/9099a9bfed22851addb12cfb.jpg_480x360x95_321ee65c.jpg,4.0,建议游览时间：2小时 - 3小时,君山最闻名的景色就是山上相传当年虞帝的二妃在竹子上撒下热泪而形成的“斑竹”茂盛的时候，一般在三至五月时节最为茂盛，此时前往君山旅游的人也最多。,"{'岳阳楼门票成人票\n\n': ['¥70起'], '岳阳楼门票儿童票\n\n': ['¥35起'], '岳阳楼门票老人票\n\n': ['¥35起']}",时令公告：“观岳阳美景，品洞庭湖鲜”——2019暑假北京市民免费游岳阳活动2019年7月1日至8月31日，参与“暑假免费游岳阳”活动，北京市民可凭本人有效身份证即免门票参观34个3A级及以上景区。其中国家5A级景区有岳阳楼、君山岛；国家4A级景区有石牛寨国家地质公园、屈子文化园、君山野生荷花世界景区、张谷英村景区、天岳幕阜山国家森林公园、洋沙湖国际旅游度假区（在评）等；国家3A级景区包含杜甫墓祠、沱龙峡景区、亚马逊水上乐园、连云山峡谷河流、岳阳6501风景区、五尖山国家森林公园、岳阳龙山花语世界、左宗棠文化园等。,1
石牛寨Shiniuzhai Scenic Area,http://travel.qunar.com/p-oi35214741-shiniuzhai,"

地址:
岳阳市平江县001县道附近


官网:
http://www.shiniuzhaigw.com/

",石牛寨景区，景色奇异。面对风门口行风播雨，飞溅瀑布凌空直下百岩潭，乱石迷宫俨似摆下八阵图，蟒蛇口、石豹洞、紫龙洞、石蛙口把守入口。连心洞、真人洞、莲花洞、夕照双珠洞，四十余洞如蜂窝群集。蒸谷甑、牛口、试剑石、取鼓石、鼓架石、思策台、望月台、议事亭、牛角涧、牛背石、古战场等数十处景点衬托如画。古木参天、气候宜人、清静幽雅、古迹重叠、形龙似凤、雄伟逼真，朝霞夕照、雨露风晴、飞禽走兽常集，鸟语花香迷人，引四方来客，游山玩水随你便，采花酿蜜任蜂忙。    石牛寨风景区位于湘、鄂、赣边界，湖南省岳阳市平江县石牛寨风景区境内，距长沙城65公里。石牛寨海拔523米，方圆10余平方公里，石牛寨西部有一巨石，形如黄牛，故名石牛山。这里历为军事要地，元末农民首领汤旷率兵驻山设寨，后志书记载名这石牛寨。石牛寨寨上风光无限，寨下景色诱人。它是由怪石、奇峰、石洞组成的石的世界，鬼斧神工，千姿百态，美不胜收。    石牛寨地势险峻，群仞壁立，窄径悬天，奇险程度让人咱舌，人称“小华山”。浅红色的顶部，深褐色的石壁，显出几分神秘。尤其是风门口以上为花风岩石地质的武陵风光，而门外屏风石北偏东的凤凰山、风门口、金石山一线巨型山体旁，形似老牛跟夫。余下三方皆平卧视野之下，纵横阡陌，冉冉炊烟，十分开阔壮美。牛头接近凤凰山脚，造成峡谷北高南低开阔坡地。坡地北边的高坡上，散落许多花岗岩巨石，远看似喂老牛的千年草垛。一旦走入巨石之间，让人遐思万千，流连忘返。,全年 08:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/1ddbb0550b0eabd30a82fb65362a7c8f.jpg_480x360x95_fe7ea335.jpg,2.7,建议游览时间：2小时 - 3小时,,188元,,1
岳阳楼Yueyang Tower,http://travel.qunar.com/p-oi707601-yueyanglou,"

地址:
岳阳市岳阳楼区洞庭北路


电话:
0730-8319435

",“先天下之忧而忧，后天下之乐而乐”，北宋范仲淹的名作《岳阳楼记》抒发了中国传统知识分子忧国忧民的情怀，也让这座洞庭湖畔的名楼成为了一个家喻户晓的地方。历代还有孟浩然、李白、杜甫、韩愈、白居易等文人墨客来到这里留下了很多佳作。如今，当你登上三层高楼顶，凭栏眺望，眼前是烟波浩渺的八百里洞庭湖水，耳边不由自主的回荡起那些千古佳句。岳阳楼位于岳阳市西门城头、紧靠洞庭湖畔，与江西南昌的滕王阁、湖北武汉的黄鹤楼并称为江南三大名楼。除了登楼遥望思古，岳阳楼的独特建筑构造也非常值得一看。全楼没有用一根铁钉和一道横梁，楼顶形式也非常独特，采用了古代将军头盔式的顶式结构，这种层叠相衬的“如意斗拱”托举形式，在我国古代建筑史上也是很独特的。在岳阳楼景区内，还设有一些小景点。在靠近大门的五朝楼观处，展示了唐宋元明清五个朝代的岳阳楼体模型；在楼下的沙滩上，有三具枷锁形状的铁制物品，重达1500斤，它的由来和用途，至今说法不一。在景区内还设有码头，你可以在码头乘船到对面的君山岛。岳阳楼距离巴陵广场不远，可以一并游玩。附近的汴河街，是岳阳市的一条旅游仿古街，街上有不少当地小吃和销售旅游纪念品的商铺。,旺季（5月1日-9月30日）7:00-18:30；淡季（10月1日-次年4月30日）7:30-18:00；主楼开放时间：淡季（10月1日-4月30日）7:30-17:45；旺季（5月1日-9月30日）7:00-18:15。,https://img1.qunarzz.com/travel/d7/1506/6c/bf360de7ca700d.jpg_480x360x95_01f48964.jpg,4.5,建议游览时间：2小时 - 3小时,5月至10月是到岳阳旅游的好时机，赏玩湖水、观赏荷花，体验各种岳阳旅游节日均在此段时间，不可轻易错过。,"{'岳阳楼门票成人票\n\n': ['¥70起'], '岳阳楼门票儿童票\n\n': ['¥35起'], '岳阳楼门票老人票\n\n': ['¥35起']}"," ①单门票当天有效，出园需入园，需再次购票。 ②岳阳楼+君山岛成人套票是分开两景点，门票有效期3天。 ③岳阳楼君山岛套票请至岳阳楼售票大厅取票。 ④景区门票包含：景区大门票，不含交通费。 ⑤为保证取票、入园顺利，预订时请务必填写真实姓名、手机号码等信息。 ⑥不支持刷卡，请使用现金！支持多订少取，不支持少订多取！ 
  ",1
汴河街Bianhe Street,http://travel.qunar.com/p-oi5860762-bianhejie,"

地址:
岳阳市岳阳楼区洞庭北路56号


电话:
0730-8331596

",汴河街南起岳阳楼景区，西临洞庭湖，街道全长300余米，是以岳阳楼文化、洞庭文化、巴陵文化为基础打造的一条特色仿古商业街。汴河街建筑设计古朴典雅，错落的青石台路，悠扬的古琴曲，更给这条仿古街增添一分韵味。沿青石板路而行，两侧是客栈酒家茶社、戏台楼阁皆为青砖青瓦白墙，雕窗画栋飞檐，街中有景、景中有楼，古朴典雅。沿街还有许多美食小吃、工艺品小店，已成为岳阳的一条美食街。,全年 06:00-23:59,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/1df64695db43b96f9e6d0339b6fbddf6.jpg_480x360x95_b89cfae2.jpg,4.1,建议游览时间：1小时 - 3小时,,具体收费情况以现场公示为主,时令公告：2019年7月1日至8月31日，参与“暑假免费游岳阳”活动，北京市民可凭本人有效身份证即免门票参观34个3A级及以上景区。其中国家5A级景区有岳阳楼、君山岛；国家4A级景区有石牛寨国家地质公园、屈子文化园、君山野生荷花世界景区、张谷英村景区、天岳幕阜山国家森林公园、洋沙湖国际旅游度假区（在评）等；国家3A级景区包含杜甫墓祠、沱龙峡景区、亚马逊水上乐园、连云山峡谷河流、岳阳6501风景区、五尖山国家森林公园、岳阳龙山花语世界、左宗棠文化园等。,1
平江石牛寨景区,http://travel.qunar.com/p-oi7469136-pingjiangshiniuzhaijing,,,,,,,,,,1
南湖South Lake,http://travel.qunar.com/p-oi711476-nanhu,"

地址:
岳阳市岳阳楼区

",南湖古称邕湖，西连烟波浩渺的洞庭湖，北面白鹤山与南面的龟山对峙，南津港大堤像条长长的细带把二山联系起来，为二湖的分界线，湖水蔓延交错，在峰峦之间回叠，波映峰景，情趣盎然。现在被列为省级自然风景保护区和国际龙舟赛场。南湖湖面终年碧波荡漾，幽静雅洁，湖南岸有一龙山，自东向西连绵起伏，宛如一条巨龙飞腾水面，龙山前面有九个独立的小山头，一字儿摆向洞庭湖，酷似九只乌龟被巨龙飞赶，竞游水面，为“一龙赶九龟”之胜景。北港湾口有一座古代建造的三眼桥，建在紫荆堤中间，在过去的几百年间，紫荆堤曾是岳阳通往外界的水路通道。南湖自古就是文人泛舟品鱼喝酒、饮茶吟诗的场所，李白曾作诗赞它“南湖秋水夜无烟，耐可乘流直上天。”现在南湖还是国家新辟的水上运动基地，设有画舫、摩托艇、水上自行车等运动设施。并在湖料新建了环湖游路和花园、亭榭，岳阳一年一度的国际龙舟节，便在此举行。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201211/15/e43803685a385d2dddb12cfb.jpg_480x360x95_10beda34.jpg,4.6,建议游览时间：2小时 - 3小时,,{'【含游艇出海】东山岛+鱼骨沙洲+苏峰山环岛路+南门湾纯玩一日游含专车接送\n\n': ['¥328起']},,1
岳阳文庙Yueyang Confucious Temple,http://travel.qunar.com/p-oi708890-yueyangwenmiao,"

地址:
岳阳市岳阳楼区菜园坡路岳阳二中校园内


电话:
0730-3330889

",文庙即孔庙，是古代祭祠孔子的地方，又称岳州学宫，位于岳阳二中校园内。庙中原有伴池、状元桥、回廊、大成殿，为当年岳州“百废俱兴”的壮举之一。后历经数十次重建或修缮，现存大成殿，其屋檐起翘，极具宋代建筑风格。特别是殿内16根横木，在石墩和大柱之间，垫有一个约30公分厚的鼓形横木，名叫木质，为古代建筑中所罕见。木质可以防潮，保证了大柱干燥不腐，故大成殿中的大柱虽距今900多年，依然完好无损。明弘治元年（公元1488年）8月进行过一次大修，在天花板上绘有一幅“盘龙戏凤”，至今依稀可辨，为文物中的珍品。,8:00-18:00,https://img1.qunarzz.com/travel/poi/1408/19/173ee046c8cf95fcffffffffc8d65eac.jpg_480x360x95_d3d45ff3.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
慈氏塔Cishi Tower,http://travel.qunar.com/p-oi708817-cishita,"

地址:
岳阳市岳阳楼区洞庭南路慈氏塔(岳阳市第三中学西)

",洞庭湖西南边有一塔名慈氏塔，塔高39米，为砖石结构，八角七层，造型精美，挺立湖边雄视洞庭，是“巴陵胜状”之一。塔基用麻石砌成，塔身全部用青砖砌筑，极富唐宋时期的艺术风格。塔从第二层开始，每一层的四周都设有小佛龛，里里面原是有佛像的。檐角挂小钟，每当风吹起的时候，就会听到铃铛叮叮当当悦耳的声音。此塔外观精致，只可惜内为实心，否则这也是个远眺洞庭美景的好去处。相传古代，洞庭湖里有水妖作怪，经常出来为害百姓，老百姓苦不堪言。于是大家集资，准备修一座宝塔镇妖。在修塔地点附近，住着一户人家，全家人大都被水妖涌起的恶浪吞没，只剩下一个人，人称慈氏。她听说要建塔镇妖，把多年积蓄下来的一点钱全部捐献出来，还日夜不停地为造塔的人们烧茶送水，来回奔走。不幸塔未修完，她就离开了人世。人们为了纪念她，把塔命名为慈氏塔，并在塔旁修建了慈氏寺。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1408/19/772ef70584227817ffffffffc8d65eac.jpg_480x360x95_7b3e1d3b.jpg,4.4,建议游览时间：0.2小时 - 0.5小时,"每年5-10月是最佳的旅游季节 
 
 
 
 
 



   


",免费,,1
湖心岛,http://travel.qunar.com/p-oi707414-huxindao,"

地址:
湖南岳阳市

",位于龙源水库中央，岛上险峰怪石，弥不胜举，奇花异草，目不暇接；四围青山环抱，水波涟涟。远远望去，恰如白银盘里一青螺。,全天,https://img1.qunarzz.com/travel/poi/1408/19/ea2da4b7a2881d8cffffffffc8d65eac.jpg_480x360x95_db0e7ee1.jpg,4.3,建议游览时间：1小时,四季均可。,免费,,1
