名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
德天跨国瀑布景区Detian Transnational Waterfall Scenic Area,http://travel.qunar.com/p-oi712364-detiankuaguopubujingqu,"

地址:
广西壮族自治区崇左市大新县硕龙镇德天村


电话:
400-9898-978,0771-3690199


官网:
https://www.ctsdetian.com/

",德天跨国瀑布景区位于中越边境广西壮族自治区崇左市，横跨中国和越南两个国家，宽度达200多米，是亚洲首屈一指的大瀑布，为世界第二跨国瀑布，也是影视剧《花千骨》的取景地之一。瀑布的源头是中越两国的界河——归春河，它流入越南又流回广西，经过大新县德天村，然后后从60余米高的断崖三级跌落，形成了德天瀑布的磅礴景观。瀑布左侧是越南境内水量较小的板约瀑布，两个瀑布一大一小，挂在青翠的山崖间，好像一对亲密的姐妹。游览时，可以走到瀑布对面的山腰栈道上观看瀑布的全景，如果想要近距离地看瀑布，还可以在岸边坐竹筏在河面上看景拍照。因为是两国之间的界河，这样就相当于出了一次国，河面上，还会遇到越南人划着竹筏卖点小东西，挺有意思的。瀑布上边200米处便是中越跨境街，这里汇聚了各式中越美食，如越南鸡肉粉、米饭套餐、越南春卷、越式咖啡，冰淇淋，还有玲琅满目的越南商品任您选购。在这里您和家人朋友可以登高观瀑，乘坐飞天魔毯，漫步高空玻璃栈道，体验中越边境最长大理石旱滑道的速度与激情。景区内景点：1、德天牌坊德天牌楼被称为跨国之门，进入这里也将开启您的跨国之旅。牌匾中的德字有没有什么特别？原来早在一千多年前，“德”就像多音字一样，它是多写字，有两种写法，可以有一横，也可以没有横。这一点，我们可以从唐宋元明清书法名家的墨迹中得到印证。2、界河竹排乘兴踏上竹排，悠然泛舟水面上，欣赏这迷人的自然景色。清澈的河水，如从天上倾泻而下，飞腾溅起的水雾，轻洒脸上，这声响像一串串撩人的音符，拨动着每个人心弦。置身其中，如同漫步于水墨画卷中，悠然自得，逍遥自在。2、836界碑836界碑，国界线是一个国家的重要组成部分，神圣不可侵犯。国界线的确定及地图绘制都是经过严格规定的。除去海岸线/海洋边界，中国仅陆地国界就长达2.2万多千米。要知道地球的赤道周长才约4万千米左右，我们国家的陆地国界相当于绕了地球半圈，这么长的边界线，怎样确定一拐一折的走向就是一个重大问题。3、德天寺德天寺是由德天屯村民于上世纪80年代为缅怀壮族英雄侬智高自发捐建，当地百姓为缅怀英雄每逢初一、十五，村民们都会前来进香。乞求国泰民安、五谷丰登 。4、飞天魔毯飞天魔毯位于德天跨国瀑布景区中越跨境街与1号观景平台之间，全长约356m。飞天魔毯在整体的空间设计上依托原有坡度顺势而建，实现与周边自然和谐，而在游客的空间体验上，游客登上站台，就可以实现空间移动，且飞天魔毯均速前进，平稳舒适的观赏体验被放大，不可移动便可实现遨游美景之中。6、登高望“越”该项目的修建结合了中越边境山体特征，在潺潺水声中，漫步山间木栈道及玻璃栈道让你在几百米高空俯瞰中越边境的绿水青山解锁360°水陆空观瀑新体验。7、大理石高空滑道大理石高空滑道全长480米，整体落差约180米。设有多个s型滑道，恰是一条长龙盘在中越边境青山绿水间。坐上滑道不仅可以感受到风驰电掣的惊险刺激，还能尽收眼底下的美景。,全年 08:00-22:00,https://img1.qunarzz.com/travel/d2/1703/7f/a0dabe57931207b5.jpg_480x360x95_53b69611.jpg,4.6,建议游览时间：3小时 - 5小时,4月-11月最佳，其它月份也不影响游览，只是水量少一些。 德天大瀑布的美在于变幻多姿，早、午、晚各展现出一幅幅瑰丽生动的美景。中午艳阳高照时，百米来宽的断崖上，巨瀑如海倾，跌宕50米；冲撞声回荡于山涧，数里可闻。黄昏时，夕阳刚好挂在瀑布上方，暮色中的瀑布如银帘高挂，似缟绢垂天，织上橘红偏暗的夕阳和晚霞，美得引人遐想。清晨，如果运气好，会见到彩虹银瀑同时展现的美景。瀑布猛撞河谷，激起水花飞溅，使雾气弥漫山间；朝阳东升时，瀑布前的雾气折射阳光便产生了彩虹。,"{'德天跨国瀑布日场门票+观光车票成人票\n\n': ['¥115起'], '德天跨国瀑布日场门票+观光车票儿童票\n\n': ['¥75起'], '德天跨国瀑布日场门票+观光车票学生票\n\n': ['¥75起']}",,1
明仕田园Mingshi Scenic Area,http://travel.qunar.com/p-oi720394-mingshitianyuan,"

地址:
广西壮族自治区崇左市大新县532县道


电话:
0771-3753716,0771-3755028


官网:
http://www.gxmingshi.com/

",明仕田园位于崇左市大新县西侧，距离有名的德天大瀑布景区约一个小时车程，游客通常会将两个景区一并游览。明仕田园是独特的喀斯特地貌，山势俊秀，周围又有流水环绕，景色极为漂亮。景区除了山水相映的景色外，还有清新淳朴的村寨、农田等风光。游客来此可以乘竹筏漂流、拍照观景，感受美妙的景色和宁静的田园生活。热播电视剧《花千骨》曾来此取景，使这里更是声名大噪。明仕田园面积很大，主要包含明仕河上游自然的河流、田园风光和下游处建设的壮族民居博物园等。游客前来游玩有竹筏漂流和陆上观光两种方式，一般准备半天时间前来游玩比较合适。也有很多游客会选择在景区内住宿一晚，悠闲地感受周围美景，体味田园生活的清新和幽静。竹筏漂流是游玩景区热门的方式，可以先到达下游的壮族民居博物园，在此购买漂流票，有观光车可以将游客送至漂流起点。漂流一共约1个多小时，船上配备导游可以一路讲解。漂流的路上能看到倒映在河水里的秀美山峰，景色和桂林的黄布倒影等风光十分相似；还会经过阡陌纵横的农田区、安静的村庄等，一幅幅乡村画卷让人心旷神怡。竹筏漂流的终点便是壮族民居博物园，里面有图腾广场、人工湖景、壮族村落、土司民居、风情小街等，主要都是反映壮族风俗的雕塑、民居建筑，可以简单参观一下。另外这里还常有壮族歌舞表演，遇到了可以停下脚步观赏一番。另一种游玩的方式是陆上观光，先是观看壮族民居博物园，然后可以在此租赁一辆自行车骑行，在周围游玩观光。自行车多为从当地宾馆或农家租赁，租赁时会给一张骑行的路线图，沿着景区旁的公路，有几条路线可供选择。一般推荐的是向西北方向（即向河上游方向），便可以观看到与竹筏漂流类似的优美喀斯特和田园风光。住宿餐饮明仕田园景区档次较好的住宿地点是明仕山庄，就在景区内，有环境优美的景观房和特色的民族装饰等。景区外有明仕艺术酒店、名仕快捷酒店等快捷式宾馆，还有一些当地的农家民居，环境都还不错，可以根据个人兴趣选择入住。用餐也大多是在住宿的地方，可以点一些地道的农家菜，品尝一下，品味乡村生活。,全年 08:00-17:30,https://img1.qunarzz.com/travel/d5/1504/79/b37a3162551052.jpg_480x360x95_2857eeca.jpg,4.2,建议游览时间：12小时 - 3天,,"{'明仕田园竹筏门票成人票\n\n': ['¥110起'], '德天跨国瀑布门票+明仕田园风景区门票成人票\n\n': ['¥209起'], '明仕田园风景区电子导览服务大小同价\n\n': ['¥9起']}",,1
沙屯多级瀑布,http://travel.qunar.com/p-oi712887-shatunduojipubu,"

地址:
广西崇左市硕龙镇硕龙村

",又称念底瀑布，位于沙屯的归春河段上的青山峡谷中，西距县城约50公里，国家二级景点。瀑布约宽 60米，总落差约20米，分七级奔流而下。两岸高山峻岭，丛林繁茂，古藤盘绕。河水从10米高的峡涧冲出，断崖飞泻，跌水在第一级下形成约 500平方米的清潭，水流分六层拾级而下，级间差2―3米左右。在波涛飞沫中常有竹筏渔人出没。,全天,https://img1.qunarzz.com/travel/d8/1503/4d/cdf4962722c558.jpg_480x360x95_42d86f44.jpg,5.0,,,免费,,1
龙宫仙境Bagui Zhuangwangcheng Scenic Area,http://travel.qunar.com/p-oi717228-longgongxianjing,"

地址:
崇左市大新县那岭乡那岭村


电话:
0771-5028855

",龙宫仙境景区位于广西壮族自治区崇左市大新县那岭乡，距离广西首府南宁市165公里，距离吴圩机场158公里，是融合观光、休闲、特色溶洞体验为一体的综合性旅游区。龙宫仙境景区利用天然溶洞以原生态冰雪为主题，打造了一个近三万立方米的冰洞。借助洞内原有景观，结合天然冰雪技术人工造景，把天然溶洞打造成壮观的冰雪溶洞，有冰幔、冰梯田、冰乳石、冰花、冰挂、冰隧道等冰雪奇观。冰洞内常年保持零下5～8度，各种形态的冰雕琳琅满目，还有冰滑道、飞雪等互动项目，呈现出罕见壮观的南...龙宫仙境景区位于广西壮族自治区崇左市大新县那岭乡，距离广西首府南宁市165公里，距离吴圩机场158公里，是融合观光、休闲、特色溶洞体验为一体的综合性旅游区。龙宫仙境景区利用天然溶洞以原生态冰雪为主题，打造了一个近三万立方米的冰洞。借助洞内原有景观，结合天然冰雪技术人工造景，把天然溶洞打造成壮观的冰雪溶洞，有冰幔、冰梯田、冰乳石、冰花、冰挂、冰隧道等冰雪奇观。冰洞内常年保持零下5～8度，各种形态的冰雕琳琅满目，还有冰滑道、飞雪等互动项目，呈现出罕见壮观的南国冰雪奇观。目前，该项目被大世界基尼斯认证为全国大的冰雪溶洞，游客无需到南北极，更不需要等到冬天，在中越边关就能摸得着真雪、真冰，一年四季都能体验冰天雪地的感觉。壮王洞属典型的南方亚热带喀斯特地貌自然溶洞，洞内空间宽广，钟乳石景观丰富壮丽、气势磅礴。洞内冬暖夏凉，四季如春，常年恒温保持在18摄氏度。壮王洞以“世界溶洞新传奇”“中国龙文化天然博物馆”等享誉海内外，被中国溶洞专家，中国地质专家公认为：“科学的世界、艺术的世界、童话的世界”。原龙宫仙境景区还有崖壁飞龙、那河漂流等供游客体验参与的互动项目，其中崖壁飞龙项目全长2500米，采用中国高铁滑线技术，是目前国内大跨距长轨道的滑轨游览车。那河漂流利用原生态那河那水为依托，游客在休闲娱乐的同时，可乘漂流尽赏那山那水风光。景区正在规划筹建的二期项目，则以那山那水为背景，结合当地民族特色，利用那田雨乡的独有气候资源条件，开发康养温泉、那田花海、那岭民宿等项目，彼时景区想会成为集康养、特色观光、民族体验、休闲度假于一体大型旅游度假胜地。,8:30-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1562440511822100116000000zaixu0414_D_640_10000.jpg_480x360x95_0d790517.jpg,4.5,建议游览时间：3小时 - 5小时,,"{'龙宫仙境门票成人票\n\n': ['¥85起'], '龙宫仙境门票优待票\n\n': ['¥70起'], '龙宫仙境城旅游区+冰洞门票成人票\n\n': ['¥94起']}",,1
浦寨边境贸易区,http://travel.qunar.com/p-oi7588788-puzhaibianjingmaoyiqu,"

地址:
崇左市 浦寨边境检查站附近

",1992年广西开始开发建设浦寨，至今已投资约4亿元，建有近千个商业铺面，来自越南、泰国等东盟国家和我国20多个省市自治区的商家云集于此，年均交易额超过10亿元。现在，浦寨已成为中越边境的旅游中心和购物中心。凭祥浦寨边贸点是中国商品出口越南和东南浦寨亚的重要通道，是我国直通东盟自由贸易区的大陆桥。从浦寨出口到越南的中国商品有彩电、DVD、VCD、空调机、电饭锅、瓷器、成衣、日用百货、玩具、塑料制品等，每天约有300多吨，其中相当一部分转口老挝和柬埔寨。,全天,https://img1.qunarzz.com/travel/d8/1604/8e/08908af27d19b8f7.jpg_480x360x95_f697459a.jpg,4.0,建议游览时间：0.5小时 - 1.5小时,,免费,,1
左江花山,http://travel.qunar.com/p-oi718114-zuojianghuashan,"

地址:
广西壮族自治区崇左市宁明县左江边崖壁上

","左江花山风景区属国家级风景名胜区。有神秘的的原始森林，世界罕见的崖壁画群，独具特色的民族山寨，秀丽的左江风光。左江河岸曲折，峭壁兀立，沿江河岸景色娟秀，山寨土人情趣无穷，森林沐浴，猎奇无比，丰富多彩，别有一番大自然情趣，令人陶醉！左江沿岸200多公里长的陡峭崖壁上,有着规模巨大的原始崖壁画群。整个画群分为79个点、178处、287组。其中宁明花山壁画是画群中画幅最大、图象最多、分布最密、形象最高大的一幅，可谓左江原始崖壁画之王，是左江原始崖壁画的代表作，故...左江花山风景区属国家级风景名胜区。有神秘的的原始森林，世界罕见的崖壁画群，独具特色的民族山寨，秀丽的左江风光。左江河岸曲折，峭壁兀立，沿江河岸景色娟秀，山寨土人情趣无穷，森林沐浴，猎奇无比，丰富多彩，别有一番大自然情趣，令人陶醉！左江沿岸200多公里长的陡峭崖壁上,有着规模巨大的原始崖壁画群。整个画群分为79个点、178处、287组。其中宁明花山壁画是画群中画幅最大、图象最多、分布最密、形象最高大的一幅，可谓左江原始崖壁画之王，是左江原始崖壁画的代表作，故人们把左江沿岸的崖壁画统称为花山崖壁画。宁明花山崖壁画绘制在宁明县明江东岸海拔345米、相对高度250米、长约290米的花山悬崖峭壁口上，画面宽约150米，高约95米，画有各种图象约1800个。这些图象多为人像，也有动物和器具，画中人物形态各异，基本由“大”字变化成形，只粗画体态，不细描五官。人像周围有单层或双层圆圈，象征太阳和月亮......整个画面布局工整，繁而不乱，均衡对称，结构严谨；画像简单生动，古朴而原始。据考证，崖壁画始画于春秋，延至后汉，距今约一千八百年至四千年，它不仅是壮族先民和中国的文化遗产，也是世界崖画中的珍宝。花山壁画的主题、内容、颜色原料成分和如何绘制等这些至今还是一个不解之谜，它巨大的艺术价值和重要的历史价值吸引了众多的专家学者前来考察、研究，也已经被列为国家重点文物保护单位。",8:00-17:00,https://img1.qunarzz.com/travel/d7/1710/26/a4430be18840b9b5.jpg_480x360x95_810b4c65.jpg,4.5,,,80元（含来回的船费）,,1
安平仙河景区Anpingxianhe Sceneic Area,http://travel.qunar.com/p-oi22710350-anpingxianhejingqu,"

地址:
崇左市大新县雷平镇安平村


电话:
19978119399

",在广西崇左市大新县有一条名为黑水河的河流，河水曲折而行，在青山绿水间蜿蜒出一个个风景秀丽的神奇景观。其流经大新县雷平镇安平村时河面仙气萦绕、自成画卷，故称其为安平仙河。安平仙河景区是AAAA级景区，景区内青山秀水，青竹苍翠欲滴，沿江泛舟，构成“山水与长天共一色”的自然景观，沿途有八孔桥、水上森林、吊索桥、娘娘抱太子山、龙碧滩瀑布、土司码头、土司衙门、城隍庙、皇光桥、会仙岩等多处景点及十多个风格各异、形态万千的岛屿，其中大的岛屿叫“婆皇岛”，有两百多亩...在广西崇左市大新县有一条名为黑水河的河流，河水曲折而行，在青山绿水间蜿蜒出一个个风景秀丽的神奇景观。其流经大新县雷平镇安平村时河面仙气萦绕、自成画卷，故称其为安平仙河。安平仙河景区是AAAA级景区，景区内青山秀水，青竹苍翠欲滴，沿江泛舟，构成“山水与长天共一色”的自然景观，沿途有八孔桥、水上森林、吊索桥、娘娘抱太子山、龙碧滩瀑布、土司码头、土司衙门、城隍庙、皇光桥、会仙岩等多处景点及十多个风格各异、形态万千的岛屿，其中大的岛屿叫“婆皇岛”，有两百多亩。近年来，众多影视作品对安平仙河也比较青睐，电视连续剧《蜀山战纪》和《花千骨》，都有众多的镜头是在安平仙河取景拍摄。比如白子画带花千骨下山游历乘竹筏就在安平仙河的龙碧滩瀑布，还有桃花岛，蓬莱仙岛等等。游览安平仙河景区可随心选择仙河泛舟、骑行漫游、徒步湿地等方式游览，乘坐游船时可欣赏河岸风光，随时可见清澈的河水平缓地在船下流动，倒影着青山绿树、蓝天白云，构成一幅天然的山水画。当然，你也可以沿河漫步，就像自己行走在山水画卷之中，还随处可见各类野生飞鸟和小松鼠在林里山间嬉戏，但是要小心，可别被这山水美景给醉晕了。,8:00-17:30；游船满员出发或整点出发。具体开放时间以景区现场公示为准。,https://img1.qunarzz.com/piao/fusion/2103/e0/7e31814f17e9ee02.jpg_480x360x95_912af164.jpg,4.6,建议游览时间：12小时 - 3天,,{'安平仙河游船票成人票\n\n': ['¥108起']},,1
凭祥友谊关Pingxiang Friendship Pass,http://travel.qunar.com/p-oi710429-pingxiangyouyiguan,"

地址:
崇左市凭祥市南人路83号友谊关景区


电话:
0771-5973866,18978139098

",友谊关古称镇南关，它始建于明代洪武年间，是中国古代九大名关之一，也是目前的九大关中一个仍在行使通关职能的关口。友谊关是一座城楼式建筑，高22米，底层是坚实的城墙，中间是拱形城门。关楼左侧是左弼山城墙，右侧是右辅山城墙，两座山均可以攀爬上去看看，其中一座上山只需十分钟左右，这里可以欣赏到古炮台，领略昔日镇南关的沧桑历史与磅礴气势；另一座需四十分钟左右才可登顶，届时便可将中越边界美景尽收眼底。如今这里作为一个通关口岸而存在，大多数人都把友谊关当作去越南的一个过渡站，专程前来游玩的游客并不多，若是对这一重要历史标志感兴趣，专程来看看也是不错的。,8:00-18:00,https://img1.qunarzz.com/travel/d9/1512/5e/25b29da3dedd4ef7.jpg_480x360x95_7b624d12.jpg,4.5,建议游览时间：2小时 - 3小时,,{'友谊关电子导览服务大小同价\n\n': ['¥6起']},,1
恩城乡Enchengxiang,http://travel.qunar.com/p-oi710753-enchengxiang,"

地址:
广西壮族自治区崇左市大新县恩城乡

",恩城乡位于广西壮族自治区崇左市大新县，辖社区1个，村委会7个和村（居）民小组83个。拥有自然屯65个。,全年 全天开放,https://img1.qunarzz.com/piao/fusion/1812/e0/1b3d926d9e23ba02.jpg_480x360x95_461e222a.jpg,4.5,,,具体收费情况以现场公示为主,,1
板约瀑布,http://travel.qunar.com/p-oi722526-banyuepubu,,位于广西边陲大新县、中越边境交界处归春河上游越南一方。与紧邻的德天瀑布相连，堪称世界第二大跨国瀑布，仅次于美国和加拿大边境的尼亚加拉大瀑布。瀑布上游河水时急时缓，时分时合，迂回曲折，于参天古木之间、花草掩映之下，百鸟鸣徊。忽遇断崖、飞泻而下，恰似一巨大银练高悬于谷峡之上。站在瀑布下，水气蒸腾，上接云汉，滚滚洪流，涛声回荡于山谷，声若巨雷数里可闻。若遇晴日，彩虹飞渡，其魄力、其风采、其气势震魂摄魄，摇动心旌。,,https://img1.qunarzz.com/travel/d3/1610/17/13d6fc8873d076b5.jpg_480x360x95_bf39fcf3.jpg,4.4,,,,,1
