名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
高林山,http://travel.qunar.com/p-oi36259145-gaolinshan,,"高林山位于巢湖，山上景色秀丽、空气清新，很多发电风车分布在山顶，远远望去，非常漂亮，站在山顶，人们还可以眺望城市美景。
",,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
鼓山Gu Mountain,http://travel.qunar.com/p-oi7645622-gushan,"

地址:
巢湖市居巢区长江东路鼓山风景区管理处


电话:
0551-82359598

",鼓山又名亚父山，是谋略家范增的故里，亦因状似一面巨鼓而得名。鼓山占地2200多亩，森林覆盖面积约1700多亩，山中林禅并重，遍山苍翠，古柏参天，郁郁葱葱，成为江淮游览进香胜地之一。山腰有范增汉白玉雕像及范增亭。山顶建有一座明七层暗八层鼓山塔。沿亚父街往山上大约300米，就到了鼓山大门。鼓山大门是一座气势恢宏，层次错落的仿古建筑。上面有上下两层的琉璃瓦飞檐门楼，下面是四根红色廊柱。门楼上书“鼓山寺”三个金字，是赵朴初先生亲笔题写。下面廊柱上刻有张凯帆题写、方克逸撰写的对联：“绝顶摩天，慈怀纳地”。,全年 周一-周五 09:00-17:00;全年 周六 09:00-16:00,https://img1.qunarzz.com/piao/fusion/1501/fe/344783680bec96.jpg_480x360x95_d60d813d.jpg,4.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,优惠政策：身高1.2米—1.5米购优惠票；60岁—69岁老年凭证购买优惠票。,1
张治中故居Zhangzhizhong Former Residence,http://travel.qunar.com/p-oi5740559-zhangzhizhongguju,"

地址:
巢湖市居巢区黄麓镇洪家疃村


电话:
0551-88565500

",张治中故居由故居和桂翁堂组成。位于巢湖市居巢区黄麓镇洪家疃村，桂翁堂座落在洪家疃村旁黄麓师范校园内。两处房屋系上世纪二十年代末、三十年代初建筑物，砖木结构、小瓦屋面。张治中：安徽巢县（今巢湖市居巢区）人，1916年保定军官学校毕业。北伐前任黄埔军校入伍生总队总队长、军官团团长。1926年参加北伐。“八一三”事变时任第九集团军总司令，参加并直接指挥淞沪杭抗战。抗战胜利后，任西北行营主任兼新疆省主席。1945年至1946年“三赴延安”积极推进国共和谈，并作为代表参加重庆谈判。他毕生主张国共合作，不遗余力地为国内和平而奔走，被誉为“和平将军”。,全年 周二-周日 9:00-17:00,https://img1.qunarzz.com/travel/poi/1706/54/537a5604b1dd0437.jpg_480x360x95_baea633c.jpg,3.9,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
李克农故居Likenong Former Residence,http://travel.qunar.com/p-oi5740561-likenongguju,"

地址:
巢湖市炯炀镇中李村（烔忠路附近）


电话:
0551-88511272

",李克农故居位于巢湖市居巢区烔炀镇中李村。故居现占地面积1521平方米，建筑面积550平方米。1999年被列为巢湖市爱国主义教育基地。2004年10月，被省政府定为省级文物保护单位。2005年，被评为全省十大红色旅游景点之一。李克农（1899—1962）安徽巢县（今巢湖市居巢区）人，青年时代参加革命。土地革命期间任中国工农红军工作部部长、中共中央联络局局长。抗日战争时期先后任八路军驻上海、南京、桂林办事处处长、中共中央社会部副部长等职。解放战争时期，任中共中央社会部部长、军委情报部部长。他长期在情报和保卫等特殊战线上工作，以顽强的斗志和灵活的工作方法，出生入死，屡建奇功，被誉为“传奇将军”。,8:30-16:30（16:00停止入场）；每周一闭馆 （国家法定节假日除外）。,,4.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
冯玉祥旧居Former Residence of Feng Yuxiang,http://travel.qunar.com/p-oi5740562-fengyuxiangjiuju,,旧居位于巢湖市夏阁镇竹柯村，1995年被确定为巢湖市爱国主义教育基地。2006年被批准列入第六批全国重点文物保护单位名单。旧居占地面积4690平方米，建筑面积432平方米，主体建筑共有5幢22间房屋，分议事厅、侍卫室、卧室、书房等。,,,3.9,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
姥山岛Laoshan Island,http://travel.qunar.com/p-oi702874-laoshandao,,,,,,,,,,1
周瑜墓Tomb of Zhou Yu,http://travel.qunar.com/p-oi705840-zhouyumu,"

地址:
安徽省合肥庐江县城军二东路横街朝墓巷

",周瑜墓在安徽省合肥市庐江县庐城镇。该墓在东汉建安十五年（公元210）建立。墓地约为5亩，北域高约8尺，有封无表，平地起坟，用3×6×12小车纹汉代大砖砌成，墓门向东，墓周围绕以石刻栏杆，旁边建有木质六角“谈笑亭”。历经了千年，冢塌亭倒，石栏毁灭无存。,全年 8:00-18:00,https://img1.qunarzz.com/travel/d5/1701/be/0975ffc4627685b5.jpg_480x360x95_cc5887fc.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
银屏山Yinping Mountain,http://travel.qunar.com/p-oi715801-yinpingshan,"

地址:
巢湖市南郊


电话:
0551-88790641

",银屏山是巢湖境内高峰，海拔约508米，四周山峦起伏，九峰环抱，姿若雄狮，有“九狮抱银屏”之说。山中谷幽、林密，加上溶洞、奇花构成一幅幅优美的图画。银屏牡丹花，生长在一堵巨大的犹如斧削、光滑如屏的悬崖峭壁之上，为一株野生白牡丹花，风姿绰约，殊为举世罕见。仙人洞位于牡丹花的绝壁之下，洞内盘桓曲折、怪石嶙峋、钟乳纷呈，宛若地下迷宫，是典型的喀斯特地貌溶洞景观。位于月亮山顶的牡丹亭，三层八角，恢宏典雅。巢湖较高峰——银屏山顶，是秋天登高临远的好去处，可以“南看长江飘玉带，北观巢湖数点舟”。山顶上的龙兴寺庙，参差错落，晨钟暮鼓，号称“江北九华”，是参禅拜佛的较佳境地。,8:00-16:30,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/15574825932501557429300427100c14000000w28umE4CCD64010000jpgprocautoorient.jpg_480x360x95_6adafe42.jpg,4.2,建议游览时间：4小时 - 5小时,银屏山的最佳旅游季节是每年的谷雨前后一、二天是银屏奇花---牡丹开放的时候，这个季节也是万物复苏、春意盎然、百花齐放的时候，这时去银屏山是最佳的季节，可以观奇花、赏银屏山美景。,"{'银屏山门票成人票\n\n': ['¥55起'], '银屏山门票优待票\n\n': ['¥30起'], '银屏山电子导览服务大小同价\n\n': ['¥5起']}",,1
泊山洞Boshan Cave,http://travel.qunar.com/p-oi709459-boshandong,"

地址:
芜湖市无为市蜀山镇


电话:
18325337715

","泊山洞位于无为西南蜀山镇境内的下泊山，距县城38公里，地处无为、庐江、巢湖交界处，军二公路横亘山下，交通十分便利。泊山洞是形成于亿万千万年前的古老的石灰岩溶洞，奇景秀色，鬼斧神工，被子人们誉为“江淮独秀”。全洞庭湖面积约定4000平方米，游程长城500余米，共有三层，分18大景区，86个景点，洞道高低起伏，幽邃曲折，时而狭窄崎岖，时而宏大开阔，洞庭湖中的钟乳石千姿百态，晶莹剔透，若人物佛像，似飞禽走兽，且洞中有洞、有山、有水，洞内冬暖夏凉，四季如春，进洞游览，可一睹泊山洞大佛、龙王宫、灵霄宝殿、黄姑出嫁、鳄鱼汲水、众仙祝寿、泊山龙潭等名胜，尤其是洞中的石枝、石旗、石花、石鹅管精美绝纶。据《徐霞客游记》记载，泊山因在白湖之畔，常有来往船只在此停靠，故称下泊山。传说黄姑是黄巢的侄女，她文武双全，曾带兵来此扎寨，与军师李俊儒举行婚礼。洞壁“""喜”字、“寿”字依稀可辨，梳妆台上的攻瑰花、化妆品，是女兵们祝贺的礼物，洞房中的一只寿龟，似在道贺。洞外山上的慈姑庙相传是为纪念黄巢侄女黄姑而建，香烟缭绕，游人不绝。这也是洞西的无为黄姑镇名字的由来。1996年，洞侧新建了一座“泊山寺”。",全年 8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/067afeb7982366dab0ba5917a40797f3.jpg_480x360x95_828a7df1.jpg,3.5,建议游览时间：1小时,,{'巢湖泊山洞驴迹电子导览门票大小同价\n\n': ['¥7起']},,1
东庵森林公园Guanyin Mountain Forest Park,http://travel.qunar.com/p-oi714900-dongansenlingongyuan,"

地址:
巢湖市巢湖南畔，沿巢庐路离城5公里处。


电话:
0551-82601199,0551-82606405

",东庵森林公园位于市区南郊，巢庐路5公里处。公园森林覆盖率98%，绿化度100%，植物有50多科250多种，野生动物100多种。园中有500多年的古桂花王，有遮天蔽日600年之久的古银杏，有江淮有名的金钱松，毛竹园长年苍翠葱绿。其动物和鸟，以灰喜鹊、猫头鹰、山鸡、刺猾等为主的野生动物隐没栖息于密林之中。清康熙年间修建的圆通禅寺遗迹居于公园腹地，目前公园拥有自然景点养心池、芙蓉谷、青春乐园、翠竹奇松、野猪林、迎宾松、骆驼峰等30多个。,全年 8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/2208921093af435ad305ed3afd54fb3c.jpg_480x360x95_c9bf194d.jpg,4.7,建议游览时间：1小时,,{'东庵森林公园驴迹电子导览（不含门票）票成人票\n\n': ['¥7起']},,1
天井山Tianjing (Sky Well) Mountain,http://travel.qunar.com/p-oi704434-tianjingshan,"

地址:
芜湖市无为县城西南40公里处


电话:
0553-2531827

",位于无为县城西南40公里处，西与庐江县接壤，北与巢湖市居巢区毗临，总面积1.8万亩。山中有猫头鹰、黄鹂、杜鹃、白鹭及各种龟蛇等近百种动物。植物资源更是丰富，达千余种，其中乔灌木42科234种。天井山公园著名的山峰有灵壁、陡壁、天井山、笔架山、周家大山等。山顶有一口天井，终年不枯不溢，故名天井山。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8153e61e82a5f6fcf0ccd7ebb7692841.jpg_480x360x95_efa8f8d4.jpg,4.2,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
冶父山,http://travel.qunar.com/p-oi712198-yefushan,"

地址:
安徽省巢湖市庐江县庐巢路


电话:
0565-7411185

","冶父山，距庐江县城东约9公里，峰峦叠翠，庙宇辉煌，古迹遗存，佳传甚多，有""江北小九华""之称。据传春秋时，铸剑之父欧冶子曾在此山铸剑，山上存有铸剑池古迹，因此得名冶父山。诗人赞道：“长剑欲一淬，夜寻冶父山，揽衣望奇气，直在斗牛间。”冶父山自麓至巅凡五里许，群峰耸拔，盘旋而上，远眺江光，俯视五湖（沙湖、黄陂湖、后湖、白湖、巢湖）林峦崤密，雄俊秀丽，甲江淮间诸山，每当大雨初雾，晴空万里，登上顶峰，上有浮云紫雾，下有群峦叠翠，蔚成“冶父晴岚”，旧为庐江县八...冶父山，距庐江县城东约9公里，峰峦叠翠，庙宇辉煌，古迹遗存，佳传甚多，有""江北小九华""之称。据传春秋时，铸剑之父欧冶子曾在此山铸剑，山上存有铸剑池古迹，因此得名冶父山。诗人赞道：“长剑欲一淬，夜寻冶父山，揽衣望奇气，直在斗牛间。”冶父山自麓至巅凡五里许，群峰耸拔，盘旋而上，远眺江光，俯视五湖（沙湖、黄陂湖、后湖、白湖、巢湖）林峦崤密，雄俊秀丽，甲江淮间诸山，每当大雨初雾，晴空万里，登上顶峰，上有浮云紫雾，下有群峦叠翠，蔚成“冶父晴岚”，旧为庐江县八景之一。1992年，冶父山被国家林业部批准为国家森林公园。冶父山巅之上，有一座古寺高耸、禅房幽深的建筑群，这就是有名的伏虎寺。相传远古时候，有一个相貌奇丑、双目失明的孩子，被父母遗弃，巧遇一只老虎路过，衔入洞中奶大，并刨出泉水，治好了孩子的眼睛。孩子长大后当了和尚，老虎和他形影不离。后来到了冶父山，建庙安身，传经修道。此事被唐昭宗皇帝李晔知晓，就敕封他为""孝慈伏虎禅师""，""伏虎寺""也因此得名。山上山下，也由此衍生了虎刨泉、系虎墩、伏虎禅师塔、报恩寺等多处古迹名胜。据冶父山志记载，伏虎禅师乃庐江黄屯人，因道行高洁，禅理圆融，声振朝野，唐昭宗闻其名赐号“孝慈伏虎禅师”，敕建无量殿与山顶，建冶父寺于南麓，开毗尼法坛，子第受戒八百余众。到了宋代，宋太祖赐额曰“实际禅师”，山上山下连成一体，形成一个庞大的宗教群，成为江淮闻名的十方丛林，素有“江北小九华”之称。",8:00 - 17:00,,--,,,10元,,2
皖中奇石馆,http://travel.qunar.com/p-oi706869-wanzhongqishiguan,"

地址:
安徽省巢湖市庐江县城长江东路东侧

",该馆系中国收藏家协会会员、青年画家王衍平创建。馆内收藏了灵壁石、无为军石、淮南龟纹石、歙县矾石、巢湖散兵石、六安锰石、巢湖斧劈石、皖南砂积石、石台钟乳石、庐江矾石、莹石等中外各地名石精品1000多件、300余吨。该馆还集知识性、趣味性为一体的高品位奇石馆，1997年夏开馆以来，已接待中央、省等各级领导和海内外专家、佳宾3.4万人，是我市对外的石文化窗口。,8:00-18:00,,--,,,10元,,2
