名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
明月寺,http://travel.qunar.com/p-oi40005874-mingyuesi,,,,,0.0,,,具体收费情况以景区现场公示为主,,2
西龛寺,http://travel.qunar.com/p-oi40005159-xikansi,,西龛寺位于巴中市巴州区，这里有佛龛，造像多为隋唐时期风格，雕刻精美，令人惊叹。,,,0.0,,,具体收费情况以景区现场公示为主,,2
义阳山,http://travel.qunar.com/p-oi40004916-yiyangshan,,,,,,,,,,2
白乳溪石窟,http://travel.qunar.com/p-oi40004526-bairuxishiku,,,,,,,,,,2
雷辅天将军墓,http://travel.qunar.com/p-oi39913725-leifutianjiangjunmu,,,,,0.0,,,,,2
龙耳山,http://travel.qunar.com/p-oi39891301-longershan,,,,,0.0,,,,,2
海山情园景区,http://travel.qunar.com/p-oi39874146-haishanqingyuanjingqu,,,,,0.0,,,,,2
书院街-道路,http://travel.qunar.com/p-oi39626492-shuyuanjie_daolu,,,,,0.0,,,,,2
得汉城村,http://travel.qunar.com/p-oi39587515-dehanchengcun,,,,,0.0,,,,,2
神牛溪景区,http://travel.qunar.com/p-oi38992413-shenniuxijingqu,,园区以发扬“为民服务孺子牛、创新发展拓荒牛、艰苦奋斗老黄牛”精神，发展乡村旅游，注册“神牛溪”商标，生产加工文创产品及“关公有礼”有机农副产品。园区重点打造“一水一洞一漂流”，建有迎宾瀑布、爱情鹊桥、云溪谷、神水井、瀑布群、牛角福洞、无动力乐园、滑世界乐园、丛林魔网乐园、山道滑车、河道游船、周末乡村集市以及拓荒云舍康养民宿、洞中餐厅等项目，打造集风景揽胜、休闲度假、餐饮娱乐、拓展培训、会议接待为一体的乡村旅游胜地。,,,2.5,,,,,2
铜包山,http://travel.qunar.com/p-oi38925321-tongbaoshan,,,,,--,,,,,3
白石寺村,http://travel.qunar.com/p-oi38874925-baishisicun,,,,,--,,,,,3
山水化湖景区,http://travel.qunar.com/p-oi38818612-shanshuihuahujingqu,,,,,--,,,具体收费情况以现场公示为主,,3
洛迦山普渡寺,http://travel.qunar.com/p-oi38818011-luojiashanpudusi,,,,,--,,,具体收费情况以现场公示为主,,3
巴中桃花山庄,http://travel.qunar.com/p-oi38817265-bazhongtaohuashanzhuang,, 人们都说为了浪漫的遇见 春暖花开，让这个春天风情万种又是一年踏青出游的大好时光！花海恋上春天！数百万桃花悄然绽放 2022巴中化成镇十里桃花花海  浪漫来袭，向全民开放,,,4.7,,,,,3
西龛山,http://travel.qunar.com/p-oi38807238-xikanshan,,,,,--,,,具体收费情况以现场公示为主,,3
铜城寨村,http://travel.qunar.com/p-oi38683888-tongchengzhaicun,,铜城寨村位于巴中市恩阳区，形成于明代，地势“三寨围一梁”，村子里古街、古城、古庙等古迹保存完好。铜城寨村内的建筑大多为土木结构，古色古香，颇具规模。,,,--,建议游览时间：3小时 - 5小时,,具体收费情况以现场公示为主,,3
李十三·万寿宫,http://travel.qunar.com/p-oi38678310-lishisanwanshougong,,,,,0.0,,,具体收费情况以现场公示为主,,3
云顶茶乡景区,http://travel.qunar.com/p-oi38340812-yundingchaxiangjingqu,,,,,5.0,,,具体收费情况以现场公示为主,,3
香炉山,http://travel.qunar.com/p-oi38337607-xianglushan,,香炉山位于南江县，人们可以直接坐索道到山顶赏红叶，看日出，景色秀丽。,,,0.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3
Pottinger PeakPottinger Peak,http://travel.qunar.com/p-oi38162590-pottinger_peak,,,,https://flight-feed.qunarzz.com/as3/401/image/poi_vishnu/5e36bc77-cf5b-45bf-a503-a70600a2a3be.jpg,--,,,具体收费情况以现场公示为主,,4
黑熊沟,http://travel.qunar.com/p-oi38042511-heixionggou,,,,,0.0,,,具体收费情况以现场公示为主,,4
苏维埃红场旧址,http://travel.qunar.com/p-oi38035047-suweiaihongchangjiuzhi,,,,,0.0,,,具体收费情况以现场公示为主,,4
回风亭,http://travel.qunar.com/p-oi37807274-huifengting,,,,,0.0,,,,,4
芍药花海景区,http://travel.qunar.com/p-oi37806887-shaoyaohuahaijingqu,,,,,0.0,,,具体收费情况以现场公示为主,,4
毛浴古镇,http://travel.qunar.com/p-oi37806711-maoyuguzhen,,,,,0.0,,,,,4
壁山公园,http://travel.qunar.com/p-oi37806461-bishangongyuan,"

地址:
壁山西路40号

",,全年 全天开放,,0.0,,,具体收费情况以现场公示为主,,4
空山天盆风景区,http://travel.qunar.com/p-oi37806352-kongshantianpenfengjing,,,,,5.0,,,具体收费情况以现场公示为主,,4
皇家山景区,http://travel.qunar.com/p-oi37800993-huangjiashanjingqu,,,,,5.0,,,具体收费情况以现场公示为主,,4
千佛山景区,http://travel.qunar.com/p-oi37532141-qianfoshanjingqu,,"千佛山景区位于平昌县，景区内有一处石刻古迹，非常珍贵；山上景色秀丽、气候宜人，美丽的自然风光，使这里成了人们登山的好地方。
",,,3.0,建议游览时间：3小时 - 4小时,,,,4
南龛风景区-飞霞阁,http://travel.qunar.com/p-oi36792555-nankanfengjingqu_feixia,"

地址:
巴中市巴州区南龛坡44号


电话:
0827-2632681

",,全年 09:00-18:00,,3.0,,,包含于南龛风景区内，南龛风景区景区门票5元，通用于南龛风景区门票,,5
南龛风景区,http://travel.qunar.com/p-oi36767675-nankanfengjingqu,"

地址:
巴中市巴州区南龛路


电话:
0827-5252273

", 南龛景区位于巴中市巴州区，以南龛摩崖造像和南龛公园为主要景观。南龛公园绿植丰茂，风景秀丽，融自然景观和人文景观于一体，建有飞霞阁、人工湖、山顶休闲广场、红军纪念园等。,全年 09:00-18:00,,4.0,建议游览时间：2小时 - 3小时,,,,5
红军经理处旧址,http://travel.qunar.com/p-oi36680825-hongjunjinglichujiuzhi,"

地址:
巴中市恩阳区魁字湾一街恩阳古镇内


电话:
0827-3369109

",,全年 09:00-18:00,,4.3,建议游览时间：0.5小时 - 1小时,,,,5
恩阳县革命法庭旧址,http://travel.qunar.com/p-oi36680804-enyangxiangemingfating,"

地址:
巴中市恩阳区魁字湾一街恩阳古镇内


电话:
0827-3369109

",,全年 09:00-18:00,,4.3,建议游览时间：0.5小时 - 1小时,,,,5
要路山村Yaolushan Village,http://travel.qunar.com/p-oi35474396-yaolushancun,,,,,--,,,具体收费情况以现场公示为主,,5
光雾山名人度假酒店,http://travel.qunar.com/p-oi35439216-guangwushanmingrendujia,,,,,--,,,,,5
王重岩,http://travel.qunar.com/p-oi35320604-wangzhongyan,,,,,--,,,具体收费情况以现场公示为主,,5
东榆铺Dongyupu Village,http://travel.qunar.com/p-oi35306342-dongyupu,,,,,--,,,具体收费情况以现场公示为主,,5
杜鹃岭五号观景台No. 5 Observation Deck of Rhododendron Ridge,http://travel.qunar.com/p-oi35305325-dujuanlingwuhaoguanjing,,,,,,,,,,5
染房里,http://travel.qunar.com/p-oi35303320-ranfangli,,,,,--,,,具体收费情况以现场公示为主,,5
染房里Ranfangli Village,http://travel.qunar.com/p-oi35303310-ranfangli,,,,,--,,,具体收费情况以现场公示为主,,6
染房里,http://travel.qunar.com/p-oi35303242-ranfangli,,,,,5.0,,,具体收费情况以现场公示为主,,6
染房里,http://travel.qunar.com/p-oi35303198-ranfangli,,,,,--,,,具体收费情况以现场公示为主,,6
染房里,http://travel.qunar.com/p-oi35302618-ranfangli,,,,,--,,,具体收费情况以现场公示为主,,6
恶巷井,http://travel.qunar.com/p-oi35301128-exiangjing,,,,,3.0,,,,,6
恶拱包,http://travel.qunar.com/p-oi35300907-egongbao,,,,,--,,,具体收费情况以现场公示为主,,6
刘家塝,http://travel.qunar.com/p-oi35300734-liujiabang,,,,,,,,,,6
