名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
罗布人村寨Lop People Village,http://travel.qunar.com/p-oi705054-luoburencunzhai,,,,,,,,,,1
铁门关,http://travel.qunar.com/p-oi711522-tiemenguan,"

地址:
新疆-巴音郭楞-库尔勒市北郊8公里处

","铁门关自古以来就是兵家必争之地，关旁绝壁上还留有""襟山带河""4个隶书大字。如今关旁山坡上还留有古代屯兵的遗址。西汉张骞衔命出使西域曾路经铁门关，班超也曾饮马于孔雀河，故而人们又称孔雀河为饮马河""。唐代边塞诗人岑参登铁门关曾赋诗一首：""铁关天西涯，极目少行客，关旁一小吏，终日对石壁，桥跨千仞危，路盘两崖窄，试登西楼望，一望头欲白""。这首诗，真实而生动的描绘出了铁门关的险峻，前凉杨宣部将张植进屯铁门关，击败焉耆王龙熙于遮留谷。",全天,https://img1.qunarzz.com/travel/poi/1806/d2/865e26288e627a37.jpg_480x360x95_bac1e45d.jpg,4.2,,最佳游玩时间是夏秋季节，此时的巴州气候清凉，秋季则是瓜果飘香的时节。,,,1
塔里木胡杨林公园Tarim Populus Euphratica National Forest Park,http://travel.qunar.com/p-oi709403-talimuhuyanglingongyuan,"

地址:
巴音郭楞蒙古自治州轮台县轮南镇南沙漠公路


电话:
15899001026

","塔里木胡杨林位于轮台县南沙漠公路70公里处,始建于2004年2月，总面积100平方公里（其中包含1993年所建占地2万多公顷的原沙漠胡杨森林公园），总面积100平方公里。她集塔河自然景观、胡杨景观、沙漠景观、石油工业景观为一体,是观光览胜、休闲娱乐、野外探险、科普考察的自然风景旅游胜地。塔里木胡杨林公园分为：游客服务,观光览胜,休闲娱乐三个区。游客服务区：是集餐饮、住宿、娱乐、购物为一体的综合服务区。观光览胜区：它是由一条约17公里长其弯道有126处之多的景区道路进入古老...塔里木胡杨林位于轮台县南沙漠公路70公里处,始建于2004年2月，总面积100平方公里（其中包含1993年所建占地2万多公顷的原沙漠胡杨森林公园），总面积100平方公里。她集塔河自然景观、胡杨景观、沙漠景观、石油工业景观为一体,是观光览胜、休闲娱乐、野外探险、科普考察的自然风景旅游胜地。塔里木胡杨林公园分为：游客服务,观光览胜,休闲娱乐三个区。游客服务区：是集餐饮、住宿、娱乐、购物为一体的综合服务区。观光览胜区：它是由一条约17公里长其弯道有126处之多的景区道路进入古老胡杨林,沿路你可欣赏到不同季节不同形态的古老、原始的胡杨神采雄姿。休闲娱乐区：它是由一条13公里长的环形游览小铁路将4－5个较大的林中湖泊窜连在一起。湖边生长着非常茂盛的胡杨，金秋时节金黄一片，倒影在水中非常美丽。乘坐观光小火车，你可一跃绿草地、二窜红柳丛、三过芦苇荡、四跨恰阳河、五绕林中湖，让你尽情的包揽大漠江南秀色。寻古城探丝路，游塔河赏胡杨，进轮南见石油，入塔中观瀚海。不到轮台不知胡杨之壮美，不见胡杨不知生命之辉煌。热忱的轮台县各族人民欢迎您来轮台塔里木胡杨林公园观光旅游。",全年 9:30-21:30,https://img1.qunarzz.com/travel/poi/1409/11/d90ebabfc60d3190ffffffffc8d65eac.jpg_480x360x95_4f0da3f6.jpg,4.3,建议游览时间：3小时 - 4小时,观看胡杨最好的季节是十月份前后，此时的胡杨颜色最为浓艳。,{'塔里木胡杨林公园电子导览票大小同价\n\n': ['¥9起']},,1
巴音布鲁克草原Bayanbulak Grassland,http://travel.qunar.com/p-oi707007-bayinbulukecaoyuan,"

地址:
巴音郭楞蒙古自治州和静县217国道


电话:
0996-5350198,0996-5350195

",巴音布鲁克草原景区又名天鹅湖景区，位于巴音郭楞州和静县，“巴音布鲁克”在蒙语中的意思是富饶的泉水。这里的草原水草丰茂，遍布着河流和湖泊，而草原周围则由山峦环抱，连绵的丘陵和辽阔的草甸相间，景色十分漂亮。巴音布鲁克草原内有著名的巴音布鲁克天鹅湖和九曲十八弯等景观，景色绝美，也是摄影家们钟爱的摄影胜地。游玩巴音布鲁克草原首先要到位于草原北侧的巴音布鲁克镇，景区的大门就位于镇西南侧1公里左右。巴音布鲁克草原的面积很大，但草原上唯一的公路就是景区内的公路。经此公路从镇上到草原深处的景点有几十公里，所以游玩草原、拍摄天鹅湖和九曲十八弯必须要购票进入景区。而且此公路上不允许私家车开入，所以景区的区间车票也是必购的。巴音布鲁克草原景区的区间车单程为45公里（行车1小时20分钟左右）。路上会停靠巴润库热庙、天鹅湖区域、巴西里克观景台（即九曲十八弯观景台）三个区域，游客在每个地方都可以尽情游玩，然后乘坐后续过来的区间车继续到下一区域。景区内的区间车是人满即开，一般旺季时半小时内便会有一趟。游玩最后一个巴西里克观景台后即可乘车原路返回，总共大约需要大半天到一天时间。游玩巴音布鲁克草原的最佳时间为每年的6-9月，其他时间则比较寒冷，景色的精彩程度也会打折扣。巴润库热庙是路上停靠的第一个地点，巴润库热指的是移动的寺庙。由于当地都是信仰藏传佛教的蒙古族，而且都是牧民，所以他们便把庙宇放在了马车上，方便在游牧时也能随时祭拜庙宇。这种牧民的庙宇十分特别，到此可以参观一下。天鹅湖是巴音布鲁克内的著名景点，是一座在碧绿草原中间安静的湖泊，每年6-9月，很多大天鹅会来此繁育休憩，场面悠静安详。此时也是拍摄大天鹅的最佳季节，其他季节则可能会看不到。最后一个地点便是巴西里克观景台，观景台位于一座小丘陵上，需要走一段木制栈道上去。到达观景台后，脚下就是九曲十八弯的盛景，一条彩带般的开都河在开阔的草原上逶迤蜿蜒，景色十分优美。尤其是日落时天地一片暖红，河水上反射出红色的光芒，更是绝美无比。因而这里也成了摄影家们在巴音布鲁克钟爱的摄影胜地。需要注意的是，最后一班从巴西里克观景台回景区大门的公共区间车是晚上22:00，超过此时段时便需要致电景区车辆调度中心单独叫车，但需要付掉车上所有座位的区间车票，价格很贵，游玩时请注意好时间。一般来说，把最后一个巴西里克观景台安排在日落前到达最为合适，刚好在这里拍摄九曲十八弯上的绝美日落，然后在发车截止时间前乘车离开。,06/01-09/30 09:30-18:00;10/01-10/31 09:30-18:00;11/01-05/31 全天不开放,https://img1.qunarzz.com/travel/d2/1601/d0/adb0a0f0edae18f7.jpg_480x360x95_1dc45b09.jpg,4.6,建议游览时间：12小时 - 3天,最佳旅游时间是夏秋季节，此时的草原水草风貌，夏季翠绿，秋季金黄，气温也较为舒适。,门票65元，门票+区间车140元。,草原上气温较低，要注意防寒，即使在夏季的七、八、九月，夜间休息时都须盖厚棉被。,1
罗布泊Lop Nur,http://travel.qunar.com/p-oi714057-luobubo,"

地址:
巴音郭楞蒙古自治州若羌县东北部


电话:
0996-26121705

",罗布泊海拔780米，面积大约占3000平方公里，地处塔里木盆地东部的古丝绸之路要冲。在20世纪中后期因塔里木河流量减少，周围沙漠化严重，迅速退化，直至20世纪70年代末完全干涸。罗布泊被誉为“地球之耳”，它诞生于第三纪末、第四纪初，距今已有1800万年。早在汉代，罗布泊“广袤三百里，其水亭居，冬夏不增减”，这里还曾经有一个人口众多，颇具规模的古代楼兰王国。它于公元前176年以前建国、公元630年消亡，有800多年历史。直到后来它无声无息的退出历史舞台，而烟波浩渺的罗布泊也变成干涸的盐泽。罗布泊干涸后，周围环境发生巨变，草本植物全部枯死，防沙卫士胡杨树成片死亡，沙漠以每年3-5米的速度向罗布泊推进，很快和广阔无垠的塔克拉玛干沙漠融为一体。罗布泊从此成了寸草不生的地方，变成名副其实的“死亡之海”。,全年 全天开放,https://img1.qunarzz.com/travel/d6/1808/b9/d616fdba1473eeb5.jpg_480x360x95_c7f4cfbe.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
博斯腾湖Bositeng Lake,http://travel.qunar.com/p-oi703999-bositenghu,"

地址:
巴音郭楞蒙古自治州博湖县


电话:
0996-6621611,0996--6622638,0996-2566666

",博斯腾湖又名博湖，古称为西海，位于新疆巴音郭楞蒙古自治州，是中国大的内陆淡水湖，也是新疆第一大湖。湖区周边环境优美，有随风荡漾的大片芦苇、有神似海滨的阳光沙滩，还有幽静的湿地渔村等，游客来此可以观赏新疆难得一见的湿地和海滨风光，还可以乘船游湖、在渔村品味美食等，是新疆当地避暑休闲、观光度假的热门选择。博湖的面积广大，横跨博湖县、和硕县两县，沿湖开辟了一些景区，覆盖了湖边公路可以到达的大部分区域。所以一般游客游湖都是到各景区内，如果想不进景区游湖，...博斯腾湖又名博湖，古称为西海，位于新疆巴音郭楞蒙古自治州，是中国大的内陆淡水湖，也是新疆第一大湖。湖区周边环境优美，有随风荡漾的大片芦苇、有神似海滨的阳光沙滩，还有幽静的湿地渔村等，游客来此可以观赏新疆难得一见的湿地和海滨风光，还可以乘船游湖、在渔村品味美食等，是新疆当地避暑休闲、观光度假的热门选择。博湖的面积广大，横跨博湖县、和硕县两县，沿湖开辟了一些景区，覆盖了湖边公路可以到达的大部分区域。所以一般游客游湖都是到各景区内，如果想不进景区游湖，只能前往博湖县城正东侧的一些临湖村庄一带，不过这里娱乐项目和接待场合都很少，不太推荐。博湖的佳旅游季节是夏季，主要是新疆当地居民前来观光，夏天时这里湖面碧波荡漾，湿地温润，还有莲花、候鸟等可以拍摄，景色美。另外，博湖冰雪游近几年也十分热门，冬天前来游玩冰上项目、滑雪也非常不错。游玩博湖时可以仅去一侧，也可以环湖观光。目前湖区的整个南岸被规划为博斯腾湖南岸旅游区，实行一票制，湖边景色精华的区域就是这一带，而且这一边景区的设施和服务都比较好，是游玩博湖的主要去处。南岸目前的景点由西向东主要有莲花湖、阿洪口、扬水站、白鹭洲几处，全部游玩下来大约需要一天时间。莲花湖位于西侧，这里并不是浩淼的大湖风光，而是被芦苇、荷塘分割成的16个小湖，游客来此可以观看众多的睡莲，每到夏天，这里都是拍花的胜地。莲花湖也有游船服务，可以开到大湖观光。阿洪口与莲花湖的风光相似，也是湿地风光，有美丽的莲花观赏，不过这里可以看到远处的开阔湖面。白鹭洲位于东侧，是一片湖滨沙漠，而由于湖面积太大，这里就变成了典型的滨海沙滩景色，在内陆深处的新疆显得尤为独特，游客夏季来此，可以游泳、游玩水上项目，感受和海滨旅游景区一样的惬意和乐趣。而每到冬天，博斯腾湖冰雪游的主要地点也是在这里。另外，南岸景区东侧还有一处海心山，是一处深入到湖中的山丘，很适合拍照，有兴趣的可以前去拍摄。除了南岸旅游区外，湖边的景点还有东岸的大河口景区，位于北岸和硕县的金沙滩景区、天格尔岛（银沙滩）景区等。大河口景区又名西海渔村，景区内有温润美丽的芦苇荡，有小荷塘，可以乘坐快艇到湖上游玩，还是候鸟会集中的地带。这里有很多餐厅可以吃到美味的湖鱼，还可以组织湖边烧烤等，适合悠闲度假。和硕县的金沙滩和天格尔岛景区则与白鹭洲类似，都是海滨沙滩的风光，不过两处景区近几年比较荒凉，设施也都陈旧或废弃了，不太推荐前往。,全天开放,https://img1.qunarzz.com/travel/d6/1702/9b/75dd7afc51ed9b5.jpg_480x360x95_741a0c03.jpg,4.3,建议游览时间：3小时 - 4小时,最佳出游时间是夏季，此时的博斯腾湖波光无限，湖岸水草丰茂，动植物生机盎然，气候也较为舒适。,45元,,1
塔克拉玛干沙漠（巴音郭楞）Taklimakan desert,http://travel.qunar.com/p-oi711643-takelamaganshamo,"

地址:
巴音郭楞蒙古自治州南疆塔里木盆地中心

",塔克拉玛干沙漠被称作是“死亡之海”，是世界第十大沙漠，同时亦是流动沙漠。在世界各大沙漠中，塔克拉玛干沙漠非常神秘、非常具有吸引力的一个。沙漠中的沙丘类型复杂多样，复台型沙山和沙垄，宛若盘踞在大地上的条条巨龙；塔型沙丘群，高度和规模使埃及的金字塔黯然失色。各种蜂窝状、羽毛状、鱼鳞状沙丘，变幻莫测、巍峨壮观。白天，塔克拉玛干赤日炎炎，银沙刺眼，沙面温度有时高达70－80℃。旺盛的蒸发，使地表景物飘忽不定，沙漠旅人常常会看到远方出现朦朦胧胧的湖光水色，清清的湖面，水波荡漾，树影婆娑，这是塔克拉玛干沙漠中“海市蜃楼”幻影。沙漠有两座红白分明的高大沙丘，名为“圣墓山”，它是分别由红沙岩和白石膏组成。圣墓山上的风蚀蘑菇，奇特状观，高约5米，巨大的盖下可容纳10余人。塔克拉玛干沙漠公路是征服“死亡之海”的宏大工程。通常作为一般游客穿越塔克拉玛干沙漠走的就是这条路。而探险者们会选择以于田或墨玉作为起点（或终点），阿克苏为终点（或起点）的两条线路作为探险意义上的穿越，两条路线中以于田大河沿线路难度非常大。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1409/12/2f46a31b8e3c18aeffffffffc8d65eac.jpg_480x360x95_85445247.jpg,4.6,建议游览时间：3天,每年10月下旬到11月中旬20天左右的时间，是穿越塔克拉玛干沙漠的黄金季节。这个时间沙漠风沙较小，蚊虫较少，而塔里木盆地的胡杨林变成一片金黄，景色迷人。,具体收费情况以现场公示为主,,1
巴音布鲁克天鹅湖Bayanbulak Swan Lake,http://travel.qunar.com/p-oi713611-bayinbuluketianehu,"

地址:
巴音郭楞蒙古自治州和静县巴音布鲁克镇天鹅湖附近


电话:
0996-5350199

",巴音布鲁克天鹅湖位于巴音布鲁克草原景区内，是巴音布鲁克草原有名的两大景观之一（另一处为九曲十八弯），也因为天鹅湖的知名，近年来巴音布鲁克草原景区也被叫做天鹅湖景区。巴音布鲁克天鹅湖是一座在碧绿草原中间安静的湖泊，每年6-9月，很多大天鹅会来此繁育休憩，场面悠静安详。很多摄影师会来此拍摄美丽的画面。6-9月也是拍摄大天鹅的好季节，此时草黄马肥，水流静谧，天鹅游戏其间，景色十分醉人。游玩天鹅湖先要进入巴音布鲁克草原景区，乘坐景区的观光车前来，观光车在路上会停靠三站，游客游玩后可乘坐后续车辆，所以可以在此尽情拍摄。除了天鹅湖，另外的两站分别为巴润库热庙和巴西里克观景台，其中巴西里克观景台便是“九曲十八弯”拍摄地，可以好好游玩一下。,全年 8:30-18:30,https://img1.qunarzz.com/travel/poi/201407/29/13c803a7e13e34c7c8d65eac.jpg_480x360x95_48f06ab2.jpg,4.5,建议游览时间：1小时 - 2小时,最佳出游时间是夏季，此时的天鹅湖水草丰盛，鸟类云集，生机盎然。,具体收费情况以现场公示为主,湖区沼泽较多，游人切不可随意步入，最好选择保护区设立的观赏台赏景观鸟。,1
阿尔金山,http://travel.qunar.com/p-oi714598-aerjinshan,"

地址:
巴音郭楞蒙古自治州若羌县

",阿尔金山自然保护区位于若羌县境内，在新藏交界的阿尔金山脉的中段，海拔约为4000米，面积约为4.5万平方公里，它是我国最大的一个高山自然保护区。该保护区内生活着许多濒临灭绝的高山珍贵动物，有野牦牛、藏羚羊、藏野驴等大型有蹄类动物，还有大量鸟类群集在各个高山湖泊中，数量不亚于青海湖。这里的自然景观也很优美，有世界上海拨最高的积沙滩沙漠、高原内陆不冻湖――阿其克湖、“高原桂林山水”新青峰、冰川密布的木孜塔格冰峰，此外还有千泪泉、阴阳湖、魔鬼谷等景点；在山...阿尔金山自然保护区位于若羌县境内，在新藏交界的阿尔金山脉的中段，海拔约为4000米，面积约为4.5万平方公里，它是我国最大的一个高山自然保护区。该保护区内生活着许多濒临灭绝的高山珍贵动物，有野牦牛、藏羚羊、藏野驴等大型有蹄类动物，还有大量鸟类群集在各个高山湖泊中，数量不亚于青海湖。这里的自然景观也很优美，有世界上海拨最高的积沙滩沙漠、高原内陆不冻湖――阿其克湖、“高原桂林山水”新青峰、冰川密布的木孜塔格冰峰，此外还有千泪泉、阴阳湖、魔鬼谷等景点；在山中还发现了不少用藏文刻在石头上的密宗咒语。,9：00－17：00,https://img1.qunarzz.com/travel/d6/1610/53/e3071aee5d3bceb5.jpg_480x360x95_6f84a42f.jpg,4.0,,,50元,,1
巴伦台黄庙,http://travel.qunar.com/p-oi714153-baluntaihuangmiao,"

地址:
新疆-巴音郭楞-库尔勒市和静县北部天山深处50公里


电话:
0996--5022293

",,全天,https://img1.qunarzz.com/travel/poi/1409/12/ec2c90c0a3e7790fffffffffc8d65eac.jpg_480x360x95_124fd7c8.jpg,4.5,,最佳出游时间是夏秋季节，巴伦台沟掩映在山林当中，气候格外清凉。,5元,,1
