名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
南山竹海Nanshan Bamboo Sea,http://travel.qunar.com/p-oi704594-nanshanzhuhai,"

地址:
常州市溧阳市戴埠镇李家园村下场园10号


电话:
400-188-8588

",天目湖南山竹海，3.5万亩翠竹造就国家5A级旅游景区，中国长寿之乡，地处苏浙皖交界之处，生态环境宜人，是长三角为数不多的纯天然氧吧。南山竹海景区呈“Y”型，这里有中国最全面的竹文化馆，亚洲最先进的地面缆车，江南山居风格的鸡鸣古村，一脚踏三省，揽万亩竹海入胸怀。建议游玩路线：经典线路：景区门口乘坐观光车约8分钟→金牛岭广场走约3分钟至地面缆车入口→乘地面缆车约3分钟→历史文化区（游玩约1小时）→返程乘坐地面缆车（约3分钟）→步行至架空索道入口5分钟→乘架空索道（约6分钟）→吴越观景区（游玩约30分钟）→乘架空索道返回（约6分钟）→步行至小火车站点约2分钟→乘小火车至静湖大坝约10分钟（需要乘坐竹筏的可以下小火车后回程走5分钟至竹筏处自费体验）→步行约5分钟出园（想回程走一走的也可以回程不乘坐小火车，自己步行40分钟出园）休闲线路1：景区门口乘坐观光车约8分钟→金牛岭广场走约3分钟至地面缆车入口→乘地面缆车约3分钟历史文化区游玩约1小时→返程乘坐地面缆车约3分钟→步行约40分钟出园休闲线路2：景区门口乘坐观光车约8分钟→金牛岭广场走约3分钟至架空索道入口→乘架空索道约6分钟→吴越观景区游玩约30分钟→返程乘坐架空索道约6分钟→步行约40分钟出园,10/1-4/30(冬令时) 08:30-17:00;5/1-9/30(夏令时) 08:30-17:30,https://img1.qunarzz.com/travel/d1/1611/c4/9252b8b9bae604b5.jpg_480x360x95_97d1b15b.jpg,4.6,建议游览时间：3小时 - 4小时,夏季最佳，可以最好的欣赏到竹海的旖旎风光，且是避暑胜地，玩水赏竹，也是最相宜不过。其他季节，观赏不到竹海风光，景致稍微逊色。,"{'南山竹海门票成人票\n\n': ['¥79起'], '南山竹海门票老人票\n\n': ['¥45起'], '南山竹海门票+双程地轨套票成人票\n\n': ['¥158起']}",1、防蚊水：竹林中蚊虫很多，做好防蚊措施，以免影响心情；2、带泳装：无论是山水园的水上活动，还是竹海里面泡温泉，带一件泳装上阵总是如鱼得水；3、长袖衣裤、遮阳帽：既防晒，又能在入夜天凉如水的时候起到保温的作用。且竹林中蚊虫甚多，也可以有效遮挡身体免受蚊虫侵扰。4、合脚的运动鞋：徒步、登山必需品。,1
淹城野生动物世界Yancheng Wild Animal World,http://travel.qunar.com/p-oi7306335-yanchengyeshengdongwu,,,,,,,,,,1
天目湖Tianmu Lake,http://travel.qunar.com/p-oi706067-tianmuhu,"

地址:
常州市溧阳市天目湖镇环湖西路1号


电话:
400-188-8588,0519-87980000


官网:
http://www.tmhtour.com/

",天目湖位于溧阳市南8公里处，湖周围青山环抱，湖中有一座座岛屿，湖水清澈，风景秀丽。你可以坐游船赏湖景，爬山看竹海，泡温泉，春夏季水世界开放时，还可以玩各种水上游乐设施。游览天目湖很轻松，适合全家出行。天目湖的各景点环湖散布，主要有北岸的天目湖山水园、天目湖水世界，东南部的南山竹海、天目湖御水温泉，西岸的天目湖涵田半山温泉。其中主要的两个看自然风光的景点是天目湖山水园和南山竹海，互相间离得很远，安排一天游玩比较赶，可以安排两天游玩。天目湖山水园是看湖景的地方，一般游客说的去看“天目湖”，其实看的就是天目湖山水园里的湖景。山水园里游船是值得推荐的必玩项目，而且景点里的精华龙兴岛必须坐船才能到达。山水园另外有些娱乐项目可玩，比如水上项目、4D电影、高空索降等。南山竹海景区的路线呈“Y”型，有金色寿星头像雕塑的寿星广场是“Y”字的分叉点，从这里有一条路上山俯看竹海，另一条路通往明清古民居的村落，不过去古村落必须搭乘地面缆车。天目湖水世界距离天目湖山水园不远，带小孩的游客若是夏季来天目湖，不妨去玩一玩，有适合大人的刺激项目，也有适合小朋友的儿童乐园。游玩水世界时记得要带好沐浴用品、泳衣。在天目湖山水园和南山竹海附近都能住宿，若经济条件宽裕，住在山水园边不妨选择可以看湖景的客房；住在南山竹海边不妨选择天目湖御水温泉酒店，白天游玩竹海，晚上泡温泉，十分惬意。天目湖西岸的涵田半山温泉也可以泡温泉，并且可以住宿，但由于和天目湖山水园、南山竹海并不顺路，更适合自驾游客。天目砂锅鱼头、竹笋是当地的特色美食，天目湖白茶也不错，当地的餐馆、酒店中都能品到这些特产。,全天开放,https://img1.qunarzz.com/travel/d0/1509/2a/7608700399d693.jpg_480x360x95_c3e2622e.jpg,4.5,建议游览时间：3天 - 6天,4月最佳，此时茶香鱼肥，春色遍野。春夏季是溧阳最佳旅游季节。每年一度的天目湖旅游节和两年一届的中国溧阳茶叶节每两年相逢一次。而在炎炎夏季，到天目湖去过泼水节，玩水赏竹，也是最相宜不过。,"{'天目湖山水园门票+天目湖山水园游船票成人票\n\n': ['¥158起'], '天目湖山水园门票+天目湖山水园游船票老人票\n\n': ['¥120起'], '天目湖山水园门票+天目湖山水园游船票双人票\n\n': ['¥317.8起']}",必备物品1、防蚊水：竹林中蚊虫很多。建议带南方卖的强力驱蚊水。做好防蚊措施，避免因为身上的大包小包带来的旅程瑕疵。2、泳装：无论是山水园的水上活动，还是竹海里面泡温泉，都需要一件性感的比基尼帮衬才好。3、防晒霜：户外活动，即使是在阴天也要接收大量紫外线。即使不是为了捍卫美白成果，也要为健康着想，千万不能偷懒，不涂防晒霜的严重后果会让你后悔不迭。4、长袖衣裤、遮阳帽：既防晒，又能在入夜天凉如水的时候保温。何况竹林中蚊虫甚多，也可以有效遮挡。5、合脚的运动鞋：徒步、登山必需品；6、天目湖各大景区禁止游客携带宠物进入封闭式景区及风景名胜区。,1
茅山森林世界Baosheng Park,http://travel.qunar.com/p-oi20926659-maoshansenlinshijie,"

地址:
常州市金坛区薛埠镇茅东林场169号


电话:
0519-68228822


官网:
http://www.uu1.com/products/147/

",茅山森林世界（原宝盛园）位于风景秀丽的江苏省金坛茅山旅游度假区内，园区总面积3500亩，总投资15亿元，交通发达，背倚茅山二茅峰，怀抱仙姑村海底水库，森林覆盖率达80%以上。森林和竹海连绵，让人们逃离城市，体验无处不在的浪漫森林生活。景区深挖森林度假内涵，全新推出“林深见鹿”等森林王牌项目，同时打造丛林漂流、小野温汤/冷泉、ATV全地形越野、丛林穿越等森系体验项目，拥有野趣度假酒店、星空球形帐篷酒店等六大森林美宿，配套镜湖、天鹅湖、山海茶田等生态观光体验，是一个集“森林体验、美宿度假、亲子研学、网红打卡”等为一体的山野度假乐园。,全年 09:00-17:00,https://img1.qunarzz.com/piao/fusion/2106/c0/f9ed16e574f4ad02.jpg_480x360x95_0e87187c.jpg,4.6,建议游览时间：12小时 - 3天,,"{'茅山森林世界游乐票成人票\n\n': ['¥98起'], '茅山森林世界游乐票儿童票\n\n': ['¥100起'], '茅山森林世界游乐票老人票\n\n': ['¥85起']}",,1
茅山东方盐湖城·道天下Oriental Salt Lake City,http://travel.qunar.com/p-oi9193478-maoshandongfangyanhucheng,"

地址:
常州市金坛区薛埠镇访仙路9号


电话:
400-809-7788

",茅山东方盐湖城·道天下位于东方盐湖城核心位置。它以中国文化之根——周易八卦为破题立意，建设“一观八院十家宿，廿馆百铺千间房”，集特色山居、文化展馆、民俗演艺等为一体，是常州新晋的亲子游好去处。在这里春踏青、夏民谣、秋摄生，冬年俗，白天可参观各类展馆，吃尽天下美食，体验神奇的八院，夜间可前往临水酒吧感受山中的不眠之夜。园内住宿盐泉涵馆坐落于东方盐湖城旅游度假区内，环境清幽，舒适宜人，以茅山特有的盐泉为主题。在春庭、夏斋、秋圃、东馆四个庭院中，分别摆设这能够凸显这四个季节特色的饰物及植物，游客走进其中，便有一种身临其境质感。山居主题客栈坐落于东方盐湖城旅游度假区内，共有茅山鸟巢、春竹小院、石供雅园、道玄山居、知青之家、祥云客栈六大特色主题山居客栈。不同的主题客栈也不定期针对客人开展特色体验活动，如制作春季小蒜饼、书法体验、石头绘画体验等。游览指南游四时山镇，皆有不同美景，四大必看山镇演绎精彩呈现：晨钟暮鼓气势恢宏、嘻哈道欢乐逗趣、吉盐圣地如梦似幻、逍遥幻境仙韵开启。另外，还有民间杂耍、评弹戏曲、抖音快闪精彩不停上演。换装游园，泛舟骑马，手作体验妙趣横生，感受小镇悠闲自在魅力。在这里一年四季，欢乐不断，春季采茶品茗，夏季泼水狂欢，秋季特色美食，冬季温泉跨年。知道坊习成语，中华文化源远流长；云观天街观星斗，夜空繁星奥秘多；非遗纸花阵，心灵手巧传承经典文化。四季山野美食，唤醒你的舌尖味蕾。茅山特色小食飘香四溢，山珍湖鲜美味营养、沉浸式武侠主题餐秀江湖盛宴饕餮登场，新型社交体验HIGH翻小镇。夜晚的山镇静谧而美好，温暖灯光亮起，彷如穿越回古时长安，千亩仙韵逍遥幻境开启。另有盐泉涵馆、虫二客栈等六大特色主题山居满足你的多重选择。,全年 09:30-21:00,https://img1.qunarzz.com/travel/d4/1704/15/87698351b0462b5.jpg_480x360x95_f8733dbf.jpg,4.5,建议游览时间：3天 - 6天,,"{'东方盐湖城·道天下全日门票成人票\n\n': ['¥120起'], '东方盐湖城·道天下全日门票儿童票\n\n': ['¥100起'], '东方盐湖城·道天下全日门票学生票\n\n': ['¥100起']}",,1
常州博物馆Changzhou Museum,http://travel.qunar.com/p-oi7587853-changzhoubowuguan,"

地址:
常州市新北区龙城大道1288号


电话:
0519-85165089,0519-85165080


官网:
http://www.czmuseum.com/

",常州博物馆位于市民广场西侧，与广场东侧的常州大剧院呈对称布局。馆内除了陈列精美的古代文物和书画，还设有少儿自然博物馆，介绍小朋友感兴趣的动物与自然科学知识，非常适合亲子游。博物馆地下有一层，地上有四层，地下室和地上的第四层为库房和办公区域，一层到三层为展览区，内设两个基本陈列和两个专题陈列，另外还有临时展览和特展。一层是谢稚柳艺术馆，设专题陈列“谢稚柳艺术陈列”，展示当代艺术家谢稚柳的书画作品。二层是常州历史文化陈列展厅，设基本陈列“龙腾中吴——常州历史文化陈列”，展出的文物按年代顺序排列，良渚文化时期的玉器、春秋战国时期的原始青瓷器、宋元时期的漆器与瓷器、明清时期的书画等都能在这里看到。三层是少儿自然博物馆的部分，设基本陈列“神奇的自然美丽的家园——自然资源陈列”，里面有各种野生动物、昆虫、海洋鱼类的标本。三层还设有专题陈列“刘国钧先生捐献红木家具陈列”，布置成明清风格的厅堂、书房、卧室里展出了清末至近代的红木家具，上面都有漂亮的花纹。常州博物馆旁边是常州市规划馆，展示常州市城市建设的历史和改革开放以来的成就，可一并游览。,01/01-12/31 周二-周日 09:00-17:00;01/01-12/31 周一 全天不开放,https://img1.qunarzz.com/travel/d6/1710/da/8a7a4fadca1cffb5.jpg_480x360x95_46c6ec23.jpg,4.5,建议游览时间：2小时 - 3小时,四季皆宜,"{'常州博物馆电子导览服务大小同价\n\n': ['¥4起'], '常州环球恐龙城景尚·恐龙主题度假酒店1晚2间或2晚1间套餐可选+2大1小早餐\n\n': ['¥699起']}",,1
天宁寺Tianning Temple,http://travel.qunar.com/p-oi715706-tianningsi,,,,,,,,,,1
常州古运河Changzhou Ancient Canal,http://travel.qunar.com/p-oi9204087-changzhouguyunhe,"

地址:
常州市钟楼区篦箕巷32号


电话:
0519-86800021

",常州古运河由西向东横穿市区，属于京杭大运河的江南运河段，游客游览的区域主要集中于运河五号创意街区到东坡公园这一段，可以步行游览《红楼梦》里的篦箕巷等景点，也可以坐船欣赏运河两岸风光。常州古运河沿岸的一些景点虽然声名在外，但不少建筑都是仿古新建的，适合对历史文学感兴趣的游客来怀古，但要论原汁原味的古韵，恐怕有所欠缺。运河沿岸值得推荐的景点有：运河五号创意街区、明城墙、篦箕巷、青果巷、天宁寺、红梅公园、东坡公园。你可以步行与坐公交结合，来一场运河之旅...常州古运河由西向东横穿市区，属于京杭大运河的江南运河段，游客游览的区域主要集中于运河五号创意街区到东坡公园这一段，可以步行游览《红楼梦》里的篦箕巷等景点，也可以坐船欣赏运河两岸风光。常州古运河沿岸的一些景点虽然声名在外，但不少建筑都是仿古新建的，适合对历史文学感兴趣的游客来怀古，但要论原汁原味的古韵，恐怕有所欠缺。运河沿岸值得推荐的景点有：运河五号创意街区、明城墙、篦箕巷、青果巷、天宁寺、红梅公园、东坡公园。你可以步行与坐公交结合，来一场运河之旅。运河五号创意街区是由常州第五纺织厂改造的，适合拍照。西瀛门城墙是常州仅存的明城墙遗址。篦箕巷中的店铺在古时常连夜生产梳篦，“篦梁灯火”曾是常州胜景。青果巷是略显陈旧的老街巷。天宁寺的殿宇非常宏伟，寺内的天宁宝塔展出精美的佛教珍宝，徐志摩曾写有《常州天宁禅寺闻礼忏声》。红梅公园具有园林风格，园内的文笔塔是常州现存古老的建筑。东坡公园里的舣舟亭曾是苏东坡泊舟登岸处。常州古运河水上游原先的航线为运河五号码头-篦箕巷-东坡公园，中途可以在篦箕巷上下船。由于常州现在在修地铁，水上游更改航线为运河五号码头-篦箕巷-白荡河，是一条工业遗存风貌、名胜古迹、与白荡河的自然风光混搭的航线。,全年 全天开放,https://img1.qunarzz.com/p/tts0/1812/40/0588156a7fd3f702.jpg_480x360x95_c402ce37.jpg,4.6,建议游览时间：1小时 - 2小时,春秋两季气候宜人，是出游的好时节。,坐船另收费，具体收费情况以景区现场公示为主。,,1
中华恐龙馆China Dinosaur Pavilion,http://travel.qunar.com/p-oi22960521-zhonghuakonglongguan,"

地址:
常州市新北区河海东路60号中华恐龙园


电话:
400-616-6600,4006166600

",中华恐龙馆是恐龙科普知识的收藏展示是中国恐龙化石为集中的专题博物馆。全馆总面积20000平方米以上，龙首高处达71米，馆体穹顶高处达36米，已成为常州旅游业的标志性建筑。,具体开放时间请咨询景区,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/2ed7b7ee839bc6eb8c9c9761736444a5.jpg_480x360x95_5f062d9c.jpg,4.5,建议游览时间：2小时 - 3小时,,包含于中华恐龙园景区内，通用中华恐龙园景区门票。,,1
运河五号创意街区Canal 5 Creative Campus,http://travel.qunar.com/p-oi7644950-yunhewuhaochuangyijie,,,,,,,,,,1
