名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
桃源山,http://travel.qunar.com/p-oi702168-taoyuanshan,,面积约2．5平方公里。桃源山是道教的圣地，文化的中心。从西晋到晚明，以桃源山为主的名胜古迹，代有声名。西晋末叶桃源山上始建桃源观，中唐逐渐扩大，到北宋而称极盛。这里有潇湘一阁的水府阁，江南一宫的桃川宫，华夏一院的天宁碑院……当您朝圣“桃川香火”之暇，足以尽情领略道宫聚紫、高阁流霞、渔舟唱晚、仙气缭绕的沅湘风情。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/d691f24be0fef41efd654b9596b37831.gif_480x360x95_4839e179.gif,4.0,,,,,1
大小河街,http://travel.qunar.com/p-oi38135482-daxiaohejie,,,,,4.6,,,具体收费情况以现场公示为主,,1
桃花源Taohuayuan (“Peach Blossom Land”),http://travel.qunar.com/p-oi712427-taohuayuan,"

地址:
常德市桃源县桃花源镇


电话:
400-985-6677


官网:
http://www.cnthy.com.cn/

",常德桃花源，是1600多年前中国东晋大诗人陶渊明《桃花源记》所描述的世外桃源真迹，始建于晋代，历史上是我国四大道教圣地之一，有“第三十五洞天，四十六福地的美誉”。千百年来陶渊明、孟浩然、王昌龄、王维、李白、杜牧、刘禹锡、韩愈、陆游、苏轼等文人墨客都在这里留下了珍贵的诗文和墨迹。桃花源前面有滔滔不绝的沅江，后面是绵延起伏的武陵群峰，境内古树参天，溪水清澈。桃花源景区内开发了福地洞天桃花山、道教胜地桃源山、世外桃源秦人村、神话故乡桃仙岭四大景区；同时还有沅江风景线、战国彩菱城遗址、热市温泉等可供游览。桃花源景区每年的春天都会举办“桃花节”。春天的桃花源桃花遍野、绿茵红飞。走进桃花源，就象走进了一首瑰丽的画卷。游客此时前来，可以感受到宁静的田园风光，寻找《桃花源记》中所描绘的“芳草鲜美、落英缤纷”的意境。,全年 09:00-15:30;全年 08:30-18:00,https://img1.qunarzz.com/travel/d0/1501/72/72fd2cb974dd1b5ccdb.jpg_480x360x95_3bea31c5.jpg,4.6,建议游览时间：3小时 - 4小时,,"{'常德桃花源门票成人票\n\n': ['¥116起'], '常德桃花源门票老人票\n\n': ['¥60起'], '常德桃花源门票青少年票\n\n': ['¥60起']}",,1
夷望溪Yiwang Creek,http://travel.qunar.com/p-oi722790-yiwangxi,"

地址:
常德市桃源县兴隆街乡游船码头


电话:
0736-6730888,13397360065

",夷望溪是桃花源外围景点中美的景点，是常德十景之一。位于常德市桃源县兴隆街乡，这里景色秀美、山水怡人，被称为常德的的“小桂林”。夷望溪，亦称怡望溪，有望之心怡的意思，乍听起来，似乎又是一道被世间所遗忘的山间流水。的确，这几乎是个与世隔绝的地方，一个静宓与神秘的地方。夷望溪，一个青山凝黛，绿水悠悠的妙境，仿佛又到了桂林的漓江，恰好这里也有个象山，酷似一只刚从水中沐浴上岸的老象。两岸也是青山如屏，翠竹成荫。夷望溪水清澈透明，如同碧玉，无怪乎诗人将它称作...夷望溪是桃花源外围景点中美的景点，是常德十景之一。位于常德市桃源县兴隆街乡，这里景色秀美、山水怡人，被称为常德的的“小桂林”。夷望溪，亦称怡望溪，有望之心怡的意思，乍听起来，似乎又是一道被世间所遗忘的山间流水。的确，这几乎是个与世隔绝的地方，一个静宓与神秘的地方。夷望溪，一个青山凝黛，绿水悠悠的妙境，仿佛又到了桂林的漓江，恰好这里也有个象山，酷似一只刚从水中沐浴上岸的老象。两岸也是青山如屏，翠竹成荫。夷望溪水清澈透明，如同碧玉，无怪乎诗人将它称作“沅江小桂林”。这山有的如大象、有的如雄狮、有的如麒麟、有的如钟鼓，还有一座山崖壁上似挂着一弯明月。在河堤与山脚之间是一些农田，偶尔可见两三个农夫在叱牛耕耘，悠闲的哼着些土里巴唧的用牛歌，旁边总有几只黑身而白翼的笨鸟，在周围停立，似乎一点也不怕人，等到农夫和耕牛走近时，才怏怏地窜飞至另一边去，依就呆呆地盯着那农夫和耕牛，真是一幅写意的《桃源隐耕图》。,8:00-18:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1559502492207100f14000000x46b5BBC1_D_640_10000.jpg_480x360x95_57c58a75.jpg,4.4,建议游览时间：3小时 - 4小时,,"{'夷望溪门票+游船成人票\n\n': ['¥65起'], '夷望溪电子导览服务大小同价\n\n': ['¥7起']}",,1
柳叶湖旅游度假区Liuye Lake Tourist Resort,http://travel.qunar.com/p-oi706806-liuyehulu:youdujiaqu,"

地址:
常德市武陵区柳叶大道1号


电话:
0736-7129299,0736-7712301


官网:
http://www.lyhtour.com/

",柳叶湖位于古城常德东北，是湖南省大的山、水、城三位一体的生态型城市旅游休闲度假区，因湖的形状像柳叶而得名，白鹤山、花山、太阳山环绕湖北部。其中白鹤山很早以前就是白鹤栖息的之地，每年5月-9月，成千上万只白鹤与白鹭在蓝天碧水间翩翩起舞，为柳叶湖增加了奇丽的色彩。柳叶湖山环水绕，流霞飞烟，景色宜人，碧水与长天一色，青山和古城相映。柳叶湖边的太阳山，层峦迭嶂，松竹青翠，清溪蜿蜒，泉水潺潺。柳叶湖西南的花山，山虽不高，却十分秀丽，每逢春天，满山杜鹃花，姹紫...柳叶湖位于古城常德东北，是湖南省大的山、水、城三位一体的生态型城市旅游休闲度假区，因湖的形状像柳叶而得名，白鹤山、花山、太阳山环绕湖北部。其中白鹤山很早以前就是白鹤栖息的之地，每年5月-9月，成千上万只白鹤与白鹭在蓝天碧水间翩翩起舞，为柳叶湖增加了奇丽的色彩。柳叶湖山环水绕，流霞飞烟，景色宜人，碧水与长天一色，青山和古城相映。柳叶湖边的太阳山，层峦迭嶂，松竹青翠，清溪蜿蜒，泉水潺潺。柳叶湖西南的花山，山虽不高，却十分秀丽，每逢春天，满山杜鹃花，姹紫嫣红，一片鲜亮世界。刘海砍樵的美丽传说就发生在这里。柳叶湖水域辽阔、湖底平坦，是理想的水上运动比赛场所，已建成了具有国际水准的水上赛场；成功地举办了湖南省八运会水上比赛、第八届亚洲皮划艇锦标赛、首届中国短道汽车拉力赛等一系列重大国际国内赛事，被国际国内人士誉为“世界上佳的天然水上运动场所之一”、“城市拥抱的水上天堂”。,全天开放，内部娱乐设施及景点开放时间不一，详情以景区现场公示为准。,https://img1.qunarzz.com/p/tts3/1801/c7/1f92b8a18961bc02.jpg_480x360x95_053de6a3.jpg,4.6,建议游览时间：1小时 - 2小时,,"{'柳叶湖小火车门票儿童票\n\n': ['¥15起'], '柳叶湖游船（快艇/仿古船/画舫）票成人票\n\n': ['¥45起']}",,1
水心寨,http://travel.qunar.com/p-oi722789-shuixinzhai,,桃源水心寨位于桃源境内沅江与夷望溪交汇之处，四面环水，高约数百尺，壁立陡峭，上攀山岩，前后人头脚相接，须抓住铁链而上。山岩原名水心岩，因南宋洞庭湖区农民起义军首领杨幺曾在此驻军，并立坛祭苍天，后人因此改名水心寨。寨顶有小观，自古就香火不断，现在有观三座相连，为当地群众自发募捐修建。寨顶视线通达，视野开阔，四周山水绵延，美景无限。当地人把周围山水叫做“麒麟拜狮象，明月钟鼓堂”，大概意思是说有山象麒麟、如狮象、若钟似鼓，且相互依承，彼此呼应。寨靠外是...桃源水心寨位于桃源境内沅江与夷望溪交汇之处，四面环水，高约数百尺，壁立陡峭，上攀山岩，前后人头脚相接，须抓住铁链而上。山岩原名水心岩，因南宋洞庭湖区农民起义军首领杨幺曾在此驻军，并立坛祭苍天，后人因此改名水心寨。寨顶有小观，自古就香火不断，现在有观三座相连，为当地群众自发募捐修建。寨顶视线通达，视野开阔，四周山水绵延，美景无限。当地人把周围山水叫做“麒麟拜狮象，明月钟鼓堂”，大概意思是说有山象麒麟、如狮象、若钟似鼓，且相互依承，彼此呼应。寨靠外是沅江大河奔腾不息，往里是夷望溪水柔缓流淌，一边犹如沧桑莽汉，一边则如温婉处子。即便突降暴雨，数日之内，沅江早已洪水滔天，而夷望溪依然清澈如镜。每有人到，常流连忘返。但一直因为多种原因，开发不够，仍然养在深闺无人识。,,https://img1.qunarzz.com/travel/d9/201404/19/dc0545bfa4f7d009ddb12cfb.jpg_480x360x95_31beb2b9.jpg,4.0,,,,,1
花岩溪Huayanxi,http://travel.qunar.com/p-oi707740-huayanxi,,,,,,,,,,1
孟姜女祠Meng Jiangnv Ancestral Hall,http://travel.qunar.com/p-oi708004-mengjiangnu:ci,,孟姜女贞烈祠是为纪念孟姜女所建，地处湖南省澧县境内，位于澧县县城以东15千米的嘉山良种场内，所处位置山清水秀。有头门大殿、登祠台等建筑1000平方米，贞烈祠有阴刻楷书碑文“孟姜故宅”。1954年，孟姜女贞烈祠毁于大火。今存山门、大殿、后殿为二十世纪七十年代以来，澧县文物事业管理处集资复建。望夫台、绣竹、石镜依然存在。另存石碑一方，碑文为行书三行，中行为：“孟姜故宅”四个大字，两侧书为：“道之云远思君子”，“魂兮归来返故居”，横批：“覆我帮家”。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4297c90077e7bfb45509b5e8b2f9c9aa.jpg_480x360x95_4d50381c.jpg,4.3,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
龙王洞Longwang Cave,http://travel.qunar.com/p-oi714629-longwangdong,"

地址:
常德市石门县白云镇望羊桥村


电话:
0736-5322988

",石门龙王洞位于湖南石门县，龙王洞，洞中有水，洞中有洞，洞上叠洞，洞环水绕，景点密布，景观奇特，可谓步步有景，处处藏珍，十里曲洞，十里迷宫，十里玉琢，十里彩屏。而洞前有湖，洞口有河，则是其独特之处。游人泛舟徐进，由湖山一色渐入洞水一色之佳境。 穹顶洞壁的钟乳石投影水面，与水中晶莹玲珑的奇石浑然一体，在彩色灯光的照耀下，愈显绚丽多姿，使人恍若步入龙宫仙境。泛舟进洞四百米许，舍舟登岸，但见钟乳石千奇百怪，倒悬洞顶，石笋石柱错落：“朝龙殿”、“瑶池”、“灵芝宝菌”、“龙王宝座”等五十多处景观，今人目不暇接。更兼头顶滴水如琴，脚下清泉如瑟，冬暖夏凉，使人游兴愈浓，流连忘返。龙王洞在石门县城西北28公里处，正在1829省道干线边。距龙王洞8公里有热水溪温泉疗养中心。从龙王洞往西北5公里进入张家界市境内，可不经慈利县城，去索溪峪80公里。 　　 ,全年 08:30-16:30,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20192/678fb6d34d0e6d7b543874d64d06dc39.jpg_480x360x95_2cb64f7f.jpg,4.7,建议游览时间：1小时,,"{'龙王洞门票成人票\n\n': ['¥50起'], '龙王洞门票儿童票\n\n': ['¥25起'], '龙王洞门票学生票\n\n': ['¥25起']}",,1
五溪湖Wuxi Lake,http://travel.qunar.com/p-oi714656-wuxihu,"

地址:
常德市鼎城区

",五溪湖位于湖南花岩溪景区入口处，因罗家溪、花岩溪等五条溪流入内而得名。湖内积雨  五溪湖面积23、8平方公里，上游有麻家溪隧洞与龙凤湖连通，蓄水面积9000亩。五溪湖风光秀美，丰艳多姿，每年春夏时节，这里花红水碧，鱼跃鸟飞，岚影沉浮，霞光掩映。湖中有十来个奇妙的岛屿，号称“五湖列岛”，这些岛屿形状不同，大小不等，彼此距离有远有近。较大的乌龟岛面积有20亩，岛上成片的油菜蔚然成林，叶色深绿油亮，十分可爱。五溪湖春末夏初水位上升，湖中小岛像一颗颗绿螺，错落有致地排列在这水晶盘里，水涌青螺，若沉若浮，似动似静，荡漾在粼粼碧波之中，展现在朝曦夕照之下。湖中景色，早晚不同，四时各异。荡舟湖上，可饱览湖光山色，享受山间平湖的特殊气息。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a288fb4d301fac5f6d71b08adcbd372c.jpg_480x360x95_ad5366db.jpg,4.8,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
