名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
白龟山水库（平西湖）Baiguishan Reservoir,http://travel.qunar.com/p-oi18702686-baiguishanshuiku,"

地址:
河南平顶山市西南郊

",白龟山水库在平顶山市西南郊，淮河流域沙颍河水系沙河干流上，距离市中心9公里。1958年水库动工兴建，1966年建成运行，主要建筑物有：拦河坝、顺河坝、北副坝、泄洪闸和南北干渠渠首闸。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/06731e5350707726bdf6d26d34b6edc4.jpg_480x360x95_da93591e.jpg,4.5,建议游览时间：0.3小时 - 0.5小时,,具体收费情况以现场公示为主,,1
昭平湖Zhaoping Lake,http://travel.qunar.com/p-oi710947-zhaopinghu,"

地址:
平顶山市鲁山县城西10公里处

",昭平湖风景名胜区，原名昭平台水库，源于汉光帝刘秀与王莽昆阳之战时，刘秀在此拜始祖刘累后筑台招兵而得之。昭平湖风景名胜区位于河南省鲁山县境内，景区面积40km2。气候温和、四季分明，年均气温14.4℃。昭平湖风景名胜区丘陵起伏，沟壑纵横，水天一色，一望无际。秀丽山水与人文景观交相辉映，是集疗养、度假、休闲、刘氏寻根、娱乐于一体的中原旅游胜地。昭平湖这颗璀灿的明珠镶嵌在中原黄金旅游带上，鲁山的墨子故里石人山，郏县的东坡葬地三苏坟，宝丰的汝官窑故址，汝州的千年古刹风穴寺，叶县的叶公故里等著名文物旅游景点分布在景区四周，铁路公路纵横，交通十分便利。                  昭平湖一望无际，水天一色，周围峰峦叠翠，鸟语花香，充满了诗情画意。昭平湖风景名胜区的名胜古迹遐迩闻名，湖内巧夺天工的姑嫂石栩栩如生，动人故事浮想联篇；幽雅的湖心宝岛金山环绿树成荫，芳草青青，思想家墨子著书立说的“墨子著经阁”居高临下，尽览湖光山色；新石器时代文化遗址，两汉时期鲁阳城故地，刘姓始祖刘累封邑地，省级文保单位“邱公城”岛随水位的涨落时隐时现，呈现出海市蜃楼般的梦景；汉光武帝刘秀筑台招兵的招兵台、扬家名将焦赞、孟良屯扎寨之地的孟良寨和杨家岭尽现古代战争之遗迹。昭平湖风景名胜区秀丽的自然风景，绚丽多彩的平湖晚霞，泛舟水上，把酒临风，仰蓝天白云，眺青山起伏，俯碧波绿水，其景其趣其情令人宠辱皆忘，心旷神怡。,全年 8:00-18:00,https://img1.qunarzz.com/piao/fusion/1503/cd/83b78a872390e0.jpg_480x360x95_8f3eb706.jpg,3.9,建议游览时间：3小时 - 5小时,,具体收费情况以现场公示为主,,1
六羊山通天河景区Liuyangshan Tongtianhe Scenic Area,http://travel.qunar.com/p-oi705158-liuyangshantongtianhe,"

地址:
平顶山市鲁山县二郎庙乡营盘沟村


电话:
0375-7652888,0375-7652899


官网:
http://www.liuyangshan.cn/

",“六羊山通天河”景区，位于河南省平顶山市鲁山县尧山镇境内，荟萃八百里伏牛山精华。景区东邻千年古刹文殊寺，西望国家5A级旅游景区尧山，南偎白连教演兵场挂鼓楼，北靠世界第一大佛——中原大佛。这里交通便利，景色秀美，民风纯朴，山清水秀，石峭林茂，景点繁多，是观光旅游、朝圣进香、休闲度假的极好去处。“六羊山通天河”景区是山岳型风景区中的盆景，小而精。景区有五大特点：一是栈道，时而直竖，时而悬空，峰回路转，蜿蜒曲折，全长1500多米，是景区靓丽的景观之一。二是山险峰秀，特别是在雨过天晴，云飘雾锁，重山腾空，犹如天宫仙景。三是水，“六羊山通天河”景区的水，属鲁山诸景区之，十步一潭，百步一瀑，潭水清澈，深不见底。六羊山水中含有微量元素，属于优质山泉水。四是道观香火，建在天柱峰上的祖师殿，始建于公元638年，比武当山的紫霄宫早283年，可谓是香火悠久，道法深远。五是六羊山的植被茂密。乔木、灌木、地被、苔藓等植物种类繁多，具有原始森林特征，森林覆盖率达99%。是天然氧吧，深呼吸一口，沁人心肺。六羊山的山和水可以用两句诗概括：灵山景色无墨画，秀水潺潺有声诗。“六羊山”取名于祖师殿始建之后，传说祖师为了造福人间，恩典中州百姓，选在山羊都爬不上去的“天柱峰”上，陡峰峻山建造这样浩大的工程谈何容易，祖师为此派下六只神羊，一夜之间把建庙的材料全部运上山去。当地百姓为了感谢上苍，纪念神羊。故取名“六羊山”。“通天河”从山顶到山底，自上而下，落差达450米，犹如一条玉带、穿崖过涧、时隐时现、常年不息、涛声依旧，特取名“通天河”。六羊山通天河景区瀑布群景区的主要景点有：祖师殿、玉皇庙、红石崖、玄天一足，还有二洞、三瀑、四峰、五庙、六潭等景点三十余处，是旅游观光、科研探险、休闲避暑胜地。,01/01-12/31 08:00-17:00,https://img1.qunarzz.com/piao/fusion/1805/85/2ba12253477bbb02.jpg_480x360x95_b959df0f.jpg,4.1,建议游览时间：3小时 - 5小时,,"{'六羊山通天河景区门票成人票\n\n': ['¥45起'], '六羊山通天河景区门票优待票\n\n': ['¥25起'], '六羊山通天河景区电子导览服务大小同价\n\n': ['¥2.9起']}",,1
好运谷Haoyungu,http://travel.qunar.com/p-oi704362-haoyungu,"

地址:
平顶山市鲁山县好运谷尧山镇四道河村


电话:
,

",好运谷得名于一个传说，古时有一个时运不济的人李桥在此采金钗石斛跌落湖中得到珠宝，从此时来运转，因此这里又被叫作李桥沟。好运谷景区内不到2公里的地方集中了落差很大的瀑布10多条，飞瀑如帘，卷云喷雾；瀑下有潭，潭潭相连，玉碧镜清；潭溪之中，群群游鱼追逐嬉戏。两岸群峰峙立，竟奇斗俊；断崖重重，险不可攀；奇石如塑，似人似物；石穴洞府，幽深莫测。游客在这里可以体会到无尽的山野情趣，十分舒心惬意。好运谷景区地处车村——下汤深断裂带的中部，断裂破碎的花岗岩地貌嵯峨嶙峋，奇峰怪石比比皆是。十八垛雄居峰巅，如顶天立地的十八罗汉；光石脑矗立中天，似统领百万大军的常胜将军。红石崖，白松崖，羚羊楼，峰峻壁直。更有数不尽的如塑怪石，似人似物，老翁石、寿星石、金佛石、河马石、猴石、美鱼石、龙床石、蛙鼓石、盘古开天碾盘石和传说中月宫嫦娥舂米的神臼石。还有许许多多的神秘洞穴，如藏龙洞、水帘洞、豹子洞、狼洞、哑巴洞、红军洞、省心洞、和清朝开挖锰矿留下的“老银洞”。各洞有异，洞洞有奇。好运谷景区内有许多动听的故事和优美的神话传说。这些颇具传奇色彩的故事传说，使得好运谷的景观更加有血有肉，活灵活现。徜徉于好运谷的山水，犹如走进了一条画廊，走进了一段历史，在原始自然中受到人生的启迪。,7:00-17:00,https://img1.qunarzz.com/piao/fusion/1807/c8/cb07567fe0e56702.jpg_480x360x95_e808c7b6.jpg,3.8,建议游览时间：2小时 - 3小时,,60元,,1
画眉谷Thrush Valley,http://travel.qunar.com/p-oi705945-huameigu,"

地址:
平顶山市鲁山县尧山镇


电话:
0375-5784368


官网:
http://www.huameigu.com

",画眉谷位于尧山北麓，因栖息着许多画眉鸟而得名，有着优美的自然风光，景区内奇山怪石、清溪碧潭、山花野果、珍禽走兽无处不在，含盘龙谷休闲区、红石峡区、原始森林区三大区域，既有以元宝潭、画眉湖、杜鹃湖为代表的水文景观，又有以红石瀑、六叠瀑、静水湖瀑布为代表的瀑布景观，还有以鹰嘴石、金龟出浴、神手净水、哼哈二将为代表的奇石景观。画眉谷景区植被覆盖率达95%，置身其中，随时随地能呼吸道清新的空气，处处能见繁花盛开，满山风景如画，四季风光各异。山静林幽，鸟语花香，闲云出岫，峰壑含烟，山上千年古树、万年林海，山下碧水如珠、绿荫成廊，是八百里伏牛山的精华所在，难怪被誉为“田园仙境”、“山水画廊”。景区内还有刺激的漂流和充满激情的篝火晚会，让人在这山水之间放松心情，返璞归真。,全年 08:00-18:00,https://img1.qunarzz.com/piao/fusion/1904/35/87e4dba84f883802.jpg_480x360x95_d31f90d6.jpg,3.9,建议游览时间：3小时 - 4小时,,{'画眉谷电子导览服务大小同价\n\n': ['¥15起']},,1
中原大佛景区Zhongyuan Big Buddha Scenic Area,http://travel.qunar.com/p-oi709833-zhongyuandafojingqu,"

地址:
平顶山市鲁山县赵村乡上汤村


电话:
0375-5767999,0375-5760999


官网:
http://www.zhongyuandafo.com/

",中原大佛，位于平顶山市鲁山县赵村乡境内尧山旁，距离平顶山市区约95公里，比著名的无锡灵山大佛还要高大。如果你从平顶山市区走高速前往景区（高速公路自驾），约50分钟可以到达景区（如果乘坐班车，约2小时左右）。大佛高达208米，整体佛像铸造除了使用了三千多吨铜，尽然还用了上百公斤的黄金，世界佛光总会会长、佛光山开山宗长星云大师，为大佛题写“中原大佛”大字。景区内还有一口的“天瑞吉祥金钟”，重达100多吨。游览中原大佛景区并不复杂，游客只需沿着中轴线向前步行游玩即可。景区的中轴线上，依次有牌坊、佛泉寺、愿心台、福慧大道、普礼台、中原鲁山释迦大佛等景点景观（大部分都是近年新建的人工景点）。大佛面前有佛泉湖，湖水碧波荡漾，周围连绵群山环抱，远远看去，像九重莲花盛开，这就是民间传说的“前有照，后有靠，依山傍水的莲花盆地”的宝地。中原大佛法相庄严，佛像庞大，在来景区路上的高速公路服务区内，就能远远的看到金色的大佛在山顶屹立着，在蓝天白云衬托下，阳光洒在大佛身上，光芒四射，非常壮观。当你来到这里，抬头仰视大佛时，会感到大佛在好几个角度都在直视着你，给人智慧和心灵的慰藉，给朝拜的信众增添了信心和福报。很有游客还会乘坐大佛塑像内部的电梯，来到大佛的脚下，摸摸大佛的脚，这就是“抱佛脚”，信众们相信这样能给自己带来好运。乘坐电梯需要另外付费：50元/人，也就是说“抱佛脚”不是随便能抱抱的，需要付些香火钱~景区平时游客并不多，但是每逢节假日前来敬香祈福的游客会非常多，如果条件允许，建议错峰前往，敬香拜佛不用赶时节。大佛景区与尧山风景区相距不远，可以和尧山风景区一并游玩。,全年 08:00-18:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1558466053276100314000000wgf47BBF1_D_640_10000.jpg_480x360x95_ab3680fc.jpg,4.5,建议游览时间：1小时 - 2小时,,{'中原大佛景区电子讲解票大小同价\n\n': ['¥10起']},,1
尧山风景区Yaoshan Scenic Area,http://travel.qunar.com/p-oi7469170-yaoshanfengjingqu,"

地址:
平顶山市鲁山县尧山镇西竹园村


电话:
0375-7652888,0375-7652899


官网:
http://www.yaoshanly.com/

",尧山风景名胜区，位于伏牛山的东段，是尧的裔孙刘累立“尧祠”纪念先祖的地方，这里是天下刘姓的发源地。景区内山峰奇特，处处都是郁郁葱葱的大树，还有数量众多的瀑布。这里的景点主要有冬凌潭、石扉玉章、三岔口、白龙潭、半仙居、石人、鸡冠石等部分，是登山赏景的好地方。游客进入景区大门后，可以乘坐景区提供的观光车（车票不在景区大门票内，单程10元，往返20元）来到索道（上行80元，下行60元），你可以选择步行或者乘坐缆车来到半山腰，从半山腰步行到山顶大约需要1.5-2小时，从山下的通天门，到最高峰玉皇顶，步行登山约需要5-6小时，消耗体力较大，游客可以根据自身的情况，选择上山的方式。下山时，游客也可以选择坐滑道下山（需要另外付费）。尧山的景色以秋季最为美丽。每年的10月中旬至11月底，山中树叶的颜色变得红灿灿起来，层层叠叠，十分壮美。美丽的风光在山顶，站立主峰玉皇顶上，遥望四周，景色迥异，构成了一幅幅美不尽收的图画。如果运气好的话，游客还能在山顶看壮观的云海景象。景区内可以住宿，一般标间的价格在150-250元之间。景区内也有些小商贩售卖一些当地的土特产，根据部分游客反映，价格一般偏高。登山比较消耗体力，建议游客带一些零食和饮用水。山顶风比较大，无论什么季节去，都要注意保暖。,12/01-2/28 08:00-17:00;03/01-11/30 08:00-18:00,https://img1.qunarzz.com/travel/poi/1408/26/6566f7b1e5e851b9ffffffffc8d65eac.jpg_480x360x95_8a008228.jpg,4.5,建议游览时间：5小时 - 6小时,,"{'尧山风景区门票成人票\n\n': ['¥65起'], '尧山风景区门票优待票\n\n': ['¥35起'], '尧山风景区+景区内往返小交通门票\n\n': ['¥95起']}",,1
石漫滩,http://travel.qunar.com/p-oi715275-shimantan,,是在1987年拟建的“石漫滩森林植物园总体规划方案”的基础上，经国家林业部审定，于1992年2月以林造批字（92）154号文批复同意建立的45处国家级森林公园之一。位置辖区：森林公园位于河南省中部、舞钢南部、伏牛山东麓，黄淮平原西侧。包括石漫滩国有林区和铁山；尚店、武功、尹集、杨庄、王店、庙街等7个乡镇及垭口、寺坡、院岭三个办事处。并与市区毗邻。总面积190平方公里，其中景区面积120平方公里。规划四条旅游线路和十大景区（龙泉湖、九头崖、天池、旗山、马鞍山、平岭、九...是在1987年拟建的“石漫滩森林植物园总体规划方案”的基础上，经国家林业部审定，于1992年2月以林造批字（92）154号文批复同意建立的45处国家级森林公园之一。位置辖区：森林公园位于河南省中部、舞钢南部、伏牛山东麓，黄淮平原西侧。包括石漫滩国有林区和铁山；尚店、武功、尹集、杨庄、王店、庙街等7个乡镇及垭口、寺坡、院岭三个办事处。并与市区毗邻。总面积190平方公里，其中景区面积120平方公里。规划四条旅游线路和十大景区（龙泉湖、九头崖、天池、旗山、马鞍山、平岭、九州、螃背山、五峰山、九龙山）76个景点。规划格局：以龙泉湖景区为轴心，以九头崖、天池景区为两翼、沿四条旅游线辐射四周。建成集山青、水秀、洞奇、石美为一体的休闲观光旅游胜地，把舞钢市建成集山、水、林、城、游为一体的工业旅游城市。,,https://img1.qunarzz.com/travel/d0/1410/21/7477500eeea984e9ffffffffc8d65eac.jpg_480x360x95_b5b0e97b.jpg,5.0,,,,,1
苏轼父子墓,http://travel.qunar.com/p-oi711335-sushifuzimu,,位于郏县城西27公里处的小峨嵋山东麓。背嵩阳，面汝水，山川秀丽，风景宜人。北宋大文学家苏轼、苏辙与其父苏洵衣冠葬此，至今有近900年的历史。苏坟为历代文人墨客所景仰，留有许多珍贵的诗文碑刻。苏洵、苏轼、苏辙，同列“唐宋八大家”，世称“三苏”。特别是号称全能大家的苏轼，道德文章堪称天下一绝，留下许多传世之作。北宋建中靖国元年（1101年）七月，苏轼病卒于常州。次年，苏辙遵其“即死，葬我嵩山下，予我为铭”的遗愿，葬苏轼于小峨嵋。11年以后，苏辙于政和二年（1112...位于郏县城西27公里处的小峨嵋山东麓。背嵩阳，面汝水，山川秀丽，风景宜人。北宋大文学家苏轼、苏辙与其父苏洵衣冠葬此，至今有近900年的历史。苏坟为历代文人墨客所景仰，留有许多珍贵的诗文碑刻。苏洵、苏轼、苏辙，同列“唐宋八大家”，世称“三苏”。特别是号称全能大家的苏轼，道德文章堪称天下一绝，留下许多传世之作。北宋建中靖国元年（1101年）七月，苏轼病卒于常州。次年，苏辙遵其“即死，葬我嵩山下，予我为铭”的遗愿，葬苏轼于小峨嵋。11年以后，苏辙于政和二年（1112年）卒于许昌，葬于此。其后，苏轼子孙相继安葬在这里。到元代至正十二年（1352），郏县尹杨允置苏洵衣冠“座诸两公之间”。自词始称“三苏坟”。苏坟园内古柏参天遮日，夜晚山风来袭，潇潇洒洒如落雨声。这便是著名的郏县八景之一“苏坟夜雨”。,,,--,,,,,1
叶县县衙Ancient Government Office of Ye County,http://travel.qunar.com/p-oi39818361-yexianxianya,,,,,0.0,,,,,1
