名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
剑门关Jianmen Pass,http://travel.qunar.com/p-oi702235-jianmenguan,"

地址:
广元市剑阁县河东街64号


电话:
0839-6750978

",“一夫当关，万夫莫开”的剑门关位于四川剑阁县城南大小剑山中断处。剑门关景区的核心景点有：一线天、天梯峡栈道、鸟道或猿猱道、玻璃观景台以及关楼。从景区北门坐索道到半山腰，然后你可以选择鸟道或者猿猱道到山顶。猿猱道非常险，需租用专业登山装备攀登上山，非常惊险刺激，可以真正体会“猿揉欲度愁攀岩”。鸟道上山则相对较容易，只有部分台阶较陡，可以体验“西当太白有鸟道”的乐趣。到达山顶后可以在玻璃观景台欣赏剑门关的壮美风景。从南门一路过去的核心景点便是关楼了，站在关楼上，感受一夫当关，万夫莫开的情景。原本的关楼几经损毁，大家现在看到的关楼是2009年左右在原址上重建的建筑。,04/01-10/31 08:00-17:00;11/01-12/31 08:30-16:30;01/01-03/31 08:30-16:30,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/db84590b5529adbc84f6b7b42a616fbf.jpg_480x360x95_9031ae0f.jpg,4.6,建议游览时间：12小时 - 3天,最佳旅游时间：3-5月。四川盆地属温润的亚热带季风气候，具有冬暖、春旱、夏热、秋雨的特点。 与中国同纬度的长江中下游地区比较，1月平均温度一般都高出3℃以上，极端最低温度一般高出10℃以上，造成盆地湿气重、雾多、日照少的气候特色。 盆地雨量充沛，多集中在夏秋季节的7、8、9月间。,"{'剑门关门票成人票\n\n': ['¥85起'], '剑门关门票优待票\n\n': ['¥20起'], '翠云廊门票成人票\n\n': ['¥32起']}",,1
苍溪红军渡Cangxi Hongjundu,http://travel.qunar.com/p-oi716568-cangxihongjundu,"

地址:
广元市苍溪县陵江镇红军村


电话:
0839-5281001

",红军渡有红军渡标志铜质塑像、红军渡口遗址、将帅台、红军石刻标语碑廊、红四方面军长征出发地纪念馆、纪念林、红军街、渡江指挥所、王渡、功勋馆、万名烈士纪念碑、将军陵、强渡嘉陵江战役纪念碑以及百家姓氏拜祭台和华母亭、仰天楼和南天门闻钟楼、乡土树种博览园等主要参观地。红军在苍溪转战期间，苍山溪水遍布红军脚印，苍溪人民与红军血脉相连，留下了许多的珍贵的文物。红军渡：红四方面军强渡嘉陵江战役遗址，原名塔山湾渡口，是红四方面军长征出发地，在距苍溪县城3公里处的塔子山下。1935年3月28日，为了迅速贯彻“渡江西进”的战略方针，副总指挥王树声以及红三十三军军长王维舟等人，亲临前线，观察敌情，选定此处为强渡嘉陵江主渡口。这里是红四方面军策应中央红军挥师西进迈出的第一步，如今已成为红四方面军强渡嘉陵江战役纪念地，全国爱国主义教育基地。谭家大院：强渡嘉陵江战役总指挥部遗址，位于苍溪塔子山后山下，张国焘与强渡嘉陵江战役、副总指挥王树声、红三十军军长余天云、副军长程世才等同志在此直接指挥了强渡嘉陵江战役。王渡造船厂：红四方面军渡江造船遗址，位于距苍溪县城20公里的嘉陵江支流东河岸边王渡场附近，厂址设在蔡家院子外面的河边。1935年农历2月25日前，建造了适应强渡的船身小、形式巧、体量轻、航速快、每只可容一班人的“毛蚌壳”（也叫“五板子”）船75只，为红军胜利强渡嘉陵江提供了物资保证。同时，红军充分利用王渡河滩与嘉陵江红军渡江主渡口相似的地形地貌，在东河上进行了渡江演练，有军事专家称这是红军的第一支水军诞生地。文昌宫：川陕省苍溪县苏维埃政府旧址。该址在县城东北73公里的文昌场上。黄猫垭：黄猫垭战斗遗址。黄猫垭位于苍溪县城东北102公里的蟠龙山梁上，山上盘龙寨和狮子寨之间的岩壁上，有一对黄色巨石其形若猫，故名黄猫垭。为纪念黄猫垭战斗的伟大胜利，于1967年修建了“黄猫垭战役胜利纪念碑”竖立于黄猫垭口。,8:30-19:00,,4.6,建议游览时间：1小时 - 2小时,,免费,,1
梁山寺Liangshan Temple,http://travel.qunar.com/p-oi10034746-liangshansi,"

地址:
广元市剑阁县大剑山绝顶


电话:
0839-6750331

",梁山寺在剑门关大剑山绝顶，位于海拔1180米的剑门七十二峰的桃花峰与逍遥峰之间的“舍身崖”上，曾是梁武帝萧衍于公元551年出家修行的地方。寺院主要景点有大门对联、观音殿、八角井等。,全年 8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0ee1c49b91c0ef3d890379df660d258c.jpg_480x360x95_4eb0c203.jpg,4.0,建议游览时间：1小时,,包含于剑门关景区内，通用剑门关景区门票。,,1
昭化古城Zhaohua Ancient Town,http://travel.qunar.com/p-oi704947-zhaohuagucheng,"

地址:
广元市元坝区昭化古城


电话:
0839-8310919,0839-8310866


官网:
http://www.tzhaohuagucheng.com/

",昭化古城，古称葭萌，位于广元市元坝区昭化镇，是国内目前唯一保存完好的三国古城。你可以在古城内走街串巷，观赏街道两侧至今保存完整的明清建筑。城内还有很多三国遗址遗迹值得一看，比较有名的有：费祎墓（敬侯祠）、怡心园 、龙门书院（汉城博物馆 ）、战胜坝、葭萌关、天雄关等。对三国历史感兴趣的游客不妨去寻找这些景点，凭吊一番。昭化古城是中国古代最早推行郡县管理制度的县之一，是名副其实的巴蜀第一县。早在2000多年前，昭化便是著名的古战场，名曰：霞萌关，是古蜀道上的咽喉。《三国演义》中张飞挑灯夜战马超黄忠、严颜退曹军和姜维兵困牛头山的故事，都发生在这里。现在的昭化古城是明代重建，古城的基本格局和规模都得以留存，城里至今还留存有三座城门，其中城西的战胜坝可以登临。,全年 08:00-18:00,https://img1.qunarzz.com/travel/d2/1707/f9/769a12a1b71a2bb5.jpg_480x360x95_6ce6a1bc.jpg,4.7,建议游览时间：3小时 - 4小时,,"{'昭化古城门票成人票\n\n': ['¥45起'], '昭化古城门票儿童票\n\n': ['¥26起'], '昭化古城门票老人票\n\n': ['¥26起']}",,1
鼓城山·七里峡,http://travel.qunar.com/p-oi9207405-guchengshanqilixia,"

地址:
四川省广元市旺苍县鼓城乡


电话:
0839-4203225

",七里峡在四川盆地北部边缘，川陕两省交界的米仓山南麓的广元市旺苍县境内。七里峡，顾名思义，就是两岸高山之间形成的一道幽长、幽静、幽深、幽美的峡谷，七曲九弯，谷壁陡峭，绿树交织，藤蔓垂拂，时而山重水覆疑无路，时而谷回路转又一“村”；清澈纯静的溪水，时而飞瀑泻长，时而跃生水花。潭如碧玉，绿意尽染，可触可摸。游人至此，完全与自然融合，陶然忘我，其乐无穷。蜀道难，难于上青天。古代出蜀的主要道路“金牛道”上一路危关险隘无数，不仅要飞渡绝壁栈阁，还要翻越秦岭...七里峡在四川盆地北部边缘，川陕两省交界的米仓山南麓的广元市旺苍县境内。七里峡，顾名思义，就是两岸高山之间形成的一道幽长、幽静、幽深、幽美的峡谷，七曲九弯，谷壁陡峭，绿树交织，藤蔓垂拂，时而山重水覆疑无路，时而谷回路转又一“村”；清澈纯静的溪水，时而飞瀑泻长，时而跃生水花。潭如碧玉，绿意尽染，可触可摸。游人至此，完全与自然融合，陶然忘我，其乐无穷。蜀道难，难于上青天。古代出蜀的主要道路“金牛道”上一路危关险隘无数，不仅要飞渡绝壁栈阁，还要翻越秦岭之巅。千百年来蜀道上征战不断，兵燹成灾，因此行往商贾就选择了另一隐密之路“米仓道”出蜀，旺苍的七里峡处在往汉中出蜀而进军中原的“米仓道”之中。当年刘邦“明修栈道，暗度陈仓”就从这里诡密出兵，进攻西楚，一举夺取天下而建立了大汉王朝。三国时期的诸葛亮也是从米仓道发兵汉中，去与魏国争雄。七里峡那幽长狭窄、艰难险阻的古道，几千来曾演绎出了多少可歌可泣的动人故事。,8:00-18:00,https://img1.qunarzz.com/travel/poi/1605/70/4589c141919873f7.jpg_480x360x95_3a501d20.jpg,--,,,60元,,1
栈道,http://travel.qunar.com/p-oi720434-zhandao,,栈道之名，起时相当古老，《史记》上述：“栈道千里，通于蜀汉。”栈道的路线与石牛道路线相同，由于石牛道穿过狭谷地段多，为在狭谷中开辟道路，多在陡岩上架木成道。石牛道上的栈道，《宋会要辑稿?道路》说：北宋时，入川大路自凤州到剑门关直入益州，路途遥远，桥阁约9万间。《汉中地区地理志》记：北宋时为5800多间，元代减为2800间，明代减为2200间，清代几乎全被碥道代替。栈道，多处在崖壁的外边缘，置有栏杆，顶上加有棚盖。从远处望去，是横越山岩的楼阁，所以又称“阁道”。...栈道之名，起时相当古老，《史记》上述：“栈道千里，通于蜀汉。”栈道的路线与石牛道路线相同，由于石牛道穿过狭谷地段多，为在狭谷中开辟道路，多在陡岩上架木成道。石牛道上的栈道，《宋会要辑稿?道路》说：北宋时，入川大路自凤州到剑门关直入益州，路途遥远，桥阁约9万间。《汉中地区地理志》记：北宋时为5800多间，元代减为2800间，明代减为2200间，清代几乎全被碥道代替。栈道，多处在崖壁的外边缘，置有栏杆，顶上加有棚盖。从远处望去，是横越山岩的楼阁，所以又称“阁道”。桥梁横水而过，栈道傍水而行，古人称为“桥阁”。,,https://img1.qunarzz.com/travel/d9/1511/de/c4a7a6fbaa1175f7.jpg_480x360x95_32099bd3.jpg,4.0,,,,,1
千佛崖Qianfo (Thousand Buddha) Cliff,http://travel.qunar.com/p-oi7468706-qianfoya,"

地址:
广元市利州区嘉陵江东岸千佛崖风景区


电话:
0839-3231480,0839-3290080

",千佛崖位于四川广元市城北的嘉陵江东岸，与皇泽寺隔江相望，全崖造像以大云洞为中心，分南北两段。景区内可以看到许许多多的龛窟和大小造像，令人惊叹不已，感慨于古时精湛的佛像雕刻技术。景区的石刻都位于嘉陵江边，游客可以请一个导游，边走边听边欣赏。导游会介绍历史上不同时期佛像雕刻技术的风格，增长一些这方面的知识也是不错的。这里有无数的佛像，看得让人眼花缭乱，用相机记录下来，一定非常震撼。,9:00-17:30,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/201911/56d9eaf32210b5b6512787f7e1c362ff.jpg_480x360x95_0fa8f1ec.jpg,4.5,建议游览时间：3小时 - 4小时,,"{'千佛崖门票成人票\n\n': ['¥49.5起'], '千佛崖门票双人票\n\n': ['¥100起'], '广元千佛崖电子讲解票大小同价\n\n': ['¥1.3起']}",,1
翠云廊Emerald Cloud Gallery,http://travel.qunar.com/p-oi718307-cuiyunlang,"

地址:
广元剑阁县剑门关镇北街


电话:
0839-6750978,0839-6750967

",翠云廊位于剑阁县境内，是以险著称的剑门蜀道的一段，这里的风光保护得非常好，充满了原始的自然气息。不仅如此，剑门蜀道也极具人文历史气息，是一个自然与人文兼有的景区。景区内有一条古柏树长廊，这里是每个游客必去的地方。道路两旁，矗立着各种形态千奇百怪的柏树，它们大多都有很长的树龄，保护得非常好。喜欢摄影的游客也可以在此拍摄惊奇震撼的风景照。,9:00-18:00，17:00停止售票。,https://img1.qunarzz.com/travel/poi/1409/29/22f38213c5227d98ffffffffc8d65eac.jpg_480x360x95_72d72b1b.jpg,4.4,建议游览时间：2小时 - 3小时,最佳旅游时间：春、夏、秋。 ,"{'翠云廊门票成人票\n\n': ['¥32起'], '翠云廊门票优待票\n\n': ['¥20起'], '剑门关门票+翠云廊门票成人票\n\n': ['¥106起']}",,1
皇泽寺Huangze Temple,http://travel.qunar.com/p-oi7468721-huangzesi,"

地址:
广元市利州区皇泽路97号


电话:
0839-3607013,0839-3607017

",皇泽寺始建于后蜀广政二十二年（公元959年），寺内现保留有则天殿、中心柱窟、大佛楼、小南海、吕祖阁、五佛亭、望江楼，新建有女皇山庄，宋代墓室浮雕墙。寺内有各种摩崖造像、石刻、宋代墓室浮雕墙等展现古代雕刻技术的珍品，可以参观游览、增长见识。皇泽寺内遍布着开凿于北魏至明清的许多石刻造像，极具观赏价值，建议驻足欣赏。还有一组宋墓浮雕石刻也是值得一看的，它由本地黄砂岩石刻成，经过修葺后镶嵌在照壁上，展现了当时精湛的雕刻艺术。,5/1-9/30 08:00-18:30;10/1-4/30 08:00-18:00,https://img1.qunarzz.com/travel/poi/1408/25/d7b804aeedca61cffffffffc8d65eac.jpg_480x360x95_b9ad4ce2.jpg,4.2,建议游览时间：2小时 - 3小时,,"{'皇泽寺门票成人票\n\n': ['¥45起'], '皇泽寺门票学生票\n\n': ['¥25起'], '皇泽寺电子导览服务大小同价\n\n': ['¥6起']}",,1
明月峡Mingyue Gorge,http://travel.qunar.com/p-oi7468739-mingyuexia,"

地址:
广元市朝天区明月峡景区


电话:
0839-8624777

",明月峡，是嘉陵江冲破山脉而形成的峡谷，可称其为蜀道咽喉中的咽喉，是连接南北的唯一通道，地势险峻，得天独厚。峡谷内遍布奇峰怪石，能欣赏到奇特的自然景观。明月峡原名朝天峡，后明清文人墨客取李白诗“清风清，明月明”之意改名明月峡，后又被人们称为“中国道路交通博物馆”。行走在景区的栈道里，亲自感受蜀道的艰险和嘉陵江的壮美，趣味十足。,8:30-17:30,https://img1.qunarzz.com/travel/d9/1706/64/4562e1263c0b3db5.jpg_480x360x95_4ce8727c.jpg,4.4,建议游览时间：2小时 - 3小时,,"{'明月峡门票成人票\n\n': ['¥63起'], '明月峡门票优待票\n\n': ['¥35起'], '明月峡电子导览服务大小同价\n\n': ['¥6起']}",,1
