名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
银城花海Silver City Flower Sea,http://travel.qunar.com/p-oi10071379-yinchenghuahai,"

地址:
广安市岳池县大石乡银城花海（广岳大道旁）


电话:
0826-5515666

",银城花海是岳池现代休闲观光农业发展的一个新亮点，是集智慧农业、休闲农业、养生度假、乡村旅游于一体的现代都市休闲农业。走进花香四溢的花海内，马鞭草、醉蝶花、千日红、鸡冠花、鼠尾草、格桑花、向日葵、万寿菊……上百种花草在秋日阳光下争奇斗艳，络绎不绝的游客或漫步观光步道，或在花丛中留影，灿烂的笑容与美丽的花朵交相辉映，形成一道靓丽的美景。,8:30-18:00,https://img1.qunarzz.com/p/tts6/1807/71/baf3bff74c3d5a02.jpg_480x360x95_a8cfaa64.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'银城花海门票成人票\n\n': ['¥28.8起'], '银城花海门票亲子票(1大1小)\n\n': ['¥58起']}",,1
华蓥山Huaying Mountain,http://travel.qunar.com/p-oi705535-huayingshan,"

地址:
广安市华蓥市红岩乡高顶村华蓥山旅游区


电话:
08264330178,08264330188


官网:
http://www.517hys.com/index.aspx

",华蓥山景区位于广安华蓥市境内，是我国红色革命旅游胜地。游客可以观赏到奇特的喀斯特地貌景观和红色革命为主题的人文景观，还有漫山的山茶、磅礴的云海和茂密的竹海。在华蓥山景区游玩，会发现路上耸立着一片一片的石林，有高有低，它们都是自然形成的。除了俊美的自然风光，华蓥山还是一座英雄山。早在1927年就有中共地下党活动，三、四十年代，这里曾是中共华蓥山地下党和华蓥山游击队从事武装斗争的根据地。此处曾开办纸厂供应新华日报。解放战争时期，这里是中共川东地下党领导的华蓥山游击队战斗的地方。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d6/1706/f6/692c0479e55ef2b5.jpg_480x360x95_f864a9ac.jpg,4.4,建议游览时间：12小时 - 3天,,80元,,1
岳池翠湖Yuechi Green Lake,http://travel.qunar.com/p-oi713672-yuechicuihu,"

地址:
广安市岳池县花园镇境内，南距岳池县城区8公里


电话:
0826-2336486

",    翠湖，山清水秀的“川东西子湖”，原名响水滩水库，1983年水库兴建为旅游风景区，因山色青翠而得名翠湖，其四季风光，各有奇观，美景应时而变：春登望湖楼，见碧水天，玉带长堤横锁一弘湖水，桃红柳绿，灿烂如锦绣；夏入沁芳园，品茗饮浆，望金城山烟云笼罩，听溢洪道飞瀑直下，顿觉心旷神怡；秋抵湖中小岛尖山寺，银风塔的挺拔秀美，龟山的浑然天成，碑林书法的遒劲飞扬，让人流连忘返；冬至碧水环绕的龙华山，不仅能欣赏诗文画栋，古榕盘空，还能领略佛幽静。       大坝的右侧是望湖楼，楼上匾额是大书发家赵蕴玉所写，望湖楼共有三层，层层皆可看风景，举目眺望，四周山峦重叠，所有景色尽收眼底。楼下大坝，白色的栏杆整齐排列在大坝两侧，如同镶嵌在石坝上的玉带，“玉带横锁千山水，琼搂纵托九霄霞”。      翠湖的很多景点都需要乘船去观赏的，一路可游龙华山、尖山寺、银风塔等。站在银风塔上还能观赏翠湖八景：玉带长堤、芳园秋月、银风倒影、龙华晚照、平湖岚光、溢流飞瀑、龟山揽胜、金城烟云。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/60b5e19b842a233ca2a59647670b836c.jpg_480x360x95_74313eaf.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
仙鹤洞,http://travel.qunar.com/p-oi707226-xianhedong,"

地址:
四川-广安-华蓥市


电话:
0826-2336486

",仙鹤洞位于华蓥市溪口镇六池堡，海拔690米，距华蓥市区28公里。形成于二千万年前，总长约10公里，现已开发3公里。据传，仙鹤洞的“仙鹤”，是武汉黄鹤楼的黄鹤飞临至此，见此处风光秀丽，洞景壮观，就在该洞长久地住了下来，故名仙鹤洞。洞中景观奇特，令人眼花缭乱。“出水芙蓉”、“迎客古松”、“小桥流水”、“栖鹤听泉”、“海底朝天”、“高僧打禅”，各种图像栩栩如生。特别是仙鹤大厅，景致更奇，石钟乳景观千姿百态，遍布林立，有的像神仙聚会，有的像智者吹箫，有的似乐师...仙鹤洞位于华蓥市溪口镇六池堡，海拔690米，距华蓥市区28公里。形成于二千万年前，总长约10公里，现已开发3公里。据传，仙鹤洞的“仙鹤”，是武汉黄鹤楼的黄鹤飞临至此，见此处风光秀丽，洞景壮观，就在该洞长久地住了下来，故名仙鹤洞。洞中景观奇特，令人眼花缭乱。“出水芙蓉”、“迎客古松”、“小桥流水”、“栖鹤听泉”、“海底朝天”、“高僧打禅”，各种图像栩栩如生。特别是仙鹤大厅，景致更奇，石钟乳景观千姿百态，遍布林立，有的像神仙聚会，有的像智者吹箫，有的似乐师弹琴。过了大厅还有“洗手池”、“擎天柱”、“雅乐廊”、“天籁”、“夕阳红”、“鹊桥会”等奇妙景观，让人目不？L接。洞中最大的厅有500多平方米，最高处69米，支洞近50余个，有300余处，洞中冬暖夏凉，四季如春。洞中小河有一种小鱼，人们能看见鱼的内脏，俗称“玻璃鱼”。此洞从1998年开发以来，已对外开放2.8公里。龙宫、迷宫、海底世界、阴河幽径等景观正在开发之中。,08：00—18：00,,5.0,,,86元,,1
思源广场Guang'an Siyuan Square,http://travel.qunar.com/p-oi722857-siyuanguangchang,"

地址:
建安中路与思源大道交叉口旁


电话:
0826-2399125

","思源广场，是广安经济技术开发区的综合性城市广场，突出致富思源主题，是标志性工程。思源广场以水为主题，以宝鼎为中心。主景广场规划有""实事求是宝鼎""、气势磅礴的音乐喷泉、富有特色的大型雕塑等景点。两侧分别建有市图书馆和游人中心。",全年 全天开放,https://img1.qunarzz.com/travel/d7/1612/df/c4fde73768bf27b5.jpg_480x360x95_ce7523ce.jpg,4.9,建议游览时间：1小时 - 2小时,,免费,,1
肖溪古镇Xiaoxi Ancient Town,http://travel.qunar.com/p-oi710043-xiaoxiguzhen,"

地址:
广安市广安区中心街肖溪镇


电话:
0826-2595601

",肖溪古镇又称唐宋古镇，有近千年历史，位于四川省广安市广安区的东北部。肖溪古镇保存完整的主要有老街、新街、半边街，非常有建筑特色。老街是其主要街道，街后面的巴渝古道就是肖溪古镇历史的见证。沿着弯曲而平坦的乡间公路走进古镇，只见这里山、水、镇、寺合为一体。正如古镇场头牌坊对联诗云：“百年渺街恋幽篁独领巴渝风景，千载摩崖留华赋尽书禹甸文明。”在这随便散散步，放松身心，是非常惬意的。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/bb592e7d9e3420bb25004b5e0b53612e.jpg_480x360x95_40ad6392.jpg,4.7,建议游览时间：3小时,,具体收费情况以现场公示为主,,1
神龙山巴人古堡Shenlong Mountain Ba People's Castle,http://travel.qunar.com/p-oi710240-shenlongshanbarengubao,"

地址:
广安市城南公园街188号


电话:
0826-2888999

",    神龙山巴人古堡旅游区位于广安市区南郊，距市中心仅1.5公里，因其山势突兀险要，蜿蜒欲飞呈腾龙之状而得名。这里曾经是古代巴国的要塞和朝圣、祈福、观天汇合场所。古堡由数万块重以吨计的条石构建而成，所以又称巴人石头城。     神龙山是古代巴国通往秦蜀之间的要径，东指荆楚，南卫虎都，西连蜀汉，北望三秦，是巴国重要的门户之一。它控南北要隘，扼东西咽喉，易守难攻，是当时进入巴国的首重要通道，自古为兵家必争之地。其核心部分猊峰城，就是古代巴国留下的一个军事要塞，由龙门关、土舟湖、龙台三部分构成，始建年代己不可考，因年代久远，战乱频繁，原有城堡早已颓毁，现在的猊峰城是依据旧址恢复修缮的。 　　据历史记载，广安曾经是古代巴人板盾蛮主要的栖息地之一。这座城堡始建于2000多年前的战国末期，是古代巴人为保护当时的国都江州（重庆）和后来的阆中而设立的军事要塞。公元前316年秦昭王灭巴国之后，这里又成为巴人板盾蛮部落的城防重地；隋唐以后，随着巴人板盾蛮的政治地位和影响力的下降，猊峰城又慢慢演变成地方政权的军事城堡；到了南宋，在淳佑三年至咸淳二年的20多年间，这里又为抵御蒙古军入侵的重要堡垒；近代，由于军阀混战，巴人后裔的豪门望族纷纷凭据深丘巨岭，占山为王，择险立寨，聚族而居。如今的景区绿树掩映、碉堡林立，古朴庄严，巴人雄浑的建筑风貌、刚直的线条矗立在游人眼前，是全国仅有的巴人文化遗存。 　　神龙山巴人古堡包含景点：猊峰城、龙门关、土舟湖、天外来客、巴国门户、巴王石、龙台、北瓮城、龙泉井、神坝、巴风楼、“巴国风情”剧场、龙泽寺、城防街城防暗道、巴文化展示廊、逃生路、北望楼、巴楼望乡、南翁城、城南故道、箭楼。,7:00-18:00,https://img1.qunarzz.com/travel/d8/1707/58/72548aa20b0f3fb5.jpg_480x360x95_949df7d9.jpg,4.6,建议游览时间：1小时,,"{' 神龙山巴人古堡门票成人票\n\n': ['¥40起'], ' 神龙山巴人古堡门票优待票\n\n': ['¥23起'], '神龙山巴人石头城电子讲解服务大小同价\n\n': ['¥9起']}",,1
水杉山庄,http://travel.qunar.com/p-oi718825-shuishanshanzhuang,"

地址:
华蓥市天池镇仰天窝

",水杉山庄位于华蓥市天池镇仰天窝，属华蓥山森林公园一期工程，1997年建成使用。山庄地处高山，四周环绕着上万亩天然白夹竹、阔叶林和杉木、马尾松人工林，分布有“植物活化石”水杉林、枫树林、柳杉林、花竹和小石林等景点，冬可观雪景，盛夏可避暑。同时，随着华蓥山森林公园二期工程建设的启动，将建立二星级旅游接待中心及森林沐浴区、 山顶牧场、儿童游乐设施、实弹射击场等。山庄交通便捷，服务功能完善，现为国家AA级旅游区，是人们休闲度假的好去处。,全天,,5.0,,,免费,,1
岳池龙湖公园,http://travel.qunar.com/p-oi39316183-yuechilonghugongyuan,,,,,5.0,,,,,1
岳池农家生态文化旅游区,http://travel.qunar.com/p-oi39175907-yuechinongjiashengtai,,,,,0.0,,,,,1
