名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
长隆野生动物世界Chimelong Safari Park,http://travel.qunar.com/p-oi715300-zhanglongyeshengdongwu,"

地址:
广州市番禺区大石镇105国道大石段593号


电话:
400-883-0083


官网:
https://www.chimelong.com/gz/safaripark/

",长隆野生动物世界以动物保护、繁育为基础，以珍稀动物大种群展示为特色，汇集了世界各地500多种、2万多只珍稀动物。保育有大熊猫三胞胎萌萌、帅帅、酷酷；繁育至第七代的考拉种群。长隆野生动物世界被评为“全国野生动物保护科普教育基地”、“全国科普工作先进集体”、“广东省科普教育基地”、“广东省自然教育基地”、“2021年度广东省十佳科普教育基地”“广州市中小学生研学实践教育基地”，并在2019年加入世界动物园和水族馆协会(WAZA)，同时，获得“广东省博士工作站”资格。园区内保护动物的理念随处可见，图文并茂的动物知识牌、3个科普大讲堂、13个科普驿站，全年度开展不同主题的科普活动，多系列的研学课程，集讲解与动物展示于一体，让每一位游园的客人都能切身感受到保护动物、保护生态环境的重要性。此外，长隆野生动物世界举办了世界野生动植物日、爱鸟周、野生动物宣传月等大型主题活动，开展自然教育与野生动植物知识进校园活动，形成了园内园外互补的科普宣教体系。,10/1-10/5 08:30-19:00;10/6-10/7 09:00-18:30;10/8-10/31 09:30-18:00;11/1-12/31 09:30-18:00,https://img1.qunarzz.com/travel/d8/1809/97/8da79f545fd526b5.jpg_480x360x95_7e429461.jpg,4.7,建议游览时间：3天 - 6天,,"{'长隆野生动物世界一日门票亲子票(1大1小)\n\n': ['¥505起'], '长隆野生动物世界一日门票女士票\n\n': ['¥345起'], '长隆野生动物世界一日门票成人票\n\n': ['¥295起']}","出行准备园区为避免游客擅自投喂动物，是谢绝携带食品进场的。园里吃东西也挺方便，主要展区附近都设有餐饮点。推荐里面的套饭，有超大的鸡腿，大块的排骨，还有一份熏菜和素菜，绝对够吃。还有特色的鳄鱼汤，用料较足，没尝过鳄鱼肉的可以试试。因为生态比较原始,难免园里会有些蚊虫，可备一些药膏防虫或止痒的最好了。1、自驾区里面地形有点曲折，自驾车的朋友需有较好的驾驶技术，如果新手的话要注意四周的动物朋友。在自驾区是不能下车的，因为区内动物皆是自由散放的，所以游客必须呆在车上。因为考虑到动物健康，景区也是不允许投喂动物的。2、如天气比较恶劣，有些动物表演可能会停演。园区会另外提供小动物亲密互动体验等项目。3、游客最好提前规划游园路线，可以网上搜地图，到了景区门口也有免费游园地图提供。 游园分两部分，一是步行区，二是乘车游览区。步行区主要自由看动物及动物表演（免费）。乘车游览是坐园里的小火车游览（免费），约40分钟，十分惬意。所以整个游园时间主要是在步行区活动。如果想几场表演都看，需合理安排行程和时间。",1
广州塔Canton Tower,http://travel.qunar.com/p-oi5740179-guangzhouta,"

地址:
广州市海珠区阅江西路222号


电话:
020-89338222


官网:
http://www.cantontower.com/

",广州塔是广州地标，包括发射天线在内，塔高达600米，为国内有名的高塔之一，可自上而下俯瞰广州美景。其头尾相当，腰身玲珑细长，又有“小蛮腰”的俗称。这里晚上会亮灯，即使不游塔，也可来此拍摄外观，用以留念。广州塔从下到上，分为A-E一共5个功能区，塔基部分也就是A区为介绍广州历史、文化、经济和旅游景点等展示功能，并设置旅游服务配套设施。塔冠部分也就是E区，设置餐饮、娱乐功能及观景平台。广州塔的娱乐项目有高空横向摩天轮、阿尔法探索乐园、垂直速降极限项目“极速云霄”以及空中电影城，除外还有很多其它景点，比如488摄影观景平台、白云/星光观光大厅、科普游览厅、天梯等，大部分都是以观景摄影为主。广州的套票有很多种，可以根据个人的需要购买，当然如果想要体验摩天轮等项目，可以选择想应的套票，价格会比较合算。推荐3点半到达电视塔，然后排队安检买票，这样一般4点半-5点可以上到电视塔顶，就可以看日落的广州了，然后可以欣赏拍摄夜景，这样的行程安排基本可以看到白天、傍晚、夜晚的广州全景，比较全面。夏天去电视塔的话由于昼夜长短不同（夏天的夜景比较晚），往后推两小时即可，并且晚上7点-8点是电视塔人少的时候，错开人群也会比较舒服。珠江摄影观景平台：位于2楼，观景平台占地广，依江而建，视野独特广阔，适合于拍摄城市中轴线，也是与广州塔摄影留念的好地方，一般可以在此和塔拍照留念。金逸空中电影城：位于17楼至22楼，是全城位置第一高的影院，拥有国际先进视听设备，让您享受独到的视听效果和身临奇境的逼真体验。阿尔法探索乐园：包括云端漫步、凌空探险以及探索阿尔法等三大项目，集探险、团建、研学多功能于一体，以往只能在多伦多塔、迪拜塔、悉尼大桥等国外地标上才能体验到的项目，如今在广州塔就能近距离深度体验。其中凌空探险位于33层到58层之间，是广州塔阿尔法探索乐园中极具挑战性、惊险性和刺激性的重磅项目。白云/星空观光大厅：广州塔塔内428米和433米处分别设有白云、星空两大主题观光厅。蓝天白云，星空璀璨，广州城市新中轴与珠江美景尽收眼底。白云&星空观光大厅各设有一个悬空走廊，采用全透明钢化玻璃构造，当您低头的时候，给您凌空观景刺激感受，是拍摄留念的不二之选，也是来登广州塔的必到之处。科普游览厅：位于109、110层，它为你揭秘600米的广州塔如何抵抗强风和避震，对科技及知识敢兴趣的可以看下。460米摩天轮：共有16个球舱，球身采用全透明材质，每个球舱可乘坐6名游客，摩天轮运转一周约需20分钟。流连于横向摩天轮，在高处凝望浪漫星空，体会时光交错、天荒地老的绚美之感。450米摄影观景平台：450平台是游客以实惠的价格欣赏塔顶风光的户外平台。广州塔与世界所有高层建筑与众不同之处在于塔顶有开放的户外观景平台可供游客参观。游客可绕平台拾级而上，全方位欣赏羊城美景。450摄影观景平台设有摄影点，热爱摄影的朋友别忘了留影。488米户外观景平台：位于广州塔天线桅杆488米高处，是游客观光所能到达的至高点。2012年至2014年曾获吉尼斯世界纪录。立于广州塔之巅，可360度无障碍俯瞰羊城全貌，更能感受到一览众山小。480米极速云霄：450米极速云霄垂直速降项目位于广州塔天线桅杆455—485米处，是吉尼斯世界纪录保持者。该项目不仅有传统的“坐跳”，更有模拟自由落体的“站跳”，是超级勇者挑战高空极限的佳选。,9:30-22:30；内部游乐项目开放时间不一，详见景区公式。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/7bfce7d59dd6a11c1740b64b8edf7ac6.jpg_480x360x95_bdedc9fd.jpg,4.5,建议游览时间：2小时 - 4小时,,"{'广州塔433米白云星空观光票成人票\n\n': ['¥148起'], '广州塔433米白云星空观光票儿童票\n\n': ['¥75起'], '广州塔433米白云星空观光票优待票\n\n': ['¥75起']}",1、购票之后，进入电视塔须安检，程序非常严格，完全参照登机安检标准，水和食物、易燃易爆的危险物品都不让带，但可以在安检处寄存。2、广州塔设有东、西两个售票处。凡在璇玑或卢特斯餐厅用餐的顾客，可享受观光及游乐项目门票优惠。3、取票后需两小时内登塔，否则门票将自动失效。4、虽然83、84层有专门的观景台（D区），整个平台悬空，全由玻璃制成，方便照相取景，但由于这里的玻璃非常厚，清晰度并不好，同时因为逆光的原因，因此拍照的效果一般，这里狭小的空间还无法合影，而在32层的观景台（c区）则是露天的，完全没有玻璃阻挡，可以直接和外界的景色接触，北面可以俯视整条新中轴线，无论是单人照还是团体合影，这里拍照效果其实更好。5、广州塔的餐厅主要分布在A区及E区，A区的-1层有筷子荟亚洲餐厅，为东南亚风味餐厅，人均约100元，不需订位。其他E区餐厅由于不需买门票入塔，所以用餐需提前电话预约，然后经登塔大厅的餐饮特别通道乘坐电梯。如用完餐还想去广州塔其他景点游玩，就需补相应的门票费用了。E区的餐厅大多都走高端路线，价格偏贵，具体信息可以查询官网。6、游客可以进行网上购票，在线支付成功后，凭手机取票短信在广州各售票大厅或自助售票机上取票。,1
沙面Shamian Island,http://travel.qunar.com/p-oi713565-shamian,"

地址:
广州市荔湾区沙面


电话:
020-81217557

",沙面是广州很有有意思的地方，来这里主要是看建筑。这里的建筑向人展现着19世纪广州的欧陆风情，环境极美，很适合漫步其中，或是文艺青年们拍照。因为处处都是风景，你时不时可以在这见到拍婚纱照的新人，若有兴致，也可以等到华灯初上，找一家咖啡馆，沉思往事，遥望天鹅潭，别有一番情调。沙面的街头巷陌漫布着雕像、凉亭、花圃、木椅和喷水池等西式街道的元素，岛上有150多座欧洲风格建筑，其中有42座特色突出的新巴洛克式、仿哥特式、券廊式、新古典式及中西合璧风格建筑，是广州充满异国情调的欧洲建筑群。比较知名的建筑有：沙面大街2号-6号的楼房，俗称红楼，原是海关洋员华员俱乐部，高三层，红砖砌筑，南面和北面建有尖顶阁楼，仿19世纪英国浪漫主义建筑风格。沙面大街54号的建筑，原是汇丰银行，高四层，二层的外墙砌有通柱到三层顶，在西南面楼顶建有穹窿顶的亭子。沙面大街48号的楼房，是代表性的券廊式建筑，高三层，钢筋混凝土结构，四周的走廊均为券拱形，外墙刷水洗石米。沙面大街14号的露德天主教圣母堂，规模虽小，结构简单，但在其入口处仍然为仿哥特式。,全年 全天开放,https://img1.qunarzz.com/travel/d1/1704/91/7cd27467a85df6b5.jpg_480x360x95_b26a04fc.jpg,4.6,建议游览时间：3小时,10月-12月，秋季温度适宜，凉爽多风，好天气可持续到11、12月份，最适宜于旅游,"{'沙面艺术中心L.C美术馆门票大小同价\n\n': ['¥67.8起'], '沙面艺术中心L.C美术馆门票三人票\n\n': ['¥127.6起'], '沙面艺术中心L.C美术馆门票双人票\n\n': ['¥97.6起']}",,1
北京路步行街Beijing Road Pedestrian Street,http://travel.qunar.com/p-oi18700077-beijinglubuxingjie,"

地址:
广州市越秀区北京路


电话:
020-83195442

",北京路步行街地处市中心，它比起上下九步行街要来的小，但是它是广州城发源的伊始所在。上下九相当于北京的前门大栅栏，北京路步行街则更像是北京的王府井大街。来广州，你也可以把这里定位为探索这座城市的起点。它北起中山五路，南至惠福路，全程大约440米。这条象征着广州商业中心、呈南北走向的街道上，店铺鳞次栉比、来往人声鼎沸，似乎永远保持着蓬勃的活力，商场有比如广百百货及天河城百货等。这里的商业从10世纪广州城商业开始起昌盛并延续至今，无论你要买啥，这里基本都能找到。即便没有购物的意愿，来此走一走石板路，探访古街道的寻常巷陌，也是颇为有趣的事。这条“三朝古道”展示着宋朝的青灰砖、明清的黄砂岩石板以及红、黄砂岩和麻石板路面。此外，整条街道的“镇街之宝”莫过于安静的躺在钢化玻璃罩下的千年古道遗址。这也无疑为这条集古典氛围与商业中心于一身的北京路再添一抹亮色。另外，这里也不乏特色小吃，有墨鱼丸、鱿鱼、萝卜牛腩牛杂、棉花糖等等。但是吃东西相对而言还是上下九步行街更合适点，选择更多点。,全天开放,https://img1.qunarzz.com/travel/d3/1806/ec/042d9e8d2890f0b5.jpg_480x360x95_fb0fcc1d.jpg,4.5,建议游览时间：2小时 - 3小时,每年10月至12月最佳.春季的广州潮湿多雨，夏季稍稍炎热，时常会有台风；秋季温度适宜，凉爽多风，好天气可持续到11、12月份，最适宜旅游；冬季稍寒但时间短，当北方大雪纷飞时，在广州穿一件毛衣即可过冬。,"{'北京路步行街无线耳麦2小时人工讲解服务大小同价\n\n': ['¥48起'], '广州一日游：陈家祠+广州塔+沙面+石室圣心大教堂+永庆坊+海心桥一日游\n\n': ['¥168起'], '广州白云山+陈家祠+黄埔军校+花城广场+二沙岛一日游/含景交/品尝岭南风情宴/广场休闲游/打卡小蛮腰\n\n': ['¥288起']}",,1
千泷沟大瀑布Qianlonggou Waterfall,http://travel.qunar.com/p-oi8681453-qianlonggoudapubu,"

地址:
广州市从化良口镇锦村毛坪队19号


电话:
020-87898999

",广州联溪森林公园—千泷沟大瀑布旅游区是个亲山、亲水、亲竹、亲石的旅游区。区纵深约3公里，一路诗情画意。主要景点有仙人脚印、茅坪古村、竹海闻莺、红梨（利）木王、石虎饮潭、小泷石洞、汇泷潭瀑、石锅煮泉、幽谷翠溪、百步云梯、千泷大瀑布等。最壮观的是千泷大瀑布，落差80多米，宽度290多米瀑布成排，飞流直下，响声震谷，水雾迷漫，气势非凡，堪与黄果树瀑布媲美。此处长期闭塞，生态环境保护完好，负氧离子含量达每立方厘米10万个单位，有天然氧吧之称。动植物种类丰富，野生动物有：穿山甲、蝾螈（小娃娃鱼）、花栗鼠、画眉、长尾稚等等；野生植物有：荷树、野荔枝、椎树、花石榴、罗汉松等等。 景区途中设有观景台、表演台、休息区、餐饮区，突显原生态。游人可沿石径拾级而上，一步一景，越上越壮观。回程可乘坐观光车返回入口广场。游客既可饱览山水奇观，又可品尝特色美食，观看民俗歌舞，载乐而归。,全年 09:00-18:00,https://img1.qunarzz.com/travel/d3/1511/b4/bbce3d1750983bf7.jpg_480x360x95_37db2cbc.jpg,4.4,建议游览时间：3小时 - 4小时,,"{'千泷沟大瀑布（含售票处-半山往返观光车）门票成人票\n\n': ['¥58起'], '千泷沟大瀑布（含售票处-半山往返观光车）门票儿童票\n\n': ['¥28起'], '千泷沟大瀑布（含售票处-半山往返观光车）门票老人票\n\n': ['¥28起']}",,1
陈家祠Chen Clan Ancestral Hall,http://travel.qunar.com/p-oi715026-chenjiaci,"

地址:
广州市荔湾区中山七路恩龙里34号


电话:
020-81814559,020-81817371

",陈家祠始建于清光绪十四年(1888年)，是广东地区保存较完整的富有代表性的清末民间建筑，可以看到非常有特色的雕塑。除外，里面还可以看到一些艺术展和图片展之类的，在老房子中体会文艺。陈家祠初建时，为本族各地读书人赴广州参加科举考试提供住处。它有着古老的建筑风格，充满了广州风情和岭南特色，由于它保存完整，对古建筑及历史感兴趣的一定要去看下，如果对这些都不感兴趣，也可以去看下安静的老房子。由入口进入祠堂，按折线形进行参观，观赏顺序依次为：正厅（双面镂空木雕大屏门）-月台（石雕栏杆、铁铸通花栏板）-中进聚贤堂（定期专题展览）-后进中厅（百年陈氏书院图片展）-后东斋（流光溢彩——粤绣艺术作品展）-前东厢（旧广州家居展）。主要是观赏陈家祠的特色雕塑，在陈家祠各厅堂、廊、院、门、窗、栏杆、屋脊、砖墙、梁架、神龛等处，随处可见木雕、石雕、砖雕、陶塑、灰塑等传统建筑装饰以及铁铸工艺，其造型生动，色彩丰富。除了雕塑外，彩绘也不容错过。几千幅彩绘，没有相同的风格，也没有哪两幅是相同的，全都是靠作者丰富的想象，值得细细品读。,01/01-12/31 周二-周日 09:00-17:30;全年 周一 全天不开放,https://img1.qunarzz.com/travel/d7/1704/b2/eae8570bc7104cb5.jpg_480x360x95_4400f5da.jpg,4.5,建议游览时间：0.5小时 - 2小时,,"{'陈家祠手机智能语音导览服务成人票\n\n': ['¥0.1起'], '陈家祠私享人工讲解服务大小同价\n\n': ['¥350起'], '陈家祠门票+人工讲解服务成人票\n\n': ['¥68起']}",,1
长隆欢乐世界Chimelong Paradise,http://travel.qunar.com/p-oi714225-zhanglonghuanleshijie,"

地址:
广州市番禺区汉溪大道东299号


电话:
4008-830083


官网:
https://www.chimelong.com/gz/chimelongparadise/?from=global

",长隆欢乐世界拥有多个大型游乐设备，诸如十环过山车、垂直过山车、超级大摆锤等，可以和小伙伴们一起感受刺激的体验。长隆欢乐世界同时进行了超级演艺、游乐设施以及餐饮配套服务等方面的创新升级。重点打造全新六大主题区域，两大演艺广场，全新花车和巡游动线，全面升级超动感游乐设施等，将给你带来全新的游玩体验。与此同时，在亲子项目方面，长隆欢乐世界重新推出全新宝贝乐园。六大主题区域，两大演艺广场，全新巡游路线 。长隆欢乐世界重塑打造六大主题区：丛林探险、律动天地、欢乐嘉年华、星梦奇园、感动空间、尖叫地带。六大主题区域强化演艺元素，引进亲子游乐项目，观感体验再升级。欢乐世界重磅打造两大演艺广场，分别命名超级演艺广场和中央演艺广场。超级演艺广场为园内演艺广场，主舞台神秘概念全新来袭，广场中心舞台采用升降设计，可与主舞台联通。中心可营造喷泉、灯光、火焰等特效呈现，演出内容更是劲爆来袭，每日定时巨献《超级电音派对》，现场呈现国际级别酷炫的电音特效，配合超前的无人机、低空烟花表演，给游客带来震撼的视觉盛宴。另外，中央演艺广场以火箭过山车为舞台背景，全新打造浪花主题舞台，每天定时上演《青春热舞音乐派对》，青春可爱的女团表演、狂热似火的摇滚乐队、时尚潮派的街舞，让你感受一场不一样的演艺热浪。全新的大型主题表演《欢乐缤纷大巡游》趣萌来袭，新的巡演路线环绕长隆欢乐世界一圈，巡游从超级演艺广场开始，回到原点结束，全长1.6公里，路宽不少于8米。全新花车展示观感重磅升级，超大型花车高度可达10米，大型空飘昆虫装置、动物花车方阵，趣怪动感，互动性极强。《欢乐缤纷大巡游》将持续至8月结束，接下来将迎来超级主题巡游二期，十余辆法国的巨型主题花车，奇异的神兽造型，沉浸式体验，将带给你降临异域的情景。巡游全程开创式无栏杆动线，采用地面射灯使游客自觉形成安全距离，实现真正意义的零距离，提升游客体验舒心观看巡游。同时在巡游动线周边还设置了互动小舞台8-10个，场景更全面，内容更丰富，全天演艺不间断，任何时间入园都能体验到精彩的演艺。 宝贝乐园全新回归，三大亲子游乐区奇幻呈现。为满足多年龄层的游玩需求，强化欢乐世界园内主题氛围，园区重新改造了宝贝乐园和打造三大亲子游乐区，满足小朋友玩乐的同时，家长又能轻松度假。全新的宝贝乐园针对5-12岁儿童开放，拥有六大主题区，分别是：三塔中心区、沙滩区、火山区、草原区、冰川区、海洋区。集合攀爬、蹦跳、滑射等项目的游玩体验，一次可满足孩子的探险、益智、协同合作等多项能力的开发。主题区域两两连接，游玩项目相互交替，真正地实现寓教于乐的目的。同时，长隆欢乐世界新增三大气模区域：马戏小镇、曲奇工厂、时间城堡。以七彩斑斓的马戏元素为主题，拥有粉红的小火车、曲折迷宫，搭配小丑帽马戏棚屋的是马戏小镇；以生产线为故事，弯曲的攀爬闯关，每穿越一道卡口，仿佛完成一道工序，制作出专属曲奇的是曲奇工厂；时间城堡则以七彩的滑梯和波波球组成，时间流逝，快乐童年。三个不同风格的气模游玩区，想必小朋友进入到幻彩的世界都将流连忘返。在长隆欢乐世界内还有数十项适合亲子玩乐的游乐项目，丛林探险的飞马家庭VR过山车，一家人都能感受到过山车的乐趣，带上VR眼镜更能感受到穿越冰川、悬崖峭壁的惊险快感。欢乐嘉年华的霹雳转椅和摇摆屋，让大人小孩都能沉浸在欢乐的时光里。星汇美食广场尝尽世间美食，服务全面升级 。长隆欢乐世界全新推出星汇美食广场，广场建筑采用欧式风格，建造三间主营餐厅，分别菜式出品：粤菜、西餐、东南亚美食，适合不同的游客需求，承载量更大。星汇美食广场全面使用落地窗，为园内观看巡游点之一，在享受美食的同时，还能观看巡游和周边互动演艺，舒适的环境，观感的不一样体验。与此同时，园内的各大餐厅食品均全面提升出品，更美味更舒适。,10/1-10/8 10:00-19:00;10/9-11/7 10:00-22:00;11/8-12/31 10:00-19:00,https://img1.qunarzz.com/travel/d7/1608/5d/36ea4c7f8d66d3b5.jpg_480x360x95_dd843023.jpg,4.7,建议游览时间：12小时 - 3天,以机动游戏为主的乐园，四季并无太大区别，因此四季皆宜,"{'广州长隆欢乐世界门票女士票\n\n': ['¥235起'], '广州长隆欢乐世界门票成人票\n\n': ['¥230起'], '广州长隆欢乐世界门票儿童票\n\n': ['¥175起']}",度假区年卡政策成人年卡1480元/张，儿童、长者年卡1080元/张。在年卡有效期（自购卡当月计起的12个月）内，持卡人凭指纹及对应的年卡可于营业时间内无限次进入以下主题公园游玩：长隆野生动物世界（不含自驾车费用）、长隆欢乐世界、长隆水上乐园及广州鳄鱼公园，除了私人场合，以及须另付入园费用的特别节目或专题活动。以上“儿童/长者卡”只适用于1.2米至1.5米以下儿童或65岁以上长者。,1
珠江新城New Urban Zhujiang,http://travel.qunar.com/p-oi10020366-zhujiangxincheng,"

地址:
广州市天河区冼村路花城广场东侧约110米


电话:
020-88832314

",广州的珠江新城位居天河、越秀及海珠三区的交接处，东起华南快速干线，西至广州大道，南临珠江，北达黄埔大道，是广州的新城市中心。作为广州的CBD，珠江新城和北京商务中心区与上海陆家嘴金融贸易区是中央承认的三个中央商务区之一。珠江新城可以说是游广州必去的地方，现代广州的象征。同时也是看夜景的好去处，晚上沿着珠江慢慢游览，花城广场、广州西塔、广东省博物馆、广州大剧院、广州图书馆和广州市第二少年宫等标志性建筑造型现代、灯光璀璨，“小蛮腰”也清晰可见。,全年 全天开放,https://flight-feed.qunarzz.com/as3/315/image/2021/5/4b67ac8a-6a83-460b-b2d6-a254debeb8ab.jpeg_480x360_c715fa26.jpeg,4.7,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
宝墨园Baomo Garden,http://travel.qunar.com/p-oi704760-baomoyuan,"

地址:
广州市番禺区沙湾镇紫坭村大川岗


电话:
020-84746666,020-84747238


官网:
http://www.baomogarden.net/

",2023年宝墨园汉风古韵樱花节浪漫来袭，湖光山色、灿烂樱花、园林古建、汉服佳人，满园樱花和古典建筑相映成辉，畅享小桥流水赏樱花的园林意趣！在宝墨园，一隅古建搭配满园樱花，随手一拍就是中国风赏樱大片，这是宝墨园樱花节无可比拟的独特优势。宝墨园门前就有两幅工艺精湛的民间砖雕，分别为包拯怒铡陈世美与包勉的故事。园内还有大量的灰雕、石雕、陶塑和紫檀木雕，以及传统宫灯。 特别的是瓷塑浮雕《清明上河图》和巨幅砖雕《吐艳和鸣壁》。一进门的大影壁，就是《吐艳和鸣壁》，取百花吐艳，百鸟和鸣之意。图上的图案有极富岭南特色的芭蕉、振翅飞翔的凤凰、各种动物，形态栩栩如生，画面布局和谐，整幅画立体感非常强。而大型彩绘浮雕瓷壁画《清明上河图》，则是宝墨园的镇园之宝，已经列入吉尼斯大世界纪录。除外，宝墨园还是一座博物馆，较亮眼的是赵泰来艺术宫和赵泰来藏品馆。艺术宫内，有赵先生捐的1600件藏品，包括木雕、青铜器、古玉等。藏品馆中，则是各种字画。作为一个公园，园内种植的植物也很多，还栽植有大量的岭南盆景。除了树木花卉和建筑之外，园内还有龟池、放生池、锦鲤池、莲池等，锦鲤池内有非常多的锦鲤，而莲池夏天会开满荷花。风味食街则可以品尝到番禺特产小吃姜撞奶、鱼皮饺等，别有一番风味。“荷花胜境”位于宝墨园东面，与逍遥岛景区紧密相连。荷花池面积1000多平方米，每年种植两造荷花，夏荷过后，别具特色的秋荷又登场。池中央矗立着一尊金光灿灿的观音坐像，一条几百米长、顶上种满各种花卉的回廊环绕荷花胜境凌空飞架。,全年 08:30-17:30,https://img1.qunarzz.com/piao/fusion/2102/70/57fb71d867061902.jpg_480x360x95_1845194e.jpg,4.7,建议游览时间：3小时 - 3.4小时,10至12月是旅游的最佳季节，这个时间段温度适宜，凉爽多风，畅游宝墨园，可饱览岭南园林秀色，吸吮民族文化，使你大开眼界，心旷神怡，留连忘返。,"{'宝墨园门票成人票\n\n': ['¥45.8起'], '宝墨园门票优待票\n\n': ['¥27起'], '宝墨园门票双人票\n\n': ['¥96起']}",,1
南沙天后宫Nansha Tianhou Palace,http://travel.qunar.com/p-oi707582-nanshatianhougong,"

地址:
广州市南沙区大角山东南麓


电话:
020-84981223,020-39915555


官网:
http://www.gznsthg.com/

",天后庙，又叫做妈祖庙，祭拜的是天后林默，她是百姓崇祀的海神，这里的香火特别的旺盛，出海的渔民、客船都会来拜拜。作为东南亚地区较大的妈祖庙，它集北京故宫的风格与南京中山陵的楼阁气势于一体，很值得一游。南沙天后宫，南望虎门与伶仃洋，它主要由天后宫广场和宫殿建筑群两个部份组成。天后宫广场中间高耸着高达14.5米的天后石雕像，据说由365块细心雕琢的花岗石构成，象征天后一年365天的庇佑，也是游人合影留念的必去之处。宫殿建筑群在天后宫广场的后方，整个是清朝时期的建筑风格，并且依山而建。先可以看到正门牌坊，穿过牌坊到达山门，即是天后宫的正门，室内供奉的是“千里眼”和“顺风耳”两尊神像。继续拾级而上，山门的两侧有钟楼和鼓楼，钟鼓楼内的钟鼓都会按时敲击。在山门的上方为献殿，殿内供奉“蹈海天后”，四海龙王在两旁站立。再上方的正殿是整个天后宫的中心，有木雕神龛，供奉3.8米高、香梓木雕、贴金的天后像。寝殿则在正殿之内，在这个寝殿中特别安置了一台织布机，因为传说中天后娘娘曾在15岁时，于一次织布途中从海上救父脱险。另外，寝殿中还摆放床、梳妆台及镜子。整个建筑群高点是位于后方的南岭塔。塔高45米，楼阁式建筑，在南岭塔可远眺整个南沙天后宫，只是目前无法登塔，有点遗憾。,8:30-17:00,https://img1.qunarzz.com/travel/poi/1707/26/a7f4475df4169137.jpg_480x360x95_697fe127.jpg,4.4,建议游览时间：2小时 - 3小时,10至12月是旅游的最佳季节，此时温度适宜，凉爽多风,"{'南沙天后宫门票成人票\n\n': ['¥18起'], '南沙天后宫门票优待票\n\n': ['¥10起'], '南沙天后宫门票双人票\n\n': ['¥36起']}",,1
