名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
壶口瀑布,http://travel.qunar.com/p-oi711839-hukoupubu,"

地址:
延安市宜川县壶口镇延壶路


电话:
0911-4838030

",黄河壶口瀑布位于秦晋大峡谷黄河河床中，瀑布以东是山西临汾地区，以西是陕西延安宜川县，壶口瀑布陕西处，位于延安市宜川县城以东约35公里处。由于黄河水携带很多泥沙，这里成为了世界上少见的金黄色瀑布。黄河水一路咆哮至秦晋峡谷时，河面宽度由400多米骤然收缩为50米，倾泻于落差30米的石槽中，因其形似茶壶注水，得名壶口瀑布。黄河水在这里被峡谷聚拢，收束为一股，奔腾呼啸而下，跃入深潭，溅起巨大的浪涛，激起一团团水雾烟云，场面极其壮观。站在河边观看，无不被震撼。这里也被人们誉为“民族精神”、“黄河魂”和中华民族勇往直前的精神象征。壶口瀑布一年四季景色各异，较佳旅游时间分为两段，一是每年的4-5月份，瀑布附近桃花盛开，岸边冻结的冰块开始融化，一派春意盎然，被称为“三月桃花汛”。二是每年的9-11月份，此时雨季刚好过去，时有阵阵秋风吹过，常伴有彩虹出现，叫做“壶口秋风”。春、秋两季水量较大，水流拍击声如雷鸣般，比平日更加震撼。此外，在冬季有可能看到“冰瀑奇观”。河水从两岸形状各异的冰凌中飞流直下，瀑布下搭起美丽的冰桥。两岸溢流形成的水柱如同冰峰一样倒挂在悬崖上。,全年 07:30-17:30,https://img1.qunarzz.com/travel/d8/1502/41/f9f67a9a76f762.jpg_480x360x95_1ed79f0d.jpg,4.6,建议游览时间：2小时 - 3小时,壶口瀑布最佳观赏期分为两段，一是春季4-5月份，正值农历三月间，漫山遍野的山桃花盛开，岸边冻结的冰崖消融，称为“三月桃花汛”；二是秋季9-12月份雨季刚过去时，河边众多山泉小溪，汇集大量清流，阵阵秋风吹过，常有彩虹出现，叫做“壶口秋风”。这春、秋两季水大而稳，瀑布宽度可达千米左右，水流拍击声如雷鸣般，比平日更加震撼。伴随瀑布会出现8大奇观：水底冒烟、旱地行船，霓虹戏水、山飞海立，晴空洒雨、旱天惊雷、冰峰倒挂、十里龙槽。,"{'壶口瀑布门票成人票\n\n': ['¥90起'], '壶口瀑布门票双人票\n\n': ['¥187.8起'], '壶口瀑布门票三人票\n\n': ['¥284.9起']}",安全注意事项1、瀑布两边的河岸全是较为平整的大岩石，表面覆盖着一层黄土，瀑布没有围栏，所以要特别注意安全，不要站得太靠近；路途较远，最好带些食品，路上食用；2、参观瀑布时，应注意安全，不要靠近防护栏杆，更不能靠压栏杆，听从工作人员安排；3、夏季天气较热，应该注意防暑降温；秋季，涨水季节，参观时应该注意听从景区工作人员安排，警惕涨水带来的危险；4、壶口瀑布景区旺季（每年4月至10月底）观光车往返收费为25元/人，淡季（每年11月至次年3月底）观光车往返收费为20元/人，壶口瀑布至克难坡观光车往返收费为30元/人。摄影注意事项1、喜欢摄影留念的朋友要特别注意，由于壶口水雾极大，只要相机对准瀑布拍摄，必会满身泥点。为此必须采取预防措施，可将塑料袋底剪开，套在相机上，用橡皮筋在镜头处一勒，镜头前再加一片uv镜。2、每年十月是壶口瀑布水量最大的时候，也是去壶口旅游的最好的时候，由于气温较低，须携带后衣服。摄影的最佳时候在5月到7月之间，由于瀑布附近水雾较大注意摄影器材的防潮。,1
甘泉大峡谷Yucha Grand Canyon,http://travel.qunar.com/p-oi9709313-ganquandaxiagu,"

地址:
延安市甘泉县下寺湾镇张家沟


电话:
0911-4562018


官网:
http://www.ganquandxg.com/

",甘泉大峡谷位于陕西省甘泉县，由桦树沟、花豹沟、龙巴沟、牡丹沟、一线天等景点组成，其中以桦树沟景色较为出彩。几亿万年前，一场强烈的地震将这座黄土大山分开一条大裂缝，经过几百年雨水冲刷，慢慢的形成这样一个峡谷。这里神奇的地质地貌被誉为中国“羚羊峡谷”，吸引了无数摄影爱好者纷纷前往。当你走进这片神奇的峡谷中，曲直交错的线条流畅划过，光影变幻莫测，魅影惊艳无比，让人由衷感叹大自然的鬼斧神工。,全年 07:30-16:00,https://img1.qunarzz.com/travel/d3/1708/6a/0afd2e71ce3a9ab5.jpg_480x360x95_aef7f6d3.jpg,4.8,建议游览时间：2小时 - 3小时,,"{'甘泉大峡谷门票+观光车票成人票\n\n': ['¥70起'], '【延安出发】雨岔大峡谷纯玩团*免费上门接送+可选包车游\n\n': ['¥88起'], '【3-15人小团】雨岔大峡谷+靖边波浪谷ABC区纯玩两日游\n\n': ['¥568起']}",雨季进出峡谷地面湿滑需小心谨慎，游客朋友及时更新当地天气,1
黄帝陵Mausoleum of the Yellow Emperor,http://travel.qunar.com/p-oi702561-huangdiling,"

地址:
延安市黄陵县东关庙前区179号


电话:
0911-5215325,0911-5212742

",黄帝陵，位于黄陵县城约1公里的桥山上，是中华民族的始祖——轩辕黄帝的陵园，为中华儿女祭祖的圣地。全国多处都有黄帝陵，但只有黄陵县的黄帝陵，被列为国家重点文物保护单位。黄帝陵四周古柏成林，历代政府对保护黄帝陵的古柏树都很重视。黄帝陵景区，由轩辕庙和黄帝陵园两部分组成。轩辕庙也称黄帝庙，坐北朝南，最早建于汉代，主要建筑有庙门、诚心亭、碑亭和人文初祖殿。院内有古柏16颗，最珍贵者当属“黄帝手植柏”与“汉武挂甲柏”。黄帝手植柏，高约20米，苍劲挺拔，叶子四季不衰，层层密密，像个巨大的绿伞。相传这棵柏树是轩辕黄帝亲手所植，距今5000多年，是世界上最古老的柏树。轩辕庙的东侧碑廊内，珍藏历代帝王御制祭文碑57通。轩辕庙的大殿上悬“人文初祖”金字匾额，殿内正中置牌位，上书“轩辕黄帝之位”6字，神龛内为墨玉刻制的黄帝浮雕像。自唐代宗大历五年（公元770年）建庙祀典以来，这里一直是历代王朝举行国家大祭的场所。新中国建立后，每年清明节、重阳节均在此进行祭祀典礼，特别是清明节国家公祭已是中华民族传统祭祀大典（清明节公祭不对普通游客开放）。 ,3/1-11/30 07:30-18:30;12/1-2/28 08:00-18:00,https://img1.qunarzz.com/travel/poi/201408/13/1039f7a00ac42a9cc8d65eac.jpg_480x360x95_595c5549.jpg,4.5,建议游览时间：2小时 - 3小时,春秋两季。,"{'黄帝陵门票成人票\n\n': ['¥71起'], '黄帝陵门票学生票\n\n': ['¥35起'], '黄帝陵文化园区中华始祖堂展馆票成人票\n\n': ['¥49.5起']}",,1
宝塔山Baota Mountain,http://travel.qunar.com/p-oi707534-baotashan,"

地址:
延安市宝塔区


电话:
0911-2113735

",宝塔山，位于延安城区中心，因为山上建有宝塔而得名，宝塔始建于唐代，明代重修。宝塔山是中国革命之地延安的重要标志和象征，也是游览延安的必到之地。“几回回梦里回延安，双手搂定宝塔山”，是有名诗人贺敬之的名句，它热情的讴歌了宝塔山在中国人民心目中的重要地位。宝塔山下，还有许多历史文物和现代革命文物，如烽火台、摩崖石刻、范公井、古城墙、摘星楼、嘉岭书院、日本农工学校等，在历代的摩岩石刻中，宋代范仲淹隶书的“嘉岭山”和“胸中自有数万甲兵”等题刻富有盛名。 在宝塔山还可以登上宝塔（需要另外付费10元），在塔顶可以看到延安城的全貌。在宝塔旁边有一口明代铸造的铁钟，中共在延安期间，这口大钟曾经用来报时和报警。,11/1-3/31 08:00-17:00;4/1-10/31 07:30-18:00,https://img1.qunarzz.com/travel/d6/1703/1e/c5fc67abc46a07b5.jpg_480x360x95_b5100d35.jpg,4.5,建议游览时间：2小时 - 3小时,春秋两季。,"{'宝塔山门票成人票\n\n': ['¥60起'], '宝塔山门票学生票\n\n': ['¥30起'], '宝塔山门票+红秀《延安延安》门票成人票\n\n': ['¥268起']}",安全注意事项：上山登塔注意穿轻便舒适的衣服和鞋，台阶较高注意慢行。,1
南泥湾革命旧址Nanniwan Geming Site,http://travel.qunar.com/p-oi706834-nanniwangemingjiuzhi,"

地址:
陕西省延安市宝塔区延安城东南45公里处


电话:
0911-2992186

",南泥湾革命旧址位于延安城东南45公里处，方圆近百里。1941年春，八路军一二o师三五九旅进驻南泥湾，在此实行屯垦，生产自救。2016年12月，南泥湾革命旧址被列入全国红色旅游经典景区名录。 ,全年 8:30-17:30,https://img1.qunarzz.com/travel/poi/201408/13/c0b64ae12a07a3bac8d65eac.jpg_480x360x95_c5a31088.jpg,4.5,建议游览时间：1小时 - 2小时,夏秋两季。,"{'【延安出发】壶口瀑布一日游 市区免费接送·赠送南泥湾和纪念章\n\n': ['¥128起'], '黄帝陵+壶口瀑布+延安2日游*含1早3正餐+1晚壶口附近酒店/二环内酒店接\n\n': ['¥260起'], '延安壶口瀑布+南泥湾一日游【上门接送纯玩无购物】\n\n': ['¥128起']}",,1
中共中央西北局旧址Zhonggongzhongyang Xibeiju Site,http://travel.qunar.com/p-oi8605007-zhonggongzhongyangxibei,"

地址:
延安市城区南延安大学旧址南300米，南川河西的花石砭


电话:
0911-2119926


官网:
http://www.yaxbj.com

",中共中央西北局革命旧址于2006年5月25日被国务院公布为全国文物重点保护单位，位于延安南川花石砭半山腰，是中共中央西北局1941年9月至1947年3月的办公地。1941年5月13日，中共中央西北工作委员会和陕甘宁边区中央局合并成立中共中央西北局。延安南川花石砭原来是陕甘宁边区师范学校的校址，有土石窑洞百余孔，分布在山上的四个阶梯上。根据中共中央的指示，陕甘宁边区师范学校从1942年9月由花石砭迁往了西北川的张崖村，而驻张崖村办公的西北局则迁到了花石砭，从此这里成为西北局各部委办公和住宿的地方。简史陈列展览馆总面积为255平方米。共设4个展厅，通过110多幅照片和实物以及两幅油画，再现了中共中央西北局当年自力更生、艰苦奋斗的革命精神。一展厅为中共中央西北局成立；二展厅为建设模范抗日根据地；三展厅讲述延安整风与西北局高干会；四展厅讲述解放战争时期的中共中央西北局。,全年 8:00-17:00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/edb5ad05-f511-4408-98ff-46660d4f9ebc.jpg,4.8,建议游览时间：1小时 - 2小时,全年皆宜,20元,,1
枣园革命旧址Zaoyuan Revolution Former Site,http://travel.qunar.com/p-oi712959-zaoyuangemingjiuzhi,"

地址:
延安市宝塔区城西北8公里处枣园路


电话:
0911-2852223

",1944年至1947年3月，中共中央由杨家岭迁驻到枣园，1947年中央撤出延安后，枣园遭到严重破坏，现存建筑都是建国后重建的。景区目前开放了中央书记处小礼堂、伟人们的旧居、“为人民服务”讲话台、中央医务所、幸福渠等景点。景区免费开放，目前也不需要领取参观券，游客可以直接进入参观。枣园原本是一家地主的庄园，这里和杨家岭不同，如果说杨家岭的窑洞是陕北民居景观，那这里就充满了田园风光。当你走入枣园时，会感觉这里像一个开阔的农场，园子内草木茂盛。位于枣园右侧靠近山坡的地方，能够看到当年修建的“幸福渠”，就是这条渠，把园内的旱地变成了水浇地，庄稼也年年丰收。在枣园的中央，你可以看到当年中央书记处的小礼堂，这里也是书记处的俱乐部和会议室，当年“重庆谈判”的决策，就是在这里确定的。历史上还有很多大事件都是发生在这个园子里。,全年 08:00-18:00,https://img1.qunarzz.com/travel/d1/1708/1d/8be8b9e2cd14f0b5.jpg_480x360x95_fcb338bf.jpg,4.6,建议游览时间：1小时 - 2小时,春秋两季。,"{'导览服务大小同价\n\n': ['¥0.1起'], '延安市内枣园 杨家岭 王家坪纪念馆 宝塔山 清凉山品质一日游\n\n': ['¥98起'], '【红色线路】延安枣园 杨家岭，宝塔山一日，延安市区可免费接\n\n': ['¥95起']}",,1
延安革命纪念馆Yan'an Revolutionary Memorial Hall,http://travel.qunar.com/p-oi704838-yanangemingjinianguan,,,,,,,,,,1
杨家岭革命旧址Yangjialing Revolutionary Site,http://travel.qunar.com/p-oi701610-yangjialinggemingjiuzhi,,,,,,,,,,1
王家坪革命旧址Wangjiaping Revolutionary Site,http://travel.qunar.com/p-oi704222-wangjiapinggemingjiuzhi,,,,,,,,,,1
清凉山Qingliang Mountain,http://travel.qunar.com/p-oi705424-qingliangshan,,,,,,,,,,2
延安民俗文化村,http://travel.qunar.com/p-oi704344-yananminsuwenhuacun,"

地址:
陕西延安市万花乡村源屯村

",,8:00-18:00,https://img1.qunarzz.com/travel/poi/201408/13/9222737635ea7cc1c8d65eac.jpg_480x360x95_2bf79d91.jpg,4.0,建议游览时间：1小时,春秋两季。,10元·,,2
