名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
开封博物馆Kaifeng Museum,http://travel.qunar.com/p-oi713368-kaifengbowuguan,"

地址:
开封市郑开大道第六大街（新馆）


电话:
0371-23269186,0378-3933624


官网:
http://www.kfsbwg.com/

",开封博物馆始建于1962年3月，其前身为河南省博物馆，新馆于1988年9月建成，并正式对外开放，开封市博物馆是中国地方性历史艺术类博物馆。位于河南省开封市包府坑中路. 全馆总占地面积16000平方米，主体楼7000余平方米，系呈“山”字形仿古建筑，单檐歇山顶，黄琉璃瓦覆盖，典雅凝重，宏伟壮观，其陈展楼面积5000余平方米，中心大厅四层，正面展厅三层，两翼展厅二层，共有展厅13个，文物仓库面积1500平方米，馆藏文物5万余件，专业图书近5万册，弥足珍贵。,周二-周日9:00-17:00（16:00停止发票），周一全天闭馆（国家法定节假日除外）。,https://img1.qunarzz.com/travel/d3/201404/21/5ad32f664af8686fddb12cfb.jpg_480x360x95_d7c93ca8.jpg,4.6,建议游览时间：1小时 - 2小时,,免费（凭身份证即可进入参观）,,1
铁塔公园Tieta Park,http://travel.qunar.com/p-oi27344768-tietagongyuan,"

地址:
开封市顺河回族区北门大街210号


电话:
0371-22826659,0378-2880244


官网:
https://www.tieta.net.cn/

",铁塔公园位于中国河南省开封市，在城区的东北隅，是以现存的铁塔（开宝寺塔）命名的名胜古迹公园，占地面积约51.24公顷，是中国100家名园之一，国家AAAA级旅游景区。,冬春 8:00-18:00，夏秋 7:30-18:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/a7255b12f542d4919f3ca7e75b473dbc.jpg_480x360x95_34d7e14f.jpg,4.3,建议游览时间：0.5小时 - 2小时,,{'铁塔公园门票优待票\n\n': ['¥60起']},,1
"汴梁小宋城Xiao Song City, Bianliang",http://travel.qunar.com/p-oi23343155-bianliangxiaosongcheng,"

地址:
开封市金明区大梁路西段


电话:
0371-23268888,0371-23388562

",小宋城位于河南省开封市大梁路西段，由原“东京艺术中心”改造而成，改造建筑面积约50000平方米，其中特色民俗餐饮商业街区面积约20000平方米，主要经营开封特色小吃及全国各地风味，并先后获得“开封人的待客厅”、“开封市的新名片”、“文化旅游新地标”等美誉。,全年 全天开放,https://flight-feed.qunarzz.com/as3/271/image/poi_vishnu/c281e99f-59f3-4768-8052-fe3e3b6e3399.jpg,4.4,建议游览时间：2小时 - 3小时,,景区免费进入，内部消费项目另收费。,,1
龙亭公园Longting Park,http://travel.qunar.com/p-oi708773-longtinggongyuan,,,,,,,,,,1
铁塔Iron Tower,http://travel.qunar.com/p-oi704556-tieta,"

地址:
开封市北门大街210号开封铁塔公园


电话:
0371-22826629,0371-22826659

",开封铁塔，位于铁塔公园内，原名开宝寺塔，又称灵感塔、上文寺塔，因外壁镶嵌褐色琉璃砖，远看似铁色，俗称“铁塔”。铁塔建成九百多年，历经战火，水患，地震等灾害，至今仍巍然屹立。 铁塔设计精巧，结构坚固，塔身呈八角形，共13层，高约55米，从底层向上逐层递减。这里的砖雕非常有名，砖上刻有飞天、麒麟、菩萨、乐伎、狮子等花纹图案50余种，造型优美，神态生动，堪称宋代砖雕艺术的杰作。塔内有阶梯可直达塔顶，登塔远眺，市区街景尽收眼底。铁塔顶上嵌着一只葫芦式的铜质大宝珠，远远看去，就像出家人戴着庄严的僧帽。塔身的窗子设计也很别致，有明窗和盲窗两种，明窗每层一只，一层在北，二层在南，三层在西，四层在东，依次类推，直至高层。所谓盲窗，其实是打不开的窗模。当年，这塔是汴京的一大重要景点，名为“铁塔行云”。登塔远眺，黄河如带，大地似锦。 铁塔塔西有接引佛殿，内置宋、金时代接引铜佛1尊高约5米，重约12吨，亦属珍品。寺院其它建筑废于清道光年间。,开放时间为每天9:00至16:00 仅开放西门（暂定）；登塔及室内展厅暂不开放。,https://img1.qunarzz.com/travel/d8/1710/3e/87bcf0c0e16bcfb5.jpg_480x360x95_c45c1b22.jpg,4.4,建议游览时间：1小时 - 2小时,,50元,,1
宋都御街Song Du Yu Jie,http://travel.qunar.com/p-oi704452-songdouyujie,"

地址:
开封市龙亭区中山路北段


电话:
0371-25660676

",宋都御街位于开封市中山路北段，是为再现宋代御街风貌，于1988 年建成的一条仿宋商业街。据史记载：北宋的东京城富丽堂皇，其中重要的一条街道就是御街了。御街是东京城南北中轴线上的一条通关大道，它从皇宫宣德门起，向南经过里城朱雀门，直到外城南熏门止，长达十余里。是皇帝祭祖、举行南郊大礼和出宫游幸往返经过的主要道路，所以称其为“御街”，也称御路，天街或者宋端礼街。 　　新建的御街是在原御街遗址上修建的，在400多米长的街道两侧，楼阁店铺鳞次栉比，两两相对。从街上走过，首先映入眼帘的就是高高的匾额、幌子等，待你驻足细细观瞧，才发现这些字号连同店铺大门两侧的楹联，都完全出自宋代文献记载，不但看上去古色古香，而且大有出典。这数十家店铺以经营开封特产、传统商品、古玩字画为主。漫步御街，令人有时光倒溯，仿若回到千年前的汴京之感。据孟元老的《东京梦华录》记载，御街宽约200米，宽分为三部分，中间为御道，是皇家专用的道路，行人不得进入，两边挖有河沟，河沟内种满了荷花，两岸种桃、李、梨、杏和椰树，河沟两岸有黑漆叉子为界，在两条河沟以外的东西两侧都是御廊，是平民活动的区域，临街开店铺，老百姓买卖于其间，热闹非凡。每逢皇帝出游，老百姓聚在两边，争相观看皇家的尊严和气派。新建的御街系在原御街遗址上修建。南起新街口，北至午朝门。虽不及古御街之长，但其规模和气势在国内尚属少见。御街南端竖立着一座高大的牌坊，前面各立一尊石雕大象，上骑武士，手持长枪，肃穆威严。,全天开放,https://img1.qunarzz.com/travel/d4/1605/ed/04c7d8ff156401f7.jpg_480x360x95_5234666a.jpg,4.3,建议游览时间：1小时,,"{'龙亭公园门票成人票\n\n': ['¥35起'], '中国翰园门票成人票\n\n': ['¥35起'], '中国翰园门票优待票\n\n': ['¥19起']}",,1
天波杨府Yang Familys Mansion in Tianbo,http://travel.qunar.com/p-oi711815-tianboyangfu,"

地址:
开封市龙亭区龙亭北路14号


电话:
0371-22890559,0371-22890553,0371-22891929


官网:
http://tianbo.kf.cn/

",历史上的天波杨府，是北宋抗辽名将杨业的府邸，位于开封（北宋首都东京汴梁）城内天波门的金水河旁，故名“天波杨府”。传说中，因杨家世代忠良，忠心报国，宋太宗赐金五百万敕建一座“清风无佞天波滴水楼”，并亲笔御书“天波杨府”匾额，下旨满朝官员凡经天波府门前经过，文官落轿、武官下马。如今的天波杨府，是近年来为纪念名将杨业而恢复的宋代古建筑群。杨府建筑主体有杨家府衙、杨家花园、演兵场三部分，其中杨家府衙是杨府的主体部分，依次建有大门、照壁、钟鼓楼、天波楼、东西配殿、后殿等建筑。在这里，游客可以看到杨家将群塑、佘太君庙、杨家兵器等大量实物资料，还有歌颂杨家将忠心报国的大型群雕和祭祀杨家将的孝严祠。府衙中的天波楼，是仿造当年的 “清风无佞天波滴水楼 ”，在一楼大厅内设有群雕 “ 杨业发兵幽州救主 ”，二楼有群雕 “ 佘太君杨门选将 ” 。游客在景区游览时，还有机会看到精彩的表演，每天在府衙大门和点将台都会有5-6场仿古表演，如迎宾、六郎打擂等（上午和下午的表演节目基本一致，是重复表演）。在天气凉爽的季节，景区中的演兵场内还会上演大型马战表演。各种表演的节目和时间有时会有所变化，以景区当日公告为准。,夏令（3月11日-10月31日）8:30-18:00；冬令（11月1日-次年3月10日）8:00-18:00。,https://img1.qunarzz.com/travel/d0/1710/77/3a240c575430a8b5.jpg_480x360x95_785d3c8d.jpg,4.2,建议游览时间：2小时 - 3小时,,"{'天波杨府门票成人票\n\n': ['¥36起'], '龙亭公园门票+天波杨府门票成人票\n\n': ['¥80起'], '禹王台公园郑开旅游年票大小同价\n\n': ['¥100起']}",,1
中国菊园Chinese Chrysanthemum Garden,http://travel.qunar.com/p-oi10071319-zhongguojuyuan,"

地址:
开封市水稻乡花生庄村稻一路向南100米


电话:
0371-23802256

","中国菊园位于开封连霍高速路口北500米，是一座以大宋京郊文化为主题，休闲健康为基础，依托开封深厚菊文化建成的大型菊花特色的生态旅游景区。景区占地面积庞大，是吉尼斯世界记录7995平方米的""美丽开封""菊花鲜花毯的诞生地。每年的10月中旬至11月中旬，开封市会举办大型菊花展，中国菊园也是其中的一个分会场。",9:00-22:00,https://img1.qunarzz.com/p/tts6/1801/55/a891d437ae56f302.jpg_480x360x95_3c5d32ef.jpg,3.9,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
开封府Kaifeng City Hall Theme Park,http://travel.qunar.com/p-oi710239-kaifengfu,"

地址:
开封市包公东湖北岸


电话:
0371-23937153,0371-23937218


官网:
http://www.kaifengfu.cn/

",北宋时期的开封府，包拯包青天曾经做过开封府府尹。宋代的开封府，早已被水患冲毁，如今游客看到的开封府，是近年重建的人造仿古景点。开封府的府门朝南，游客从这里进入景区开始游览。景区以正厅、议事厅、梅花堂等建筑为中轴线，两旁是天庆观、明礼院、潜龙宫、清心楼、牢狱、英武楼、寅宾馆等大小殿堂。每座殿堂的规模都不大，游客可以根据景区示意图，游览完中轴线上的景点后，再去两旁的一些景点游玩。游客在中轴线上的正厅和议事厅等处，可以看到北宋时期的府衙内部场景；而在景区北部的梅华堂内，有仿造当时包公“倒坐南衙”审案的场景，里面还有包公审案的蜡像；在府门以西处，设有典狱房、狱神庙、死牢、男女牢房等景观，按北宋时期的状况，分别布置有雕塑、刑具以及各种反映当时狱政、狱务情况的场景；在中轴线以东的潜龙殿和清心楼内，游客可以看到宋太宗、宋钦宗、宋真宗三位皇帝的塑像，还有北宋时期历代开封府尹的生平介绍。游客在景区内游玩时，还能观看到很多仿古的表演，如：《开衙仪式》、《包公断案》等。,全年 07:30-19:00;全年 07:30-17:30,https://img1.qunarzz.com/travel/d6/1510/98/cacd1b4ed6bc72.jpg_480x360x95_e1b72e58.jpg,4.4,建议游览时间：1小时 - 3小时,最佳旅游时间是9、10月间，此时天气温和，降水量适中，还能观赏盛开的菊花。,"{'开封府门票成人票\n\n': ['¥61.8起'], '开封府门票老人票\n\n': ['¥32起'], '开封府门票+资深导游人工讲解服务成人票\n\n': ['¥90起']}",,1
大相国寺Daxiangguo Temple,http://travel.qunar.com/p-oi707347-daxiangguosi,,,,,,,,,,1
