名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
天门山国家森林公园Tianmen Mountain,http://travel.qunar.com/p-oi716034-tianmenshanguojiasenlin,"

地址:
张家界市永定区大庸路天门山索道公司下站


电话:
0744-8366666


官网:
http://www.tianmenshan.com.cn/

","天门山国家森林公园因自然奇观“天门洞”而得名。游览景区时，须乘坐长达约7500米的索道，你可以在缆车中俯瞰脚下盘旋在峭壁之间的通天大道和山中美景。胆大的还可以走一走贴壁悬空的玻璃栈道，体验凌空行走的刺激。天门山国家森林公园距离张家界城区较近，山中的天门洞是天然穿山溶洞，当地民众认为从这里可以直达天庭。对于普通游客来说，天门洞并不是全年开放的，在每年的冬季，由于下雪道路结冰，天门洞以及通往天门洞的通天大道（99个弯的盘山公路）都会关闭。景区大索道的下站位于永定区的官黎坪，上站是天门山顶。2020年景区开放了快线索道，快线索道下站在天门山山门附近，上站在天门洞停车场附近。天门山国家森林公园内处处古树参天，藤蔓缠绕。景区分为天门洞、中线、东线和西线景区等几个主要区域。游客可以根据自己喜好和体力选择不同的线路和区域游玩。中线的核心景点是天门山寺，寺附近的“求儿洞”，民间传说送子观音在此显圣，虔心许愿可求儿女；西线的亮点是一段长约60米的“玻璃栈道”，建在悬崖峭壁上，脚下的道路全部用透明玻璃建成，走在上面，看到脚下的万丈深谷，胆战心惊之余，感受凌空行走的快乐；东线以原始森林为主，如今也开辟出一条150米的玻璃栈道。景区内不能住宿，所以只能在一天内游玩完毕。在天门山寺附近有“樱桃湾餐厅”，这里提供小吃和快餐。在天门山索道下站附近，有交通车可以到“峡谷大剧场”，在这里可以观看实景演出、魔幻音乐剧《天门狐仙》。该故事改编自神话传说《刘海砍樵》,讲述了一段感天动地的人狐之恋。现场音乐、灯光烘托，以及超大月亮、狐精变幻、漫天飞雪、高空飞桥等一幕幕引人入胜的场景，将这段传奇的爱情展现得淋漓尽致。",1/1-9/30 07:30-18:00;10/1-10/6 06:30-18:00;10/7-12/31 07:30-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/35f0585a99d83e63fbd0f8ac4ae2a572.jpg_480x360x95_1f954f3e.jpg,4.6,建议游览时间：12小时 - 3天,四季皆宜，每季各有不同的特色。,"{'天门山国家森林公园A线套票（天门山索道上山-天门洞快线索道下山）票成人票\n\n': ['¥278起'], '天门山国家森林公园A线套票（天门山索道上山-天门洞快线索道下山）票儿童票\n\n': ['¥147起'], '天门山国家森林公园A线套票（天门山索道上山-天门洞快线索道下山）票学生票\n\n': ['¥147起']}",在张家界市区有各色美食佳肴，三下锅、团年菜、泥鳅钻豆腐等都是当地的特色美食，值得一试。很多游客容易把天门山和天子山弄混，实际上，这是两个不同的景区。天门山是在张家界市的永定区，是个独立的景区，需单独购票。而天子山是在武陵区，属于武陵源风景名胜区内的一大景区，即一般意义上的张家界风景区的一部分，门票是包含在武陵源风景区的通票内的。,1
张家界国家森林公园Zhangjiajie National Forest Park,http://travel.qunar.com/p-oi716076-zhangjiajieguojiasenlin,"

地址:
张家界市武陵源区


电话:
0744-5712330,0744-5611109,0744-5718811


官网:
http://www.hnzjj.com/

",张家界国家森林公园，分为黄石寨、金鞭溪、袁家界、杨家界、天子山和索溪峪等区域，是游玩张家界不可不去的核心景点。三千多座造型奇异的山峰拔地而起，满目青翠。峰谷间云雾缭绕，随处可见飞瀑溪水，风光美不胜收。电影《阿凡达》中的悬浮山“哈利路亚山”也曾在此取景，相信影迷们一定不会对这里陌生。张家界的江湖名号景区精彩看点袁家界是电影《阿凡达》中“哈利路亚山”的取景地，你可以在这里探寻电影中群山漂浮、星罗棋布的魔幻世界。如果碰巧山中下起了小雨，或是等到雨后初晴，更能欣赏到雾气弥漫、群峰叠嶂的美景。迷魂台是理想的观景位置，站在台上，四周有上百座石峰矗立，气势磅礴。这里还能看到横跨于两山之间，垂直高差357米的天下第一桥。游览天子山，你将看到御笔峰、仙女献花、点将台、空中田园、仙人桥等各种造型奇异的地质景观和奇形山峰。不必太在意这些自然造型的像与不像，因为“原始风光自然美”，才是天子山的迷人之处。特别是在雨过初晴之后的朦胧大雾中，仿佛置身于仙境中。等到入冬山中银装素裹，景色更为迷人。“不登黄石寨，枉到张家界”，黄石寨是张家界森林公园内观景台，周围悬崖绝壁，绿树丛生，寨顶经常云雾漫漫。登上黄石寨寨顶，环顾四周，可以体验一下“一览众山小”的豪情。杨家界主要以原始风光自然美为主，山高路窄，以“险”著称，深受背包客和探险者的喜爱。景区内的乌龙寨是张家界里非常神奇的地方，以前湘西土匪住在这里，后来根据电视剧《乌龙山剿匪记》而更名。山寨依山而建，上下山还有一条路，需要手脚并用才能爬到山顶。索溪峪也叫索溪，因为景区内的溪水形状像绳索而得名。不像森林公园的其它地方那么险峻，这里常年云雾缭绕，清澈的溪水四季奔流不断，处处可见清秀的山峰。十里画廊是索溪峪的精华景点，长达5公里的峡谷中，野花飘香，奇峰异石。穿行其间就像走入了一幅自然山水画卷。金鞭溪峡谷是景区中开发最早的区域，一条清澈的溪流从谷中穿过，两边山峰耸立，放眼望去满目苍翠。这里还是经典版《西游记》的取景地之一，影迷们可以来这里看到水帘洞、劈山救母等经典场景。,全年 07:30-18:00,https://img1.qunarzz.com/travel/d4/1603/e8/bc2513ed2ad0daf7.jpg_480x360x95_3af68db3.jpg,4.6,建议游览时间：3天 - 12天,3-5月。9-11月。张家界森林公园的最佳旅游时间是春秋两季：春天的张家界芳草鲜美、落英缤纷，溯金鞭溪，游十里画廊，探黄龙洞，体会武陵人进入桃花源的惊喜；秋天的张家界天高云淡，层林尽染，此时正是猕猴桃、蜜橘等美味水果成熟的时节。相对而言，夏季高温多雨，冬季气候寒冷，舒适度稍逊于春秋春秋两季最佳，其中又以4月和10月的风光最美。,"{'张家界国家森林公园4日门票成人票\n\n': ['¥217.5起'], '张家界国家森林公园4日门票儿童票\n\n': ['¥33起'], '张家界国家森林公园4日门票学生票\n\n': ['¥116起']}",1、景区入口整个武陵源景区有五个门票站，分别是森林公园门票站、武陵源门票站、天子山门票站、水绕四门门票站、杨家界门票站，任何一个门票站都可以买票进入景区。游客最常选择的是森林公园和武陵源门票站，因为从张家界市区乘车比较方便。2、关于导游景区内路线多而复杂，如果出行前没做好攻略，或者方位感不强，可以请个导游，但切记要通过可靠渠道找口碑较好的靠谱导游，车站附近拉客的很多导游是没有执照的“黑”导游，被宰的风险较高。此外，自驾车前往的也要注意，很多在景区路上要求搭车的，都是准备来向你推销的野导游，最好不要随便让陌生人上车。,1
张家界大峡谷Zhangjiajie Grand Canyon,http://travel.qunar.com/p-oi712721-zhangjiajiedaxiagu,"

地址:
张家界市慈利县三官寺乡


电话:
0744-8363888,0744-3559999


官网:
https://www.zjjdaxiagu.com/

",张家界大峡谷景区位于张家界市慈利县，峡谷里植被茂盛，空气清新，飞流瀑布、小溪泉水随处可见，犹如一个天然大氧吧。除了欣赏大自然风光，景区值得一玩的是玻璃桥——张家界大峡谷玻璃桥，站在桥上，脚下400米处的谷底风光尽收眼底，非常挑战你的心脏。张家界市区和武陵源景区都有直达大峡谷的大巴车，约20-30分钟可到。进入景区，首先映入眼帘的就是横跨峡谷两岸的玻璃桥，桥的中段由全透明玻璃连接，热爱拍照的朋友可以躺在桥上，开启狂拍模式。继续往前走，穿过神泉峡和天梯栈道，就到了一线天，在这里，你可以和峡谷绝壁零距离接触。继续往前走，乘坐滑道到达山底，然后坐游船即可驶出景区。,全年 08:30-16:30,https://img1.qunarzz.com/travel/d6/1705/61/d47914f4cfb47db5.jpg_480x360x95_50311fcf.jpg,4.5,建议游览时间：3小时 - 4小时,,"{'张家界大峡谷（B线）大峡谷+玻璃桥门票成人票\n\n': ['¥128起'], '张家界大峡谷（B线）大峡谷+玻璃桥门票优待票\n\n': ['¥66起'], '张家界大峡谷（B线）大峡谷+玻璃桥门票亲子票(1大1小)\n\n': ['¥194起']}",进入旺季，建议至少提前两天以上订购玻璃桥。,1
张家界大峡谷景区（玻璃桥）Zhangjiajie Grand Canyon Glass Bridge,http://travel.qunar.com/p-oi9599278-zhangjiajiedaxiagujing,"

地址:
张家界市慈利县张家界大峡谷景区内


电话:
0744-8363888


官网:
https://www.zjjdaxiagu.com/

",张家界大峡谷玻璃桥，位于张家界大峡谷风景区栗树垭和吴王坡区域内，桥面全部采用透明玻璃铺设，整个工程无钢筋混凝土桥墩。这是世界首座斜拉式高山峡谷玻璃桥，并创下多项世界记录，玻璃桥同时肩负了蹦极、溜索、舞台等多种功能。,全年 08:30-15:30,https://img1.qunarzz.com/travel/d8/1705/96/a2816c3aee9232b5.jpg_480x360x95_36858e31.jpg,4.5,建议游览时间：1小时 - 2小时,春季、夏季、秋季,"{'张家界大峡谷（B线）大峡谷+玻璃桥门票成人票\n\n': ['¥128起'], '张家界大峡谷（B线）大峡谷+玻璃桥门票优待票\n\n': ['¥66起'], '张家界大峡谷（B线）大峡谷+玻璃桥门票亲子票(1大1小)\n\n': ['¥194起']}",1、遇大风、暴雨等极端恶劣天气，玻璃桥有可能关闭。2、景区规定，除钱包和带有手机壳的手机外，任何物品不得上玻璃桥。3、不得在桥上追逐、打闹、抛物，不得倚靠在桥上栏杆，以防身体倾斜，发生意外。4、游客在游览的过程中请听从景区工作人员管理。5、凡有心脏病、高血压、恐高症及醉酒和其他身体不适宜游览的，请勿上玻璃桥。6、穿高跟鞋的游客不允许上玻璃桥。,1
黄龙洞Huanglong Cave,http://travel.qunar.com/p-oi718246-huanglongdong,"

地址:
张家界市武陵源区


电话:
0744-8129222


官网:
http://www.hunanhld.cn/

",黄龙洞以其高阔的洞天、幽深的暗河、密集的石笋而出名。洞中众多的石乳、石柱等各种钟乳石，在灯光的照耀下，多姿多彩。特别是标志性景点“定海神针”，高达20米的钟乳石柱，细处直径只有10厘米。过了黄龙洞售票处在进黄龙洞之前还有一段距离，除了排队进洞的长廊，还有一组壮观的水车联动群。水车联动群是景区充分利用溶洞地下水资源，根据性能、造型、用途的各异打造的景点，有麿面、灌溉等功能，有宝塔、机械型等造型，做工精良，宛如现实版“墨家机关城”，让人惊叹不已。黄龙洞面积非常大，全长约7公里，洞中垂直高度约100多米，整个洞内洞中有洞，洞中有河。游客在洞中游览时能看到数量众多的石乳、石柱、石笋、石幔、石琴、石花等各种钟乳石。其中非常独特是洞中的标志性景点“定海神针”，两端粗，中间细，据推算已生长了二十万年。洞中“水陆兼备”的游览观光线路，也非常有意思。游客进入洞中，先步行游览一段，然后在洞中暗河边的码头上船，乘坐游船，在水中赏沿河美景和石笋奇观。游船全程约15分钟，上岸后继续步行游览，此时能碰到神奇的洞中瀑布。洞中不走回头路，出口和入口不是一个地方，但相距不远。,全年 08:30-16:30,https://img1.qunarzz.com/travel/d7/1610/1d/bfd202fe9f2623b5.jpg_480x360x95_c8c05447.jpg,4.6,建议游览时间：3小时 - 4小时,3-11月。春夏秋三季最佳，春天的的张家界“芳草鲜美、落英缤纷”，探黄龙洞，不难体会武陵人进入桃花源的惊喜；夏天洞内水量丰富，并且可以避暑；秋天的张家界天高云淡，层林尽染；由于黄龙洞内的气温比外面要低一点，所以建议不要在非常寒冷的季节去。,"{'黄龙洞门票+游船票+人工讲解票成人票\n\n': ['¥119起'], '黄龙洞门票+游船票+人工讲解票儿童票\n\n': ['¥73起'], '黄龙洞门票+游船票+人工讲解票老人票\n\n': ['¥73起']}",,1
百龙天梯Bailong Elevator,http://travel.qunar.com/p-oi5740766-bailongtianti,"

地址:
张家界市武陵源区军地坪银源山庄


电话:
400-966-9990


官网:
http://www.bl-tt.com.cn/

",百龙天梯将张家界国家森林公园内的金鞭溪、袁家界、天子山等主要景区连成一体。从金鞭溪大峡谷附近到袁家界，步行爬山耗时约2小时，在“水绕四门”乘坐天梯只需要2分钟即可到达。百龙天梯下站位于“金鞭溪大峡谷“附近的”水绕四门“景点（相距约300米），上站就是袁家界景区。电梯垂直高差335米，运行高度326米，由山体内部的坚井和着贴山体的井架组成，有三台电梯并排运行，每台都是由全透明玻璃构成。游客在乘坐电梯时，可以透过玻璃欣赏张家界一大绝景：神兵聚会。神兵聚会位于百龙天梯正对面，由几十座相对独立的石峰组成。,03/01-11/30 07:00-19:00;12/01-2/28 08:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/bef4abc8e2c22db3aea345a5e88f04dc.jpg_480x360x95_cadda08f.jpg,4.3,建议游览时间：0.1小时 - 0.2小时,四季皆宜，但遇冰雪等恶劣天气不开放。,"{'百龙天梯电梯票成人票\n\n': ['¥65起'], '百龙天梯电梯票儿童票\n\n': ['¥33起'], '百龙天梯电梯票老人票\n\n': ['¥33起']}",,1
天门山索道Tianmen Mountain Cableway,http://travel.qunar.com/p-oi5740777-tianmenshansuodao,"

地址:
张家界市永定区官黎坪天门山索道下站旁


电话:
0744-8366666,0744-8128006

",天门山索道位于张家界市天门山国家森林公园内。游客游览天门山时，上山必须坐观光索道。天门山索道全长7454米，高差1277米，共有轿厢98个，单程运行时间约30分钟。其中站到上站之间的局部斜度高达37度，世界罕见。天门山索道共有下、中、上三个站房。下站位于永定区的官黎坪（市区内），上站是天门山顶，这里去往景点鬼古栈道和玻璃栈道。中站也算是一个换乘中心，游客可在这里换乘景区环保车前往天门洞。索道站房以白、绿两种颜色为基本色调，象征着白云与自然，壮观气派、通透典雅。游客乘坐索道可俯瞰天门洞。,8:00-17:30，16:00停止入场。,https://img1.qunarzz.com/travel/d6/1705/6b/6fa718e7024df1b5.jpg_480x360x95_b2448291.jpg,4.6,建议游览时间：0.5小时,4月到10月属于亚热带平原气候，年平均温度在16度左右，特别宜人。推荐大家在4月到10月份期间过去。虽然7月的时候雨水较多，可是雨后的森林烟雾缭绕，充满梦幻的色彩。冬天的时候，也可以过去，冬天的雪景也别有一番风味。,"{'天门山国家森林公园A线套票（天门山索道上山-天门洞快线索道下山）票成人票\n\n': ['¥278起'], '天门山国家森林公园A线套票（天门山索道上山-天门洞快线索道下山）票儿童票\n\n': ['¥147起'], '天门山国家森林公园A线套票（天门山索道上山-天门洞快线索道下山）票学生票\n\n': ['¥147起']}",去张家界有名的景点天门山的话，一定不要忘记带相机过去。同时有恐高症的游客需要注意一下，因为去山顶的途中，会有一段路几乎是悬空的。天门山索道全长7455米，山顶车站的海拔约1279米，摇晃感特别强烈。山顶和张家界市中心的温差差不多有10摄氏度，大家要做好服装的选择。此外，下雨的时候，路特别滑，大家最好是穿防滑的鞋。,1
天子山Tianzi Mountain,http://travel.qunar.com/p-oi713086-tianzishan,"

地址:
张家界市武陵源区张家界国家森林公园内


电话:
0731-88647958,0744-5712189

",在天子山游览，有机会可以观赏到云雾、月夜、霞日、冬雪四大景观。雨过初晴之后的朦胧大雾中，仿佛置身于仙境中；月明之夜时，峰林被月色披上了一层“魔纱”；晴天的早晨，红日从异峰中升起；入冬山中银装素裹。天子山，位于张家界国家森林公园的北部，东临索溪峪景区，因明初土家族向大坤自号“向王天子”，而得名。整座山的“环山游览线”有45公里长，游客可以步行游览，也可以坐公园内的“环保车”游览（环保车费用包含在公园门票内）。亿万年前的天子山还是一片大海，后来由于复杂而漫长的地质过程，形成了天子山中的御笔峰、仙女献花、点将台、空中田园、仙人桥等各种造型奇异的地质景观和奇形山峰。不必特别太在意这些自然造型的像与不像，因为“原始风光自然美”，才是天子山迷人的地方。天子山区域内有农家乐可以提供住宿，价格在几十元-上百元不等，旺季需要提前预定。天子山区域内有不少饭店和小卖部，还有麦当劳餐厅，在这里游玩，饮食不用太担心。,7:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/cfd606dfa3909ae09fec5c8434c6a818.gif_480x360x95_d3e897bb.gif,4.6,建议游览时间：3小时 - 4小时,春秋两季，其中又以4月和10月的风光最美，在这两个月份，张家界的自然风光最美。 张家界7月会有雨，雨天路滑，并且有大雾，不宜登山，雨后1、2个小时的山景最美，烟雾缭绕，有如仙境；冬天会下雪，但不会封山，大雪中的张家界别有一番情趣。,"{'天子山成人票\n\n': ['¥226起'], '打卡张家界森林公园+天门山奇幻仙境+大峡谷玻璃桥+芙蓉镇+凤凰古城梦幻夜景+可选黄龙洞品质纯玩三日游\n\n': ['¥670起'], '【纯玩品质VIP小团】张家界国家森林公园+张家界天门山/大峡谷玻璃桥二日游\n\n': ['¥128起']}",,1
土家风情园Tujia Folk Customs Park,http://travel.qunar.com/p-oi716179-tujiafengqingyuan,,,,,,,,,,1
天门山玻璃栈道Tianmen Mountain Glass Walkway,http://travel.qunar.com/p-oi7526014-tianmenshanbolizhandao,"

地址:
张家界市永定区官黎坪天门山国家森林公园内天门山山顶西线云梦仙顶至倚虹关之间


电话:
0744-8366666


官网:
http://www.tianmenshan.com.cn/

",    天门山玻璃栈道是天门山国家森林公园内的精华特色游道。玻璃栈道分为西线玻璃栈道、东线玻璃栈道和盘龙崖玻璃栈道三条，游玩玻璃栈道需要现场支付5元栈道服务费（即鞋套费用）。    天门山玻璃栈道都建在悬崖峭壁上，道路全部用透明玻璃建成，走在上面，看到脚下的万丈深谷，胆战心惊之余，感受凌空行走的快乐。晴天时，蓝天和白云的倒影铺满了整条栈道，让人在对脚下的透明战战兢兢之余，更乐享于踏云而行的快感;云雾天气，玻璃栈道则在雾中若隐若现，天上人间的美景更是让人惊叹不已。    玻璃栈道是张家界天门山景区继悬于峭壁之上的鬼谷栈道、凭空伸出的玻璃眺望台、横跨峡谷的木质吊桥后打造的又一试胆力作。为了让游客零瑕疵的透过玻璃栈道看到美丽的风景，游玩玻璃栈道的游客均要求戴上鞋套，以保持玻璃栈道的透明和干净。玻璃栈道的刺激震撼，可与举世闻名的美国大峡谷玻璃走廊“天空之路”媲美，因而有了东方“天空之路”的美誉。,全年 07:30-18:00,https://img1.qunarzz.com/travel/d8/1612/81/4637752c411afdb5.jpg_480x360x95_9a38b765.jpg,4.5,建议游览时间：1小时 - 2小时,春秋两季,"{'天门山国家森林公园A线套票（天门山索道上山-天门洞快线索道下山）票成人票\n\n': ['¥278起'], '天门山国家森林公园A线套票（天门山索道上山-天门洞快线索道下山）票儿童票\n\n': ['¥147起'], '天门山国家森林公园A线套票（天门山索道上山-天门洞快线索道下山）票学生票\n\n': ['¥147起']}",张家界昼夜温差大，四季温差相对较小。张家界核心景区与市区的温差约5-10℃，最热时市区39℃，景区约30℃。夏天需带防晒霜，晚上也要盖薄被入眠，因此夜间入住山顶最好携带长袖衣物。秋冬季节上张家界，建议穿夹衣或西服、加薄羊毛衫等春秋服装。年老体弱者宜着夹衣或风衣加羊毛衫。要穿比较好的防滑鞋，张家界多雨水，最好带上伞或防雨的衣裤。,1
