名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
云龙湖旅游景区Yunlong Lake,http://travel.qunar.com/p-oi7526901-yunlonghulu:youjingqu,"

地址:
徐州市云龙湖湖中路1号


电话:
0516-83960925,0516-83960208,0516-83960298


官网:
http://www.ylhfjq.com/

","云龙湖地处市区中心，湖东有云龙山，湖南有珠山，湖西有小长山和卧牛山。景区内湖波浩渺，山色叠翠，古往今来，吸引了众多游子。北宋文学家苏轼任徐州知府时即情钟此湖。如今的云龙湖，东湖游览区以水上活动和参观游览主为，西湖游览区以疗养度假为主，湖南则主要以娱乐及宾馆为主。另有儿童水上乐园、沙滩浴场、万人游泳场等。小南湖景区：小南湖景区内有一池二岛、三轩五园，整个景区水面精巧、环湖布景，以“江南园林”特色的会馆艺苑、水乡人家、小桥流水、名苑流香、荷塘鱼藕为主体景观，形成“静湖幽园”的中国古典人文及自然景观特色。水上世界：坐落在云龙湖湖心岛上，由水族馆、海洋剧场、海洋珍奇标本馆、4D动感电影组成。水族馆七个主题展区展示了来自世界各地的200多种10000余条珍贵鱼种，置身其中仿佛潜入一个扑朔迷离的水中世界。滨湖公园：坐落在云龙湖北岸，东接云龙山，西连韩山，南依云龙湖，北靠滨湖绿地，是一座带状生态园林公园，内有万人游泳场。滨湖新天地：位于云龙湖北大堤，由市民广场、步行街和艺术馆组成，是集休闲、娱乐、餐饮、购物等功能于一体的现代都市滨湖生态休闲文化场所。南湖水街：原名南湖别院，位于小南湖景区内的半岛上，北临风光秀丽的云龙湖，东望蜿蜒起伏的云龙山，古朴典雅的白墙黛瓦与碧水环绕的自然景观相依相映，景色雅致。主要建设内容分为两部分，一部分是商务会所，另一部分是企业会所,是融文化性、娱乐性、观赏性于一体的高档度假、餐饮、休闲娱乐消费街区。",全天开放；游船9:00-17:30,https://img1.qunarzz.com/travel/d6/1703/1c/f1b1a3cb581c1bb5.jpg_480x360x95_cf242989.jpg,4.7,建议游览时间：5小时 - 6小时,,"{'云龙湖旅游景区4人座电动自驾船票大小同价\n\n': ['¥118起'], '云龙湖旅游景区快艇门票大小同价\n\n': ['¥59起'], '云龙湖旅游景区画舫船票大小同价\n\n': ['¥59起']}",,1
龟山汉墓Guishan Han Dynasty Tombs,http://travel.qunar.com/p-oi702927-guishanhanmu,"

地址:
徐州市鼓楼区襄王北路3号


电话:
0516-85770107

",龟山汉墓是龟山景区的主要景点之一，为西汉第六代楚襄王刘注的夫妻合葬墓，由人工开凿的两条墓道和十五间墓室组成，此墓工程浩大，气势雄伟，实为罕见。尤其是至今尚未揭开的四大谜团，吸引着海内外无数游人。龟山汉墓依山为陵，完全是掏空山体而建。南为楚王刘注墓，北为其夫人墓，有南北两条甬道，是迄今世界上打凿精度最高的甬道。墓室十五间，由人工开凿而成，室室相通，主次分明；两甬道均由26块塞石分上下两层堵塞，每层13块，每块塞石重达6-7吨。最奇异的是，两甬道无限延伸后交汇于当时的首都长安。,8:30-17:00,https://img1.qunarzz.com/travel/d0/1608/9e/47a0646b08a590b5.jpg_480x360x95_17951d39.jpg,4.6,建议游览时间：1小时 - 2小时,,"{'龟山汉墓门票成人票\n\n': ['¥72起'], '龟山汉墓电子导览票大小同价\n\n': ['¥9起']}",,1
窑湾古镇Yaowan Ancient Town,http://travel.qunar.com/p-oi7468833-yaowanguzhen,"

地址:
徐州市新沂市窑湾镇


电话:
0516-88557679


官网:
http://www.ywgz.com/

",窑湾古镇国家4A级旅游景区，位于新沂市西南边缘，京杭大运河及骆马湖交汇处，与宿迁、睢宁、邳州三市县相连，是一座具有千年历史、闻名全国的水乡古镇。素有“东望于海，西顾彭城，南瞰淮泗，北瞻泰岱”之描述和“黄金水道金三角”、“苏北水域胜江南”之美誉及“小上海”之称。窑湾集古镇景观、水泊景观、名胜古迹、神话仙境于一体，具有很高的观赏、游览和历史研究价值。千年古镇窑湾历史文化悠久而灿烂。据典籍记载，这里，东周时属钟吾国辖地。秦汉时，作为军需品烧窑处。唐时，位于邳州、海州交界处，因周边窑多，故称窑湾。千年运河百道湾，黄金分割在窑湾；千年古槐，见证了古镇窑湾的兴衰；后院酱缸，雕琢着岁月久远的痕迹；老式建筑，散发出浓厚的文化气息。她像苏南的周庄有湖有水，水网相连；她又像山西的平遥，有着古老的街巷，文化相袭数千年。窑湾古镇人文历史景观厚重。古镇始建于唐朝初期，随着明清漕运和盐业的兴盛，昔日店铺栉比，商贾云集，街上行人如织，水上舟楫连绵。古镇中，城门、楼、店、院、宫、寺、庙、殿，自宋至清，代有营建。古老的街巷、宅院、会馆、作坊、商行、货栈、典当、码头等古镇昔日风貌仍基本犹存。       ,全年 09:00-17:00,https://img1.qunarzz.com/travel/d8/1508/cd/6ab8fc12c14b98.jpg_480x360x95_97789b1c.jpg,4.4,建议游览时间：4小时 - 5小时,,{'窑湾古镇导览服务成人票\n\n': ['¥0.7起']},,1
云龙山Yunlong Mountain,http://travel.qunar.com/p-oi707738-yunlongshan,"

地址:
徐州市泉山区和平路（徐州博物馆对面）


电话:
0516-83865118


官网:
http://www.xzyls.cn/

",云龙山山形蜿蜒如龙，因山上常有云雾缭绕而得名。云龙山虽然海拔只有142米，但文物古迹众多，历来是苏北的名胜。宋苏东坡在徐为太守时，常登山览胜，醉卧山石。他写并书《放鹤亭记》碑文现存山中。从北魏至近代，山上留有北魏时代的大石佛，唐宋摩崖石刻，宋代的放鹤亭、招鹤亭、饮鹤泉、张山人旧居；明代的兴化禅寺、清代的大士岩、山西会馆、船厅、御碑亭、碑廊等历史文物古迹。现在又修复和新建了幽邃轩、洞天小庐、跨云阁、云龙书院、杏花村、观景台、同心台等一大批历史景点。,7:00-21:00，21:00停止入场；以上信息仅供参考，具体以景区当日实际公示信息为准。,https://img1.qunarzz.com/travel/d2/1608/3b/fe2de6e77ef94cb5.jpg_480x360x95_fb06c370.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'徐州云龙山索道门票成人票\n\n': ['¥40起'], '徐州云龙山索道门票儿童票\n\n': ['¥20起'], '云龙山手机智能导游讲解服务大小同价\n\n': ['¥10起']}",,1
徐州博物馆Xuzhou Museum,http://travel.qunar.com/p-oi706232-xuzhoubowuguan,,,,,,,,,,1
徐州汉文化景区Xuzhou Han Culture Scenic Spot,http://travel.qunar.com/p-oi706508-xuzhouhanwenhuajingqu,"

地址:
徐州市云龙区东三环兵马俑路1号


电话:
0516-83566263,0516-83167053


官网:
http://www.hwhjq.com/

",徐州汉文化景区距离徐州市区很近，其中汉兵马俑博物馆、水下兵马俑博物馆、汉画长廊、1995中国十大考古新发现之首狮子山楚王陵，被誉为“两汉三绝”，其他还有羊龟（鬼）山王后陵、刘氏宗祠、竹林寺等景点。在这里你可以一睹汉代楚王陵墓的内部构造，看楚王的地下部队兵马俑，探寻墓主神秘的身份之迷，如果你是汉代文化或《盗墓笔记》一类小说的粉丝，来这旅行最合适不过。景区有多个入口。东门进去是汉文化广场，有勺子形状的司南雕塑，两汉大事年表石刻，站立着的刘邦雕像等景点，再往里一点是王后陵。南门与西门间的兵马俑路上能看见楚王车马出行的雕塑，南门进去是狮子山楚王陵，陵前立着楚王骑着战马的雕像，西门进去是汉兵马俑博物馆。北门进去是竹林寺，但是北门附近没有公交到达。因为南门进去是最重要的景点，而且有多辆公交到达南门附近，所以一般从南门进景区开始参观。,4/1-10/31 09:00-17:00;11/1-3/31 08:30-16:30,https://img1.qunarzz.com/travel/d6/1711/eb/c5d0f23a69f45db5.jpg_480x360x95_96ef9214.jpg,4.5,建议游览时间：12小时 - 3天,,"{'徐州汉文化景区门票成人票\n\n': ['¥78.5起'], '汉文化景区电子讲解服务大小同价\n\n': ['¥0.5起']}",,1
淮海战役纪念馆Huaihai Battle Memorial Hall,http://travel.qunar.com/p-oi7588151-huaihaizhanyijinianguan,,,,,,,,,,1
狮子山楚王陵The Tomb of Chu King on the Shizi Mountain,http://travel.qunar.com/p-oi706114-shizishanchuwangling,"

地址:
徐州市云龙区兵马俑路1号


电话:
0516-83566263,0516-83167053

",狮子山楚王陵位于徐州市区以东4公里处，是汉文化景区内精华的景点。海拔54.3米的狮子山几乎被掏空，陵墓的宏伟气势可见一斑，而种种蛛丝马迹又显示出该墓尚未完工，墓主人的身份有点神秘，有可能是西汉第三代楚王刘戊（尚有争议），参与“七国之乱”兵败后，为不牵连家族被迫自杀，匆匆下葬。如果你是汉文化迷或“盗墓”迷，不妨来此一探究竟。从汉文化景区的南门进去，便是狮子山楚王陵，陵前立着楚王骑着战马的雕像。陵墓南北走向，进入墓中先看到的是位于南部的外墓道，长27.6米，...狮子山楚王陵位于徐州市区以东4公里处，是汉文化景区内精华的景点。海拔54.3米的狮子山几乎被掏空，陵墓的宏伟气势可见一斑，而种种蛛丝马迹又显示出该墓尚未完工，墓主人的身份有点神秘，有可能是西汉第三代楚王刘戊（尚有争议），参与“七国之乱”兵败后，为不牵连家族被迫自杀，匆匆下葬。如果你是汉文化迷或“盗墓”迷，不妨来此一探究竟。从汉文化景区的南门进去，便是狮子山楚王陵，陵前立着楚王骑着战马的雕像。陵墓南北走向，进入墓中先看到的是位于南部的外墓道，长27.6米，比起后面的墓道稍微开阔一些，沿着台阶不停向下，到两侧墙壁陡然变窄形成“一线天”的地方，就是中墓道了。中墓道长20.3米，东侧有一座侍奉楚王饮食的近臣陪葬墓。继续向北，是内墓道，长19.3米，上方天井通向山顶，当年工匠就是从天井挖进来修造楚王陵的。内墓道两侧共有3间耳室，东边的耳室是庖厨间，有两扇门，是所有墓室中大的一间，可以看到里面放置着古代厨具仿制品；西边靠南的耳室是贮藏礼器和兵器的御府库，出土过精美的金带扣；西边靠北的耳室是放沐浴器具的御府库。再往前，能看见主墓门，为了防止盗墓，当年用16块塞石封住，之前的三间耳室虽然幸免，可是主墓门后的其余墓室还是被盗了，据推测是王莽篡位时（公元8年左右）的一场大规模官盗。主墓门后是通往主墓室的甬道，长33.8米，两侧共有6间侧室，分别是钱库，放日常用具的御府库，放楚王国官印、金器的御府印库，嫔妃的陪葬墓室等。甬道尽头便是前堂，即主墓室，东侧原先摆放十分罕见的镶玉棺椁，挖掘楚王陵时主墓室出土过金缕玉衣，用4000多片上好的和田玉片制成，可惜金丝已被盗墓贼抽走。当然现在在墓室里看到的棺椁、金缕玉衣都是仿制品。后到达北端的后室，一定要注意一下这里粗糙的开凿痕迹，是陵墓还没完工的有力证明。后室中央立着根据楚王遗骨恢复出来的楚王雕像，两侧放置在此出土的编钟和编磬的仿制品，据推测这里可能是乐舞厅。游完狮子山楚王陵后，你还可以去看看汉文化景区内的汉兵马俑博物馆、水下兵马俑博物馆、汉画长廊，和楚王陵合为“两汉三绝”。因为狮子山楚王陵里的文物都是仿制品，觉得不过瘾，可以去徐州博物馆，不少墓中真迹在那能看到。,4月1日-10月31日8:30-17:00；11月1日-次年3月31日8:30-16:30。,https://img1.qunarzz.com/travel/d6/1801/7a/cdb1ff26199d16b5.jpg_480x360x95_dec8de96.jpg,4.5,建议游览时间：1小时 - 2小时,,{'徐州汉文化景区门票成人票\n\n': ['¥78.5起']},,1
徐州九顶山野生动物园,http://travel.qunar.com/p-oi38806341-xuzhoujiudingshanyesheng,, 徐州九顶山野生动物园位于徐州市睢宁县岚山镇九顶山山脉，依山傍水，独具自然风貌优势。度假区总占地面积 3600亩，总投资50亿元，分两期建设开发：一期有徐州九顶山野生动物园，占地2500亩左右；怡游国际大马戏，占地50亩左右；非洲草原树屋酒店，30客房+特色餐厅。二期有亲子研学乐园，占地430亩左右；动物主题野奢酒店，占地120亩左右；古邳传奇--两汉文化大型实景演出，占地200亩左右；两汉民俗古镇，占地约300亩左右。 ,,,4.0,,,,,1
水月禅寺Shuiyue Temple,http://travel.qunar.com/p-oi10024652-shuiyueshansi,"

地址:
徐州市睢宁县下邳大道（徐淮公路睢宁城西收费站北200米）


电话:
0516-68063553


官网:
http://www.shuiyuechansi.cn/

",水月禅寺位于白塘河湿地公园东南部，可由公园北大门进入，沿东侧环湖路前行寻访禅寺，亦可由湿地公园东大门进入，经一座拱桥进入水月广场。水月禅寺是在睢宁县地藏寺的基础上复建的，地藏寺坐落在睢宁县睢城镇境内，距今已有600多年历史，始建于明朝永乐年间，不幸毁于日寇侵华战争，几成一片废墟。改革开放后，地藏寺由于历年来当地党委及政府部门大力落实宗教政策，附近佛教徒及广大群众大力维护，又恢复旧貌。2010年10月，因天虹二期扩建，地藏寺迁建到白塘河湿地公园，园区内环境...水月禅寺位于白塘河湿地公园东南部，可由公园北大门进入，沿东侧环湖路前行寻访禅寺，亦可由湿地公园东大门进入，经一座拱桥进入水月广场。水月禅寺是在睢宁县地藏寺的基础上复建的，地藏寺坐落在睢宁县睢城镇境内，距今已有600多年历史，始建于明朝永乐年间，不幸毁于日寇侵华战争，几成一片废墟。改革开放后，地藏寺由于历年来当地党委及政府部门大力落实宗教政策，附近佛教徒及广大群众大力维护，又恢复旧貌。2010年10月，因天虹二期扩建，地藏寺迁建到白塘河湿地公园，园区内环境静谧秀美、曲径幽深，是寺院建设的圣地。因地藏寺迁建之处周边临水，又因佛学所称因、果、圆、缺的信仰似月亮，故地藏寺迁建后更名为“水月禅寺”。水月禅寺的建筑格调独具匠心，设计将佛教元素与现代建筑艺术达到了完美结合，打破传统寺庙建筑理念，形成别具特色的佛教道场。,7:00-17:00,https://img1.qunarzz.com/p/tts4/1801/7c/095e46b7cc116702.jpg_480x360x95_d7e75049.jpg,4.8,建议游览时间：3小时 - 5小时,,景区入园门票需提前预约,,1
