名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
勐焕大金塔Menghuan Grand Golden Pagoda,http://travel.qunar.com/p-oi7588071-menghuandajinta,"

地址:
德宏傣族景颇族自治州潞西市城东南雷牙让山山顶


电话:
0692-2116199,0692-5150290

",勐焕大金塔座落在芒市东南部海拔一千零七十九点六米的雷崖让山顶。传说“释加牟尼”生前转世为金鸡时曾生活于此地，佛涅槃后数百年，佛教弟子“召罕大”为传播佛祖教义亲临此山修炼，为“召罕大”有个修练的好环境，野草和荆棘全部让开，故称为雷牙让山，意为野草让开的地方，尔后在此山建一佛塔，自古以来是人们公认的佛教圣地之一。整座塔高76米，塔底基座直径50米，造型为八角四门空心佛塔，下3层为空心大厅。第一层大殿面积2000平方米，中心方柱东西南北塑有4座佛像。第二第三层外...勐焕大金塔座落在芒市东南部海拔一千零七十九点六米的雷崖让山顶。传说“释加牟尼”生前转世为金鸡时曾生活于此地，佛涅槃后数百年，佛教弟子“召罕大”为传播佛祖教义亲临此山修炼，为“召罕大”有个修练的好环境，野草和荆棘全部让开，故称为雷牙让山，意为野草让开的地方，尔后在此山建一佛塔，自古以来是人们公认的佛教圣地之一。整座塔高76米，塔底基座直径50米，造型为八角四门空心佛塔，下3层为空心大厅。第一层大殿面积2000平方米，中心方柱东西南北塑有4座佛像。第二第三层外平台建有16座造型别致的群塔，塔亭内有16尊汉白玉佛像。塔身主体为钟型大塔，第二、三层各建有小塔8座，第四层外平台建有8个精美的花瓶塔。基座之上的主心柱以大钟和13个钵上垒砌而成，最高点戴有重达2.3吨的大金顶，堪称中的一个金佛塔，亚洲第一空心佛塔。高耸挺拔，雄伟壮观，气势恢宏。,全年 08:30-18:30,https://img1.qunarzz.com/travel/d5/1701/e5/21f16557a9ef2db5.jpg_480x360x95_cfc51dee.jpg,4.5,建议游览时间：1小时,,"{'勐焕大金塔门票成人票\n\n': ['¥38起'], '珍奇园+勐焕大金塔成人票\n\n': ['¥70起'], '腾冲-瑞丽+芒市包车二日游\n\n': ['¥1800起']}",,1
畹町桥Wanding Brige,http://travel.qunar.com/p-oi701813-wandingqiao,"

地址:
云南省瑞丽市畹町镇 678600

",位于畹町市区南边的畹町河上，既是中缅两国的界河桥，也是滇缅公路出入国境的口岸桥和中缅两国的友谊桥。桥头设有海关和边防检查站，每天早晨8时，这里都要举行升旗仪式和开关仪式。小贴士：畹町本地人口仅1万多人，是云南的三个边境开放城市之一。从这里前往缅甸边城南坎、九谷、木姐和腊戍，旅游手续简便：向中方旅行社交两张照片和费用后，即由中方旅行社带出境交缅方旅行社导游，返回时再由缅方旅行社交给中方旅行社。,全年 全天开放,https://img1.qunarzz.com/travel/d2/1509/95/44abe3b07f88d6.jpg_480x360x95_afc0d61b.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
勐焕银塔Meng Huan Silver Tower,http://travel.qunar.com/p-oi23133772-menghuanyinta,"

地址:
德宏傣族景颇族自治州芒市仙池路西200米


电话:
0692-3027968

",,全年 08:30-21:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8d5dda6cfa66c9b82e758cc5294f9453.jpg_480x360x95_17b49468.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'勐焕银塔门票成人票\n\n': ['¥34.5起'], '勐焕银塔门票优待票\n\n': ['¥20起'], '勐焕银塔电子导览服务大小同价\n\n': ['¥7起']}",,1
芒令独树成林Ruili One Tree Forest,http://travel.qunar.com/p-oi9201890-manglingdushuchenglin,"

地址:
瑞丽市320国道勐卯镇芒令村


电话:
0692-4100239

",独树成林距离瑞丽约13公里，地处国道南侧的芒令寨，一株巨大的榕树，远望如同一片森林，故而得名。,8:00-19:00,https://img1.qunarzz.com/travel/d7/1701/ca/b0d170fde9dbfb5.jpg_480x360x95_ac1fadcd.jpg,4.1,建议游览时间：0.5小时 - 1小时,,{'腾冲-瑞丽+芒市包车二日游\n\n': ['¥1800起']},,1
瑞丽边贸街Ruili Border Trade Street,http://travel.qunar.com/p-oi709061-ruilibianmaojie,"

地址:
德宏傣族景颇族自治州瑞丽市瑞京路5号

",瑞丽边贸街位于瑞丽市西北，这里卖货的大多是中缅边民，货物琳琅满目，而且多有本地傣族特色的木雕、皮革、纺织等工艺品，可以感受到浓厚的傣族风情。游客可以在边贸街逛逛，有很多售卖玉石的店铺，不过外行人尽量谨慎购买。瑞丽口岸值得一去，高大威武的城楼让人心生国家自豪感，这里也是游客拍照留念的热门景点。还可以在此参加当地团，来一次中缅边境一日游，非常方便。晚上瑞丽边贸街有夜市，可以品尝到当地特色的美食和水果。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1708/11/0aa37eeb31a6aab5.jpg_480x360x95_1c2d67be.jpg,4.3,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
黑河老坡Heihe Laopo,http://travel.qunar.com/p-oi9281960-heihelaopo,"

地址:
德宏傣族景颇族自治州芒市110乡道南50米

",黑河老坡位于德宏州府芒市东南部中山乡赛岗村，海拔2836米，是芒市第二高山，被誉为“芒市的呼伦贝尔草原”。景区内多姿多彩，一步一景，景景相连，保留着原汁原味的原始森林和高山草甸景观，原始森林茂密苍劲，高山草甸一望无际，可听山风呼啸而过，可观云海浩瀚翻腾，是休闲娱乐、登山观景的好去处。,8:30-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e764b1b2c9d45b7a972714ca92ba7b0d.jpg_480x360x95_07bf8272.jpg,4.3,建议游览时间：2小时 - 3小时,,具体收费情况以景区现场公示为主。,,1
勐巴娜西珍奇园Mengba Naxi Rarity Park,http://travel.qunar.com/p-oi702098-mengbanaxizhenqiyuan,"

地址:
德宏傣族景颇族自治州芒市仙池路9号


电话:
0692-2121043,0692-2137666

",勐巴娜西珍奇园建于2001年，由榕树园、三角梅园、紫薇园、桂花园、鸡蛋花园、盆景园、桫椤园、展览馆和奇石长廊等构成，珍奇园汇集了全国少见的大量古树名木和世界罕见的硅化木玉石。其特色是：稀、奇、古、怪，堪称精品荟萃的亚热带植物的宝库，同时也是全国罕见的生态园林。“勐巴娜西”有奇特、美丽、富饶的意思，德宏勐巴娜西珍奇圆拥有四项全国之上：古树名木数量之多，年代之古为全国之上；奇石、树化石，尤其是世界上罕见的树化玉，规格之大、精品之多为全国之上；大型根雕造型之美、形状之奇、品位之高为全国之上；大树移植数量之多，成活率之高，为全国之上。信步珍奇圆，罕见的千年桂花、千年黄扬、千年紫薇、亿年硅化木玉石处处可及，圆内春有花、夏有荫、秋有果、冬有绿，恍如一个美妙奇特的世界，令人叹为观止。,8:00-18:00,https://img1.qunarzz.com/travel/d4/1705/dd/0c0cfa3bb303e6b5.jpg_480x360x95_04f18ed0.jpg,4.4,建议游览时间：3小时,,"{'勐巴娜西珍奇园成人票\n\n': ['¥38起'], '珍奇园+勐焕大金塔成人票\n\n': ['¥70起'], '腾冲-瑞丽+芒市包车二日游\n\n': ['¥1800起']}",,1
"一寨两国One Village, Two Countries",http://travel.qunar.com/p-oi7469068-yizhailiangguo,,,,,,,,,,1
莫里热带雨林景区Moli Tropical Rainforest Scenic Area,http://travel.qunar.com/p-oi703074-moliredaiyulinjingqu,"

地址:
瑞丽市东北部莫温段302国道边莫里峡谷内


电话:
0692-4143929,0692-4902174

",莫里热带雨林景区位于瑞丽市东北，莫里”是傣语，意为“美丽的瀑布”。莫里热带雨林以其秀丽奇异的自然景观和佛教圣地名闻遐迩。温泉池附近有座金色的傣式塔亭值得一去，内有一块囤箩石，在它倾斜于地面的岩壁上嵌有一个巨型“足印”，趾掌清晰可辨，这就是在东南亚佛教界享有盛名的佛脚印，拿起相机拍照留念吧。塔亭后不远处建有大佛寺，每逢佛教节日，香客络绎不绝，可在此拜佛祈福。,8:00-18:00,https://img1.qunarzz.com/travel/d3/1508/8b/570101033b1ce8.jpg_480x360x95_14527507.jpg,4.6,建议游览时间：1小时 - 2小时,,"{'莫里热带雨林景区门票成人票\n\n': ['¥35起'], '莫里热带雨林景区门票优待票\n\n': ['¥18起'], '瑞丽市莫里热带雨林电子导览服务大小同价\n\n': ['¥9起']}",,1
树包塔Tree Covered Pagoda,http://travel.qunar.com/p-oi722779-shubaota,"

地址:
德宏傣族景颇族自治州芒市胞波路

",树包塔是一座傣式佛塔，原名铁城佛塔，是为了纪念一次战事而建的，佛塔为实心的砖塔，被树根缠绕覆盖，故名树包塔，是当地傣族建造较早的佛塔。别致的树包塔，塔身象一个立地的金刚，威严气派，伟岸的菩提树像一把撑开的巨伞护住塔顶。粗壮的树冠手臂般伸向天空，古铜色的树干奇倔弯曲，紧紧裹住塔身，树壁犹如飞瀑落地，沐浴着塔基，树包着塔，塔拥着树，相互依存，相映成趣，形成了独特的树包塔奇观，驰名滇西及东南亚。佛塔在芒市小学内，朝着胞波路的门是专门为游客修的，如果天晚此门已锁，可以从团结大街上的小学大门进去。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/18bf1dc0ecfbe1f02267c2818905efd3.jpg_480x360x95_23ae7f4e.jpg,4.5,建议游览时间：2小时,,{'腾冲-瑞丽+芒市包车二日游\n\n': ['¥1800起']},,1
姐告口岸Jiegao Port,http://travel.qunar.com/p-oi709873-jiegaokouan,"

地址:
云南省德宏傣族景颇族自治州瑞丽市姐告路


电话:
0692-4141351

",姐告口岸位于瑞丽市区东南部4公里处，瑞丽江的东岸，面积1.92平方公里，陆路直接与缅甸相连，历史上称为“飞地”。过去渡江只能依靠竹筏、木舟摆渡，直到1989年修建了跨江的姐告大桥，才连通了两岸。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/dc2ade17a44b93b8d6451d54aef4d09d.jpg_480x360x95_3354acf3.jpg,4.4,建议游览时间：3小时 - 5小时,,"{'腾冲-瑞丽+芒市包车二日游\n\n': ['¥1800起'], '腾冲至芒市+瑞丽小团二日游：大金塔+莫里瀑布+姐告+一寨两国\n\n': ['¥1380起']}",,2
姐勒大金塔Jiele Grand Pagoda,http://travel.qunar.com/p-oi703120-jieledajinta,"

地址:
德宏傣族景颇族自治州瑞丽市姐勒金塔


电话:
0692-4900783

",姐勒大金塔位于昆明至瑞丽的国道旁，距离瑞丽县城东北5公里的姐勒寨子里，金光四射，远近闻名，塔的傣语名字叫“广姆贺卯”，意思是“坝子头的塔”，是瑞丽较为古老的佛教建筑、佛事活动场所和旅游景点，其规模不亚于允燕塔、以及西双版纳的曼飞龙塔。姐勒金塔始建于17世纪，由17座塔组成的群塔，塔身贴满金色磁砖，除主塔外，四周环绕着16座小塔，塔身均涂金粉，金碧辉煌，如众星拱月，雄伟壮丽。塔基用长方青石建成，塔群为钢混结构，主塔高39.5米，塔身为正八棱形，呈圆锥体，贴满金色瓷砖，顶端有电化铝制成的宝伞、风标，系着上百只风铃。远远望去，金光耀眼的金塔，掩映在大青树群之中，微风吹来，声音叮当悦耳，反映出傣族工匠数百年前，具有民族特色的建筑构思和艺术成就。此塔是东南亚的有名佛塔之一，旁有佛寺供奉。每年的泼水节，都要举办3天隆重的佛会，非常热闹。,全年 8:00-19:00,https://img1.qunarzz.com/piao/fusion/1412/f2/f2edf39df7fa389cdb.jpg_480x360x95_613cb436.jpg,4.6,建议游览时间：4小时,,具体收费情况以现场公示为主,,2
瑞丽江Ruilijiang River,http://travel.qunar.com/p-oi713979-ruilijiang,"

地址:
德宏傣族景颇族自治州瑞丽市

",瑞丽江傣语称为南卯江，意为“白雾笼罩的河”。因瑞丽傣语称为勐卯，所以也叫勐卯江，历史上又叫麓川江。瑞丽江在瑞丽境内长53公里，宽100-200米，两岸坝子平坦，土地丰肥，气候温暖湿润，是十分富饶的傣家鱼米之乡。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1608/c8/1b0be3bc15d91ab5.jpg_480x360x95_0ad09f2c.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
