名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
泉城欧乐堡动物王国Quancheng Oulebao Animal Kingdom,http://travel.qunar.com/p-oi36156635-quanchengoulebaodongwu,"

地址:
山东省德州市齐河县黄河国际生态城玉带湖路99号


电话:
4001077888

",          泉城欧乐堡动物王国，位于风景秀丽的黄河国际生态城，占地2000余亩。一票畅玩亚洲森林、狂野非洲、鹦鹉世界、熊猫岛、萌宠奇遇、灵长王国、飞鸟奇缘、长颈鹿庄园酒店、湖畔木屋、动物行为展示馆、亲子拓展区、奇妙博物馆等多个主题功能分区；观看动物表演；体验动物转马、魔力伞塔、空中自行车等10项游乐设备~     亮点1、野生动物“大种群”、“原生态”展示园区采用“大种群”“族群式”的方式，引进了“国宝”大熊猫、金丝猴、金毛羚牛以及国家一级保护动物东北虎、亚洲象、丹顶鹤、长臂猿、非洲白狮、长颈鹿、黑猩猩、袋鼠、山魈等200余种近万头（只）的野生动物。以大种群、原生态的方式为您展示野生动物在原生态自然环境下的生存生活状态，让您更好的认识动物，与动物伙伴交朋友~亮点3、三大精彩表演，体验沉浸式森林童话；入园后可免费观看三大精彩表演：①森林之眼（位于步行区入口的森林之眼表演场，每周一无）：将动物行为展示与杂技演出完美结合，打造一场人与动物、自然和谐的视觉盛宴；②飞鸟秀场（位于飞鸟奇缘区域，化石馆西侧表演场）：秃鹳、黑天鹅、冠鹤、蓑羽鹤们，一起跳起优美的华尔兹，或振翅起舞，或引颈高歌，唱响浪漫唯美主旋律；③鹦鹉世界（位于鹦鹉馆南侧表演场）：不仅可以认识众多身着色彩缤纷华丽羽衣的鹦鹉朋友们，还将欣赏一场体育运动的竞赛，轮滑、举重、翻跟斗，由运动世家鹦鹉家族为您精彩呈现。（备注：演出会因特殊天气、场地升级等原因在未提前告知的情况下临时取消，不便之处敬请谅解。）  亮点4、亲子游乐，纵享动物互动体验；园区打造专属亲子游乐区，所有儿童游乐设备均可免费体验。豪华转马、欢乐农场、袋鼠跳、迷你伞塔、魔术自行车等让您与宝贝一起体欢乐；为6-16岁儿童打造的专属游乐区-森林探索营，让孩子体验攀爬乐趣的同时，也营造了亲子互动相处的快乐时光。园区内开设了长颈鹿、斑马、狐猴、鹦鹉、小浣熊等互动投喂体验，让您可以安全且更加近距离的与野生动物面对面互动。亮点5、野生动物伴入眠，不出国门感受“肯尼亚”的野趣体验；园区建有高端民宿酒店--长颈鹿庄园和湖畔垂钓民宿。住进长颈鹿庄园酒店，零距离享受与大自然和谐共处的美妙时刻。清晨，鸵鸟哒哒的敲打着窗户，伸进脑袋给你一个morning call；当你享受美餐时，长颈鹿们伸长了脖子与你亲昵耳语，却在不经意间偷偷卷走你桌盘里的胡萝卜派和鲜树叶，夜幕降临，与上万只野生动物享受静谧的野趣世界，远处来自非洲草原雄狮的低吼声伴你入眠。酒店打造非洲风情、长颈鹿主题尊享套房，让大家仿佛穿越至非洲大草原，不出国门即可亲临非洲“肯尼亚”的狂野世界，奇妙之旅从这里开始！住进湖畔垂钓民宿，坐拥一湖秀水，与家人享受垂钓、烧烤、篝火的亲子乐趣。专属管家VIP服务、开上VIP代步车先人一步抢先入园，空中缆车、开心农场、森林探索营...十余种亲子游乐设施，任意畅玩、免排队，恣意尊享动物王国style！亮点6、奇妙博物馆，身临其境的科普研学之旅泉城欧乐堡动物王国开创了“动物+博物馆”的体验模式，在古化石博物馆（包含在门票中）了解黄河流域的古生物文化。在标本馆（需单独购票），感受高科技与旅游融合的发展与魅力，引入VR科技和仿真技术，让已经灭绝在历史长河中的远古、珍稀动物“活”起来。实现寓教于乐和文化底蕴的积淀。亮点7、七大主题餐厅，与动物一起共享世界美食园区推出了七大主题餐厅：熊猫餐厅、树懒茶餐厅、老虎餐厅、仙人掌杰克餐厅、探险者餐厅、小浣熊西餐厅、客兹乐汉堡餐厅等，荟萃不同主题特色的中西美食，一站式满足您味蕾的享受。动物王国游玩攻略第一篇、游园贴士泉城欧乐堡动物王国分为步行区和车行区。车行区入口位于园区东侧，可以自驾车游览（需另购票），中途不可以下车哦~车行区游览完毕，可以将爱车停在景区西门，再检票进入步行区（如需租车，可找工作人员将您从西门送到车辆租赁处）。步行区一票畅玩秘境之眼、亚洲森林、狂野非洲、鹦鹉世界、熊猫岛、萌宠奇遇、灵长王国、飞鸟奇缘、古化石博物馆等多个主题功能分区；免费观看三大表演（表演会根据天气或动物状态进行调整，请以景区当天公告为准）；免费体验动物转马、魔力伞塔、空中自行车等多项游乐设备和森林探索营~出行前准备：备好身份证，购买优待票的游客请携带好老年证、军官证等相关证件；自拍杆、充电宝（园区内也可租赁）~如何购票：可以当天购，随买随用；也可提前购，提前购票更优惠哦~入园：购票成功后，无需换票；刷购票身份证或短信凭证码检票入园，购买优待票的游客检票时需要同时出示相关证件；交通攻略：1. 高铁：济南西站下车，打车约25分钟；济南站下车，打车约40分钟即可到达泉城欧乐堡动物王国；2. 自驾：距离济南市区约30分钟路程，外地自驾导航“泉城欧乐堡动物王国”，可在“齐河生态城”出口下高速，开车约15分钟即可到达；（停车场半小时内停车免费，超过半小时10元/辆）；3. 飞机：济南遥墙机场打车约45分钟即可到达；4. 公交：济南市区可乘坐K906路公交车，在“泉城欧乐堡动物园”站下车，齐河县城乘坐K906路或齐河5路公交，在“动物王国”站下车；第二篇、推荐路线推荐路线一检票入园后先领一份导览图，场馆分布一目了然~推荐路线二车行区游览—停车后从西门进入步行区（如需租车告知工作人员，免费带您去租车处，再按路线一游玩；如不租车，可直接游览）—萌宠奇遇（可免费玩儿童游乐设备）—鸟语湿地—熊猫岛—西缆车站乘坐缆车—东缆车站—亚洲森林—狂野非洲—熊猫岛—鹦鹉世界（在鹦鹉馆南侧有鹦鹉秀场的演出）—灵长王国—拓展训练营（无动力攀爬设备、秋千、蹦床、滑梯等儿童游乐区，含在门票内）—飞鸟奇缘—古化石博物馆—天鹅湖—森林之眼观看演出（每周一无）—演出结束后可找工作人员，告知去车行区停车场取车，免费带您去西门⑥动物表演：鹦鹉秀场：11：00；13：00；15：00，位于鹦鹉馆南侧飞鸟秀场：14：30，位于化石馆西侧森林之眼：15：30，位于秘境之眼区的表演场（每周一无）表演时间和场次会根据季节和节庆活动有所调整或取消，请以景区当天公示为准；第四篇、吃住在哪里1.园区内有八大主题餐厅，中西餐、小吃类品类齐全，满足您的味蕾；①.老虎餐厅简介：与老虎、白狮共进午餐，感受不一样的午餐时光 ；推荐菜品：鸡腿饭、咖喱鸡排饭；位置：亚洲森林区-虎苑西侧②.熊猫餐厅简介：可以边吃饭边观看国宝大熊猫；推荐菜品：杏鲍菇卤肉饭、炸酱面、水饺；位置：熊猫岛-熊猫馆西侧③.茶尔司主题茶餐厅简介：真材食料，用心制作；店内有树懒；推荐饮品：芒芒椰椰、寻宝奶茶、满杯红柚；位置：秘境之眼区-东缆车站对面,全年 09:28-16:40,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f8ebd1a48bb6c795c780149b5e9d123f.gif_480x360x95_0907b727.gif,4.8,建议游览时间：2小时 - 3小时,,"{'泉城欧乐堡动物王国门票成人票\n\n': ['¥224.5起'], '泉城欧乐堡动物王国门票优待票\n\n': ['¥118.3起'], '泉城欧乐堡动物王国门票亲子票(1大1小)\n\n': ['¥218.7起']}",,1
泉城欧乐堡海洋极地世界Quancheng Ocean and Polar World,http://travel.qunar.com/p-oi7469099-quanchengoulebaohaiyang,"

地址:
德州市齐河县黄河国际生态城旅游路08号（临近济南北部）


电话:
4001077888

",     泉城欧乐堡海洋极地世界，一张门票可以参观热带雨林、海底隧道、海洋生物、极地动物展示、科普教育、水下剧场、海洋剧场等10多个展馆，观赏到从赤道热带雨林到南北极地世界各地珍稀海洋生物千余种，如北极熊、企鹅、北极狐、海狮、海豚、海牛、海豹以及大白鲸、鲨鱼、百年海龟等。漫步在梦幻般的海底隧道，免费观看童话里的美人鱼、惊艳动感的水下芭蕾、滑稽幽默的海洋剧场演出。亮点1、珍稀海洋、极地动物汇聚，大种群生态展示园区汇集了从赤道热带雨林到南北极地世界各地珍稀海洋生物千余种、总量达万余只。北极霸主北极熊、南极绅士企鹅、北冰洋的歌唱家白鲸、太平洋精灵海豚，以及海象、北极狐、海狮、海豹、江豚、巨骨舌鱼、海龟、松鼠猴等诸多珍稀物种以“大种群”的生态展示，给您奉上多姿多彩的海洋生态观览体验。亮点2、两大表演剧场 尽享海洋文化盛宴水下剧场，美人鱼公主和英俊的王子带给大家浪漫的童话爱情--人鱼奇缘。动感热辣的水中芭蕾，呈现花团锦簇、千手观音等近40组高难动作技巧，带来热情奔放的视听盛宴。海洋剧场，有幽默滑稽的海狮表演和浪漫刺激的海豚表演，上演八头海豚同台演出、浪漫骑士、激情冲浪、呼啦圈大赛、尾鳍拍球送大礼、高空顶球、人豚共舞、海狮算数、海狮音乐会等令游客欢欣雀跃的精彩表演。(演出会根据动物状态而做出调整或取消，请您谅解）亮点3、泉城欧乐堡海洋极地世界还专门建设海洋科普馆，科普馆以宣传、教育、保护海洋为主题，让游客在欢乐轻松的游览氛围里了解海洋、热爱海洋、保护海洋。亮点4、海洋科技展示 解密海洋馆的维生系统泉城欧乐堡海洋极地世界展示有一套海洋馆维生系统，可以更直观地了解海洋科技方式，讲述海洋馆的水处理方式。亮点5、“海底两万里”主题研学 奇幻海底夜宿园区建设有完备的海洋科普、研学体系，依托两大海洋科普馆和丰富的海洋动物资源，开设有海洋知识课堂、水母实验室、鲨鱼牙、小小饲养员角色体验、海豚伴游等集知识性、趣味性、参与性于一体的科普特色课程。海底夜宿隧道，沉浸式感受“以海为天，以水为被，与鱼儿共眠”的神奇经历，一站式满足省内外游客休闲度假、海洋科普、亲子游乐、研学旅行的出游需求。亮点6、打卡网红主题餐厅，荟萃中西美食园区配套设有四大网红主题餐饮休息区域，让游客既能享受中西美食，也能体验浪漫清馨唯美的拍照打卡地。  航海家餐厅，位于海底大圆缸处，让人沉浸于加勒比海底沉船的探险氛围中，逃离巨型章鱼的侵扰，和鱼儿们一起快乐用餐，成为您朋友圈霸屏的网红打卡地。  鲸鱼湾餐吧，位于海洋剧场东侧，配有茶尔司饮品店，点杯饮品、配上蛋糕，可以一边享受美食，一边观看白鲸、海狮、海象、海豚宝贝们同台竞技，坐拥海洋欢乐视听盛宴。客兹乐汉堡餐厅，位于海洋剧场对面，纯手工拍打饱满厚实、鲜嫩多汁的肉饼，配上香酥可口的现煎面包，再搭配薯条和沙拉，带去欲罢不能的满足感。秘境花厨餐厅，位于二楼电梯出口，现代简约风格的设计，营造典雅、自然、温馨的情调。在传统饮食中增加时尚元素，结合中式套餐、多样西餐、精致糕点、缤纷水果等多种餐品为一体并提供自助式选择的方式，致力于为游客提供更精致、更时尚、更健康、更便利、更符合现代化生活形态的健康美食！泉城欧乐堡海洋极地世界游玩攻略第一篇、游园贴士泉城欧乐堡海洋极地世界拥有热带雨林、海底隧道、海龟岛、水母宫、鲨鱼湾、极地探秘、海兽馆、4D影院、科普教育馆等多个展馆，可以观赏到从赤道热带雨林到南北极地世界各地珍稀海洋生物千余种，如北极熊、北极狐、海狮、海豚、海牛、企鹅、海豹以及大白鲸、鲨鱼、百年海龟等。门票包含水下剧场、海洋剧场两大表演，馆内提供轮椅租赁、婴儿车租赁、母婴室等服务。 第二篇、亲子攻略泉城欧乐堡海洋极地世界展馆内冬暖夏凉，各个季节都适合带娃参观游览，沿馆内设计的路线依次参观，不用担心迷路；如有需要，还可以租赁婴儿车。展缸上有相应的海洋生物介绍，可以讲给小朋友听，一起学习海洋知识！入馆前，也可以在售票处购买导游讲解服务，适合家庭出游选择，深度了解奇幻有趣的海洋奥秘。经典必打卡1、迎宾大白鲸：进入馆内，先在大厅与有“水中冰美人”之称的大白鲸互动合影，开启奇妙海洋之旅~PS:记得在大厅留意当天的节目演出时间表，不要错过精彩演出。2、海底隧道：打卡百米的海底隧道，感受被海洋包围，身临其境地体验海底的梦幻与奇妙； 3、水下剧场：穿过海底隧道便是水下表演剧场，观看美轮美奂的人鳐共舞、浪漫唯美的人鱼奇缘、动感十足的水下芭蕾表演；结束后还可以与美人鱼合影留念（30元）。日常每天四场表演，表演时间和场次会根据节假日进行调整，进馆时可以先在入门大厅拍照记录表演时间。4、海洋剧场：表演场位于二楼，上下午各有一场，幽默滑稽的海象、聪明有趣的海狮和浪漫刺激的海豚表演。表演时间和场次会根据节假日及动物状态进行调整，不要错过精彩演出~如果您进馆时临近表演时间，可走入馆口右侧，乘坐电梯或走楼梯直接前往二楼表演场观看海洋剧场；5、极地世界：在这里生活着活泼好动的雪地精灵-北极狐、神态威武的北极霸主-北极熊、机灵活泼的海狗-毛皮海狮、体型庞大的北海狮、南极主人-企鹅、憨厚可爱的海象、美丽华贵的海中金丝雀-白鲸等极地动物；还有室外展馆——海兽乐园，可以近距离观看海豹自由自在地游动和喂食。6、海洋科普馆：海洋知识、海洋生物标本、4D影院（另收费）、喊泉、儿童滑梯等，集知识性、趣味性、参与性于一体。互动体验：馆内有食人鲳、海龟、海豹、北极熊投喂体验，价格15元-50元不等，可以选择几项让小朋友感受亲手喂食的快乐；还可以与美人鱼、松鼠猴、白鲸、海豚、海象合影留念，价格20-100元不等；用餐：馆内面积8.8万平方米，可以自在悠闲地逛一整天，不需要担心用餐问题。位于海底圆缸处的航海家餐厅、位于海洋剧场对面的客兹乐汉堡餐厅、位于二楼电梯口的秘境花厨餐厅、位于海洋剧场旁的茶尔司饮品店；中西餐、小吃、饮品、甜点样样俱全，都可以作为中途休憩的能量补给站。在馆内还分布有多处小吃摊位：超大烤肠、爆米花等满足大小朋友的胃口！鲨鱼湾、美人鱼剧场、海洋剧场的主题商店，动物主题玩偶造型种类多，制作工艺精湛，选材质量有保证，深受小朋友喜爱。第三篇、如何吃住用餐馆内目前共有4处用餐地点①航海家餐厅：位于海底大圆缸处，航海主题风格，让人沉浸于航海探险氛围中，逃离巨型章鱼的侵扰，和鱼儿们一起快乐用餐，成为游客朋友圈霸屏的网红打卡地，也是游览途中的能量补给站。菜品：汉堡套餐、全家福套餐②客兹乐汉堡餐厅：位于海洋剧场对面，纯手工拍打的肉饼饱满厚实、鲜嫩多汁，配上香酥可口的现煎面包，再搭配薯条和沙拉，旅游途中也不用委屈味蕾。可享用汉堡、小食、饮品等，单点、套餐都可以；菜品：牛肉汉堡、香辣脆鸡堡、披萨、盐酥鸡、蛋糕、可乐、橙汁③秘境花厨餐厅：位于二楼电梯出口处，现代简约的设计风格，典雅、自然、温馨的情调，在传统饮食中增加时尚元素，结合中式套餐、多样西餐、精致糕点、缤纷水果等多种餐品为一体并提供自助式选择的方式，为您提供更精致、更时尚、更健康、更便利、更符合现代化生活形态的健康美食！菜品：儿童套餐、咖喱鸡排饭、奥尔良鸡腿饭、红烧牛肉面、虾仁鲜肉馄饨、小吃拼盘、披萨、蛋糕；④鲸鱼湾餐吧：位于海洋剧场东侧，搭配有茶尔司饮品店，点杯饮品、配上蛋糕，可以一边享受美食，一边观看海狮、海象、海豚宝贝们同台竞技，坐拥海洋欢乐视听盛宴。饮品：波霸奶茶、葡萄芋圆、满杯红柚住宿1、欧乐堡骑士度假酒店：位于海洋极地世界的东侧，步行约15分钟，采用欧洲骑士文化主题的装修方式，建设有公主/王子房、树屋、木马计、骑士房等主题客房及度假客房，是家庭出游的不错之选。酒店融合了戏水湾泰式温泉、主题KTV、欧乐堡啤酒坊、主题餐厅酒吧、儿童游乐室，多功能会议室等功能分区。白天逛完景区后，还可以美美的泡个温泉，吃份自助，缓解一天的疲劳，晚上入住特色主题房，享受美好的度假生活。周边还有泉城欧乐堡梦幻世界、泉城欧乐堡水上世界（仅夏季开园）、泉城欧乐堡动物王国景区，可以陪您充实的度过小长假~2、欧乐堡温泉酒店：温泉酒店位于海洋极地世界东侧，采用欧式建筑风格，以商务会议为特色，集住宿、餐饮、会议为一体，设有商务标间、大床房等客房。酒店西侧还有泉城欧乐堡梦幻世界、泉城欧乐堡水上世界（仅夏季开园），附近还有动物王国景区，可以伴您度过一个轻松充实的小长假~3、长颈鹿庄园酒店：位于泉城欧乐堡动物王国景区内，距离海洋极地世界约10分钟车程；轻松度过小长假的好去处，在这您可以零距离享受与大自然和谐共处的美妙时刻。酒店打造非洲风情、长颈鹿主题尊享套房，让您仿佛穿越至非洲大草原，不出国门即可亲临非洲“肯尼亚”的狂野世界。购买酒店套餐，享受VIP待遇：动物王国专属代步车两日使用权、主厨定制健康营养餐、湖畔垂钓位、空中缆车与沉浸式互动影院不限次数乘坐体验、赠送萌宠投喂篮、乘坐游乐设备免排队等。4、湖畔垂钓民宿：位于泉城欧乐堡动物王国景区内，距离海洋极地世界约10分钟车程；共7间不同主题的木屋，是轻松度过小长假的好去处。住进木屋，坐拥一湖秀水，与家人享受垂钓、烧烤、篝火的亲子乐趣。购买酒店套餐，享受VIP待遇：动物王国专属代步车两日使用权、主厨定制健康营养餐、湖畔垂钓位、空中缆车与沉浸式互动影院不限次数乘坐体验、赠送萌宠投喂篮、乘坐游乐设备免排队等。,全年 08:30-17:30,https://img1.qunarzz.com/travel/d0/1710/94/07cc64d4b2090db5.jpg_480x360x95_2db09341.jpg,4.7,建议游览时间：3小时 - 4小时,,"{'泉城海洋极地世界门票成人票\n\n': ['¥174.3起'], '泉城海洋极地世界门票优待票\n\n': ['¥116.6起'], '泉城海洋极地世界门票双人票\n\n': ['¥220起']}",,1
动物标本博物馆,http://travel.qunar.com/p-oi37806568-dongwubiaobenbowuguan,,动物标本博物馆里面有恐龙化石，各种各样的动物标本，逼真的动物音效，适合带孩子来游玩学习。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
"中国驿泉城中华饮食文化小镇China Food Culture Town, Yiquan City, China",http://travel.qunar.com/p-oi29462873-zhongguoyiquanchengzhong,,,,,,,,,,1
"德百旅游小镇椹仙村Shenxian Village, Debai Tourism Town",http://travel.qunar.com/p-oi22982978-debailu:youxiaozhenshen,"

地址:
德州市夏津县苏留庄镇后屯村


电话:
0534-6135000

",德百旅游小镇椹仙村以国家4A级景区黄河故道森林公园为依托，以齐鲁民俗休闲体验为契入点，将传统民俗、夏津历史人文以及生态资源有机融合，集中展示齐晋会盟的历史文化和世界农业文化遗产的古桑文化。景区建设有齐鲁印象体验地、欢乐杂技大世界、跑马训练场、特色小吃一条街、养生休闲公寓、拓展实训基地、康养基地七大板块。,全年 08:30-21:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/15574826264641557429356185100514000000w2h3t06EDD64010000jpgprocautoorient.jpg_480x360x95_33eb47aa.jpg,4.2,建议游览时间：12小时 - 3天,,"{'德百旅游小镇椹仙村门票大小同价\n\n': ['¥38.7起'], '德百旅游小镇椹仙村游园票成人票\n\n': ['¥38起']}",,1
减河湿地公园Jianhe Wetland Park,http://travel.qunar.com/p-oi8605701-jianheshidigongyuan,"

地址:
德州市德城区经济开发区104国道桥以南

",减河湿地景区从104国道桥以南减马横河到314袁桥以北500米，全长4.5公里，宽度350米，面积约2400亩，分为池塘湿地、组合型湿地、潜流型湿地、景观湿地等。东岸是以采摘体验为主的千亩花卉林果区，栽种有各种花卉、瓜果、蔬菜、杂粮，四季常青，三季有花有果，常年可以采摘。西岸主要为湿地组合，建设有“一帆风顺”观光塔、“时来运转”水车、“惠风和畅”风车和后羿射日、嫦娥奔月文化雕塑等人文景观。减河湿地景区的建设，有效解决了污水污染问题，改善了生态环境，提升了德州城市形象和城市品位，成为人们休闲旅游的秀水佳境。,8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/2f6419590d4cbcdb6c23a13b0ec07d1f.jpg_480x360x95_2ce1930e.jpg,4.6,建议游览时间：2小时 - 3小时,四季皆宜，夏季最佳。,具体收费情况以现场公示为主,,1
苏禄王墓Tomb of King Sulu,http://travel.qunar.com/p-oi3735916-suluwangmu,"

地址:
德州市德城区青年路356号（北陵路北首）


电话:
0534-2323787

",苏禄王墓座落于德州市北区的北营村。古苏禄国位于菲律宾苏禄群岛上，国内分为东王、西王、峒王三家王侯，以东王为尊，在我国明代，古苏禄国同我国开始了密切的友好来往。明永乐十五年，苏禄群岛上的三位国王—东王巴都葛叭哈喇，西王麻哈喇葛麻丁、峒王巴都葛叭喇卜，率领家眷一行340人组成友好使团，前来中国进行友好访问，受到明永乐皇帝朱棣的隆重接待。东王在取道山东归国徒中，不幸遭疾，病故于德州以北安陵镇驿馆。永乐皇帝闻讣，深为哀悼，遂派礼部郎中带祭文赶赴德州，以王礼厚葬。,全年 09:00-17:00,https://img1.qunarzz.com/travel/poi/1712/cf/b007eb0c27e89637.jpg_480x360x95_fa2f3ff9.jpg,4.2,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
德州市革命烈士陵园,http://travel.qunar.com/p-oi39160590-dezhoushigeminglieshi,,,,,5.0,,,,,1
德百奇石观赏园,http://travel.qunar.com/p-oi39065785-debaiqishiguanshangyuan,,,,,--,,,,,1
千年枣林游览区,http://travel.qunar.com/p-oi38609055-qiannianzaolinyoulanqu,,,,,0.0,,,具体收费情况以现场公示为主,,1
