名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
五台山Mount Wutai,http://travel.qunar.com/p-oi710040-wutaishan,"

地址:
忻州市五台县台怀镇


电话:
4001666236


官网:
http://www.wtsykfwzx.com/

",五台山位于忻州市五台县境内，五座顶如平台的山峰相簇拥，风光秀美，是有名的避暑胜地。此外，这里也是文殊菩萨的道场，寺院林立，位列中国佛教四大名山之首。这里是黄庙（藏传）、青庙（汉传）共存的道场，不仅能看到汉传的僧人，也能看到藏传的喇嘛。如果把五根手指看作耸立的“五台”，那么掌心处便是台怀镇。台怀镇是五台山景区的地理中心和食宿大本营，大部分寺庙也都集中在这里，是游客的必到之处。游玩五台山一般吃住在台怀镇，行程三天较为适宜，时间不赶，也基本可以把主要的寺庙都看完。来到五台山必做两件事，一是去各大寺院礼佛祈福，二是朝拜五台（大朝台），推荐其中两天去寺庙礼佛祈福，一天朝台。来的当天可在镇中心游玩，顺便也熟悉五台山的环境。台怀镇比较精华的寺庙群集中在镇子的西北，可步行或者坐景区环保车游览。早上先去五台山香火旺盛的五爷庙（万佛阁）上香，接着可依次去塔院寺看五台山的标志——大白塔、罗睺寺的石狮子、全山规模较大的青庙显通寺、历史悠久的黄教寺院菩萨顶。第二天可乘环保车游玩周边较远的地方。早上沿着镇街一直向北，过清水河就来到黛螺顶脚下，可登上大智路的1080个台阶，朝拜5尊文殊菩萨像（小朝台），也可乘索道往返。接着一路往南，在十方禅寺碧山寺内看缅甸玉佛和弥勒下生塑像，再去殊像寺参拜五台较高的彩塑文殊像，然后前往南山寺，看琳琅满目的石雕，远眺南、北、中三台的景色。如果时间充裕，还可以去当年顺治皇帝出家的镇海寺，看长胡子的观音像和精美的清代彩绘故事壁画。五台山上寺院很多，除了以上主要的寺院之外，还有南禅寺、龙泉寺、广宗寺、白云寺等寺院，各有特色，可根据个人喜好来选择。逛过主要寺庙，第三天则可在“五台”中选几台登顶。五台之中，东台望海峰是看日出的好去处，这里云海日出非常壮观，山上没有住宿，看日出需早起；南台路比较难走，但风景非常优美，尤其夏季野花遍地，更是好看；西台每到秋日，月亮有如镜子悬在峰顶；北台是五台山的高峰，也是观雪景的好地方，下雪时在此可以俯瞰群山一派北国风光。,8:00-23:00；景区内各小景点开放时间，详情请以景区当天公示为准。,https://img1.qunarzz.com/travel/d1/201404/25/9269dc22fb882fddddb12cfb.jpg_480x360x95_1d0f0e7a.jpg,4.6,建议游览时间：6天 - 9天,五台山海拔很高，山上没有明显的春秋季，冬季漫长寒冷，一般10月份下雪，至次年3、4月。7、8月时山间比平地低10度左右，非常凉爽，故有“清凉山”之称。春季（3-5）：台内台外早晚温差大，特别是5月份。夏季（6-8）：最舒适的季节，雨水多，注意防晒。秋季（9-11）：台内台外早晚温差大，特别是10月份。冬季（12-2）：是五台山最寒冷的时候，此时人少，上山难度相对大。五台山的最佳旅游时间是夏季，尤以7、8月份最佳。若只上五个台顶的大朝台可以5-9月去，人不多，景色美，南台还有各色野花看。若只是前往台怀镇祈福时间就不限定了，可选初一和十五。,"{'五台山门票成人票\n\n': ['¥135起'], '五台山门票+人工讲解服务大小同价\n\n': ['¥133起'], '五台山门票+人工讲解服务团队票\n\n': ['¥538起']}",1、五台山是佛教圣地，不管信不信佛，还是要入乡随俗，保持清静，禁止大声喧哗，在寺庙里应该尊守寺庙规则。 2、五台山仅以旅游为目的，尽量避让卖香火的商贩，如果不买就不要随便伸手接，有时候很难摆脱对方的纠缠。 3、准备好零钱，五台之间没有任何商店小卖部，吃斋、住宿、拜功德都需要零钱。 4、不论遇到和尚、尼姑、居士、年轻的和年长的均可称之为“师兄”。不论是“你好，谢谢，再见”均可说“阿弥陀佛”。5、五台山有军大衣出租，价格为20-50元不等。6、山西水土碱性大，建议一日三餐前喝一小勺山西陈醋，可综合碱性、防止肠道疲病。饮食要注意得当(切勿吃的太饱，增加肠胃负担)。,1
芦芽山Luya Mountain,http://travel.qunar.com/p-oi708668-luyashan,,,,,,,,,,1
雁门关Yanmen Pass,http://travel.qunar.com/p-oi713251-yanmenguan,"

地址:
忻州市代县雁门关景区


电话:
0350-6100519,0350-6102002


官网:
http://www.yanmenguan.cn/

",雁门关，位于忻州代县城西北约30公里，是明代内长城线上的关隘，与宁武关、偏关合称为“外三关。”从代县县城没有公共交通到达景区，只能包车前往，而在景区内游玩，也是完全靠步行。雁门关自古就是中原王朝抵御北方游牧民族入侵的重要关隘，这里最早的历史可以追述到战国时期的赵武灵王在此与匈奴作战；汉朝名将李广、卫青、霍去病曾经率兵和匈奴在此作战；在北宋时，雁门关成为宋与辽对峙的主战场，家喻户晓的杨家将的故事原型，就发生在这里，景区内还立有杨六郎的塑像。现存的雁门关是明朝洪武七年（1374年）时所建（近年来多处重建过），现有关门三座（东门、西门、小北门），在东门上建有雁楼，在小北门（也就是瓮城门）的门额上刻有“雁门关”三个大字，两侧镶嵌砖镌对联：三边冲要无双地，九寨尊崇第一关，都是明末清初大书法家傅山所题。你可以在关城正北的山岗上，游览明清时期驻军的营房旧址。在西门外的右侧有关帝庙，在东门外的东侧有靖边祠，里面祭祀的是战国时期的赵国名将李牧。如果你是长城的粉丝，那么当你来到雁门关景区，可以走一段走这里的古关道，景区内的古关道依当地山势而建，蜿蜒盘旋在山峦之间。爬这段关道，对于平时常坐办公室的人来说，会有些小累，不过当你沿着古道爬上一处山峦，远望关外，一片衰草连天的景色，此时静静的去感受那份历史的沧桑感，会觉得付出体力的辛劳是非常值得的。雁门关景区附近有一些农家乐客栈，可以提供食宿，不过大部分游客都回到代县或者去其他县市住宿。走古关道消耗体力较大，可以自带些干粮和饮用水。,04/01-10/31 08:00-18:00;11/01-03/31 08:30-17:00,https://img1.qunarzz.com/travel/d2/1610/3c/837ca32b08308ab5.jpg_480x360x95_5e901f35.jpg,4.5,建议游览时间：3小时 - 4小时,去往雁门关参观四季皆可，夏秋季节的雁门关掩映在茂密当中，冬春的雁门关更显苍凉。,"{'雁门关门票成人票\n\n': ['¥83.9起'], '蒙山大佛山西旅游惠民卡大小同价\n\n': ['¥258起'], '雁门关导览服务大小同价\n\n': ['¥0.9起']}",,1
忻州古城Xinzhou Ancient City,http://travel.qunar.com/p-oi10005790-xinzhougucheng,"

地址:
忻州市忻府区

",忻州古称秀容，位于太原至五台山途中，为忻州行署、地委驻地。春秋时，忻州属晋国，战国时归赵，秦汉时属太原郡、雁门郡、太平郡。隋代为新兴都、雁门。 唐、五代、宋时为忻州定襄郡，金、元、明、清为忻州、代州、保德州。抗日战争、解放战争期间大部分地区属晋察冀，以西属晋绥。1949年建忻州专区。忻州城内文物古迹有：忻州市北城门楼北城门楼。座落于忻州市内，旧北城墙拱辰门上。 北城门楼创建于明万历二十四年。楼身座落在12米高的城墙之上，更显其巍峨高大。雄伟壮观。城墙巍巍耸立，外涂朱红，下筑券门洞，洞顶甚高。底阔3米多。 ,全年 07:00-23:40,https://flight-feed.qunarzz.com/as3/012/image/2020/2/23d3c95f-8e94-4c5a-bc7d-e87c54896e98.jpeg_480x360_83f20a0f.jpeg,4.5,建议游览时间：1小时 - 1.5小时,,"{'《遇见秀容·沉浸式情境体验剧》演出票大小同价\n\n': ['¥79起'], '忻州古城电子导览票大小同价\n\n': ['¥9起'], '雁门关忻州古城一日游【九塞关塞之首】（门票全含+览金庸先生笔下传奇+天龙八部小说背景）\n\n': ['¥145起']}",,1
万年冰洞Million-year Ice Cave National Geopark,http://travel.qunar.com/p-oi8305793-wannianbingdong,"

地址:
忻州市宁武县春景洼乡麻地沟村


电话:
0350-4785318

",万年冰洞形成于新生代第四纪冰川期，距今约三百万年，故名万年冰洞。  该冰洞位列全国一万多个洞穴中仅有的九个冰洞。洞内制冷机制强、冰储量多，现开发近百米。已开发部分分三层，有冰帘、冰钟、冰花、冰人、冰菩萨等，不一而足。洞内壁上皆冰，堪称一个冰的世界。洞内大大小小的景致或玲珑剔透，或晶莹夺目，或婀娜多姿，或雄伟壮丽，无不令人惊叹。距冰洞不远处，还有一处“火山”，做了邻居的“火山”与冰洞形成了一大自然奇观。“火山”距冰洞仅有二百米之遥，需要翻越一个小山丘，而且没有公路可通。该“火山”并非科学意义上的“火山”，而是埋藏于地下的煤层，因多种原因造成的历时千年的自燃现象。在东寨镇前往天池的三岔路口的对面山上，即可看到这种自燃现象，遥见轻烟缭缭。,9:00-17:00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/ea41699e-3b1f-4ad8-9c24-078dd5ec7fd3.jpg,4.4,建议游览时间：3天,,120元,,1
塔院寺Pagoda Temple,http://travel.qunar.com/p-oi721345-tayuansi,,,,,,,,,,1
显通寺Xiantong Temple,http://travel.qunar.com/p-oi3736006-xiantongsi,"

地址:
忻州市五台县五台山景区台怀镇内


电话:
0350-6548690,4000350236

",位于五台山台怀镇的显通寺，是中国历史上第二座寺院，建成仅晚于洛阳白马寺。当年汉明帝请来印度僧人摄摩腾和竺法兰，在京都洛阳建白马寺；同年两人来到五台山，建造了显通寺，揭开了五台佛国的历史。显通寺在五台山寺庙群中规模大、历史悠久，俗称“祖寺”，也是历朝历代的皇家寺院，现存建筑大多为明、清时期的建筑。显通寺的主要建筑都排列在中轴线上，从南到北依次为观音殿、大文殊殿、大雄宝殿、无量殿、千钵文殊殿、铜殿、藏经楼等，寺内苍松翠柏参差其间，佛教气息非常浓郁。游...位于五台山台怀镇的显通寺，是中国历史上第二座寺院，建成仅晚于洛阳白马寺。当年汉明帝请来印度僧人摄摩腾和竺法兰，在京都洛阳建白马寺；同年两人来到五台山，建造了显通寺，揭开了五台佛国的历史。显通寺在五台山寺庙群中规模大、历史悠久，俗称“祖寺”，也是历朝历代的皇家寺院，现存建筑大多为明、清时期的建筑。显通寺的主要建筑都排列在中轴线上，从南到北依次为观音殿、大文殊殿、大雄宝殿、无量殿、千钵文殊殿、铜殿、藏经楼等，寺内苍松翠柏参差其间，佛教气息非常浓郁。游览显通寺有三大看点：全木结构的大佛殿、全铜铸成的铜殿、纯砖结构的无量殿。大佛殿（大雄宝殿），重建于清光绪二十五年（1899年），全木结构建筑。大殿内正前方的横梁上，高悬康熙皇帝御笔“真如权应”木匾。殿台上，并列主佛三尊，殿墙两侧是十八罗汉，都是明、清时期遗留的雕塑。每逢大的佛事活动日，由五台山佛教协会主持，各寺庙的僧尼都要身披袈裟，汇集到这里举行礼佛仪式。高约8米的显通寺铜殿，建于明代万历三十七年（1609年），是一座铜铸成的仿木建筑物。铜殿的上层四面，各有六块格扇，下层四面，各有八块格扇。格扇内壁铸有佛像，重重叠叠，号称有万尊佛像，中央台上端坐一尊铜铸大佛。格扇外壁铸有各种图案和花卉鸟兽，十分生动传神，富有生活情趣。殿前原有同期铸成的五座铜塔，抗战时被日军掠去三座，现仅存东西两座。显通寺的无量殿是“纯砖结构”，建于明万历三十四年（1606年），殿内的四壁铸有佛像万尊，所以也称为“万佛殿”。殿身的柱额、斗栱、梁架、屋顶及吻兽脊饰等完好无损。四周隔扇的棂花图案和裙板上花鸟人物，工艺精湛。寺内还珍藏着许多历史上遗留下来的珍贵文物，包括幽冥钟、唐代的石碑等，都值得花时间细细品读。,全年 08:00-17:00;全年 09:00-16:30,https://img1.qunarzz.com/travel/d7/1608/51/81138b43d87a37b5.jpg_480x360x95_15bdc22c.jpg,4.8,建议游览时间：2小时 - 3小时,去五台山的最佳出游时间是夏季，此时的五台山气候清凉舒爽，适宜游玩。,"{'五台山.五爷庙.殊像寺多种套餐自选二日游\n\n': ['¥120起'], '【人气线路】五台山二日游（赠五台山小交通 含门票）\n\n': ['¥120起'], '【太原出发】五台山祈福一日游·门票全含\n\n': ['¥88起']}",,1
五台山风景名胜区-菩萨顶Pusa Ding (Bodhisattva Top),http://travel.qunar.com/p-oi3736007-wutaishanfengjingming,"

地址:
忻州市五台县五台山风景区台怀镇内(显通寺东北约500米)


电话:
400-0350-236

",菩萨顶（满语），位于五台山台怀镇的灵鹫峰上，相传是文殊菩萨居住的地方，当地俗称真容院或大文殊寺。寺庙创建于北魏孝文帝年间（471-499年），清顺治十七年（1660年）将菩萨顶由青庙（汉传佛教寺庙）改为黄庙（藏传佛教寺庙），并从北京派去了住持。清康熙年间，向该寺授“番汉提督印”，山门前的牌楼也修成了四柱七楼的形式。,全年 8:00-18:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/202110/ea5e347d0c670ac55a111a865532f894.jpg_480x360x95_57e12b02.jpg,4.8,建议游览时间：1小时 - 3小时,,"{'【人气线路】五台山二日游（赠五台山小交通 含门票）\n\n': ['¥120起'], '【太原出发】五台山祈福一日游·门票全含\n\n': ['¥88起'], '【赠云冈石窟景交】五台山+云冈石窟+应县木塔+悬空寺二日游\n\n': ['¥170起']}",,1
南禅寺Nanchan Temple,http://travel.qunar.com/p-oi709817-nanshansi,,,,,,,,,,1
佛光寺Foguang Temple,http://travel.qunar.com/p-oi5859992-foguangsi,"

地址:
忻州市五台县豆村镇佛光村（县城东北方向约30公里）


电话:
0350-6548690,4000350236

",佛光寺重建于唐宣宗大中十年（856年），从建筑时间上说，它仅次于建于唐建中三年（公元782年）的五台县南禅寺正殿，在全国现存的木结构建筑中居第二位。佛光寺的唐代建筑、唐代雕塑、唐代壁画、唐代题记，历史和艺术价值都很高，被人们称为“四绝”。佛光寺殿堂高大，层层相叠，而且布局疏郎，主次分明。东大殿踞于高台上，大殿内的佛坛上有唐代彩塑35尊。释迦牟尼佛端坐于佛坛正中，阿弥陀佛居右，弥勒佛居左，左右是普贤，文殊二位菩萨。这和一般寺院不同，一般寺院都是文殊菩萨在左，普贤在右，而在佛光寺和五台山所有的寺院中，却都将文殊塑在右边，普贤塑在左边。殿内的胁侍菩萨和供养菩萨都是女儿身，弯弯的娥眉中间还有一点朱点，显得颇具风韵。围绕着佛坛的殿内墙壁前，排列着五百罗汉，为明代塑造，是身材差不多大小的“小品”。值得注意的是佛座背面的一幅唐代壁画，此画长80厘米，高30厘米。这幅画虽历千余年，但仍色泽犹新。还有一幅绘于北宋宣和四年（1122）的壁画，也颇具特色。画上有七个圆光，每个圆光中有10尊佛像，圆光下的方框内还写着各尊佛的名号。左一格题：“佛光庄信佛弟子的刘太知……宣和四年三月初……”这些壁画，连同佛像，梁下面的一些黑迹及东大殿建筑，被人们誉为佛光寺的“四绝”。,全年 8:00-18:30,https://img1.qunarzz.com/travel/poi/201408/13/95940269b91a8b57c8d65eac.jpg_480x360x95_e89e0f4a.jpg,4.9,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
