名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
黔阳古城Qianyang Ancient City,http://travel.qunar.com/p-oi7641074-qianyanggucheng,"

地址:
怀化市洪江市黔城镇


电话:
07457229899

",黔阳古城位于沅水上游，是全国保存为完好的明清古城之一，古城三面环水，是湘楚苗地边陲重镇，素有“滇黔门户”和“湘西第一古镇”之称。千古名句“洛阳亲友如相问，一片冰心在玉壶”诞生于此，诗人王昌龄身后留下一座“芙蓉楼”屹立于此。古城内青石街巷纵横交错，明清建筑比比皆是。原有五个城门今尚存四门遗址，其中西门又称中正门，其城门及门楼保存完好，门上“中正门”三字是戴笠所书。依附南北两条主要街道而形成的鱼骨状道路系统保存完整，古称九街十八巷，如今还留有以商铺为...黔阳古城位于沅水上游，是全国保存为完好的明清古城之一，古城三面环水，是湘楚苗地边陲重镇，素有“滇黔门户”和“湘西第一古镇”之称。千古名句“洛阳亲友如相问，一片冰心在玉壶”诞生于此，诗人王昌龄身后留下一座“芙蓉楼”屹立于此。古城内青石街巷纵横交错，明清建筑比比皆是。原有五个城门今尚存四门遗址，其中西门又称中正门，其城门及门楼保存完好，门上“中正门”三字是戴笠所书。依附南北两条主要街道而形成的鱼骨状道路系统保存完整，古称九街十八巷，如今还留有以商铺为主的南正街，以会馆码头为主的上河街、下河街等。街道两边还保留着县衙、书院、文庙、客栈、戏院等。来古城，第一个要看的便是芙蓉楼。它被称为“天子行吟处”，为江南四大名楼之一。芙蓉楼北廓临江，依林踞阜，筑叠巧思、错落有致，一色青瓦屋面，屋顶泥塑丰姿多彩，地方风味浓郁，虽无皇家园林之气势，苏州园林之精致，却也飞檐卷垛，储蓄淡雅，清秀宜人。,全天开放,https://img1.qunarzz.com/travel/d9/1611/56/f9a7c2e29db011b5.jpg_480x360x95_d78d7f3f.jpg,4.5,建议游览时间：3小时 - 4小时,四季皆可，春秋最佳。,"{'黔阳古城游玩通票成人票\n\n': ['¥55起'], '黔阳古城游玩通票儿童票\n\n': ['¥30起'], '黔阳古城游玩通票老人票\n\n': ['¥30起']}",,1
通道芋头古侗寨Tongdao Yutou Ancient Dong Ethnicity Village,http://travel.qunar.com/p-oi7469023-tongdaoyutougudongzhai,"

地址:
怀化市通道县双江镇芋头村


电话:
0745-8498875

",芋头古侗寨位于县城西南9公里的芋头村，始建于明洪武年间1368年至今有642年历史，清顺治年间（1644年）遭火灾，复建后形成以芋头溪流为轴线向两边分叉布置的7个聚居群。清乾隆四十二年（1777年）建芋头廻龙桥、牙上鼓楼、龙氏鼓楼。清道光、光绪年间分别修建田牛鼓楼、芦笙古楼、龙门及维修古驿道街道等等。于2001年6月21日被国务院公布为第五批全国重点文物保护单位。 2007年被评为首批中国景观村落，面积约18.29公顷，全寨有176户，758人，纯侗族山寨，是我国保存完整民居古建筑群，堪称侗族民居“实物博物馆”。 芋头古侗寨民居以“杆栏式”吊脚楼为主，沿山、沿谷因地就势布局，形成独特的“山脊型”与“山谷型”布局模式，又和外界环境巧妙融于一体，构成侗寨特殊风格，至今保留了大量清代中期以前的建筑物，如有名的廻龙桥、牙上鼓楼、1.6公里长的古驿道、龙门、长寿井、萨岁坛。芋头侗寨节庆活动丰富，如为也活动、祭萨、闹春牛、抢鱼塘比赛等，都充分体现了侗族人的生活方式。,全年 08:00-17:30,https://img1.qunarzz.com/travel/d0/1504/27/2141504de77a1a.jpg_480x360x95_2a5a16a5.jpg,4.3,建议游览时间：12小时 - 3天,,"{'芋头侗寨门票成人票\n\n': ['¥35起'], '芋头古侗寨电子导览服务大小同价\n\n': ['¥5起'], '怀化通道皇都侗寨+芋头侗寨+洪江古商城+芷江受降纪念坊纯玩三日游\n\n': ['¥399起']}",,1
怀化大峡谷Huaihua Grand Canyon,http://travel.qunar.com/p-oi35191870-huaihuadaxiagu,,怀化大峡谷，地处怀化市鹤城区城市东侧20公里处的黄岩旅游度假区大坪村境内，平均海拔850米，高海拔1200米，常年气温比城区低5-6度，区域内空气清晰，环境优美，溶洞成群，怪石嶙峋，属于典型的喀斯特地貌。春可踏青赏花、夏可避暑乘凉、秋可观景赏枫、冬可踏雪赏雪，是近郊市民、游客朋友徒步、游览的好去处。,,https://img1.qunarzz.com/piao/fusion/2006/8a/7461146aea108c02.jpg_480x360x95_2c3ee897.jpg,3.8,建议游览时间：12小时 - 3天,,{'怀化大峡谷门票成人票\n\n': ['¥48起']},,1
溆浦枫香瑶寨Xupu Fengxiang Yaozhai,http://travel.qunar.com/p-oi23344563-xupufengxiangyaozhai,"

地址:
怀化市溆浦县枫香坪


电话:
0745-3506669

",,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/6ab25e4e4f318e5770bc17c65cedd493.jpg_480x360x95_d20f10a1.jpg,4.3,建议游览时间：12小时 - 3天,,免费进入，内部消费项目另收费。,,1
"五强溪水库Wuqiangxi Reservoir, Yuanling",http://travel.qunar.com/p-oi23343459-wuqiangxishuiku,,五强溪水库位于怀化市沅陵县境内，这里环境清幽，水资源丰富，其主要用途为发电。,,,0.0,建议游览时间：1小时 - 3小时,,具体收费情况以现场公示为主,,1
洪江古商城Hongjiang Ancient City,http://travel.qunar.com/p-oi710709-hongjianggushangcheng,"

地址:
怀化市洪江区新民路367号（洪江1915）


电话:
0745-7626500,0745-7628698


官网:
http://www.hnhjgsc.com/

",洪江古商城是中国濒水区域原真性古建筑群体量较大的地方，现为国家4A级旅游景区。它起源春秋，鼎盛明清，以集散桐油、木材、白腊等而闻名，是湘滇黔桂鄂五省物资集散地，是湘西南地区经济、文化、宗教中心，曾纳天下之繁华而通四海，素有“湘西明珠”、“小南京”、“西南大都会”之称。保存完好的明、清古建筑，如寺院、镖局、钱庄、商号、洋行、作坊、店铺、食府、客栈、青楼、报社、烟馆等380多栋，总面积约30万平方米，被誉为“中华商业故宫”。,8:00-17:00,https://img1.qunarzz.com/travel/d2/1607/91/9bc1c57b8bd809a.jpg_480x360x95_a08a3b9b.jpg,4.5,建议游览时间：3天,,"{'洪江古商城门票成人票\n\n': ['¥88起'], '洪江古商城门票优待票\n\n': ['¥45起'], '怀化通道皇都侗寨+芋头侗寨+洪江古商城+芷江受降纪念坊纯玩三日游\n\n': ['¥399起']}",,1
凤凰山Phoenix Mountain,http://travel.qunar.com/p-oi722467-fenghuangshan,"

地址:
怀化市沅陵县凤凰山省级森林公园


电话:
0745-4230474

",凤凰山森林公园位于湖南沅陵县城东南沅水之畔，海拔200米，面积约0．6平方公里，西北临沅水，为陡峭山壁，东南群山连绵。因山体貌似凤凰展翅，故得名“凤凰山”。凤凰山山顶建有凤凰古寺，为明万历年间（1573-1620）所建。寺旁古木参天，环境清幽。南山香炉山建有“风鸣塔”，塔高7层，气势雄伟；沿峭壁砌有石阶路，宛如彩带飘落江边。1938年，爱国将领张学良被软禁于凤凰山古寺内达一年之久，凤凰山因此为中外所知。,8:00-17:30，17:00停止入场。,https://img1.qunarzz.com/piao/fusion/1501/85/8526f3535df61c3fcdb.jpg_480x360x95_a41d9ad8.jpg,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
"黔阳古城芙蓉楼Furong House, Qiangyang Ancient Town",http://travel.qunar.com/p-oi712070-qianyangguchengfurong,"

地址:
怀化市洪江市湘西古镇黔城西北隅


电话:
074577229899

",芙蓉楼座落在沅、舞水汇流之处的黔城镇，为古典园林建筑，筑叠巧思、错落有致，被誉为“楚南上游第一胜迹”。据传，唐天宝七年（748年），王昌龄被贬为龙标（即今黔阳县）尉后，曾建芙蓉楼，为饮酒赋诗、宴宾送客之地。因年久失修，旧址荒芜。清嘉庆二十年（1815），当地为纪念这位著名诗人，在城西香炉岩辟地作园，依名修建芙蓉楼。现建筑为清道光十九年（1839）重修。芙蓉楼有“楚南上游第一胜迹”之誉。主楼背廊临江，纯木结构，正面三间，重檐歇山顶，二层有明轩可供远眺。周围有冰心玉壶亭、耸翠楼、半月亭等古迹，与自然的山石、江水、林木巧成布局，构成了“登眺则群山拱翠，俯视则万木交阴，沅水自北来环其下”的壮丽景象。芙蓉楼侧坚立80多块历代题诗作赋的镌刻、碑石，其中有《王昌龄宦楚诗》十五首，以及颜真卿、岳飞、米芾等人的手迹。四周竹木相错，绿荫如盖，奇草生芳，环境十分清幽。,8:00-17:30，具体开放时间详见景区现场公示。,https://img1.qunarzz.com/travel/d7/1611/24/72ed2596cc25d4b5.jpg_480x360x95_eb0fa6d4.jpg,4.4,建议游览时间：0.5小时 - 1小时,,"{'黔阳古城游玩通票成人票\n\n': ['¥55起'], '黔阳古城游玩通票儿童票\n\n': ['¥30起'], '黔阳古城游玩通票老人票\n\n': ['¥30起']}",,1
荆坪古村Jing Ping Ancient Village,http://travel.qunar.com/p-oi702137-jingpinggucun,"

地址:
怀化市中方县荆坪村(滨江大道荆坪大桥南边)


电话:
0745-2830070

",荆坪古村位于中方县中方镇舞水河西岸，距怀化市区15公里，交通十分便利。村内现有祠堂、古驿道、伏波宫、文昌阁、节孝坊、唐代古井、水文碑、龙凤桥、观音阁、五通神庙和旧、新石器时代遗扯等20多处古文化遗址。荆坪及舞水河一带，古为南蛮之地，历来为各民族及各部族的杂居之地，民俗文化气息浓厚。现流传至今的如酒歌、傩戏、渔鼓、霸王鞭等民俗文化要素吸引着无数游人。荆坪古村农家基本都是由一个个小院落组成的明清建筑群，与周边山水田园相融，给人朴素内敛之感。村里更有唐朝古井、明代城墙、清人故居，加之千年夫妻树、古代石鱼，可以让你充分领略历史的厚重、古村的恬静。潘氏宗祠建于明末清初，虽历经风雨，依然造型典雅、古色古香。在祠堂的戏台上，游客可以欣赏荆坪村民自编自导自演的傩戏、霸王鞭和渔鼓等节目，这会让你仿佛回到那遥远的过去。,全年 9:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/afab9f34e9cdbd569de9b6ce8d74c167.jpg_480x360x95_6cc20f5a.jpg,4.4,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
万佛山Wanfo Mountain,http://travel.qunar.com/p-oi7469008-wanfoshan,"

地址:
怀化市通道县临口镇太平岩村


电话:
+86 745 855 6110

",怀化的万佛山，位于通道县林口镇的太平岩村，距离县城双江镇约20公里，山中有绵延一百多公里的丹霞峰林地貌。此外，这里自然植被茂盛，空气非常的清新，山路不是很陡，也不险峻，对于城市中缺少日常运动的游客来说，爬起来是比较轻松的，差不多2小时左右就可以爬到山顶，特别适合周末休闲游山。山中草木茂盛，丛林里的地面上，是多年的落叶，走在上面软绵绵的，周围是松涛阵阵，有时能听到小鸟的叫声，会让人感到无比的轻松。喜欢刺激的游客，还可以去山中一段峭壁上的栈道走走，体验下刺激的感觉。风景区内还有一个湖，湖水清澈，游客可以在湖边钓钓鱼，或者在树林中搭个帐篷，享受大自然的悠闲清新。2016年6月底，景区内开通了“万佛山悬空栈道”，栈道总长度约350米，相对高度差约120米，其中玻璃栈道长度约40米。栈道位于万佛山主峰、十莲卧佛平台至万佛山北部观景平台。在玻璃栈道中行走，不仅能观赏到山中美景，还可以挑战自己的胆量。,7:00-18:00,https://img1.qunarzz.com/travel/d3/1706/55/f83e01d7cc88f4b5.jpg_480x360x95_437300ca.jpg,4.5,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
