名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
怒江大峡谷Nujiang Canyon,http://travel.qunar.com/p-oi705501-nujiangdaxiagu,"

地址:
怒江傈僳族自治州泸水市洛本卓白族乡中心校


电话:
0886-3629331,0886-3624247

",怒江大峡谷位于横断山脉三江并流区域，其中云南段有300多公里，平均深度2000米，其中较深的3500一段就位于云南贡山丙中洛一带，被称为“东方大峡谷”。怒江两岸是高耸的高黎贡山和碧罗雪山，山势陡峭层峦叠嶂，峡谷中居住着傈僳族、独龙族、怒族、普米族等十几个少数民族，由于人迹罕至，至今仍保留着古朴的民俗。每年春节期间的”澡堂会“是峡谷内较为热闹的时候，周围乡村的青年男女齐聚在一起，载歌载舞，通宵达旦。怒江峡谷的冬季景致很是壮观，两侧的雪山银装素裹，怒江江水碧绿和缓，原始森林五彩斑斓，构成了一副美妙的画卷。主要景观有：利沙底石月亮、月亮山、马吉悬崖、丙中洛石门关、腊乌崖瀑布、子楞母女峰等。,全年 全天开放,https://img1.qunarzz.com/travel/d1/1410/05/ffe1c27fa4cd0854ffffffffc8d65eac.jpg_480x360x95_1e852168.jpg,4.7,建议游览时间：3天,,"{'【高端纯玩小团】川西+林芝桃花10日游！打卡牛背山、鱼子西、措普沟、然乌湖、来古冰川、千年古桃树\n\n': ['¥6580起'], '【小团纯玩】川藏10日|成都色达稻城理塘芒康进藏然乌冰川羊湖林芝赏花！三环接送+氧气!车配单反或飞机\n\n': ['¥3180起'], '【川藏线纯玩小团10日】四姑稻城墨石鱼子色达理塘然乌来古东达怒江鲁朗林芝羊卓拉萨！赠三环接早三宝氧气\n\n': ['¥3280起']}",,1
高黎贡山自然保护区Gaoligongshan National Nature Reserve,http://travel.qunar.com/p-oi713634-gaoligongshanziranbao,,,,,,,,,,1
丙中洛Bingzhongluo,http://travel.qunar.com/p-oi706188-bingzhongluo,"

地址:
怒江傈僳族自治州贡山独龙族怒族自治县双拉小学对面


电话:
0886-3581075

",,全年 全天开放,https://img1.qunarzz.com/travel/d5/1605/a1/3da90016a5445af7.jpg_480x360x95_78aa5b27.jpg,4.8,建议游览时间：6天 - 9天,,{'天天发团2人起怒江6日游云南怒江丙中洛老姆登梅里雪山香格里拉滇西北大环线六日游品质纯玩小团\n\n': ['¥3880起']},,1
怒江第一湾The First Bend of Nujiang River,http://travel.qunar.com/p-oi715271-nujiangdiyiwan,,,,,,,,,,1
碧罗雪山Biluo Jokul,http://travel.qunar.com/p-oi705398-biluoxueshan,"

地址:
怒江傈僳族自治州兰坪白族普米族自治县 ‎

",碧罗雪山是西玛拉雅山的余脉，属于横断山脉，是贡山县与迪庆藏族自治州德钦县交界线及怒江与澜沧江的分水岭。山中气候变化异常，飞瀑密布，高山湖泊云集，被人们称作万瀑千湖之山。每当山中云雾腾升时，登临绝顶观旭日东升或夕阳西下，颇为壮观。东面的玉龙雪山、哈巴雪山、金丝厂雪山、老君山、雪邦山在云海中犹如波浪滔天的大海。碧罗雪山从夏初到秋末积雪不化，即便盛夏，天一阴就雨雹交加，大雪纷飞，故水源丰富，每秒0.5立方以上流量的河流就有24条，向东注入澜沧江。碧罗雪山从夏初到秋末积雪不化，即便盛夏，天一阴就雨雹交加，大雪纷飞，故水源丰富，每秒0.5立方以上流量的河流就有24条，向东注入澜沧江。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201211/15/71e87364ad97d910ddb12cfb.jpg_480x360x95_c27d3ac2.jpg,4.9,建议游览时间：3天,,具体收费情况以现场公示为主,,1
听命湖Obeying Lake,http://travel.qunar.com/p-oi701653-tingminghu,"

地址:
怒江傈僳族自治州泸水县片马东北部

",听命湖位于泸水县片马镇东北部，距离高黎贡山风雪垭口600米，为古冰川侵蚀而成的冰蚀湖。听命湖水温低、海拔高，湖水清澈，水质优良，是听命河的源头。听命湖四周林木茂密，大片的杜鹃花海和原始灌木丛及箭竹林。林中生活着国家保护珍稀动物灰腹角子雉、山驴、金丝猴、小熊猫、羚羊等。湖区的景色随着四季变化而不同。春天，雪山融水汇入湖中，漫山杜鹃点缀四野，这里是野生动物的乐园；夏天，葱绿的林间百花盛开，云海茫茫；秋天，碧蓝的湖水倒映着岸边金黄的树叶，五彩斑斓；冬天，寒凝大地，这里一片宁静。,全天,https://img1.qunarzz.com/travel/poi/1803/7e/f931f659dca3e237.jpg_480x360x95_cb0a0f2c.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
嘎娃嘎普,http://travel.qunar.com/p-oi716167-gawagapu,"

地址:
云南怒江傈僳族自治州丙中洛坝子西面

",嘎哇嘎普，意为高大的雪山，位于云南省怒江傈僳族自治州贡山独龙族怒族自治县丙中洛乡的西面，是丙中洛十大神山之首，终年积雪，有现代冰川、冰蚀湖分布，海拔5128米，是丙中洛最高的山峰，也是怒江傈僳族自治州的最高峰。嘎哇嘎普自古以来就是人烟稀少、人迹罕至的地方，是我国最为偏僻、贫困、落后和通行困难的地区之一，历史上鲜与外界交往。因此，这里的风景几乎没有受到任何破坏，嘎娃嘎普距离丙中洛10多公里，行走两个小时便可到达，居住在山脚下的独龙族、怒族的人们朴实、善...嘎哇嘎普，意为高大的雪山，位于云南省怒江傈僳族自治州贡山独龙族怒族自治县丙中洛乡的西面，是丙中洛十大神山之首，终年积雪，有现代冰川、冰蚀湖分布，海拔5128米，是丙中洛最高的山峰，也是怒江傈僳族自治州的最高峰。嘎哇嘎普自古以来就是人烟稀少、人迹罕至的地方，是我国最为偏僻、贫困、落后和通行困难的地区之一，历史上鲜与外界交往。因此，这里的风景几乎没有受到任何破坏，嘎娃嘎普距离丙中洛10多公里，行走两个小时便可到达，居住在山脚下的独龙族、怒族的人们朴实、善良，到嘎娃嘎普后就可住宿在这些民族的家里，但是要注意民族禁忌。,全天,,--,,,免费,,1
秋那桶村Qiunatongcun,http://travel.qunar.com/p-oi7615787-qiuneitongcun,"

地址:
怒江傈僳族自治州贡山独龙族怒族自治县秋那桶村

",秋那桶村位于怒江大峡谷的北部，在怒江地带名字中有“桶”的地方，一般是怒族、傈僳族聚居地，“桶”在怒族语中是“和平、平安”的意思。村子周围风景秀丽，适合拍摄风景大片。在秋那桶游玩，就仿佛身处一个真正的世外桃源。天是湛蓝的，草是青绿的，空气是清新的，村民是淳朴的。游客可以在此感受一次慢生活，体验田园生活的乐趣。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1703/36/bda98eb18c2bfab5.jpg_480x360x95_6a04ca5f.jpg,4.8,建议游览时间：3天,,{'天天发团2人起怒江6日游云南怒江丙中洛老姆登梅里雪山香格里拉滇西北大环线六日游品质纯玩小团\n\n': ['¥3880起']},,1
四季桶村,http://travel.qunar.com/p-oi7588323-sijitongcun,"

地址:
怒江傈僳族自治州 贡山独龙族怒族自治县	

",怒江四季桶村隶属于丙中洛乡甲生行政村，属于山区。位于丙中洛乡北边，海拔1625米，年平均气温17℃，年降水量1700毫米，适宜种植玉米等农作物。四季桶村属于绝对贫困村，农民收入主要以种植业为主。,全天,https://img1.qunarzz.com/travel/d9/1501/d1/cb8b4305fc21e.jpg_480x360x95_73005b20.jpg,5.0,建议游览时间：1小时 - 2小时,,免费,,1
罗古箐景区路Luoguqing Scenic Area,http://travel.qunar.com/p-oi708059-luoguqingjingqulu,"

地址:
怒江傈僳族自治州兰坪白族普米族自治县罗古箐公路

", 罗古箐风景名胜区总面积达40多平方公里，主要景观由情人坝普米风情、大洋场高山草甸、罗古箐丹霞石林三个片区组成。,全年 全天开放,,5.0,建议游览时间：4小时 - 5小时,,具体收费情况以现场公示为主,,1
