名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
屏山峡谷Pingshan Grand Canyon,http://travel.qunar.com/p-oi10067817-pingshanxiagu,"

地址:
恩施土家族苗族自治州鹤峰县容美镇屏山村


电话:
0718-5282222

",鹤峰屏山旅游景区又称鹤峰屏山峡谷，地处武陵腹地“神秘交叉点”（北纬30度，东经110度）的“中国之中”湖北省鹤峰县，离鹤峰县城6.8公里。古有清代著名戏曲作家顾彩写下“人言此是桃源地，不信桃源如许奇”的名句，今有无数网友赞誉“中国仙本那，世外古桃源”。屏山峡谷形成于第四纪冰川时期，自然风光集奇、秀、险于一体。山谷地缝移步换景，如穿越时空；舟行绝尘之水，如悬浮浩瀚宇宙；步踩罡步天梯，能摘满天繁星。山之雄奇，水之秀美，崖之险峻，让人一步一叹，流连忘返。,全年 08:30-15:30,https://img1.qunarzz.com/piao/fusion/2203/7e/79d78f9ba5a7ec02.jpg_480x360x95_ee17ceb2.jpg,4.2,建议游览时间：12小时 - 3天,,"{'屏山峡谷+单程船票成人票\n\n': ['¥199起'], '鹤峰屏山峡谷门票+单程船票优待票\n\n': ['¥125起'], '恩施屏山峡谷一日游【上门接送 网红游船打卡 真纯玩无购物】\n\n': ['¥248起']}",屏山峡谷是还没有开放的景区，只能靠当地人带进去。山路陡峭有一定危险,1
恩施大峡谷Enshi Grand Canyon,http://travel.qunar.com/p-oi5174877-enshidaxiagu,"

地址:
湖北省恩施市恩施大峡谷风景区管理处恩施大峡谷游客中心


电话:
0718-8542333,400-0718-126


官网:
http://www.esdaxiagu.com/

",恩施大峡谷国家5A级景区、国家地质公园，是世界上知名的“地缝—天坑—岩柱群”同时并存的复合型喀斯特地貌“天然博物馆”。其生态环境得天独厚，自然风光原始古朴，万米绝壁画廊、千丈飞瀑流芳、百座独峰矗立、十里深壑幽长。云龙地缝被称“地球美丽的伤痕”；“一炷香”被外媒评为中国知名的40个景点之一。云龙地缝云龙地缝景区，面积11.3平方千米，海拔600-800米。景区主要地貌景观类型有地缝、瀑布、深潭、溶洞、地下暗河、象形石、地质剖面。云龙地缝，平面呈“之”字型，近南北向展布，全长3.6千米，平均深达75米，平均宽度15米，河谷深邃，岸壁陡直，有“十里百丈绝壁”之称，是云龙地缝景区的主体观光区域。云龙地缝两壁陡直，近于平行，上下宽窄基本一致，断面呈“U”字形，极为罕见，具有稀缺性、独特性。 一炷香喀斯特石柱。一炷香为恩施大峡谷标志性景观，也是同类喀斯特地貌中，十分稀有的景观。一炷香高为150米，柱体底部直径6米，最小直径只有4米，其岩性为三叠系灰岩。因此处地层为水平产状，加之岩石的抗压强度大（为800千克/立方厘米），无倾斜滑移，故风吹他不动，雨打他不倒，傲立群峰之中千万年，守护着这片神秘的土地，实属罕有。绝壁栈道绝壁栈道，又称步云天栈、绝壁长廊：始建于 2006年8月，历时1年又8个月建成。栈道位于山体东侧的直立悬崖絶壁山腰，海拔约1700余米，全长488米、高差达300米、石阶118个，与山岩绝壁融于一体。因该栈道建于绝壁之上，所以也有人称之为绝壁长廊，或“绝壁栈道”该工程是巴蜀古栈道制造技术与现代钢筋砼建材、先进施工工艺的结合，科学安全，大气壮观。 迎客松迎客松，据测该松已近千岁，傲然生长于悬崖上，仿佛在敞开怀抱，迎接天下游客。,3/1-10/31 08:00-15:30;11/1-2/28 08:00-15:00,https://img1.qunarzz.com/travel/d4/1709/d9/3622e27e7bfec5b5.jpg_480x360x95_5e13d954.jpg,4.5,建议游览时间：3天 - 6天,恩施大峡谷属温带季风气候，夏无酷热，冬少严寒，日光充足，四季分明。多年平均气温为15~17℃，8月份气温最高，一般为27~30℃，12、1月最 低，一般为2~8℃。,"{'恩施大峡谷七星寨景区+云龙地缝+垂梯票+恩施大峡谷扶梯+景区内交通（观光车+缆车）票+恩施大峡谷索道（上行）票学生票\n\n': ['¥292起'], '恩施大峡谷七星寨景区+云龙地缝+垂梯票+恩施大峡谷扶梯+景区内交通（观光车+缆车）票+恩施大峡谷索道（上行）票老人票\n\n': ['¥215起'], '恩施大峡谷七星寨景区+云龙地缝+垂梯票+恩施大峡谷扶梯+景区内交通（观光车+缆车）票+恩施大峡谷索道（上行）票优待票\n\n': ['¥292起']}",,1
狮子关旅游区Lion Guan Tourist Area,http://travel.qunar.com/p-oi9517194-shiziguanlu:youqu,"

地址:
恩施州宣恩县珠山镇封口坝村三组


电话:
0718-5840999


官网:
http://www.ShiZig.cn

",狮子关旅游区为宣恩三大古雄关之一，此地山势雄伟，有大小岩山五座，山形状似狮子，扼守县城东南要口，古称“五狮镇关”，因而得名狮子关。狮子关旅游区分为水峡谷风光带和干峡谷风光带，因此名为鸳鸯峡。景区共包括：狮子关电站、珍珠线瀑、廊桥遗梦、猕猴水寨、鳟鱼戏水、斗战圣佛、凉风洞、间歇泉、美女蛇石、呱呱坠地、旃檀功德佛、狮吼瀑布、狮子口、狮子洞、悬棺、九子狮头、金猫冲关、雄狮护关、石猴拜月、激情过后、土家腊蹄、回音洞、五彩石、一线天、狮子泉、千猴壁、云崖、河东狮吼、黑云洞、天坑瀑布、干沟石窟等32个奇特景点。景区内因喀斯特地貌形成的自然山水资源极为丰富，整体由三段峡谷围合而成，是罕见的峡谷环线结构；峡谷内洞穴、象形石、瀑布等景点遍布其中，古迹河水电站建筑既有土家民居之风，又有自然生态之韵，建筑与山水相得益彰；景区内的原始猕猴群，经过多年的保护和喂养，俨然成为猕猴活动的天堂，上百只猕猴栖居跳跃，与人和谐共生。,01/01-12/31 08:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/4225ef2c6b0a53b8fd4c1e60e939ce30.jpg_480x360x95_cb06c31e.jpg,4.1,建议游览时间：12小时,,"{'狮子关旅游区门票成人票\n\n': ['¥112起'], '狮子关旅游区门票优待票\n\n': ['¥60起'], '狮子关旅游区电子导览服务大小同价\n\n': ['¥7起']}",,1
恩施地心谷景区Enshi Dixin Valley Scenic Spot,http://travel.qunar.com/p-oi9200505-enshidixingujingqu,"

地址:
恩施土家族苗族自治州建始县高坪镇G318国道


电话:
0718-3541666,0718-3415666


官网:
http://www.smhdxg.cn/

",恩施地心谷景区虽然是一条在建始境内流域并不宽广的小河，但它在历史的长河中打磨出了美丽的诗篇，其隐藏在这峡谷中的惊世骇俗的地质地貌，更是一段妙趣横生的山水画廊！走近地心谷，穿行在洗心潭、石来运转、石书地质奇观等旖旎山水风光之中，慢慢咂摸，细细品味，竟胜过人间仙境。在峡谷间修建的玻璃栈道更是一项刺激有趣的体验。,全年 08:00-15:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/3de1be57834a35c55062644ce9d7ff03.jpg_480x360x95_bb58f039.jpg,4.4,建议游览时间：2小时 - 5小时,,"{'恩施地心谷景区（石门河）门票+车票+空中魔毯票大小同价\n\n': ['¥105起'], '恩施地心谷景区（石门河）门票+车票+玻璃桥+空中魔毯+观光电梯票大小同价\n\n': ['¥185起'], '恩施地心谷景区（石门河）门票+车票+空中魔毯+观光电梯票大小同价\n\n': ['¥135起']}",,1
腾龙洞风景区Tenglong Cave,http://travel.qunar.com/p-oi3864461-tenglongdongfengjingqu,"

地址:
恩施土家族苗族自治州利川市腾龙大道1号


电话:
0718-7262455


官网:
http://www.tenglongdong.net.cn/

",腾龙洞风景区，位于利川市郊约8公里处。腾龙洞是一个面积巨大的溶洞，洞内全长约五十多公里，目前被开放、可以供游客游玩的约6公里。外地游客可以在利川火车站前乘坐直达景区的专线车到达景区。亿年的地壳变化，使得腾龙洞景区内形成了“观彩峡”、“白玉石林”、“三龙门”等洞中景点，风景区的开放地段分为前洞与后洞两个部分，前洞的规模较大，里面有山峰、有大厅，可以说是洞中有山，山中有洞。此外，风景区内独特的梦幻激光秀和大型土家族歌舞剧的表演，也位于前洞部分。,全年 08:30-16:00,https://img1.qunarzz.com/travel/d6/1506/1f/338a8634f632d0.jpg_480x360x95_67d68a57.jpg,4.4,建议游览时间：2小时 - 3小时,夏季最佳。,"{'腾龙洞门票老人票\n\n': ['¥75起'], '腾龙洞门票成人票\n\n': ['¥150起'], '腾龙洞门票学生票\n\n': ['¥75起']}",,1
恩施土司城Enshi Tusi City,http://travel.qunar.com/p-oi3864476-enshitusicheng,"

地址:
恩施市土司路138号


电话:
0718-8458166

",恩施土司城，距离恩施市区约2公里，是土家族地区土司文化标志性工程，也是全国土家族吊脚楼中规模大、风格典型的仿古建筑群。 恩施土司城景区包括门楼、侗族风雨桥、廪君祠、校场、土家族民居、土司王宫——九进堂、城墙、钟楼、鼓楼、百花园、民族艺苑等多个景区，反映了土家族的历史渊源，展示了土家族古老而淳厚的民风民俗。 走进恩施土司城，迎面一座赫然高耸的是土司城门楼。土司城门楼也称土司朝门或看楼，是显示土司威仪和功德的纪念性建筑。极其注重外观的庄重华丽，建筑内容上则集中体现了土家族的人文思想空间观念和技术上的聪明才智。景区内的风雨桥，是一座仿古桥，两座桥亭耸立于桥廊之上，飞檐翘角，桥廊两边专设有栏杆和长坐板，以供肩挑背驮的商旅行人歇气纳凉、遮荫避雨，因而称风雨桥。 在景区内的游船码头对面的山上，是土家族十分崇尚的先祖“廪君”庙，廪君庙坐西朝东，紧傍庙宇沿山壁绘有巨大长卷壁画，壁画记载了廪君一生的豪情壮举。九进堂是整个土司城的核心部分，由333根柱子、333个石柱础、330道门、数千块雕花木窗、上千根檩子、上万根椽木组合而成。是目前国内罕见的纯榫卯相接的木结构建筑。举目望去，处处是亭台楼角，显得富丽堂皇，这里也是道地的一座土司皇城。 游客在景区内，还可以爬爬依山取势修造的土司城墙，看看烽火台，抒发思古之情。景区内的土家族民居——吊脚楼也值得游客观赏，吊脚楼多依山傍水而建，房前屋后多植果木与竹林。,4/1-11/1 07:30-18:00;11/2-3/31 08:00-17:30,https://img1.qunarzz.com/travel/d6/1711/87/74dba3e10af705b5.jpg_480x360x95_5d21f1d0.jpg,4.3,建议游览时间：2小时 - 4小时,,"{'恩施土司城门票成人票\n\n': ['¥42起'], '恩施土司城门票优待票\n\n': ['¥21起'], '恩施土司城门票亲子票(1大1小)\n\n': ['¥65起']}",土司城墙有万里长城之雄浑，南方长城之神秘，意为土家依险而据，守险自立。城墙脚下的 九进堂 ，布置着土司衙府的一应用品及各类居室的土家族衣食住行、婚丧嫁娶的古朴陈设，是土家族社会文化、物质文化的缩影。,1
神农溪纤夫文化走廊Shennong Stream Qianfu Cultural Tourism Area,http://travel.qunar.com/p-oi710794-shennongxixianfuwenhua,"

地址:
湖北省恩施土家族苗族自治州巴东024县道


电话:
0718-4330000

",神农溪原名沿渡河，后因传说中神农炎帝在搭架采药后顺溪而下，改为神农溪。整条溪流共分3个峡段（由长江交汇口向内依次为：龙昌峡、鹦鹉峡、神农峡）和1条支流（绵竹峡），目前游客游览时，全程都是乘船游玩，往返耗时约4小时。游客从位于巴东县城长江边的码头登上游船，船开大约五分钟后就进入了神农溪的龙昌峡段。人在船中，四周望去，满目青翠，两边的山岩多成80度至90度斜坡直插溪底。溪水碧绿，水面的宽度不超过30米。船行在溪流中，两岸的峭壁上植被茂盛，处处可见山花烂漫，有时你能够看到猴群和獐羊攀援嬉戏的山野情趣。除此之外，还能在两岸的几处绝壁洞口边上看到一些古老的神秘悬棺，在劳动工具极其简陋的四千多年前，古人是怎样把棺木放在这悬崖绝壁间的？至今还是千古之谜。游船行驶到绵竹峡水面宽阔处，将换乘景区提供的筏浆木船，木船形如豌豆荚，当地人称“豌豆角”。每条船上一般会有船工和土家族导游，有时导游会高歌一曲当地民歌。游船在罗坪码头（罗坪接待中心）泊岸后，导游会带领游客们观看当地的民族表演，还有船工们的三峡纤夫拉纤表演（拉纤表演多在上午，午后因天气的原因，有时会取消）。,全年 08:30-17:30,https://img1.qunarzz.com/travel/poi/1708/48/2f6a0cfc8902737.jpg_480x360x95_66829c99.jpg,4.4,建议游览时间：2.5小时 - 3小时,全年皆可，夏秋最宜。,{'恩施神农溪纤夫文化旅游区门票成人票\n\n': ['¥95起']},,1
龙麟宫Longlin Palace,http://travel.qunar.com/p-oi3864458-longlingong,"

地址:
恩施土家苗族自治州恩施市城西郊高桥坝


电话:
0718-8986088

","龙麟宫集水洞、迷津洞、干洞为一体，分水陆两界，它以雄、奇、神、秀，堪称省内外洞穴景观一绝。公园有四大景区、八大奇观、三十二景点，以高桥水库出水源头的天然洞穴为依托，形成洞穴观光、土家歌舞表演、民族风情展示、水上游乐、餐饮住宿、会议接待等综合型的水利风景区。龙麟宫属水旱兼备洞穴景观，由水洞、干洞和迷津洞组成，洞长2300多米，其中水洞""小三峡""长500多米，干洞和迷津洞长1800多米。洞内平均高度50米，宽30米。洞中气候宜人，冬暖夏凉，平均温度20℃，冬可消闲、夏可避暑。龙麟宫的一坛、二府、三峡、九龙、十三厅和二十八珍奇等200多处景点分布在水洞""小三峡""、干洞和迷津洞中。水洞""小三峡""两岸奇峰耸峙，怪石狰狞，河水夏日冰冷彻骨；干洞和迷津洞内钟乳石保存完好，奇形怪状，千姿百态，巨柱擎天、长龙横卧、雄鹰高踞，帷帽低垂，百步天梯，水镜仙境，美不胜收。",全年 8:00-18:00,https://img1.qunarzz.com/travel/d9/1505/ea/70c054bf444fe.jpg_480x360x95_aebcf4fd.jpg,3.9,建议游览时间：1小时 - 2小时,,"{'龙麟宫门票成人票\n\n': ['¥42起'], '龙麟宫门票儿童票\n\n': ['¥21起'], '龙麟宫门票学生票\n\n': ['¥21起']}",,1
鱼木寨Yumu Village,http://travel.qunar.com/p-oi3864471-yumuzhai,"

地址:
恩施土家族苗族自治州利川市谋鱼路


电话:
0718-10456

",鱼木寨是一个位于鄂渝交界处的土家族山寨。相传古代马、谭两大土司交战，鱼木寨因地势险要，谭土司久攻不下，数月后守寨的马土司扔下活鱼挂在前来攻寨的谭土司帐前树上，谭土司叹道：“吾克此寨，如缘木求鱼也。”从此，此寨得名鱼木寨。鱼木寨四周皆是绝壁，悬崖如削，铁壁三层，螺峰四座，仅有一条2米宽的石板古道直通寨门。寨内有古墓群、古碑林、古栈道、古寨门，至今保存完好，数十座古墓石雕精湛，隘关险道惊心动魄。这里关卡雄奇，道路艰难逼仄，两条下寨道路全以条石修就，石级陡窄，特别是亮梯子及三阳关手扒岩二段，堪称天险。目前，鱼木寨有100余户居民，大都是土家族，至今仍保留有完整的古代土家人生活、饮食、婚丧、建筑习俗。寨内以木建筑为主，石与石、木与木、木与石之间的结合，均用古老巴国传统的营造方法，以榫头相联，阴阳相扣。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201211/15/1f177303c8ce0288ddb12cfb.jpg_480x360x95_6d3f3463.jpg,4.1,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
土司城墙,http://travel.qunar.com/p-oi3864483-tusichengqiang,,土司城墙以土司城进口处左侧为起点，全长2320米，墙面宽1.2米，随山修筑，依山取形，逶迤延绵、雄伟壮观。土司城墙也取意恩施州内许多山寨寨墙和城墙，如利川鱼木寨、咸丰女儿寨，以及恩施市与柳州城的古城墙等。游览土司城墙和烽火台，不能不使人“发占之幽思”遥想当年土家族人，扼关据守或与强敌刀光剑影厮杀的战争场面。烽火岁月虽已成为过去，但这种威武不曲的民族气概不能不令人钦佩和肃然起敬 。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/eeb34a3c9c241535b4d416733cada5ed.jpg_480x360x95_c93a2fe9.jpg,4.7,,,,,1
侗族风雨桥,http://travel.qunar.com/p-oi3864479-dongzufengyuqiao,,侗族风雨桥是侗族特有的传统侗家建筑智慧的结晶。桥廊两边有朱漆栏杆和长坐板，桥廊两端两座亭子高耸出桥顶，飞檐翘角，画栋雕梁，十分精致美观。在新中国成立前，侗族人多在河流的渡口处建造一些供商旅游人肩挑背驮歇气纳凉和遮阳避风雨用的桥梁，因此叫“风雨桥”。据说在古时，侗民还在桥上免费置办有茶水供人饮用，可见侗族与人为善的好品德。这里的仿古侗族风雨桥，虽无挑担背驮的行人过往，但却是供游人停立歇息、纳凉、拉家常或恋人幽会的绝好去处。,,https://img1.qunarzz.com/travel/d2/1802/6c/d453903130c7fab5.jpg_480x360x95_513ec6fe.jpg,3.5,,,,,2
大水井Dashuijing Ancient Architecture Group,http://travel.qunar.com/p-oi3864475-dashuijing,,,,,,,,,,2
连珠塔Lianzhu Tower,http://travel.qunar.com/p-oi3864474-lianzhuta,"

地址:
五峰山路南150米(近六角亭老城东门)


电话:
0718-8229083

",恩施连珠塔位于六角亭老城东门外清江东岸五峰山主峰龙首山顶，始建于清道光12年（公元1832年），坐东向西，占地总面积7700余平方米，是恩施市的标志性建筑。由大小山门、斋堂、花墙和石坊组成。连珠塔为八边砖石塔，占地面积250平方米，共分7层，通高34.8米，内有螺旋石梯129级，由第一层可至第七层。塔刹由7颗大锡珠重叠而成。8个塔角上各雕刻大力士，每层塔各有8个铜风铃，七层塔共有56个。当起风时，风铃嗡嗡直响，声音洪亮，城内居民及塔周附近农户都能听见。站在塔顶，可俯瞰恩施全景。,全年 9:00-17:00,https://img1.qunarzz.com/travel/d4/1802/fd/92a7d8e7efc8fdb5.jpg_480x360x95_0542b019.jpg,4.2,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
