名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
双月湾Double Moon Bay,http://travel.qunar.com/p-oi705019-shuangyuewan,"

地址:
惠州市惠东县双月湾海滨度假区


电话:
18650425596,18650427213,17759760502,18650428108

","双月湾在惠东县港口镇，整个海湾从空中俯瞰好像两轮背对的新月，故名双月湾。双月湾的奇特之处在于，这里左湾水平如镜，右湾波涛汹涌，一静一动。相对于不远的巽寮湾，算是一个还没被过度开发的景点。在这里，不同的人有不同的玩法，可以一大帮朋友来海边烧烤、出海、玩水上运动，可以和家人一起来海边散步、看日落，也可以住海景房，在高大上的海百纳餐厅吃海鲜大餐。总之，海鲜和海景是双月湾的特色。不可错过的地方是双月湾观景台。登顶后景色令人眼前一亮，小镇、渔船和远方的海岛历历在目，让人感叹中国竟有座这么美的海港小镇。需要注意的是，观双月湾全景，得挑个好天气。双月湾的日落尤为壮观，夕阳从海平线落下，把海天染成一片橙色。港口大桥是双月湾重要的交通线，晚上在这里看夜景非常赞。旁边的暗街是这里繁华的商业街了，汇聚了各种特色小吃，藏在里面的海鲜市场还能买到当天一早捕捞上来的海货。临走建议来这里买上一些带走，图的就是新鲜。 双月湾的南部，有一个海龟自然保护区，在半山腰上，可以看脚下汹涌的海浪；往北走，可以逛逛平海古城、晒盐场、东莲禅寺等地，这里可以感受到原味的渔家生活。
",周一至周日 8点至17点,https://img1.qunarzz.com/travel/d4/1708/9d/926be2665a2fedb5.jpg_480x360x95_ee85affe.jpg,4.3,建议游览时间：12小时 - 3天,7月--10月是双月湾的最佳游玩时节。 双月湾是滨海旅游度假区，夏天来到这里可以下海游泳。,"{'双月湾娱乐项目门票成人票\n\n': ['¥685起'], '双月湾小星山浮潜+海钓门票票成人票\n\n': ['¥88起'], '小星山浮潜+海钓门票团队票\n\n': ['¥93起']}",1、去双月湾观景台的路比较难走，越往上越窄，常有自驾的车卡在上面，不推荐开车上去；2、观景台不仅没有门票，而且没有栏杆，如果遇到人多的时候要注意安全；3、出海打渔很容易出现晕船的现象，请做好预防措施。早上在桥头有很多渔民招揽游客坐船出海游玩、捕捞海鲜，出海打渔的船分为三个等级，小船出海两小时100元，次网一般捕不到什么鱼；中船带稍微好一点的拖网，两小时开价250元，可以讲到200左右，大概可以坐十几个人；大船大约是600元两小时，带更大的网。捕到的海鲜全归游客所有，这些海鲜可以带到餐厅加工，按照做法和海鲜多少收费。双月湾共分两湾，由大亚湾畔和大鹏湾畔相邻的两个半月形海湾组成，左湾水平如镜，右湾波涛汹涌。两条沙垅直奔大星山，如蛟龙出海，似双龙戏珠，有静有动，十分壮丽。大亚湾畔的半月湾，微风细浪，阿娜多姿。红海湾畔的半月湾，波涛汹涌，气势磅薄。这里三面环海，风景如画。沙滩连绵57公里，雄奇壮观，几乎见不到人为开发的痕迹。沙滩宽约200米。海水清澈见底，海底平坦舒缓，离岸200米，人们还可在海中站立，堪称一绝。洁白的弧形沙滩，沙质幼细，晶莹洁净。摩托车、小汽车在沙滩上行驶犹如海上行车，乐趣无穷。双月湾是距离广州四个小时离深圳只须两小时车程内最美丽的海滩，这里基本没有开发，在沙滩上可以捡到许多漂亮的贝壳，宽阔的沙滩不亚于海南的风光，是个露营休闲的好场所。洁白的沙滩，黛绿的林带，碧蓝的大海，多姿的礁石，迷人的小岛，穿梭的渔舟，构成了动静交融的南海渔港风光。,1
巽寮湾Xunliao Bay,http://travel.qunar.com/p-oi707189-xunliaowan,"

地址:
惠州市巽寮湾海公园海趣馆


电话:
0752-8336009,0752-8328186


官网:
https://www.gdxunliaowan.com/

",巽寮湾位于惠东平山镇南部，金海湾大道旁。它的海水质量在广东算数一数二的洁净，因此海湾也十分的有名气，每到周末都十分热闹，从广深过来玩的游客非常的多。巽寮湾的海岸线很长，延绵20多公里，分布着很多海湾，沙滩中有公共沙滩，比如金海湾、德泽园等沙滩，还分布着三角洲岛、凤池岛等海岛，红树林、天后宫等景点。磨子石风景区是巽寮湾名气较大的海滩，所以那边的人比较多，一般都会来这个海滩玩。如果喜欢幽静的，可以去南海渔村附近的海湾，那是当地人常去的地方，海水质量不比磨子石风景区的差，虽然沙滩质量稍微差些，但是相对人比较少。海岛的度假都是类似的，你可以沿着白色沙滩漫步，体会悠闲的心情；可以在沙滩上捡贝壳、晒太阳；还可以参与特色的出海捕鱼。当然你也可以冲进大海里玩闹、泼水，踩着海浪，像个孩子一样。关于住宿巽寮湾的酒店特别多，优点在于酒店大部分都可以看到一线海景，地理位置好，并且服务设备等都相对成熟。海湾大道上有各种档次的酒店和宾馆，如果想要节约一点点，也可以考虑住巽平路上的民宿，虽然看不到海景，但是可以看到农田和青山，也很养眼，并且步行到海湾也不远。关于用餐这里有很多海鲜大排档，东西很新鲜，椒盐濑尿虾、姜葱炒花蟹、清蒸海鱼等，可以畅快的大快朵颐。如果需要买海鲜，可以在巽寮镇上，有个不太好找的菜市，可以多问问当地人。一般下午捕鱼的渔民们就会回来，在菜市场旁边卖刚打到的海鲜。,1月1日-12月31日 全天开放,https://img1.qunarzz.com/travel/d5/1509/c3/aa140a30ee7d68.jpg_480x360x95_dc69c898.jpg,4.3,建议游览时间：3天 - 6天,6月份到巽寮湾，可能会看到大批海龟在沙滩产卵的景象。9、10月去巽寮湾也是好时节，此时雨季已过，晴天较多，阳光充足，适合在海滩玩耍。,"{'巽寮湾海公园水上世界门票成人票\n\n': ['¥84起'], '巽寮湾海公园水上世界门票儿童票\n\n': ['¥64起'], '三角洲岛门票+往返船票成人票\n\n': ['¥118起']}",关于住宿巽寮湾的酒店特别多，有五星级酒店，比如凯宾斯基、喜来登等，但是价格颇贵。优点在于高档酒店大部分都是一线海景，地理位置好，并且服务设备等都相对成熟。海湾大道上有各种档次的酒店和宾馆，不过大部分设施都对不起它们的价格。如果想要住便宜点，也可以考虑住巽平路上的民宿，虽然看不到海景，但是可以看到农田和青山，也很养眼，并且步行到海湾也不远。关于用餐这里有很多海鲜大排档，东西很新鲜，椒盐濑尿虾、姜葱炒花蟹、清蒸海鱼等，可以畅快的大快朵颐。如果需要买海鲜，可以在巽寮镇上，有个不太好找的菜市，可以多问问当地人。一般三点前后捕鱼的渔民们就会回来，在菜市场旁边卖刚打到的海鲜。很多人会选择盛安饭店加工海鲜，这家比较有名，口碑也较好，地点在巽寮旅游度假区市场边2号，港一便利店对面那条路一直走，沿途就能见到了。这边的饮料很贵，但是可以自带，所以如果去吃，建议自带饮料哦。,1
大亚湾Daya Bay,http://travel.qunar.com/p-oi707481-dayawan,"

地址:
惠州市惠阳区石化大道中


电话:
0752-3351567

",大亚湾拥有绵长海岸线，这里海水清澈、沙质细软，且人少清静。黄金海岸是大亚湾的精华段，租个躺椅，吹吹海风，看看美景，别提多惬意了。游泳区也设有安保人员，以保证游客的安全。乘船环游大亚湾，或出海捕鱼体验渔家生活也是非常不错的游玩方式。在绵长的海岸线外围，星罗棋布地分布着众多岛屿，如三门岛、大甲岛、小甲岛、东升岛等，也可以乘船登上其中一座岛屿，享受原生态美景。大亚湾毗邻霞涌镇，可以在镇上挑一家海景餐厅，一边欣赏美景，一边品尝海鲜大餐。,全天开放,https://img1.qunarzz.com/travel/poi/1707/92/3bb2c23346090537.jpg_480x360x95_41c6e85d.jpg,4.6,建议游览时间：12小时 - 3天,4月底-10月中旬，期间惠州天气暖和，海水温度适宜，游客可以直接下海游玩。,"{'大亚湾小鹰嘴滑翔伞飞行体验成人票\n\n': ['¥780起'], '大亚湾滑翔伞票大小同价\n\n': ['¥70起'], '大亚湾小鹰嘴滑翔伞【滑翔伞飞行/专业教练/官方认证】\n\n': ['¥100起']}",,1
五矿哈施塔特文旅小镇Hallstatt Town,http://travel.qunar.com/p-oi7628230-wukuanghashitatewenlu:,,,,,,,,,,1
盐洲岛Yanzhou Island,http://travel.qunar.com/p-oi8667035-yanzhoudao,"

地址:
惠州市惠东县东南部


电话:
0752-8388906;0752-8388906

",盐洲岛是一座海岛小镇，这里有着静谧美好的渔村，原生态的海滨风光，珍贵的红树林及活泼灵动的白鹭，风光旖旎。游玩时，可沿着海滨漫步，踩着柔软的细沙，看清澈的海水，将蓝天碧海尽收眼底。也可以看看茂密的红树林，感慨这“水上森林”的顽强生命力，看其中栖息着的成千上万的白鹭。岛上还有着一座风车山，群峰连绵，遍布山野的白色风车高耸入云。当然，除了美景，这里的海鲜大餐可是不能错过的，海产种类丰富，新鲜肥美。岛上也不乏住宿酒店，若是喜欢这里，住上一晚也不错。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1708/5a/70144f521d939db5.jpg_480x360x95_5a35b266.jpg,4.3,建议游览时间：12小时 - 3天,9、10月时惠州晴天较多，阳光充足，适合户外出行逛景区和拍照。,"{'盐洲岛1小时包船出海捕鱼体验成人票\n\n': ['¥270起'], '广州出发惠州盐洲岛、黑排角旅拍滩涂日落、白沙村、双月湾、入住海景房私家小团2日游，不拼团独享专属旅行\n\n': ['¥688起'], '惠州黑排角海岸线徒步一日游（可媲美东西冲+专业户外领队）\n\n': ['¥118起']}",,1
惠州西湖Huizhou West Lake,http://travel.qunar.com/p-oi703257-huizhouxihu,"

地址:
惠州市惠城区环城西路


电话:
0752-2121326,0752-2248116


官网:
http://www.hzxihu.net

",中国拥有“西湖”之名的景致数不胜数，除了天下闻名的杭州西湖外，惠州西湖也堪称是我国西湖中的个中翘楚。惠州西湖林木茂盛，继承了岭南独树一帜的自然景观特征，与杭州西湖的烟雨江南印象相比，显得更加清爽直白、端庄素雅， 因而又有“浓抹杭州惠淡妆”之说。惠州西湖的景观由“五湖六桥八景”组成。五湖就是指形成西湖的5个湖区，即菱湖、鳄湖、平湖、丰湖及南湖，逛完所有的湖区至少需要半天的时间。平湖是5个湖区中较大的，西湖的主要的核心景点也大多集中在这一带。湖北面环绕着平湖堤，沿着堤坝可参观丰渚园和元妙观，丰渚园很适合夏天来，荷花开得很漂亮。平湖北面的下角东路和下角中路是惠州较老的生活区，这里绿树成荫，居民休闲地在湖边打发时光。有点像公园，但是面积挺大，游客也多，里面有一个与陶渊明有关的小山，元妙观到下角的那一段路特别漂亮。西湖具有标志性的建筑泗洲塔在平湖西侧，西湖八景“玉塔微澜”中的玉塔指的就是泗洲塔。当年苏东坡寓居惠州时，在其有名的《江月》诗中对湖光塔影有精彩的描绘：“一更山吐月，玉塔卧微澜，正似西湖上，涌金门外看。” 玉塔微澜一景由此流传至今。孤山在平湖西侧，山上建有苏东坡纪念馆，这也是八景中的“孤山苏迹”所指。孤山山脚有一段九曲桥，与点翠洲相连接，点翠洲上有一座留丹亭，取留取丹心照汗青之意。这些合起来就是八景中的“丹心点翠”。点翠洲北面有一座小桥通往芳华洲和荷花亭，夏天的时候这里常常聚集着一大群摄影爱好者捕捉荷塘景色。景区内有5处游艇码头，东大门、九曲桥、芳华洲附近都有，可以在码头租船游湖。这里的湖够大，划船和电动船都有，价格大约为划船30-40元一小时，电动船60元半小时，具体以景区报价为准。 如果租电动船，记得租电比较足的船，晚泛舟看斜阳，很美！逛完西湖，正门对面就是惠州的步行街了，也可以去逛下。,8:00-21:00,https://img1.qunarzz.com/travel/d2/1702/9b/2fe5981adf59a8b5.jpg_480x360x95_bca62755.jpg,4.6,建议游览时间：12小时,境内雨量充沛、阳光充足、气候温和、四季常青，年平均温度22度。由于7、8月份惠州降雨较多，9、10月份天气晴朗是为出游的好时机。,"{'惠州西湖荔晴码头小黄鸭/独角兽4人脚踏船票成人票\n\n': ['¥120起'], '惠州西湖荔晴码头8人画舫游船票成人票\n\n': ['¥200起'], '惠州西湖电子导览服务大小同价\n\n': ['¥6起']}",,1
广东罗浮山风景名胜区Luofu Mountain,http://travel.qunar.com/p-oi710547-guangdongluofushanfeng,"

地址:
惠州市博罗县长宁镇罗浮山风景名胜区


电话:
0752-6668296,0752-6668875


官网:
http://www.lfs.com.cn/

","春节盛典开启-大展宏“兔”玩转新年年，是满满的期盼辞旧迎新，家人团聚年，是陪伴、游玩、美食......的热闹年味，在一份份热闹中不断馨加~这个春节，罗浮山景区将节日气氛拉满派红红火火的新景象，年味十足的陪您欢欢喜喜过大年!让我们一起，趣味迎春，欢乐过年......春节期间，罗浮山景区将推出一系列丰富多彩的节庆活动，营造吉祥欢庆的新年气氛，让市民和广大游客过一个红火热闹的春节。玉兔迎新春 美食汇罗浮活动时间：1月22日-27日  （年初一至年初六）活动地点：罗浮山白莲湖各个地方不同的美食，反应的是各地不同的文化。何为品味，何为食味，在罗浮山这里可以找到答案。看似普通的食物，却承载着人们对新年的美好愿景。大展宏”兔”迎新春活动时间：1月22日-29日   （年初一至年初八）活动地点：罗浮山荔德园罗浮山景区内设有多种游乐设备，一应俱全，超趣味的游乐项目，超可爱的玩法，带来超棒的游玩体验。“罗浮四季·光影之约”短视频和图片征集活动活动时间：1月22日-27日   （年初一至年初六）活动地点：罗浮山美食街服务区关注官方微信公众号""醉美罗浮”或dy号“广东罗浮山”，添加官方微信号将参赛作品（参赛图片不低于五张）和联系方式发送给现场工作人员或dy号带官方话题“冬日罗浮山”+@广东罗浮山发送参赛视频即可参与现场的抽礼活动，每日送出奖品20份,先到先得,送完即止。除了可获得现场的资格以外，主办方还会根据点赞量、播放量、官方评审团打分等形式，在季度末评选出作品于四期活动结束后统一发放丰厚的活动奖励。“龙华大鼓”闹新春活动时间：1月24日 （年初三）活动地点：罗浮山东江纵队纪念馆广场春雷声中震天响，击鼓迎春开新篇！省级非遗传承龙华大鼓来到罗浮山，为新春的到来，奏响新篇章。舞狮助庆祈福到活动时间：1月22日-24日   （年初一至年初三）活动地点：罗浮山东江纵队纪念馆广场人们在喜庆日子里用舞狮龙来祈祷狮子的保佑。一件花团锦舞狮子，是中国优秀的民间艺术，每逢新春佳节或集会庆典，民间都以狮舞前来助兴祈福。炫彩四溢·罗浮梦幻水秀活动时间：1月22日-27日   （年初一至年初六）活动地点：罗浮山白莲湖《罗浮梦幻水秀》以罗浮山奇珍、奇闻、奇俗、奇想、奇景为文化背景，设计了《缘·见罗浮》、《四季风华》、《云海胜景》、《罗浮传奇》、《盛世华诞》五大主题梦幻场景，从多个角度展现罗浮山的奇观胜景和美妙的神话传奇。罗浮山又称东樵山，由罗山和浮山组成，位于惠州博罗县长宁镇境内。关于罗浮山，苏轼曾写下“罗浮山下四时春，芦桔杨梅次第新。日啖荔枝三百颗，不辞长做岭南人。”廖寥数笔，却将罗浮山四季如春，物产资源丰富的特点形象的描绘了出来，也使罗浮山在岭南一带名声大噪。罗浮山分为朱明洞、黄龙观和华首台三个景区，这三个景区相隔较远，适合自驾游。其中，朱明洞景区是三个景区中较大的一个，景点众多，如果是一日游，大部分的游客都会选择游览这个景区。如果有两天的时间，可以先游览黄龙观景区，第二天再游览朱明洞景区。黄龙洞位于罗浮南麓，玉女峰之下，是罗浮山有名的十八洞天奇景之一。清代康熙年间，冲虚观道士张妙升到黄龙洞开创了崂山派的独立道场并取名为黄龙观。朱明洞景区是罗浮山十八洞天之首，是道教第七洞天、第三十四福地，也是罗浮山人文景观较为丰富的景区。天景区有白莲湖、会仙桥、冲虚观、东江纵队纪念馆、元帅楼、东坡亭、洗药池、炼丹炉、飞来石等建筑及名胜古迹。关于用餐罗浮山下有很多酒家、食肆，路边也有人摆摊卖当地特产，接待设施完善。这里的特色美食有农家小炒、山坑鱼仔、山水豆腐、酥醪菜干汤等，都是农家菜，食材新鲜，比较美味。",全年 07:00-18:00,https://img1.qunarzz.com/travel/d5/1710/14/47bc4d50959bb3b5.jpg_480x360x95_916d6f5b.jpg,4.4,建议游览时间：3天 - 6天,9、10月份天气晴朗是为出游的好时机，因为7、8月份惠州降雨较多。,"{'罗浮山门票成人票\n\n': ['¥54起'], '罗浮山门票学生票\n\n': ['¥27起'], '罗浮山温泉旅游度假区门票+绵州温泉套票成人票\n\n': ['¥199起']}",长宁镇是距离罗浮山景区最近的城镇，镇子中民宿较多；如是自驾出游或偏好高端酒店，也可回惠州市区之内住宿。,1
十里银滩Shili Yintan (Shili Silver Beach),http://travel.qunar.com/p-oi10024378-shiliyintan,"

地址:
惠州市惠东县207县道


电话:
0752-8366666

",惠东十里银滩位于亚婆角度假区内，这里海岸线绵长，沙质细腻而洁白，不论是休闲漫步，赏海景，看日落，这里都是非常好的去处。漫步在十里银滩，除了欣赏自然美景，还可以在这里体验出海打渔、摩托艇等水上运动项目，尽情享受海滨乐趣。海边设有众多度假酒店与民宿，许多游客都会选择一个海景房入住一晚，然后慢慢享受海边的惬意度假时光。,全天开放,https://img1.qunarzz.com/travel/d9/1808/1d/58d89f8c5499a7b5.jpg_480x360x95_62c40595.jpg,4.5,建议游览时间：2小时,9、10月份天气晴朗是为出游的好时机，因为7、8月份惠州降雨较多。,{'【酒店套餐】阳江海陵岛万豪海陵湾1号网红一线海景+十里银滩\n\n': ['¥139起']},,1
三角洲岛Sanjiaozhou Island,http://travel.qunar.com/p-oi704845-sanjiaozhoudao,"

地址:
惠州市惠东县巽寮湾度假村


电话:
13631982483


官网:
https://www.gdxunliaowan.com/

",三角洲岛犹如一个海上世外桃源，海水清澈碧绿，沙滩洁白无瑕，千姿百态的奇石景观让人赞不绝口。海岛上分布有三个晶莹洁白的沙滩，拥有一个新月形的内海湾和一个天然石雕公园，海岛绿树葱茏，楼阁隐现，形状各异的奇石天然成趣。漫步海岛之上，踏浪戏沙，好不惬意。沙滩上的娱乐项目潜水、摩托艇等设施应有尽有。,9:00-16:30；具体时间以三角洲岛实际情况为准。,https://img1.qunarzz.com/travel/d1/1608/41/b5d20bdecbedfdb5.jpg_480x360x95_33eb9342.jpg,3.8,建议游览时间：4小时 - 6小时,由于7、8月份惠州降雨较多，9、10月份天气晴朗是为出游的好时机。,"{'三角洲岛门票+往返船票成人票\n\n': ['¥118起'], '三角洲岛门票+往返船票儿童票\n\n': ['¥60起'], '三角洲岛门票+往返船票双人票\n\n': ['¥388起']}",去码头途中会有当地村民向游客进行“拉客包船”现象，无需理会即可。,1
大辣甲岛Dalajiao Island,http://travel.qunar.com/p-oi709906-dalajiadao,"

地址:
惠州市大亚湾澳头龙海街108号（澳头边防派出所对面）

",大辣甲岛位于大亚湾，与澳头港一水之隔，是大亚湾婀娜多姿的百岛中的第二大岛。据说大辣甲原称大六甲，取六岛相合之意，但此处过往渔民多操潮汕话，而潮汕话中的“六”又与普通话中的“辣”同音，于是大家便约定俗成般称其为“辣甲岛”。岛上沙滩延绵，色彩斑斓的贝壳散落其中，笔螺、角螺、猪牧螺、小海螺、扇贝等等不一而足，简直是贝类海鲜的大杂烩，倘若沿着沙滩一路拾贝，其体验可谓妙不可言。大辣甲岛曾是军事要地，改为民用后成为惠阳渔业局下属的咸鱼收购、加工基地。因为投资建设条件不充足，大辣甲岛的海岛服务业几经难产，直到1998年，大辣甲岛才作为一个风情旅游点正式向游客开放。,全天开放,https://img1.qunarzz.com/travel/d4/1410/13/ff0cff295eacaca2ffffffffc8d65eac.jpg_480x360x95_1d1ef779.jpg,4.4,建议游览时间：3天,夏季最佳，此时水温适宜，游客可以参与一系列的水上活动，还可以下海潜泳。,具体收费情况以现场公示为主,,1
