名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
成都大熊猫繁育研究基地Chengdu Research Base of Giant Panda Breeding,http://travel.qunar.com/p-oi711578-chengdudaxiongmaofanyu,"

地址:
成都市成华区外北熊猫大道1375号


电话:
028-83510033


官网:
http://www.panda.org.cn/

",基地内有很多萌萌的大熊猫，你可以近距离的去观赏这些萌哒哒的国宝们。基地位于成都市北郊，距市区约10公里，建设完全模拟大熊猫野外生活环境，建有湖泊、溪流、竹林、草坪等。基地设有众多“熊猫别墅”就是熊猫的封闭休闲场所。内有露天园子和室内休息室，天气凉爽时大熊猫会在园子内玩耍，游人可以隔着栏杆观赏萌萌的大熊猫；天气炎热时，大熊猫就躲在开着空调的休息室内，这时候只能隔着玻璃观看了。熊猫基地新区也可以看熊猫吗？还有其他耍的吗？熊猫基地新区也可以看熊猫，而且还是我们的功勋熊猫，熊猫的家更大了，活动的范围更宽了。看熊猫是主要的，另外耍的看的还多，必须打卡的是我们的地标建筑——网红熊猫塔。作为成都市的新地标性建筑位于基地最高点，塔高69.8米，共11层，外形如同一颗大竹笋，内部则形似绽放的芙蓉花，内部有81个平台分布，供游客多角度眺望基地景观。还有位于新区密林片区的美术馆（新馆），运用多感官交互、灯光装置、交互装置、热感应等新兴展览方式，为游客构建沉浸式展览场景。熊猫基地新区计划在四大片区设置内容丰富、形式多样的科普展牌与互动设施，游客在观看大熊猫的同时，了解大熊猫知识，增强互动体验。在动物及环境保护相关的节日，还将针对不同年龄段的游客开展主题科普活动，例如互动讲座、亲子科普、探秘游戏等寓教于乐的活动。耍累了还可以去听听音乐剧——《熊猫》：将以大熊猫为代表的神奇动物在四川成都这片美丽富饶的土地上和谐共存、共享自然、热爱生活的景象生动地展现在观众面前。通过音乐剧的形式折射出四川成都的宜居风貌和当地人民质朴安逸的生活景象。从总面积来看，由原来的1035亩增加到了3570亩，扩大了2.5倍。在扩建时充分遵循并沿用原始地形地貌，利用山体冲沟及溪流形成的山地溪谷多层次景观带，打造了11个大熊猫场馆、多个科普场馆以及游客步行街等参观游览场所。扩建项目最终完成后，可容纳不低于180只大熊猫及小熊猫、金丝猴等伴生动物。截至目前，已经有67只大熊猫、43只小熊猫入住扩建区“新家”，以后还会有金丝猴等珍稀动物等候大家的到来。新区配套设施是否完善？新区在设计上按照5A景区标准配套了充足的游客服务设施，不仅提供观光车、旅游厕所等基本设施，还在山丘商业街和出口商业街以及各片区零星商业体配套了大量旅游服务设施，规划业态包含餐饮、纪念品售卖、邮政服务、影院、剧场、拓展教育等，从数量上可以满足游客需求。经过近一年时间的运营，基地针对新区面积较大、配套设施分布不均的实际问题，在新区内增设多处饮料售卖机、直饮水机、共享便民服务设施等改善游客体验，下一步基地还将在游客休息设施、咨询服务设施、导游导览设施等方面进一步补充和完善，以期的满足游客的需求。扩建后的成都熊猫基地将助力成都打造人与自然和谐共生示范地，改善大熊猫科研保护条件，保护生物多样性，全面彰显大熊猫品牌价值、文化价值和经济价值，塑造“天府三九大·安逸走四川”文旅品牌。2022年扩建区还将逐步开放熊猫美术馆、IMAX影院、熊猫剧院等新业态新项目，在看大熊猫的同时，满足游客吃喝玩游购娱的需求。一是更有利于熊猫科研保护。大熊猫作为国家保护动物，性情温顺，姿容可拘，行动逗人，深受人民喜爱。但伴随着大熊猫数量持续增长，基地老区在大熊猫饲养管理工作中面临的种群密度高、动物福利无法充分提升等问题日益明显，熊猫基地新区建成并投入使用能有效解决以上问题，全面提升熊猫基地大熊猫科研保护水平，切实保障园区动物福利。二是更有利于提升人民幸福感获得感。中国特色社会主义进入新时代，社会主要矛盾已经转化为人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾。当前，旅游已成为小康社会人民美好生活的刚性需求，广受百姓青睐。建设基地新区顺应人民群众旅游消费转型升级新趋势，将有效满足人民群众旅游消费高品质、多样化需求，增强人民群众的幸福感、获得感。三是更有利于打造大熊猫特色IP，助力公园城市示范区建设。基地老区自1987年建立以来，在大熊猫科研保护、科普教育、文化旅游、国际交往等方面取得了国内外公认的成绩，被国内外公认为开展圈养大熊猫保护科技实力最强、科技成果最多、应用推广效果的大熊猫迁地保护示范单位，先后获评“全国科普工作先进集体”“全国青少年科技教育基地”“国家科普教育基地”“国家环保科普基地”“海峡两岸交流合作基地”，两次承担“中宣部文化交流重点项目”，两次荣获联合国“全球500佳”称号。建设基地新区将有效提升中国旅游品牌形象，构建具有国际识别度的大熊猫特色IP，助力成都加快建设世界文化名城、践行新发展理念的公园城市示范区。,05/01-05/05 07:30-17:00;05/06-12/31 07:30-18:00;01/01-04/30 07:30-18:00,https://img1.qunarzz.com/travel/d6/1610/cc/0c2975ba1cd06db5.jpg_480x360x95_4e86062a.jpg,4.6,建议游览时间：3小时 - 5小时,暖和的4月-10月。,"{'成都大熊猫繁育研究基地门票成人票\n\n': ['¥55起'], '成都大熊猫繁育研究基地门票+往返车票(熊猫基地-成都市区)成人票\n\n': ['¥65起'], '成都大熊猫繁育研究基地+精品包团讲解成人票\n\n': ['¥458起']}","大熊猫繁育研究基地每年都会有以下的活动：夏令营孩子的假期到了，每天上班的家长是否担心没有时间管教孩子？担心孩子假期会在玩电子游戏、睡懒觉中度过？让您的孩子走出家门，走进大自然，学习一些关于大自然，关于动物的科学知识，并培养孩子的探索研究兴趣，在这里学会交流、学会和谐相处、学会尊重、学会奉献爱心。针对对象： 8—12岁小孩时间：3天 — 5天国际实习生为了满足各国学生的研修和大熊猫喜爱者的需求，我们专门设计了国际实习生项目。如果您喜欢大熊猫，想近距离了解它们，照料它们，我们非常乐意为您提供此机会。实习期间，您将学到与大熊猫及其保护的相关知识，掌握大熊猫、小熊猫行为观察研究方法，体验熊猫基地员工的工作，如作大熊猫饲养员，作实验室研究员，作大熊猫医生等，还可以到野外大熊猫保护区游览大熊猫原生地的奇丽风光，探寻大熊猫生活踪迹。针对对象： 18岁以上的中外有志人士时间：1天 — 3个月家庭游谁不向往课堂外的大自然！为了让学生校外活动更丰富多彩，更有意义，我们专为学生设计了增强综合素质的第二课堂！该项目为家庭提供了一个共同学习的机会。项目主题多样，如：关爱动物、走进大自然等。活动根据孩子不同的年龄阶段，设计不同的活动内容，家长和孩子一起参与游戏。参与者通过不同主题可以学习到：大熊猫知识，大熊猫故事，濒危动物的保护，宠物照顾，生物多样性等知识。我们传播的理念是：动物是有感情的，动物和大自然应受到尊重，家庭日常行为对大自然和动物保护起的作用。参加“校外一日游”吧！让学生触摸大地，亲近动物，寻找学习的灵感。学生将在熊猫基地度过很有意思的一天，同时参加此项目的教师可以根据我们提供的教具包，回到学校以后开展一系列的后续活动，让课堂不再枯燥。保护讲座为让更多的人认识大熊猫，传达动物保护理念，我们为不同年龄阶段的人群设计了关爱宠物、野生动物保护等不同主题的讲座。我们也可以根据您的需要和年龄段专门设计讲座，并带到您的机构。我们希望让公众了解野生动物面临的困境，学习爱护自然，保护动物的行为，最为重要的是培养公众对动物及环境的认知和爱心。针对对象： 所有感兴趣的机构时间：1 — 2小时基地内 
如果需要拍照，请关闭闪光灯。熊猫幼仔的眼睛对光非常的敏感，闪光很可能伤害到它们。",1
青城山Qingcheng Mountain,http://travel.qunar.com/p-oi704547-qingchengshan,"

地址:
都江堰市西南部青城山风景区


电话:
028-87111907,028-87288159


官网:
http://jingqu.situcms.com/

",青城山自古素有“青城天下幽”的美誉，分前山和后山两部分，前山是青城山的主体，道教文化、文物古迹多集中这里，这里也是一般游客口中的“青城山”；后山以自然风光取胜，是度假休闲的好去处。青城山前山以常观、上清宫为核心，宫观相望。建祖师殿、朝阳洞等人文景观与金鞭岩、石笋峰、丈人山等自然风光交相辉映。景区主要有老君阁、月城湖、天师洞、观音阁、上清宫、天然图画、祖师殿等景点。青城山后山与卧龙自然保护区相邻，里面随处可见潭水瀑布，绿草如茵。景区主要有金壁天仓、泰安古镇、水晶溶洞、三潭雾泉、龙隐峡栈道、双泉水帘、百丈长桥、白云群洞、天桥奇景等景点。游玩青城山一般来说半天足矣，无需住宿。山间随处有售卖饮食的店铺。如果时间充裕，可在此住宿一晚，便于第二天早起看日出，山间天师洞和上清宫皆有道观提供食宿。,03/01-11/30 08:00-17:00;01/01-02/28 08:00-19:30;12/01-12/31 08:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/e8a9fc8d53e56bd441dc94edf08e152c.jpg_480x360x95_555df3c0.jpg,4.6,建议游览时间：3小时 - 5小时,青城山天气属于亚热带温湿季风气候区。 春季（3—5月）：气温变化较大，气候温暖潮湿。 夏季（6—8月）：温度会逐渐升高，平均气温在21~30度，雨水较多，有时候晚上下雨之后第二天也很凉快，这个季节紫外线辐射较强，雨水也是说来就来。 秋季（9—11月）：秋高气爽，平均气温在14~20度，步入10月温度会降低，秋天去青城山气候凉爽，景区的地势环境造就了这里的温度会比外面稍低。冬季（12—2月）：冬天气温较低，平均温度在5~10度，会偶尔有降雪，但不会有太深积雪。3月-5月的青城山春意盎然，适合登山锻炼；7月-8月凉爽宜人，适合避暑。夏季是青城山最美好的时节，这个季节的青城山山清水秀，气候凉爽，是避暑的好去处。,"{'青城山（前山）门票成人票\n\n': ['¥80起'], '青城山前山门票成人票\n\n': ['¥80起'], '青城山（前山）门票儿童票\n\n': ['¥40起']}","青城山分前、后山。前山是青城山风景名胜区的主体部分，约15平方公里，景色优美，文物古迹众多，主要景点有建福宫、天然图画、天师洞、朝阳洞、祖师殿、上清宫等；后山总面积100平方公里，水秀、林幽、山雄，高不可攀，直上而去，冬天则寒气逼人、夏天则凉爽无比，蔚为奇观，主要景点有金壁天仓、圣母洞、山泉雾潭、白云群洞、天桥奇景等。1、请注意早晚温差，要带好衣物。2、尽量轻装去爬山，以减轻负荷。3、爬山是尽量穿着宽松舒适的衣物以及运动鞋。4、不要进入封闭区域，保护景区文物古迹，注意防火护林。5、在景区游览时要注意景区内的游览标识，请按照游览路线游览。6、由于地震的影响，青城山部分景点出现了损坏，尤其有些石碑都已开裂，与原来的样子有所不同。部分殿宇正在修复中。7、景区日照强，紫外线强。长时间在户外活动,请戴上太阳帽,涂抹防霜,以保护皮肤。",1
宽窄巷子Kuanzhai Alley,http://travel.qunar.com/p-oi701768-kuanzhaixiangzi,"

地址:
成都市青羊区金河路口宽窄巷子


电话:
028-86259233,028-66355355


官网:
http://www.kzxz.com.cn/

",宽窄巷子是成都惟一遗留下来的清朝古街道，由宽巷子、窄巷子和井巷子三条平行排列的城市老式街道及其之间的四合院群落组成。来这里，喝茶、吃火锅，感受成都的闲生活、慢生活和新生活。你可以在这里要一杯蒙山黄芽，与旁边的老爷子摆摆龙门阵；也可以唤一名“舒耳郎”，舒舒服服的享受掏耳朵的惬意；更可以在小吃摊边，面对着琳琅满目的小吃大快朵颐。夜幕下的宽窄巷子也是别有韵味，点醉、白夜、胡里等酒吧，都充满了成都的时尚感，在夜间绽放它的魅力。,全天开放,https://img1.qunarzz.com/travel/d6/1706/f7/866f3a1e54b014b5.jpg_480x360x95_bf435586.jpg,4.5,建议游览时间：2小时 - 3小时,悠闲的旧成都时光，四季皆宜探访。,"{'宽窄巷子五感的建筑隈研吾建筑设计展(成都站)门票大小同价\n\n': ['¥88起'], '三星堆博物馆(成都-三星堆)直通车票大小同价\n\n': ['¥32起'], '宽窄巷子匠人1对1私人导游服务大小同价\n\n': ['¥0.3起']}","
每天各时段游玩建议


  1、清晨：适合摄影、晨练等活动。 


  2、下午：宜喝茶、打牌，体验成都生活方式。 


  3、晚上：有各式酒吧开放，也可散步聊天。 


  4、周末：有创意市集等活动。 
",1
都江堰景区Dujiangyan Irrigation System,http://travel.qunar.com/p-oi704544-dujiangyanjingqu,"

地址:
成都市都江堰市公园路


电话:
028-96526


官网:
http://www.djy517.com/

",都江堰景区，位于都江堰市城西岷江干流上，由秦国蜀郡太守李冰及其子于西元前256年左右修建，是目前中国保存完整的古代水利工程。工程由鱼嘴分水堤、飞沙堰溢洪道、宝瓶口引水口三大主体工程和百丈堤、人字堤等附属工程构成，把汹涌的岷江分隔成外江和內江，外江排洪，內江引水灌溉，使川西平原成为了“天府之国”。都江堰碧水浩荡、危崖奇峰、古木参天的佳自然风光和深厚的文化底蕴，使它当之无愧地成为世界风景名胜区。有南桥、离堆古园、卧铁、堰功道、张松银杏、清溪园、伏龙观、都江堰渠首三大主体工程、鱼嘴分水堤、飞沙堰溢洪道、宝瓶引水口、安澜桥、二王庙、秦堰楼、松茂古道、修之敬治水德政坊、禹王宫、玉垒关、凤栖窝、斗犀台、宣威门、城隍庙等著名景点。,3月8日正式恢复开放： 08：00-17：00,https://img1.qunarzz.com/travel/d4/1611/29/9857583800a519b5.jpg_480x360x95_f594d43b.jpg,4.7,建议游览时间：3小时 - 5小时,夏季。与酷热的成都相比，都江堰的夏季可谓是真正的“避暑山庄”。,"{'都江堰门票成人票\n\n': ['¥80起'], '都江堰门票儿童票\n\n': ['¥40起'], '都江堰门票学生票\n\n': ['¥40起']}","
  1、都江堰山清水秀、气候宜人。但512大地震，将都江堰美景撕裂大半。都江堰的城区和景区一些建筑上，贴有“危险”或“可使用”标志，请远离不安全的场所，在安全的地方用餐、休息。 


  2、夏季到访都江堰可以参加消夏夜啤酒节。 


  3、清明节当天会举行盛大的放水节。 
",1
漫花庄园Manhua Manor,http://travel.qunar.com/p-oi10024335-manhuazhuangyuan,"

地址:
成都市新都区蜀龙大道南段银杏园路口


电话:
028-83933394


官网:
http://www.manhuazhuangyuan.com/

"," 漫花庄园景区以“花海乐园”为特色，以“乐享花生活”为主题，规划建设了花海观赏、精品花卉展览、科普研学、婚庆活动、特色美食、亲子游乐等多个功能版块，艺术化地布局了能量花塔、九曲花海、千年牡丹园、法式玫瑰园等二十多个特色景点，是成都近郊特色鲜明、功能复合、形态鲜明、规模较大的休闲赏花目的地，成都乡村旅游的排头兵，响誉蓉城的现代版“花重锦官城”，“成都老百姓的后花园”，同时也是中国四大花海之一，占地600余亩，在全国享有广泛盛誉，每年接待游客百万余人，吸引全国上百家花卉、花海、园林企业前来观摩学习。 漫花庄园以花闻名，每季均有让人赞叹的花海胜景。春季百万株荷兰进口郁金香与漫山遍野的樱花、牡丹、芍药等千余种花卉共同怒放；夏季700余种玫瑰傲然绽放；金秋时节百万株百合花色彩缤纷，与绚丽多彩的大丽花共同营造异域花海奇观；冬季有冰岛虞美人、紫罗兰等百余种花卉生机盎然。全年5000多个品种、300余万株鲜花，构成一个令人叹为观止的漫花世界！樱花节暮春三月晴空里，花朵烂漫似云霞，赏樱花之乐趣，贵在其生命壮烈绽放瞬间的灿烂。漫花庄园之樱花季，千千万万朵粉樱花香四溢，随风伴雨，浸润着千千万万蓉城儿女的花间思绪。郁金香花节春天，在百万鲜花竞相绽放的漫花庄园。从荷兰进口的上百万株郁金香，色彩缤纷，风采卓绝，争相怒放。除此以外，还有漫山遍野的樱花、冰岛虞美人、紫罗兰、洋水仙、风信子等二十余种花卉，共同谱与漫花之春。玫瑰花节五月，漫花庄园是玫瑰花的世界，600余种上万株不同花色、不同香味、不同情调的欧洲玫瑰浪漫绽放。“龙沙宝石”不是宝石胜似宝石，如少女的初吻，青涩、微甜，仙气十足！在漫花庄园遍布着龙沙宝石墙、龙沙宝石花柱、龙沙宝石大道.....百万余朵龙沙宝石共同营造浪漫氛围！夏季百花节六月，满山的向日葵已经开放，成千上万株向日葵汇成了一片金色的海洋，这里的向日葵是从国外进口，一株上有数十朵花骨朵儿小小的枝干，散发着巨大的力量。信念、光辉、高傲、忠诚、爱慕，寓意着向日葵的爱。光明之花，给人带来美好希望之花，收到这种花祝福的人，也具有一颗如太阳般明朗快乐的心百合花节百合花素有""云裳仙子""之称。由于其外表高雅纯洁，花姿雅致，香味浓郁，倍受人们喜爱。百合花有""百年好合""、""百事合意""之意，中国人自古视为婚礼必不可少的吉祥花卉。漫花庄园于2017年-2019年已经成功举办了三届""百合花节""。菊花展漫花的菊花节颠覆以往的赏菊传统，由专业的花艺团队耗时数月将株株菊花重新造型，组合成我国民间文化中的吉祥物，满园的秋菊在艳阳下齐齐绽放，一朵朵娇媚多姿，在这个金秋开得轰轰烈烈，有的秀丽淡雅，有的鲜艳夺目。紫罗兰花节紫罗兰花朵茂盛，花色鲜艳，香气浓郁，花期长，花序也长，为众多爱花人所喜爱，漫花的紫罗兰颜色绚丽多姿，遍地开放，白色、紫的、粉的竞相齐放，紫罗兰象征着永恒的美与爱，它是爱情的化身，也是漫花对游客们的爱。﻿",2/11-12/31 08:30-18:00,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/ef9295fc3f43c8eb4b9cfd787b164f3a.jpg_480x360x95_d821e13a.jpg,4.4,建议游览时间：2小时 - 4小时,,"{'漫花庄园门票成人票\n\n': ['¥58.8起'], '漫花庄园门票优待票\n\n': ['¥40起'], '漫花庄园门票+写真摄影套票成人票\n\n': ['¥158起']}",,1
春熙路Chunxi Road,http://travel.qunar.com/p-oi18700089-chunxilu,"

地址:
成都市锦江区


电话:
028-87706026

",春熙路是成都的时尚中心、也是当地美食和美女的集中地。来这条成都代表性的商业步行街逛逛，吃吃东西，看看养眼的美女，是来成都必做的一件事。春熙路不仅仅是一条街，而是指北新街以东、总府路以南、红星路以西、东大街以北、南新街、中新街及其临街区域。外地人来到成都，如果不逛逛春熙路，就好比到北京不去王府井，到上海不到南京路一样会非常遗憾。春熙路街道两边，百年老店、时尚商场、品牌专卖、美味小吃店云集，钟水饺、赖汤圆、韩包子、龙抄手等名吃在春熙路上都有分店。周末，这里也是成都市民休闲的好去处。春熙路还是打望成都美女的时机。而周末的春熙路，则是一场美女云集的盛会。春熙路主街的交汇处是著名的中山广场，屹立着孙中山铜像。北口还有用花岗石雕制而成的成都风俗浮雕艺术墙，描绘了唐代成都的庙会、花会、灯会、采桑等各个景观。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/f3e5b0905b49d3f930235e133002fea2.jpg_480x360x95_5ed8fb27.jpg,4.6,建议游览时间：1小时 - 2小时,四季皆宜。,,著名的巨型熊猫雕塑在春熙路国际金融中心IFS的楼顶上，从楼下只能看到Panda的背面，一定要登顶之后才能看到Panda呆呆的正面~,1
俄尔则俄Eerzeer Scenic Area,http://travel.qunar.com/p-oi18702245-eerzee,,俄而则俄的南北两坡上都是杜鹃花，每到了花期的时候，花海特别漂亮，在山上还可以看到美丽的日出和云海。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/24b31fba91c31b2775c8eb2984fc286a.jpg_480x360x95_6eb6213c.jpg,5.0,,,具体收费情况以现场公示为主,,1
文殊院Wenshuyuan,http://travel.qunar.com/p-oi702435-wenshuyuan,"

地址:
成都市青羊区文殊院街66号


电话:
028-86930623,028-86662375

",文殊院位于青羊区，始建于隋朝，康熙年间重建后，称文殊院。院内供奉着大小300余尊佛像，有钢铁、脱纱、木雕、石刻、泥塑等多种材质。其中有一尊缅甸玉佛，来自缅甸，很是珍贵。寺院内三大士殿、大雄宝殿、说法堂、藏经楼5座大殿递次连接，与东西两侧的钟楼、斋堂、廊房浑然一体，再配以其他建筑，形成一个封闭的四合院。院内还开设有茶馆和具有特色的素餐馆“香斋堂”，使得这里成为本地居民喜爱的休闲之地。此外，寺内还珍藏有明清以来书画珍品多幅，富有盛名的是康熙皇帝1702年御赐文殊院的“空林”牌匾，以及康熙临宋代书法家米芾的《海月》条幅。还有唐代玄奘法师顶骨、印度贝叶经、唐代日本鎏金经简等佛教文物。不过，由于是珍贵文物，外人难得一见。文殊院门前的文殊院街，目前已开辟为号称“都市禅林”的文殊坊，清一色的仿古建筑，很多小吃也依旧经营着。,全年 08:00-17:00,https://img1.qunarzz.com/travel/poi/201404/11/ae2bd3d73434d5b2ddb12cfb.jpg_480x360x95_baf18513.jpg,4.6,建议游览时间：1小时 - 2小时,四季皆宜。,"{'文殊院地图定位自动中文讲解门票成人票\n\n': ['¥0.9起'], '文殊院手机导游(不含门票)手绘地图、语音讲解票大小同价\n\n': ['¥3起'], '文殊院拼团人工讲解服务成人票\n\n': ['¥89起']}","文殊院门口的小吃是成都当地人都极力推荐的， 
推荐甜水面、黄凉粉、清汤抄手、盐煎肉。
  ",1
武侯祠Wuhou Shrine,http://travel.qunar.com/p-oi713347-wuhouci,"

地址:
成都市武侯区武侯祠大街231号


电话:
028-81290168


官网:
http://www.wuhouci.net.cn/

",成都武侯祠是纪念刘备、诸葛亮等蜀汉英雄人物庙宇所在。它肇始于蜀汉昭烈帝章武元年（221年）刘备惠陵修建时，在修建惠陵的同时也修建了汉昭烈庙。约在公元500年前后南北朝时期，武侯祠从成都“少城”迁建惠陵、汉昭烈庙旁，这格局持续到明代。明洪武二十三年（1390年），明蜀献王朱椿到武侯祠朝拜，以“君臣宜为一体”为由，将惠陵、汉昭烈庙、武侯祠合为一体，由于诸葛亮在老百姓心目中的影响超过刘备，民间习惯称为“武侯祠”。成都武侯祠的文物区主要由惠陵、汉昭烈庙、武侯祠、三义庙等组成，主体建筑为武侯祠。武侯祠分大门、二门、刘备殿、过厅、诸葛亮殿、三义庙等，排列在从南到北的一条中轴线上。祠内供奉刘备、诸葛亮等蜀汉英雄塑像50尊，区域内还有众多的关于诸葛亮和三国文化的碑刻、匾额等。成都著名的“红墙竹影”，就在景区内，记得拍照哦。武侯祠的园林区，位于武侯祠西侧，区域内有石牌坊大门、三洞门、四方亭、荐馨堂、墓室等建筑，是西南地区惟一一座北方风格的陵园建筑群。武侯祠毗邻锦里（锦里民俗区），可以一并游玩。,01/01-12/31 09:00-18:00,https://img1.qunarzz.com/travel/d6/1705/f9/80e63ac63def24b5.jpg_480x360x95_c1b8e051.jpg,4.5,建议游览时间：2小时 - 3小时,四季皆宜。临近春节的武侯祠庙会十分热闹。,"{'成都武侯祠门票成人票\n\n': ['¥50起'], '成都武侯祠门票优待票\n\n': ['¥25起'], '成都武侯祠门票+人工讲解票成人票\n\n': ['¥108起']}",1、武侯祠有春节文化庙会的活动，由成都市政府主办，每年春节举办一次，从小年至初六，主要内容有民主文艺表演，大型祭祝活动。武侯祠春节文化庙会是人们纪念诸葛亮而自发形成的，已传承千余年，是成都最具影响力的旅游节庆活动之一，与锦里庙会并称成都大庙会。期间有古川戏、变脸、杂技等文艺演出；还将举办书画、摄影、灯展及猜谜活动；民间杂耍、民间工艺品销售、当地的风味小吃会聚一堂，精彩纷呈，引人入胜。2、馆内有免费WIFI及微信导览服务；,1
西岭雪山Xiling Snow Mountain,http://travel.qunar.com/p-oi711537-xilingxueshan,"

地址:
成都市大邑县西岭镇西岭雪山风景区


电话:
028-88309080


官网:
http://www.xiling.cn/

",一座距离成都市区非常近的雪山，山中景色，一年四季各有特色。主峰庙基岭海拔5000多米，山顶终年积雪，秀美壮观。山上除开设滑雪场外，还有雪地摩托、狗拉雪橇等诸多的冰雪游乐项目。春天山花烂漫，杜鹃成林，三十多个品种的杜鹃延绵数十里，每年4至7月随海拔高差的不同而次第开放，漫山遍野，仿若花的海洋；因林木葱郁，这里是夏季避暑的好地方；冬季积雪期为11月底至次年3月底，此时的西岭雪山，是冰雪游乐的好地方。游览雪山西岭雪山分前山和后山，前山为大飞水景区，是纯徒步观光景区，后山为滑雪场景区，冬季可以滑雪，其他季节则是观光和滑草。山上建有两段索道：交通索道（又称鸳鸯池索道）和观景索道。从景区大门进入后，乘坐交通索道，可直达半山腰的鸳鸯池接待中心，这是一片相对平缓的广场。夏季，在映雪湖玩水嬉闹，湖东侧可以玩滑草。冬季，滑草区变成滑雪者的天堂。在鸳鸯池接待中心乘坐接驳车，抵达映雪湖畔的索道站，乘坐观景索道可抵达3200多米的日月坪。沿着山间步道前行，赏玩山顶风光的同时，游玩野牛道、红石堡、红石尖、白沙岗和阴阳界。其中阴阳界山岭的两侧具有完全不同的风光：一边是阳光明媚，一边则是云雾迷茫。此外，日月坪也是观赏西岭雪山云海的地点。,全年 09:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/b7bb37c983ee1c690823285ad5702d73.jpg_480x360x95_7408d8e0.jpg,4.6,建议游览时间：3小时 - 5小时,景区四季分明，四季皆宜。夏季是避暑胜地，冬季是赏雪佳景。 西岭雪山春赏百花、夏享林荫、秋观红叶、冬弄冰雪，四季皆宜到访。,"{'西岭雪山观景索道往返票成人票\n\n': ['¥120起'], '西岭雪山（成都-西岭雪山)单程直通车（普通车）票大小同价\n\n': ['¥35起'], '西岭雪山（成都-西岭雪山)往返直通车（普通车）票大小同价\n\n': ['¥65起']}","由于在滑雪场上没有提款机，也不能刷卡，因此需要带一定的现金在身上，以一个普通成年人一日游为例，最基础的费用交通60+餐饮60+门票120+索道120+滑雪120+押金500=980，实际消费480元.1、滑雪时一定要挑选合适的滑雪装备，护具，保证个人安全。 
 2、做好防寒工作，避免感冒发烧。 
 3、穿暖色调的滑雪服会更好看哟。",1
