名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
瘦西湖Slender West Lake,http://travel.qunar.com/p-oi708798-shouxihu,"

地址:
扬州市蜀冈瘦西湖风景名胜区大虹桥路28号


电话:
0514-87357803,0514-87341324,0514-87370050


官网:
http://shouxihu.com/

",“烟花三月下扬州”，春季来扬州，必游瘦西湖。瘦西湖是一段狭长的河流，在这里，你既可以沿河而行享受自然美景，或是走进亭台楼阁，品味历代文人墨客的诗画墨宝，你也可以坐上船，感受当年乾隆皇帝游湖的逍遥心情。整个瘦西湖风景区很大，从景区东南的大虹桥开始，沿湖北上直至观音山为止，途中经过数十个景点。景区有东南西北共4个大门，通常都是从大虹桥路上的南大门进去开始游览的。瘦西湖是著名的湖上园林，自然景观旖旎多姿，这里的春季绿柳成荫，加之山茶、石榴、杜鹃、碧桃等花树相伴，每年吸引着各地游客来踏青赏花。千百年来，无数文人墨客在此流连忘返，吟诗作画，留下了众多墨宝和故事，而且还因地制宜地建造了很多风景建筑。五亭桥是瘦西湖的标志，至今有两百多年历史。桥上建有五座风亭，每到满月之夜，五亭桥下十五个桥洞中每个洞都含着一个月亮。二十四桥是景区的另一个著名景点，出自杜牧的诗句“二十四桥明月夜，玉人何处教吹萧”，原桥已不复存在，现在看到是重建的桥。这里还曾是清代乾隆皇帝下江南时的必游之处，如今看到的大虹桥、钓鱼台、白塔、熙春台等建筑景观，都留下了与乾隆皇帝不可分割的典故。都说“扬州出美女”，这儿的美女导游也是景区内的一道亮丽风景线。每到夏季，瘦西湖开放夜游时，可以欣赏亮了灯的亭台楼阁，和倒映在湖中的月影。夜游需全程坐船，十分轻松，吹着习习湖风，盛夏来此消暑很不错。,全年 06:30-17:30,https://img1.qunarzz.com/travel/d9/1602/ac/6d99c4dd689109f7.jpg_480x360x95_b9059459.jpg,4.7,建议游览时间：4小时 - 5小时,"春夏最佳。所谓""烟花三月下扬州""，每年的春季，扬州迎来旅游旺季，也是游览扬州的最佳时间，初夏烟雨朦朦，花香扑鼻，也让人陶醉。而9、10月份适合赏月，此时又有赏月游船等节日活动。","{'瘦西湖日场门票成人票\n\n': ['¥95起'], '瘦西湖夜游门票成人票\n\n': ['¥97.5起'], '瘦西湖夜游门票优待票\n\n': ['¥80起']}",,1
何园Ho Family Garden,http://travel.qunar.com/p-oi712456-heyuan,"

地址:
扬州市广陵区徐凝门大街66号


电话:
0514-87239626


官网:
http://www.he-garden.net/

",何园园主何芷舠，是与晚清重臣李鸿章、光绪帝师孙家鼐联姻的扬州士绅，于光绪九年（公元1883年）建造了这个私家园林。何园有“晚清第一园”的美誉，园中建筑中西合璧，并由复道回廊串联，布局富有层次感。全园由后花园、住所院落和位于东南部的片石山房（一堆假山石，仅存遗迹，规模极小）几部分组成，各部分之间，通过复道回廊（扬州人俗称为“串楼”，就是分为上、下两层的回廊）连成一体。这种上、下两层的回廊，是何园建筑具有特色的部分，园中人员通过回廊在园中穿行，雨天避雨、晴天遮阳，不受天气影响。而一串串开在复道回廊上的漏窗、空窗，组成的花窗带，也是园内的一大特色。后花园从布局上分为东、西两个部分，主要建筑有船厅、水心亭等。东部，以“厅堂”为中心构成一组院落，其中“船厅”厅型似船形，四周用鹅卵石、瓦片铺地，花纹是水波状，给人以水中而居的感觉。花园的西部，中间有一个水池，水池中建有水心亭，是园内主人观看戏剧表演的地方，“水中戏亭”的设计独具匠心。园中的老少主人们，居住在南部的玉绣楼，这是一幢中西合璧风格的建筑。既采用了中国传统的砖木结构，又大量使用了法式的百叶门窗、日本式的拉门、法式的壁炉、铁艺的床等。目前何园还是国内影视剧取景的天然基地，新版《红楼梦》、《还珠格格》续集等近百部影视剧在此取景。何园面积不大，游客通过复道回廊可以到达园内任何一处。何园有东门和南门两个门，游客由东门出入，南门不对外开放。在东门处有导游服务，何园的导游称为“何家千金”，是由一批身穿晚清风韵服装的年轻女孩组成，这些美丽的导游本身也是何园一景。在何园的东南方不远处（步行约10分钟），就是卢氏盐商住宅，这里目前是扬州有名的淮扬菜馆。,全年 07:30-18:00,https://img1.qunarzz.com/travel/d2/1604/3a/7bab46a16ece95f7.jpg_480x360x95_b29f7eb3.jpg,4.7,建议游览时间：1小时 - 2小时,春季最佳，所谓“烟花三月下扬州”，此时的扬州烟雨朦朦，稀有的琼花正当盛开，花香扑鼻，是旅游的黄金季节。不过此季节也是游人最多的时候，其他季节来游览何园也是不错的选择。,"{'何园门票成人票\n\n': ['¥42.4起'], '何园门票优待票\n\n': ['¥22起'], '瘦西湖门票+个园门票+何园门票成人票\n\n': ['¥170起']}",,1
个园Geyuan Garden,http://travel.qunar.com/p-oi709165-geyuan,"

地址:
扬州市广陵区盐阜东路10号


电话:
0514-87347428,0514-87358470


官网:
http://www.ge-garden.net/

",个园是清嘉庆、道光年间“两淮盐总”（朝廷的税收大户）黄至筠在明代寿芝园旧址上兴建起来的。当时园中遍植翠竹，因竹叶形状像一个“个”字，故名“个”园。园中的四节假山很有特色，游园一周，仿佛经历了春夏秋冬。个园不大，可以分为三个区域，北部品竹观赏区、中部花园，南部住宅区。整个园区有北、东、南三个门，北门只进不出，东门只出不进，南门可进可出，其中南门就在著名的东关街上。个园不大，无论是北门还是南门进入，沿南北走向游览即可。与其他著名园林相比，个园的精髓在于以四季为题的假山叠石艺术，运用不同石料堆叠而成“春、夏、秋、冬”四景。四季假山各具特色。当你在园中游览时，可以观赏到一座石峰竖立在稀疏的竹林中，这就是“春景”，象征着春回大地，雨后春笋复苏的景象；在春景的北边是“夏景”，清澈的水流穿过岩石，一派生机勃勃的景色；在春景的东侧，可以看到“秋景”，一堆叠石周边，几株枫叶，一片肃杀秋意；而在春景的南侧，靠近南门处，就是“冬景”，这里的叠石都是雪白色的，就像大雪纷纷的严冬。叠石四景，位于园区的南部。除了四季叠石，在园中北部的竹林里散步也是一件很惬意的事情。即使是炎炎夏日，但走在绿意盎然的竹林中，却能感到相当清凉。游客在园中的北门和南门，可以请到讲解员，根据人数不同收取费用。,7:30-17:00,https://img1.qunarzz.com/travel/d7/1512/79/3167f24bd5b962f7.jpg_480x360x95_13a866b1.jpg,4.7,建议游览时间：1小时 - 2小时,四季皆宜。园内分“春夏秋冬”四景，分别设计迎合了四个季节的景观，因此四季皆可在个园享受到不同时节的美。,"{'个园门票成人票\n\n': ['¥42.4起'], '个园门票儿童票\n\n': ['¥22起'], '个园门票老人票\n\n': ['¥22起']}",为更好保护景区资源，保证游览安全，个园景区游客最大承载量为18000人。当游园人数达到峰值时，将暂停售票。,1
扬州古运河Yangzhou Ancient Canal,http://travel.qunar.com/p-oi709043-yangzhouguyunhe,"

地址:
扬州市邗江区高桥路92号


电话:
0514-87321666

",扬州古运河指的是从茱萸湾风景区到高旻寺的河段，游客游览的主要区域集中于扬州城区的南门码头到便益门广场码头，这一段沿路有东关街历史街区等著名景点，可以步行或坐船游览，晚上运河边亮了灯，夜景很美。如果想步行游览，建议从何园走到东关街，南门码头-何园、东关街-便益门广场码头的路段上景点不是很多。从不在运河边的何园开始，南行到康山街，再东行参观过卢氏盐商住宅及与之毗邻的盐宗庙后，继续往东即到达运河边的南通东路上，接着沿着南通东路折而向北，沿着运河的西岸游览。运河边有很好的绿化带，绿柳拂水，就像古诗词中描绘的江南风光。到达吴道台府可以入内参观，参观完后再沿运河北行，过文昌中路上的解放桥到运河的东岸，那里有阿拉伯人的古墓园普哈丁园。然后回到运河西岸接着向北，看到东关古渡的牌坊意味着东关街历史街区到了，向西步入城门踏上石板铺就的东关街，街上商铺、扬州特色餐馆林立，有个园等景点。东关街可与南边300米处的东圈门历史街区一并游览。古运河上的游船从便益门广场码头驶向南门码头，或者反过来航行，从两处码头均可上船，船票60元，运营时间：14:00-21:00。游船将带你穿过一座座造型各异的桥梁，船上有讲解，白天看岸边的风光更清楚些，晚上可以看夜景，灯光效果不错，一般游客可能会觉得夜景更美。,14:00-21:00,https://img1.qunarzz.com/travel/d8/1505/55/4d910279a607ae.jpg_480x360x95_d54eefe4.jpg,4.6,建议游览时间：3天,春季最佳，所谓“烟花三月下扬州”，此时的扬州烟雨朦朦，花香扑鼻，是旅游的黄金季节。不过此季节也是游人最多的时候，而9、10月份适合赏月，此时又有赏月游船等节日活动。,"{'扬州古运河船票成人票\n\n': ['¥70起'], '扬州古运河东关古渡豪华游船观光游览票优待票\n\n': ['¥50起'], '扬州古运河水上观光巴士东关古渡至瓜洲古渡公园往返游船票成人票\n\n': ['¥129.9起']}",,1
东关街历史街区Dongguan Street Historical District,http://travel.qunar.com/p-oi9186223-dongguanjielishijiequ,"

地址:
扬州市广陵区东关街与国庆路交叉口东100米


电话:
0514-87366222,0514-87330290


官网:
http://www.yzdgj.com/

",东关街历史街区位于扬州市中心，由一块块石板铺成主街，走在路上，不时能看到青砖灰瓦的盐商大院，而美食与当地特产小玩意的集中，又给游客增添了逛街的乐趣，不愧为“扬州城里具有代表性的一条历史老街”。东关街东至古运河边，西至国庆路，其东端的东关古渡在唐朝是扬州较为繁华的码头，有了码头便发展出了商贸密集的街市东关街。现在的东关街依然维持着明清时的模样。来到东关街，自然首先要尝一尝扬州特色美食，你看见街上哪家店人气旺，过去买了吃便是，价钱基本公道。藕粉汤圆、四喜汤圆、饺面、黄桥烧饼、大煮干丝、狮子头等，在东关街都能吃到。有些饭店就开在老宅子里，比如江南一品仲涵公馆（东关街312号），原来是银行家胡仲涵故居，现在主营盐商私房菜，不过也就图个老宅子里吃饭的气氛，游客一多上菜会很慢。若要购物，街上琳琅满目的小商铺中不乏百年老店。比如1830年的谢馥春（东关街243号），谢馥春鸭蛋粉被许多攻略称为“扬州必买手信”，很受姑娘们欢迎，注意百来块的才是用来擦脸的，二十来块的只能当固体香水，放在衣橱里，衣服都会变得很好闻。再比如1817年的四美酱园（东关街138号），买点酱菜回去，吃饭时和小伙伴们分享其乐无穷。写有“东关古渡”的牌坊西侧，是东门遗址，又叫双瓮城遗址，现在看到的城门是现代新建的。登上城门，可以俯看东关街全景，城楼内以展览馆的形式介绍扬州和东关街的文化历史，穿过城下的门洞，可以透过玻璃地板，看到底下唐宋时期的城墙遗址。想要游览东关街的景点，了解它的底蕴，从东门遗址开始是不错的选择。在东关街的盐商宅院中，比较值得一游的是个园，在园中钻假山很好玩，在个园的竹林里散步又很惬意。其他你还可以看看明清道观武当行宫等景点。东关街两边有很多叉出去的小巷，若要体味原汁原味的老扬州，就要到这些小巷中去，里面依然住着居民，和当地人聊聊天，能知道扬州人的祖祖辈辈都是生活在这样弯弯曲曲的巷陌里。长乐客栈也是东关街非常独特的地方，古色古香，既是酒店又是景点，涵盖钱业经纪人李鹤生的逸圃、清末民初盐商华友梅的华氏园、清代名将李长乐的将军府，住客若是细细参观这些景点，就可以消磨几小时。住在东关街，晚上可以再出来逛逛，建筑都亮了灯，一直到晚上九、十点街上人流依然熙熙攘攘，十分热闹。东关街南边300米是东圈门历史街区，与东关街平行，合称“双东历史街区”，可一并游览。,全年 全天开放,https://img1.qunarzz.com/travel/d2/1608/3a/1ef2379eb79e28b5.jpg_480x360x95_6b574d28.jpg,4.5,建议游览时间：1小时 - 3小时,,"{'东关街历史街区电子讲解服务大小同价\n\n': ['¥8起'], '【专职导游】扬州瘦西湖+个园或何园大明寺纯玩一日游\n\n': ['¥175起'], '【纯玩扬州】扬州瘦西湖+何园或个园+东关街纯玩一日游 多套餐可选\n\n': ['¥199起']}",,1
大明寺Daming Temple,http://travel.qunar.com/p-oi712604-damingsi,,,,,,,,,,1
渌洋湖湿地公园The Luyang Lake Wetlands Park,http://travel.qunar.com/p-oi9636643-luyanghushidigongyuan,"

地址:
扬州市江都区邵伯镇渌阳湖村

",进入正门，整齐排列的水杉即跳入眼帘，一株株水杉笔直矗。到了春天，养鱼户在池塘里放水养鱼，游客可以一边划着船，一边欣赏湿地池杉林。渌洋湖湿地公园内地势平坦，林木葱郁，空气清新，水乡风情浓郁，特别是以耐水湿树种池杉、落羽杉、水杉等为主的森林景观资源独具特色。渌洋湖湿地是典型的滩涂型湿地，目前核心区面积约有3200亩，区域内有粮田、林地、鱼池等丰富的自然资源和湿地文化资源。其中农业生产资源、水资源丰富，通过改造部分鱼塘、疏通水系、整治河道，合理进行项目设置，形成水陆结合的游览线。,全年 8:30-17:30,https://img1.qunarzz.com/travel/poi/1705/59/555a60c22243d837.jpg_480x360x95_cd00adf7.jpg,4.1,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,1
皮市街Pishi Street,http://travel.qunar.com/p-oi9192562-pishijie,"

地址:
扬州市广陵区皮市街

",皮市街曾是扬州“皮货一条街”。皮货自古至今都是时尚、高雅的象征。历史上富庶之地的扬州，当然少不了皮货生意，并形成了“皮货一条街”。这街道，便是皮市街。作为彰显古城历史老街特色的标志之一，皮市街选用的道路石材为花岗岩麻石。 皮市街的皮货经营者，多是外地人。他们把家乡的特色小吃也带入扬州，如羊肉店、蒸笼店、芝麻烧饼店、风箱店等。这些小店所在的小巷，久而久之就有了名儿，被称为羊肉巷、蒸笼巷、大芝麻巷、小芝麻巷、风箱巷等。现在，这些小巷依然依附皮市街而存在，虽然比较安静，但曾经的热闹，它们都是忠实的见证者。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1712/36/7d5342af313fb0b5.jpg_480x360x95_47309cf6.jpg,4.3,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
长乐客栈Changle Hotel,http://travel.qunar.com/p-oi10024528-zhanglekezhan,"

地址:
扬州市广陵区东关街357号


电话:
0514-87993333,0514-87807985

",长乐客栈（酒店）位于江苏省扬州市目前保存较完好、规模较大的成片历史街区—“双东”历史街坊之中。步入地处城市中心地段的 “双东”历史街坊，能让您感受到其历史的厚重和悠远，形式的自然和清新，是一片难得的恬静雅致之地。长乐客栈主要分为南北中3大区域。逸圃、李长乐故居、华氏园。这三大区域被赋予不同的功能。其中，逸圃（一号楼）东邻全国四大名园之一的个园。是钱业经纪人李鹤生所筑的。占地面积3300平方米，建筑面积1800平方米。以接待小型商务团队为主，是专属VIP贵宾区域。仅有的一套配有电梯，两层经典套房就藏密其中。走进逸圃大门，穿过一扇小门，走进一个小院落，一个方方正正的天井后面就是三间两厢的传统民居。走进面积约30平方米的西侧客房，俨然走进百年前的传统民居。酒店周边人文景点众多，大运河，瘦西湖，全国四大园林建筑之一的个园，武当行宫，汪氏小苑，准提寺，朱自清故居，史公祠，扬州八怪纪念馆等等各处景致无一不体现扬州地域人文风情。,全年 全天开放,,4.6,建议游览时间：0.1小时 - 0.2小时,,15元,,1
中国大运河博物馆,http://travel.qunar.com/p-oi37547570-zhongguodayunhebowuguan,"

地址:
扬州市广陵区开发东路(三湾湿地公园西北侧约150米)


电话:
0514-82773088


官网:
https://canalmuseum.net/

",中国大运河博物馆，简称“运博”，全称“扬州中国大运河博物馆”，位于江苏省扬州市广陵区开发东路（三湾湿地公园西北侧约150米），占地200亩，总建筑面积约8万平方米，隶属江苏省文化和旅游厅，是集文物保护、科研展陈、休闲体验为一体的地方现代化综合性博物馆，是大运河国家文化公园建设标志性项目，由南京博物院负责布展和运营。,全年 周二-周日 09:00-17:00,,4.5,建议游览时间：2小时 - 3小时,,,,1
