名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
木兰围场Mulan Weichang (“Hunting Ground”),http://travel.qunar.com/p-oi709622-mulanweichang,"

地址:
承德市围场满族蒙古族自治县哈里哈乡四御线(塞罕坝国家森林公园)


电话:
0314-7802673

",木兰围场自古以来就是水草丰茂的草原，使其在今天如此出名的原因，当首推清朝皇帝和今天的众多“辫子戏”。康熙几乎每年立秋之后都要到“木兰围场”参加秋猎，余秋雨在《出走十五年》里认为康乾盛世始自这位爷强健的身体和精神；电视剧《步步惊心》里也有对康熙塞外行围的描述；以乾隆帝为时间背景的电视剧《还珠格格》索性在木兰围场取景。我们在小说、电视剧里无数次看到清帝狩猎的桥段，可能对“木兰围场”的位置也只有个大概的了解，在承德的北边，古代的“塞外”。今天的木兰围场覆盖范围其实非常广阔，从承德市围场满族蒙古族自治县（以下简称围场县）往西北走，在河北省与内蒙古自治区交界处一带，都属于“木兰围场”。木兰围场主要包括河北省的塞罕坝国家森林公园、御道口草原森林风景区、红松洼国家自然保护区，和内蒙自治区的乌兰布统草原这四大景区。四大景区大致位置关系：塞罕坝在中间，御道口在塞罕坝的西南方向，红松洼在塞罕坝的东北方向，乌兰布统草原在塞罕坝的西北方向。从南方来的游客，去木兰围场的始发地围场县则在塞罕坝的东南方向。景区和景区之间都离得相当远，而且每个景区都很大，之中又包括许多小景点，所以游木兰围场要包车或自驾，美的景不见得在景区里，往往就在路上，车驶在广袤的草原上，沿途湖泊、河流、白桦林、偶尔掠过小片沙漠，大片的野花、成群的马匹，看到自己喜欢的景，车往路边一停，非常自由。包车的话要选择越野车，因为草原上有大坡，有容易让车侧翻的坑，有些地方还要趟水，参考价600-700元/天，旅游旺季可能要涨到1000元/天。这里四季景色不同，6月中-9月末是木兰围场较美的时间，夏季赏花，秋季赏秋色。6月初-8月中，狼毒花盛开；7月末-8月初，油菜花盛开；7月初-8月末，金莲花盛开；8月末-9月初，向日葵盛开。9月初-9月末，天气凉了，但能欣赏到油画般的秋景。而四时不变的日落与星辰，留住每一个旅客匆匆的脚步。至少在这里住一晚，只为塞外草原的日落和夜里多得数不清的星星。距离塞罕坝国家森林公园入口20公里左右的机械林场，乌兰布统草原里的红山军马场都有住宿，但是住宿条件有限，即使一些说是有好的宾馆，也是限时供应热水的。住宿点附近一般有卖草原特色美食，羊肉尤其好吃。除了辽阔的草原、星罗棋布的河流湖泊、万顷林海等自然景观，骑马也是这的特色，经过马夫的指导，普通的游客较多估计只能做到让马小跑，也已经非常刺激有趣。初次到木兰围场的游客，因为它的广阔，景点众多，可能会不知如何选择——都是草原，我去哪一片看呢？在这里，推荐一些出名的、好玩的点给大家。塞罕坝国家森林公园：景区里的七星湖几乎是每个去塞罕坝国家森林公园的游客都会去的地方，由七个小湖泊组成了一大片湿地，上修栈道，原名火泡子（“泡子”指草原上渗出的地下水自然形成的小湖泊），康熙火烧噶尔丹粮草就在这里。御道口草原森林风景区：桃仙湖是御道口较美的地方，湖泊南边有一座形状像仙桃的小山。红松洼国家自然保护区：景区位于草原深处，去的游客比较少，草原上大唐风电站的风车是亮点。乌兰布统草原：将军泡子是乌兰布统的标志性景点，因历史上康熙与噶尔丹的乌兰布统大战出名，作为游客到乌兰布统草原必去的景点，这里旅游设施相对丰富，但也因为成群的游客，原有的宁静被破坏，可以说是一个意义大于价值的景点。北沟是值得一去的景点，作为乌兰布统草原允许放牧的区域，“风吹草低现牛羊”的美景只有在这里才能看到，并且非常适合拍摄日落。乌兰布统还有一种滑翔机游乐项目挺有意思的，人可以在空中俯瞰乌兰布统全景，参考价300元/次。,全年 全天开放,https://img1.qunarzz.com/travel/d8/1506/89/4a34dd6d6902c4.jpg_480x360x95_d7926708.jpg,4.7,建议游览时间：6天 - 9天,游承德四季皆宜，冬天的承德虽然寒冷，但由于四周环山，阻滞了来自蒙古高原寒流的袭击，故温度要高于同纬度其他地区；夏季凉爽，雨量集中，基本上无炎热期，是旅游避暑胜地。如果想看优美的自然风光，4-10月份是最好的季节。然而你若是冲着草原去的，那么不必犹豫，7、8月的草原最为茂盛，一定会让热爱大草原的你满眼绿意，满意而归！7、8月份最佳，这时你可以驰骋在美丽的大草原上，享受风吹草低见牛羊的诗情画意。,"{'北京出发 8人Mini团/乌兰布统+木兰围场+塞罕坝3日游\n\n': ['¥1269起'], '乌兰布统+木兰围场+河北承德坝上草原+塞罕坝3日游秘制烤羊腿\n\n': ['¥1099起'], '承德出发/2-8人团/坝上草原木兰围场+乌兰布统草原+塞罕坝\n\n': ['¥1169起']}",木兰围场旅游提醒：1、冬季到围场摄影要注意防冻，使用电子快门相机时要多备一些电池，以免对景空叹。夏季要注意防止突如其来的大暴雨。2、木兰围场早晚温差较大，除带一些保暖的衣服外，防晒霜、防风的帽子和手套也应具备，还要有一双便于登山的鞋（马靴当地可以租到）；3、乘坐火车或公共汽车去围场的话，最好在围场县包租北京2020系列的吉普车去草原森林区，因为那里可供租用的车辆较少；4、头一次到围场坝上，又是自驾车的话，最好找个向导，省得多跑路；5、尽量避开双休日（双休日需要提前预订），否则住宿有可能是个问题。木兰围场旅游准备：1、游玩木兰围场一般需要两三天时间。2、人多可以砍价，至少也要讲成半价。3、木兰围场早晚温差较大，除带一些保暖衣服外，防风帽和手套也不可少，特别是一双便于登山的鞋，当地可以租到马靴。木兰围场摄影须知：冬季到围场摄影要注意防冻，使用电子快门相机时要多备一些电池，以免对景空叹，夏季要注意防止突如其来的大暴雨。,1
丰宁坝上草原Bashang Grasslands,http://travel.qunar.com/p-oi711273-fengningbashangcaoyuan,"

地址:
承德市丰宁满族自治县大滩镇榆树沟


电话:
0314-8280094

",丰宁坝上草原位于河北省丰宁县西北部，以大滩镇为中心，紧邻S244省道，距离北京市区很近。这里洼水清澈，青草齐肩，牛羊成群，生态环境优良。另外，因为开发的时间较早，各种配套设施也较齐全。每年的七、八月间，当北京还是炎热的桑拿天的时候，草原气温也只有18-20度左右，此时景色美丽，非常适合来这里旅游。这里不仅有“天苍苍，野茫茫，风吹草低见牛羊”的迷人草原景色，更有丰富多彩的娱乐活动，骑马、开越野摩托、参加篝火晚会、欣赏民族歌舞和马术表演等，应有尽有。不过，假使你是冬天来的，部分游乐设施可能会关闭，景色也不如夏秋那么美丽。由于草原的交通并不便利，因此来这里的人基本上都选择自驾，这里距承德250公里，南距北京280公里，开车大约4-5小时就可到达。沿着公路前行，两边风景独好，走到哪里，哪里就是景点。你可以仰望湛蓝的晴空，欣赏变幻的白云，拥抱碧绿的草原，采摘遍地的各色野花，放声歌唱，或摆出不同的Pose，或抓拍，放松自己的心情，尽情呼吸清新的空气。,全年 全天开放,https://img1.qunarzz.com/travel/d5/1505/e1/ca45edd2953300.jpg_480x360x95_558d2df1.jpg,4.5,建议游览时间：3天 - 6天,春天可以到大草原上欣赏绝美的草原风光；夏天可以到草原上避暑，一享夏日的清凉；秋天来看层林尽染的美丽画面；冬天则可以到草原上一览草原的深沉与厚重，是广大摄影爱好者向往的地方。五月到十月是去坝上草原旅游的最好时间，此时草肥花美，天气晴朗，风景如画，温度适宜。,无需门票，景区内部分景点需另外收费。,1、坐车前往坝上草原的路上多有山路，常有颠簸，容易晕车的人最好带上晕车药；2、坝上温度较低，夏季前去最好带上外套备用；去草原也要注意防晒，正午时的太阳紫外线会很强，要备上防晒霜、防晒服；穿舒适的衣服和鞋子3、草原多有蚊子，最好带上花露水、风油精之类的；4、暑假期间是旅游热季，最好先预定上酒店或农家乐。5、草原上的娱乐活动价格都比较贵，建议可以适当还价。6、不能在草原上开车，注意保护环境，请自带垃圾袋。7、骑马需注意安全，如果第一次骑，最好由专业人士指导。,1
磬锤峰国家森林公园Qingchui Mountain National Forest Park,http://travel.qunar.com/p-oi704209-qingchuifengguojiasen,"

地址:
承德市承德县磬锤峰国家森林公园内


电话:
0314-2057090

",磬锤峰国家森林公园位于河北承德市承德避暑山庄东侧，与安远庙和普乐寺紧邻。景区内以一座形似棒槌的磬锤峰（又名棒槌山）为主体，还有蛤蟆石等多块造型独特的巨石，适合摄影拍照。景区内还有一座清末的寺院宝山寺，寺内的摩崖石刻生动精美，可以参观。另外，登上磬锤峰远望，避暑山庄和外八庙的宗教建筑等全部映入眼帘，壮观开阔。磬锤峰景区的游玩路线较为简单，景区大门位于西侧，从此处向磬锤峰步行约2公里左右，然后爬升400级台阶到达磬锤峰上的平台左龙脊处，观看磬锤巨石，俯瞰...磬锤峰国家森林公园位于河北承德市承德避暑山庄东侧，与安远庙和普乐寺紧邻。景区内以一座形似棒槌的磬锤峰（又名棒槌山）为主体，还有蛤蟆石等多块造型独特的巨石，适合摄影拍照。景区内还有一座清末的寺院宝山寺，寺内的摩崖石刻生动精美，可以参观。另外，登上磬锤峰远望，避暑山庄和外八庙的宗教建筑等全部映入眼帘，壮观开阔。磬锤峰景区的游玩路线较为简单，景区大门位于西侧，从此处向磬锤峰步行约2公里左右，然后爬升400级台阶到达磬锤峰上的平台左龙脊处，观看磬锤巨石，俯瞰山下全景。然后前往其他两个主要景点，其中蛤蟆石在磬锤峰旁约500米处，而宝山寺距离磬锤峰两三百米，就在磬锤峰到山下的石阶路旁，步行一一参观即可。参观结束后原路返回到景区大门，整个游玩时间约需3小时左右。从大门处步行爬山到磬锤峰上大约需要一个多小时，如果体力不足也可以乘坐景区索道，索道往返80元，单程50元，单程时间约为15分钟，从景区大门乘坐索道可以到达山脚下，再沿石阶登到山上约需20分钟时间。磬锤峰又称棒槌山，山峰是一个巨大的石柱，呈一个棒槌形状。整个石柱高约38米，连同底座的海拔为596米，是附近区域高的山峰，在前往承德避暑山庄的路上远远便可以望到。登上平台后便可以近距离的接触和拍摄山峰，附近的避暑山庄和外八庙全景也映入眼帘，是拍照的好地方。山峰的腰部有一颗扎根于石柱的三米多高的桑葚树，已有三百多年的树龄，非常神奇。另外，磬锤峰在当地还有很多传说，其中一个叫“摸摸棒槌山，活到一百三”，很多游客会在平台处抚摸石柱祈祷长寿吉祥。蛤蟆石位于磬锤峰旁约500米处，是一块形状好像蛤蟆的巨石，可以前去拍摄一下。除了蛤蟆石外，附近还有多块形状独特的巨石，在路上便能看到。宝山寺则位于磬锤峰与山脚相接的石阶路旁，修建在石壁之上，寺院的建筑很小，并不显眼，但是寺内有几处生动静美的摩崖石刻，镌刻了宗喀巴、吉祥天母等多尊藏传佛教的形象。这座寺院和石刻相传都是由清末的僧人麻祥一人建成，建成后他便在宝山寺终生念经直到圆寂，参观这些建筑和石刻，也让人不禁感叹信仰的力量和僧人的虔诚。,10/10-3/31 08:30-16:30,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1560106820547100i15000000xhe6l2F01_D_640_10000.jpg_480x360x95_0798972e.jpg,4.6,建议游览时间：3小时 - 4小时,,"{'磬锤峰景区国家森林公园(含普乐寺、安远庙)门票成人票\n\n': ['¥50起'], '磬锤峰景区国家森林公园(含普乐寺、安远庙)门票老人票\n\n': ['¥25起'], '磬锤峰景区国家森林公园(含普乐寺、安远庙)门票优待票\n\n': ['¥25起']}",,1
雾灵山Mount Wuling,http://travel.qunar.com/p-oi708439-wulingshan,"

地址:
承德市兴隆县雾灵山乡眼石村北1公里左右雾灵山景区正门（南门）


电话:
0314-5082628,0314-5082744,0314-5083938


官网:
http://www.wulingshan.com.cn/

",雾灵山横跨河北承德得兴隆县和北京的密云县。景区有三个大门：正门（也叫南门）、北门、西门，正门在兴隆县，北门、西门则在密云县。雾灵山包含仙人塔、清凉界、龙潭和五龙头四个景区。除了龙潭景区内不通公路需靠脚走外，其余的三个景区内都有公路。仙人塔景区：河北承德兴隆县以北是雾灵山的正门，从正门进去就是仙人塔景区，景区内有名得景点是仙人塔和十八潭。仙人塔是自然风化形成的石塔，突兀直立，蔚为壮观。十八潭是在一段长约3公里的峡谷内分布着的18个潭水，瀑布与潭水相连，到处都是灵动的水景。清凉界景区：北京密云县曹家路村往东约5公里是雾灵山的北门，北门一进去就到达清凉界景区，有名的景点是明代刘伯温手书的“雾灵山清凉界碑”。景区植被丰盛，空气清爽，夏天可来此戏水、看瀑布，是避暑胜地。龙潭景区：北京密云县曹家路村往南约6公里是雾灵山的西门，西门进去是龙潭景区，适合喜欢徒步的游客。作为四个景区里不通公路的景区，自驾游客若想去，可以从正门或者北门进，把车开到龙潭停车场，下车坐索道进入龙潭景区。龙潭瀑布是整个景区的亮点，以落差大、形态美而著称。五龙头景区：该景区是雾灵山主峰歪桃峰所在地，登顶往东南侧望，能看见五座龙头状巨石，俗称“五龙头”。从龙头向周围伸出的五条山岭就是五条巨龙，据说这五条山岭的长短、间断与否代表了埋在清东陵五个皇帝（顺治、康熙、乾隆、咸丰、同治）的命运。因为这里是欣赏云海、日落、日出和星星的好地方，所以许多游客会选择在此住宿一晚。,全年 03:00-21:00,https://img1.qunarzz.com/travel/d7/1701/2c/088ad861fb5de0b5.jpg_480x360x95_e0db9cae.jpg,4.5,建议游览时间：3天 - 6天,4-10月份为最佳,具体收费情况以现场公示为准,,1
避暑山庄Chengde Mountain Resort,http://travel.qunar.com/p-oi704063-bishushanzhuang,"

地址:
承德市双桥区丽正门路20号


电话:
0314-2161132,0314-2025918

",避暑山庄始建于1703年，历经清朝康熙、雍正、乾隆三朝，耗时89年建成，是清政府与外国使者、边疆少数民族会晤场所，也是除了北京以外清朝的第二个政治中心。它体现了清政府在外交政策上“软”的一面，外来使者不用长途进京也能与清政府交流，把复杂的政治目的化为幽静园林中的一团和气。山庄分四大区域，南边是宫殿区和湖区，北边是山区和平原区，其中宫殿区和湖区是避暑山庄的精华所在。宫殿区：避暑山庄正门（位于丽正门大街上）一进去，就能看到宫殿区，所以一般最先游览宫殿区。因为避暑山庄是清政府与外会晤的地方，以接待外宾的礼仪来建造山庄，所以规格极高，相当于故宫的规格，同时为了在外宾面前展现中华民族传统美德谦逊、节俭的一面，宫殿区在整体布局上显得古朴、大方，但是在建筑用材上又很名贵，主殿澹泊敬诚殿全部用楠木造成，标准的“低调的奢华”，在设计上可谓“煞费苦心”。从挂有“避暑山庄博物馆”牌匾的门进入，宫殿区的游览就开始了，依次看过挂着康熙御笔“避暑山庄”四字牌匾的阅射门、主殿澹泊敬诚殿、死过嘉庆、咸丰两任皇帝的烟波致爽殿等，大概最多2个小时能游览完宫殿区。从后门出，下一个坡，就到了去山区游览的环山车上车点。山区：如果时间足够，宫殿区游览完顺路坐环山车游览山区，时间有限的话，可以放弃山区直奔湖区。山区占了避暑山庄面积的五分之四，富家大户造园林，弄几座小假山点缀多得是，真正把莽莽群山圈进来的，却闻所未闻，康熙在造避暑山庄时的深意，大概是叫后世子孙不要忘记自己的民族来自遥远的群山之外，也不要忘记群山之外虎视眈眈瞧着自己版图的外族。一路坐环山车会经过不少景点，但是只能在车上看看，会放游客下来游览的只有“四面云山”，“二马道”，“青枫绿屿”三站。三站中比较有意思的是“二马道”，站在避暑山庄的围墙上，可以看到外八庙（为与清朝会晤的少数民族建立的宗教场所）中的普陀宗乘之庙（俗称“小布达拉宫”）和普宁寺，小布达拉宫的金顶在阳光下闪闪发光，尤为显眼。环山车到了“芳园居”那便是终点站了，芳园居就在如意湖西岸，下车后可以直接游览湖区。湖区：在北方之所以会有避暑山庄这样湖面上的亭台楼阁，源于康熙、乾隆两位皇帝对于江南景色的喜爱，湖区虽仿江南建筑与水相结合的特点，却又比江南的小桥流水大气得多。山庄共有“康乾72景”——康熙题字36景，乾隆题字36景。要想把72景集全其实不太可能，有些景很小，走走不注意就错过了。72景中却有31景在湖区，游览湖区相当于游览72景的“浓缩版”。其中烟雨楼是必去的，模仿嘉兴南湖的烟雨楼而建，是电视剧《还珠格格》的拍摄地之一。在湖区还可以坐一坐脚踏船，泛舟湖上，参考价50元/小时。平原区：位于山区和湖区之间，从湖区贴着山庄的东边往北走即到。平原区的西部是草原，以皇帝举行赛马活动的试马埭为主体；东部是林地，称万树园，园中有不同规格的28座蒙古包。平原区还有曾藏《四库全书》的皇家藏书阁文津阁，永佑寺、春好轩、宿云檐等建筑。如果你对清朝历史特别感兴趣并且有点研究，山庄中众多碑刻值得细细玩味。避暑山庄的建造者不会想到，百年后这里会成为旅游胜地，碑刻上咬文嚼字的固然有，可更多的是给自家人说的体己话。比如乾隆曾在内松云峡的同一座石碑上先后作下六首诗表达自己功成名就后想要做一只闲云野鹤的愿望，他的儿子嘉庆读后只能默默地在边上的碑刻上表示：父亲的诗真是深奥，我感到压力山大（瞻题蕴精奥，守位重仔肩）！避暑山庄周边有普陀宗乘之庙（俗称“小布达拉宫”）、普宁寺、磐锤峰景区，可一并游览。山庄内没有什么吃饭的地方，建议游览时间长、喜欢慢慢看的游客自备些干粮。不过山庄外特色餐饮小店不少，出山庄后可以去尝尝承德的特色菜，有羊汤、烙糕、鲜花玫瑰饼、南沙饼、御土荷叶鸡等。,11/1-3/31 08:00-17:30,https://img1.qunarzz.com/travel/d4/1602/5a/a7c0e80136df0ff7.jpg_480x360x95_212d3841.jpg,4.5,建议游览时间：12小时 - 3天,4-10月份为最佳,"{'避暑山庄门票成人票\n\n': ['¥90起'], '避暑山庄门票老人票\n\n': ['¥45起'], '避暑山庄门票优待票\n\n': ['¥45起']}",1、山庄周围宾馆很多，山庄内的宾馆条件差而房价贵，如果是为了省门票而入住没有什么必要，唯一的好处是可以领略山庄夜景。2、游览避暑山庄强烈建议请导游，或至少蹭听。不但能增长很多人文历史知识，也能听到各种有趣传说，为美景增色不少，而且很多精华点位置较为偏僻或乍看不引人注目，有人指点才不会错过。 3、湖州区是山庄风光最为秀丽的地方，荡舟湖上会是不错的选择，租船点在如意湖西岸，有普通手划船、龙头手划船、脚踏船可供选择，租金依次为每小时10元、14元、20元，押金为50元、100元、100元。 4、正宫、松鹤斋、东宫和万壑松风四处建筑，现已辟为博物馆，用于清代宫廷史记和宫廷艺术品展出。5、山庄里有专门的环山游览车，每人50元。此路线可游览大部分景区景象，有的路况较为险要，切记安全第一。,1
塞罕坝国家森林公园Saihanba National Forest Park,http://travel.qunar.com/p-oi719350-saihanbaguojiasenlingong,"

地址:
河北承德市围场满族蒙古族自治县北部


电话:
0314-7802673,0314-7802275

",塞罕坝国家森林公园位于承德市围场县，是木兰围场的一部分。这里有广袤的草原和森林，还有湖泊和山丘点缀其间，一片塞外风光，景色优美。每到秋季，森林和草原上红黄遍野，更是格外漂亮，是摄影师们的喜爱。另外，塞罕坝距离北京不远，是京郊地区可以方便的一睹塞外风光的较佳去处。塞罕坝国家森林公园面积很大，长宽都有十几公里，里面包含了小镇和很多个景区，车辆可以开入。现在景区没有区间车，没有办法通过公共交通出游，适合自驾和包车出行。现在塞罕坝森林公园与南侧的御道口风景区售联票130元，另有150元的联票包含这两个景区和东北侧的红松洼景区。塞罕坝和御道口不单独售票，所以进入景区后即可一并游玩，红松洼是可选项。游览一共需要两到三天左右，包括塞罕坝和御道口景区，若时间充裕可以加上红松洼。北京到景区自驾的车程约7小时左右，理想的情况是第一天的晚上就到达围场县或景区内，之后游玩一天半，第三天的下午返回。若从北京出发至返回一共只有两天也可以游玩，不过会稍微有些赶。若有三整天则在两天的基础上加上北部的红山军马场景区。塞罕坝森林公园景区内有七星湖、太阳湖、泰丰湖、白桦林、月亮湖等较大的景点，还有赛罕塔、点将台等多个小景点，既有自然风光也有人文遗迹，进入景区后自驾或包车游玩即可。游玩是以景区内的机械林场为中心的，机械林场又叫林场镇，是一个小镇子，前来游玩的游客均会住宿在这里。主要景区中，月亮湖位于机械林场的东侧，七星湖、泰丰湖位于北侧，桃山湖和太阳湖位于西侧，而御道口景区则位于南侧。一般游客是由南侧而来，第一天游玩御道口和月亮湖景区，第二天游玩西侧和北侧几个景区比较合适。在众多景点中，七星湖、太阳湖和月亮湖是很有名和受游客喜爱的景点，前来游玩一定不要错过。七星湖位于林场北侧3公里，有七个小海子，形状好似北斗七星，周围以草原为主，水草丰茂，十分漂亮。太阳湖则是一个形似太阳的圆形湖泊，旁边有茂密的森林，每到秋季时，这里也是游客很喜欢的摄影之地。月亮湖形似弯月，特点是附近的草原上有很多风车，拍照十分漂亮。而且月亮湖处还有一个小游乐园，有简单的旋转木马等项目，湖上还可以划船，收费一般几十元左右，非常适合带小朋友前来。住宿信息在景区内住宿的主要地点即为机械林场，这里有多家宾馆和农家小院，农家的标间约在150元左右，宾馆标间在200-400元不等，每年9月下旬到十一假期期间为摄影旺季，农家标间会涨价到150-300元不等，宾馆也会有一定涨幅，而且此时房间紧张，需要提前预定。另外，景区内还可以露营，露营比较推荐的地方是在月亮湖附近，不过要注意天气，草原上昼夜温差较大，在天气较凉时尽量选择住宿宾馆，以免着凉。餐饮信息用餐一般也是在林场镇，镇上有多家餐馆，一些住宿的农家里也提供餐食，价比外面稍贵一些，但不会特别离谱，除了烤全羊等大件的特色菜价容易与外面差距较大，普通饭菜的价大部分游客都还是可以接受的。但游玩前还是需要准备一些食品带入，因为除了林场镇外其他地方吃饭都较为不便，需要吃自备的干粮。,景区已正常营业,https://img1.qunarzz.com/travel/d1/1704/cf/f08058d8959f4fb5.jpg_480x360x95_a44f4d5c.jpg,4.5,建议游览时间：6天 - 9天,夏、秋两季最佳，特别是夏天到此地避暑再合适不过了；而秋天风和日丽，同样适宜度假休闲。,两景区联票:塞罕坝国家森林公园、御道口景区130人民币；三景区联票:塞罕坝国家森林公园、御道口景区、红松洼150人民币 。景区没有单独售票,1. 景区门口有一些拉客的野导，尽量不要搭理，去野导介绍的住宿地反而会更贵，一路游玩购物也会被抬价。2. 不建议购买当地镇上兜售的榛子、杏仁等山货，质量没有保证，而且经常出现短斤少两的情况。3. 草原上昼夜温差很大，要备好御寒衣物，不要着凉。4. 草原天气变化较快，最好准备雨伞或雨衣，防晒霜、帽子、头巾等防晒和防风的工具建议也准备一下。5.景区很大，建议提前规划好时间和路线,1
普宁寺Puning Temple,http://travel.qunar.com/p-oi703248-puningsi,"

地址:
承德市普宁路普宁寺


电话:
0314-2058209,0314-2058125

",普宁寺俗称大佛寺，位于承德避暑山庄的北侧，是我国北方较大的藏传佛教寺庙。寺庙建于清朝乾隆时期，是由乾隆皇帝为会盟的蒙古王公修建的一座藏传佛教寺庙。整个寺庙建筑恢宏精美，可以前来参观、拍照。寺内曾有众多的高僧造访加持，来此拜佛祈福也十分不错。普宁寺的规模很大，纵深约有250米左右，宽约有130米，在寺内步行参观、拜佛大约需要2小时左右。寺院的建筑十分独特，前院内均是汉式建筑，这里有传统的中式山门、天王殿、配殿和大雄宝殿等建筑。而后院则是典型的藏式建筑，以壮观的大乘之阁为中心，有一群仿造西藏有名的桑耶寺而建的建筑，在这里可以看到白墙红顶的藏式楼宇，可以参观拍照。进入寺内可以在各个殿中拜佛祈福，一般需要付几十元左右的香火费用。寺内很值得进入一看的是位于后院正中大乘之阁内的千手千眼观音，观音像高约三十多米，是世界上较大的木雕佛像，特别珍贵和壮观，一定要进入参观、参拜。另外，普宁寺的殿东侧有普佑寺，是普宁寺的附属寺院，就位于普宁寺院内，门票也包含在普宁寺门票内，可以一并步行参观。,11/1-3/31 08:30-17:00,https://img1.qunarzz.com/travel/d9/1506/58/1e146e03a7057e.jpg_480x360x95_c93d0a62.jpg,4.7,建议游览时间：2小时,4-10月份为最佳,"{'普宁寺门票成人票\n\n': ['¥45起'], '普宁寺门票老人票\n\n': ['¥22起'], '普宁寺门票优待票\n\n': ['¥22起']}",,1
热河泉,http://travel.qunar.com/p-oi711732-rehequan,,在避暑山庄湖区东北隅。是山庄湖泊的主要水源。其地流泉四涌，汇成碧波千顷，源远流长。严冬季节，热气蒸腾，有云蒸霞蔚之状；夏季清澈晶莹，冷砭肌骨。清帝曾夸它：“名泉亦多览，未若此为首”。湖畔立一块自然石，上刻“热河泉”三个秀美的大字。这里是热河泉的源头，清澈的泉水从地下涌出，流经澄湖、如意湖、上湖、下湖，自银湖南部的五孔闸流出，沿长堤汇入武烈河。因此，1933年泉旁曾树一碑，上刻“热河”二字，被当作世界上最短的河而列入《大英百科全书》，一时名扬于世。,,https://img1.qunarzz.com/travel/d8/1702/6a/a75e63816911cdb5.jpg_480x360x95_957b240f.jpg,4.7,,,,,1
月亮湾温泉度假Moon Bay Hot Spring Resort,http://travel.qunar.com/p-oi35214315-yueliangwanwenquandujia,,河北省重点生态养生项目—承德月亮湾温泉山庄，是一家集温泉酒店、绿色餐饮、生态养殖、种植，原生态采摘园于一体的综合性养生旅游企业。2010年起，承德月亮湾温泉山庄开发在风景秀美的皇家避暑养生胜地——温泉集中区隆化七家镇，占地300余亩，由大型种植园区、特色四合院、和别墅组成。山庄内，林深树密，鸟语花香，蝶蜓飞舞，河溪萦绕，这里春游山花烂漫，夏享避暑休闲，秋观层林尽染，冬览林海雪原，“月老泉”边月下老人的神话传说，魂牵梦绕。这里集温泉文化，生态观光旅游、休闲养生、采摘垂钓、会议住宿、餐饮娱乐于一体的综合性温泉生态旅游度假圣地。月亮湾温泉生态自驾车度假营地‘山不高而清秀、水不深而旷远’自然旅游资源和温泉资源得天独厚，原汁原味：度假山庄本着返璞归真，回归自然的休闲理念让您置身于山水园林的自然原生态环境中，使人心旷神怡、流连忘返。,,,--,,,具体收费情况以现场公示为主,,1
金山岭长城Jinshanling Great Wall,http://travel.qunar.com/p-oi701842-jinshanlingzhangcheng,"

地址:
河北省承德市滦平县巴克什营镇花楼沟村


电话:
0314-8830222,0314-88030555


官网:
http://www.jinshanlingchangcheng.com/

",金山岭长城位于河北省承德市滦平县与北京市密云县交界处，距离北京市区约130公里、承德避暑山庄80公里。由戚继光担任蓟镇总兵官时期（1567年—1582年）主持修筑，是万里长城的精华地段。因其视野开阔、敌楼密集、景观奇特、建筑艺术精美、军事防御体系健全、保存完好而著称于世，素有“万里长城，金山独秀”之美誉。长城西起龙峪口，东至望京楼，全长10.5公里，有关隘5处，敌楼67座，烽燧3座。 金山岭长城依然较好的保持了原貌，具有古朴纯粹的感觉。,4/1-10/31 05:00-18:30;11/1-3/31 06:00-18:00,https://img1.qunarzz.com/travel/d2/1512/91/28fee9744d6a18f7.jpg_480x360x95_ebe43a4d.jpg,4.8,建议游览时间：21.6小时 - 3天,4-10月份为最佳,"{'金山岭长城门票成人票\n\n': ['¥62起'], '金山岭长城往返索道票成人票\n\n': ['¥60起'], '金山岭长城上行单程索道票成人票\n\n': ['¥40起']}",,1
