名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
王安石纪念馆Wang'anshi Memorial Hall,http://travel.qunar.com/p-oi701650-wanganshijinianguan,"

地址:
抚州市临川区赣东大道1085号


电话:
0794-8222249

",抚州王安石纪念馆是为纪念我国北宋有名政治家、思想家、文学家王安石建立的历史名人纪念馆，一九八六年十一月建成对外开放。纪念馆占地20亩，建筑面地1560平方米，是一座仿宋园林式建筑。馆内门楼，隐壁、水榭、游廊、碑廊、亭台、荷池、曲桥与主楼相得益彰，浑成一体。榻山飞檐、圆柱筒瓦、花格门窗的结构和采用灰黑、全白的色调使整个建筑显得古朴淡雅，庄重严谨。馆内辟有“明月轩”、“蹄蠋园”、“辛夷园” 、“荆公亭”、“半山堂”等景致。主楼为两层陈列厅，介绍王安石生平事迹。一楼陈列“故里情深”、“治善州邑”、“荆公新学”、“熙宁变法”四部分。二楼陈列“文学造诣”、“人文品格”、“终老金陵”、“千秋评说”四部分。整个展厅通过照片、图表、国画、雕塑、实物展示了王安石一生业绩和其改革家的胆魄、文学家的风貌。陈列厅里有王安石在元丰八年亲笔书写的《楞严经旨要》复印件，有王安石不同时代不同版本的王安石作品，以及国内外学者有关王安石的评论、论文。纪念馆收藏有当代有名书画家刘海栗、肖娴、赖少其、方增先、施大畏、陆颜少等一些社会名家赠给纪念馆的书、画作品三十余件。全国政协副主席、有名书法家赵朴初为纪念馆题写馆名。纪念馆每年都接待了许多中外游客，已成为广大群众游览、受教育、对外进行文化交流和传播友谊的场所。一九九四年被省委、省政府命名为“江西省爱国主义教育基地”。,周二-周日9:00-17:00（16:30停止登记入馆），周一闭馆（国家法定节假日除外）。,https://img1.qunarzz.com/travel/d1/1710/9b/e29989f823ebceb5.jpg_480x360x95_c36c19ff.jpg,4.4,建议游览时间：1小时,,{'王安石纪念馆电子导览票大小同价\n\n': ['¥7起']},,1
大觉山Dajue Mountain,http://travel.qunar.com/p-oi715239-dajueshan,"

地址:
抚州市资溪县建设路60号


电话:
0794-5796906,0794-5780255


官网:
http://www.jxdjs.com

",大觉山，源于佛教中的佛陀，指有觉悟的修行之人；是世界佛教自然文化大公园。大觉山位于抚州市资溪县境内，分别为东区和西区，东区以30万亩原始森林为核心的原始森林旅游区；西区以宗教文化、峡谷漂流为主体的综合型旅游景区。大觉者峰是大觉山的核心景观，状若大彻大悟的释迦牟尼，层岚叠嶂，崇山峻岭之间，观世音自然景观从容自然，天赐美景，隐藏着大自然无尽的神秘和奥妙。在海拔300米至1200米之间打造摆渡观光车，独轨观光车与索道、隧道、游步道为一体形成了30公里游览环线。在景区范围内乘坐环线游览观光，串联起规划中的山顶寺庙及沿线崖壁景观。隐藏着山峰、湖泊、亭台、洞穴、轩阁、天湖、天路、天桥、天岩、天泉、天门、天台、天街、天界构成奇妙的“九天”景观；大觉山“九天”之下的莲花峰、神龟峰、笔架峰、翠屏峰、将军峰、文曲峰、叠罗峰、金刚峰等8座山峰拔地而起，构成“八地”景观。置身“九天八地，百景观”，饱览全景，美不胜收顿悟确实是“神山圣水，觉者天堂”。登上大觉山，就来到高山洞穴中的大觉岩寺，梵音袅袅，香烟缭绕。大觉岩寺始建于东晋咸和年元年（公元326年），距今已有1700年的历史，唐代高僧——杭州灵隐寺的大觉禅师避世离尘，曾云游至此，参禅礼佛，大觉岩寺由此得名。大觉岩为一巨大的花岗岩洞，岩洞前低后高，深69米，宽99米，高19米，实属罕见，寺院由大雄宝殿、地藏殿、观音殿、伽蓝殿等七部分组成，形成三教合一的综合型寺庙。寺庙西侧的“八仙洞”“读书岩”，特为奇妙。坐落在深山峡谷中的大觉山古镇，古往今来，见证了无数朝圣信徒的脚步，激发了历代文人墨客的豪情，如今的大觉山古镇，凌空而建，以建筑为形，文化为魂，融入一河三街六巷九府，再现大宋风骨，成为禅修静养，休闲度假的胜地，续写着千年繁华，电视剧《天仙配后传》便是在此取景拍摄。,全年 08:00-17:00;11/1-4/30(冬季) 08:00-16:30,https://img1.qunarzz.com/travel/d2/1507/fe/e0e7104b41190e.jpg_480x360x95_29d01042.jpg,4.5,建议游览时间：3天,四季皆宜。,"{'大觉山门票老人票\n\n': ['¥25起'], '大觉山门票+观光车票成人票\n\n': ['¥80起'], '大觉山门票+观光车+飞拉达攀岩套票大小同价\n\n': ['¥118起']}",,1
白马寺,http://travel.qunar.com/p-oi714380-baimasi,,在金溪黄通乡黄通村东南5公里的白马峰上，始建于北宋初年。相传本地一江姓进士隐居家后，在山顶盖起一屋，取名“玉马祠”，后一吴僧在屋旁建起一幢寺庙。一日，吴僧迎来一位身骑白马的道长，二人对话片刻，见栓在寺外的白马腾空而起，道长也无踪无影。于是，吴僧便将此寺命名为“白马寺”。“文革”期间，白马寺被毁。1978年后，白马寺拔地而起。1992年，经县人民政府批准对外开放。新建的白马寺古色古香，寺中大雄宝殿金碧辉煌，寺左石砌“古城”形象逼真。寺东数百步有一悬崖石壁，...在金溪黄通乡黄通村东南5公里的白马峰上，始建于北宋初年。相传本地一江姓进士隐居家后，在山顶盖起一屋，取名“玉马祠”，后一吴僧在屋旁建起一幢寺庙。一日，吴僧迎来一位身骑白马的道长，二人对话片刻，见栓在寺外的白马腾空而起，道长也无踪无影。于是，吴僧便将此寺命名为“白马寺”。“文革”期间，白马寺被毁。1978年后，白马寺拔地而起。1992年，经县人民政府批准对外开放。新建的白马寺古色古香，寺中大雄宝殿金碧辉煌，寺左石砌“古城”形象逼真。寺东数百步有一悬崖石壁，高达数十米，俗称“仙女照镜”。寺后有一棋盘井，终年清泉潺潺，供寺庙烧香待客、僧侣沐浴之用。千变万化的四时景色，以及诸多的美丽传说，每年都要吸引数千名香客游人前往烧香旅游。,,https://img1.qunarzz.com/travel/d1/201407/26/4f3f9a017b0e8167c8d65eac.jpg_480x360x95_36f9b281.jpg,5.0,,,,,1
疏山寺,http://travel.qunar.com/p-oi714277-shushansi,,疏山寺古刹位于抚河右侧，距江西省金溪县浒湾镇四公里。寺周五峰错落，风景优美，寺前平川五百余亩。青山似黛，绿水长流；疏山八景，如诗如画，真乃人间仙境。疏山寺始建于唐，重建于明，大修于1981年。唐中和三年，抚州刺史危全讽上表朝廷拨银筹款，同年唐禧宗御笔亲书“敕建”二字，至今仍高悬于天王殿门前。及成，十方信士云集，僧众千名，佛像三千。斗转星移，时光流逝，本寺几经仓桑。明洪武二十八年钦命北京龙虎寺道性禅师来寺为主持；清初，朝廷又派杭州云隐戒显大法师为本寺方...疏山寺古刹位于抚河右侧，距江西省金溪县浒湾镇四公里。寺周五峰错落，风景优美，寺前平川五百余亩。青山似黛，绿水长流；疏山八景，如诗如画，真乃人间仙境。疏山寺始建于唐，重建于明，大修于1981年。唐中和三年，抚州刺史危全讽上表朝廷拨银筹款，同年唐禧宗御笔亲书“敕建”二字，至今仍高悬于天王殿门前。及成，十方信士云集，僧众千名，佛像三千。斗转星移，时光流逝，本寺几经仓桑。明洪武二十八年钦命北京龙虎寺道性禅师来寺为主持；清初，朝廷又派杭州云隐戒显大法师为本寺方丈。本寺名扬于海内外，历代帝王和文人墨客，留下不少的著名诗篇，唐禧宗、宋太宗、宋真宗书写了御扁；王安石、曾巩、汤显祖、晏殊父子、陆游、陆象山等...,,,4.3,,,,,1
流坑古村Liukeng Ancient Village,http://travel.qunar.com/p-oi705028-liukenggucun,"

地址:
抚州市乐安县牛田镇流坑村


电话:
19318841794

",,全年 08:30-17:00,https://img1.qunarzz.com/travel/d2/1507/ff/70ee8060efe25e.jpg_480x360x95_7a0d9585.jpg,4.4,建议游览时间：2小时 - 3小时,,"{'流坑古村门票票成人票\n\n': ['¥74起'], '流坑古村门票票优待票\n\n': ['¥40起'], '流坑古村电子导览票大小同价\n\n': ['¥5起']}",,1
麻姑山Magu Mountain,http://travel.qunar.com/p-oi705008-magushan,,,,,,,,,,1
汤显祖纪念馆Tangxianzu Memorial Hall,http://travel.qunar.com/p-oi714241-tangxianzujinianguan,"

地址:
文昌大道1325号


电话:
0794-8220366


官网:
http://www.txzjng.cn/

",汤显祖纪念馆位于江西省抚州市，是为纪念我国明代伟大的戏剧家、文学家汤显祖而建立的名人纪念馆。此馆在1995年10月建成并对外开放，是在抚州市汤显祖陈列室基础上组建的文化事业单位。此馆设有群工部、园林部、经营部和办公室等。在2001年该馆被评为江西省爱国主义教育基地。,9:00-17:00，16:30停止入馆；周一闭馆（节假日正常开放）。,https://img1.qunarzz.com/travel/d7/1801/71/e9f2acc7ccfea1b5.jpg_480x360x95_492900a5.jpg,4.4,建议游览时间：2小时 - 3小时,,,,1
军峰山Junfeng Mountain,http://travel.qunar.com/p-oi715316-junfengshan,, 军峰山位于神岗乡东南部，与南丰县境接壤，山东面属南丰县，主峰海拔1760.9米，插入云霄。周围有龙翔、应仙、着棋、免岩巍巍，削立30余里，气势磅礴。军峰山名之来由，一种说法是诸峰罗列俯伏，如大将誓师，故称军峰。另一说法是汉长沙王吴芮曾驻国此山而称军峰。峰巅有约80平方米平地，宋代曾建石殿。据清同治《宜黄县志》记载，军峰山古迹有讲经台、炼丹台、净手池，景物有云洞、风洞、雷洞等，吐纳烟霞，变幻恍惚，幽遐瑰异，赏不暇给。“日初大十倍，增地每六跃而上，似从中滚跳出者，望之茫茫。”,,https://img1.qunarzz.com/piao/fusion/1808/82/2d69f37801eee802.jpg_480x360x95_ab0fbf0d.jpg,4.5,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
高坊水库,http://travel.qunar.com/p-oi701774-gaofangshuiku,,座落在陆坊乡高坊村，建于黄通港上，集雨面积102平方公里，年平均流量为每秒3.8立方米。1958年动工兴建，次年春大坝基本落成。1960年开始蓄水，配套工程1969年完工。为增加库容，扩大灌溉面积和解决县城用电，1990年动工扩建，加高堤坝5米，蓄水量提高了79.5%。并建立了一、二级电站各一座，负担着陆坊、珊城等乡10万亩农田的灌溉任务，是金溪水利骨干工程。高坊水库形似绶带，蜿蜒曲折，水清如镜，两侧青山相伴，珍禽成群，四季景色如画，轻雾绕山峦，乘一叶小舟，令游人留连忘返。具...座落在陆坊乡高坊村，建于黄通港上，集雨面积102平方公里，年平均流量为每秒3.8立方米。1958年动工兴建，次年春大坝基本落成。1960年开始蓄水，配套工程1969年完工。为增加库容，扩大灌溉面积和解决县城用电，1990年动工扩建，加高堤坝5米，蓄水量提高了79.5%。并建立了一、二级电站各一座，负担着陆坊、珊城等乡10万亩农田的灌溉任务，是金溪水利骨干工程。高坊水库形似绶带，蜿蜒曲折，水清如镜，两侧青山相伴，珍禽成群，四季景色如画，轻雾绕山峦，乘一叶小舟，令游人留连忘返。具有一定的历史和文物价值，吸引了很多文人学士前往参观。,,,--,,,,,1
紫霄观漂流,http://travel.qunar.com/p-oi706267-zixiaoguanpiaoliu,,南丰县紫霄观漂流旅游区。改区位于紫霄镇境内，是按年丰县自然旅游资源中开发价值最高的一处旅游区，旅游区共有人文景观13处，自然景观24处，经江西省旅游规划设计院鉴定为一级旅游资源等级，尤其是被誉为“江南第一漂”的紫霄溪漂流，在抚州市乃至全省范围内独一无二，古人留下了“九曲寒溪绕树流，岩前纤月照人游”的千古佳句。,,,--,,,,,1
仰山书院,http://travel.qunar.com/p-oi709756-yangshanshuyuan,,书院位于金溪县城王家巷，始建于清代乾隆二年（1737年），该院为南宋朱熹与陆九渊曾经讲学过的崇正书院遗址。书院右侧“先儒祠”是清代生员祭祀乡贤象山先生之所，现书院建筑面积1078平方米，构架保存完整，是江西省省级保护文物、县文博所办公之处。陆象山，名九渊，字子静，南宋金溪青田人，是与朱嘉双峰并峙的理学大师、中国“心学”的创始人。明代王阳明发展其学说，成为中国哲学史上著名的“陆王学派”，对近代中国理学产生深远影响。现经文化行政部门批准，仰山书院成立了“陆...书院位于金溪县城王家巷，始建于清代乾隆二年（1737年），该院为南宋朱熹与陆九渊曾经讲学过的崇正书院遗址。书院右侧“先儒祠”是清代生员祭祀乡贤象山先生之所，现书院建筑面积1078平方米，构架保存完整，是江西省省级保护文物、县文博所办公之处。陆象山，名九渊，字子静，南宋金溪青田人，是与朱嘉双峰并峙的理学大师、中国“心学”的创始人。明代王阳明发展其学说，成为中国哲学史上著名的“陆王学派”，对近代中国理学产生深远影响。现经文化行政部门批准，仰山书院成立了“陆九渊纪念馆”，长期展出陆九渊生平图片，收藏了各种版本的《象山全集》和各地吟咏象山的诗、词、楹联等。,,,--,,,,,2
潭湖,http://travel.qunar.com/p-oi722621-tanhu,"

地址:
南丰县城东南部

",潭湖风景区位于南丰县城东南部，距县城18公里。湖面面积6175亩，山林面积1.7万亩，山上林木茂盛，覆盖率达98%。景区内自然生态环境优美，气候宜人，空气清新，水质清澈无污染，冬暖夏凉，素有“小庐山”之美称。这里被定为全国生态经济示范点和省水上运动定点训练基地为了纪念明代伟大的戏剧家、思想家、世界文化名人——汤显祖，1992年当时的抚州地委行署决定在汤翁的故里辟地180亩，修建汤显祖纪念馆。该馆坐落于距城区两公里的却家山，主要由“四梦村”、“娱乐村”、“度假村”三...潭湖风景区位于南丰县城东南部，距县城18公里。湖面面积6175亩，山林面积1.7万亩，山上林木茂盛，覆盖率达98%。景区内自然生态环境优美，气候宜人，空气清新，水质清澈无污染，冬暖夏凉，素有“小庐山”之美称。这里被定为全国生态经济示范点和省水上运动定点训练基地为了纪念明代伟大的戏剧家、思想家、世界文化名人——汤显祖，1992年当时的抚州地委行署决定在汤翁的故里辟地180亩，修建汤显祖纪念馆。该馆坐落于距城区两公里的却家山，主要由“四梦村”、“娱乐村”、“度假村”三大部分组成，全部完工的汤显祖纪念馆将集文化、休闲、娱乐、教育为一体。汤显祖纪念馆不仅为当地的市民提供了一个好的休闲环境，同时也成为外地游客了解临川文化的重要窗口。 经过二年多的努力，1995年11月6日汤显祖纪念馆第一期工程“四梦村”正式对外开放。经过这些年不断完善，现在“四梦村”已初具规模。《临川四梦》是汤显祖创作的《牡丹亭》、《南柯记》、《邯郸记》、《紫钗记》四部作品的合称。由于这四部作品都是因情生梦，因梦成戏，剧中都有梦境的描写，所以被后人称之为“四梦”。如今的四梦村就是根据《临川四梦》中所描写的场景，经南京园林设计院设计师的巧妙设计建成的。它艺术地再现了汤翁巨著中的情韵意境，信步游览，让人恍如中。,8：00-17：30,,--,,,10元,,2
