名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
清永陵Yongling Tombs of the Qing Dynasty,http://travel.qunar.com/p-oi706153-qingyongling,"

地址:
抚顺市新宾县永陵镇


电话:
024-55156438,024-55154318


官网:
http://www.qingyongling.com/

",清永陵位于新宾满族自治县永陵镇启运山脚下，是努尔哈赤远祖、曾祖、祖父、父亲、伯父、叔父的陵园。始建于1598年，清天聪8年（1634年）称兴京陵。永陵从1598年动工到1677年，经八十年建成。原来只埋有努尔哈赤的六世祖孟特穆的衣冠和其曾祖福满的遗体。顺治年间，封葬地为兴京陵，陵山为启运山。后来把努尔哈赤的的祖父觉昌安、父亲塔克世及礼敦、塔察篇古的遗骨自辽阳东京陵迁到这里，顺治十六年（1659年）改称永陵。 永陵南面正中有正红门，面阔三间，硬山式，黄琉璃瓦顶，正脊有吻，垂脊有兽。门内横列碑亭四座，亭内分别立有清朝帝业的肇兴四祖“肇祖原皇帝”（孟特穆）、“兴祖直皇帝”（福满）、“景祖翼皇帝”（觉昌安）和“显祖宣皇帝”（塔克世）四通高大石碑。碑上刻一些“承家开国”之类的颂词，以满、蒙、汉三体文字写成。碑亭东西两侧原有祝版房、齐班房、茶膳房、涤器房等建筑。碑亭的北面就是方城，围墙南面正中是启运门，正脊有双吻与六龙戏珠，门两侧的照壁中心前后都是砖雕黄龙。,8:00-17:00,https://img1.qunarzz.com/travel/d1/1610/97/02d8ddf9957397b5.jpg_480x360x95_6d647f33.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'清永陵门票成人票\n\n': ['¥45起'], '清永陵门票优待票\n\n': ['¥25起'], '清永陵电子导游手绘导览图语音讲解服务大小同价\n\n': ['¥2.3起']}",,1
雷锋纪念馆Lei Feng Memorial Hall,http://travel.qunar.com/p-oi705742-leifengjinianguan,"

地址:
抚顺市望花区雷锋路东段61号


电话:
024-56658811,024-56658816


官网:
http://www.leifeng.org.cn

",雷锋纪念馆位于抚顺市望花区和平路东段61号，是全国重点烈士纪念建筑物保护单位，也是世界少有的为一名普通士兵建造的大型纪念馆。抚顺是雷锋工作、生活和因公殉职的地方，主要的烈士纪念建筑物有雷锋纪念碑、雷锋塑像、雷锋陵园和雷锋事迹陈列馆。雷锋纪念馆内藏有雷锋遗物、照片等文物400多件。纪念馆园区内有凭吊区、展览区、碑林区、雕塑区、青少年教育活动区和综合服务区六大功能区。凭吊区内建有雷锋纪念碑、雷锋塑像、雷锋墓，常年有游人来此参观、举行纪念活动扫墓、献花。参观区内的雷锋事迹陈列馆内翔实地再现了雷锋短暂而光辉的一生，展品有雷锋蜡像、大型《青山魂》浮雕、复制《雷锋童年的茅草屋》场景、油画、题词碑等。,全年 周二-周日 09:00-16:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/6d0e188a0d715e543a17d2158919527e.jpg_480x360x95_2b89902e.jpg,4.7,建议游览时间：1小时,,凭本人有效证件预约入场。,,1
红河谷漂流Red River Valley Rafting,http://travel.qunar.com/p-oi710697-honghegupiaoliu,"

地址:
抚顺市清原满族自治县大苏河乡三十道河村


电话:
024-53029999,024-53517777


官网:
http://www.hhgpl.com/

",红河谷漂流景区位于抚顺市清原满族自治县红河谷国家森林公园内，是有着“中国北方第一漂”之名的漂流胜地。红河大峡谷全长25公里，两岸峰石兀立、崖壁高耸，在这里漂流既可欣赏两岸优美风光，又能在河谷激流中体验刺激。红河漂流全长12.8公里，漂流时间约3小时，每艘皮筏可乘坐4-6人。漂流区一派原始景象，两岸高山峡谷、森林茂密，随处可见奇石叠峰耸立。漂流区河宽20-50米宽不等，水不深，落差也较为适中，有缓段和急流段各20个。景区还提供水枪免费租借（需押金20元），你可手持水枪在漂流过程中与其他游客一起水上激战，乐趣横生。红河谷漂流地处长白山余脉的原始林区，经河水多年切割而形成的“U”字型峡谷，素有“东北小三峡”之称。峡谷内河水丰盈清澈，两岸森林茂盛。沿途有迎客壁、鸡冠岩、老艄、龙门跳、上山虎、双龙艄、神龟送客、双乳峰等天然景点，使漂流途中时而悠闲自在、时而有惊无险。,6/15-9/15 09:00-11:30,https://img1.qunarzz.com/piao/fusion/2107/3a/fd1d9236e154f702.jpg_480x360x95_319ba73d.jpg,4.5,建议游览时间：2小时 - 3小时,,140元,,1
抚顺苏子河漂流,http://travel.qunar.com/p-oi713217-fushunsuzihepiaoliu,"

地址:
辽宁抚顺新宾满族自治县境内的苏子河中段

",苏子河漂流位于新宾满族自治县境内的苏子河中段，距市区90余公里，乘车经202国道和东南公路仅1小时就可以到达。坐在船筏上沿途可欣赏到冰湖沟、望石谷、石龙峡、望松台、奇峰山、卧龙岭、怪石涯、万古峡、刺激关等景观。漂流段全长13公里，漂流全程近3小时。,6-10月,,5.0,,,73元,,1
平顶山惨案遗址纪念馆Fushun Pingdingshan Massacre Memorial Hall,http://travel.qunar.com/p-oi713819-pingdingshancananyizhi,"

地址:
抚顺市新抚区南昌路17号


电话:
024-54250072,024-54256811,024-54250063

",平顶山惨案遗址纪念馆是国内保存较为完好的二战期间日本帝国主义残杀中国平民的现场遗址。1951年3月，为了纪念在1932年“平顶山惨案”中死难的同胞，抚顺市人民政府在惨案旧址建立“平顶山殉难同胞纪念碑”，1971年建“平顶山殉难同胞遗骨馆”，馆内陈列有在现场发掘出的殉难同胞遗骨800余具以及部分遗物。1988年1月31日，国务院将“平顶山惨案”遗址公布为全国重点文物保护单位，将原“平顶山殉难同胞遗骨馆”改称“平顶山馆惨案遗址纪念馆”。“平顶山馆惨案遗址纪念馆”从1973年正式开放以来，已成为向人民进行爱国主义和革命传统教育的重要场所。,全年 09:00-16:00,https://img1.qunarzz.com/piao/fusion/1612/34/9389cfd6f1314c02.jpg_480x360x95_b7099814.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
大伙房水库,http://travel.qunar.com/p-oi703706-dahuofangshuiku,"

地址:
中国辽宁抚顺浑河上

","大伙房水库建在辽宁抚顺浑河上,控制流域面积5437平方公里,多年平均流量52.3秒立米,设计洪水流量15600秒立米,总库容21.81亿立米,设计灌溉面积129万亩,装机容量3.2万千瓦。主坝坝型为粘土心墙土坝,最大坝高48米,坝顶长度1366.7米,坝基岩石为花岗片麻岩,坝体工程量800万立米,主要泄洪方式为岸边溢洪道。",全天,https://img1.qunarzz.com/travel/d2/1701/cc/7f23e72d021187b5.jpg_480x360x95_df404c98.jpg,4.8,,,免费,,1
元帅林Yuanshuailin,http://travel.qunar.com/p-oi709564-yuanshuailin,"

地址:
抚顺市东洲区章党镇大伙房水库东北岸张作霖空墓陵区


电话:
024-54065028

",元帅林位于抚顺市抚顺县东30公里处的小山岗上，自北向南突出，浑河环绕东、南、西三面而流，隔水与铁背山相望。1928年6月4日早晨，张作霖乘坐由京城返回沈阳专列至皇姑屯时，被日本人预谋杀害，张氏家族为他寻找墓地，派出风水先生遍察辽沈。张学良夫妇及张作霖五姨太等人决定在此为张作霖修建陵墓。该陵城即将竣工时，发生了“九·一八”事变，所以未及安葬，形成空陵。因张作霖非帝王将相，所以起名“元帅林”。元帅林于1929年5月起兴建，历时三年，陵园占地14.5公顷，由方城、园城、墓室三个部分组成，当时总耗资1400块大洋。陵园整体建筑规模宏伟，布局严谨，金壁辉煌，吸取历代帝王陵园习俗，又有中西结合的新意。,全年 08:00-16:00,https://img1.qunarzz.com/travel/poi/1712/52/6db4d5c5053d0537.jpg_480x360x95_82e911b8.jpg,4.3,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
萨尔浒风景区Saerhu Scenic Area,http://travel.qunar.com/p-oi703709-saerhufengjingqu,"

地址:
抚顺市东洲区新太河街萨尔浒南路6号


电话:
024-54460888,024-57739271

",萨尔浒风景区位于抚顺市东洲区新太河街萨尔浒南路6号，地处抚顺市东郊，原名大伙房水库，距市中心15公里。萨尔浒风景区是国家3A级旅游景区。萨尔浒风景区山青、水碧、洞古、石奇，既有云山淡淡，烟水悠悠的湖泊水乡风貌，又具峰峦叠嶂、溪谷纵横的山岳景观，更具得天独厚的明清历史文化内涵，为辽东大型自然山水风景名胜，被誉为辽宁的“风景明珠”。萨尔浒风景区以大伙房水库为中心，沿湖有白龙山、王杲山、德古湾、莲花岛、营盘三岛、元帅林、铁背山、萨尔浒山等八个游览区，风景秀丽，空气清新，春、夏、秋、冬四时景色千姿百态。无论陆上驱车，林中漫步，浪里飞舟，都会感到心旷神怡。萨尔浒风景区还有历史悠久的满族文化，前清在这里发展壮大，努尔哈赤指挥的“萨尔浒大战”揭开了后金西进辽沈、定鼎中原的序幕。历史上萨尔浒城堡林立，界藩城、萨尔浒山城是努尔哈赤后金政权所在地，莲花背大营是清皇东巡行营，康熙、雍正、乾隆、嘉庆、道光五个皇帝十一次在这里驻跸。萨尔浒的行营遗址、历史掌故、名人轶事、诗文碑刻等历史文化内涵丰富，人文景观沉淀厚重。,全年 8:00-17:00,,4.5,建议游览时间：2小时,,{'萨尔浒手机导游(不含门票)服务成人票\n\n': ['¥7起']},,1
抚顺战犯管理所Fushun War Criminals Management Office,http://travel.qunar.com/p-oi714531-fushunzhanfanguanlisuo,"

地址:
抚顺市顺城区宁远街43号


电话:
024-57673307

",抚顺战犯管理所位于抚顺市顺城区宁远街，地处高尔山下，内设陈列馆，展出了改造战犯、战犯生活区、监室和劳动场所等。这里现为省级文物保护单位、爱国主义教育示范基地。,周二-周日8:30-16:00（15:00停止售票），周一闭馆。,https://img1.qunarzz.com/piao/fusion/1506/bb/79fd845eb171c6.jpg_480x360x95_afee11c0.jpg,4.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
元帅林国家森林公园,http://travel.qunar.com/p-oi713457-yuanshuailinguojiasen,"

地址:
中国辽宁省东部抚顺市的东北部

",元帅林国家森林公园位于辽宁省东部抚顺市的东北部，地处大伙房水库东北岸张作霖空墓陵区。1992年7月经林业部批准建立国家森林公园，占地面积10.44万亩。公园处于浑河、苏子河交汇处，萨尔浒山北侧铁背山对面。园内林木繁密，萨尔浒山山势奇特，苏子河、浑河和萨尔浒河从园区周围流过，大伙房水库碧波荡漾，使公园显出一派山青水秀、幽雅宜人的景色。园内还陈设有明清两代的石刻艺术品和影壁浮雕数十件，雕工精巧，造型生动，不远处还留有罕王行宫遗址等古迹，使公园成为自然景观和人...元帅林国家森林公园位于辽宁省东部抚顺市的东北部，地处大伙房水库东北岸张作霖空墓陵区。1992年7月经林业部批准建立国家森林公园，占地面积10.44万亩。公园处于浑河、苏子河交汇处，萨尔浒山北侧铁背山对面。园内林木繁密，萨尔浒山山势奇特，苏子河、浑河和萨尔浒河从园区周围流过，大伙房水库碧波荡漾，使公园显出一派山青水秀、幽雅宜人的景色。园内还陈设有明清两代的石刻艺术品和影壁浮雕数十件，雕工精巧，造型生动，不远处还留有罕王行宫遗址等古迹，使公园成为自然景观和人文景观兼存的森林旅游胜地。附近的萨尔浒山也是著名的游览地，山上有金代古城遗址、乾隆为纪念萨尔浒山战役而立的石碑等多处文物古迹，与公园的景致相互映衬。公园已有初步旅游接待设施，今后还将修建清代军史馆，重建罕王行宫，兴建游览山道、空中索道、人工瀑布、楼阁亭台等景观与设施，交开设宾馆、饭店、餐厅、草坪舞场、游泳池等接待和娱乐设施。公园的交通发达，有铁路和公路从附近经过，可顺利抵达沈阳、抚顺、辽阳、本溪、铁岭、通化等地。,8：00-18：00,https://img1.qunarzz.com/travel/d2/1701/fa/f6d81ac4d87a12b5.jpg_480x360x95_061099eb.jpg,--,,,20元,,1
