名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
龙翔谷生态园,http://travel.qunar.com/p-oi39601694-longxianggushengtaiyuan,, 龙翔谷生态园旅游度假区是一家集种植、研学旅行、军事拓展、亲子农庄、民俗文化、休闲娱乐、温泉养生、森林康养、旅游观观等为一体的综合性旅游景区，地理位置优越，交通便利，是您出行及休养的理想场所。,,,0.0,,,,,2
摩天石,http://travel.qunar.com/p-oi39415876-motianshi,,,,,5.0,,,,,2
什石洋村,http://travel.qunar.com/p-oi39316167-shenshiyangcun,,,,,0.0,,,,,2
旧住村,http://travel.qunar.com/p-oi39114915-jiuzhucun,,,,,--,,,,,2
图田沙滩,http://travel.qunar.com/p-oi39028501-tutianshatan,,,,,--,,,,,2
铁山,http://travel.qunar.com/p-oi38951046-tieshan,,,,,--,,,,,2
锡场藤吊岭桃仁寺 (后岩),http://travel.qunar.com/p-oi38950329-xichangtengdiaolingtao,,,,,0.0,,,,,2
火炬村,http://travel.qunar.com/p-oi38939238-huojucun,,,,,--,,,,,2
万梅谷文化小镇,http://travel.qunar.com/p-oi38937400-wanmeiguwenhuaxiaozhen,,,,,--,,,,,2
棉湖郭氏大楼,http://travel.qunar.com/p-oi38937048-mianhuguoshidalou,,,,,0.0,,,,,2
南方大草原,http://travel.qunar.com/p-oi38909885-nanfangdacaoyuan,,,,,0.0,,,,,3
溪南山公园,http://travel.qunar.com/p-oi38887959-xinanshangongyuan,,,,,--,,,,,3
壹号工场文化创意园,http://travel.qunar.com/p-oi38632087-yihaogongchangwenhuachuang,,,,,,,,,,3
白水岩,http://travel.qunar.com/p-oi38623593-baishuiyan,,,,,,,,,,3
普宁中茵文化园,http://travel.qunar.com/p-oi38617660-puningzhongyinwenhuayuan,,,,,0.0,,,具体收费情况以现场公示为主,,3
龙山养生泡池,http://travel.qunar.com/p-oi38357346-longshanyangshengpaochi,,"位于广东省揭阳市揭西县五经富龙湖村，这里环境清幽，空气自然清新。这里有着面积达一千多平方米的养生泡池。泡池常年热气腾腾，云雾弥漫。四季不变。是保健养生的选择。
",,,0.0,建议游览时间：2小时 - 3小时,,,,3
古山寺,http://travel.qunar.com/p-oi38340924-gushansi,,,,,0.0,,,具体收费情况以现场公示为主,,3
新寮古村落,http://travel.qunar.com/p-oi38340695-xinliaogucunluo,,,,,0.0,,,具体收费情况以现场公示为主,,3
普宁城隍庙,http://travel.qunar.com/p-oi38340646-puningchenghuangmiao,,,,,3.0,,,具体收费情况以现场公示为主,,3
龙华寺,http://travel.qunar.com/p-oi38340643-longhuasi,,,,,--,,,具体收费情况以现场公示为主,,3
靖海古堡,http://travel.qunar.com/p-oi38340642-jinghaigubao,,,,,--,,,具体收费情况以现场公示为主,,4
东风体育广场,http://travel.qunar.com/p-oi38340181-dongfengtiyuguangchang,,,,,0.0,,,,,4
双峰寺,http://travel.qunar.com/p-oi38337307-shuangfengsi,,,,,--,,,具体收费情况以现场公示为主,,4
青狮展馆,http://travel.qunar.com/p-oi38337014-qingshizhanguan,,,,,0.0,,,,,4
东湖公园,http://travel.qunar.com/p-oi38336776-donghugongyuan,,,,,0.0,,,,,4
滨江公园,http://travel.qunar.com/p-oi38336671-binjianggongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,4
孔庙,http://travel.qunar.com/p-oi38335901-kongmiao,,揭阳孔庙，又被称为“揭阳学宫”，是古代祭祀孔子的地方，也是培养揭阳莘莘学子的高学府。是岭南地区规模大、配套建筑完善、保存完整的历史建筑组群。孔庙的正门前面，有一块大大的石壁，上面雕刻着威风凛凛的龙的图形，很是生动。历经了几百年的风风雨雨，却依然光彩熠熠。,,,0.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,4
云湖公园,http://travel.qunar.com/p-oi38335156-yunhugongyuan,,,,,0.0,,,,,4
雷神庙,http://travel.qunar.com/p-oi38135480-leishenmiao,,,,,--,,,具体收费情况以现场公示为主,,4
广德庵,http://travel.qunar.com/p-oi38135267-guangdean,"

地址:
河婆街道洞天景区

",,全年 全天开放,,--,,,具体收费情况以现场公示为主,,4
榕江,http://travel.qunar.com/p-oi38034983-rongjiang,,,,,5.0,,,具体收费情况以现场公示为主,,5
南溪水乡,http://travel.qunar.com/p-oi37807037-nanxishuixiang,,,,,2.0,,,具体收费情况以现场公示为主,,5
利泰飞鹅岭农业公园,http://travel.qunar.com/p-oi37806194-litaifeielingnongyegong,"

地址:
大南山街道利泰大道飞鹅岭


电话:
0663-2493888

","利泰飞鹅岭农业公园位于普宁市大南山街道飞鹅岭，毗邻三坑水库，由广东利泰农业开发有限公司投资兴建。 园区占地面积2015亩，高处小尖峰海拔高度412.8米，分为生态观光区、设施农业区和游客活动中心三区域。 这里四季常青、气候温和、雨水充沛，年平均气温21.3℃，年平均降雨量2100多毫米，森林覆盖率达91.5%以上，是休闲农业旅游观光的胜地。 2019年，被广东省农业农村厅评选为""AAAA级广东农业公园”。",全年 06:00-23:30,,5.0,,,,,5
善德梅海,http://travel.qunar.com/p-oi37806181-shandemeihai,,善德梅海有成千上万株古梅树，每年春节前后，大片梅花盛开，漫山遍野的梅花与古朴的村庄相互辉映，眼前尽是一派田园秀丽风光，是赏梅的好去处。,,,0.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,5
南溪镇十里桃花农业生态园,http://travel.qunar.com/p-oi37806150-nanxizhenshilitaohuanong,,,,,0.0,,,,,5
惠来滨荷湾旅游景区,http://travel.qunar.com/p-oi37527527-huilaibinhewanlu:youjing,"

地址:
揭阳市惠来县前詹镇沟疏村S235


电话:
0663-6799909

",,全年 09:00-22:00,,4.7,建议游览时间：2小时 - 3小时,,10元,,5
南方梅园生态村South Plum Garden,http://travel.qunar.com/p-oi35832877-nanfangmeiyuanshengtai,,广东南方梅园生态村展示中心，为游客们展示了生态村是集自然生态、地方文化、旅游观光、体育健身、休闲娱乐、教育培训、酒店会议、度假居住等为一体的大型综合休闲中心。,,,0.0,,,具体收费情况以现场公示为主,,5
塭肚山Wendu Mountain,http://travel.qunar.com/p-oi35558617-wendushan,,"塭肚山位于揭阳，山上有瀑布、怪石、河流，这里林木繁茂、气候宜人，是人们登山徒步的好地方。
",,,--,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,5
钓石村戏台Diaoshi Village Stage,http://travel.qunar.com/p-oi35388406-diaoshicunxitai,,,,,--,,,具体收费情况以现场公示为主,,5
双溪清荷滨江湿地公园Shuangxi Qinghe Riverside Wetland Park,http://travel.qunar.com/p-oi35320594-shuangxiqinghebinjiang,,,,,--,,,具体收费情况以现场公示为主,,5
玉联村黄厝圩内,http://travel.qunar.com/p-oi35320291-yuliancunhuangcuoweinei,,,,,--,,,具体收费情况以现场公示为主,,6
牛温潭Niuwen Pond,http://travel.qunar.com/p-oi35315767-niuwentan,,,,,,,,,,6
直窝尾Zhiwowei Village,http://travel.qunar.com/p-oi35300017-zhiwowei,,,,,--,,,具体收费情况以现场公示为主,,6
"市外桃园旅游度假区-滑索Strop, Outer City Taoyuan Tourist Resort",http://travel.qunar.com/p-oi35296737-shiwaitaoyuanlu:youdu,,,,,0.0,建议游览时间：2小时,,,,6
四方石果木场,http://travel.qunar.com/p-oi35287019-sifangshiguomuchang,,,,,5.0,,,具体收费情况以现场公示为主,,6
石镜美村Shijingmei Village,http://travel.qunar.com/p-oi35279882-shijingmeicun,,,,,,,,,,6
长美文体广场,http://travel.qunar.com/p-oi35278977-zhangmeiwentiguangchang,,,,,5.0,,,具体收费情况以现场公示为主,,6
刘伯温阴阳相法,http://travel.qunar.com/p-oi35257400-liubowenyinyangxiangfa,,,,,--,,,具体收费情况以现场公示为主,,6
"市外桃园旅游度假区-凉亭Kiosk, Outer City Taoyuan Tourist Resort",http://travel.qunar.com/p-oi35246882-shiwaitaoyuanlu:youdu,,,,,--,,,具体收费情况以现场公示为主,,6
龙山绿谷天然大氧吧Longshan Green Valley Natural Oxygen Bar,http://travel.qunar.com/p-oi35216902-longshanlu:gutianranda,,,,,--,,,具体收费情况以现场公示为主,,6
大北山森林公园Dabeishan Forest Park,http://travel.qunar.com/p-oi35215998-dabeishansenlingongyuan,,,,,,,,,,7
白坑湖Baikenghu,http://travel.qunar.com/p-oi35215852-baikenghu,,,,,--,,,具体收费情况以现场公示为主,,7
盘龙阁寺(古安村)Panlongge Temple (gu'ancun),http://travel.qunar.com/p-oi35215829-panlonggesi,,盘龙阁寺位于普宁市梅林镇，始建于清代光绪年间，分上下两庵，主体建筑是单层高阁，周围有拱辰亭、紫气亭、金华亭和天乙峰等景致。,,,0.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,7
百潭谷Baitan Valley,http://travel.qunar.com/p-oi35215681-baitangu,,百潭谷是位于揭西五经富镇中和村庵背的磜墙崆瀑布，因秀丽的风光被盛赞为“人间仙境”。皆因晴空万里时，从山顶往下望去，一个个独立的潭犹如碧玉般无瑕，又因这里的石头在日光映照下，呈现出了斑斓五彩而得名。这是令人心驰神往的游览胜地，这里是广东美景的精华所在，这里是人间的仙境，这里是岭南客家人的九寨沟。山翠，石红，水碧，天下独一。,,,0.0,建议游览时间：3小时,,,,7
黄岐山飞凤古寺Huangqishan Feifenggu Temple,http://travel.qunar.com/p-oi35215364-huangqishanfeifenggusi,,黄岐山飞凤古寺，属揭阳市黄岐山名胜古迹保护区的保护点之一，大雄宝殿佛像肃穆庄严，暮鼓晨钟，梵呗清声，伴着兰花香气，飘入心怀，令人气爽心清。,,,--,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,7
神泉港Shenquangang,http://travel.qunar.com/p-oi35215118-shenquangang,,,,,4.0,,,具体收费情况以现场公示为主,,7
"揭阳市道教华阳观Huayang Taoist Temple, Jieyang City",http://travel.qunar.com/p-oi35214956-jieyangshidaojiaohuayang,,揭阳市道教华阳观内有大罗宝殿和紫峰书院等建筑，其中，大罗宝殿由重化岩扩建而成，后为洞，前为殿，殿内有洞，洞外有殿，洞殿一体，非常特别。,,,0.0,建议游览时间：2小时,,,,7
盘龙阁Panlong Pavilion,http://travel.qunar.com/p-oi35214777-panlongge,,,,,--,,,,,7
