名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
迤沙拉村Yishala Village,http://travel.qunar.com/p-oi23344843-yishalacun,,,,,,,,,,1
新山梯田,http://travel.qunar.com/p-oi9644327-xinshantitian,,新山梯田位于米易新山傈僳族乡，梯田的面积中等，由于附近的山体比较陡峭，所以形成了独特的梯田风景。,,https://img1.qunarzz.com/travel/d6/1705/88/4c78dd162ba3bfb5.jpg_480x360x95_6f8e68b9.jpg,5.0,,,,,1
红格镇,http://travel.qunar.com/p-oi702150-honggezhen,,红格景区位于攀枝花市区东南部，距市区38公里，总面积174平方公里。景区内风光秀丽，加之居住着白、彝、傣、普米、回等少数民族，丰富多彩的民族风情给整个景区格外增色。红格温泉疗养区，距市中心38公里。红格温泉水温达摄氏58度，水质优良，对皮肤病有疗效；日流量达270吨，可供近1000人浴用。温泉周围群山环抱，绿树成荫，周围芭蕉树成林，每当紫金花盛开，构成了一派南亚热带的风光。翠泉别墅疗养中心，能同时供100人疗养。热带植物场游览区，距中心35公里，场内有热带水果芒果、...红格景区位于攀枝花市区东南部，距市区38公里，总面积174平方公里。景区内风光秀丽，加之居住着白、彝、傣、普米、回等少数民族，丰富多彩的民族风情给整个景区格外增色。红格温泉疗养区，距市中心38公里。红格温泉水温达摄氏58度，水质优良，对皮肤病有疗效；日流量达270吨，可供近1000人浴用。温泉周围群山环抱，绿树成荫，周围芭蕉树成林，每当紫金花盛开，构成了一派南亚热带的风光。翠泉别墅疗养中心，能同时供100人疗养。热带植物场游览区，距中心35公里，场内有热带水果芒果、荔枝、油茶、菠萝、柑桔等，瓜果成丰，林木苍郁，景色古朴自然。,,,4.5,,,20元,,1
金沙江大峡谷,http://travel.qunar.com/p-oi38590133-jinshajiangdaxiagu,,金沙江大峡谷途经巧家、昭阳、永善、绥江等地，以民族文化和水电文明为特色，具有幽、秀、奇等特点，两岸沟壑纵横，峡谷内水流湍急。,,,5.0,建议游览时间：3小时,,,,1
大黑山森林公园Daheishan Forest Park,http://travel.qunar.com/p-oi714752-daheishansenlingongyuan,,,,,,,,,,1
望月楼,http://travel.qunar.com/p-oi706196-wangyuelou,"

地址:
攀枝花市米易挂榜乡

",从成昆铁路路经米易挂榜乡，凭窗西望，万绿从中，一座红色亭阁亭亭玉立，它便是攀枝花市的省级文件保护单位望月楼。望月楼以木构榫结，四方形底层及上两层六方形楼阁，六角攒尖顶有机连结，承托得四平八稳。虽经二百年风雨和道光三年、十年、十三年三次大地震而保存至今。十分难得。作为早期的清真寺建筑，它既具有宗教文物性质，又因其设计独特，构思巧妙，一楼多用，为省内清真建筑所少有，因此又具有古建筑的艺术文物价值。,全天,,1.0,,,10元,,1
苏铁自然保护区,http://travel.qunar.com/p-oi705985-sutieziranbaohuqu,"

地址:
云南个旧市、蒙自县交界处

",主要保护对象是攀枝花苏铁这一珍稀濒危植物及其生态环境。攀枝花苏铁是1971年发现的苏铁新种，1981年才正式定名，1984年被列入我国第一批珍稀濒危保护植物名录，攀枝花苏铁对于研究我国横断山脉植物区系的发生和发展，以及古生物、古生态、古气候、古地质、古地理和种子植物的起源和演化都具有十分重要的地位。本区地处川滇两省交界处，气候属南亚热带气候类型，区内分布有目前世界上面积最大、株数最多、分布最集中的野生苏铁林，共有攀枝苏铁约23万株。,7:00～18:30,,--,,,20元,,1
青龙洞,http://travel.qunar.com/p-oi708473-qinglongdong,"

地址:
攀枝花市盐边县江西乡苍蒲村的青龙山下


电话:
0812-3551373

",一个神奇的地下溶洞――青龙洞，象一座奇异非凡的地下宫殿，隐没在盐边县江西乡苍蒲村的青龙山下。在青龙洞附近，便有几股终年常流不断的地下水。其中有一股桶口粗细 的泉水，被引人环山水渠．人们谓之“龙泉圣水”。在洞内，至今还隐约可见岩溶形成的“龙”体，有头有尾，有影有甲，那就是青龙。据当地老乡说，这个洞可通云南省华坪县永兴乡。有一年，当地有七个大胆的人自告奋勇去探洞，在洞中整整走了七天七夜也没有走出洞口。青龙洞洞中异景纷呈，一个个奇特的碧水清潭，与干奇 ...一个神奇的地下溶洞――青龙洞，象一座奇异非凡的地下宫殿，隐没在盐边县江西乡苍蒲村的青龙山下。在青龙洞附近，便有几股终年常流不断的地下水。其中有一股桶口粗细 的泉水，被引人环山水渠．人们谓之“龙泉圣水”。在洞内，至今还隐约可见岩溶形成的“龙”体，有头有尾，有影有甲，那就是青龙。据当地老乡说，这个洞可通云南省华坪县永兴乡。有一年，当地有七个大胆的人自告奋勇去探洞，在洞中整整走了七天七夜也没有走出洞口。青龙洞洞中异景纷呈，一个个奇特的碧水清潭，与干奇 百怪的石林交相辉映，简直可以与“西子湖”、“天池”媲美！“莲花塘”、“江中石林”，“青龙戏水”、“鸳鸯闹塘”。一根根鳞次秸比的大小玉雕石柱，有的好似“定海神针”，有的宛若“龙头拐杖”；这里刚刚演完舞剧，宽大的帷幕才拉拢一半那里的“群蟹渡江”、“龟兔 赛跑”已闹得正欢还有“坐地罗汉”、“群罗拜佛”“七仙女下凡”―一真是数不胜数． 最令人叹为观止的是瑶池仙境，它是一座布满钟乳石的宽阔大厅。,8：00—17：30,,--,,,30元,,1
二滩国家森林公园Er'tan National Forest Park,http://travel.qunar.com/p-oi715150-ertanguojiasenlingong,"

地址:
攀枝花市盐边县中环南路11号


电话:
0812-8656002

",二滩国家森林公园地处成都-峨眉山-西昌-昆明这条旅游热线上，既有美丽的自然风光，如高山、峡谷、湖泊、森林，也有壮观的人工建筑，二滩水电站。景区内为高山峡谷地貌，交通不是很方便，建议自驾出游。一路上，山峦重叠，峡谷幽深，绿荫密布，还可以找到珍稀的野生动物。这里是摄影师钟爱的取景地，也是休闲度假的好地方。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/d8f6509738342cb6c1ead657aec1f432.jpg_480x360x95_f1458a43.jpg,4.4,建议游览时间：3小时 - 4小时,,10元,,1
颛顼龙洞旅游景区Longtan Cave,http://travel.qunar.com/p-oi714613-zhuanxulongdonglu:you,"

地址:
攀枝花市米易县白马镇龙塘村


电话:
0812-8140888,0812-8139231

",颛顼龙洞旅游景区位于攀枝花米易县白马镇，景区内山清水秀，崖壁如画。这里既可以欣赏大自然的鬼斧神工，又可登山锻炼身体，夏天来这避暑也是一个不错的选择。在溶洞内可以看到千姿百态的钟乳石，奇特的造型再配上灯光的点缀，煞是好看。洞内空气的含氧量较高，可尽情呼吸新鲜空气。洞内分布着大大小小的瀑布，气势磅礴，1000米的洞中大于15米落差的水瀑布有6个，实属罕见，建议驻足欣赏。,全年 8:30-17:00,https://img1.qunarzz.com/travel/d3/1706/33/f4595e8140c62db5.jpg_480x360x95_da42ac92.jpg,4.3,建议游览时间：2小时 - 3小时,,"{'颛顼龙洞旅游景区门票成人票\n\n': ['¥50起'], '颛顼龙洞旅游景区门票优待票\n\n': ['¥25起']}",,1
