名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
普者黑景区Puzhehei,http://travel.qunar.com/p-oi705819-puzheheijingqu,"

地址:
文山壮族苗族自治州丘北县305省道与206省道交叉口（近指北山）


电话:
0876-4610004,0876-4610000,0876-4610006


官网:
http://www.zgpzh.gov.cn/

",“普者黑”是彝语，意为“盛满鱼虾的池塘”。由于2013年湖南卫视亲子节目《爸爸去哪儿》曾在此取景，而被众人熟知。普者黑现在分为核心景区（旧景区）和外围景区（新景区）两大片区，核心景区是常规游览地，能看到溶洞、万亩荷花以及普者黑典型的山水田园风光，普者黑村及仙人洞村等少数民族村落也在这里。外围包括天鹅湖、湿地等等，一般游客主要游玩的是核心景区。喀斯特溶洞无疑是普者黑的一大看点，目前开放的有月亮洞、火把洞、观音洞和仙人洞，洞内不仅有形形色色的钟乳石，还有不少的神话传说。6至9月是普者黑旅游的黄金季节，此时正值荷花盛放，可以乘船体验一下打水仗的乐趣。然而旅游淡季，则可以带上相机游走在田园、村寨之间，拍拍原汁原味的山水田园风光，或者拍一张文艺范儿的照片留念。,4月1日-10月31日8:00-18:00，17:30停止入场；11月1日-次年3月31日8:30-17:00，16:30停止入场。,https://img1.qunarzz.com/travel/d7/1702/6e/114e96fb744bf8b5.jpg_480x360x95_650a1bca.jpg,4.5,建议游览时间：3天 - 6天,普者黑是亚热带高原季风气候，年平均气温在15.5℃-19.3℃。冬比春城昆明暖，夏比春城昆明凉。春季（3月-5月）：万物复苏，桃花盛开，景区内万亩桃园吸引大量游客。夏季（6月-8月）：夏季普者黑的荷花绽放，荷塘飘香，是普者黑最好的季节。秋季（9月-11月）：天气凉爽，游人较少，适合登山徒步，且水产丰富。冬季（12月-2月）：淡季游客较少，春节前后有较多的民俗节庆活动。四季皆宜，最佳在5-9月，其中7-8月荷花盛开。,"{'普者黑柳叶小舟船票+观光车票成人票\n\n': ['¥230起'], '普者黑画舫船票+观光车票成人票\n\n': ['¥230起'], '普者黑水上浆板体验成人票\n\n': ['¥108起']}",旅游注意事项1、游览普者黑需乘船，容易发生“水战”，老人、小孩最好远离群体船队；2、爱开“水战”的游客请提前做好准备，上船以后先穿上救生衣，然后把手机、相机等怕水物品寄存或用塑料袋密封，准备好武器和干衣服。3、普者黑是摄影爱好者的天堂，有石山、小河、湖山、村庄、小船、田园、荷花、水草、野鸭等众多素材，玩足一整天，可拍到日出日落、风土人情。4、吃住可在普者黑村的小饭庄，干净但非常简陋，清晨可听鸡鸣狗吠。也可在仙人洞村(彝族文化风情村)外的宾馆落脚。5、高原日夜温差极大，须带太阳帽、太阳眼镜、防晒霜、雨衣、小电筒、御寒衣物，防治中暑药如人丹等。6. 和当地人吃饭，对方一般会敬酒表示欢迎，小酌一点就好，直接回绝敬酒是很不礼貌的。如果实在滴酒不沾，最好事先说明。7. 卖真正手工制作的工艺品的一般都是当地60岁以上的老人，一些看起来制作精美的工艺品可能是批发货。8. 当地的食物偏咸、偏辣，喜欢清淡的朋友可能会吃不惯，但总不妨尝试一下，辣椒也是丘北的特产之一。9. 如果你正好在火把节（农历六月左右）和花脸节（农历二月左右）来到这里，则可以亲历一场狂欢。在火把节当晚，会有很多人打着火把游街，还可以看到民族歌舞表演。花脸节的旨意就是“抹黑全身，幸福终身”，那天晚上会有篝火晚会，烧篝火，然后用烧剩下的炭灰去抹黑别人的脸，被抹得越黑，说明你越受欢迎，非常欢乐。10、普者黑景区相关道路开始实施交通管制。进入景区的各类车辆，应驶到一级游客服务中心、豹子坡、普者黑、仙人洞等停车场停放，严禁在禁停路段停放。交通管制路线为：（1）通往仙人洞村的车辆，从布宜——排龙方向到仙人洞村停车场停放；通往普者黑村的车辆，从八小线——豹子坡方向或从布宜——普者黑方向到普者黑村停车场停放；通往白脸山的车辆，从八小线进入到白脸山停车场停放。（2）从县城经七O新村至八道哨方向的车辆改从马头山——旧城——大矣堵——小矣堵（八小线）通行；从八道哨方向经七O新村至县城的车辆，改从小矣堵——大矣堵——旧城——马头山（八小线）通行。（3）丘北到普者黑景区公交车线路变更为：县城——布宜——小白山岔路——普者黑村——水围营村。,1
老君山风景名胜区Laojun Mountain Places of Interest,http://travel.qunar.com/p-oi10001402-laojunshanfengjingming,"

地址:
文山壮族苗族自治州文山县

",文山县老君山风景名胜区，由老君山原始林区、薄竹山和西华山三个片区组成，并纳入了上天生桥、下天生桥、东方红电站、头塘森森公园、柳井溶洞和白沙热带至南温带的多层性高原岩溶地貌特点，是滇东南地区唯一的一块亚热带“植物宝库”。老君山和薄竹山9峰16岭21溪谷，山景、密林、清泉、翠竹、花卉、珍禽浑然一体。被誉为“活化石”的特大追栗树胸围9.7米、树基12米，树干内空，可同时容纳十多人站立当中，堪称奇观。此外，距离县城35公里处的柳井溶洞钟乳石景观密集，颇具特色。还有，距离县城约13公里处的白沙坡温泉，建有浴室和游乐设施，每日到此游览、沐浴的人络绎不绝。,全年 8:00-17:00,https://img1.qunarzz.com/travel/poi/1712/a4/843501fab2ac6a37.jpg_480x360x95_547c15e1.jpg,4.5,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
坝美世外桃源景区Bamei Village,http://travel.qunar.com/p-oi7588393-bameishiwaitaoyuanjing,"

地址:
文山市壮族苗族自治州广南县


电话:
4009018887,0876-3029718

",坝美世外桃源景区位于云南省文山壮族苗族自治州广南县北部的阿科乡和八达乡交界处，属喀斯特地貌，四周被翠绿的群山环抱。“坝美”是壮语的音译，意为“森林中的洞口”，在这可以感受到陶渊明描写的世外桃源的模样。进出坝美村必须经过水路，先坐马车再坐船，船夫用竹竿划船经过幽深昏暗的水洞。快到村口的时候，一道强光摄入眼帘，然后可以看到小桥、流水、水车、青山、花草和房屋，不由得感慨世外桃源就是如此了！可以在此体验一番田园的慢生活，感受最自然的田园风光。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d0/1705/c9/d574446e706974b5.jpg_480x360x95_3e824c30.jpg,4.3,建议游览时间：3天,坝美最美的季节在每年的初春，这时河谷里开满了粉色的桃花，配上漫山遍野的油菜花，将田园风情演绎到了极致。,"{'坝美景区门票+观光车+游船套票成人票\n\n': ['¥180起'], '坝美景区电子导览服务大小同价\n\n': ['¥7起'], '昆明+抚仙湖+建水元阳+碧色寨普者黑+广南弥勒7日6晚私家团\n\n': ['¥3980起']}",1、坝美是一个新开发的旅游景点，全部是崎岖的土路，整个行车过程比较艰苦，容易晕车的人可能要吃点苦头。特别是从汤那村洞口到坝美村，有一段长约2．5公里的路只能步行，所以一定要穿平底鞋，这样可以走得快点，也能减轻脚的痛苦。 2、进坝美村要穿过一个几乎伸手不见五指的水洞，去之前最好带上手电筒或应急灯之类的照明工具，特别是女孩子结伴去会安全点。 3、坝美由于四周都是高山，至今尚未通电。村民们的食品、衣物、生活用品基本上都是自给自足的，村里仅有一个小卖部是一个壮族女人开的，只有些日用品。 4、手机在村里没有一点信号，起码出村两公里以外才会有。,1
广南八宝风景区Guangnan Babao Scenic Area,http://travel.qunar.com/p-oi712333-guangnanbabaofengjing,"

地址:
文山壮族苗族自治州广南县八宝镇

",广南八宝风景区于滇东南广南县境内，距文山160公里。以峰丛、峰林、岩溶瀑布景观为主，由八宝、河野、汤纳溶洞、三腊瀑布4个片区组成，总面积68平方公里。溶峰一般高50－100米，呈尖锥状，盆地中心还发育少量孤峰，高度小于50米。八宝有大小河流25条，八宝河从河美湖出水，由南向北缓缓流过，河水清澈透明。特别是从河也乘船至八甲一段，长6.5公里，山水相依、村寨农舍，有“小桂林”之称。木美是古老的彝族村寨，这里的彝族人民能歌善舞，每逢节日跳弦子、唱山歌，热闹非凡，村内里保留至今的两面铜鼓是稀世珍宝。,8：00-17：00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/628465de1a4fb7bef117a203c32572d4.jpg_480x360x95_b7352cc5.jpg,4.4,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
青龙山Qinglong Mountain,http://travel.qunar.com/p-oi7647282-qinglongshan,,,,,,,,,,1
峰岩洞村,http://travel.qunar.com/p-oi711754-fengyandongcun,"

地址:
云南广南县南屏镇安王村

",广南县的安王彝家山乡，有一个“中国现代第一奇村”。该村位于广南县城东南一百多公里的南屏镇安王办事处的崇山峻岭之中，名叫峰岩洞村。峰岩洞村奇就奇在全村60余户人家，300余口人，全部生活在一个方圆不到一平方公里的溶洞里。溶洞座东向西，周围绿树掩映。一个开阔的倒八形的洞口，充分吸收着洞外的自然光线和偏西的阳光照射。站在洞口，洞内整个村寨尽收眼底。各家房屋没有片瓦遮盖，楼面既是阳台，也作屋顶。房屋墙体立柱，有隔板篱笆，装有门窗，地面平坦。牛马有圈，猪鸡有窝...广南县的安王彝家山乡，有一个“中国现代第一奇村”。该村位于广南县城东南一百多公里的南屏镇安王办事处的崇山峻岭之中，名叫峰岩洞村。峰岩洞村奇就奇在全村60余户人家，300余口人，全部生活在一个方圆不到一平方公里的溶洞里。溶洞座东向西，周围绿树掩映。一个开阔的倒八形的洞口，充分吸收着洞外的自然光线和偏西的阳光照射。站在洞口，洞内整个村寨尽收眼底。各家房屋没有片瓦遮盖，楼面既是阳台，也作屋顶。房屋墙体立柱，有隔板篱笆，装有门窗，地面平坦。牛马有圈，猪鸡有窝，人畜各得其所。一条人工石板路迂回曲折连接各家各户，洞顶乳石倒悬，藤蔓缠伸；右侧一白色钟乳石巨柱顶天立地，犹如一棵浓荫密布的长青树庇护着整个村落。,6:00-20:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/5af7fb0f42d8230f3cbd4f050259ccaa.jpg_480x360x95_407d5b13.jpg,--,,,免费,,1
老山风景区Laoshan Sceneic Area,http://travel.qunar.com/p-oi708906-laoshanfengjingqu,,老山风景区位于麻栗坡县，距离昆明400公里，由老山、南温河、大王岩、下金厂、新寨五个片区42个景点组成，面积约180平方公里。老山是当年自卫反击战的主阵地之一，如今主峰峰顶建有陈列馆和烈士雕像，还有猫耳洞、战壕、瞭望哨等设施，是重要的爱国主义教育基地。天保口岸是中越边境一个重要的边贸口岸。提醒：1、麻栗坡的天气比较温和，穿长袖的衣裤就可以了。2、老山旅游后一般人都会顺便到越南边境的天保口岸去购物，这里离麻栗坡也不远，坐麻栗坡到船头的中巴车就可以到了。,,https://img1.qunarzz.com/travel/poi/1712/33/6e4526a4b5973f37.jpg_480x360x95_054edf00.jpg,4.7,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
西华公园Xihua Park,http://travel.qunar.com/p-oi709517-xihuagongyuan,"

地址:
文山壮族苗族自治州文山市开化镇西华山


电话:
0876-2184130

",西华公园位于文山县开化镇西华山，于1931年被辟为公园，后经过扩建，增建了险峰、翠峰、伴月等亭阁，并建有“九龙”大型石雕。园内植有紫薇、秋桂、木兰等36种名贵树木，石壁上刻有虎豹等36种动物图像，石阶也全部修成36级一台，共6台216级，与文山县216个村寨数目相吻合，可以称得上是独具匠心，妙趣横生。,全年 6:00-21:30,https://img1.qunarzz.com/piao/fusion/1507/33/ca6ec28303a52e.jpg_480x360x95_9654118a.jpg,4.7,建议游览时间：3小时,,具体收费情况以现场公示为主,,1
浴仙湖风景名胜区Yuxian Lake Scenic Area,http://travel.qunar.com/p-oi710439-yuxianhufengjingmingsheng,"

地址:
文山壮族苗族自治州砚山县城西42公里323国道南侧

",浴仙湖位于砚山县城西42公里处，323国道由湖畔经过。由浴仙湖主景区及听湖、阿舍、阿猛、龙所等4个片区组成，总面积109平方公里。游客进人浴仙湖景区，首先抵达珍珠岛，绕过珍珠岛，宽阔的湖面便展现在你眼前。接着，可前往鲤鱼岛，如果恰好是冬季前来，说不定还可以看到成群的红嘴鸥在水面嘻闹戏水、争抢食饵的场面，当然在其它季节，也可看到山鸡、画眉、云雀、杜鹃、喜鹊等数十种鸟类。,8:00-19:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/cda5ff00e92f8e77e8024c7c0d58167f.jpg_480x360x95_07f227f0.jpg,4.3,建议游览时间：2小时,,{'浴仙湖手机导游服务成人票\n\n': ['¥6起']},,1
西畴县董马乡,http://travel.qunar.com/p-oi39602210-xichouxiandongmaxiang,,,,,0.0,,,,,1
