名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
仙女湖Xiannü (Fairy) Lake,http://travel.qunar.com/p-oi706827-xiannu:hu,"

地址:
新余市渝水区西南郊16公里处仙女湖风景区


电话:
4009158099


官网:
http://www.jxxnhjq.com/

","仙女湖景区位于江西省新余市西南郊16公里处，以“情爱圣地、群岛峡谷曲水、水下千年古城、亚热带植物基因库”四绝著称。景区面积198平方公里，其中水域面积50平方公里，由舞龙湖景区、钟山峡景区和钤阳湖景区三部分组成，穿插交错着99座岛屿星罗棋布，60多条湖湾扑朔迷离。舞龙湖景区作为仙女湖景区的主景区，涵盖龙凤苑、民俗风情园、爱情岛、龙王岛、圣集寺、名人岛、桃花岛等景点。走进仙女湖，你会惊叹：此景只应天上有，人间难得几处觅！
仙女湖，感觉永如初心相见，成就了一段人仙相恋的千年传奇。东晋文学家干宝所著古籍《搜神记》里，毛衣仙女在此下凡，演绎出毛衣女与檀郎的爱情故事。这里，也因此成为了人间的情爱圣地，情山爱水向你诉说别离苦、相见欢。仙女湖因此也成为了“中国七仙女传说之乡”和 “中国七夕情人节”的发祥地。 一、玩在仙女湖七夕老街
七夕老街位于仙女湖码头片区中心地带，整个街区从整体布局到具体的景观、建筑、交通组织、产业落位都体现着创新的思想，以注重游客体验为核心，强调精致化、品质化与主题化。街区由徽派特色马头墙、仿古外立面门窗、回廊、商业街景观亭台楼阁等建筑组成，更好的展示仙女湖的人文风貌，给游客美好难忘的游玩体验。
七夕老街融合新余民宿特色、民俗娱乐、民俗活动、本地特色小吃为一体，酒楼、客栈、酒吧、茶楼、戏台点缀其间，是集游客服务、观光娱乐、美食购物、度假休闲等功能为一体，以体验闲生活、慢生活、新生活的古风情的商业特色休闲街区。
2021年，七夕老街荣获江西省省级旅游休闲街区。
天工开物园
天工开物园位于仙女湖沁庐度假酒店旁，紧邻七夕老街、七夕演艺中心，总建筑面积约1250㎡，主要是两层设计，商铺总计46间，由钢结构集装箱打造，风格时尚、鲜明、独特。
天工开物园整体定位为商业休闲街区，由儿童互动娱乐区、酒吧餐饮区、文创轻食区三部分组成，目标人群以年轻人、情侣及小家庭为主。
天工开物园的出现将为所有游客提供时尚休闲、互动娱乐、亲子游玩的高沉浸性、互动性新体验。
七仙女渔乐园
七仙女渔乐园是一个水上休闲渔趣乐园，具有赏鱼观光、人鱼互动、趣味捕鱼、垂钓、露天野营等休闲娱乐服务，并具备承接各类垂钓赛事及各类户外拓展活动的功能。
园内有各式观赏鱼：色彩艳丽的锦鲤鱼、形态奇异的鸭嘴鱼、来势凶猛的黄金鱼群等。惊险刺激的人鱼互动项目有：浑水摸鱼、赤脚渡河、奶瓶喂鱼、当一日渔民等；趣味十足的水上运动有：水上激光碰碰船、特战船、皮划艇、浆板等。游客通过游玩观光，不但领略了仙女湖自然生态景观，饱览了各式各样的鱼类，更能体验水上运动的惊险刺激，让您成为仙女湖的主人，实现了一场忘我的旅行。
七夕演艺中心
七夕演艺中心矗立在仙女湖码头广场，依托于央视七夕晚会而打造的永久性演艺场馆。舞台以仙女下凡的爱情传说故事为设计主题，以半球形钢架结构建筑，融合地球和天堂、凡间与仙界的爱情元素，在充分展示仙女湖爱情文化的同时，也增加了景区建筑物的美感。
七夕演艺中心是仙女湖一个具有重要意义的标志性的艺术性建筑，舞台结构一半拱门，一半倒影，形成一个完整的圆，代表充实，只有他们在一起，才能成为一个整体。舞台通过变幻莫测的五彩灯光、宛如天籁的缥缈音乐、返朴归真的造景和清新隽永的舞美，力图为观众打造一场梦幻般的视觉盛宴，形成一台气势恢宏的山水实景演出。仙女湖汽车影院
仙女湖汽车影院坐落在仙女湖沁庐度假酒店西侧的停车场内。在这里你可以享受不被打扰的私人观影空间，坐在车内就可以获得自由的观影。
仙幻爱情艺术馆
仙幻爱情艺术馆位于仙女湖七夕老街鹊桥旁，场馆建设依托仙女湖“羽人传说”的特色文化，通过集成25个互动体验场景，以“仙幻美拍、情感体验、爱的启迪”为主题，与教育、艺术开发相结合，给游客娱乐打卡带来全新体验。二、游在仙女湖
圣集寺
圣集寺由叫佛教文化博览园，位于仙女湖钟山峡南岸的仙人台处，是由五台山佛教协会会长妙江大和尚亲自开山主持的一处佛教道场，因此延续了五台山佛教名山的历史文化脉络。
圣集寺占地约2500亩，主峰高度432米，由圣集寺、文殊道场、观音道场、梅庵、禅园、佛教文化广场、禅修区、汉式佛塔、藏式白塔等组成。寺内有天.王殿，祈殿，雷音宝殿和藏经楼四个大殿。殿内分别供奉着大肚弥勒菩萨，韦驮菩萨，药师佛，日光菩萨，月光菩萨以及毗卢遮那佛等。
圣集寺三面环山，一面临湖，山脉首尾相连，势若游龙，从东部望去，恍如“雄狮踏云”而来，是仙女湖的一块佛门净地。龙凤苑
龙凤苑南北似腾飞的龙，东西象展翅的凤，故而得名“龙凤苑”。龙凤历来都是瑞祥美好的象征，素有“龙凤呈祥”、“龙飞凤舞”等吉祥之说。游历过龙凤苑的朋友，都会多吉多福，百顺百利。
龙凤苑占地116亩，密林树茂，景色宜人，景观丰富。依山傍水建有龙凤徽、九龙墀、蛇池、凤巢、龙蟠台、崇蛇坛、天鸟行空、白蛇传雕塑、鸵鸟行宫、舞龙飞船等内涵丰富的景观。
民俗文化风情园
民俗文化风情园是一处荟萃多民族民间艺术、民俗风情和民居建筑于一园的文化旅游景点。民俗文化风情园设有民俗大舞台，每天都有多场精彩的舞蹈，演绎仙女下凡的传说故事。游客朋友们还可以现场与我们的仙女进行互动，感受不一样的仙女湖文化。
爱情岛
爱情岛占地面积79920㎡，是集旅游观光、休闲娱乐、度假、会务拓展、婚纱摄影等多种功能于一体的岛屿。岛内有中式的大花轿、同心锁、姻缘井、抛绣球、洞房；西式的仿“科隆大教堂”、爱琴海、浪漫满屋、海景码头、日式风情街、欧陆风情街、宫廷水道等建筑。
爱情岛以爱情文化为内涵，以传播爱情文化为理念，聚集众多的爱情文化元素，是天下有情人“爱的天堂”，是浪漫、邂逅及拍照的好地方！
龙王岛
龙王岛位于仙女湖湖内的中心部位，它的平面像橄榄，又似台湾宝岛；它的立面形似等腰三角形，有着比日本富士山更标准的轮廓。而从凌水崖石上看龙王岛，酷似一只神龟，它与龙王岛遥遥相望，形成了“神龟拜龙王”的神奇景观。
龙王岛上也称猴岛，岛上有上百只野生的猴子，有的顽劣乖张，有的憨态可鞠，但都善察人意。您面带笑容，它则绕膝撒欢；您面含怒色，它则远遁规避。
站在龙王岛顶端的龙王阁，可俯瞰仙女湖碧波荡漾、烟波浩渺的全景，大大小小的岛屿既象一颗颗镶嵌在绒毯上的绿宝石，又似一个个睡梦中的仙女。近岛远山，层峦迭嶂，茫茫苍苍，俨似一幅天然山水画。据说国画大师傅抱石先生当年和关山月合作“江山如此多娇”这幅巨作的灵感就来自于仙女湖的龙王岛。
名人岛
名人岛根据中国江南园林古朴典雅风格而建造，以新余古今名人为主要展示内容。全岛总面积65亩，由大小两个岛组成，从空中鸟瞰，大岛如苍龙卧波，小岛如翠珠凌水，俨然“苍龙戏珠”的天然景观。
名人岛由名人植树园、名人雕塑园、抱石文化园三个园区组成。名人植树园，位于岛内醉笔堂的正前方，很多海内外名人雅士在此植树纪念。
名人雕塑园挑选新余自三国吴宝鼎二年（267年）立县以来，众多进士及第者中杰出的12位名人，将其立塑像在绿树映掩之中。
抱石文化园是纪念国画大师傅抱石先生的园林。园门按抱石故里——罗坊樟塘村“傅氏祠堂”的风格建造的。园前有一棵连理共生的香樟树，象征着傅抱石先生“德艺双馨”。园内傅抱石塑像是画家、雕刻家陈祖煌先生按照傅抱石当年为人民大会堂绘制《江山如此多娇》巨型油画时的神态制作而成。
 桃花岛
这里因凡人走桃花运在此偶遇仙女，又因岛上遍布桃树而命名，以“上桃花岛行桃花大运”，“集桃文化做山水文章”为风味。

桃花岛门楼由明清时代的古砖修建而成，门楼墙上的砖刻有“喻南学社”、“红德润堂”、“平恒公馆”、“新喻县城砖”等铭文，具有较高的文物研究价值。


三、食在仙女湖
仙遇记·生态鱼馆
鱼，在中国传统文化中是富庶、繁荣的象征。逢年过节、喜庆筵席及亲朋团聚之时，餐桌上总少不了鱼肴。鱼，传达着人们对“年年有余、富贵有余”的美好愿望。仙女湖湖内鱼类丰富，一直坚持人放天养的饲养模式，主要饵料为浮游生物、底栖生物、水生植物等天然饵料，养殖用水为仙女湖的优质水源。水域环境优良，天然养殖周期长，肥美的鲜鱼深受青睐。
仙遇记·生态鱼馆位于仙女湖湖畔，鱼馆沿用“七仙女”的“七文化”，经过多年实践经验，一直是取新鲜活鱼为原料，用多种烹调手法并融合新余七个地区的特色菜肴，独创一鱼七吃，让您品尝鱼汤鲜美的同时，又可以尝到鱼肉的鲜嫩口感。其菜品口感独特，老少皆宜，让人回味无穷，深得广大游客、市民的喜爱。
仙遇记·生态鱼馆以品质求发展，以诚信求生存，经过几年的不懈努力，现已成为家喻户晓的特色美食餐馆。四、
宿在仙女湖
仙女湖沁庐度假酒店
仙女湖沁庐度假酒店坐落在仙女湖湖畔，总建筑面积约1.2万㎡，客房117间，配有自助餐厅、中餐厅、休闲书吧、健身房、棋牌室、会议报告厅、会议室等。
酒店以现代徽派为形，清新典雅的中式风格为内部装饰，融入江南山水与文旅度假景区优美环境中。酒店通过智慧控制系统及高环保静音空调，为来宾营造闲适惬意的休闲新生活。
仙女湖沁庐度假酒店，让您远离城市的喧嚣，享受天然的舒畅。",3/1-10/31 08:00-17:30;11/1-2/28 08:30-17:00,https://img1.qunarzz.com/travel/d9/1505/fb/4caf84c1fb23fa.jpg_480x360x95_2d67613c.jpg,4.2,建议游览时间：3天,,"{'仙女湖门票+游船票成人票\n\n': ['¥50起'], '仙女湖门票+游船票优待票\n\n': ['¥85起'], '仙女湖电子导览门票大小同价\n\n': ['¥9起']}",,1
江口风景区,http://travel.qunar.com/p-oi709998-jiangkoufengjingqu,,"江口风景区位于袁河上游，是1958年修建的一个水库，湖中岛屿众多，有“江西千岛湖”之称，景区面积达175平方公里,四面有青山环抱秀水泱泱。风景区共有三部分，下游三万亩库湾，港叉蜿蜓曲折，岛屿星罗棋布；中游有3公里长的高山峡谷，“两岸对峙倚霄汉，昂首只见 一线天”，是其真实写照，故有“小三峡”之称。上游水面达三万多亩，烟波浩涉一望无际，渔帆点点，远处山峰或隐或显，好一派湖光山色美景。人到这里，如同置身于山水画面之中，真有“舟在水上行，人在画中游”之感。南岸...江口风景区位于袁河上游，是1958年修建的一个水库，湖中岛屿众多，有“江西千岛湖”之称，景区面积达175平方公里,四面有青山环抱秀水泱泱。风景区共有三部分，下游三万亩库湾，港叉蜿蜓曲折，岛屿星罗棋布；中游有3公里长的高山峡谷，“两岸对峙倚霄汉，昂首只见 一线天”，是其真实写照，故有“小三峡”之称。上游水面达三万多亩，烟波浩涉一望无际，渔帆点点，远处山峰或隐或显，好一派湖光山色美景。人到这里，如同置身于山水画面之中，真有“舟在水上行，人在画中游”之感。南岸巍巍钟山、葱葱铃岗山，如翡翠屏风横空，北岸袁岭七峰状若游龙，从高耸入云的仰山俯冲而来，气势磅礴，锐不可挡。",,,5.0,,,,,1
小天池,http://travel.qunar.com/p-oi707285-xiaotianchi,,小天池位于庐山牯岭北面，池中之水置于高山而终年不溢不涸。池后山脊上，屹立着一座白塔似的喇嘛塔。塔建于1936年。 小天池山对面还有一怪石，远望似一雄鹰伸颈欲鸣。鹰首有巨石叠就，一石伸出鹰嘴崖，石缝中绿树芳草婆娑似羽毛，名鹞鹰嘴。山南麓有一峰凌空突出，下临深壑。峰顶悬崖上有一伞顶圆亭。步入亭中，长江似一条白色缎带，飘忽在天际。山脚是深谷，形如一把打开的剪刀，名剪刀峡。峡中溪流淙淙，松篁翠翠，怪石嶙峋，幽雅秀美。 小天池是牯岭观日出、晚霞、云海等奇观最佳的...小天池位于庐山牯岭北面，池中之水置于高山而终年不溢不涸。池后山脊上，屹立着一座白塔似的喇嘛塔。塔建于1936年。 小天池山对面还有一怪石，远望似一雄鹰伸颈欲鸣。鹰首有巨石叠就，一石伸出鹰嘴崖，石缝中绿树芳草婆娑似羽毛，名鹞鹰嘴。山南麓有一峰凌空突出，下临深壑。峰顶悬崖上有一伞顶圆亭。步入亭中，长江似一条白色缎带，飘忽在天际。山脚是深谷，形如一把打开的剪刀，名剪刀峡。峡中溪流淙淙，松篁翠翠，怪石嶙峋，幽雅秀美。 小天池是牯岭观日出、晚霞、云海等奇观最佳的地方之一。登临山顶，宛如坐上一架直升飞机，盘桓在庐山的上空，青山碧水，红瓦苍崖，历历在目，令人纵横浮想，思绪万千。,,,4.5,,,,,1
宽心小镇,http://travel.qunar.com/p-oi39167461-kuanxinxiaozhen,,宽心小镇坐落在新余的“仰天中宫，祖山福地”--仰天岗，这里是一个禅隐综合度假小镇，有禅意山水园林景观、唐风宋韵建筑街区、世外桃源般的陌野农场，在这里我们将体验沉浸式禅意文化生活场景，感受简单、时尚、健康的生活方式，抛掉一切世俗挂碍，体验一回陶渊明笔下纯净的世外桃源生活。宽心小镇总占地面积约892亩，建筑面积62000余平方米.因为“仰天中宫，祖山福地”的深厚历史渊源，以及江西千年禅宗法脉精华，“诗到江西别是禅”的文化意境，所以以生活禅为主基调，创意塑造了小镇的一街（指月禅街）---两水（灵溪，长源）--三里（儿童乐园，户外草坪，鹿鸣禅院）一湖（见山湖）的序列格局，接下来我们将按照参禅的三种境界游览小镇，细细品味，感受小隐于山的诗意生活，旅游度假的艺术天堂，具江西特色的市井烟火与民俗体验,,,5.0,,,,,1
新余老上海风情街,http://travel.qunar.com/p-oi38676836-xinyulaoshanghaifengqing,,,,,4.5,,,具体收费情况以现场公示为主,,1
赣西民俗风情街,http://travel.qunar.com/p-oi38676829-ganximinsufengqingjie,,,,,4.0,,,具体收费情况以现场公示为主,,1
昌坊中草药博览园,http://travel.qunar.com/p-oi38676811-changfangzhongcaoyaobo,,,,,4.0,,,具体收费情况以现场公示为主,,1
昌氏宗祠,http://travel.qunar.com/p-oi38676809-changshizongci,,,,,5.0,,,具体收费情况以现场公示为主,,1
古樟树,http://travel.qunar.com/p-oi38676807-guzhangshu,,古樟树位于新余昌坊度假村内，相传南宋抗金名将岳飞，来新余时曾经白马栓于此樟树上；昌氏族人昌念建也曾在此聚众庆祝自己的百岁生日。后来村民为纪念岳飞和昌念建，经常在此谈古论今。,,,4.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,1
袁河公园,http://travel.qunar.com/p-oi38676027-yuanhegongyuan,,袁河公园位于新余，公园紧邻老上海风情街，主要景点有主题雕塑广场、天工开物漫步道、新钢发展史雕塑和九曲栈道等。,,,4.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
