名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
鼋头渚The Turtle Head Park,http://travel.qunar.com/p-oi720526-yuantouzhu,"

地址:
无锡市鼋渚路1号


电话:
0510-96889688


官网:
http://www.ytz.com.cn/

",鼋头渚是太湖北部的一处半岛，形似浮鼋翘首而得名。在这里你可以游览庞大的园林群，坐船感受太湖的烟波浩渺，登太湖仙岛一探秘境，也可以在春日来此品赏樱花，体会“太湖佳绝处、毕竟鼋头渚”的意境。每年春季樱花齐放是这里的一大奇观，更有热闹的樱花节。鼋头渚三面环水，既有山长水阔、帆影点点的自然美景，又有小桥流水的山乡田园风光，是太湖山水景色大美之处。太湖仙岛是鼋头渚必游之处，岛上有道教仙宫和道、佛两教石窟塑像。登临半岛上的鹿顶山可环顾湖滨翠色，天气晴好时能看到湖面上的翩翩舟影，感受到太湖的浩淼之美。鼋头渚作为赏樱之地，其独特之处，一是“水陆空”全景式赏樱。二是可以在夜晚赏樱，樱花与灯光结合，美不胜收。鼋头渚的早樱一般于3月上旬开花，多为单瓣或半重瓣。依樱花的开花时序，将其分为早、晚樱，早开樱花的类别多，花期（从初开、盛开到花落）一周时间，晚樱花期可有7-10天，受升温速度影响，早晚花期有5-12天的间隔，期间是一些杂交品种樱花开放。一般3月中下旬的时候染井吉野樱进入盛花期，也就是最佳观赏期了。具体哪段时间进入盛花期需要看当时的天气，如果有冷空气的话，可能就会推迟盛花期。鼋头渚还有诸多古迹和旧时的名流显贵所建的私家园林，比如包含了“太湖佳绝处”门楼和长春桥的横云山庄、无锡古老的寺院广福寺等。而细细品味随处可见的历代名人雅士游踪、石刻、书画等遗存，也是游鼋头渚的一大乐趣。另外，若有时间还可去万浪桥看看，这里是观赏太湖落日的好地方。鼋头渚的充山大门（正大门，景区东南部）可进可出，犊山大门（景区北部）只出不进，整个景区主要由鼋头渚半岛、太湖仙岛、中犊山组成。所有景点游览下来，大约需要一整天。对于大多数游客，一般推荐精华游法：游船码头-太湖仙岛-太湖佳绝处-横云山庄-鼋渚春涛-广福寺-鹿顶山。,1/1-3/12 周一-周五 08:00-16:00;1/1-3/12 周六-周日 08:00-16:30;3/13-12/31 周一-周五 08:00-16:30;3/13-12/31 周六-周日 08:00-17:00;3/19-3/28 17:00-21:00;4/1-4/5 周六-周日 06:30-17:00;4/1-4/5 周一-周五 06:30-16:30,https://img1.qunarzz.com/travel/d9/1712/56/90ca7c349853bcb5.jpg_480x360x95_e6dbd154.jpg,4.5,建议游览时间：12小时 - 3天,3月-4月中旬最佳，此时正是樱花盛开的好时节。10月有渔家风情节等活动。,"{'鼋头渚（送客渡船）门票成人票\n\n': ['¥88起'], '鼋头渚夜赏樱花票成人票\n\n': ['¥113起'], '鼋头渚明珠飞行体验馆（樱舞荷风）演出票大小同价\n\n': ['¥48起']}",1. 有名的鼋头渚国际樱花节通常是每年3月中旬至5月初期间举办，3月底至4月上旬是壮观的樱花盛花期，届时是踏青高峰，游客数量绝不亚于“五一”、“十一”期间。2. 若是专程来赏樱花，推荐樱花谷、充山隐秀、以及长春桥一带。3. 景区内观光游览车从充山大门出发，途径犊山大门，终点站为鼋头渚游览中心（近游船码头）。凭景区门票可免费往返乘坐游览车。4. 景区内至太湖仙岛的有普通游船和快艇（码头相距50米），普通游船单程约20分钟，费用已含在景区门票中；快艇单程30元、约10分钟，费用需另付。5. 景区内设有餐馆，在游船码头附近的横云饭店是比较老牌的旅游饭店，可以吃到无锡菜以及“太湖三白”，价格比景区外略贵但还能接受；横云饭店旁有家“太湖人家”，有卖馄饨小笼之类的小吃；另外在太湖仙岛上的天街有一家“天香楼”，也有供应各色菜肴和酒饭，以及无锡特色点心。6. 鼋头渚景区内有“无锡工人太湖疗养院”可提供住宿，位于景区北端的中犊山岛上，此处清晨有太湖独特的“中犊晨雾”之景。7. 鼋头渚附近景点众多，北面有梅园（相距约3公里），东面有蠡园（相距约4公里），南面有中视无锡影视基地（相距约6公里）等。8.鼋头渚风景区有两处售票点，一是位于风景区北部的犊山大门售票处，二是位于风景区南部的充山大门售票处。,1
"拈花湾Lingshan Town, Nianhua Bay",http://travel.qunar.com/p-oi9192748-nianhuawan,"

地址:
无锡市滨湖区马山环山西路68号


电话:
4001287777


官网:
http://www.nianhuawan.com/

",拈花湾与灵山胜境毗邻，在灵山胜境的西边，小镇风格仿古，以禅意为主题。一幢幢米色、白色的特色建筑覆盖着青色的大坡顶，门窗和柱子多用木头制成，镇中点缀着小桥流水和园林小景，是特别适合来此度假放松，修身养性的民宿小镇。白天你可以看看禅乐馆、百花堂、妙音台、拈花堂、拈花塔等建筑，逛逛工艺品小店，逛累了可以坐下来吃吃喝喝。晚上可以拍摄拈花湾寂静的夜景，看看拈花湖上奇特的3D水幕电影。步入拈花湾，仿佛进入世外桃源，这里的一切亦梦亦真。拈花湾里还有八景可以游玩，胥山大禅堂、鹿鸣谷、禅心谷、银杏谷、竹溪谷、云门谷、香月花街、优游渔港。每个人都可以在这里找到属于自己的禅意生活方式，修养身心。赶一场大禅堂的“千人上午大禅会”，得到心灵和灵魂的收获；“一花一世界”的香月花街上有百家禅意小店，让你目不暇接、流连忘返；到优游渔港码头吃一顿美餐，体会“游鱼之悠，只有游鱼自知；候鸟之乐，只有候鸟自明”的禅意。,"4/1-10/31 周一-周四,周日 09:00-21:00;4/1-10/31 周五-周六 09:00-21:30;11/1-3/31 周一-周四,周日 09:00-20:30;11/1-3/31 周五-周六 09:00-21:00;中国法定节假日 09:00-21:30",https://img1.qunarzz.com/travel/d4/1712/28/9532b1d768491cb5.jpg_480x360x95_8142d6af.jpg,4.6,建议游览时间：12小时 - 3天,,"{'灵山小镇拈花湾门票成人票\n\n': ['¥140起'], '灵山小镇拈花湾门票儿童票\n\n': ['¥75起'], '灵山小镇拈花湾门票学生票\n\n': ['¥75起']}",,1
惠山古镇Huishan Ancient Town,http://travel.qunar.com/p-oi7468425-huishanguzhen,"

地址:
无锡市北塘区古华山路


电话:
0510-83333833


官网:
http://www.chinahuishan.com/

",惠山古镇景区位于无锡锡惠公园北边，由原锡惠公园（锡惠名胜区）和惠山历史文化街区合并而成，从区域功能上划分为文物古迹区、锡惠名胜区、历史文化街区和山林保护区四个游览区。景区面积为3.5平方公里，其中核心区域为1.09平方公里。锡惠公园（锡惠名胜区）是国家重点公园，又称锡惠景区，是国家重点风景名胜区；惠山历史文化街区是无锡市级历史文化街区，惠山老街被评为中国历史文化名街；惠山祠堂群是中国世界文化遗产预备名单。祠堂建筑群始建于唐，盛于明清，现在看到的多是清代祠堂。这些祠堂涉及80多个姓氏，不妨在此寻踪问祖一回。另外，镇上的无锡泥人是不错的手信，美食也值得品尝。惠山古镇景区文物古迹众多、山水林泉俱佳。有风景名胜景点200多处，有古街、古园、古寺、古泉、古书院、古诗社、古祠堂等多种传统文化资源，时跨数千年历史。所谓唐宋元明清，自古说到今。其中市级以上文物保护单位23个44处，有无锡露天历史博物馆和无锡人民精神家园之称。著名的景点有良渚锡山先民遗址、战国时春申君饮马处、南北朝时期惠山寺庙园林、唐代天下第二泉、宋代金莲桥、明代古园寄畅园、愚公谷，明代二泉书院和碧山吟社，还有自唐以来至民国的118个祠堂及园林，二泉映月与阿炳墓园。有植物专类园——中国杜鹃园。春有杜鹃秋有菊，四季花开芬芳。惠山老街彰显江南山麓水乡古镇韵味，人杰地灵，人们在此寻根祭祖，慎终追远。惠山泥人，惠山庙会，体现无锡乡风民俗。惠山古镇由南北走向的横街和东西走向的直街（绣嶂街）围成，直街的东端有写着“惠山古镇”四个大字的古镇大照壁，非常好认；横街的北端，即惠钱路与通惠西路的交汇处是售票点。横街与直接的交汇处毗邻锡惠公园的古华山门和秀璋门，往北一点有人杰地灵牌坊，惠山上的泉水汇入牌坊后的承水井，龙头河从这里由西南向东北流入大运河。祠堂主要集中在龙头河沿岸和直街上，横街上的祠堂稍少。除去门票上可入内参观的景点，有很多祠堂并不开放，只能在外面看看，祠堂门口都有介绍牌。祠堂多数为典型的江南建筑，白墙黑瓦，木头门窗，有的自带小小的园林，杨藕芳祠比较特别，融入西式建筑风格，有点像砖石砌成的石库门。在龙头河沿岸的，由西南向东北依次为潜庐（留耕草堂）、无锡非物质文化遗产展示馆、杨藕芳祠、濂溪周夫子祠（光霁祠，周濂溪即写《爱莲说》的周敦颐）、惠山园（李公祠，李公即李鸿章的兄弟李鹤章）。从杨藕芳祠后面的小道可到达顾洞阳先生祠（顾可久祠），祠堂的园林中有块高大的太湖石。在直街上需要出示门票的景点，由西向东依次为倪云林先生祠、范文正公祠、陆宣公祠、徐孺子祠。龙头河沿岸最东北边的景点是中国泥人博物馆，也要出示门票。馆内既能看到南派的无锡大阿福，也能看到北派的泥人张，还能看到师傅制作泥人的过程。如果喜欢，在馆内就可以买到无锡泥人，当然，在馆外的古镇上逛逛，也可以淘到泥人。若追求小资情调，龙头河两岸绿树成荫，彩伞成排，坐在遮阳伞下的桌子边，喝喝咖啡，或者点一壶茶，河畔轻风吹过，别提有多惬意了。南京的先锋书店在古镇上开了分店（绣嶂街186号），木头花窗内，弥漫着文艺调子。古镇的美食也不容错过，惠山豆腐花（横街13号）经常排队；距它不远的忆秦园小笼包据说上过《舌尖上的中国》，蟹粉小笼是招牌；老菜馆（绣嶂街3号）主营精致的无锡菜；一亩三分田（绣嶂街24号）的苏式面很赞。油酥饼更是这里的特色，在古镇上走两步就能看见一家油酥饼店，可以买来边逛边吃。惠山古镇和锡惠公园可一并游览，公园里有著名的寄畅园、孕育出二胡名曲《二泉映月》的天下第二泉等景点。,03/01-10/31 08:00-17:30;11/01-2/28 08:30-17:00,https://img1.qunarzz.com/travel/d9/1612/27/33107f026397e1b5.jpg_480x360x95_44a205a5.jpg,4.5,建议游览时间：2小时 - 4小时,,"{'惠山古镇电子讲解服务大小同价\n\n': ['¥0.5起'], '锡惠公园电子讲解服务大小同价\n\n': ['¥0.7起'], '惠山古镇文物古迹区+锡惠名胜区门票成人票\n\n': ['¥64.9起']}",,1
蠡园Li Garden,http://travel.qunar.com/p-oi705786-liyuan,"

地址:
无锡市滨湖区环湖路18号


电话:
0510-85101380,0510-85133343


官网:
http://www.lihupark.com/

",蠡湖，原名五里湖，是太湖东北处的一个内湖，伸入蠡湖的蠡园是无锡的老牌公园，具有江南园林风格，以水景见长，细细窄窄的长提、小桥、长廊架于水上，到了3、4月份桃花盛开，6-9月荷花盛开，宛如一座水上花园。1927年-1936年在原有蠡湖畔青祁八景基础上建蠡园，后几经扩建。相传春秋时范蠡、西施退隐太湖，即在这里泛舟，园内的建筑多以范蠡、西施为主题，来这一看爱情，二看精致。进蠡园大门往左是假山群，先不去假山那玩，一圈逛出来时再去。走百花山房方向，向南到四季亭。四季亭指的是一方水塘的四条边上各有一个亭子，春亭旁种梅花，夏亭旁种夹竹桃，秋亭旁栽桂花，冬亭旁种腊梅。四季亭北边有块大草坪，在草坪上坐坐，和三四好友聊天，或者来顿野餐，十分惬意。继续向南走，到蠡湖上的长堤“南堤春晓”。这里是春天赏花的好地方，堤上一排垂柳，柳枝随风摇摆，柳树间夹种着很多桃树，桃花品种很多，一棵桃树上还会开出不同颜色的桃花。还有梨花、樱花，吹落的花瓣铺在湖面上，好似一副花团锦簇的锡绣。南堤春晓的西南角有望湖亭“月波平眺”。西施庄是蠡湖南边人工堆砌出来的小岛，沿着水边的石板路绕岛一周，沿路错落有致地分布着多以范蠡、西施命名的景点。在陶朱公馆中图文介绍范蠡助越王勾践打败吴国、退隐后经商的一生，商圣堂里有个超级大的算盘很好玩，算珠要用两只手用力拉才掰得动。西施园里布置着西施的绣坊、闺房、书斋，陈列着锡绣展品。岛上还有春秋戏台等景点。坐船回到南堤春晓，往东北方向走，到千步长廊。这是蠡园的老建筑物，跨在蠡湖上，一侧是墙，另一侧临水，墙上80个镂空花窗图案各异，十分精美。千步长廊东边尽头有湖心亭“晴红烟绿”，与亭隔水相望的凝春塔红砖青瓦，小巧而色彩对比强烈，是蠡园的标志性建筑之一。在蠡园的东部区域，可以比较近地看见东边蠡湖公园的摩天轮，以蠡园为前景，摩天轮为背景，拍出的照片很文艺。接着往西北走，到还是属于东部区域的春秋阁。楼阁有三层，是蠡园的高建筑，楼上设茶座，可一边喝茶，一边远眺蠡湖秀色。最后回到假山群，一大片太湖石堆叠而成各种奇峰，都以“云”字命名，如云窝、云脚、穿云等，其中归云峰是最高的，高12米。进入假山群，犹如进入迷宫，还可以爬到假山上玩。蠡园与西边的鼋头渚离得较近，不少游客会把鼋头渚与蠡园安排在一天游览。,8:00-16:00，入园截止时间15:30，游船截止时间为16:00。,https://img1.qunarzz.com/travel/d7/1706/2a/b4339c8289d3db5.jpg_480x360x95_20f818ab.jpg,4.6,建议游览时间：2小时 - 3小时,四季皆宜，最佳是每年春夏季，因为届时有梅花节、荷花节、桃花节、萤火虫等活动进行。,"{'蠡园门票成人票\n\n': ['¥28起'], '蠡园景区船票成人票\n\n': ['¥28起'], '蠡园门票（含西施庄）+游船票成人票\n\n': ['¥63起']}",,1
灵山大佛Lingshan Giant Buddha,http://travel.qunar.com/p-oi8598799-lingshandafo,"

地址:
无锡市滨湖区马山灵山路


电话:
400-168-0303


官网:
http://www.lingshan.com.cn/

",灵山大佛，坐落于无锡太湖边的小灵山上，是规模宏大壮观的佛祖青铜立像。大佛是中国五方五大佛之一，开光时有众多大师前来举办盛大仪式，传说对大佛祈福参拜十分灵验。大佛位于灵山胜境景区深处，距离大门约1.2公里，到大佛面前需要从景区内步行或乘观光车来到大佛前的广场，从广场到大佛脚下需要走288级台阶，不过坡度平缓并不费力。参观灵山大佛，首先会感受到的便是大佛的规模，整个大佛通高88米，其中佛体高79米，大佛的每个手指的直径就有1米。开车行至附近，远远就能看到大佛屹立于山上。由于其高大，在大佛脚下并不能拍到大佛的全部，而需要拉开一定距离，在大佛脚下的祥符禅寺附近拍摄比较合适。参观大佛有一个有意思的现象。当你瞻仰大佛时，不论走进走远，走左走右，大佛的眼神始终在注视着你，好似“佛法无边，无所不见”。这体现了大佛建筑中雕塑家设计的神来之笔，创造了如此神奇的效果。到达大佛脚下首先来到基座面前，灵山大佛的基座也十分庞大，高9米，相当于两三层楼房。基座内部是一座佛教文化展览馆，里面展示了中国五方五佛、汉藏南传三路佛教的文化和故事，值得参观。展览馆内有电梯通到佛脚旁边，乘电梯而上就可以前去抱抱佛脚，为自己抱来平安。因大佛而建起的灵山胜境景区现也广为人知，有灵山梵宫、九龙灌浴、天下第一掌等众多精彩景点，值得一一游玩。,全年 07:30-17:00;全年 07:00-17:30,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20219/6e48697695a84deac79a2d9f0915103c.jpg_480x360x95_3fc5f6e9.jpg,4.8,建议游览时间：1小时 - 2小时,,"{'灵山胜境门票成人票\n\n': ['¥193起'], '灵山胜境门票儿童票\n\n': ['¥105起'], '灵山胜境门票学生票\n\n': ['¥105起']}",,1
宜兴竹海Yixing Zhuhai,http://travel.qunar.com/p-oi702760-yixingzhuhai,"

地址:
无锡宜兴市湖滏镇竹海村


电话:
0510-87479609


官网:
http://www.yxzhuhai.cn/

",宜兴竹海位于宜兴市区西南处，横跨江苏、安徽、浙江三省。这片竹海是名副其实的“竹的海洋”，场景蔚为壮观。春天，宜兴竹海绿得鲜艳可爱，在春雨后，别有一番“空山新雨后”的意境；夏天，成片的竹林带来凉意，温度要比城里低很多，是有名的避暑胜地。景区只有一扇大门，进入后，顺小道前行，先看到的景点是镜湖。镜湖湖面倒映着四周的绿竹和青山，湖中生活着有“活化石”之称的桃花水母，在湖东有看水母的水母亭。湖西有晃晃悠悠的索桥、寂照禅寺、千年古银杏等景点。玩过镜湖后，坐缆车和徒步便需“兵分两路”，坐缆车往左走，几分钟就能到上客站；徒步往右走，约走20分钟到“海底”，即“竹海的底部”的意思，然后可以开始登山。在缆车上可以从高空俯看竹海，有一种武侠片里大侠施展轻功用脚尖在竹林上飞驰的感觉。下缆车后，需再爬一小段路到山顶，在山顶的凌云阁可登高观景。站在这里，俯看满山遍野的竹林，山风吹过，摇摆的竹林像大海起伏的波浪，镜湖如同一块翡翠镶嵌其中。有趣的是，往北看是江苏宜兴地界，往西看是安徽宣城地界，往南看是浙江湖州地界。下山的路越是靠近山脚，伴随在路边的溪水越是大。当你下到山脚“海底”处，可以看到边上有块石头上刻着“太湖之源”，石下一潭池水，非常清澈。山上的泉水汇入太湖，所以得名“太湖之源”。在景区外面有一些农家乐，农家乐做的特色菜都和竹笋有关，可以品尝一番。,全年 08:00-16:30;全年 08:00-17:00,https://img1.qunarzz.com/travel/d9/1506/9e/7ab8161f814518.jpg_480x360x95_d7bfae42.jpg,4.6,建议游览时间：12小时 - 3天,夏季最佳，是江苏有名的避暑胜地，可在竹海风景区内享受凉爽夏日，休养生息。,"{'宜兴竹海风景区门票成人票\n\n': ['¥70起'], '宜兴竹海风景区电子导览服务大小同价\n\n': ['¥0.39起'], '宜兴竹海风景区门票+善卷洞门票成人票\n\n': ['¥180起']}",,1
清名桥古运河景区Qingming Bridge Ancient Canal Scenic Area,http://travel.qunar.com/p-oi708484-qingmingqiaoguyunhejing,"

地址:
无锡市南长区向阳路38号


电话:
0510-82822422,4001011258,0510-818100909,0510-82823359


官网:
http://www.qmqgyh.com/

",清名桥古运河景区位于无锡市中心，仿古的水乡建筑和真正的老宅一起组成了街区，有可以参观的景点，也有酒吧、餐馆。这里夜景要比日景更美，粉墙黑瓦的宅子亮起了灯，一串串红灯笼倒映在运河里，吸引了无数摄影爱好者。坐在游船上，从南禅寺码头到跨塘桥一段见到的是古色古香的仿古建筑，阳春巷商业区。从跨塘桥到清名桥是精华部分，被称为“江南水弄堂，运河绝版地”，在右岸看到“运河古邑”的牌坊，就意味着进入由老房子改造的真正历史街区了，沿途可以发现许多临水的美人靠、小露台。经过大公桥，在右岸有中国丝业博物馆，过清名桥，左岸是无锡窑群遗址博物馆，再往前到水仙道院，看见“棠树留荫”牌坊，意味着街区到此为止。建议坐游船到水仙道院下，然后步行回南禅寺码头，沿途可以参观水仙道院、运河文化艺术馆、坎宫救熄会、中国丝业博物馆等景点，有兴致也可以拐到阳春巷逛逛。,全天开放。游船9:00-21:30，详情以景区公示为准。,https://img1.qunarzz.com/travel/d8/1612/ef/12712cc7695504b5.jpg_480x360x95_d80a5bc7.jpg,4.5,建议游览时间：2小时 - 3小时,秋季最佳，可参与古运河系列活动，同时在无锡品尝当季鲜美的水产。,"{'无锡古运河游船夜场船票\n\n': ['¥85起'], '无锡古运河游船日场船票\n\n': ['¥70起'], '江南古运河游船精华游游船（跨塘桥码头）票成人票\n\n': ['¥85起']}",,1
南长街Nanchang Street,http://travel.qunar.com/p-oi5346194-nanzhangjie,"

地址:
无锡市梁溪区太湖大道60号

",南长街，无锡古街之一。曾经伴随着悠悠的古运河，延伸在一代代无锡人的心中。现在的南长街，正以一种优雅独特、缤纷多彩的靓装和韵味，改变着自己，装扮着自己，融合在无锡人的慢生活中，变得更加漂亮、年轻、时尚。夜晚，步入南长街，顿时就融入到了一片华光倒影、灯红酒绿之中去了。,全天开放,https://img1.qunarzz.com/travel/d1/1611/6e/cde3b6fdcd18b5b5.jpg_480x360x95_b605e33d.jpg,4.6,建议游览时间：2小时 - 3小时,,免费开放,,1
锡惠名胜区Xihui Park,http://travel.qunar.com/p-oi704652-xihuimingshengqu,"

地址:
无锡市粱溪区惠山直街2号


电话:
0510-83333833,0510-83702144,0510-83707864

",锡惠公园西边惠山脚下的名胜区是游客主要游览的景区，包含寄畅园、惠山寺、天下第二泉等著名景点。名胜区东边是映山湖，再东边是锡山，相传周秦时盛产锡矿，到了汉代锡被挖光了——无锡了，无锡的城名正来源于此。每年的春天，一般在4月份，这里会举办惠山民俗文化庙会。因为每年的农历三月二十八是惠山东岳大帝黄飞虎的生日，无锡城中有八座寺庙的“老爷”要到惠山来庆祝生日。届时能看到穿着古装的巡游队伍抬着“老爷”，穿过惠山古镇、锡惠公园，十分热闹。4月又是杜鹃开放的时候，锡惠公园有杜鹃展；到了秋天，还会有菊花展。10元钱的休闲区观光票指的是锡山区域，不含名胜区。若只去公园爬爬锡山不去名胜区的话，买10元钱的门票就行了。70元的全票既可以游览名胜区，也可以游览10元观光票所包含的区域。需要注意的是，如果买了10元门票，又突然想去名胜区，得再补张70元的全票。所以游玩之前，最好先想清楚自己要玩哪些地方。锡惠公园共有五个大门。古华山门和秀璋门在公园北边，临着惠山古镇，两门相距挺近，秀璋门离映山湖更近些，去名胜区的话从古华山门进。锡山西大门（青山西门）、锡山中门、锡山东门（大桥东门）在公园的南边，去锡山从这三扇门进都可。其中西门进去有锡惠索道，注意索道是去隔壁惠山的，去锡山顶无索道，锡山也不高，才75米，爬爬很快就到顶。另外，游乐园也在西门那边，带小孩要去游乐园玩的游客也可从西门进。古华山门进去就是建于明嘉靖初年的寄畅园，保存完好，是无锡最著名的江南园林。巧妙地借景“二泉”（惠山泉）、惠山、锡山，引“二泉”水入园作水景，又可见到远处锡山上的龙光塔倒影在园内池塘的景象。园内还有清朝康熙、乾隆二帝御书的石匾额。往南走，到始建于南北朝的惠山寺。寺中粱朝的龙眼泉、唐宋石经幢、唐代听松石床、宋代金莲桥、明洪武银杏、清御碑等都是真正的古迹。中国人耳熟能详的“锄禾日当午，汗滴禾下土”——唐朝诗人李绅的《悯农》即写于此处。再往南，便是大名鼎鼎的天下第二泉。唐朝《茶经》作者陆羽给天下泡茶的泉水排名，认为惠山泉的品质第二。这里共有上、中、下三池，到了夜晚，月亮倒映在池中，在这孕育出了瞎子阿炳的二胡名曲《二泉映月》。第二泉旁边有茶庄，一定要喝一杯第二泉泡的茶，再听听茶庄播放的《二泉映月》，十分惬意。此外，名胜区还有二泉书院、华孝子祠等景点。全部游完后，还想去锡山，就往东走，过映山湖，然后爬台阶上锡山顶。山顶有建于明代的龙光塔，是无锡的地标之一，塔不能上，只能外面看看。最后下山到锡山中门入口的九龙壁看一看，虽然是新建的，但五颜六色的彩陶制成的浮雕，琉璃瓦顶，还挺漂亮的。锡山南边，西门入口处的游乐园则有碰碰车、迷你穿梭、摇头飞椅等游乐设施，需另外付费。公园秀嶂门进门左侧，有一家土特产商店，出售的特色美食惠山油酥饼比较正宗。秀嶂门门口的一亩三分田吃苏式面很赞，红汤里加入芝麻，香喷喷的。惠山古镇上也有些餐馆，可尝尝无锡特色美食，无锡小笼、无锡排骨等。无锡菜的口味偏甜，可能外地游客会吃不惯。惠山古镇可与锡惠公园一并游览，有许多祠堂，还有中国泥人博物馆。在镇上的小商铺里买点无锡泥人自己留作纪念或送人，都是极好的。,3月1日-10月31日8:00-17:30；11月1日-次年2月29日8:30-17:00。,https://img1.qunarzz.com/travel/d6/1708/42/79b5f711ac4dbb5.jpg_480x360x95_8aa2d6cd.jpg,4.6,建议游览时间：12小时,春、秋两季最佳，公园在两季内举行杜鹃花和菊花卉展览。,"{'惠山古镇文物古迹区+锡惠名胜区门票成人票\n\n': ['¥64.9起'], '锡惠公园电子导览服务大小同价\n\n': ['¥9起']}",,1
灵山胜境Lingshan Shengjing,http://travel.qunar.com/p-oi710374-lingshanshengjing,"

地址:
无锡市滨湖区马山镇灵山路1号


电话:
400-168-0303,4001680303


官网:
http://www.lingshan.com.cn/

",灵山胜境坐落于无锡太湖之滨，小灵山东麓，景区的主要景点有高88米的铜佛像——灵山大佛、华美的灵山梵宫，五印坛城，此外还有精彩的表演九龙灌浴和灵山吉祥颂。你既可以来这观光旅游，也可以拜佛祈福，甚至进行禅修。灵山胜境内景点主要沿着两路，进大门直走一路上的重要景点由南到北依次为九龙灌浴、佛手广场、祥符禅寺、灵山大佛；进大门右手一路上的重要景点为南边的五印坛城和北边的灵山梵宫。先玩直走的一路，再玩右路，按九龙灌浴-佛手广场-祥符禅寺-灵山大佛-灵山梵宫-五印坛城的顺序既可游览完景区的主要景点，其他一些牌坊、雕塑之类的小景点，在路上经过时都会看到。若不愿走路，可坐电瓶车，站点涵盖主要游览区域。进大门过灵山大照壁后直奔九龙灌浴等候表演，表演时喷泉中央的铜莲花会打开，露出释迦牟尼刚出生时“天上天下，唯我独尊”的铜像，喷泉周围的九条龙一起喷出水柱为释迦牟尼沐浴，最后铜莲花再次合上。演出结束后喷泉周围八组凤凰雕像的口中会流出净水“八功德水”，可直接饮用，据说能带来吉祥平安，记得带上个空瓶子去接水。接着来到佛手广场，左侧的“天下第一掌”佛手铜像是按照灵山大佛右手1:1比例造的，让你近距离体会下灵山大佛到底有多大，光这只佛手就有三层楼高，手指的直径有1米，你可以“摸摸佛手，增福添寿”。右侧的百子戏弥勒铜像趣味盎然，一百个在弥勒佛身上嬉戏的顽童有的在叠罗汉，有的在拿小树枝捅弥勒的肚脐，更有调皮的竟然在撒尿，据说顽童们正在考验弥勒是否真的“大肚能容天下事”。往北到祥符禅寺，小小的一座寺庙却是整个灵山胜境的发源地。相传唐僧觉得这里的风景像印度的灵鹫山，就把这叫“小灵山”，他的大弟子窥基任“小灵山刹”的第一任主持，到了北宋祥符年间，寺庙改名祥符禅寺，可惜近代被毁，现在看到的寺庙是改革开放后重建的。寺庙中立有一尊露天的和灵山大佛一模一样的缩小版铜佛像，在这一眼能看见缩小版灵山大佛和远处的原版灵山大佛，相映成趣。接着到这一路最北端的灵山大佛，先要爬200多级台阶到佛脚下，台阶坡度舒缓，不会太累。要拍照的话在佛脚下的角度不是很好，更建议在刚才祥符禅寺附近拍大佛全景。到了佛脚下所有游客都爱做的一件事就是抱佛脚求平安，不过佛实在太大，一个人只抱得住佛的一个脚指头。大佛底下的基座内则有佛教文化博览馆，介绍五方五佛（东方的灵山大佛，北方的云冈大佛，中原的龙门大佛，西方的乐山大佛，南方的香港天坛大佛），藏传、南传、汉传三大佛教的文化和故事。然后转到东侧那一路的灵山梵宫，梵宫外形上有点像中欧建筑，看上去颇有异域风情；入内要穿鞋套（景区提供），里面可谓金碧辉煌，金的柱子，金的屋顶，东阳木雕、敦煌飞天彩塑、五彩琉璃……中国式的“珠宝”汇聚一堂，尤其要抬头看屋顶，一层层金光灿灿的雕塑，最顶上蓝色灯光打造的漫天星辰与周边金色佛国世界形成强烈的色彩对比，大多数游客进梵宫后基本都保持仰头张嘴惊叹的姿势。灵山梵宫内还有灵山吉祥颂表演可看，讲述释迦牟尼悟道的过程。看表演时也要注意下头顶，穹顶上1500盏一圈圈密密麻麻排列的莲花灯，会变幻不同的灯光色彩，像彩虹一样绚丽。最后到达红白相间的藏式寺庙五印坛城，坐落于一片湖水中央，隔湖向东眺望还能见到类似东南亚佛教（南传佛教）建筑的曼飞龙塔，风吹塔上风铃飘来悦耳的声音。五印坛城内收藏了来自雪域的唐卡、壁画等宝物。,11/1-03/31 07:00-17:00;04/01-10/31 07:00-17:30,https://img1.qunarzz.com/travel/d3/1703/d7/e066f246cfd87cb5.jpg_480x360x95_f1b3b8a2.jpg,4.7,建议游览时间：12小时 - 3天,,"{'灵山胜境门票成人票\n\n': ['¥193起'], '灵山胜境门票儿童票\n\n': ['¥105起'], '灵山胜境门票学生票\n\n': ['¥105起']}","
1.景区大门口可请导游，外语讲解需提前预约。 2.灵山梵宫门口可租借讲解器，讲解器讲解的是梵宫里的景点。 3.外面的香烛不可以带入景区，请香得在景区内。灵山大照壁北边的佛足坛西侧、佛手广场的东西两侧、灵山大佛下都有请香处。 4.旅游纪念品在佛足坛西侧、九龙灌浴东西两侧、佛手广场东西两侧、祥符禅寺后的杏坛广场东侧、灵山大佛下的随喜堂等地都有出售,可以请到佛教书籍、开光法器、迷你大佛佛手摆件等。 
",1
