名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
珠穆朗玛峰Mount Qomolangma,http://travel.qunar.com/p-oi713220-zhumulangmafeng,"

地址:
日喀则市定日县正南方，喜马拉雅山中段之中尼边界


电话:
17397111701

",珠穆朗玛峰在藏语中意为：第三女神，位于日喀则地区定日县中尼边境，海拔8848.86米，是喜马拉雅山脉的主峰，世界高峰。珠峰周边8000米以上的山峰有4座、7000米以上的山峰有40余座。珠穆朗玛峰山体呈金字塔型，威武雄壮，山顶白雪皑皑终年覆盖，东北山脊、东南山脊和西山脊中夹着三大陡壁（北壁、东壁和西南壁），在这些山脊和峭壁之间又分布着500多条大型冰川，冰川上有千姿百态、瑰丽罕见的冰塔林和高达数十米的冰陡崖、冰裂缝。瑰丽的景观聚在一起，构成了雄壮大气的地球第三极。珠...珠穆朗玛峰在藏语中意为：第三女神，位于日喀则地区定日县中尼边境，海拔8848.86米，是喜马拉雅山脉的主峰，世界高峰。珠峰周边8000米以上的山峰有4座、7000米以上的山峰有40余座。珠穆朗玛峰山体呈金字塔型，威武雄壮，山顶白雪皑皑终年覆盖，东北山脊、东南山脊和西山脊中夹着三大陡壁（北壁、东壁和西南壁），在这些山脊和峭壁之间又分布着500多条大型冰川，冰川上有千姿百态、瑰丽罕见的冰塔林和高达数十米的冰陡崖、冰裂缝。瑰丽的景观聚在一起，构成了雄壮大气的地球第三极。珠峰地区气候复杂多变，即使在一天之内，也往往变化莫测。一般来说，每年6-9月初为雨季，这个时候来珠峰地区，遇到大风雪的机率非常高。较好的观赏季节在4-5月和9-10月间，这段时间也是登山是好时节。如果你不是训练有素的登山者，来珠峰无非是远观一下雄壮的第三女神；在大本营住一晚，感受海拔5200米的温度；体力好的，也可以走一段距离，去近距离观赏壮观的绒布冰川。游玩珠峰，大多数人会住在绒布寺附近藏民自建的营帐里。一般营帐内可住宿6-8人，收费50-60元/人。营帐主人一般也可以提供餐饮，不过只有酥油茶、青稞饼、桶装方便面和红牛饮料之类。另外需要注意的是营帐没有厕所，只有距离营帐50米远处有一个公厕，半夜如厕的话，还是需要一定的勇气，毕竟雪山下的寒风还是很刺骨的。从绒布寺附近去往意义上的珠峰大本营还需要乘坐珠峰环保车前往，车费25元/人，约行驶20分钟即可抵达。这里有可能是世界上高海拔的邮局，可以购买珠峰相关的首日封和明信片。运气好的时候，还能盖到很多珠峰相关的邮戳。邮局外面，写着“珠穆朗玛峰大本营，海拔5200M”的碑是游人的合影伙伴，大家都希望给自己的珠峰之行留下一张美好的照片，所以，拍照的人经常要排队等待。如果身体不适应，也可以选择住在定日县城内。县城内可选择的旅馆和餐馆相对较多，但是价钱都不算便宜。,全天开放,https://img1.qunarzz.com/travel/d7/1610/3c/8d5c2cf2c59d97b5.jpg_480x360x95_12febda0.jpg,4.7,建议游览时间：5小时 - 1天,5月份和9-10月份这两个时间段比较适合攀登，此时海拔八千多米高处的风速较小，而且少有雨雪。,"{'珠峰+羊湖+卡若拉冰川纯玩3日游（可选小团/供氧团/住大本营帐篷可选）\n\n': ['¥999起'], '珠峰纳木措羊湖经典环线5日游丨色林措58冰川环线/奇林峡小团套餐可选丨纯玩全含经验司机\n\n': ['¥1780起'], '日喀则出发丨珠峰大本营星空日落纯玩2日游丨可接火车站/可选保姆车制氧/小团升级住宿套餐\n\n': ['¥879起']}",1、前往珠峰旅游，必须办理边防证，可以在户籍所在地办理，也可以在拉萨或日喀则凭身份证委托旅行社办理。2、珠峰大本营附近唯一能住宿的地方就是绒布寺往南2公里的珠峰大本营帐篷区，60元∕床。,1
珠峰大本营Mount Qomolangma Base Camp,http://travel.qunar.com/p-oi3739169-zhufengdabenying,"

地址:
日喀则市定日县珠峰路

",珠峰大本营，是为了保护珠峰核心区而设立的一片保护地带，是观赏拍摄珠峰的好位置之一，也是登山队从中国这一侧攀登珠峰时的大本营。每年的4-6月是登山季，是珠峰大本营热闹的时候，也是能拍摄到珠峰旗云的时候。珠峰大本营交通不便，汽车只能开到绒布寺旁边的帐篷营地，游人通常包车从日喀则市区或拉萨前往，来回大约需要4天。部分游客会在帐篷营地留宿，价格不贵，但硬件条件比较艰苦。大本营有武警值守，旁边有一块立碑，上面刻着“珠穆朗玛峰大本营，海拔5200m”字样，游客多在此...珠峰大本营，是为了保护珠峰核心区而设立的一片保护地带，是观赏拍摄珠峰的好位置之一，也是登山队从中国这一侧攀登珠峰时的大本营。每年的4-6月是登山季，是珠峰大本营热闹的时候，也是能拍摄到珠峰旗云的时候。珠峰大本营交通不便，汽车只能开到绒布寺旁边的帐篷营地，游人通常包车从日喀则市区或拉萨前往，来回大约需要4天。部分游客会在帐篷营地留宿，价格不贵，但硬件条件比较艰苦。大本营有武警值守，旁边有一块立碑，上面刻着“珠穆朗玛峰大本营，海拔5200m”字样，游客多在此合影。此外，还可以在帐篷邮政所买明信片盖邮戳，5元一个，其中有2008年奥运圣火登珠峰的邮戳，还是很有纪念意义的。需要注意的是，由于这里处于边境地带，出发前需提前办理边防证，部分地段路况较差。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1611/d3/9edcb32307d98eb5.jpg_480x360x95_0bc6077e.jpg,4.6,建议游览时间：12小时 - 3天,每年的4月初到5月底间，是珠峰登顶的最佳时机。Tips对摄影爱好者而言，4月间是最好的月份，此外，每年5至6月以及9至10月也是理想的季节。,"{'珠峰+羊湖+卡若拉冰川纯玩3日游（可选小团/供氧团/住大本营帐篷可选）\n\n': ['¥999起'], '珠峰纳木措羊湖经典环线5日游丨色林措58冰川环线/奇林峡小团套餐可选丨纯玩全含经验司机\n\n': ['¥1780起'], '日喀则出发丨珠峰大本营星空日落纯玩2日游丨可接火车站/可选保姆车制氧/小团升级住宿套餐\n\n': ['¥879起']}",,1
扎什伦布寺Tashilhunpo Monastery,http://travel.qunar.com/p-oi708559-zhashenlunbusi,"

地址:
日喀则市几吉郎卡路1号


电话:
0892-8828370

",扎什伦布寺的藏语意为“吉祥须弥山”，是格鲁派六大寺院之一（其余五个是：甘丹寺、哲蚌寺、色拉寺、塔尔寺、拉卜楞寺），也是藏传佛教格鲁派在后藏地区规模较为庞大的寺院。公元1447年由格鲁派祖师宗喀巴大师的弟子根敦珠巴主持创建，历时12年方才建成。自四世班禅之后，扎什伦布寺成为历代班禅驻锡之地。措钦大殿是扎什伦布寺的主殿，步入寺院大门眼前的建筑物就是此殿。殿门外是由回廊围成的院落，是寺院的讲经场。过去班禅大师经常在这里向全寺僧人讲经布道，也是喇嘛们进行宗教答辩的场地。大殿前部是大经堂，经堂的中央是班禅的宝座，经堂后面的三间佛殿，释迦牟尼殿居中，西侧是弥勒殿，东侧为度母殿。寺内宏伟的建筑是大弥勒殿，藏语称“强巴康”，佛殿分五层，下面还有两层回廊。殿高三十米，全为石垒砌，接缝密实，庄严肃穆。整个佛殿呈阶梯状，层层收拢高出。每层顶角各卧雄狮一尊，殿堂以铜柱金顶装饰，气势雄伟壮阔。中间供奉着1914年九世班禅曲吉尼玛主持铸造的鎏金青铜强巴佛，即弥勒佛的坐像。佛像高26.2米，蹲坐在高达3.8米的莲花基座上，威武庄严。佛像眉宇间镶饰有大小钻石、珍珠、琥珀、珊瑚、松耳石等宝石1400多颗，佛身共耗黄金6700两，黄铜23万多斤。寺院东部，有7座灵塔殿，内有历代班禅的舍利塔。其中有名的为觉干夏殿，殿中四世班禅灵塔建于1662年，塔高11米，金银为底，银皮裹身，嵌有珠宝玉石等物，塔内放有四世班禅遗骨。五至九世班禅合葬灵塔殿称“扎什南捷”，五至九世班禅的遗骨分装在5个檀香木盒内，安放在灵塔的宝瓶里。灵塔正中安放着九世班禅曲吉尼玛的铜像。灵塔高度为11.52 米，塔身镏金，以银皮包裹，遍镶珠宝，雕饰华美，造型庄严。寺内还藏有珍贵文物多种，其中价值较高的要算悬挂在“加纳拉康”内清乾隆皇帝的画像和收藏在此的各种文物。有宋、元、明、清时代的影青、青花、龙泉等名贵瓷器，有丝或织绵的佛像卷画，有玉石、水晶等工艺品和明代铜佛等，都是传世的珍贵文物。展佛台位于扎什伦布寺的东北部，由根敦珠巴为纪念释迦牟尼诞生、成佛、涅磐而建，后经四世班禅洛桑曲吉进行了大的修建。每年藏历5月15日前后三天，都会举行隆重的展佛活动，将过去佛（无量光佛）、现在佛（释迦牟尼佛）、未来佛（强巴佛）这三幅刺绣佛像展挂在高32米的展佛台上，僧众和信教群众顶礼膜拜，敬献哈达。,全年 09:00-19:30,https://img1.qunarzz.com/travel/d7/1712/c6/01753c5e60c202b5.jpg_480x360x95_1e27b205.jpg,4.6,建议游览时间：2小时 - 3小时,四季皆宜，夏季更好。,"{'扎什伦布寺门票+1对1人工讲解服务大小同价\n\n': ['¥180起'], '扎什伦布寺电子导览服务大小同价\n\n': ['¥0.5起'], '珠峰纳木措羊湖经典环线5日游丨色林措58冰川环线/奇林峡小团套餐可选丨纯玩全含经验司机\n\n': ['¥1780起']}",1、扎寺的展佛台，西藏黄教各大寺院绝无仅有，其为扎寺一大特点。2、这里的壁画很有特色，是佛教艺术的杰作。3、在寺庙中可以看到许多放生狗、放生鸡等，与人们和平相处。4、注意高原反应的预防，建议服用携氧片或上高原前一周开始服用红景天。,1
卡若拉冰川Karuola Glacier,http://travel.qunar.com/p-oi5740750-karuolabingchuan,"

地址:
日喀则市江孜县卡若拉山口

",卡若拉冰川位于浪卡子县和江孜县交界处，非常壮观。电影《红河谷》、《江孜之战》、《云水谣》都曾在此拍摄外景。由于卡若拉冰川就在羊卓雍错去往江孜县城的路上，因此通常会将二者安排在同一行程中游览。在路边就能远远看到冰川的轮廓，而想要近距离观看冰川可购票进入景区内。在路边停车拍照可能会遇到当地人上前收费。,全年 9:00-17:00,https://img1.qunarzz.com/travel/d4/1709/3c/c4640965094628b5.jpg_480x360x95_f0169d51.jpg,4.4,建议游览时间：1小时 - 2小时,四季皆宜。,"{'卡若拉冰川门票+往返直通车票大小同价\n\n': ['¥742起'], '珠峰+羊湖+卡若拉冰川纯玩3日游（可选小团/供氧团/住大本营帐篷可选）\n\n': ['¥999起'], '羊卓雍措·羊湖+卡若拉冰川o日托寺一日游丨8-16人小团丨可选达人航拍\n\n': ['¥78起']}",,1
绒布寺Rongbu Temple,http://travel.qunar.com/p-oi701800-rongbusi,"

地址:
日喀则市定日县绒布沟东西侧度母山顶处

",绒布寺，全称“拉堆查绒布冬阿曲林寺“，位于珠峰脚下绒布冰川的末端，海拔5150米，属藏传佛教宁玛派寺庙，是少见的僧尼混居的寺庙。整个寺庙依山而建，共有5层，现在仍在使用的只有两层。寺庙分新旧两处，旧寺靠近珠峰，寺内存有莲花生大士当年静修的修行洞，以及印有莲花生大士手足印的石头和佛塔。新寺建成于1902年，下设一个尼姑庵。从寺内向南，是观赏珠峰的好位置，尤其是寺门口的玛尼堆和白塔，常被游客作为拍摄珠峰的前景。,全年 9:00-16:00,https://img1.qunarzz.com/travel/poi/201405/23/46b0deccb4327d76ddb12cfb.jpg_480x360x95_9b46f746.jpg,4.5,建议游览时间：1小时 - 2小时,旅游旺季在每年5月到8月。Tips:1、12月到3月的时候早晚这里会有大风，温度也比较低所以如果这个时候来，最好带好御寒衣服。2、4月到10月期间，大本营一路都有可住宿的帐篷，每个床位约30至40元/人。3、每年藏历四月十五日举行三天的跳神活动，藏历十一月二十九日举行隆重的驱鬼仪式。,"{'【藏西达人阿里小北线9日纯玩】含住宿赠市区接+10升钢罐氧气车！真正玩转阿里北线精华！可选商务或越野\n\n': ['¥3600起'], '【阿里南线/北线】代办边防证丨可选越野车/商务小团，自由行\n\n': ['¥1660起'], '可选8人航拍小团/珠峰可升级2人间丨珠峰大本营4日星空游丨羊湖+奇林峡+冰川\n\n': ['¥1150起']}",1、绒布寺所在地是观看珠穆朗玛峰的最佳位置。2、看珠穆朗玛峰最好是一大清早或者傍晚时分，此时景色最是宜人，不过因为海拔高，要服用携氧片，抗高反。3、从这里出发经过峡谷、悬崖与怪石到珠穆朗玛峰大本营，步行需2小时，坐车只要15分钟。4、绒布寺除了一家招待所，寺内也可以接待住宿，寺内外都是25元/人。,1
帕拉庄园Pala Manor,http://travel.qunar.com/p-oi715762-palazhuangyuan,"

地址:
日喀则市江孜县江热乡班觉伦布村


电话:
0892-8822216

",帕拉庄园是西藏大家族帕拉家族的庄园，全称帕觉拉康，位于江孜县城西南的班觉伦布村，因此也叫班觉伦布庄园。是旧西藏12庄园之一，也是目前西藏地区保存较为完整的旧西藏领主庄园。帕拉庄园主体楼高三层，颇为壮观，现存房屋57间，建筑配套完整，装修考究。设有经堂、日光室、会客厅（上接待室）、卧室。房内雕梁画栋，富丽堂皇。经堂陈设考究，经书、佛龛保存完好。此外，帕拉庄园内还有酿酒坊、磨坊、农奴大灶等。楼道中陈列有皮鞭、脚镣、站笼、牛皮筒等刑具，甚至还保存有旧时的监狱。这一切都生动再现了当年农奴主的奢华生活和对农奴的剥削。,全年 9:00-18:00,https://img1.qunarzz.com/travel/d8/1711/73/40393acac0f168b5.jpg_480x360x95_24771149.jpg,4.3,建议游览时间：2小时 - 3小时,四季皆宜。,具体收费情况以现场公示为主,,1
洛子峰Lhotse,http://travel.qunar.com/p-oi702138-luozifeng,"

地址:
日喀则市东南（中尼边境珠穆朗玛峰以南约3公里处）

",洛子峰海拔8516米，是世界第四高峰。它地处珠穆朗玛峰以南3公里处，二者之间隔着一条山坳，即通常所说的“南坳”。以山峰的北山脊与东南山脊为界，其东侧在中国西藏自治区境内，其西侧属尼泊尔。洛子峰的藏语称之为“丁结协桑玛”，意思是“青色美貌的仙女”，这位“仙女”地形极其险峻，环境异常复杂，大大小小冰川密布，气候变幻莫测。至今还未有人从东坡中国境内的一侧攀登成功。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201408/11/7d8db487e1fca68bc8d65eac.jpg_480x360x95_ffd37388.jpg,4.4,建议游览时间：12小时 - 3天,每年的3月初至5月末的春季，或9月初至10月末的秋季，气候较为稳定，适合游玩。,"{'圆梦【珠峰大本营2日游】打卡8848纪念碑，拉萨/日喀则出发\n\n': ['¥880起'], '【珠峰星空3日+可升级2人间】可选含氧团丨航拍8人小团丨羊湖+冰川丨珠峰大本营\n\n': ['¥966起'], '可选8人航拍小团/珠峰可升级2人间丨珠峰大本营4日星空游丨羊湖+奇林峡+冰川\n\n': ['¥1150起']}",,1
中国邮政(珠峰邮政所),http://travel.qunar.com/p-oi36178628-zhongguoyouzheng,,,,,3.5,,,,,1
白居寺Palkhor Monastery and Kumbum Stupa,http://travel.qunar.com/p-oi704755-baijusi,"

地址:
日喀则市江孜县城西北约1km处


电话:
0892-8172105

",白居寺位于西藏江孜县县城内，始建于十五世纪初，是藏传佛教中少见的萨迦派、噶当派、格鲁派三派共存的寺庙，以精美的建筑、特殊的宗教价值和保存完好的壁画和造像而著称。寺内有白居塔，塔内绘有十万余尊佛像，又名十万佛塔，是游玩白居寺必不可错过的。白居寺是一座典型的藏传佛教寺庙建筑，寺中有塔，塔中有寺，塔寺浑然天成，相得益彰，是十三世纪末至十五世纪中叶后藏地区寺庙建筑的典型样板。寺庙是三派并立，每个教派都有5-6个扎仓，寺内现有扎仓16个，使得寺庙看起来外观宏大。沿着甬道走进去，迎面既是寺庙的措钦大殿，殿内供奉三世佛，东西两侧为净土殿。殿堂西北角有一座巨大的强巴佛鎏金铜像，高8米，据说是用14000公斤黄铜铸成的。大殿的立柱上挂满五彩的哈达和历史悠久的唐卡，四壁绘有精美的佛教壁画，感觉庄严而神圣。大殿分三层，第三层是称为夏耶拉康的佛殿，殿内的壁画颇有名气，内容有坛城、莲花藻井和佛传故事、本生故事等，有兴趣的话可以认真看看。游玩白居寺，必不可错过寺内西侧的十万佛塔。塔有九层，高达32米，有77间佛殿、108个门、神龛和经堂，层层叠叠，非常壮观，是中国建筑史上独一无二的珍品。各殿堂内墙壁上绘有佛像，佛像色彩丰富，对比强烈，庄重而精美，据称佛像有十万余幅，故而得名十万佛塔。此外，塔内还存有千余尊泥、铜、金质的佛像，堪称是一座佛像博物馆。从塔门进入，沿着楼梯可逐层观看，遗址可以走到塔的顶端。顶端为一个环形的平台，可以俯瞰整个白居寺。原则上藏传佛教寺庙都是不允许拍照的，十万佛塔内却可以拍摄，不过要收费10元，其实还是蛮划算的。出于对古老壁画的保护，建议拍照时不要开启闪光灯。,全年 09:00-19:00,https://img1.qunarzz.com/travel/poi/201211/15/4ebdb43d6545df40ddb12cfb.jpg_480x360x95_3e3b4bee.jpg,4.7,建议游览时间：1小时 - 2小时,日喀则地区日光充足，气候温和，一年四季都适合出游，但夏秋最适宜。,具体收费情况以现场公示为主,,1
希夏邦马峰Xixiabangma Peak,http://travel.qunar.com/p-oi705634-xixiabangmafeng,"

地址:
日喀则市聂拉木县


电话:
0891-6835472

","希夏邦马峰位于日喀则市聂拉木县喜马拉雅山脉中段，海拔约8012米，在世界上14座8000米级高峰中排名14，是一座完全在中国境内的8000米级山峰。纵横交错的冰雪裂缝和时而发生的巨冰雪崩，为登山者设置了重重困难。希夏邦马峰的气候特征大体上与珠穆朗玛峰相似，由三个高度相近的姐妹峰组成，在主峰西北约200米和约400米处，分别有两个近8000米的峰尖。北坡横对着野博康加勒冰川，与它平行的是达曲冰川。北山脊以东是格牙冰川，南坡有富曲冰川，其末端一直降到4550米的灌木林带。引人入胜的是海拔5000-5800米之间的冰塔区，长几千米，景象形态甚是奇异，宛若活生生的""冰晶园林""。",全年 全天开放,https://img1.qunarzz.com/travel/d0/201405/14/d04b338af0669ab6ddb12cfb.jpeg_480x360x95_2705cbd7.jpeg,4.5,建议游览时间：4小时 - 6小时,每年3月初至5月末，是风季过度到雨季的春季，而9月初至10月末是雨季过度到风季的秋季，在此期间，有可能出现较好和天气，是登山的最佳季节。,"{'阿里转山转水+冈仁波齐+玛旁雍错+珠峰8日游/商务越野团可选\n\n': ['¥1650起'], '【阿里南线/北线】代办边防证丨可选越野车/商务小团，自由行\n\n': ['¥1660起'], '【藏西达人阿里小北线9日纯玩】含住宿赠市区接+10升钢罐氧气车！真正玩转阿里北线精华！可选商务或越野\n\n': ['¥3600起']}",,1
