名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
日照海滨国家森林公园Rizhao Seaside National Forest Park,http://travel.qunar.com/p-oi703413-rizhaohaibinguojiasen,"

地址:
日照市东港区北沿海路北首碧海路201号


电话:
0633-3680898,0633-3680998


官网:
http://www.rzhb.com/

",海滨国家森林公园称得上是日照最好的沙滩。公园内有景色宜人的森林与湿地，您可以漫步于海边森林，呼吸纯净空气，或是去沙滩上享受阳光和海风，还可以找家餐馆品尝美味海鲜。而晚上则可以住在公园里的宾馆，等待次日去海边欣赏美丽日出。公园内很大，在公园内徒步闲逛可能会很累，你可以租辆自行车在林中骑行，或乘坐马车、小火车游园观光。公园里有很多娱乐项目，比如有民俗风情表演、杂技魔术等，小型动物园和鲨鱼馆等。夏季来这里，还可以游泳，或在沙滩上玩沙、捡贝壳、摸蛤蜊，坐摩托艇、沙滩车。,全天开放,https://img1.qunarzz.com/travel/d4/1607/f0/b2c1639d1772bc9a.jpg_480x360x95_fdc400dc.jpg,4.3,建议游览时间：12小时 - 3天,最佳旅游季节是夏季，此时的日照气候凉爽湿润，海边的风景最为迷人。,"{'日照海滨国家森林公园森林·麋鹿园门票成人票\n\n': ['¥37.9起'], '日照海滨国家森林公园森林·麋鹿园门票优待票\n\n': ['¥19.9起'], '日照海滨国家森林公园欢乐动物园门票成人票\n\n': ['¥28起']}",,1
第三海水浴场Third Beach,http://travel.qunar.com/p-oi7645509-disanhaishuiyuchang,"

地址:
日照市东港区碧海路21号

",第三海水浴场也叫山海天海边浴场，是日照的主要海滨沙滩之一。这里的沙滩宽阔，海浪平缓，夏季时来游泳的人很多，即使不下海游泳，脱了鞋趟水走走也很惬意，还会见到不少来拍婚纱外景的新人。这里的水上娱乐项目比较多，可以去坐一次摩托艇、玩滑翔伞，也可以一家三口一起骑海上自行车。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1608/5d/465cc273b513a953.jpg_480x360x95_2ef82cbd.jpg,4.4,建议游览时间：1小时 - 2小时,夏季天气炎热，是海滨浴场玩乐的最佳时机。,具体收费情况以现场公示为主,,1
万平口风景区Wanpingkou Beach Tourist Spot,http://travel.qunar.com/p-oi706156-wanpingkoufengjingqu,"

地址:
日照市海曲东路和碧海路的交汇口


电话:
0633-7911888


官网:
http://www.rzwpk.com

",万平口海滨风景区有五公里长的宽阔沙滩，地势平整，海水清澈，可以与家人一起玩沙，赤脚踩踩水，还可以躺在沙滩上晒太阳享受惬意。景区还是赏日出的绝佳之地，夜景也十分迷人，摄影爱好者们一定不容错过。潮汐塔是景区的标志性建筑，登上塔顶不但可以俯视整个景区，还可以远眺大海。景区海浪比较大，适合玩水上项目，海边可以坐快艇、玩冲浪，还有皮筏艇等活动，游完泳也可以冲澡，虽是避暑圣地，但来海边玩是也要做好防晒准备。,4月20日-10月10日（旺季）5:00-22:30；10月11日-次年4月19日（淡季）6:00-21:00；晚20:00起停止售票和检票入园，21:00完成清场熄灯闭园。,https://img1.qunarzz.com/travel/d5/1508/e6/94c0c61501c99b.jpg_480x360x95_822f33af.jpg,4.4,建议游览时间：2小时 - 3小时,最佳出游时间是夏季，此时的日照的气候凉爽舒适，适合海滨游玩。,"{'万平口海滨风景区[包船]近海出海钓鱼10小时票大小同价\n\n': ['¥3980起'], '万平口海滨风景区远海包船出海钓鱼10小时票大小同价\n\n': ['¥6998起'], '日照欢喜游艇俱乐部包船近海出海钓鱼3小时票大小同价\n\n': ['¥2980起']}",,1
东夷小镇Dongyi Town,http://travel.qunar.com/p-oi20963073-dongyixiaozhen,"

地址:
日照市东港区碧海路与绿舟路交叉口西南角


电话:
0633-3322555,0633-7958906

",日照东夷小镇被誉为中国离海较近、集民俗文化和休闲观光于一体的海滨旅游小镇。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/e20919c519a61324040716030978a429.jpg_480x360x95_a82b3de2.jpg,4.2,建议游览时间：12小时 - 3天,夏秋最佳，此时的日照气候凉爽湿润。,,,1
金沙滩海水浴场Golden Sandy Beach Bathing Beach,http://travel.qunar.com/p-oi9208812-jinshatanhaishuiyuchang,"

地址:
山东省日照市东港区碧海路董家滩旅游度假村正东


电话:
0633-7911888

",日照金沙滩海水浴场位于日照董家滩旅游度假村正东，南邻万平口风景区，北接山海天旅游度假区，紧靠日照奥林匹克水上公园，日照金沙滩海水浴场有6.4公里的优质沙滩，被有关专家誉为“中国沿海仅存未被污染的黄金海岸”，是国内唯一处3S（阳光、海水、沙滩）旅游度假海滩。,全年 全天开放,https://img1.qunarzz.com/piao/fusion/1502/9f/34e84d1b7a1f5d.jpg_480x360x95_1b8949b4.jpg,4.7,建议游览时间：12小时 - 3天,夏季最佳，可以体验丰富的海边娱乐活动。,免费,,1
五莲山风景区Wulian Mountain Scenic Spot,http://travel.qunar.com/p-oi704504-wulianshanfengjingqu,"

地址:
日照市五莲县文化路东首


电话:
0633-5666111,400-015-6519,0633-5231708


官网:
http://www.wlqls.com/

",五莲山是山东名山之一。景区内山清水秀、林木葱郁，大量奇峰怪石和名胜古迹，也可以登高处俯瞰山下平原风光，甚至能极目远眺黄海。山上坐落着明代名刹光明寺，是进香祈福胜地。寺后山体上的有一个巨大石佛，据说会给拜望者带来好运。五莲山的最佳游览时间为春夏秋三季，很适合来赏花摄影。五莲山不高，因远观像莲花初放而得名，但不能攀爬。景区分东门和西门，东门是正门，从山下游客中心可搭乘景区公交至半山腰的山门，东门上山的路比较容易走，花小半天基本就能游完。西门上山的话路比较陡，爬起来会更耗时。,全年 08:30-17:30,https://img1.qunarzz.com/travel/poi/201408/05/bbd86dd429683cf8c8d65eac.jpg_480x360x95_54be3dcd.jpg,4.5,建议游览时间：3小时 - 4小时,除冬季外，其余季节均可，春季可以踏青赏绿，夏季登山享受清凉，秋季观满山红叶。,{'五莲山电子导览服务大小同价\n\n': ['¥1起']},,1
竹洞天风景区Zhudongtian Scenic Area,http://travel.qunar.com/p-oi702870-zhudongtianfengjingqu,"

地址:
日照市海曲西路西端竹洞天风景区


电话:
0633-8275166

",竹洞天风景区自然生长着斑竹、月竹、金镶玉竹、毛竹等品种的竹子，同时设有专门的竹子品种展示区域，既是一个天然氧吧，又是一个天然植物园。这里主要由竹文化园、民族文化园、休憩园、水上游乐区等六个区域组成，构成了“品茶赏竹、休闲娱乐”的旅游区。在水上游乐园里，游客可以选择乘竹排随波漂流，也可以选择乘乌篷船品茗赏景。景区建有竹楼、竹亭、竹廊及少数民族村寨等建筑，并配套餐饮、住宿、旅游购物等服务设施。还有少数民族艺术团常年为游客表演民族歌舞，特别设有竹竿舞、竹林乐园等娱乐项目，可以参与体验一番，十分有趣。,5月1日-10月31日7:30-18:00;11月1日-次年4月30日8:00-17:30,https://img1.qunarzz.com/travel/d5/1606/4e/3b969ad43a8f189a.jpg_480x360x95_3cbeddd0.jpg,4.1,建议游览时间：3小时 - 5小时,最佳出游时间为夏秋季节，此时的竹林较为茂密，气候清爽。,"{'竹洞天风景区+孔雀园门票成人票\n\n': ['¥34.9起'], '竹洞天风景区+孔雀园门票优待票\n\n': ['¥25起'], '竹洞天风景区+孔雀园门票双人票\n\n': ['¥70起']}",,1
刘家湾赶海园Liujiawan Ganhai Park,http://travel.qunar.com/p-oi703818-liujiawanganhaiyuan,"

地址:
日照市东港区涛雒镇刘家湾（南沿海路中段）


电话:
0633-2957009,0633-2957006

","""在赶海园里，因为海水涨潮和退潮的速度都非常快，很多海生物在退潮的时候来不及回到海里去，就都留在了海滩上，游客们就可以趁着退潮间隙赶海。海滩上全是很软很细的泥沙，踩上去非常舒服。到处都是海贝、小螃蟹、寄居蟹，即使第一次赶海，也会满载而归的。""",8:00-17:30,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20208/85a130187d7020fb1eb227ff10ec5a97.jpg_480x360x95_73d4dad7.jpg,4.3,建议游览时间：3小时 - 4小时,最佳出游时间为夏季，此时的日照气候凉爽舒适，适合海边游玩。,"{'刘家湾赶海园手机智能导游讲解服务大小同价\n\n': ['¥6起'], '刘家湾赶海园卡丁车票成人票\n\n': ['¥199起'], '日照万平口+刘家湾赶海园+东夷小镇纯玩一日游【赠赶海神器/赶海乐趣/游艇出海/含特色午餐/上门接】\n\n': ['¥269起']}",,1
九仙山风景区Jiuxian Mountain Scenic Area,http://travel.qunar.com/p-oi702782-jiuxianshanfengjingqu,"

地址:
日照市五莲县松柏镇驻地


电话:
0633-5666111,400-015-6519

",九仙山景区为五莲山旅游风景区的一部分，景区内奇峰林立，有许多石窟幽洞，这些洞天福地很多都藏在烟雨涧下的水帘洞。景区内有大面积的是齐鲁最大的野生药库。据说九仙山上蚊子不叮人、棘子不长倒钩、蛤蟆不会叫，有兴趣的游客可以亲自去体验一番这份神奇。,全年 05:00-18:00;全年 05:30-17:30,https://img1.qunarzz.com/travel/d6/1707/21/9680a5b2f18536b5.jpg_480x360x95_f1ae7cc7.jpg,4.3,建议游览时间：3天,,{'日照九仙山电子导览服务大小同价\n\n': ['¥9起']},,1
抗日战争纪念馆Anti Japanese War Memorial,http://travel.qunar.com/p-oi9505990-kangrizhanzhengjinian,"

地址:
日照市山海天旅游度假区碧海路（岚桥锦江酒店北300米）


电话:
0633-3386688,0633-8883888

",抗日战争纪念馆一共包括四个分馆：抗日战争纪念馆、红色文化展览馆、古代民俗博物馆、历代钱币陈列馆。四馆之间，两两相通，实行四馆一票，全票票价为60元/张，是四馆一票的旅游景区。抗日战争纪念馆日照市抗日战争纪念馆筹备于2000年，成为山东省一个私人注册的抗战纪念馆，纪念馆文物藏品以1931年至1945年抗日战争时期的各种历史文献和相关实物为主，内容涉及军事、政治、经济、文化、社会等诸多历史。纪念馆由序厅、抗战历程、日军暴行厅、武装斗争厅、抗日根据地厅、抗战英烈厅、抗战胜利厅、展望未来厅、互动影音厅和纪念品售卖厅等组成，是迄今为止较全面和权威的日照抗战展示平台。红色文化展览馆红色文化展览馆收藏品以与革命家有关的历史背景为主题，涵盖了他们从青年到老年等阶段的相簿和画像，收藏价值和历史价值无限。感受红色的记忆，永远记住那个年代。古代民族博物馆日照拥有灿烂的历史文化，民俗馆主要展览古代、现代的生产工具、生活用品，每件物品都具有它独特的意义和价值。其主要民俗物件有手工制作的木器、陶器、编织等，一直延续至今，是日照市传统文化的重要体现。历代钱币陈列馆历代钱币陈列馆设展出的“中国历代货币系列”，从贝币、布币、鬼脸钱到历代的铜币，从银票到纸币，在这里你可以了解到我国古代钱币种类繁多，形状各异，而且每一枚小小的钱币都凝结着丰富深厚的文化内涵，反映着当时的社会生活及政治变革，每一次币制的变化无不演绎着历史时代的演变进程。,8:00-18:00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/76239e41-82a9-4c29-ac91-0c8ea8305aa8.jpg,4.3,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
