名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
昆明瀑布公园The Waterfall Park of Kunming,http://travel.qunar.com/p-oi10071099-kunmingpubugongyuan,"

地址:
昆明市盘龙区盘江西路与Z107交汇处

",昆明瀑布公园位于牛栏江—滇池补水盘龙江入口段。公园的瀑布景观区充分利用牛栏江引水入滇工程而形成的人工瀑布及湖泊，其利用约12.5米的地势高差，建设成宽幅约400米的人工瀑布。该人工瀑布属国内幅宽较大、流量较大、规模较大的人工瀑布。,全年 9:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/8fd7d8ab90e752d2701a0537e9d4ede5.jpg_480x360x95_71124707.jpg,4.5,建议游览时间：1小时,,{'【酒店套餐】昆明融创施柏阁酒店特惠 连住2晚直降千元！3月31日前入住享房型升级 有效期至6月\n\n': ['¥1889起']},,1
昆明老街Kunminglao Street,http://travel.qunar.com/p-oi23060016-kunminglaojie,"

地址:
云南省昆明市五华区文庙直街钱王街3号


电话:
0871-68378663,0871-68378557

",,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/92461a518428b77784ebfbcde238e2fb.jpg_480x360x95_1f9784a8.jpg,4.5,建议游览时间：2小时 - 3小时,,{'【酒店套餐】昆明融创施柏阁酒店1晚+双早+双人海世界或热雪奇迹★周末不加价\n\n': ['¥759起']},,1
滇池Dian Lake,http://travel.qunar.com/p-oi711461-dianchi,"

地址:
昆明市西山区滇池路1318号


电话:
0871-64311056,0871-66316995

",滇池又称昆明湖，是中国第六大淡水湖。湖面烟波浩渺，十分壮阔，游玩昆明的游客大多会到这里来看一眼。可以在湖边漫步、乘船游湖，冬季还能喂鸟；也可以登上龙门俯瞰滇池，让人心旷神怡。滇池位于西山脚下，距市区约5公里，北端紧邻大观公园，云南民族村与西山公园隔水相望。前些年因不注意保护，水中蓝藻泛滥，导致水质急剧恶化。这些年开始大力治理，水质明显好了很多，多年未见的红嘴鸥也开始出现在湖畔。游玩滇池，可沿着滇池东岸的观景路走走，这条路修的非常漂亮，冬季时候，市民也常到此投喂红嘴鸥，其乐融融。路对岸既是西山森林公园，旁边就是滇池海埂公园，去往西山森林公园的索道就在海埂公园内。乘坐索道直达西山龙门，站在龙门上，居高临下，五百里滇池尽收眼底，风光无限。走完观景路，也可以顺路到海埂公园北侧的云南民族村游玩一番，感受云南省多民族的风情。或者在滇池北端的大观公园内，乘坐游船游览滇池风光。游船有手划船、机动船和快艇，可自行选择。,9:00-18:00,https://img1.qunarzz.com/travel/d8/1706/4a/c241bbc7b7b493b5.jpg_480x360x95_e4485c22.jpg,4.6,建议游览时间：1小时 - 2小时,景区于2019年6月10日-9月20日期间，全国广大高考学子凭2019年高考准考证和本人身份证，两证齐全可免费游玩景区。 11月至次年1月最佳，观湖上冬景。每年冬季，滇池总会聚集成千上万只来此过冬的红嘴鸥，在湖面上翻飞的红嘴鸥 成为滇池冬季的一大景观。 ,"{'滇池游船票成人票\n\n': ['¥75起'], '滇池游船票儿童票\n\n': ['¥50起'], '云南民族村门票+滇池游船票成人票\n\n': ['¥151起']}",,1
翠湖公园Green Lake Park,http://travel.qunar.com/p-oi712356-cuihugongyuan,"

地址:
昆明市五华区翠湖南路67号


电话:
0871-65318808

",翠湖公园位于昆明市区北部，云南大学对面，是昆明市区环境优美的城市公园，也是很多游客在昆明市内游玩的好去处。这里湖水碧绿，树木、荷塘典雅优美，冬季时还可以喂养、拍摄成千上万的红嘴鸥，趣味十足。翠湖公园以翠湖为中心，纵贯南北的阮堤和直通东西的唐堤，将翠湖分成五片景区；湖心岛景区以湖心亭和观鱼楼等清代建筑为主。湖心亭又叫“碧漪亭”，飞檐黄瓦造型美观，亭内有前后两个内院，平日里为各种展览举办之地。东南面是水月轩和金鱼岛；东北面是竹林岛、九龙池和知春亭，逢节便有人聚此对唱山歌，别有一番情趣；南边是葫芦岛和九曲桥；西边是海心亭。堤畔垂柳拂面，湖内藕荷飘香，岛上亭台楼阁，将翠湖点缀的秀丽清新。秋天是赏枫好时节，翠湖公园从十月下旬开始，枫树就会慢慢变红，从金黄相间的枫叶到深红的枫叶也许只是一夜之间。这里的红枫林层层叠叠，与湖水交相辉映，形成唯美的秋日画卷。每年立冬时分，成千上万只红嘴鸥会从北方飞来在此越冬，这个时候是翠湖公园热闹的时候，市民、游客集中在此，投食喂鸟，与红嘴鸥互动，其乐融融，和谐的场面为翠湖公园增添了无穷乐趣。逛完翠湖，公园外环绕的四条街（翠湖东路、翠湖南路、翠湖西路、翠湖北路）上布满特色小店、咖啡馆和酒吧。你既可以环湖走走，度过一个悠闲的下午，也可以在夜幕降临时，融入到灯红酒绿的夜生活中。此外，翠湖公园附近有云南讲武堂旧址、云南大学等，可一并游玩。,全年 06:30-22:00,https://img1.qunarzz.com/travel/d4/1702/b4/8d9184d317e50fb5.jpg_480x360x95_f66a31e7.jpg,4.5,建议游览时间：2小时 - 3小时, 冬季最佳。每年11-3月会有成千上万的海鸥来这里过冬，景象很是壮观。 ,"{'翠湖公园智能中文语音讲解（不含门票）服务成人票\n\n': ['¥3起'], '翠湖公园手机电子导游12个合成讲解，不含门票服务成人票\n\n': ['¥0.5起']}",1、翠湖公园周边有包括云南讲武堂旧址、圆通寺、云南大学等在内的很多景点，并集中有不少商铺，如果时间充足的话，可以在翠湖周边步行游览一番。2、禁止在公园鸣放烟花爆竹及携带其他易燃易爆和妨碍公共秩序的危险品进入公园。3、禁止携带宠物入园和在公园内放生。4、禁止在公园内狩猎、打鸟、钓鱼等，禁止惊吓、捕捉、伤害动物。5、公园为无烟区域，禁止一切不文明行为。6、除紧急情况的公务用车外，任何外来车辆（机动车、燃油助力车、非机动车）未经公园许可，不得进入公园。7、禁止在公园内游泳，自带娱乐设施在湖塘内游玩。,1
官渡古镇Guandu Ancient Town,http://travel.qunar.com/p-oi708166-guanduguzhen,,,,,,,,,,1
云南大学Yunnan University,http://travel.qunar.com/p-oi4071055-yunnandaxue,"

地址:
昆明市五华区翠湖北路2号


电话:
0871-65033820,0871-65034114,0871-65033819

",云南大学始建于1922年，时称私立东陆大学，1938年改为南大学，是中国西部较早建立的大学之一。学校位于昆明市五华区，毗邻翠湖公园，风光优美环境清幽，是游人闲暇漫步、感受学术氛围的好地方。从南门进入校区后既是95个台阶，登上95个台阶之后，就来到会泽院。红砖高墙、白色罗马柱，这座欧风浓郁的建筑始建于1923年，是当年的一名海归设计，使得云大美丽的校园又增添了几许欧洲风范。会泽院后面是至公堂，与会泽院不同，这是一座典型的中式建筑，大红色的柱子，雕梁画栋，目前是云大的大礼堂。东侧有一排相对低矮的房子，是当年科举时代的考场，称为“贡院”。贡院附近的映秋楼原为女生宿舍，是梁思成和林徽因设计建造，风格中西合璧，昭示了当年梁林二人探寻中国建筑的思路。映秋楼向西，钟楼附近有一座不起眼的石墩，这里是全国较早测算出昆明市经纬度的地方。云大风景优美，满足其中，感觉休闲惬意，不能错过的是银杏大道，就位于天文点以北，文渊楼到会泽院一带。棵棵银杏树枝繁叶茂，每年11月开始，银杏叶子变黄，整条路上一片金黄，颇为壮观。,全年 11:00-16:00,https://img1.qunarzz.com/travel/d8/1704/63/90597254e11ab2b5.jpg_480x360x95_d6725256.jpg,4.6,建议游览时间：1小时 - 2小时,每年10月-11月最佳，10月份银杏叶开始泛黄，大概会在11月上旬全部变黄。,具体收费情况以现场公示为主,游玩时请注意安静，不要打扰校内师生正常的工作和学习。,1
南屏步行街Nanping Pedestrian Street,http://travel.qunar.com/p-oi712560-nanpingbuxingjie,"

地址:
昆明市五华区端仕街国资银佳大厦西侧约110米

",南屏街是昆明历史上的老街区，也是昆明市古老的商业街。街上餐馆、商店、超市、品牌连锁店林立，吃、住、游、购、娱样样都有，是昆明繁华的街道之一，也是游客们在昆明必去的打卡地之一。在南屏街的入口有一个大牌坊，是这里的标志性景点之一，很多游客都在这拍照留念。街上的还设有铜像，人物栩栩如生，也可以拍照记录下来。当然在这逛街购物、品尝美食也是必不可少的，可以慢慢逛，细细品味昆明魅力。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201211/15/0dc0d8a8ab4955c9ddb12cfb.jpg_480x360x95_953bb8db.jpg,4.5,建议游览时间：1小时 - 3小时,晚上最佳。南屏步行街是一条热闹的商业街，夜晚氛围浓厚。,具体收费情况以现场公示为主,,1
云南民族村Yunnan Ethnic Village,http://travel.qunar.com/p-oi707102-yunnanminzucun,"

地址:
昆明市西山区滇池路1310号


电话:
0871-64311255,0871-68279294


官网:
http://www.ynmzc.cc

",云南民族村位于昆明市区南侧，滇池池畔，是昆明旅游的热门去处。村内有1:1建造的傣族、白族、彝族等25个少数民族的村寨，而且各有不同的民俗、工艺表演等，一日内就可以遍览云南众多民族的风情。民族村中，以傣寨和彝族村值得一看。傣寨是进入民族村的第一个村寨，里面种满了热带和亚热带植物，一幢幢精致典雅的傣家竹楼点缀其间。有干栏式的民居楼、风情楼、泼水亭、佛寺、泼水广场等典型的傣式建筑物。引人注目的是村里的白塔——“波中塔”，它是按比例仿德宏州盈江的允燕塔建造的，40座小塔簇拥着高高的主塔，还有365个风铃声，十分悦耳。傣寨附近还可以乘坐画舫。彝族村很值得一看的是太阳历广场，广场中间竖有一根石柱，古时的彝族人便是通过石柱的日影来观测时辰。村里的巨“虎”则是古代彝族人的图腾。另外有村里还有彝族特有的土掌房建筑、烤酒作坊、文化楼等。在四月傣族的“泼水节”、七八月彝族的“火把节”等少数民族节庆时期，民俗村内也会举行热闹的庆典活动，不妨在此期间前往游玩，可以体验到更生动的民族风情。游玩时，你可选择步行，也可在景区内租借电瓶车、双人自行车代步，景区内还设有民族团结广场、民族歌舞厅、风味食品区等场所，可以观赏民俗表演、品尝民族风味小吃，以及购买民族工艺品，在领略民族风情的同时，享受休闲时光。园内的滇池广场每天都有《高原的呼唤》大型演出，如果有兴趣前往观看，订票时直接订购套票，更加划算。同时，在售票处的时候也要记得向售票员拿一份节目单，一些村寨的表演广场会有定时的演出活动，在指定时间到达便可，这些表演的时间在官网也可以查看。另外，景区正门售票处对面是云南民族博物馆，感兴趣的话可以和民族村一并游览。,全年 09:00-18:00,https://img1.qunarzz.com/travel/d5/1702/15/51b5fc49afbad9b5.jpg_480x360x95_901c01c4.jpg,4.5,建议游览时间：12小时 - 3天,云南民族村内每月都有节庆活动。比如正月初一的藏历新年、三月三的壮族节日、四月份的泼水节等。,"{'云南民族村门票成人票\n\n': ['¥79.8起'], '云南民族村门票儿童票\n\n': ['¥45起'], '云南民族村门票老人票\n\n': ['¥45起']}","
  1、在买票的时候记得向售票员拿一份节目单，各个靠近表演广场的民族村寨都有表演或互动体验活动，在指定时间到达便可。 


  2、云南民族村游览推荐线路： 


  （1）村寨游览线路 


  傣寨——水、布依寨——佤、布朗寨——苗寨——基诺、拉祜寨——瑶族村——白族村——壮族村——纳西族村——摩梭之家——彝族村——吉象园——哈尼寨——德昂寨——藏族村——景颇寨——阿昌寨 


  （2）村寨游览线路 


  傣寨——刀杆广场（大峡谷四民族）——苗寨——瑶族村——回族村——满族院——吉象园——哈尼寨——德昂寨——藏族村——景颇寨——阿昌寨 


  （3）村寨游览线路 


  藏族村——阿昌寨——景颇寨——德昂寨——哈尼寨——吉象园——彝族村——摩梭之家——纳西村——壮族村——白族村——蒙古村——佤、布朗寨——苗寨——刀杆广场（大峡谷四民族）——哈尼寨——藏族村——德昂寨——景颇——阿昌寨 
",1
海洪湿地,http://travel.qunar.com/p-oi36406143-haihongshidi,,海洪湿地位于滇池北岸，是滇池的一块延伸地带，生长着大片大片的水杉林，每年的秋冬季节，水杉林就会满满变黄再变红，形成一片红树林。是距离昆明主城区较近的湿地公园，在这里可以观赏美景，可以划船穿行林间。,,,4.8,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
晋城古镇Jincheng Ancient Town,http://travel.qunar.com/p-oi10021386-jinchengguzhen,,,,,,,,,,1
