名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
天山天池Tianshan Tianchi (“Heavenly Mountain” and “Heavenly Lake”) National Park,http://travel.qunar.com/p-oi704336-tianshantianchi,"

地址:
昌吉回族自治州阜康市


电话:
400-8706-110


官网:
http://www.xjtstc.com/

",天山天池，又称天池国家地质公园，古称“瑶池”，位于昌吉州阜康市境内，博格达峰的北侧，距乌鲁木齐市约110公里，是新疆有名的旅游胜地。在中国古代神话中，天池还是西王母娘娘沐浴的地方。天池湖面海拔1910米，深处达105米，湖面倒映着博格达峰，周围云杉环拥，风景犹如仙境。景区内囊括了高山湖泊、湿地草甸、森林峡谷等自然景观。2013年，景区还被国家评为国家地质公园。天池景区内共有三处水面，除主湖外，在东、西两侧还有两处水面。东侧是“东小天池”，又名黑龙潭，位于天池以东500米处，潭下为百丈悬崖，瀑布飞流直下，像一道长虹而降，景点名“悬泉瑶虹”。西侧是“西小天池”，又称玉女潭，位于天池西北约两公里处，因池状如圆月，池周围塔松环抱，如遇到皓月当空时，静影沉壁，所以得名“龙潭碧月”，池侧也飞挂一道瀑布，高数十米，水流如银河落地，景称“玉带银帘”。池上有闻涛亭，在亭中观赏瀑布，别有情趣。景区内各景点之间，均有栈道连接，可步行到达。在天池的东岸，有西王母庙，始建于元朝，目前看到的是1999年在原庙址上重建的建筑，里面供奉着王母娘娘，所以也称“娘娘庙”。区间车下车点靠近天池的东岸，沿着栈道步行到西岸的王母庙大约1.5小时。因为距离较远，加之景色一般，并不建议专程前往。每年的11月中旬到次年的3月底会举办“天山天池冰雪风情节”，届时游客可以前往风景区附近的天山滑雪场进行滑雪及其他的冰雪项目。景区内哈萨克族的帐篷可以住宿，但一般游客都是游玩结束后当天返回市区，疆外游客多数是从乌鲁木齐出发前往天池游览，当天就可以返回乌鲁木齐市区住宿。景区内有就餐点，但价格高于景区外，食物的品质也较为一般。,04/01-10/31 09:00-19:00;11/01-03/31 09:30-19:00,https://img1.qunarzz.com/travel/d3/1510/9f/688b77d2734d76f7.jpg_480x360x95_f00eb811.jpg,4.5,建议游览时间：4小时 - 6小时,夏季最适宜，西北内陆难得的避暑佳处。夏天的天山天池满眼苍翠，秋季通常在九月中旬，十月之后冬季来临，冰雪封山挡路。,"{'天山天池+区间车票成人票\n\n': ['¥105起'], '天山天池+区间车票学生票\n\n': ['¥82.5起'], '天山天池+区间车票老人票\n\n': ['¥82.5起']}",1、天山天池地理位置位于东六时区，与内地大多城市有2小时时差，作息时间相应推后2小时。旅游期间活动安排通常在9:00至20:00之间 。2、山上气温比山下低的多，带些保暖衣物。,1
飞龙潭East Xiaotianchi,http://travel.qunar.com/p-oi718274-feilongtan,"

地址:
昌吉回族自治州阜康市准噶尔路501号天山天池风景区内


电话:
400-8706-110

",飞龙潭位于天池东北，距天池约500米，是天池水下泻形成的潭，习惯称东小天池。飞龙潭方圆百米，地处深涧，自然地形极为奇绝。神话传说中是小飞龙的巢穴，故名“飞龙潭”。这里潭水澄碧，松柏密匝，断崖陡立，飞瀑奔流，烟云飘绕，自成一处幽静神秘，动静相宜，意境不凡的特殊景观。飞龙潭一潭挂两瀑。上接飞珠泻玉，瀑声如雷，落差数十米的“飞龙吐哺”瀑布，下泻“百丈崖”，形成飞流直下，含烟蓄翠，七彩飞虹的“悬泉瑶虹”瀑布。,8:30-19:00,https://img1.qunarzz.com/piao/fusion/1701/ad/7918462aa713d102.jpg_480x360x95_b9e2d9ae.jpg,4.5,建议游览时间：1小时,,{'天山天池品质纯玩一日游+沿线可接+景区直通车+贴心服务\n\n': ['¥108起']},,1
古尔班通古特沙漠Gurbantunggut Desert,http://travel.qunar.com/p-oi713290-guerbantongguteshamo,,,,,,,,,,1
鸣沙山,http://travel.qunar.com/p-oi709035-mingshashan,"

地址:
新疆昌吉回族自治州木垒县哈依纳尔北5公里处


电话:
0994--4871888

","昌吉鸣沙山，哈萨克语称为""阿依艾库木""，意思是""有声音的沙漠""。木垒鸣沙山共有五座红色垄状沙山，其中最大的一座长度在500-600米，相对高度50-70米，呈西南一东北走向，沙山下为一片平坦的砾石间歇性河床。当汽车开近沙山时，似有雷鸣号角之声从沙山内部发出，时断时续，时高时低，忽如丝弦悠扬，忽若铁骑奔突。当人们从沙山顶部向下滑动时，随着黄沙的滚动，沙山发出雄浑、低沉的响声，其声激越尖厉，犹如轰炸机掠过低空一般，经久不息。如果多人并排下滑，其轰鸣声则震耳欲聋，并使...昌吉鸣沙山，哈萨克语称为""阿依艾库木""，意思是""有声音的沙漠""。木垒鸣沙山共有五座红色垄状沙山，其中最大的一座长度在500-600米，相对高度50-70米，呈西南一东北走向，沙山下为一片平坦的砾石间歇性河床。当汽车开近沙山时，似有雷鸣号角之声从沙山内部发出，时断时续，时高时低，忽如丝弦悠扬，忽若铁骑奔突。当人们从沙山顶部向下滑动时，随着黄沙的滚动，沙山发出雄浑、低沉的响声，其声激越尖厉，犹如轰炸机掠过低空一般，经久不息。如果多人并排下滑，其轰鸣声则震耳欲聋，并使腿下产生如由按摩器振动产生的酥麻感。特别有趣的是，从沙山上的不同位看下滑会有不同的响声，而且滑痕稍现即逝，马上平复，令人称奇不已。",全天,https://img1.qunarzz.com/travel/d1/1811/fe/5dade8f51b9d8eb5.jpg_480x360x95_21c0e5a5.jpg,4.7,,,20元,,1
北廷都护府故城遗址,http://travel.qunar.com/p-oi702399-beitingdouhufugucheng,,位于吉木萨尔县城以北10多公里的北庭乡境内，是全国重点文物保护单位。北庭故城，亦叫护堡子古城。该城汉代时称金满城，为车师后国王庭所在地，著名汉将耿恭曾屯垦于此城。突厥时称“可汗浮图城”。唐贞观十四年(公元640年)唐太宗在该城设庭州，长安二年(公元702年)，武则天在此设立了北庭大都护府，管辖着天山以北、以西直到里海东部、北部广大地域。宋代，庭州城为高昌回鹘后王庭。元代，在此设别失八里元帅府，仍是西域重镇。公元十五世纪，明代初年，北庭毁于战火。故城一直是天...位于吉木萨尔县城以北10多公里的北庭乡境内，是全国重点文物保护单位。北庭故城，亦叫护堡子古城。该城汉代时称金满城，为车师后国王庭所在地，著名汉将耿恭曾屯垦于此城。突厥时称“可汗浮图城”。唐贞观十四年(公元640年)唐太宗在该城设庭州，长安二年(公元702年)，武则天在此设立了北庭大都护府，管辖着天山以北、以西直到里海东部、北部广大地域。宋代，庭州城为高昌回鹘后王庭。元代，在此设别失八里元帅府，仍是西域重镇。公元十五世纪，明代初年，北庭毁于战火。故城一直是天山北路政治、军事、交通和文化中心与西州、于阗并称西域三大丝都。故城现仅存断壁残垣，但不失当年的规模和气派。城略呈正方形，分内外两重。外城周长约4600米，为不太规则的长方形；约建于唐贞观年间；内城周长约3000米，约建于高昌回鹘时期，位于外城之内略偏东北部。内外二城均有护城河。河道还历历在目。残存城墙高达2米以上。城内昔日的街市塔庙、衙署，外城的角楼、敌台及城墙上的马面，仍依稀可辨。北庭故城中，曾发掘出许多珍贵历史文物，主要有唐金满县残碑、唐代石狮、刻花石球、铜镜、蒲类州之印、莲花纹瓦当、方砖和开元通宝、乾元重宝、元代的陶、瓷残片等。如今城中，残砖碎瓦，各色陶片，仍俯拾即是。是国务院确定的全国重点文物保护单位。,,,5.0,,,,,1
驼铃梦坡沙漠公园,http://travel.qunar.com/p-oi706268-tuolingmengposhamogong,"

地址:
玛纳斯县驼铃梦坡沙漠生态景区

",准噶尔盆地古尔班通古特沙漠南缘，是一片原始、粗犷、一望无垠的沙漠世界，又是一座天然的荒漠植物园，葱绿的梭梭、茂密的胡杨、沁人心脾的沙枣、飘逸羽叶的三芒草，以丑为美的猪毛菜、富有药用价值的大黄、大芸黄芪、“叮铛”作声的铃铛刺、形似鹿角的苍劲梧桐，还有血红的红柳，组成了一幅色、味、声、相并茂的大自然景观。沙漠公园还是一座天然动物园，这里有着国家一类保护动物野驴及野猪、黄羊、狼、狐狸、跳鼠、娃娃头蛇，沙枣鸟等百余种动物。来到这野趣十足的“驼铃梦坡”，...准噶尔盆地古尔班通古特沙漠南缘，是一片原始、粗犷、一望无垠的沙漠世界，又是一座天然的荒漠植物园，葱绿的梭梭、茂密的胡杨、沁人心脾的沙枣、飘逸羽叶的三芒草，以丑为美的猪毛菜、富有药用价值的大黄、大芸黄芪、“叮铛”作声的铃铛刺、形似鹿角的苍劲梧桐，还有血红的红柳，组成了一幅色、味、声、相并茂的大自然景观。沙漠公园还是一座天然动物园，这里有着国家一类保护动物野驴及野猪、黄羊、狼、狐狸、跳鼠、娃娃头蛇，沙枣鸟等百余种动物。来到这野趣十足的“驼铃梦坡”，可以爬沙丘，涉沙海，进行徒步探险，也可以借助“沙漠之舟”，一边听着悦耳的驼铃声，一边欣赏大漠风光。这里开辟了滑沙、狩猎和观看沙漠日出、日落等等，让沙漠之旅丰富多彩，趣味无穷。若还有余兴，还可以就地住宿，来个“天当被，沙做床”式的浪漫。 校进行科普教育实习的基地，同时更是进行沙疗的理想场所。,8：00——17：00,https://img1.qunarzz.com/travel/poi/1411/2e/2ecaa76d81414df3213a9cdb.jpg_480x360x95_fc1f88b2.jpg,3.0,,,30元,,1
王母祖庙Xiwangmu Ancestral Temple,http://travel.qunar.com/p-oi712389-wangmuzumiao,"

地址:
昌吉回族自治州阜康市天山天池风景名胜区天池东岸


电话:
0994-3526477

",王母祖庙1923年建殿堂三间，座北朝南。1944年被毁。多年来，海内外华人中的道教信奉者，纷纷到此寻根拜祖。1999年，乌鲁木齐道成实业有限公司在原址兴建“瑶池宫”，建筑面积2000平方米，主大殿供奉西王母神像，东配殿供奉观音神像，西配殿供奉吕洞宾和济公活佛。现在供奉在西王母大殿内的紫檀包金王母神像由中国台湾道教组织捐赠，王母祖庙内的其它神像均有中国台湾道教组织捐赠。,全年 8:00-18:00,https://img1.qunarzz.com/piao/fusion/2201/7a/fd95bb0d5183be02.jpg_480x360x95_edbda712.jpg,4.0,建议游览时间：1小时 - 2小时,,"{'【含乌市一晚四星酒店住宿】新疆天山天池一日游\n\n': ['¥369起'], '天山天池一日游丨无购物店·大团小团任选丨\n\n': ['¥99起'], '天山天池一日游【无购物·多集合点就近上车】\n\n': ['¥98起']}",,1
西小天池West Small Tianchi,http://travel.qunar.com/p-oi5740337-xixiaotianchi,"

地址:
昌吉回族自治州阜康市天山天池风景区内


电话:
0994-3526477

",西小天池位于天池脚下两公里处的路旁，是在远古冰川运动中形成的堰塞湖，主要依靠天池暗流补给水源。西小天池水面状如满月，池水清冽幽深，四周塔松云杉环抱，池中倒影相映成趣。皓月当空、静影沉璧、清景无限，因而也被称作龙潭碧月。西小天池一旁飞挂一帘银瀑，银河落地，吐珠溅玉，被称为“玉潭银帘”。瀑下有小涧，幽深静谧，宛若闺房，传说是王母娘娘梳洗打扮的地方，名为“梳妆涧”。沿步道南行，暗流溢出处，水流依陡峭山势悬挂，“疑是银河落九天”，故名“九天银河”。池上山颠建有间涛亭，玲珑别致。登上间涛亭眺望，满目苍翠、碧水清冽、云卷银帘、涛声震谷，别有一番情趣荡心间。,具体开放时间请咨询景区,https://img1.qunarzz.com/piao/fusion/2105/76/a37f13dfab6aeb02.jpg_480x360x95_e1a5da31.jpg,4.4,建议游览时间：1小时 - 2小时,,包含在天山天池景区内，通用天山天池景区门票。,,1
哈熊沟,http://travel.qunar.com/p-oi706779-haxionggou,"

地址:
昌吉州米泉县城东南47公里处的天山山区

",哈熊沟位于米泉县城东南47公里处的天山山区，这里山景、水景、雪景都十分迷人。山岭长满云杉，云杉随山势而起伏层叠，犹如排空的翠浪。山风吹来时，绿涛滚涌，满山遍野仿佛都在涌动，一派瑰丽雄奇的景致。哈熊沟空气凉爽湿润，水质极好，游人到此无不感到心情舒畅，精神愉悦。,全天,https://img1.qunarzz.com/travel/d1/1706/c3/0a459663a7b36cb5.jpg_480x360x95_ce9de5a4.jpg,4.5,,,10元,,1
奇台魔鬼城Qitai Devil City,http://travel.qunar.com/p-oi704517-qitaimoguicheng,"

地址:
昌吉回族自治州奇台县境内，南距奇台县城约110千米，北距将军庙遗址40千米。

",一说到魔鬼城，人们自然会想到克拉玛依的乌尔禾魔鬼城，它的显赫声名是随着50年代的克拉玛依石油大开发而名噪全国的。它那鬼斧神工的造型，那光怪陆离的构造，以及令人惊心裂胆的鬼哭神嚎不知迷倒了多少游客。然而，奇台的魔鬼城无论就其规模，还是就其神韵造型都远胜于乌尔禾魔鬼城，单就那酷似城堡的程度，就令乌尔禾魔鬼城逊色许多。只是奇台魔鬼城深藏于大漠戈壁之中，一直不为人知，直到70年代，才被地质工作者发现，从而揭开了它的神秘面纱。 魔鬼城内有许多维妙维肖的岩石造型，比如柬埔寨的吴哥窟，西茂的布达拉宫等等。有的还像农妇晚归、壮士观天、和尚念经、八戒睡觉、黄牛耕耘、熊猫打站、鲤鲁出水、猴子守山。这些似人似物的造型，全都栩栩如生。魔鬼城并非人力所为，它完全是大自然的手笔。不知多少年前，由于地壳的运动，这里形成了一些沙岩结构的山体，这些较为松软的岩石在千万年的剥蚀下，形成了千奇百怪的造型和大小小的洞穴。魔鬼城就是在这种外力作用下形成的。,全年 9:00-19:00,https://img1.qunarzz.com/travel/poi/1803/f7/85638b35322be537.jpg_480x360x95_2864acc0.jpg,4.1,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
