名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
棋子湾Qizi (Chess) Bay,http://travel.qunar.com/p-oi7645302-qiziwan,"

地址:
昌江黎族自治县北斗东路


电话:
0898-68532799

",棋子湾是海南昌江黎族自治县的一处海岸，这里既有平缓沙滩，也有怪石嶙峋的礁石海滩，其中还分布着形态各异的棋子石，景色非常奇特。棋子湾人少清净，海水清澈见底，海沙细软，且与礁石海滩相连，沿着海岸线漫步，可谓是移步换景，十分有意思。礁石海滩上怪石嶙峋，犹如“海边石林”一般壮美。其中的棋子篮是海滩上棋子石为集中的景点，这里遍布形态各异的彩色卵石，有白色、土红色等，在海水的冲刷下显得晶莹剔透，十分独特。,全年 全天开放,https://img1.qunarzz.com/travel/d3/1508/ce/1c414d39db812d.jpg_480x360x95_22f29e55.jpg,4.6,建议游览时间：3天,,具体收费情况以现场公示为主,,1
坝王岭长臂猿自然保护区,http://travel.qunar.com/p-oi715491-bawanglingzhangbeiyuan,,保护区总面积35000多亩，这里山岳连绵，群峰叠翠，林海浩渺，古木参天，自然生态系统保存完整，热带生物资源极其丰富。沿着蜿蜒曲折的林区公路进入保护区，环顾四周，除生长着众多的名贵树种外，野生动物主食的各种野果树满山皆是，有馒头果、山石榴、山竹子、乌墨、青果榕、山橄榄、毛牡丹、野荔枝等。在这个五彩缤纷的野生果园林里，生活着几群受到人们保护的黑冠长臂猿。黑冠长臂猿，别名乌猿、人熊，主要生活于热带原始森林中，几乎完全生活在树上。长臂猿手掌比脚掌长，上臂比下...保护区总面积35000多亩，这里山岳连绵，群峰叠翠，林海浩渺，古木参天，自然生态系统保存完整，热带生物资源极其丰富。沿着蜿蜒曲折的林区公路进入保护区，环顾四周，除生长着众多的名贵树种外，野生动物主食的各种野果树满山皆是，有馒头果、山石榴、山竹子、乌墨、青果榕、山橄榄、毛牡丹、野荔枝等。在这个五彩缤纷的野生果园林里，生活着几群受到人们保护的黑冠长臂猿。黑冠长臂猿，别名乌猿、人熊，主要生活于热带原始森林中，几乎完全生活在树上。长臂猿手掌比脚掌长，上臂比下肢长，两臂伸开达1.7米左右，在树上手足并用，连攀带跳，象荡秋千那样从这棵树飞快地攀到那棵树。它们以家族为主体群居和活动，由一雄一雌和幼仔组成一个家庭。它们相互间很有感情。每当破晓，便各自出来活动，轮番啼唱，互相呼应。在一起时，往往又喊又叫，又拥又抱。每个家族都有固定的生活地盘，各自占据，不容它群侵入，一见异群就奋起争斗。它们以果食为主，幼猿在一至六龄时随父母生活，到七、八龄成熟后就寻配偶生育，组成新的群体。雌猿每胎单生，繁衍甚慢。坝王岭长臂猿自然保护区里，除了长臂猿外，还有珍贵的云豹、黑熊、水鹿、穿山甲、巨松鼠、椰子猫、灵猫、果子狸、飞鼠、孔雀雉、白鹇鸡、啄木鸟、猫头鹰、飞鹰、山鹧鸪等60多种珍稀动物，是人们森林旅游观赏的理想景区。,,https://img1.qunarzz.com/travel/d6/1506/3b/343c023596aabb.jpg_480x360x95_e53eabd2.jpg,4.0,,,,,1
木棉观景台,http://travel.qunar.com/p-oi39887607-mumianguanjingtai,,,,,0.0,,,,,1
木棉红景区,http://travel.qunar.com/p-oi39874662-mumianhongjingqu,,,,,0.0,,,,,1
沙渔塘村,http://travel.qunar.com/p-oi39512649-shayutangcun,,,,,0.0,,,,,1
昌江黎族自治县文化公园,http://travel.qunar.com/p-oi38884469-changjianglizuzizhixian,,,,,--,,,,,1
排岸村木棉观景台,http://travel.qunar.com/p-oi38817290-paiancunmumianguanjing,,,,,--,,,具体收费情况以现场公示为主,,1
排岸村,http://travel.qunar.com/p-oi38807881-paiancun,,,,,--,,,具体收费情况以现场公示为主,,1
昌化古庙,http://travel.qunar.com/p-oi38625666-changhuagumiao,,,,,--,,,具体收费情况以现场公示为主,,1
保梅岭,http://travel.qunar.com/p-oi38590634-baomeiling,,,,,--,,,具体收费情况以现场公示为主,,1
峻灵明王庙Temple of Prince Junling,http://travel.qunar.com/p-oi35678435-junlingmingwangmiao,,,,,5.0,,,具体收费情况以现场公示为主,,2
