名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
孟孝琚碑Monument of Meng Xiaoju,http://travel.qunar.com/p-oi714776-mengxiaojubei,"

地址:
中国云南省昭通市昭阳区


电话:
0870-2123079

",孟孝琚碑位于云南省昭通市昭阳区，是刊刻于汉代的一方碑刻，又称“孟琁残碑”或“孟广宗碑”。,8：00—17：30,https://flight-feed.qunarzz.com/as3/376/image/poi_vishnu/d300040a-1b36-4fca-b652-8275166de536.jpg,4.3,建议游览时间：2小时,,5元,,1
昭通市博物馆Zhaotong Museum,http://travel.qunar.com/p-oi18717065-zhaotongshibowuguan,"

地址:
云南省昭通市昭阳区朱提大道

",昭通市博物馆坐落在昭阳区北部新区朱提大道中段，总占地23亩，总建筑面积为13108m ，总投资8000万元。,"周二-周日 9:00-17:00,16:30停止入馆。",https://img1.qunarzz.com/travel/poi/1803/e5/dadd2ca5f9754137.jpg_480x360x95_0f8ac4a2.jpg,4.6,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
铜锣坝国家森林公园Tongluoba National Forest Park,http://travel.qunar.com/p-oi10004346-tongluobaguojiasenlin,,铜锣坝国家森林公园位于昭通市水富县境内，距县城40余公里。景区内分布着五条溪流，十八个小盆地，七个小湖和数十个瀑布，是滇东北目前保留较为完整的亚热带常绿阔叶林区，整个景区集雄、奇、险、幽、秀于一体，风光优美，是休闲旅游的好场所。铜锣坝国家森林公园内山林奇景美不胜收，景区群峰如林，万亩林海郁郁葱葱。鸽子谷中，数株珙桐集中排列，花开之时，像千万只白鸽林间起舞。更有千年象鼻树，古树盘根错节，形象逼真。茶山岭，杜鹃林，花开之时，一片绚烂，让人目不暇接。,,https://img1.qunarzz.com/travel/poi/1712/c1/c6473fe58330e937.jpg_480x360x95_f0aa7115.jpg,4.9,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
大山包Dashanbao,http://travel.qunar.com/p-oi7469303-dashanbao,"

地址:
昭通市昭阳区大山包乡大荞地北侧


电话:
0870-2868838

",大山包位于云南昭通市，是一个自驾游的理想之地，分为4个景点：鸡公山、仙人田、跳墩湖和大海子。鸡公山雄伟壮观，是观云海、看日落理想之地，大海子可以看日出和黑颈鹤。在大山包景区内放眼望去，一幅标准的草原景色便呈现在你的眼前。一大片绿绿的草地上点缀着几匹牛马，零散地分布着几个小湖泊，不拿相机记录下这天堂般的景色都觉得可惜。游客可以登上鸡公山，那里可以观云海，看日落。山上有淳朴的当地居民卖烤鸡蛋和烤土豆，不妨尝一尝。,全年 7:00-19:00,https://img1.qunarzz.com/travel/d7/1703/8b/3eb97b0c49b4d0b5.jpg_480x360x95_a8457bf0.jpg,4.3,建议游览时间：3小时 - 4小时,大山包的最佳旅行时间是秋冬季。8月初至10月初，山上的养花、燕麦、芳草地成块成片，层层叠叠，色彩斑斓，把苍凉的大山包点缀成一个世外桃源般的梦幻世界。在大山包的冬天还可以看到黑颈鹤。,景区免费进入，交通车另外收费。,,1
巧家药山,http://travel.qunar.com/p-oi708933-qiaojiayaoshan,,,,,,,,,,1
豆沙关Doushaguan,http://travel.qunar.com/p-oi7469366-doushaguan,"

地址:
昭通市盐津县豆沙镇G85渝昆高速


电话:
0870-6632128

",豆沙关风景名胜区位于盐津县城西南22公里处，由豆沙关、三股水、莲花洞、大黎山等四个片区60个景点组成，面积约70平方公里。景观有雄险的古驿道豆沙关，绚丽的老黎山岭风光，众星捧月的圆丘乳峰，梦幻迷离的天然迷宫，满山遍野的名贵花卉，顶天立地的参天古木，美丽如画的三股水瀑布，丰厚古老的文化遗存等，是滇东北的通向四川、通向大西北途中的游览胜地。豆沙关古称石门关，是古人由蜀入滇的险关。湍急的关河像一把利剑将险峻的石山一劈为二，形成了一道巨大的石门，锁住了古代的川滇要道。西岸岩壁上刻有“滇南枢纽”、“其险也若此”等大字。豆沙关有“五尺道”遗迹。五尺道始建于秦，现残存长约350米，道宽五尺，每级石阶宽窄高低不一，路面留有马蹄痕印数十个。它是由川入滇，到缅甸、印度的“蜀身毒道”（古西南丝路）的重要通道。豆沙关上有唐碑亭，亭内岩壁上是唐袁滋摩岩。袁滋是唐朝御使中丞、书法家。这块摩岩，是袁滋于公元794年（唐贞元10年）出使云南，路过石门关时刻下的。与摩岩对峙的东岩石壁上可以观看神秘的古代“僰人悬棺”葬。现存有5具古代僰人悬棺，对于研究僰人的兴衰具重要的价值，是珍贵的文物。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1408/27/bc68a13c7ac42615ffffffffc8d65eac.jpg_480x360x95_487bceb1.jpg,4.1,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
黄连河,http://travel.qunar.com/p-oi706509-huanglianhe,"

地址:
云南省昭通市大关县城东南侧5.5公里


电话:
0870-5629999

",黄连河瀑布群距县城5公里，有专线公路及中巴车直达景区。沿途山花烂漫、幽谷纵横、清泉奔涌、鸟语花香。主要景点有仙女瀑、情郎瀑、少女瀑、月老瀑、鸳鸯瀑、洞房瀑、相思瀑、对歌瀑、姊妹瀑、银链瀑、迎客瀑、寿星瀑、珠帘瀑及神秘莫测、千姿百态的白象洞，令人心旷神怡的水帘长廊和使人销魂惬意的大滑板等20多处，加上形似飞鸽的世界珍稀植物珙桐花，堪称天下奇景。,全天,https://img1.qunarzz.com/p/tts5/1806/75/d6dc97126d11db02.jpg_480x360x95_2afc2235.jpg,3.8,,,30元,,1
观斗山石雕Guandou Mountain Stone Carving,http://travel.qunar.com/p-oi704475-guandoushanshidiao,"

地址:
昭通市威信县城高田乡的新华汾山与罗汉山之间

",观斗山石雕位于昭通市威信县城东北40公里高田乡的新华汾山与罗汉山之间，海拔1880米。观斗山庙始建于明代，以观斗山为中心，同时建有昆仑山、小西天、神速林山等十多座庙宇。庙宇数次被焚，民国时期，修复了九个大殿，坐东向西分布于观斗山岭埂上，面积6200平方米。目前仅存九殿遗址。观斗山石雕紧靠天星国家森林公园，该处山峰巍峨，叠翠堆绿，万亩竹海，山泉清澈。此山早于700多年前的明代时期就开始建庙，后经明、清、民国几代的经营，集儒佛道之教为一山。庙宇被毁后，现复建了三个大殿，还遗存了大批石雕碑刻，这些石雕造型生动别致，镌刻细腻，形象逼真，具有很高的宗教文化、艺术研究和观赏价值。,8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/665ccfc1d63dde0b04683fc65518d975.jpg_480x360x95_5392ec2a.jpg,4.7,建议游览时间：1小时,,38元,,1
躲军洞,http://travel.qunar.com/p-oi710188-duojundong,"

地址:
云南-昭通镇雄县翟底河西岸中屯

",躲军洞在镇雄县翟底河西岸中屯，南距县城20公里。翟底河古名直料河，是乌江的支流。源出贵州赫章古牛车山脊，由西向东折南流。上游称溜沙河，下游称热水河，翟底河居其中段。河流两岸，青山苍翠，绿草茂密，林泉幽深。相传，溜沙河原经高视槽北向流人长沟，罗英秀才（滇东北民间传说中的智者）至此，指河改道，斧劈山峰，削壁千切，于峰峦绝壁间开出数十里渠道，溜沙河即倾泻东南。流水如玉带，玉带若灵蛇，绕右岸崖壁上的躲军洞婉蜒流过，直下七星关。如斯，俯临翟底河的躲军洞便另有...躲军洞在镇雄县翟底河西岸中屯，南距县城20公里。翟底河古名直料河，是乌江的支流。源出贵州赫章古牛车山脊，由西向东折南流。上游称溜沙河，下游称热水河，翟底河居其中段。河流两岸，青山苍翠，绿草茂密，林泉幽深。相传，溜沙河原经高视槽北向流人长沟，罗英秀才（滇东北民间传说中的智者）至此，指河改道，斧劈山峰，削壁千切，于峰峦绝壁间开出数十里渠道，溜沙河即倾泻东南。流水如玉带，玉带若灵蛇，绕右岸崖壁上的躲军洞婉蜒流过，直下七星关。如斯，俯临翟底河的躲军洞便另有一个美妙的名字――玉带天宫，成为一方名胜。躲军洞有上下两个洞口。从上洞口进，石壁上有佚名者题壁诗数首，显然是躲军避祸者所书。既有沉郁悲枪，怨天尤人的控诉，守善不报、家破人亡的悲凉，也很有几首故作旷达，自嘲、自诩的调侃、反讽之作。诸如：“避难在山园，谁人似我闲？家乡久抛别，非仙更似仙。”再如：“天心虽已去，人力可回天，内省原无疚，何化与惧焉。”人洞，沿右侧石壁行，有一平行走道，宽丈余，中高数文，穹顶，有钟乳石悬垂。,全天,,--,,,免费,,1
母享镇,http://travel.qunar.com/p-oi39602171-muxiangzhen,,,,,0.0,,,,,1
