名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
平遥古城Pingyao Ancient City,http://travel.qunar.com/p-oi8675144-pingyaogucheng,"

地址:
晋中市平遥县照壁南街58号


电话:
0354-5690000,0354-5690075

",平遥古城距太原市约85公里，古城内的街道、店铺和民居依旧保持着传统的布局和风貌，是我国保存较为完好的古城之一，也是目前我国以整座古城成功申报世界文化遗产的古县城。平遥曾是晚清时期中国的金融中心，走进这座曾经繁华的古城，处处可以感受到晋商文化的气息。古城共有六个门，北门近平遥汽车站，西门近平遥火车站，南门和西门则是游客众多的地方。进入古城是不需要门票的，若要登上城墙、参观票号等景点，则需购买古城通票。古城不算大，靠步行足以逛完，不愿走路也可乘坐电瓶车。整个古城的街道布局为“土”字形，游玩时通常从下西门进城，沿西大街走到“中国现代银行的鼻祖”日升昌票号，在这里不仅可以了解古代银行业的发展史，还可以让长袍马褂的老掌柜用早期的汇票方式给你写张汇票，特别有历史感。继续向前便是纵贯南北的南大街，它是古城的中轴线。明清时期，南大街控制着全国一半以上的金融机构，被誉为当年的“中国华尔街”。如今这里也是古城繁华之地，被称为明清古街。古城中大部分景点都集中在这里，以古城标志性建筑古市楼为中心，分布着协同庆票号（中国钱庄博物馆）、蔚泰厚（票号博物馆）、百川通、中国镖局博物馆、同兴公镖局、蔚盛长、中国珍奇报纸陈列馆、天吉祥等景点，还有饭馆、乐器行、咖啡馆、酒吧一应俱全。可沿街游玩过后，在此吃饭，买点纪念品，然后继续往南参观。在古城南面的平遥古县衙，可以看到大量古代文书和刑具，每天还有县衙升堂的表演；上东门附近的城隍庙和文庙修得颇为气派且讲究，而且香火很旺，可以上香。平遥古城墙也是古城的看点之一，不仅雄伟，而且保存得十分完整。登上城墙，可以俯瞰古城全貌。其中，南门（迎熏门）的城楼精美，而且这边靠近民居，还能看到古城里人们的生活。如果时间充裕，可以沿着城墙绕古城走一圈，全方位感受古城的风貌，大概需要一个多小时。傍晚在城墙上看夕阳，景色很美。除了古城本身，平遥另外两大看点分别是镇国寺和双林寺。镇国寺全寺没有一根钉子，所有结构都是木头与木头相互卯碶而成；双林寺内10余座大殿内保存有元代至明代的彩塑造像，非常精美。游玩平遥古城，可以挑选几个感兴趣的景点参观后，乘车前往乔家大院继续游玩，然后返回太原。比较推荐的是在古城内住一晚，看看古城的夜景，也可以租辆自行车，去那些小巷子里体验真正的平遥，看人文风俗或者拍照摄影都是很棒的题材。特别是过年的时候，整个平遥年味十足。城内都是老院子改的客栈，平时价格不贵，完全可以找到几十块，干净整洁的住处。另外，平遥的牛肉是非常有名的，清末慈禧太后曾途经平遥，享用平遥牛肉后甚是喜爱，还将其定为皇宫贡品。古城内随处可见打着“冠云牛肉”名号的店，真假难辨而且价格普遍偏贵，可以在城外买一点尝尝和送亲友。,10/8-3/31 08:00-17:30;04/01-10/07 08:00-18:00,https://img1.qunarzz.com/travel/d5/1604/16/043e1f65a42d73f7.jpg_480x360x95_8903ea8e.jpg,4.5,建议游览时间：3天 - 9天,推荐旺季来古城参观，3月1日-11月30日。,"{'平遥古城通票学生票\n\n': ['¥65起'], '平遥古城通票+《又见平遥》演出票成人票\n\n': ['¥338起'], '又见平遥演出票成人票\n\n': ['¥238起']}",,1
常家庄园The Mansion of the Changs,http://travel.qunar.com/p-oi703556-changjiazhuangyuan,"

地址:
晋中市榆次区东阳镇车辋村


电话:
0354-2756789,0354-2756906,400-0354-800


官网:
http://www.cnchang.com/

",在山西众多晋商中，常氏家族可称翘楚。从清康熙年间到光绪末年，经过二百余年的修筑，常氏在榆次整整建起了南北、东西两条大街。街两侧深宅大院鳞次栉比，蔚为壮观，其中楼房几十幢，房屋上千间，民间有谚曰：“乔家一个院，常家二条街。”常家庄园的建设规模，在当时称为三晋民居建筑之首，和晋中的一些县城相比，也毫不损色。如今游客所参观的庄园，只有历史上的五分之一规模，但也是非常的庞大，当你来到这里，会感到这不是一个私家庄园，而是一座城池。游览常家庄园非常方便，游客从庄园东北门进入景区后，一条大街呈现在眼前，景区内的各个主要景点都位于这条大街的两旁，主要景点有尝试宗祠、华夏文明山西展览、常氏简史馆等。主要建筑后面，还有一个不是很大的湖泊——沼余湖，更为这座北方的庄园，添加不少柔性。常家庄园的魅力，主要在于三个方面。首先是每所院落的里院正中都建有一座木结构的牌楼，牌楼两侧各有砖雕花墙，使方正雄浑的北方庭院增添了画龙点睛般的南国园林秀色。其次是院落之后，大多建有花园、菜园，有小门与正院相通。进园之后，有小路贯通，回廊、亭榭、小桥流水，一番似南方园林的景色。第三则是在每个院落中随处可见的砖雕、木雕、石雕和木构件上的彩绘艺术。这也是庄园内最大的看点，房脊的吻、兽和雕花护脊，线条娴熟，刀法细腻；院落中的照壁、花墙砖雕，既有传统的“百寿图”、“吉祥图”以及佛道故事，又有花卉鸟兽等具有地方特色的内容；三是每排厢房“硬山墙”上端的“墀头”，有花、鸟、兽等，造型各异；四是现存的部分砖雕护栏，全部由砖雕砌成，栏柱、栏板浑然一体，丝毫不见砌缝。常家庄园还是重要的影视拍摄基地，目前已经有近三十部电视连续剧陆续来园拍摄。其中有《龙票》、《白银谷》、《金锁记》、《亮剑》、《乔家大院》、《狼毒花》、《白银帝国》等影视作品，将这里作为外景地进行实景拍摄。,全年 08:00-18:30,https://img1.qunarzz.com/travel/poi/201211/15/52c18292aab3bb81ddb12cfb.jpg_480x360x95_297271e5.jpg,4.8,建议游览时间：2小时 - 3小时,四季皆宜。,"{'常家庄园门票成人票\n\n': ['¥64起'], '常家庄园门票优待票\n\n': ['¥40起'], '常家庄园电子讲解票大小同价\n\n': ['¥0.5起']}",1、阳春三月，常山庄园杏花满园，爱好摄影的朋友最好在清明前后前去观赏。2、常家庄园建立自驾车宿营地，自驾车宿营地是指在自驾车旅游线路上，依托旅游交通干线和风景优美之地或者在旅游景区附近开设的，有一定场地和设施条件，为自驾车爱好者提供服务的旅游场所，其主要服务项目包括露营、休闲、野炊、娱乐、信息服务、医疗与救援等。,1
华北第一镖局Huabei No.1 Biaoju,http://travel.qunar.com/p-oi715950-huabeidiyibiaoju,"

地址:
晋中市平遥县东大街24号


电话:
0354-5690000,0354-5686308

",华北第一镖局指道光年间由王正清、戴二闾、左二把成立于平遥、祁县、文水等地的“同兴公”、“太汾”、“昌隆”三大镖局。全馆总面积1000余平方米，分前、中、后、楼院四部分，充分而真实地再现清代乾隆以来我国镖局的独特风貌。神枪王正卿、铁腿左二把、形意拳名家戴二闾是清朝道光年间著名武师，当时有句口号：王家枪、戴家拳，左家弹腿走天下，道光皇帝做后盾，打遍天下无敌手。三人分别开创镖局，从事现银运送，解缴、或货物转运，满足其时商业贸易实行现银结算的需要，因而，一度兴旺发达。镖局介绍了三位杰出人物的生平事迹以及镖局的资料，既了解到中国保镖行业的发展情况，也知道了华北形意拳、长拳等武术门派的发展史。镖局在后院辟有练武场，常有当代武术爱好者在此习练，也常有游客参与活动。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/d7/1709/37/e1aa5271a771e4b5.jpg_480x360x95_780d7fdd.jpg,4.5,建议游览时间：1小时 - 2小时,四季皆宜。,"{'平遥古城通票学生票\n\n': ['¥65起'], '平遥古城通票+《又见平遥》演出票成人票\n\n': ['¥338起'], '又见平遥演出票成人票\n\n': ['¥238起']}",可以选择在春节期间去游览，春节期间古城内有“平遥中国年”活动，可以顺便感受一下传统春节气氛。,1
双林寺Shuanglin Temple,http://travel.qunar.com/p-oi706486-shuanglinsi,"

地址:
晋中市平遥县


电话:
0354-5779023,0354-5673200

",双林寺是与平遥的古城墙、镇国寺等景点一同列入《世界遗产名录》的古寺，始建年代已经无从考证了，它重修于北齐武平二年（公元571年），现存庙宇全为明代和清代建筑。双林寺中藏有两千多尊宋、元、明、清等各朝代的彩绘泥塑，它们继承了我国唐代以来彩塑的优良传统，具有高度写实的风格，个个都是稀世珍宝。双林寺庙群内分东、西两大部分。西部为庙院，也是游玩的主要部分，沿中轴线坐落着三进院落，由十座殿堂组成。前院为释迦殿、罗汉殿、武圣殿、土地殿、阎罗殿和天 王殿；中院为大雄宝殿和两厢的千佛殿、菩萨殿；后院为娘娘殿和贞义祠。东部为禅院、经房等。明代时于寺庙外围建一周高大的夯土围墙，上置箭垛，外观颇似一座小城堡。游览双林寺，处处都会令你叹为观止。天 王殿中高达三米的“四大金刚”像，高大威猛；释迦殿内，四壁上采取连环壁塑的形式，表现了佛祖释迦牟尼的一生；千佛殿内的观音像，面相恬静妩媚，姿态舒畅自然。观音旁的韦陀像，双重性格的深入刻画，夸张变形的身躯表现了力度，面部表情高度传神；菩萨殿中的主像——千手千眼观音，手势千变万化，塑造得十分纤巧而富弹性。除此之外，千佛、菩萨二殿外檐墙上，还残留少量明代壁画；释迦殿两侧有钟楼和鼓楼东西相对，钟楼上现有明代嘉靖年间大铜钟一口。,4/1-10/8 08:00-18:00;10/9-3/31 08:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/a27f0ef61c541f5253c77b387f0a8861.jpg_480x360x95_1df2b1ec.jpg,4.7,建议游览时间：2小时 - 3小时,四季皆宜。,{'导览服务成人票\n\n': ['¥5起']},春节期间平遥会举办“平遥中国年”活动，双林寺周边也是年味十足，你可以顺便感受一下传统的原汁原味的平遥传统春节气氛。,1
沼余湖Zhaoyu Lake,http://travel.qunar.com/p-oi10071292-zhaoyuhu,"

地址:
晋中市榆次区914县道

",沼余湖位于常家庄园里，在北方庄园里还有湖泊，除皇家园林外，独此一份。配上一个阁楼，就是一幅极美的画卷。沼余湖面积虽不算大，但它的历史却非常悠久。山西晋中一带有“打开灵石口、空出晋阳湖”的典故。其实在很早之前还没有“晋阳”这个地名； 而当时的晋中盆地也还是一片湖泊，名字叫“沼余祁泽”；中心在现在的祁县一带。大禹退水后，晋中大地上留下了大大小小的湖泊，后来有的成了良田，有的成了洼地，有的仍为湖泊（如太原市西南的晋阳湖）。而常家大院的中心地带原来就长年积水，长满了芦苇水草，因为它同属沼余祁泽残留的为数不多的水域，所以人们仍习惯地称之为“沼余湖”。,全年 9:00-16:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/7b067e99db5660e64368d7861afd5259.jpg_480x360x95_3d2f1288.jpg,4.8,,,,,1
山西王家大院Wang Family Courtyard,http://travel.qunar.com/p-oi716473-shanxiwangjiadayuan,"

地址:
山西省晋中市灵石县静升镇静升村王家大院


电话:
0354-7722122


官网:
http://www.sxwjdy.com/

",王家大院距离平遥古城35公里，由静升王氏家族经明清两朝，历时间300余年修建而成。虽没有乔家大院出名，但王家大院的规模和气势在晋商宅院里绝对是首屈一指的，去过王家大院的人都会感叹，这哪里是个“大院”，简直是一座城！也正是因为它磅礴的气势，以及建筑和文化上的成就，素来有“王家归来不看院”的美誉。王家大院由五条巷子、五座城堡、五座祠堂构成。其中，五座古堡的院落布局分别被喻为龙、凤、龟、麟、虎五瑞兽，当前主要开放的红门堡（龙）、高家崖（凤）和王氏宗祠等加起来，还不足整个大院的四分之一。不要小看这句“王家归来不看院”，现在开放的这四分之一，随便走走就需要两个小时。来到王家大院，一是看建筑居所的格局，二是看木、石、砖“三雕”艺术。建筑主要看的是高家崖、红门堡两部分。大门一进去便是高家崖，高家崖完全按照封建等级制度建造，官宦门第的威严和宗法礼制的规整可见一斑。主院敦厚宅和凝瑞居都是三进四合院，每个院子除了有高高在上的祭祖堂和两旁的绣楼外，又都有各自的厨院、家塾院，并有共用的书院、花院、长工院、围院。大大小小的院落之间，上下左右相通的门多达65道，“院内有院，门里套门”走在里面好像迷宫一样。从高家崖过一座石桥便是红门堡，红门堡建筑群是依山而建的，比高家崖修建时间早，规模也更大些。这里像一座真正的城堡，整个建筑群由低到高分为四层，左右对称，中间一条主干道和三条横巷子形成一个很规整的“王”字造型。据说这里还藏着一条巨龙，是因为地上的石头像龙鳞的缘故。堡内29座院落依主人的身份和喜好而建，在结构和装饰上各具特色，无一雷同。红门堡里最值得一提的是三甲东巷的绿门院，这里的雕刻非常讲究，最精美的要数木雕挂落“满床笏”和石雕“四爱图”。另外，红门堡的共用花园顶甲园曾是主人茶余饭后休闲的地方，环境很不错，有些江南园林的感觉，这也是王家大院的特色之一。游王家大院，通常的抵达和离开的线路是：太原-王家大院-平遥古城-太原，或者太原-平遥古城-王家大院-太原。因此，通常并不会在王家大院过夜，大多以平遥古城或太原为据点解决吃住问题。,全年 08:30-17:20,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/3de7ce2300b8105130c4091232cc3aab.jpg_480x360x95_338841e6.jpg,4.7,建议游览时间：2小时 - 3小时,最佳旅行时间为春、秋两季，当地气候温凉宜人，出行较舒适。,"{'王家大院门票成人票\n\n': ['¥55起'], '王家大院导览服务大小同价\n\n': ['¥0.3起'], '王家大院电子导览服务大小同价\n\n': ['¥0.5起']}",1、王家大院是倍受关注的影视拍摄基地，近年来先后有《沧海桑田一百年》、《古镇大河》、《关中往事》、《熬年》和《吕梁英雄传》等十余部电视连续剧在此拍摄。对此有兴趣的朋友可以在游览时留意一下自己在电视上看到过的场景。2、春节期间有抛绣球、抬花轿、入洞房等娱乐活动；在旅游旺季有皮影戏、木偶戏、泥塑、拓拓片、溜糖人、现场书画等互动节目。3、王家大院导游票80元/人，多人一起可以合租导游。4、灵石的风味小吃多达数十种，首推面食，种类繁多，花样齐全，堪称一绝。5、王家大院出门即是街道和超市，可以买到很多纪念品和土特产，比如：王家豆腐干、王家糊糊辣椒酱、王家“德和源”醋都是值得一尝的。,1
平遥古城墙Pingyao Ancient City Wall,http://travel.qunar.com/p-oi709426-pingyaoguchengqiang,"

地址:
晋中市平遥县照壁南街58号平遥古城内


电话:
0354-5680205,0354-5868113

",平遥古城墙，全长约6公里，是国内保存较好的县城城墙。平遥古城墙建于明朝洪武三年（1370年），如今的城墙，基本上保持了明初的形制和构造。作为游客，你如果只是在边上或者古城中看看城墙，那是不需要付费的，如果你想登上城墙，那就需要购买平遥古城的通票了。城墙绕古城一周，共有六座城门，南北各一座，东西各二座。目前游客可以通过南门或者北门，登上城墙或者下城墙，需要注意的是，古城的管理方有时会调整登城墙或者下城墙的城门，具体以景区当日的公告为准。古城墙是平遥古城的一道宏伟的风景线，古城墙是由瓮城（东西各两座城门都是瓮城）、城楼、角楼、点将台等建筑设施组成。如果你有兴趣登上城墙，还可以看到城墙顶上设有的望孔、射孔、垛口、铁炮等御敌设施。有些游客登上城墙后，会沿着城墙走一段，如果是绕着古城走一圈，大概需要4小时左右，你也可以从北门登上城墙，然后沿着城墙走到南门下城墙。在几百年的古城墙上行走时，能够看到古城内居民的日常生活场景，有晾晒衣服的家庭主妇，有屋顶上飘出的炊烟袅袅，历史的沧桑和现实的世俗混合在一起。如果你想在城墙上拍照，建议傍晚时分前往，拍日落和古城老房子的效果会特别好。不过要注意，古城冬季天黑的早，需要提前去。,3/1-10/9 08:00-18:30;10/10-2/29 08:00-17:30,https://img1.qunarzz.com/travel/d5/1709/41/7087b77526876bb5.jpg_480x360x95_b2937cfd.jpg,4.5,建议游览时间：2小时 - 4小时,四季皆可。最佳旅行时间是春秋两季，气候宜人，出行较舒适。冬季雪后风景亮丽，但会引起路滑，所以在攀爬城墙时需谨慎注意安全。,"{'平遥古城通票学生票\n\n': ['¥65起'], '平遥古城通票+《又见平遥》演出票成人票\n\n': ['¥338起'], '又见平遥演出票成人票\n\n': ['¥238起']}",平遥城墙遥城池呈方形，城墙周长 6163 米。南城墙随中都河蜿蜒而建，其余三面皆直线相围。城墙高 8～10米，底厚 8～12米，顶厚3～6米。墙身素土夯筑，分层铺设稻草为拉筋，外壁城砖白灰包砌，顶部青砖铺墁，内向设泻水渠道。环城墙辟城门 6道，东西各二，有上下门之分；南北各一。各门交错设置，门外筑瓮城，内外皆用条石铺墁，门洞上原建城楼各一。城墙四角设平台，原各建角楼一座，现城门楼角楼失存。城墙东南隅建有魁星楼和文昌阁，亦俱废。东墙城门上尚存尹吉甫点将台。城墙内侧筑马道。城墙外壁分段筑马面 71 堵，上建敌楼各一，中架木板，外设箭孔。城墙上设女墙高 0.6米，堞口高 2米。平遥城依照“因地制宜，用险制塞”的原则修建，风格古朴，重视防御，工艺和用料均以精良著称。城池平面呈方形，南侧城墙沿中都河而建，故略显蜿蜒。城墙高12米左右，平均宽3.5米，周长6.4公里。墙外有护城河，宽度和深度均为4米。墙体内为土筑，外用白灰包砌，顶部用青砖铺墁，内侧设马道和内向排水渠道。墙上有6座城门及门楼，四角各筑1座角楼，每隔50米便筑料敌楼1座，共有72座，垛口共计3000多个，据说是按孔子有弟子三千、贤人七十二来设计的。不过除了城门和垛口，其余已大都残坏。六座城门中，南北各有一座，东西分别有两座，东西门外均筑有附属的瓮城，形如乌龟的头尾和四足，并且城内街道布局亦颇似龟背纹络，故有“龟城”之称。平遥城墙的东南角和东门，分别有文昌阁（现已不存）、魁星楼和尹吉甫点将台等建筑。南门部分墙段曾在2004年倒塌，2005年已获重修。除此以外的其余大部分墙体都保存较好，与陕西西安城墙、湖北荆州城墙、辽宁兴城城墙等并列为中国现存最好的四座古城墙1、平遥古城城墙呈正方形闭合形状，走完全部烽火台大概需要5个小时，建议不要喝太多水，城墙上无厕所。2、建议最好不要冬天爬城墙，下雪路滑容易出危险。3、平遥城墙的东南角和东门，分别有文昌阁（现已不存）、魁星楼和尹吉甫点将台等建筑，旅游时可以特别注意一下。,1
平遥古县衙Pingyao Ancient Government Office,http://travel.qunar.com/p-oi718382-pingyaoguxianya,"

地址:
晋中市平遥古城内


电话:
0354-5690000,0354-5682909

",平遥古县衙，位于平遥古城内，是当年平遥县令办公审案的官署，县衙初建于元至正六年（1346年），明洪武三年（1370年）重建，至今已经有六百多年的历史了。整座衙门规模庞大，其中大堂、二堂、内宅、花厅、常平仓、赞侯庙、土地祠、牢狱、公廨房、十王庙、洪善驿、督捕厅等厅房设施一应俱全。这座古县衙的主要建筑均有楹联，如大堂楹联：“吃百姓之饭穿百姓之衣莫道百姓可欺自己也是百姓”、“得一官不荣失一官不辱勿说一官无用地方全靠一官”；二堂楹联“与百姓有缘才到此地”、“期寸...平遥古县衙，位于平遥古城内，是当年平遥县令办公审案的官署，县衙初建于元至正六年（1346年），明洪武三年（1370年）重建，至今已经有六百多年的历史了。整座衙门规模庞大，其中大堂、二堂、内宅、花厅、常平仓、赞侯庙、土地祠、牢狱、公廨房、十王庙、洪善驿、督捕厅等厅房设施一应俱全。这座古县衙的主要建筑均有楹联，如大堂楹联：“吃百姓之饭穿百姓之衣莫道百姓可欺自己也是百姓”、“得一官不荣失一官不辱勿说一官无用地方全靠一官”；二堂楹联“与百姓有缘才到此地”、“期寸心无愧不负斯民”。县衙的后花园和县衙中的观风楼也非常漂亮，后花园有池塘、小桥和小亭子，非常别致；观风楼需要在县衙内爬上去，在楼上可以看到东西边的街道。古县衙每天都会定时定点上演“县太爷升堂断案”的旅游演出，每天演出的时间：9:30、11:00、15:30（有时在节假日和周末会加演一场或者调整演出时间），想看演出的游客好提前抢占县太爷对面、那个台阶前的位置，这里是好观看演出的地方。,8:00-18:00，17:30停止入场,https://img1.qunarzz.com/travel/d6/1504/1e/d9fbcde8964907.jpg_480x360x95_52c30ef2.jpg,4.6,建议游览时间：1小时,四季皆宜。,"{'平遥古城通票学生票\n\n': ['¥65起'], '平遥古城通票+《又见平遥》演出票成人票\n\n': ['¥338起'], '又见平遥演出票成人票\n\n': ['¥238起']}",平遥县衙县太爷升堂表演：周一至周五，上午：10:00、11:30；下午：3:30。周六、日、节假日下午增加一场，时间为16:30。,1
乔家大院Qiao Family Courtyard,http://travel.qunar.com/p-oi701872-qiaojiadayuan,,,,,,,,,,1
日升昌票号Rishengchang Former Bank,http://travel.qunar.com/p-oi720559-rishengchangpiaohao,"

地址:
晋中市平遥县西大街38号


电话:
0354-5683261

",日升昌票号位于平遥古城中的“大清金融第 一街”——西大街的繁华地段，始创于1823年，它是中国最早的一家票号，也可以说，这里是中国最早的一家银行，当时的经营网点几乎遍布整个中国，而如今日升昌已成为中国票号博物馆，保留了一些当时经营所用的实物资料，向人们展示着中国古代银行业的辉煌历史。日升昌票号的前身是“西裕成颜料庄”，总庄设在平遥，并在北京崇文门外设有分庄。清朝嘉庆（1796-1820年）末年各地间货币流通量大增，而过去运输白银的方式由于很不安全，已不能适应新形势的需要，西裕成颜料庄首先在京、晋两地间试行汇兑办法，结果效果很好，便开始兼营汇兑业。清朝道光（1821-1850年）初年，西裕成颜料庄正式更名为日升昌票号。日升昌的院落分为三进，前院为营业大厅，中院为内部的办公机构，后院属生活区，游览线路大致就是从正门处往院落深处步行即可。院落的第一进，是当时的柜台和账房；二进（中院）东、西方各建有客房3间，正面为中厅，是当时的汇兑业务室，紧靠着中厅南檐的是当时伙计的住处；当你来到后院，可以看到这里有几间客房，这是当年贵宾和高级职员的住处。在高级职员的住处西侧，有廊道可通马车，边上是马厩和马倌的住处。整个日升昌大院墙高宅深，布局紧凑，为了防盗，院落上空都架设有铁丝天网，网上系有响铃。临街铺面5扇坚实大门一旦关闭，极为安全。包括日升昌票号在内的平遥古城内的各个票号，因创立时间早、延续年代长、票号数量众多、网点分布之广、使其闻名于海内外，是中国金融发展史上的重要里程碑。,全年 08:00-18:00;全年 08:00-17:00,https://img1.qunarzz.com/travel/d6/1505/bf/2a6ce7cabf6a56.jpg_480x360x95_a40ca5d6.jpg,4.6,建议游览时间：1小时 - 1.5小时,四季皆可。,,"可以选择在春节期间去游览，春节期间古城内会有“平遥中国年”活动，游览景点的同时可以顺便感受一下传统春节气氛。 

",1
