名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
皇城相府House of the Huangcheng Chancellor (Huangcheng Xiangfu),http://travel.qunar.com/p-oi702297-huangchengxiangfu,,,,,,,,,,1
王莽岭风景区Wangmang Ridge,http://travel.qunar.com/p-oi711766-wangmanglingfengjingqu,"

地址:
晋城市陵川县古郊乡银盘村


电话:
0356-6878613,0356-6878621

",王莽岭相传因西汉王莽追赶刘秀到此安营扎寨而得名。景区包括华北的生态旅游目的地王莽岭、世界围棋起源地棋子山、世界奇观挂壁公路和世外桃源锡崖沟等。王莽岭地处黄土高原与中州平原断裂带，由高低错落的五十多个山峰组成，最高海拔1665米，低处仅800米。驻足山顶、太行雄姿尽收眼底。中原大地举目可睫。这里的云海、日出、奇峰、松涛、挂壁公路、红岩大峡谷、立体瀑布，形成了八百里太行最著名的自然景观。王莽岭境内植被茂密，森林覆盖率达95%以上，险绝之境，林海苍茫，松涛弥耳，整个山上，处处是美景，处处皆可入画，是影友拍摄风景的境地。暑期气温保持在18度—20度之间，素有“清凉圣境”之美誉。山上由下气候迥异，气象变化万千，一年四季皆为旅游胜地。,全年 08:00-16:00,https://img1.qunarzz.com/travel/d5/1608/38/e49765fbf28ad1b5.jpg_480x360x95_5ca371c5.jpg,4.5,建议游览时间：5.5小时 - 6小时,,{'王莽岭风景区电子讲解服务大小同价\n\n': ['¥9起']},,1
蟒河生态旅游区Manghe Eco-Tourism Area,http://travel.qunar.com/p-oi707495-mangheshengtailu:youqu,"

地址:
晋城市阳城县蟒河镇蟒河村


电话:
0356-4868240

",蟒河景区位于山西省晋城市阳城县东南35公里，总面积5573公倾，是猕猴自然保护区。蟒河景区素有“黄土高原小桂林”之雅称。主要水景有：出水洞、二龙戏珠、水帘洞、饮马泉、小黄果树瀑布、流银瀑布、黄龙瀑布、黑龙瀑布、天龙瀑布、蟒湖等；蟒河的山层峦叠嶂，奇峰突兀，主要山景有：莲花峰、望蟒孤峰、孔雀峰、石人山、窟窿山、三盘山等。蟒河景区共有动物285种，种子植物882种。被列为保护动物的有黑鹳、金雕、金钱豹，处我国地理分布北限的猕猴；被列为保护植物的有红豆杉、无喙兰、...蟒河景区位于山西省晋城市阳城县东南35公里，总面积5573公倾，是猕猴自然保护区。蟒河景区素有“黄土高原小桂林”之雅称。主要水景有：出水洞、二龙戏珠、水帘洞、饮马泉、小黄果树瀑布、流银瀑布、黄龙瀑布、黑龙瀑布、天龙瀑布、蟒湖等；蟒河的山层峦叠嶂，奇峰突兀，主要山景有：莲花峰、望蟒孤峰、孔雀峰、石人山、窟窿山、三盘山等。蟒河景区共有动物285种，种子植物882种。被列为保护动物的有黑鹳、金雕、金钱豹，处我国地理分布北限的猕猴；被列为保护植物的有红豆杉、无喙兰、山白树、连香树，其中红豆杉属北方极少见的亚热带树种。药用价值极高的山茱萸在蟒河分布广，历史悠久，因此蟒河又称“山萸之乡”。,全年 08:00-17:30;全年 08:00-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1558206549218100814000000w7jl4AAC9_D_640_10000.jpg_480x360x95_1f9d36c8.jpg,4.4,建议游览时间：2小时 - 3小时,,"{'蟒河生态旅游区门票成人票\n\n': ['¥30起'], '蟒河生态旅游区手机导游(不含门票)手绘地图、语音讲解票大小同价\n\n': ['¥2起']}",,1
锡崖沟Xiya Ravine,http://travel.qunar.com/p-oi705380-xiyagou,"

地址:
晋城市陵川县锡崖沟村


电话:
0356-6878610

",锡崖沟位于有名的王莽岭景区南端四周落差1000多米的深谷之中，与河南辉县接壤。山陡沟深，地势险恶，峭壁环列，这里有名的便是挂壁公路，是锡崖沟中的几代人花费30年时间人工开凿的，开创了中国乡村筑路史上的奇迹，被誉为世界奇观。大山的阻隔同时也造就了一个世外桃源，该区谷底阡陌交通，沔桥流水，田畦青翠，民风纯朴，自然风光秀丽。村中有一南北走向的大峡谷垂直分开，如天坑之地缝，深处可达200多米，深邃悠长，峭壁如屏、砂岩如朱，无尽延伸，湮没于河南境内。一股清泉从壁间飞流而下，涛声如雷，寒气上逼，云雾飘渺，蔚为壮观。村内建筑多用石材，石屋、石桥、石径、石桌、石碾、粗放古朴，“野味”浓郁。“天坑型”的地形环境，使得这里的小气侯温和，水量丰沛，植被茂密，湖光山色，小桥流水，如至江南。,景区暂时停业，详情请以景区公示为准；原开放时间夏令8:00-18:00，冬令8:00-17:40。,https://img1.qunarzz.com/travel/d8/201404/22/d989b47e02ac950dddb12cfb.jpg_480x360x95_7cb35fe6.jpg,4.5,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
历山Li Mountain,http://travel.qunar.com/p-oi708709-lishan,"

地址:
山西省晋城市沁水县西南56公里


电话:
0356-7029797

",历山在山西省南部垣曲县、翼城县、阳城县、沁水县交界处。面积是2.48万公顷。海拔为2321.8米的历山主峰舜王坪，是山西南部第一高峰。历山风景区是国家4A级旅游景区、山西省四大自然景观旅游热点地区之一。,5月1日-10月31日7:00-16:00；11月1日-次年4月30日7:00-15:30。,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/dc12590c996df3392bee523e77c5a7bb.jpg_480x360x95_f0766b8a.jpg,3.2,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
九女湖,http://travel.qunar.com/p-oi712468-jiunu:hu,,九仙女湖旅游风景区--位于山西省阳城县，是传说中仙女下凡游玩之处所，湖中矗立有九女仙台，台上建有九女仙祠，是阳城古城八景之一。曾是历代文人墨客经常观光旅游的地方。九女湖地处太行山和中条山交汇的沁河峡谷之中，它是阳城县继国家级自然风光旅游区――蟒河开发建设之后的又一个水上游乐为主的自然风光旅游景区，距国家AAAA景区皇城相府12公里。九女湖距晋城市中30余公里。西距阳城县20余公里。北距亚洲第一大电厂――阳城国际发电有限公司所在地的北留镇7公里。九女湖风...九仙女湖旅游风景区--位于山西省阳城县，是传说中仙女下凡游玩之处所，湖中矗立有九女仙台，台上建有九女仙祠，是阳城古城八景之一。曾是历代文人墨客经常观光旅游的地方。九女湖地处太行山和中条山交汇的沁河峡谷之中，它是阳城县继国家级自然风光旅游区――蟒河开发建设之后的又一个水上游乐为主的自然风光旅游景区，距国家AAAA景区皇城相府12公里。九女湖距晋城市中30余公里。西距阳城县20余公里。北距亚洲第一大电厂――阳城国际发电有限公司所在地的北留镇7公里。九女湖风景旅游区是一个利用水电大坝拦截沁河水道而形成的高峡平湖。水面长达十多公里，有着屹立于水中如中流砥柱的九女仙台，有形如大瓮，深不可测的黑龙潭，有云雾缭绕、垂挂悬崖的白云洞、娘娘洞，更有二郎担山、三面锣、三圪堆、牛魔王洞等许多美丽的传说。每一个景点都有一个动人的故事。雪瀑飞泄的杜河大坝、凌空飞架的铁路大桥更加增添了九女湖的旖旎风光，荡漾其中、轻舟漂游，眼前波光潋滟，舟船竞渡，两岸危崖耸峙，奇峰拥翠，怡情芳洲垂钓，拾趣灵洞探幽，如入桂林仙境，三峡形胜，定会使您心旷神怡，流连忘返。,,,--,,,35元,,1
山里泉Shanli Spring,http://travel.qunar.com/p-oi709743-shanliquan,"

地址:
晋城市泽州县山河镇拴驴泉村瑞丰路1705号


电话:
13663839667

",山里泉旅游区位于太行山南部，晋豫两省的泽州、阳城、济源三县市的交汇处，距207国 道18公里，距晋城市区50公里，距济源市区51公里。侯月铁路从景区穿越而过，并设有车站，因此这里交通十分方便。景区内风光秀丽、群峰壁立，人称北方“小三峡”。山上动植物资源十分丰富，有猕猴、豹子等野生动物，有茂密的森林和数十种草药。有川流不息的沁河水，有清澈透明的泉水，有美丽宽阔、碧波荡漾的湖面。有历史悠久的名胜古迹，有富有现代气息活力充沛的中型水力发电站（拴驴泉水电站），有环境幽雅、服务上乘的集食宿、娱乐、休闲、疗养、会议、培训于一体的度假村。这里气候宜人，空气清新，原始生态环境保护完整，是融游览观光、休闲度假、康体保健、寻奇探幽等功能于一体的综合性生态型旅游风景区。景区犹如一颗璀 璨的明珠闪耀在大山深处，可使你今天大饱眼福，不虚此行。 ,全天开放,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1553022516150100r12000000sbrc60F90_D_640_10000.jpg_480x360x95_25fc7449.jpg,4.5,建议游览时间：3小时 - 5小时,,具体收费情况以现场公示为准,,1
九女仙湖Jiunu Fairy Lake,http://travel.qunar.com/p-oi7469800-jiunu:xianhu,"

地址:
晋城市阳城县北留镇（距皇城相府景区9公里）


电话:
0356-4847999

",九女仙湖位于太行山沁河峡谷中，东距晋城市30公里，地理位置优越，交通方便。是一处占地面积约13平方公里，以水上游乐为主的自然风光旅游景区。主体景观为一回水长达20华里的高峡平湖，拥有晋城市境内较大的水域面积，并以湖中耸立的巨石奇观——九女仙台及九仙女的传说而得名。九女仙湖的湖水源自于泽州的大河——沁河，发源于长治市沁源县，往南经安泽、沁水、阳城、晋城，切穿太行山，流入河南，然后注入黄河。此外，延河泉也是主要的补充水源，延河泉是省内有名的泉水之一，是我国北方不可或缺的软水之一，不仅水量大，而且水质好，硬度低，适用于日常饮用和深加工，可谓得天独厚。,8:00-17:00,https://img1.qunarzz.com/travel/poi/1408/28/c8cfb1b640c079a9ffffffffc8d65eac.jpg_480x360x95_2bb09825.jpg,4.2,建议游览时间：2小时 - 4小时,,{'九女仙湖电子导览票大小同价\n\n': ['¥9起']},,1
海会书院Haihui Temple of Yangcheng,http://travel.qunar.com/p-oi705460-haihuishuyuan,"

地址:
晋城市阳城县北留镇大桥村海会寺景区管理处


电话:
0356-4929510

",海会书院位于晋城市阳城县北留镇大桥村，是一座唐宋帝王两赐名额的千年古刹，距今至少有1100多年历史。该寺创建于隋代，唐朝已颇具规模，后经历代重修、增修，规模宏大，明清时是书院的鼎盛时期。海会书院是闻名三晋的著名书院，明清两代先后走出68位进士，举人秀才更是层出不穷。其中有阳城明代吏部尚书王国光、张慎言，户部尚书孙居相。清代康熙朝大学士陈廷敬，乾隆朝大数学家张敦仁等。书院占地3.48万平方米，分为唐、明双塔区，书院文化区，千年古刹区及阳城古八景之一“海会龙湫”。特别是被古建专家赞誉为“国之瑰宝”的琉璃宝塔，是中国楼阁式塔中的佳例。早在1965年就被确定为山西省首批重点文物保护单位，2006年被批准列入为全国重点文物保护单位。,1/1-1/31 08:30-17:00;2/1-9/30 08:00-18:30;10/1-12/31 周日 08:30-17:00,https://flight-feed.qunarzz.com/as3/306/image/poi_vishnu/b39caeb2-54c2-46d4-9f2e-a1ce66ddd745.jpg,4.6,建议游览时间：1小时 - 2小时,,"{'海会寺门票成人票\n\n': ['¥20起'], '海会寺电子导览服务大小同价\n\n': ['¥7起']}",,1
青莲寺Qinglian Temple,http://travel.qunar.com/p-oi711825-qingliansi,"

地址:
晋城市区东南17公里


电话:
0356-3959730

",初名硖石寺，位于晋城市区东南17公里的泽州县硖石山腰。东观孚山，巨嶂横列，气势磅照；南望珏山，双峰插天，秀丽挺拔。山脚丹水荡漾，像一条玉带从东北向西南飘然而去；回首硖石诸峰，峭壁伟岸，似鬼斧神工砍削而成。因寺内的释迦牟尼端坐于莲花座之上，故名青莲寺，是国家重点文物保护单位。该寺分古寺、新寺两处，相距里许，分属净土宗、天台宗道场。新寺宋太平兴国三年（978）御赐名为“福严禅院”，明复称青莲寺。,全年 08:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/8c4b450f0b7ce09b8b3f613be4c28b20.jpg_480x360x95_f4af0bc7.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
晋城西峡Jincheng West Canyon,http://travel.qunar.com/p-oi716302-jinchengxixia,,,,,,,,,,2
涧河狩猎区,http://travel.qunar.com/p-oi707192-jianheshouliequ,,涧河在历山自然保护区边缘，有丰富的动物资源，将开辟为以狩猎为主要旅游项目的小区，开放后除国家保护动物之外，山鸡、野兔、黄羊、山猪等均可猎获。,,,--,,,,,2
珏山Jueshan Mountain,http://travel.qunar.com/p-oi715709-jueshan,"

地址:
晋城市区泽州县金村镇寺南庄村


电话:
0356-3959777

",珏山位于晋城市区东南13公里处的丹河南岸。主峰海拔973米，珏山风景素以险峻、雄奇驰名，古有“晋魏河山第一奇”、“小华山”、“小武当”之美称，其势之凌峥，确可与华山的奇伟峭险，武当山的秀媚风光相媲美。“珏山吐月”为晋城四大名胜之一。珏山自然景观迷人，人文内涵丰富，寺、观、殿、门构筑了丰厚的道教文化积淀。珏山月、天下奇，双峰捧月，绝无仅有，妇孺兼知，自古就有“中国赏月名山”的美誉。丹河从珏山脚下流过，宛如银色的飘带缠绕着珏山，呈现出一派深山藏秀的桃源佳境。不仅如此，珏山还是一处道家仙境、仙家宝地，自古就有“南武当、北珏山”之美誉，同奉真武帝君，文化渊源、一脉相传，异曲同工。珏山在东汉时就被辟为道场，兴盛于唐宋时期，有“中国道教圣地”之称。,早8：00---晚5：00（冬）、晚6：00（夏),https://img1.qunarzz.com/piao/fusion/1905/2b/59ca8c3bc89c4b02.jpg_480x360x95_4cb7d169.jpg,4.6,建议游览时间：3小时 - 4小时,,"{'珏山门票成人票\n\n': ['¥50起'], '珏山电子讲解服务大小同价\n\n': ['¥9起']}",,2
崇安寺,http://travel.qunar.com/p-oi706366-chongansi,,"崇安寺，古称凌烟寺，位于山西省陵川县崇文镇西北的卧龙岗上，大有居高临下，俯瞰全城的雄伟气魄，""先有崇安，后有陵川""的远古说法在当地流传甚广。崇安寺的创始年代已无从稽考，唐初原名为""丈八佛寺'，宋太平兴国元年？？公元976年？？敕命为崇安寺，此外古代并有""凌烟寺""之称。由于历代重修和增建，从现存建筑来看基本上都是明代改建的，但也部分地保留着宋、金原作。主要建筑山门、钟鼓二楼。山门位于中轴线前，系明代建筑，面宽五间，进深六架椽，平面形制为长方形，屋顶形制...崇安寺，古称凌烟寺，位于山西省陵川县崇文镇西北的卧龙岗上，大有居高临下，俯瞰全城的雄伟气魄，""先有崇安，后有陵川""的远古说法在当地流传甚广。崇安寺的创始年代已无从稽考，唐初原名为""丈八佛寺'，宋太平兴国元年？？公元976年？？敕命为崇安寺，此外古代并有""凌烟寺""之称。由于历代重修和增建，从现存建筑来看基本上都是明代改建的，但也部分地保留着宋、金原作。主要建筑山门、钟鼓二楼。山门位于中轴线前，系明代建筑，面宽五间，进深六架椽，平面形制为长方形，屋顶形制为二层三重檐歇山顶，房坡为灰色筒板瓦铺制，正脊为彩色龙吻图案对峙，彩色琉璃剪边。山门一层檐下，南面悬有""行山钟秀""四个大字，北下悬有""留月栖云""四个大字。此楼虽改建于明代，但大门上仍用的是宋代青石门框，门框上还刻着""嘉佑辛丑六月三日""等字样，殿内有宋碑一通，院内金、明、清碑共十三通。钟鼓二楼位于中轴线山门两侧，左为钟楼，右为鼓楼，均为重檐歇山顶，彩色琉璃剪边。钟楼内悬有宋代大铁钟一个，铸于宋徽宗崇宁元年，钟高一百九十八公分，径长一百六十四公分，上面铸有文字和方格纹，是我县现存最大的一个铁钟。鼓楼内原悬有大鼓一面。？？清代已经毁？？。",,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/f52d90db3504d21ac7480b6664bfb152.jpg_480x360x95_216b5c93.jpg,5.0,,,,,2
蜞河风景区Jincheng Qihe Scenic Spot,http://travel.qunar.com/p-oi705310-qihefengjingqu,,蜞河风景区位于山西省运城市阳城县的南部，山上的动植物资源丰富，有红豆杉、白皮松和褐马鸡等珍稀品种。主要景点有出水洞、水帘洞、狮驼石、朝天一柱香等。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/b2b72280d0b698086903ed555de47dc5.jpg_480x360x95_c44e73a3.jpg,4.6,,,具体收费情况以现场公示为主,,2
二仙观,http://travel.qunar.com/p-oi706545-erxianguan,,在山西晋城市东南12.5公里太行山中峰下。建于宋大观元年（1107年）至政和七年（1117年）。寺前山门毁，现存东西配殿各十间。中轴线上有乐台、香亭、均属明清建筑。最后正殿三间，左右各有“天宫壁藏”，雕刻精致，金碧辉煌，后槽的仙台上塑二仙姑泥像，两侧立胁侍四尊，眉目清秀，身材修长，为宋塑中的佳作。,,,--,,,,,2
凤凰欢乐谷风景区Phoenix Happy Valley,http://travel.qunar.com/p-oi702498-fenghuanghuanlegufeng,"

地址:
晋城市陵川县夺火乡凤凰村


电话:
0356-6895111,0356-6895222

",凤凰欢乐谷位于围棋发源地山西省陵川县东南部的夺火乡和马圪当乡境内，地处太行山之巅人迹罕至的山坳中方圆二百余平方公里。景区内山幽水清、潭瀑遍布、奇峰罗列、风光旖旎、枝蔓缠绕、游鱼浅翔、犹如人间仙境、世外桃源、是一处以山、水、崖、洞、林为特色的避暑休闲生态度假旅游区。凤凰欢乐谷包括四大景区：凤凰峡、门河地质公园、龙峡湖、摩天岭，共千余处景点。独特的地质石变；泉、溪、潭、湖德如画变幻；千余种植物覆盖其间，国家一级保护植物红豆杉、稀有树种白皮松随处成林；珍禽异兽穿林跃涧、蜂飞蝶舞、鸟语花香；清凉圣境的独特气候形成太行山生态峡谷群之经典。景区交通便利、设施齐备，是休闲、度假、摄影、科考、探险必选之地。,"11月1日-次年3月31日8:00-17:00,16:00停止入场；4月1日-10月31日7:30-17:00,16:30停止入场。",https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1559502397746100e0s000000hsd4rFA05_D_640_10000.jpg_480x360x95_fe932b03.jpg,4.3,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,2
天坛山,http://travel.qunar.com/p-oi704829-tiantanshan,,天坛山，又名阳洛山，位于市城区西北约31公里处，海拔1711米，为王屋山主峰。绝顶有坛。传为轩辕帝祈天之所，故名天坛；又因与东岳泰山鼎峙，谓之西顶，俗称老爷顶。天坛山高耸入云，独柱凌空。人们登上山顶，翘首太空，云霞眩目；远望黄河，细流如练；俯视群山，宛如阜丘。,,,--,,,,,2
白马寺森林公园White Horse Temple Forest Park,http://travel.qunar.com/p-oi714964-baimasisenlingongyuan,"

地址:
晋城市市区北4公里处的城区境内

",白马寺山森林公园位于晋城市市区北4公里处的城区境内，面积达1万余亩，森林覆盖率达80%以上。不仅自然风景旖旎如画，而且人文景观底蕴深厚，主要景点有“白马寺拖缰”、“白马禅寺”、“景公塔”、“石佛像”、“黑龙潭”、旅游滑道等。景区内的白马禅寺存有缅旬僧人赠送的六尊“玉佛像”、台湾佛教基金会赠送的三千册《大藏经》。,夏令6:30-19:00，冬令8:00-18:00。,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/08b69fef-2c88-4a3c-b4d6-cb8695ca9a28.jpg,4.7,建议游览时间：3小时,,具体收费情况以现场公示为主,,2
南吉祥寺,http://travel.qunar.com/p-oi711285-nanjixiangsi,,在山西陵川县城西20公里平川村。原宋家川，唐贞观年间奉敕建造，宋天圣年间迁此重建，金、元、明、清屡有修葺。寺宇规模完整，前后两进院落，有山门（即天王殿）、中殿、后殿、左右配殿及两厢廊庑。中殿历史最古，宋建，后殿金建元修，山着眼点是经明代重修，还保存着元代手法，余皆明、清遗构。中殿三间见方，单檐九脊顶，檐下斗拱硕大，殿内梁架规整，形制古朴，结构严谨。据碑文记载，宋代“潞城里崔氏寄居平川，年迈乏嗣，自捐资财，创修中央殿三间”，现存中殿确为宋构。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/f41f2e7a8b453b131c06fd0b0e0a0fd0.jpg_480x360x95_d574233c.jpg,--,,,,,2
皇城村,http://travel.qunar.com/p-oi706126-huangchengcun,,皇城相府景区是晋城市第一个也是唯一的一个国家4A级景区。皇城相府宾馆是晋城市第一座也是唯一的一座经国家旅游局命名的在农村兴建的三星级宾馆。皇城小学是晋城市第一个也是唯一的一个和北大附小建立远程教学点的示范小学。皇城村是山西全省第一个也是唯一的一个“中国十佳小康村”。皇城村是金省农村第一个也是唯一的一个户外“土茅房”全部变成水冲式自动化感应洗手间的新农村，即使在全国也不多见。皇城村成为中国历史文化名村皇城村被命名为全国农业旅游示范点,,https://img1.qunarzz.com/travel/d2/1511/76/d0984729a11108f7.jpg_480x360x95_a84c2ea3.jpg,0.0,,,,,3
