名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
太阳河森林公园Laiyang River National Forest Park,http://travel.qunar.com/p-oi20952531-taiyanghesenlingongyuan,,太阳河森林乐园，原名菜阳河国家森林公园，寓意是让普洱人民心中升起不落的太阳，大地母亲滋补和养育着他们。从激流到静水，从土壤到地表，从草丛到灌林，生活着多种多样的动物，这片土地就是他们的家园。公园内沟河纵横，森林茂密，一片亚热带雨林的风光，园区内还有黑熊、野牛、绿孔雀、猕猴等保护动物在此栖息。,,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/202110/00e909bd1747edd390f3cca49602e858.jpg_480x360x95_79a667fa.jpg,4.1,建议游览时间：12小时 - 3天,,"{'云南太阳河国家森林公园门票＋电瓶车票成人票\n\n': ['¥135起'], '云南太阳河国家森林公园门票成人票\n\n': ['¥98起'], '云南太阳河国家森林公园门票老人票\n\n': ['¥48起']}",,1
普洱茶马古道旅游景区Ancient Tea-Horse Road,http://travel.qunar.com/p-oi3847528-puerchamagudaolu:youjing,"

地址:
普洱市北市区旅游环线东侧（腊梅坡大桥旁）


电话:
0879-3088111


官网:
http://www.pecmgd.com/

",普洱茶马古道旅游景区位于普洱市，是中国古代一条重要的贸易通道，具有深厚的历史积淀和文化底蕴，游客可骑马亲身感受古人骑行古道的情景和普洱的风土人情。游客可找正规旅行社骑马游玩古道，一路上风光秀美，拍起照片来很是不错。可以去参观茶马古迹，体验采茶的乐趣，或是点上一个茶套餐品一品，了解普洱悠久的茶文化。茶马古道源于古代西南和西北边疆的茶马互市，兴于唐宋，二战后期较为昌盛，分川藏和滇藏两线。藏茶马古道南起云南省的西双版纳和思茅（今普洱市），经大理、丽江、香格里拉进入西藏地区，并转口至印度、尼泊尔和不丹境内；川藏茶马古道东起雅安，经打箭炉（今康定市），后到达西藏拉萨。,8:00-16:30,https://img1.qunarzz.com/travel/d9/1801/a9/87bc2dee59a3ddb5.jpg_480x360x95_2e4973ee.jpg,4.3,建议游览时间：1小时 - 2小时,,"{'普洱茶马古道旅游景区游客中心-定波湖电瓶车+花海+演出+游船+彩虹索道票双人票\n\n': ['¥298起'], '普洱茶马古道旅游景区全程电瓶车+花海+定波湖演出+单程彩虹索道+博物馆票大小同价\n\n': ['¥146.7起'], '普洱国家公园犀牛坪+普洱茶马古道一日游丨6人私家团丨司导携玩\n\n': ['¥348起']}",,1
中华普洱茶博览苑China Pu’er Tea Museum,http://travel.qunar.com/p-oi7469225-zhonghuapuerchabolanyuan,"

地址:
普洱市思茅区倚象镇营盘山


电话:
0879-2135999

","普洱茶博览苑建在距市区29公里的营盘山上。以万亩生态茶园为建设背景，青山环绕丘陵相拥，景色秀丽是茶海中的一颗璀璨明珠．整个景区从普洱茶起源演化、发展嬗变、种植生产、民族渊源、加工包装、历史文化、收藏营销、烹制品鉴等不同角度，立体化地展现了有关普洱茶的内容光焕发，是普洱茶的大观世界。旅游核心区由""普洱茶博物馆""、""村村寨寨""、""嘉烩坊""、""普洱茶制作坊""、""茶祖殿""、""品鉴园""、""采茶区""、""问茶楼""、""闲怡居""、九个部分组成，让旅客充分体验观茶，采茶，制茶，吃茶，品茶，斗茶，拜茶，购茶的乐趣。 ",8:30-17:30,https://img1.qunarzz.com/travel/poi/1408/26/9395db64a09fe03cffffffffc8d65eac.jpg_480x360x95_78354854.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'中华普洱茶博览苑大门票成人票\n\n': ['¥30起'], '中华普洱茶博览苑大门票优待票\n\n': ['¥15起'], '中华普洱茶博览苑门票+电瓶车票成人票\n\n': ['¥50起']}",,1
茶马古城,http://travel.qunar.com/p-oi38335706-chamagucheng,,,,,4.7,,,具体收费情况以现场公示为主,,1
普洱太阳河国家森林公园,http://travel.qunar.com/p-oi8604814-puertaiyangheguojiasen,,普洱太阳河国家公园位于云南省普洱市思茅区东南31公里处，为国家AAAA级旅游景区。距思小高速公路南岛河出入口仅6公里。公园总占地面积216.23平方公里，森林覆盖率高达91.8%，内有植物2104种，野生动物812种。年均气温17.7℃，全年降水量多集中在5-10月份，降水量超过1500mm。日照时数约为2200小时，太阳总辐射量为130000卡/cm2。在大地结构上属唐古拉-昌都-兰坪-思茅褶皱系的南与东南段，属思茅盆地一部门。境内所有河流均属澜沧江水系，河流流向复杂多变是其它地区难以见到的。,,https://img1.qunarzz.com/travel/poi/1806/75/aeeb4f7a16cbb637.jpg_480x360x95_e3cf17c8.jpg,4.7,,四季皆宜。,,,1
无量山自然风景保护区,http://travel.qunar.com/p-oi3855328-wuliangshanziranfengjing,"

地址:
云南思茅景东彝族自治县境内无量山上部


电话:
0879-2134847

",,全天,https://img1.qunarzz.com/piao/fusion/1712/51/15e954b922b0fc02.jpg_480x360x95_32527ad8.jpg,4.8,,,免费,,1
梅子湖公园Meizi Lake Park,http://travel.qunar.com/p-oi3843439-meizihugongyuan,"

地址:
普洱市思茅区南屏镇梅园路


电话:
0879-2122149

",梅子湖公园位于普洱市思茅区东南五公里外的梅子河，因拦河筑坝而成人工湖，原名“红旗水库”，主要用于居民饮水和灌溉农田，经过多年的规划，这里开辟为梅子湖公园，成为普洱一处游览风景区。梅子湖公园环境秀丽清幽，建有迎宾楼和望城亭，登亭而望，梅子湖青山如黛，碧波荡漾，青山亭阁倒映水中，山林松涛随风起伏，游船似蝶，在湖里穿梭，湖中常有数千只白鹭和野鸭栖息，为梅子湖平添无限雅趣。,全年 6:00-22:00,https://img1.qunarzz.com/travel/d1/1801/55/efee1b86efbeb1b5.jpg_480x360x95_1b2707e8.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
千家寨,http://travel.qunar.com/p-oi3857427-qianjiazhai,"

地址:
云南省普洱市镇沅县境东北角


电话:
0879-2134847

",千家寨景区位于镇沅县境东北角，哀牢山自然保护区北部中段西坡，海拔2000-3137米，为省级风景名胜区。景区由千家寨、湾河、者东三个片区和恩乐———水塘游览线共49个景点组成，总面积44平方公里，山雄、水美、林幽、物奇为该景区特色。原始的森林，千年的古茶，高大的瀑布，清澈的溪流，遍山的杜鹃，浓郁的民情，优美的环境，是旅游观光，登山探奇，科研科考的极好去处。普洱风景名胜区位于驰名中外的普洱茶的故乡，普洱哈尼族彝族自治县境内。景区由天壁山、松山、白草地三个片区和...千家寨景区位于镇沅县境东北角，哀牢山自然保护区北部中段西坡，海拔2000-3137米，为省级风景名胜区。景区由千家寨、湾河、者东三个片区和恩乐———水塘游览线共49个景点组成，总面积44平方公里，山雄、水美、林幽、物奇为该景区特色。原始的森林，千年的古茶，高大的瀑布，清澈的溪流，遍山的杜鹃，浓郁的民情，优美的环境，是旅游观光，登山探奇，科研科考的极好去处。普洱风景名胜区位于驰名中外的普洱茶的故乡，普洱哈尼族彝族自治县境内。景区由天壁山、松山、白草地三个片区和小黑江游览线，20个景点组成，核心面积64平方公里。景观特点：有挺拔秀丽的天壁山，神奇迷离的太乙洞溶洞群，茫茫苍苍的松山、林海，德安原始森林群落，白草地原始茶树林，古茶盐驿道遗址，哈尼族、彝族等民族文化风情，闻名中外的“普洱茶”文化节。,8：00---18：00,https://img1.qunarzz.com/travel/d8/1809/e3/e479cfc5831ba7b5.jpg_480x360x95_47c82987.jpg,5.0,,,10元,,1
"普洱国家公园犀牛坪景区Pu'er National Park, Xiniu (Rhino) Plains Scenic Area",http://travel.qunar.com/p-oi7469228-puerguojiagongyuanxiniu,"

地址:
普洱市思茅区东南42公里


电话:
0879-3027663,0879-3027888

",普洱国家公园犀牛坪景区处于普洱国家公园的中北部，距普洱市思茅区东南38公里，距思小高速公路南岛河出入口21公里，总面积2000亩，由湄公河旅游有限公司于2011年8月投资建设，2013年8月建设完工。景区地处热带与亚热带的过渡地区，森林覆盖率达94.5%，保存着中国面积最大、最完整的南亚热带季风常绿阔叶林。海拔最高处1708米，最低处1530米，气候受印度洋季风控制，南亚热带气候特征明显，日温差大、年温差小，年平均气温17.7摄氏度，全年干湿季分明，年降雨量1600毫米，空气负氧离子含量极高，有着夏无酷暑，冬无严寒的宜人气候。犀牛坪景区是一个融“山、林、水、人”四大主题为一体，集中展示云南丰富的动物资源与北热带、南亚热带季风常绿阔叶林景观的综合性山岳型景区。以实现天人合一、人与自然和谐共融为总体目标，在野生动植物生物多样性展示方面，创新形式、突破局限，让游客在以生态为主体、以森林为依托的自然环境中，与各种野生动植物进行亲密接触，充分满足现代人向往自然野趣，力求亲身体验、深度感知的目的。景区主要项目有“犀牛归隐、猕猴乐土、鱼影溯溪、桫椤小径、嬉猿半岛、鱼鹰戏水、蝴蝶溪谷、旅行的小熊猫、嬉鸟乐园、兰花幽园”十大景点和民族歌舞演艺。,8:00-18:00，兑票时间8:30-16:00。,https://img1.qunarzz.com/travel/poi/1806/3d/f8d88a94e067137.jpg_480x360x95_401cd839.jpg,4.4,建议游览时间：12小时 - 3天,,"{'云南太阳河国家森林公园门票＋电瓶车票成人票\n\n': ['¥135起'], '云南太阳河国家森林公园门票成人票\n\n': ['¥98起'], '云南太阳河国家森林公园门票老人票\n\n': ['¥48起']}",,1
墨江北回归线标志园Tropic of Cancer Marker Park,http://travel.qunar.com/p-oi3842839-mojiangbeihuiguixianbiao,"

地址:
普洱市墨江哈尼族自治县北回归线标志园


电话:
0879-4235113


官网:
http://www.mjbby.com/

",普洱市墨江哈尼族自治县位于北纬22度51分-23度59分，东经101度07分-102度04分之间，北回归线从县城穿过。北回归线标志园建于1997年，占地1500平方米，融天文、地理、植物及科普知识和园林艺术、旅游文化为一体。北回归线标志园以公元2038年北回归线的位置（北纬23度26分）为主轴线，截北回归线上500米地段，间以“太阳之路”、“夸父追日”、“北回归线之门”、“日晷广场”、“春夏秋冬”等建筑小品，雕塑以及主体标志，创找了一个形象生动的空间系列，以科普博物馆表达对自然、生命、阳光的理解，并通过技术手段精确地展示北回归线的地理位置及变化，每年夏至均可在此“捕捉”到北回归线的身影。沿着北回归线可在园内顺势依山漫游，这里道路曲折蜿蜒，绿树成荫，蝉鸣林间，鸟语枝头，园内设置有茶室、幼儿场所、休息亭、饮食部、小商品市场、综合服务部等。游客在欣赏建筑、雕塑、园林艺术及获得科普知识的同时，还可品尝到普洱名茶、墨江美酒。,全年 08:30-18:30,https://img1.qunarzz.com/travel/d7/1802/9e/57289de5e248b5b5.jpg_480x360x95_bb23ffe7.jpg,4.2,建议游览时间：1小时 - 2小时,,"{'北回归线标志园门票成人票\n\n': ['¥39起'], '墨江北回归线标志园门票+飞天魔毯+裸眼3D电影成人票\n\n': ['¥89起'], '墨江北回归线标志园门票+裸眼3D电影成人票\n\n': ['¥59起']}",,1
