名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
景德镇中国陶瓷博物馆Jingdezhen Ceramics Museum,http://travel.qunar.com/p-oi715905-jingdezhenzhongguotao,"

地址:
景德镇市昌江区紫晶大道1号


电话:
0798-8253701


官网:
http://www.zgtcbwg.com/

",景德镇中国陶瓷博物馆前身为景德镇陶瓷馆，是国内第一家大型陶瓷专题艺术博物馆。馆内展出内容分“历史之部”、“新中国之部”和专题展览厅。该馆建于1954年，收藏着自新石器时代陶器和汉唐以来各个不同历史时期的陶瓷名品佳作2万余件，其中国家珍贵文物500余件，涵括了景德镇千年制瓷历史长河中的代表品种；外还收藏不少外国瓷和外地瓷，以及金石玉器、书画等。特别是近现代和当代景德镇陶瓷精品是该馆独有的。馆内展品有：五代的青瓷、白瓷；宋代的青白瓷；元代的青花瓷、卵白瓷、釉里红；明代的青花瓷 、五彩瓷、斗彩、各类颜色釉瓷；清代的数十类精品陶瓷。,全年 周二-周日 09:00-17:00;全年 周一 全天不开放,https://img1.qunarzz.com/travel/d2/1511/9e/ce335c0724de70f7.jpg_480x360x95_5e4791bc.jpg,4.6,建议游览时间：2小时,四季皆宜。春秋季,"{'景德镇陶瓷文化精华一日游（景德镇上门接送）\n\n': ['¥258起'], '【酒店套餐】景德镇陶邑阊阳遇遥酒店1-2晚住宿游御窑厂网红打卡\n\n': ['¥1365起']}",,1
瑶里景区Yaoli Destination,http://travel.qunar.com/p-oi709084-yaolijingqu,"

地址:
景德镇市东北43公里处


电话:
0798-2601228

",瑶里古称“窑里”，因是景德镇陶瓷的发祥地而得名。这里没有太多游人，有的是安安静静的徽派老建筑、山水景色，以及古时制陶业昌盛时留下的辉煌印记。瑶里很适合悠然地逛逛，夏天草木茂盛的时候拍出的照片尤为好看。瑶里景区包含5个子景区，从东北至西南依次是：汪湖生态游览区、梅岭休闲度假区、绕南陶瓷主题园区、瓷茶古镇游览区、高岭土矿遗址园区，这几个子景区分布得较为分散，瓷茶古镇和汪湖之间相隔十几公里，又没有班车，因此通常吃住在古镇上，然后花1-2天包车游玩这几个景区。游人首先到达的一般是瓷茶古镇，进入景区大门就是售票处，通常会在此买票，在子景区买票也可以。如果你打算参观景点，买景区5景点联票比较划算（联票2天有效）。若只是为了看景点，其实不必在瑶里过夜，所有景点包车一天逛下来足够了，若是抱着散心的态度，不妨多待一两天。这里并没有像乌镇那样进行大规模的旅游开发，当地人的生活和周遭的风景融为一体，原汁原味的空气和山水人文，值得你在此放慢脚步。在镇里闲逛是免费的。古镇基本是个回字形，闲逛下来大概2小时左右。瑶河水很有灵性，沿路上的高架水渠是瑶里相较于其它徽派民居的最大特点，不仅构景十分漂亮，走在上面还可以俯视古镇。镇里的明清商业街也值得逛逛，虽没有当年繁华，但商业氛围十足，沿路都是卖碱水粑的，一种长得有些像肥皂，吃起来类似年糕的食物，是当地最出名的小吃，可以买来尝尝。包车从古镇出发，第一站去到最北的汪湖，汪湖其实不是湖，而是这里有姓汪、姓胡的两大家族。这里能算上瑶里景色最好的地方，除了好几处瀑布，还有一片原始森林，里面许多十分高大的树，天晴的时候在树荫中行走，地面上树影斑驳，拍出的照片也十分好看。在梅岭主要看张氏宗祠的古建筑和一片千年古樟群，还可以走走麻石铺就的徽饶古道。此外，有不少影视作品曾在这里取景，最出名的要数《闪闪的红星》中潘冬子走过的红军桥，不可错过。夏天的时候还可以去景区旁边的瑶里漂流玩水（另付费）。绕南陶瓷主题园区最靠近古镇，是几个景区中比较有趣的一个，里面不仅可以看古代的窑口，还有一个可以自己玩陶、拉胚的体验活动。以上几个景点玩下来大约4-5小时，高岭土矿遗址园区由高岭和东埠两个景区构成，这里是当年高岭土、釉果等景德镇制瓷原料的集散地，盛极一时。如今可以逛逛东埠古街、古码头，看看古高岭矿坑等当年繁华的印记。不过因为它在和其它景点反方向，要去的话会增加一些包车费用，因此去的人不多，可根据个人兴趣酌情考虑。,全年 08:00-18:00,https://img1.qunarzz.com/travel/d8/1505/29/9b412120474685.jpg_480x360x95_7fdf8e0e.jpg,4.4,建议游览时间：3天 - 6天,瑶里旅游主要是以自然生态游、红色游和陶瓷文化游为主，一年四季来都合适。,"{'瑶里景区一票通门票成人票\n\n': ['¥95起'], '瑶里景区一票通门票优待票\n\n': ['¥55起'], '瑶里景区一票通门票双人票\n\n': ['¥195起']}",,1
景德镇陶阳里御窑景区Jingdezhen Ceramics Archaeological Research Center,http://travel.qunar.com/p-oi7475307-jingdezhentaoyangliyu,"

地址:
景德镇市珠山区珠山中路187号


电话:
07988226233

",景德镇陶阳里御窑景区位于景德镇市老城区中心地带，为国家4A级景区，占地面积3.2平方公里，核心区域超过1.6平方公里，由全国重点文物保护单位一一御窑厂遗址、以及御窑博物馆、周边里弄民居、会馆瓷行、窑作群落、陶瓷工业遗产等历史文化遗存组成。历史上所说的“陶阳十三里，烟火十万家”指的就是这片区域。这里是“瓷国皇冠上的明珠”，是明清两代专造皇家瓷器之所。埋藏于地下的瓷片，与故宫馆藏同源，隐藏了景德镇闻名天下的“密码”。这里是千年古镇的“活化石”，宋元古道、明清建筑、窑砖里弄、会馆书院、工业遗存等，原真保护了老景德镇的历史风貌，系统展示了2000年冶陶史、1000 年官窑史、600 年御窑史以及百年党史、新中国史在景德镇的时代变迁地带，是景德镇城市的独特符号与文化名片，已被列入世界文化遗产预备名单。这里还有南货街、红店街、音乐酒吧、老茶馆、老酒馆、种德堂中医馆、铁匠铺、候鸟居、酒店民宿、玉空间、文艺工厂、中央音乐学院教学基地、传统戏剧演出等业态，是古老瓷都焕发“年轻态”的范例，是新兴的陶瓷文化旅游目的地。,9：00－18：00,https://img1.qunarzz.com/piao/fusion/2110/f8/1a7e42db9094d502.jpg_480x360x95_88e91a74.jpg,4.3,建议游览时间：1小时 - 2小时,四季皆宜。,"{'景德镇御窑厂国家考古遗址公园电子导览服务大小同价\n\n': ['¥9起'], '武功山+明月山景区等百余家景区一卡通票大小同价\n\n': ['¥199起']}",,1
古窑民俗博览区Ancient Kiln Folk Customs Museum,http://travel.qunar.com/p-oi7475306-guyaominsubolanqu,"

地址:
景德镇市瓷都大道古窑路1号


电话:
400-118-1728,0798-8534444


官网:
http://www.chinaguyao.com

",景德镇古窑民俗博览区主要分历史古窑展示区和陶瓷民俗展示区两块，在这里你可以看到从宋代到清代的古窑，再现了十五、十六世纪景德镇制瓷业的风貌，欣赏独特的瓷乐演奏。景区内的建筑多由老房子改造，让游客在古色古香中了解景德镇的陶瓷文化。进景区大门后，各景点都有瓷制的路牌指示方向。右手边是历史古窑展示区，首先看到风火仙师庙，供奉着明代万历年间为烧窑而献身的童宾，后人尊他为窑神。往里走是一排作坊，出售精美的陶瓷工艺品，不过价钱都很贵。再往里便是这个区域的重头戏——各个时代的古窑，你可以依次看到清代镇窑、明清御窑（青窑、龙缸窑）、明代葫芦窑、元代馒头窑、宋代龙窑，花几块钱喝一碗窑工茶，和窑工师傅聊聊天，能知道很多瓷器和古窑的故事，茶还可以续杯。进景区大门左手边是陶瓷民俗展示区，首先看到的是清代建筑群清园，穿过瓷碑长廊，走到尽头是明代建筑群明闾。瓷碑长廊西侧的瓷音水榭（水上戏台）则可以看免费的瓷乐演奏，所用乐器都是陶瓷做的。另外，在景区的一些作坊内可以付费参与陶瓷制作，亲手DIY一件属于自己的陶瓷作品。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d3/1505/fe/2ed0e54ebcdfd7.jpg_480x360x95_d3deefce.jpg,4.5,建议游览时间：3小时 - 4小时,四季皆宜。,"{'古窑民俗博览区门票成人票\n\n': ['¥83起'], '古窑民俗博览区门票儿童票\n\n': ['¥45起'], '古窑民俗博览区门票学生票\n\n': ['¥45起']}",,1
三宝国际陶艺村Sanbao Ceramic Art Institute,http://travel.qunar.com/p-oi5851286-sanbaoguojitaoyicun,"

地址:
景德镇市昌江区三宝村四家里


电话:
0798-8496513

","景德镇城东南十余里有一片老式农宅和陶瓷作坊，叫三宝国际陶艺村。整个村子看似普通的很旧的农家小院,进入门内是一个陶泥标志物，里面嵌了很多瓷片、陶艺作品，院子里有从外面引入的小溪，水清见底，躺着的瓷碗、瓷片，有的掩埋了一半在泥里，古老的木制农具和当地的日常用品静静地待在一边，原木的门上贴着的大红春联。原木的长凉亭，原木的农家的米桶是椅子。它随意、简单、毫无章法、却野趣天成。 　　这里有原汁原味的生活情景、情节：房屋是从村民手中买的，院墙是20年前村民们使用“干打垒”工艺筑成的，屋内陈设也是村民们20多年前使用的生产、生活器具，近10名工匠在这里用原始的方法生产陶瓷和制陶工具。这里除了生活区之外，有工作室、陶艺馆，还有传统的制瓷工具、烧木柴的窑、民间艺人等，断臂的观音、没有头的菩萨，甚至一块渣饼、一只碗底、一只变形的龙缸。这个经过整理的传统却成了完全意义上的现代。 　　三宝村是一个老式农宅的陶瓷作坊院落，“干打垒”筑成的土院墙，一条清澈见底的小溪从院子里穿过。院中处处是多年劳作的痕迹——瓷碗、瓷片，许多半掩在泥里。",全天开放，内部景点开放时间详见景区公示,https://img1.qunarzz.com/travel/d1/1706/6c/eabd77c51cadcdb5.jpg_480x360x95_71bc9a65.jpg,4.0,建议游览时间：3天,四季皆宜。,具体收费情况以现场公示为主,,1
景德镇御窑文化艺术博物馆Jingdezhenyuyao Culture and Art Museum,http://travel.qunar.com/p-oi34270919-jingdezhenyuyaowenhua,"

地址:
景德镇珠山中路187号（御窑考古遗址公园）

",博物馆的造型就是以“窑”的形态展现的，多个曲面拱体结构，红色砖墙具有古朴的气息。馆内的展品主要来自御窑厂历代官窑遗址所取得的重要陶瓷考古成果以及发掘的各个时期的重要遗物。,周二----周日全天开放（9：00-17：00）法定节假日正常开放,,4.3,建议游览时间：2小时 - 3小时,,免费,,1
"丙丁柴窑Bingding Wood Kiln, Jingdezhen",http://travel.qunar.com/p-oi32749251-bingdingchaiyao,,丙丁柴窑位于浮梁县前程村，环山而建，周遭竹林环抱，溪水从此间流过，可谓清幽静谧。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f0cc9a33552ba8dba7fe13d426425386.jpg_480x360x95_f06d9dd8.jpg,3.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
瑶里千年古镇Yaoli Porcelain Tea Ancient Town,http://travel.qunar.com/p-oi10004426-yaoliqiannianguzhen,"

地址:
景德镇市浮梁县瑶里镇


电话:
0798-2601393

",瑶里千年古镇从西汉建镇开始，迄今已有两千多年历史。这里荟萃了明清古建筑群和革命旧址等众多人文景观，主要景点有明清商业街、程氏宗祠、狮冈胜览、宏毅祠等。走在这里的古街上，踩着镶嵌着鹅卵石的青石板路，数着街两边的古店铺，历史的痕迹在细微末节中铺展在眼底，恍然如梦回千年。古镇坐落在山谷之中，四周群峰环抱，整个古镇南踞象山，北卧狮山，瑶河穿镇而过，形成山水萦绕的地理环境，让古镇更显宁静清澈。古镇里的明清商业街是古徽州大道上繁华的商业街之一，全长一千多米，分为上街头、中街头、下街头三段。昔日有上百幢店铺鳞次栉比地分布在街道两旁，至今仍保存较好。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/40522b3eb0e1469763a7d2a6d9fb8877.jpg_480x360x95_21300ded.jpg,4.5,建议游览时间：12小时 - 3天,,古镇免费进入，景区内部分景点另收费,,1
浮梁古县衙景区Fuliang Former County Government,http://travel.qunar.com/p-oi713301-fuliangguxianyajingqu,,,,,,,,,,1
明清园Ming and Qing Garden,http://travel.qunar.com/p-oi716200-mingqingyuan,"

地址:
景德镇市珠山区新厂东路218号


电话:
0798-8435888

",明清园位于景德镇雕塑瓷厂厂区内，是景德镇国际陶艺中心所在地，为仿明代徽派建筑群。园内的瓷器街是景德镇古代瓷器商业街的再现，许多工艺美术大师在此设工作室，展示着巧夺天工的陶瓷雕塑技艺。每个周末早上都有瓷器集市，露天的摊，东西又多又好玩，外地看不到的。较多搞创作的学生、艺术家以及陶艺店铺。周六上午还有以陶瓷学院学生为主的陶艺地摊活动。,全年 9:00-17:00,https://img1.qunarzz.com/travel/d9/201407/11/2a558d04c3d9c578c8d65eac.jpg_480x360x95_04005aab.jpg,4.3,建议游览时间：2小时 - 3小时,四季皆宜。,具体收费情况以现场公示为主,,1
