名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
螺丝田Screw Field,http://travel.qunar.com/p-oi5174280-luositian,"

地址:
曲靖市罗平县牛街镇牛街村


电话:
+1 760-254-2122

",位于县城西北十公里处的牛街“螺丝田”是一个有名油菜花拍摄点，这里的梯田是圈状的，远远看去真像是螺丝上的旋纹。 牛街“螺丝田”是由串珠岩溶漏斗地质地貌构成的自然景观，漏斗如此密集，形态如此奇特，目前尚不多见。景观深50米，呈东北——南西向，梯式水田和旱地，一层层齐整整。在不同的季节中，因不同的农作物，形成各种不同的色块造型。从中部的园形小盆地放射性展开。冬春季节，长满油菜花的地块金光灿烂，长着小麦的地块碧绿如玉；通过时候，沿着园周梯田一圈圈往上延伸的多是开满油菜花的，像无数金龙盘卧。还有的弓形、半园形的梯田，多的十几级、少的三四级，而且各种形状相镶，其间隔有一两块装满水的闲田如明镜置于其中，一排排翠绿的树点缀，形成了色彩鲜明、线条优美、甚是奇妙的美景。,全天开放,https://img1.qunarzz.com/travel/poi/201407/09/1ae9632917380a9fddb12cfb.jpg_480x360x95_ab4d3f10.jpg,4.6,,,,,1
尼珠河大峡谷Nizhu River Grand Canyon,http://travel.qunar.com/p-oi10067407-nizhuhedaxiagu,,尼珠河大峡谷位于云南省宣威市普立乡（尼珠河在上游叫可渡河，名为可渡，当地也称泥猪河），上至木通河大桥，下至腊龙岔河，是北盘江上的一条支流，是宣威境内恢弘、秀美、神奇的大峡谷。盘旋萦回的金雕、光怪陆离的溶洞、倒挂依壁的老树、色彩斑斓的悬崖峭壁、飞泻百米的雌雄双瀑、千奇百怪的牛肝马肺、佛光普照的千年菩提、悠远深长的两岸猿声、躺满一河的奇石成为尼珠河大峡谷中独有的景观。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f3b665f6b0acbf7bb9afe03e3b13ad13.jpg_480x360x95_4cb5c4e3.jpg,4.5,建议游览时间：2小时,,68元,,1
罗平油菜花景区Luoping Canola Flower Ocean,http://travel.qunar.com/p-oi5419836-luopingyoucaihuajingqu,"

地址:
曲靖市罗平县坝子油菜花海

",罗平县位于曲靖市东部，不同于其他地区的崎岖，罗平的地势颇有几分水乡的风范。作为一个传统的农业县，这里世代种植的油菜花吸引了海内外广大旅行摄影爱好者。每年花期，罗平县城便深陷在一片油菜花的海洋里，80万亩油菜花竞相开放，颇为壮观。,全天开放,https://img1.qunarzz.com/travel/d6/1706/46/99dd289c1fc7a9b5.jpg_480x360x95_ec72f910.jpg,4.7,建议游览时间：3天 - 6天,罗平最佳的旅游季节是每年的2月中旬。,{'九龙瀑布群门票成人票\n\n': ['¥60起']},曲靖罗平一带日照强烈，尤其是多依河地区，海拔比罗平其他景点低约1000米，气候较为炎热，务必带太阳伞和防晒油。,1
九龙瀑布群Jiulong Waterfalls,http://travel.qunar.com/p-oi707874-jiulongpubuqun,"

地址:
曲靖市罗平县长底乡九龙瀑布群风景区


电话:
0874-8754101

",九龙瀑布群，位于罗平县城东北的九龙河上，一条“银龙”盘游于群山中，在4公里长的河流中，落差超出了百米。来这里可以欣赏自然风光，感受瀑布的壮观。在景区内离瀑布很远的地方就能听见瀑布水的轰鸣声，慢慢走近后水声越来越大，然后可以看到气势磅礴的瀑布。整个景区由多个瀑布衔接而成，各有特色，可以在高处远眺，壮观景色尽收眼底。相传，当年神龙在这里大胜铜鼓精，从此镇守这方水域，护佑这九龙河两岸的人民。由于得天独厚的地质构造和水流的长期侵蚀，在此形成了十级高低宽窄不等、形态各异的瀑布群。,8:00-18:00,https://img1.qunarzz.com/travel/d5/1608/3e/5d2b7fd1c96e2bb5.jpg_480x360x95_afd96932.jpg,4.5,建议游览时间：3小时 - 4小时,2-4月，春季最佳。罗平旅游的季节性很强，每年二月下旬到三月上旬，油菜花开得最旺。每年根据气候不同花期也不同这个时候的九龙瀑布也是最漂亮的，水很绿，水量适中。夏天的时候水就变黄了，而且水流冲下来激起的水雾太大，反而看不清瀑布的样子。,{'九龙瀑布群门票成人票\n\n': ['¥60起']},,1
金鸡峰丛Jinji Fengcong,http://travel.qunar.com/p-oi5943160-jinjifengcong,"

地址:
曲靖市罗平县324国道南

",金鸡峰丛位于罗平县城东北，每年花期的时候，满山遍野的油菜花扑面而来，无不令人醉心。金鸡岭作为一个小村庄，它的乡土气息可以让久在城市的人们放松心情。这里是一个欣赏油菜花和享受田园风光的好地方。游客可以漫步在油菜花海中，感受这金黄的世界，若是专业的摄影爱好者，则可以登上花海观景台，那里可以拍摄到整片的油菜花海，非常壮观。,全年 全天开放,https://img1.qunarzz.com/travel/d3/1801/f1/bae9232944e30fb5.jpg_480x360x95_9edbda6e.jpg,4.6,建议游览时间：2小时 - 3小时,金鸡峰最佳的旅游季节是每年的1-2月，届时油菜花开放，罗平会举办油菜花节，而金鸡峰正是观赏油菜花的最佳地点。,{'金鸡峰丛景区入园券大小同价\n\n': ['¥20起']},,1
多依河Duoyi River,http://travel.qunar.com/p-oi715308-duoyihe,,,,,,,,,,1
陆良彩色沙林Luliang Colored Sand Forest,http://travel.qunar.com/p-oi713967-luliangcaiseshalin,"

地址:
曲靖市陆良县城东南面18公里处


电话:
0874-6881555

",陆良彩色沙林位于陆良县城东南面18公里处，是一处以天然沙柱、沙峰为主要看点的景区。陆良彩色沙林和与路南石林、元谋土林并称“云南三林”，但这里没有路南石林那么出名，游人相对较少，是个可以静心赏景的地方。陆良彩色沙林是由含矿物质的砂岩风化而成，游客仔细观看会发现沙林随着日照光线变幻不同的色调，有红、白、黄、灰、黑等好几种颜色，拍出来的效果变幻无穷。特别是傍晚的时候，夕阳下沙林的层次感更为明显。看完沙林可以去沙雕区，那儿展示了一批当年举办国际沙雕比赛时留下的沙雕作品。内容包括白雪公主、老人与海、源氏物语、钢铁是怎样炼成的……走在这些巨大的沙雕人像和宫堡之间，会感觉自己是小人国来的人一样，很多游客在这里合影留念。,9:00-17:00,https://img1.qunarzz.com/travel/d4/1605/c6/c917a65d0c3adf7.jpg_480x360x95_ce340793.jpg,4.3,建议游览时间：2小时 - 3小时,,"{'陆良彩色沙林门票成人票\n\n': ['¥49起'], '彩色沙林电子导览服务大小同价\n\n': ['¥6起']}",,1
花山湖彩云洞,http://travel.qunar.com/p-oi705521-huashanhucaiyundong,"

地址:
云南曲靖


电话:
0874-3122424

",“水晶流成瀑，玉石堆成山，岩石结成冰，翡翠串成帘。”这是曲靖市沾益县当地人对花山湖畔彩云洞的赞美。在云南众多的喀斯特溶洞中，彩云洞也许并不为人们熟悉，但它却是一个非常幽深、奇特、五彩斑斓的地下溶洞，最近才逐步开发而展露出它的璀璨光芒。近日，沾益县已把彩云洞作为一个重要新景点在第四届珠江源旅游节举办前夕推出。,8:00—19:00,,4.0,,,10元,,1
师宗凤凰谷,http://travel.qunar.com/p-oi7469686-shizongfenghuanggu,"

地址:
云南省曲靖市师宗县五龙壮族乡


电话:
0874-5762268

",景区内的凤凰洞为一暗河型水平溶洞，基本特点可用“高、大、险、奇、绝”五个字来概括。溶洞前洞垂直高度达219 米，堪称国内之最，洞内巨大的厅堂面积万余平方米，高70余米，硕大的洞口和巨大的厅堂巧妙组合，构成了“溶洞日照”的奇观，与溶洞相连的是一个巨大的峡谷，谷底宽不过30-80米，高差却达600多米，险峻的溶洞峡谷景观成为绝景而令人赞叹。溶洞内有各种石钟乳、石笋、石柱、石盾、石瀑大小不一，形态各异。法岗河在洞内咆哮奔流，在1.8公里的洞内下跌100米，形成跌水、险滩。...景区内的凤凰洞为一暗河型水平溶洞，基本特点可用“高、大、险、奇、绝”五个字来概括。溶洞前洞垂直高度达219 米，堪称国内之最，洞内巨大的厅堂面积万余平方米，高70余米，硕大的洞口和巨大的厅堂巧妙组合，构成了“溶洞日照”的奇观，与溶洞相连的是一个巨大的峡谷，谷底宽不过30-80米，高差却达600多米，险峻的溶洞峡谷景观成为绝景而令人赞叹。溶洞内有各种石钟乳、石笋、石柱、石盾、石瀑大小不一，形态各异。法岗河在洞内咆哮奔流，在1.8公里的洞内下跌100米，形成跌水、险滩。大峡谷的两岸植被保存完好，林木茂密、藤蔓缠绕。硕大的洞口，巨大的洞穴厅堂，险峻的大峡谷，以及前洞栖息的燕子，后洞觅食的蝙蝠，洞口酷似女阴造型的“生命之门”等都是国内罕见的绝景。凤凰谷景区上古玄牝门，天然祈福地。世界第一高洞，第一天然大佛，第一生命文化群像，凤凰涅槃场景，尽展幅幅天然画卷。峡谷幽深、飞瀑直下、钟乳奇观、高原湖泊、壮乡风情，写就篇篇华美辞章。这就是中国生命文化主题公园师宗凤凰谷。,8:00-17:00,https://img1.qunarzz.com/travel/poi/1408/27/95fe108e9f76fc18ffffffffc8d65eac.jpg_480x360x95_1e4ad9bc.jpg,3.8,建议游览时间：1天,适宜月份：3月、4月、5月、6月、7月、8月、9月、10月,,,1
以堵勒瀑布Yidulei Waterfall,http://travel.qunar.com/p-oi710134-yidulepubu,"

地址:
云南省罗平县以堵勒村

",,全天,https://img1.qunarzz.com/travel/poi/1409/11/e43e58da152c8a04ffffffffc8d65eac.jpg_480x360x95_ca3f4442.jpg,5.0,,以堵勒瀑布最佳的旅游季节是每年的2月中旬。,30元,,1
